model	grammar	paragraph	mention	form	axis	value	old_patient	new_patient	old_debts	new_debts	rule	row_status
P	J	f6v|f6v.6-f6v.21	f6v.15:4	chy	thermal	hot	f6v.14:3	f6v.14:3	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	ACTION_RESULT_REFERENCE	recorded
P	J	f6v|f6v.6-f6v.21	f6v.19:3	chy	thermal	hot	f6v.19:1	f6v.19:1	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2	ACTION_RESULT_REFERENCE	recorded
T	M	f6v|f6v.6-f6v.21	f6v.12:2	shy	moisture	wet			MISSING_MATERIAL_BINDING	MISSING_MATERIAL_BINDING	MISSING	recorded
T	M	f6v|f6v.6-f6v.21	f6v.15:4	chy	thermal	hot	f6v.14:3	f6v.14:3	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	ACTION_RESULT_REFERENCE	recorded
T	M	f6v|f6v.6-f6v.21	f6v.19:3	chy	thermal	hot	f6v.19:1	f6v.19:1	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2	ACTION_RESULT_REFERENCE	recorded
P	M	f6v|f6v.6-f6v.21	f6v.12:2	shy	moisture	wet			MISSING_MATERIAL_BINDING	MISSING_MATERIAL_BINDING	MISSING	recorded
P	M	f6v|f6v.6-f6v.21	f6v.15:4	chy	thermal	hot	f6v.14:3	f6v.14:3	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.15:1;IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	ACTION_RESULT_REFERENCE	recorded
P	M	f6v|f6v.6-f6v.21	f6v.19:3	chy	thermal	hot	f6v.19:1	f6v.19:1	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2	ASSUMED_RESULT_OR_PROCESS_CONDITION:f6v.19:2	ACTION_RESULT_REFERENCE	recorded
T	B	f9v|f9v.5-f9v.12	f9v.9:2	chy	thermal	hot			MISSING_MATERIAL_BINDING	MISSING_MATERIAL_BINDING	MISSING	recorded
T	B	f9v|f9v.5-f9v.12	f9v.10:1	oty	thermal	cold	f9v.10:2	f9v.10:2			LOCAL_RIGHT	recorded
T	B	f9v|f9v.5-f9v.12	f9v.10:4	chy	thermal	hot	f9v.10:2	f9v.10:2	ASSUMED_RESULT_OR_PROCESS_CONDITION:f9v.10:3	ASSUMED_RESULT_OR_PROCESS_CONDITION:f9v.10:3	ACTION_RESULT_REFERENCE	recorded
T	B	f9v|f9v.5-f9v.12	f9v.11:3	oky	thermal	warm	f9v.11:2	f9v.11:2			LOCAL_LEFT	recorded
P	B	f9v|f9v.5-f9v.12	f9v.9:2	chy	thermal	hot			MISSING_MATERIAL_BINDING	MISSING_MATERIAL_BINDING	MISSING	recorded
P	B	f9v|f9v.5-f9v.12	f9v.10:1	oty	thermal	cold	f9v.10:2	f9v.10:2			LOCAL_RIGHT	recorded
P	B	f9v|f9v.5-f9v.12	f9v.10:4	chy	thermal	hot	f9v.10:2	f9v.10:2	ASSUMED_RESULT_OR_PROCESS_CONDITION:f9v.10:3	ASSUMED_RESULT_OR_PROCESS_CONDITION:f9v.10:3	ACTION_RESULT_REFERENCE	recorded
P	B	f9v|f9v.5-f9v.12	f9v.11:3	oky	thermal	warm	f9v.11:2	f9v.11:2			LOCAL_LEFT	recorded
T	J	f9v|f9v.5-f9v.12	f9v.9:2	chy	thermal	hot			MISSING_MATERIAL_BINDING	MISSING_MATERIAL_BINDING	MISSING	recorded
T	J	f9v|f9v.5-f9v.12	f9v.10:1	oty	thermal	cold	f9v.10:2	f9v.10:2			LOCAL_RIGHT	recorded
T	J	f9v|f9v.5-f9v.12	f9v.10:4	chy	thermal	hot	f9v.10:2	f9v.10:2	ASSUMED_RESULT_OR_PROCESS_CONDITION:f9v.10:3	ASSUMED_RESULT_OR_PROCESS_CONDITION:f9v.10:3	ACTION_RESULT_REFERENCE	recorded
T	J	f9v|f9v.5-f9v.12	f9v.11:3	oky	thermal	warm	f9v.11:2	f9v.11:2			LOCAL_LEFT	recorded
P	J	f9v|f9v.5-f9v.12	f9v.9:2	chy	thermal	hot			MISSING_MATERIAL_BINDING	MISSING_MATERIAL_BINDING	MISSING	recorded
P	J	f9v|f9v.5-f9v.12	f9v.10:1	oty	thermal	cold	f9v.10:2	f9v.10:2			LOCAL_RIGHT	recorded
P	J	f9v|f9v.5-f9v.12	f9v.10:4	chy	thermal	hot	f9v.10:2	f9v.10:2	ASSUMED_RESULT_OR_PROCESS_CONDITION:f9v.10:3	ASSUMED_RESULT_OR_PROCESS_CONDITION:f9v.10:3	ACTION_RESULT_REFERENCE	recorded
P	J	f9v|f9v.5-f9v.12	f9v.11:3	oky	thermal	warm	f9v.11:2	f9v.11:2			LOCAL_LEFT	recorded
T	M	f9v|f9v.5-f9v.12	f9v.9:2	chy	thermal	hot			MISSING_MATERIAL_BINDING	MISSING_MATERIAL_BINDING	MISSING	recorded
T	M	f9v|f9v.5-f9v.12	f9v.10:1	oty	thermal	cold	f9v.10:2	f9v.10:2			LOCAL_RIGHT	recorded
T	M	f9v|f9v.5-f9v.12	f9v.10:4	chy	thermal	hot	f9v.10:2	f9v.10:2	ASSUMED_RESULT_OR_PROCESS_CONDITION:f9v.10:3	ASSUMED_RESULT_OR_PROCESS_CONDITION:f9v.10:3	ACTION_RESULT_REFERENCE	recorded
T	M	f9v|f9v.5-f9v.12	f9v.11:3	oky	thermal	warm	f9v.11:2	f9v.11:2			LOCAL_LEFT	recorded
P	M	f9v|f9v.5-f9v.12	f9v.9:2	chy	thermal	hot			MISSING_MATERIAL_BINDING	MISSING_MATERIAL_BINDING	MISSING	recorded
P	M	f9v|f9v.5-f9v.12	f9v.10:1	oty	thermal	cold	f9v.10:2	f9v.10:2			LOCAL_RIGHT	recorded
P	M	f9v|f9v.5-f9v.12	f9v.10:4	chy	thermal	hot	f9v.10:2	f9v.10:2	ASSUMED_RESULT_OR_PROCESS_CONDITION:f9v.10:3	ASSUMED_RESULT_OR_PROCESS_CONDITION:f9v.10:3	ACTION_RESULT_REFERENCE	recorded
P	M	f9v|f9v.5-f9v.12	f9v.11:3	oky	thermal	warm	f9v.11:2	f9v.11:2			LOCAL_LEFT	recorded
T	B	f17v|f17v.1-f17v.23	f17v.9:2	shol	moisture	wet	f17v.9:3	f17v.9:3			LOCAL_RIGHT	recorded
P	B	f17v|f17v.1-f17v.23	f17v.9:2	shol	moisture	wet	f17v.9:3	f17v.9:3			LOCAL_RIGHT	recorded
T	J	f17v|f17v.1-f17v.23	f17v.9:2	shol	moisture	wet	f17v.9:3	f17v.9:3			LOCAL_RIGHT	recorded
P	J	f17v|f17v.1-f17v.23	f17v.9:2	shol	moisture	wet	f17v.9:3	f17v.9:3			LOCAL_RIGHT	recorded
T	M	f17v|f17v.1-f17v.23	f17v.9:2	shol	moisture	wet	f17v.9:3	f17v.9:3			LOCAL_RIGHT	recorded
P	M	f17v|f17v.1-f17v.23	f17v.9:2	shol	moisture	wet	f17v.9:3	f17v.9:3			LOCAL_RIGHT	recorded
T	B	f19v|f19v.8-f19v.14	f19v.9:2	oky	thermal	warm	f19v.9:3	f19v.9:3			LOCAL_RIGHT	recorded
T	B	f19v|f19v.8-f19v.14	f19v.9:6	oky	thermal	warm	f19v.9:3	f19v.9:3	ASSUMED_RESULT_OR_PROCESS_CONDITION:f19v.9:5;UNREAD_BETWEEN:f19v.9:4;UNREAD_BETWEEN:f19v.9:4	ASSUMED_RESULT_OR_PROCESS_CONDITION:f19v.9:5;UNREAD_BETWEEN:f19v.9:4;UNREAD_BETWEEN:f19v.9:4	ACTION_RESULT_REFERENCE	recorded
T	B	f19v|f19v.8-f19v.14	f19v.13:3	oty	thermal	cold	f19v.13:7	f19v.13:7	UNREAD_BETWEEN:f19v.13:4;UNREAD_BETWEEN:f19v.13:6	UNREAD_BETWEEN:f19v.13:4;UNREAD_BETWEEN:f19v.13:6	LOCAL_RIGHT	recorded
P	B	f19v|f19v.8-f19v.14	f19v.9:2	oky	thermal	warm	f19v.9:3	f19v.9:3			LOCAL_RIGHT	recorded
P	B	f19v|f19v.8-f19v.14	f19v.9:6	oky	thermal	warm	f19v.9:3	f19v.9:3	ASSUMED_RESULT_OR_PROCESS_CONDITION:f19v.9:5;UNREAD_BETWEEN:f19v.9:4;UNREAD_BETWEEN:f19v.9:4	ASSUMED_RESULT_OR_PROCESS_CONDITION:f19v.9:5;UNREAD_BETWEEN:f19v.9:4;UNREAD_BETWEEN:f19v.9:4	ACTION_RESULT_REFERENCE	recorded
P	B	f19v|f19v.8-f19v.14	f19v.13:3	oty	thermal	cold	f19v.13:7	f19v.13:7	UNREAD_BETWEEN:f19v.13:4;UNREAD_BETWEEN:f19v.13:6	UNREAD_BETWEEN:f19v.13:4;UNREAD_BETWEEN:f19v.13:6	LOCAL_RIGHT	recorded
T	J	f19v|f19v.8-f19v.14	f19v.9:2	oky	thermal	warm	f19v.9:3	f19v.9:3			LOCAL_RIGHT	recorded
T	J	f19v|f19v.8-f19v.14	f19v.9:6	oky	thermal	warm	f19v.9:3	f19v.9:3	ASSUMED_RESULT_OR_PROCESS_CONDITION:f19v.9:5;UNREAD_BETWEEN:f19v.9:4;UNREAD_BETWEEN:f19v.9:4	ASSUMED_RESULT_OR_PROCESS_CONDITION:f19v.9:5;UNREAD_BETWEEN:f19v.9:4;UNREAD_BETWEEN:f19v.9:4	ACTION_RESULT_REFERENCE	recorded
T	J	f19v|f19v.8-f19v.14	f19v.13:3	oty	thermal	cold	f19v.13:7	f19v.13:7	UNREAD_BETWEEN:f19v.13:4;UNREAD_BETWEEN:f19v.13:6	UNREAD_BETWEEN:f19v.13:4;UNREAD_BETWEEN:f19v.13:6	LOCAL_RIGHT	recorded
P	J	f19v|f19v.8-f19v.14	f19v.9:2	oky	thermal	warm	f19v.9:3	f19v.9:3			LOCAL_RIGHT	recorded
P	J	f19v|f19v.8-f19v.14	f19v.9:6	oky	thermal	warm	f19v.9:3	f19v.9:3	ASSUMED_RESULT_OR_PROCESS_CONDITION:f19v.9:5;UNREAD_BETWEEN:f19v.9:4;UNREAD_BETWEEN:f19v.9:4	ASSUMED_RESULT_OR_PROCESS_CONDITION:f19v.9:5;UNREAD_BETWEEN:f19v.9:4;UNREAD_BETWEEN:f19v.9:4	ACTION_RESULT_REFERENCE	recorded
P	J	f19v|f19v.8-f19v.14	f19v.13:3	oty	thermal	cold	f19v.13:7	f19v.13:7	UNREAD_BETWEEN:f19v.13:4;UNREAD_BETWEEN:f19v.13:6	UNREAD_BETWEEN:f19v.13:4;UNREAD_BETWEEN:f19v.13:6	LOCAL_RIGHT	recorded
T	M	f19v|f19v.8-f19v.14	f19v.9:2	oky	thermal	warm	f19v.9:3	f19v.9:3			LOCAL_RIGHT	recorded
T	M	f19v|f19v.8-f19v.14	f19v.9:6	oky	thermal	warm	f19v.9:3	f19v.9:3	ASSUMED_RESULT_OR_PROCESS_CONDITION:f19v.9:5;UNREAD_BETWEEN:f19v.9:4;UNREAD_BETWEEN:f19v.9:4	ASSUMED_RESULT_OR_PROCESS_CONDITION:f19v.9:5;UNREAD_BETWEEN:f19v.9:4;UNREAD_BETWEEN:f19v.9:4	ACTION_RESULT_REFERENCE	recorded
T	M	f19v|f19v.8-f19v.14	f19v.13:3	oty	thermal	cold	f19v.13:7	f19v.13:7	UNREAD_BETWEEN:f19v.13:4;UNREAD_BETWEEN:f19v.13:6	UNREAD_BETWEEN:f19v.13:4;UNREAD_BETWEEN:f19v.13:6	LOCAL_RIGHT	recorded
P	M	f19v|f19v.8-f19v.14	f19v.9:2	oky	thermal	warm	f19v.9:3	f19v.9:3			LOCAL_RIGHT	recorded
P	M	f19v|f19v.8-f19v.14	f19v.9:6	oky	thermal	warm	f19v.9:3	f19v.9:3	ASSUMED_RESULT_OR_PROCESS_CONDITION:f19v.9:5;UNREAD_BETWEEN:f19v.9:4;UNREAD_BETWEEN:f19v.9:4	ASSUMED_RESULT_OR_PROCESS_CONDITION:f19v.9:5;UNREAD_BETWEEN:f19v.9:4;UNREAD_BETWEEN:f19v.9:4	ACTION_RESULT_REFERENCE	recorded
P	M	f19v|f19v.8-f19v.14	f19v.13:3	oty	thermal	cold	f19v.13:7	f19v.13:7	UNREAD_BETWEEN:f19v.13:4;UNREAD_BETWEEN:f19v.13:6	UNREAD_BETWEEN:f19v.13:4;UNREAD_BETWEEN:f19v.13:6	LOCAL_RIGHT	recorded
T	B	f22v|f22v.6-f22v.16	f22v.6:2	shy	moisture	wet	f22v.6:3	f22v.6:3			LOCAL_RIGHT	recorded
T	B	f22v|f22v.6-f22v.16	f22v.11:2	oty	thermal	cold			MISSING_MATERIAL_BINDING	MISSING_MATERIAL_BINDING	MISSING	recorded
T	B	f22v|f22v.6-f22v.16	f22v.14:3	shol	moisture	wet			MISSING_MATERIAL_BINDING	MISSING_MATERIAL_BINDING	MISSING	recorded
P	B	f22v|f22v.6-f22v.16	f22v.6:2	shy	moisture	wet	f22v.6:3	f22v.6:3			LOCAL_RIGHT	recorded
P	B	f22v|f22v.6-f22v.16	f22v.11:2	oty	thermal	cold			MISSING_MATERIAL_BINDING	MISSING_MATERIAL_BINDING	MISSING	recorded
P	B	f22v|f22v.6-f22v.16	f22v.14:3	shol	moisture	wet			MISSING_MATERIAL_BINDING	MISSING_MATERIAL_BINDING	MISSING	recorded
T	J	f22v|f22v.6-f22v.16	f22v.6:2	shy	moisture	wet	f22v.6:3	f22v.6:3			LOCAL_RIGHT	recorded
T	J	f22v|f22v.6-f22v.16	f22v.11:2	oty	thermal	cold			MISSING_MATERIAL_BINDING	MISSING_MATERIAL_BINDING	MISSING	recorded
T	J	f22v|f22v.6-f22v.16	f22v.14:3	shol	moisture	wet			MISSING_MATERIAL_BINDING	MISSING_MATERIAL_BINDING	MISSING	recorded
P	J	f22v|f22v.6-f22v.16	f22v.6:2	shy	moisture	wet	f22v.6:3	f22v.6:3			LOCAL_RIGHT	recorded
P	J	f22v|f22v.6-f22v.16	f22v.11:2	oty	thermal	cold			MISSING_MATERIAL_BINDING	MISSING_MATERIAL_BINDING	MISSING	recorded
P	J	f22v|f22v.6-f22v.16	f22v.14:3	shol	moisture	wet			MISSING_MATERIAL_BINDING	MISSING_MATERIAL_BINDING	MISSING	recorded
T	M	f22v|f22v.6-f22v.16	f22v.6:2	shy	moisture	wet	f22v.6:3	f22v.6:3			LOCAL_RIGHT	recorded
T	M	f22v|f22v.6-f22v.16	f22v.11:2	oty	thermal	cold			MISSING_MATERIAL_BINDING	MISSING_MATERIAL_BINDING	MISSING	recorded
T	M	f22v|f22v.6-f22v.16	f22v.14:3	shol	moisture	wet			MISSING_MATERIAL_BINDING	MISSING_MATERIAL_BINDING	MISSING	recorded
P	M	f22v|f22v.6-f22v.16	f22v.6:2	shy	moisture	wet	f22v.6:3	f22v.6:3			LOCAL_RIGHT	recorded
P	M	f22v|f22v.6-f22v.16	f22v.11:2	oty	thermal	cold			MISSING_MATERIAL_BINDING	MISSING_MATERIAL_BINDING	MISSING	recorded
P	M	f22v|f22v.6-f22v.16	f22v.14:3	shol	moisture	wet			MISSING_MATERIAL_BINDING	MISSING_MATERIAL_BINDING	MISSING	recorded
T	B	f24r|f24r.1-f24r.20	f24r.2:5	oky	thermal	warm	f24r.2:2	f24r.2:2	UNREAD_BETWEEN:f24r.2:4	UNREAD_BETWEEN:f24r.2:4	LOCAL_LEFT	recorded
T	B	f24r|f24r.1-f24r.20	f24r.17:5	oky	thermal	warm	f24r.17:3	f24r.17:3	UNREAD_BETWEEN:f24r.17:4	UNREAD_BETWEEN:f24r.17:4	LOCAL_LEFT	recorded
P	B	f24r|f24r.1-f24r.20	f24r.2:5	oky	thermal	warm	f24r.2:2	f24r.2:2	UNREAD_BETWEEN:f24r.2:4	UNREAD_BETWEEN:f24r.2:4	LOCAL_LEFT	recorded
P	B	f24r|f24r.1-f24r.20	f24r.17:5	oky	thermal	warm	f24r.17:3	f24r.17:3	UNREAD_BETWEEN:f24r.17:4	UNREAD_BETWEEN:f24r.17:4	LOCAL_LEFT	recorded
T	J	f24r|f24r.1-f24r.20	f24r.2:5	oky	thermal	warm	f24r.2:2	f24r.2:2	UNREAD_BETWEEN:f24r.2:4	UNREAD_BETWEEN:f24r.2:4	LOCAL_LEFT	recorded
T	J	f24r|f24r.1-f24r.20	f24r.17:5	oky	thermal	warm	f24r.17:3	f24r.17:3	UNREAD_BETWEEN:f24r.17:4	UNREAD_BETWEEN:f24r.17:4	LOCAL_LEFT	recorded
P	J	f24r|f24r.1-f24r.20	f24r.2:5	oky	thermal	warm	f24r.2:2	f24r.2:2	UNREAD_BETWEEN:f24r.2:4	UNREAD_BETWEEN:f24r.2:4	LOCAL_LEFT	recorded
P	J	f24r|f24r.1-f24r.20	f24r.17:5	oky	thermal	warm	f24r.17:3	f24r.17:3	UNREAD_BETWEEN:f24r.17:4	UNREAD_BETWEEN:f24r.17:4	LOCAL_LEFT	recorded
T	M	f24r|f24r.1-f24r.20	f24r.2:5	oky	thermal	warm	f24r.2:2	f24r.2:2	UNREAD_BETWEEN:f24r.2:4	UNREAD_BETWEEN:f24r.2:4	LOCAL_LEFT	recorded
T	M	f24r|f24r.1-f24r.20	f24r.17:5	oky	thermal	warm	f24r.17:3	f24r.17:3	UNREAD_BETWEEN:f24r.17:4	UNREAD_BETWEEN:f24r.17:4	LOCAL_LEFT	recorded
P	M	f24r|f24r.1-f24r.20	f24r.2:5	oky	thermal	warm	f24r.2:2	f24r.2:2	UNREAD_BETWEEN:f24r.2:4	UNREAD_BETWEEN:f24r.2:4	LOCAL_LEFT	recorded
P	M	f24r|f24r.1-f24r.20	f24r.17:5	oky	thermal	warm	f24r.17:3	f24r.17:3	UNREAD_BETWEEN:f24r.17:4	UNREAD_BETWEEN:f24r.17:4	LOCAL_LEFT	recorded
T	B	f45v|f45v.5-f45v.11	f45v.5:5	oty	thermal	cold	f45v.5:1	f45v.5:1	UNREAD_BETWEEN:f45v.5:2;UNREAD_BETWEEN:f45v.5:3	UNREAD_BETWEEN:f45v.5:2;UNREAD_BETWEEN:f45v.5:3	LOCAL_LEFT	recorded
T	B	f45v|f45v.5-f45v.11	f45v.10:3	oky	thermal	warm			MISSING_MATERIAL_BINDING	MISSING_MATERIAL_BINDING	MISSING	recorded
P	B	f45v|f45v.5-f45v.11	f45v.5:5	oty	thermal	cold	f45v.5:1	f45v.5:1	UNREAD_BETWEEN:f45v.5:2;UNREAD_BETWEEN:f45v.5:3	UNREAD_BETWEEN:f45v.5:2;UNREAD_BETWEEN:f45v.5:3	LOCAL_LEFT	recorded
P	B	f45v|f45v.5-f45v.11	f45v.10:3	oky	thermal	warm			MISSING_MATERIAL_BINDING	MISSING_MATERIAL_BINDING	MISSING	recorded
T	J	f45v|f45v.5-f45v.11	f45v.5:5	oty	thermal	cold	f45v.5:1	f45v.5:1	UNREAD_BETWEEN:f45v.5:2;UNREAD_BETWEEN:f45v.5:3	UNREAD_BETWEEN:f45v.5:2;UNREAD_BETWEEN:f45v.5:3	LOCAL_LEFT	recorded
T	J	f45v|f45v.5-f45v.11	f45v.10:3	oky	thermal	warm			MISSING_MATERIAL_BINDING	MISSING_MATERIAL_BINDING	MISSING	recorded
P	J	f45v|f45v.5-f45v.11	f45v.5:5	oty	thermal	cold	f45v.5:1	f45v.5:1	UNREAD_BETWEEN:f45v.5:2;UNREAD_BETWEEN:f45v.5:3	UNREAD_BETWEEN:f45v.5:2;UNREAD_BETWEEN:f45v.5:3	LOCAL_LEFT	recorded
P	J	f45v|f45v.5-f45v.11	f45v.10:3	oky	thermal	warm			MISSING_MATERIAL_BINDING	MISSING_MATERIAL_BINDING	MISSING	recorded
T	M	f45v|f45v.5-f45v.11	f45v.5:5	oty	thermal	cold	f45v.5:1	f45v.5:1	UNREAD_BETWEEN:f45v.5:2;UNREAD_BETWEEN:f45v.5:3	UNREAD_BETWEEN:f45v.5:2;UNREAD_BETWEEN:f45v.5:3	LOCAL_LEFT	recorded
T	M	f45v|f45v.5-f45v.11	f45v.10:3	oky	thermal	warm			MISSING_MATERIAL_BINDING	MISSING_MATERIAL_BINDING	MISSING	recorded
P	M	f45v|f45v.5-f45v.11	f45v.5:5	oty	thermal	cold	f45v.5:1	f45v.5:1	UNREAD_BETWEEN:f45v.5:2;UNREAD_BETWEEN:f45v.5:3	UNREAD_BETWEEN:f45v.5:2;UNREAD_BETWEEN:f45v.5:3	LOCAL_LEFT	recorded
P	M	f45v|f45v.5-f45v.11	f45v.10:3	oky	thermal	warm			MISSING_MATERIAL_BINDING	MISSING_MATERIAL_BINDING	MISSING	recorded
T	B	f86v5|f86v5.18-f86v5.25	f86v5.19:6	oty	thermal	cold	f86v5.18:8	f86v5.18:8	ASSUMED_RESULT_OR_PROCESS_CONDITION:f86v5.19:3;UNREAD_BETWEEN:f86v5.18:10;UNREAD_BETWEEN:f86v5.19:1;UNREAD_BETWEEN:f86v5.19:2;IMPLICIT_SUBJECT_CONTINUATION;UNREAD_BETWEEN:f86v5.18:10;UNREAD_BETWEEN:f86v5.19:1;UNREAD_BETWEEN:f86v5.19:2;UNREAD_BETWEEN:f86v5.19:4;UNREAD_BETWEEN:f86v5.19:5	ASSUMED_RESULT_OR_PROCESS_CONDITION:f86v5.19:3;UNREAD_BETWEEN:f86v5.18:10;UNREAD_BETWEEN:f86v5.19:1;UNREAD_BETWEEN:f86v5.19:2;IMPLICIT_SUBJECT_CONTINUATION;UNREAD_BETWEEN:f86v5.18:10;UNREAD_BETWEEN:f86v5.19:1;UNREAD_BETWEEN:f86v5.19:2;UNREAD_BETWEEN:f86v5.19:4;UNREAD_BETWEEN:f86v5.19:5	ACTION_RESULT_REFERENCE	recorded
T	B	f86v5|f86v5.18-f86v5.25	f86v5.19:7	oty	thermal	cold	f86v5.18:8	f86v5.18:8	ASSUMED_RESULT_OR_PROCESS_CONDITION:f86v5.19:3;UNREAD_BETWEEN:f86v5.18:10;UNREAD_BETWEEN:f86v5.19:1;UNREAD_BETWEEN:f86v5.19:2;IMPLICIT_SUBJECT_CONTINUATION;UNREAD_BETWEEN:f86v5.18:10;UNREAD_BETWEEN:f86v5.19:1;UNREAD_BETWEEN:f86v5.19:2;UNREAD_BETWEEN:f86v5.19:4;UNREAD_BETWEEN:f86v5.19:5	ASSUMED_RESULT_OR_PROCESS_CONDITION:f86v5.19:3;UNREAD_BETWEEN:f86v5.18:10;UNREAD_BETWEEN:f86v5.19:1;UNREAD_BETWEEN:f86v5.19:2;IMPLICIT_SUBJECT_CONTINUATION;UNREAD_BETWEEN:f86v5.18:10;UNREAD_BETWEEN:f86v5.19:1;UNREAD_BETWEEN:f86v5.19:2;UNREAD_BETWEEN:f86v5.19:4;UNREAD_BETWEEN:f86v5.19:5	ACTION_RESULT_REFERENCE	recorded
P	B	f86v5|f86v5.18-f86v5.25	f86v5.19:6	oty	thermal	cold	f86v5.18:8	f86v5.18:8	ASSUMED_RESULT_OR_PROCESS_CONDITION:f86v5.19:3;UNREAD_BETWEEN:f86v5.18:10;UNREAD_BETWEEN:f86v5.19:1;UNREAD_BETWEEN:f86v5.19:2;IMPLICIT_SUBJECT_CONTINUATION;UNREAD_BETWEEN:f86v5.18:10;UNREAD_BETWEEN:f86v5.19:1;UNREAD_BETWEEN:f86v5.19:2;UNREAD_BETWEEN:f86v5.19:4;UNREAD_BETWEEN:f86v5.19:5	ASSUMED_RESULT_OR_PROCESS_CONDITION:f86v5.19:3;UNREAD_BETWEEN:f86v5.18:10;UNREAD_BETWEEN:f86v5.19:1;UNREAD_BETWEEN:f86v5.19:2;IMPLICIT_SUBJECT_CONTINUATION;UNREAD_BETWEEN:f86v5.18:10;UNREAD_BETWEEN:f86v5.19:1;UNREAD_BETWEEN:f86v5.19:2;UNREAD_BETWEEN:f86v5.19:4;UNREAD_BETWEEN:f86v5.19:5	ACTION_RESULT_REFERENCE	recorded
