visual_event_ordinal	channel	visual_state	locus	physical_folio	source_selector	visual_array_id	atlas_array_id	kluge_a_member	complete_label_surface	canonical_boundary_family	canonical_compact_family	transferred_prefix	strict_residual	provenance	source_id	confidence	visual_detail	block_state_counts	block_is_state_pure	semantic_ceiling
11	ZODIAC_BARREL	PRESENT	f70v1.7	f70	f70v1	f70v1:OUTER	SCARR020|f70v1|S2	11	oalcheg	AABKJB	AABKJB	NONE	AABKJB	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0445	STRICT_ELIGIBLE	NONE	PRESENT:8	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
12	ZODIAC_BARREL	PRESENT	f70v1.8	f70	f70v1	f70v1:OUTER	SCARR020|f70v1|S2	12	otchodals	AQKABABC	AQKABABC	NONE	AQKABABC	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0447	STRICT_ELIGIBLE	NONE	PRESENT:8	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
13	ZODIAC_BARREL	PRESENT	f70v2.10	f70	f70v2	f70v2:OUTER	SCARR018|f70v2|S2	19	otald	AQABB	AQABB	AQAB	B	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0351	STRICT_ELIGIBLE	NONE	PRESENT:16	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
14	ZODIAC_BARREL	PRESENT	f70v2.11	f70	f70v2	f70v2:OUTER	SCARR018|f70v2|S2	20	otaldar	AQABBAC	AQABBAC	AQAB	BAC	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0354	STRICT_ELIGIBLE	NONE	PRESENT:16	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
15	ZODIAC_BARREL	PRESENT	f70v2.12	f70	f70v2	f70v2:OUTER	SCARR018|f70v2|S2	21	okody	AQABA	AQABA	AQAB	A	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0357	STRICT_ELIGIBLE	NONE	PRESENT:16	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
16	ZODIAC_BARREL	PRESENT	f70v2.13	f70	f70v2	f70v2:OUTER	SCARR018|f70v2|S2	22	opysam	APACAB	APACAB	APAC	AB	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0360	STRICT_ELIGIBLE	NONE	PRESENT:16	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
17	ZODIAC_BARREL	PRESENT	f70v2.14	f70	f70v2	f70v2:OUTER	SCARR018|f70v2|S2	23	chy	KWA	KWA	NONE	KWA	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0363	STRICT_ELIGIBLE	NONE	PRESENT:16	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
18	ZODIAC_BARREL	PRESENT	f70v2.15	f70	f70v2	f70v2:OUTER	SCARR018|f70v2|S2	24	otaly	AQABA	AQABA	AQAB	A	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0366	STRICT_ELIGIBLE	NONE	PRESENT:16	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
19	ZODIAC_BARREL	PRESENT	f70v2.17	f70	f70v2	f70v2:OUTER	SCARR018|f70v2|S2	26	otaldy	AQABBA	AQABBA	AQAB	BA	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0372	STRICT_ELIGIBLE	NONE	PRESENT:16	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
20	ZODIAC_BARREL	PRESENT	f70v2.18	f70	f70v2	f70v2:OUTER	SCARR018|f70v2|S2	27	okeoly	AQJABA	AQJABA	NONE	AQJABA	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0375	STRICT_ELIGIBLE	NONE	PRESENT:16	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
21	ZODIAC_BARREL	PRESENT	f70v2.19	f70	f70v2	f70v2:OUTER	SCARR018|f70v2|S2	28	okydy	AQABA	AQABA	AQAB	A	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0378	STRICT_ELIGIBLE	NONE	PRESENT:16	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
22	ZODIAC_BARREL	PRESENT	f70v2.2	f70	f70v2	f70v2:OUTER	SCARR018|f70v2|S2	11	otalalg	AQABABB	AQABABB	AQAB	ABB	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0384	STRICT_ELIGIBLE	NONE	PRESENT:16	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
23	ZODIAC_BARREL	PRESENT	f70v2.23	f70	f70v2	f70v2:INNER	SCARR019|f70v2|S1	2	otar al	AQACAB	AQACAB	AQAC	AB	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0402	STRICT_ELIGIBLE	NONE	PRESENT:9	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
24	ZODIAC_BARREL	PRESENT	f70v2.24	f70	f70v2	f70v2:INNER	SCARR019|f70v2|S1	3	otalar	AQABAC	AQABAC	AQAB	AC	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0405	STRICT_ELIGIBLE	NONE	PRESENT:9	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
25	ZODIAC_BARREL	PRESENT	f70v2.25	f70	f70v2	f70v2:INNER	SCARR019|f70v2|S1	4	otalam	AQABAB	AQABAB	AQAB	AB	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0408	STRICT_ELIGIBLE	NONE	PRESENT:9	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
26	ZODIAC_BARREL	PRESENT	f70v2.26	f70	f70v2	f70v2:INNER	SCARR019|f70v2|S1	5	dolaram	BABACAB	BABACAB	NONE	BABACAB	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0411	STRICT_ELIGIBLE	NONE	PRESENT:9	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
27	ZODIAC_BARREL	PRESENT	f70v2.27	f70	f70v2	f70v2:INNER	SCARR019|f70v2|S1	6	okaram	AQACAB	AQACAB	AQAC	AB	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0414	STRICT_ELIGIBLE	NONE	PRESENT:9	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
28	ZODIAC_BARREL	PRESENT	f70v2.28	f70	f70v2	f70v2:INNER	SCARR019|f70v2|S1	7	oteosal	AQJACAB	AQJACAB	NONE	AQJACAB	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0417	STRICT_ELIGIBLE	NONE	PRESENT:9	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
29	ZODIAC_BARREL	PRESENT	f70v2.29	f70	f70v2	f70v2:INNER	SCARR019|f70v2|S1	8	salols	CABABC	CABABC	NONE	CABABC	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0420	STRICT_ELIGIBLE	NONE	PRESENT:9	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
30	ZODIAC_BARREL	PRESENT	f70v2.3	f70	f70v2	f70v2:OUTER	SCARR018|f70v2|S2	12	ykary	AQACA	AQACA	AQAC	A	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0387	STRICT_ELIGIBLE	NONE	PRESENT:16	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
31	ZODIAC_BARREL	PRESENT	f70v2.30	f70	f70v2	f70v2:INNER	SCARR019|f70v2|S1	9	okaldal	AQABBAB	AQABBAB	AQAB	BAB	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0423	STRICT_ELIGIBLE	NONE	PRESENT:9	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
32	ZODIAC_BARREL	PRESENT	f70v2.31	f70	f70v2	f70v2:INNER	SCARR019|f70v2|S1	10	ykolaiin	AQABAG	AQABAG	AQAB	AG	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0396	STRICT_ELIGIBLE	NONE	PRESENT:9	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
33	ZODIAC_BARREL	PRESENT	f70v2.5	f70	f70v2	f70v2:OUTER	SCARR018|f70v2|S2	14	oty	AQA	AQA	AQA	EMPTY	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0393	STRICT_ELIGIBLE	NONE	PRESENT:16	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
34	ZODIAC_BARREL	PRESENT	f70v2.6	f70	f70v2	f70v2:OUTER	SCARR018|f70v2|S2	15	oky ody	AQA|ABA	AQAABA	AQA	|ABA	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0339	STRICT_ELIGIBLE	NONE	PRESENT:16	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
35	ZODIAC_BARREL	PRESENT	f70v2.7	f70	f70v2	f70v2:OUTER	SCARR018|f70v2|S2	16	oty ar	AQA|AC	AQAAC	AQA	|AC	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0342	STRICT_ELIGIBLE	NONE	PRESENT:16	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
36	ZODIAC_BARREL	PRESENT	f70v2.8	f70	f70v2	f70v2:OUTER	SCARR018|f70v2|S2	17	okala	AQABA	AQABA	AQAB	A	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0345	STRICT_ELIGIBLE	NONE	PRESENT:16	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
37	ZODIAC_BARREL	PRESENT	f70v2.9	f70	f70v2	f70v2:OUTER	SCARR018|f70v2|S2	18	otody	AQABA	AQABA	AQAB	A	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0348	STRICT_ELIGIBLE	NONE	PRESENT:16	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
38	ZODIAC_BARREL	PRESENT	f71v.10	f71	f71v	f71v:OUTER	SCARR024|f71v|S1	14	opalar am dan	APABAC|AB|BAE	APABACABBAE	APAB	AC|AB|BAE	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0510	STRICT_ELIGIBLE	NONE	PRESENT:10	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
39	ZODIAC_BARREL	PRESENT	f71v.11	f71	f71v	f71v:OUTER	SCARR024|f71v|S1	15	opalor ar	APABAC|AC	APABACAC	APAB	AC|AC	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0513	STRICT_ELIGIBLE	NONE	PRESENT:10	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
40	ZODIAC_BARREL	PRESENT	f71v.14	f71	f71v	f71v:INNER	SCARR025|f71v|S2	2	otalody	AQABABA	AQABABA	AQAB	ABA	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0519	STRICT_ELIGIBLE	NONE	PRESENT:3	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
41	ZODIAC_BARREL	PRESENT	f71v.15	f71	f71v	f71v:INNER	SCARR025|f71v|S2	3	otalaiin	AQABAG	AQABAG	AQAB	AG	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0522	STRICT_ELIGIBLE	NONE	PRESENT:3	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
42	ZODIAC_BARREL	PRESENT	f71v.17	f71	f71v	f71v:INNER	SCARR025|f71v|S2	5	sholshdy	LABLBA	LABLBA	NONE	LABLBA	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0528	STRICT_ELIGIBLE	NONE	PRESENT:3	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
43	ZODIAC_BARREL	PRESENT	f71v.2	f71	f71v	f71v:OUTER	SCARR024|f71v|S1	6	char arom	KAC|ACAB	KACACAB	NONE	KAC|ACAB	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0486	STRICT_ELIGIBLE	NONE	PRESENT:10	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
44	ZODIAC_BARREL	PRESENT	f71v.3	f71	f71v	f71v:OUTER	SCARR024|f71v|S1	7	chfaly	KPABA	KPABA	NONE	KPABA	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0489	STRICT_ELIGIBLE	NONE	PRESENT:10	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
45	ZODIAC_BARREL	PRESENT	f71v.4	f71	f71v	f71v:OUTER	SCARR024|f71v|S1	8	okolar	AQABAC	AQABAC	AQAB	AC	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0492	STRICT_ELIGIBLE	NONE	PRESENT:10	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
46	ZODIAC_BARREL	PRESENT	f71v.5	f71	f71v	f71v:OUTER	SCARR024|f71v|S1	9	otchody	AQKABA	AQKABA	NONE	AQKABA	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0495	STRICT_ELIGIBLE	NONE	PRESENT:10	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
47	ZODIAC_BARREL	PRESENT	f71v.6	f71	f71v	f71v:OUTER	SCARR024|f71v|S1	10	alcphy	ABTA	ABTA	NONE	ABTA	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0498	STRICT_ELIGIBLE	NONE	PRESENT:10	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
48	ZODIAC_BARREL	PRESENT	f71v.7	f71	f71v	f71v:OUTER	SCARR024|f71v|S1	11	otaiin	AQAG	AQAG	AQA	G	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0501	STRICT_ELIGIBLE	NONE	PRESENT:10	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
49	ZODIAC_BARREL	PRESENT	f71v.8	f71	f71v	f71v:OUTER	SCARR024|f71v|S1	12	okaraiin	AQACAG	AQACAG	AQAC	AG	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0504	STRICT_ELIGIBLE	NONE	PRESENT:10	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
50	ZODIAC_BARREL	PRESENT	f71v.9	f71	f71v	f71v:OUTER	SCARR024|f71v|S1	13	otar ar aly	AQAC|AC|ABA	AQACACABA	AQAC	|AC|ABA	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0507	STRICT_ELIGIBLE	NONE	PRESENT:10	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
51	ZODIAC_BARREL	PRESENT	f72r1.13	f72	f72r1	f72r1:INNER	SCARR027|f72r1|S2	1	ofaralar	APACABAC	APACABAC	APAC	ABAC	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0530	STRICT_ELIGIBLE	NONE	PRESENT:5	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
52	ZODIAC_BARREL	PRESENT	f72r1.14	f72	f72r1	f72r1:INNER	SCARR027|f72r1|S2	2	otchoshy	AQKALA	AQKALA	NONE	AQKALA	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0532	STRICT_ELIGIBLE	NONE	PRESENT:5	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
53	ZODIAC_BARREL	PRESENT	f72r1.15	f72	f72r1	f72r1:INNER	SCARR027|f72r1|S2	3	otchdal	AQKBAB	AQKBAB	NONE	AQKBAB	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0534	STRICT_ELIGIBLE	NONE	PRESENT:5	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
54	ZODIAC_BARREL	PRESENT	f72r1.16	f72	f72r1	f72r1:INNER	SCARR027|f72r1|S2	4	okeey ary	AQKA|ACA	AQKAACA	NONE	AQKA|ACA	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0536	STRICT_ELIGIBLE	NONE	PRESENT:5	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
55	ZODIAC_BARREL	PRESENT	f72r1.17	f72	f72r1	f72r1:INNER	SCARR027|f72r1|S2	5	otainy	AQAFA	AQAFA	AQA	FA	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0538	STRICT_ELIGIBLE	NONE	PRESENT:5	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
56	ZODIAC_BARREL	ABSENT	f72r1.4	f72	f72r1	f72r1:OUTER	SCARR026|f72r1|S1	8	oaiin ar ary	AAG|AC|ACA	AAGACACA	NONE	AAG|AC|ACA	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0545	STRICT_ELIGIBLE	NONE	ABSENT:5	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
57	ZODIAC_BARREL	ABSENT	f72r1.5	f72	f72r1	f72r1:OUTER	SCARR026|f72r1|S1	9	okalam	AQABAB	AQABAB	AQAB	AB	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0547	STRICT_ELIGIBLE	NONE	ABSENT:5	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
58	ZODIAC_BARREL	ABSENT	f72r1.6	f72	f72r1	f72r1:OUTER	SCARR026|f72r1|S1	10	ytalshdy	AQABLBA	AQABLBA	AQAB	LBA	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0549	STRICT_ELIGIBLE	NONE	ABSENT:5	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
59	ZODIAC_BARREL	ABSENT	f72r1.8	f72	f72r1	f72r1:OUTER	SCARR026|f72r1|S1	12	otaraldy	AQACABBA	AQACABBA	AQAC	ABBA	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0553	STRICT_ELIGIBLE	NONE	ABSENT:5	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
60	ZODIAC_BARREL	ABSENT	f72r1.9	f72	f72r1	f72r1:OUTER	SCARR026|f72r1|S1	13	otaiin otain	AQAG|AQAF	AQAGAQAF	AQA	G|AQAF	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0555	STRICT_ELIGIBLE	NONE	ABSENT:5	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
61	ZODIAC_BARREL	ABSENT	f72r2.10	f72	f72r2	f72r2:OUTER	SCARR029|f72r2|S1	13	okaly	AQABA	AQABA	AQAB	A	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0603	STRICT_ELIGIBLE	NONE	ABSENT:8	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
62	ZODIAC_BARREL	ABSENT	f72r2.12	f72	f72r2	f72r2:OUTER	SCARR029|f72r2|S1	15	okeey ary	AQKA|ACA	AQKAACA	NONE	AQKA|ACA	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0591	STRICT_ELIGIBLE	NONE	ABSENT:8	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
63	ZODIAC_BARREL	ABSENT	f72r2.13	f72	f72r2	f72r2:OUTER	SCARR029|f72r2|S1	16	oteeary	AQKACA	AQKACA	NONE	AQKACA	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0593	STRICT_ELIGIBLE	NONE	ABSENT:8	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
64	ZODIAC_BARREL	ABSENT	f72r2.14	f72	f72r2	f72r2:OUTER	SCARR029|f72r2|S1	17	otair dy	AQAF|BA	AQAFBA	AQA	F|BA	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0595	STRICT_ELIGIBLE	NONE	ABSENT:8	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
65	ZODIAC_BARREL	ABSENT	f72r2.15	f72	f72r2	f72r2:OUTER	SCARR029|f72r2|S1	18	okaircham	AQAFKAB	AQAFKAB	AQA	FKAB	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0597	STRICT_ELIGIBLE	NONE	ABSENT:8	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
66	ZODIAC_BARREL	ABSENT	f72r2.23	f72	f72r2	f72r2:INNER	SCARR030|f72r2|S2	1	otal	AQAB	AQAB	AQAB	EMPTY	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0561	STRICT_ELIGIBLE	NONE	ABSENT:9	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
67	ZODIAC_BARREL	ABSENT	f72r2.24	f72	f72r2	f72r2:INNER	SCARR030|f72r2|S2	2	ralal	CABAB	CABAB	NONE	CABAB	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0563	STRICT_ELIGIBLE	NONE	ABSENT:9	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
68	ZODIAC_BARREL	ABSENT	f72r2.25	f72	f72r2	f72r2:INNER	SCARR030|f72r2|S2	3	okam	AQAB	AQAB	AQAB	EMPTY	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0565	STRICT_ELIGIBLE	NONE	ABSENT:9	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
69	ZODIAC_BARREL	ABSENT	f72r2.26	f72	f72r2	f72r2:INNER	SCARR030|f72r2|S2	4	otalshy	AQABLA	AQABLA	AQAB	LA	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0567	STRICT_ELIGIBLE	NONE	ABSENT:9	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
70	ZODIAC_BARREL	ABSENT	f72r2.27	f72	f72r2	f72r2:INNER	SCARR030|f72r2|S2	5	okaldy	AQABBA	AQABBA	AQAB	BA	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0569	STRICT_ELIGIBLE	NONE	ABSENT:9	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
71	ZODIAC_BARREL	ABSENT	f72r2.28	f72	f72r2	f72r2:INNER	SCARR030|f72r2|S2	6	chosar	KACAC	KACAC	NONE	KACAC	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0571	STRICT_ELIGIBLE	NONE	ABSENT:9	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
72	ZODIAC_BARREL	ABSENT	f72r2.29	f72	f72r2	f72r2:INNER	SCARR030|f72r2|S2	7	otam	AQAB	AQAB	AQAB	EMPTY	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0573	STRICT_ELIGIBLE	NONE	ABSENT:9	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
73	ZODIAC_BARREL	ABSENT	f72r2.30	f72	f72r2	f72r2:INNER	SCARR030|f72r2|S2	8	ainaly	AFABA	AFABA	NONE	AFABA	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0576	STRICT_ELIGIBLE	NONE	ABSENT:9	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
74	ZODIAC_BARREL	ABSENT	f72r2.31	f72	f72r2	f72r2:INNER	SCARR030|f72r2|S2	9	okarcham	AQACKAB	AQACKAB	AQAC	KAB	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0579	STRICT_ELIGIBLE	NONE	ABSENT:9	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
75	ZODIAC_BARREL	ABSENT	f72r2.7	f72	f72r2	f72r2:OUTER	SCARR029|f72r2|S1	10	otaraldy	AQACABBA	AQACABBA	AQAC	ABBA	HUMAN_CATALOGUE_EXPLICIT	STOLFI_BEST_0581	STRICT_ELIGIBLE	NONE	ABSENT:8	YES	EXISTING_VISUAL_STATE_CANDIDATE_ONLY
