running_event_ordinal	event_id	statement_id	physical_page	register	owner_de	locus	card_ordinal_in_statement	surface	component_recipe	action_heads_de	active_head_before_de	arguments_de	relations_de	grades_de	sequence_de	local_channels_de	binding_trace_de	active_head_after_de	closes_gang	duplicate_rule	scope_status
15	P912-E0015	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.2	15	otytchol	OT+Y+T+CH+OL	EINSTELLEN+NEHMEN	NEHMEN	AKTIVER POSTEN	NONE	NONE	DANACH+FORTSETZEN	NONE	DANACH→EINSTELLEN | AKTIVER POSTEN→EINSTELLEN | EINSTELLEN=KOPF | NEHMEN=KOPF | FORTSETZEN→NEHMEN	EINSTELLEN	NO	NONE	CARRIED_SCOPE
16	P912-E0016	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.2	16	oky	OK+Y	SETZEN	EINSTELLEN	AKTIVER POSTEN	NONE	NONE	NONE	NONE	SETZEN=KOPF | AKTIVER POSTEN→SETZEN	SETZEN	NO	NONE	SELF_CONTAINED
17	P912-E0017	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.2	17	daiin	AIIN	NONE	SETZEN	WERT	NONE	NONE	NONE	NONE	WERT→SETZEN	SETZEN	NO	NONE	CARRIED_SCOPE
18	P912-E0018	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.2	18	etyd	E+T+Y	EINSTELLEN	SETZEN	AKTIVER POSTEN	NONE	GRAD I	NONE	NONE	GRAD I→EINSTELLEN | EINSTELLEN=KOPF | AKTIVER POSTEN→EINSTELLEN	EINSTELLEN	NO	NONE	SELF_CONTAINED
19	P912-E0019	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.3	19	qotor	OT+OR	NONE	EINSTELLEN	EINHEIT	NONE	NONE	DANACH	NONE	DANACH→EINSTELLEN | EINHEIT→EINSTELLEN	EINSTELLEN	NO	NONE	CARRIED_SCOPE
20	P912-E0020	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.3	20	o	O	NONE	EINSTELLEN	NONE	NONE	AUSFÜHRUNG	NONE	NONE	AUSFÜHRUNG→EINSTELLEN	EINSTELLEN	NO	NONE	CARRIED_SCOPE
21	P912-E0021	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.3	21	tchy	T+Y	EINSTELLEN	EINSTELLEN	AKTIVER POSTEN	NONE	NONE	NONE	NONE	EINSTELLEN=KOPF | AKTIVER POSTEN→EINSTELLEN	EINSTELLEN	NO	NONE	SELF_CONTAINED
22	P912-E0022	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.3	22	daiin	AIIN	NONE	EINSTELLEN	WERT	NONE	NONE	NONE	NONE	WERT→EINSTELLEN	EINSTELLEN	NO	NONE	CARRIED_SCOPE
23	P912-E0023	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.3	23	chocthy	CH+O+CH+T+Y	NEHMEN+NEHMEN+EINSTELLEN	EINSTELLEN	AKTIVER POSTEN	NONE	AUSFÜHRUNG	NONE	NONE	NEHMEN=KOPF | AUSFÜHRUNG→NEHMEN | NEHMEN=KOPF | EINSTELLEN=KOPF | AKTIVER POSTEN→EINSTELLEN	NEHMEN	NO	NONE	SELF_CONTAINED
24	P912-E0024	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.3	24	qotchy	OT+Y	NONE	NEHMEN	AKTIVER POSTEN	NONE	NONE	DANACH	NONE	DANACH→NEHMEN | AKTIVER POSTEN→NEHMEN	NEHMEN	NO	NONE	CARRIED_SCOPE
25	P912-E0025	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.3	25	chol	OL	NONE	NEHMEN	NONE	NONE	NONE	FORTSETZEN	NONE	FORTSETZEN→NEHMEN	NEHMEN	NO	NONE	CARRIED_SCOPE
26	P912-E0026	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.3	26	or	OR	NONE	NEHMEN	EINHEIT	NONE	NONE	NONE	NONE	EINHEIT→NEHMEN	NEHMEN	NO	NONE	CARRIED_SCOPE
27	P912-E0027	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.3	27	yty	Y+T+Y	EINSTELLEN	NEHMEN	AKTIVER POSTEN+AKTIVER POSTEN	NONE	NONE	NONE	NONE	AKTIVER POSTEN→EINSTELLEN | EINSTELLEN=KOPF | AKTIVER POSTEN→EINSTELLEN	EINSTELLEN	NO	NONE	SELF_CONTAINED
28	P912-E0028	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.3	28	dy	Y	NONE	EINSTELLEN	AKTIVER POSTEN	NONE	NONE	NONE	NONE	AKTIVER POSTEN→EINSTELLEN	EINSTELLEN	NO	NONE	CARRIED_SCOPE
29	P912-E0029	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.3	29	dy	Y	NONE	EINSTELLEN	AKTIVER POSTEN	NONE	NONE	NONE	NONE	AKTIVER POSTEN→EINSTELLEN	EINSTELLEN	NO	NONE	CARRIED_SCOPE
30	P912-E0030	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.4	30	sor	S+OR	WÄHLEN	EINSTELLEN	EINHEIT	NONE	NONE	NONE	NONE	WÄHLEN=KOPF | EINHEIT→WÄHLEN	WÄHLEN	NO	NONE	SELF_CONTAINED
31	P912-E0031	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.4	31	chaiin	CH+AIIN	NEHMEN	WÄHLEN	WERT	NONE	NONE	NONE	NONE	NEHMEN=KOPF | WERT→NEHMEN	NEHMEN	NO	NONE	SELF_CONTAINED
32	P912-E0032	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.4	32	chcthy	CH+CH+T+Y	NEHMEN+NEHMEN+EINSTELLEN	NEHMEN	AKTIVER POSTEN	NONE	NONE	NONE	NONE	NEHMEN=KOPF | NEHMEN=KOPF | EINSTELLEN=KOPF | AKTIVER POSTEN→EINSTELLEN	NEHMEN	NO	PACKAGE_SCOPE_DESCENT	SELF_CONTAINED
33	P912-E0033	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.4	33	ctho	CH+T+O	NEHMEN+EINSTELLEN	NEHMEN	NONE	NONE	AUSFÜHRUNG	NONE	NONE	NEHMEN=KOPF | EINSTELLEN=KOPF | AUSFÜHRUNG→EINSTELLEN	NEHMEN	NO	NONE	SELF_CONTAINED
34	P912-E0034	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.4	34	ckhy	CH+K+Y	NEHMEN+GEBEN	NEHMEN	AKTIVER POSTEN	NONE	NONE	NONE	NONE	NEHMEN=KOPF | GEBEN=KOPF | AKTIVER POSTEN→GEBEN	NEHMEN	NO	NONE	SELF_CONTAINED
35	P912-E0035	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.4	35	or	OR	NONE	NEHMEN	EINHEIT	NONE	NONE	NONE	NONE	EINHEIT→NEHMEN	NEHMEN	NO	NONE	CARRIED_SCOPE
36	P912-E0036	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.4	36	aiin	AIIN	NONE	NEHMEN	WERT	NONE	NONE	NONE	NONE	WERT→NEHMEN	NEHMEN	NO	NONE	CARRIED_SCOPE
37	P912-E0037	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.4	37	chtchor	CH+T+CH+OR	NEHMEN+EINSTELLEN+NEHMEN	NEHMEN	EINHEIT	NONE	NONE	NONE	NONE	NEHMEN=KOPF | EINSTELLEN=KOPF | NEHMEN=KOPF | EINHEIT→NEHMEN	NEHMEN	NO	NONE	SELF_CONTAINED
38	P912-E0038	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.4	38	doiir	D_ADDR+O+IIN+R	MARKIEREN	NEHMEN	NONE	NONE	AUSFÜHRUNG+STUFE	NONE	HIER	HIER→BESITZER | AUSFÜHRUNG→MARKIEREN | STUFE→MARKIEREN | MARKIEREN=KOPF	MARKIEREN	NO	NONE	SELF_CONTAINED
39	P912-E0039	P1009-S001	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.4	39	ody	O+DY	NONE	MARKIEREN	NONE	NONE	AUSFÜHRUNG	NONE	NONE	AUSFÜHRUNG→MARKIEREN | SCHLUSS→GANG	NONE	YES	NONE	CARRIED_SCOPE
40	P912-E0040	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.5	1	qokchy	OK+Y	SETZEN	NONE	AKTIVER POSTEN	NONE	NONE	NONE	NONE	SETZEN=KOPF | AKTIVER POSTEN→SETZEN	SETZEN	NO	NONE	SELF_CONTAINED
41	P912-E0041	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.5	2	qotchol	OT+CH+OL	NEHMEN	SETZEN	NONE	NONE	NONE	DANACH+FORTSETZEN	NONE	DANACH→NEHMEN | NEHMEN=KOPF | FORTSETZEN→SETZEN	NEHMEN	NO	NONE	CARRIED_SCOPE
42	P912-E0042	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.5	3	chol	OL	NONE	NEHMEN	NONE	NONE	NONE	FORTSETZEN	NONE	FORTSETZEN→NEHMEN	NEHMEN	NO	NONE	CARRIED_SCOPE
43	P912-E0043	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.5	4	cthy	CH+T+Y	NEHMEN+EINSTELLEN	NEHMEN	AKTIVER POSTEN	NONE	NONE	NONE	NONE	NEHMEN=KOPF | EINSTELLEN=KOPF | AKTIVER POSTEN→EINSTELLEN	NEHMEN	NO	NONE	SELF_CONTAINED
44	P912-E0044	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.6	5	ycheor	Y+CH+E+O+R	NEHMEN+MARKIEREN	NEHMEN	AKTIVER POSTEN	NONE	GRAD I+AUSFÜHRUNG	NONE	NONE	AKTIVER POSTEN→NEHMEN | NEHMEN=KOPF | GRAD I→NEHMEN | AUSFÜHRUNG→MARKIEREN | MARKIEREN=KOPF	NEHMEN	NO	NONE	SELF_CONTAINED
45	P912-E0045	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.6	6	cthy	CH+T+Y	NEHMEN+EINSTELLEN	NEHMEN	AKTIVER POSTEN	NONE	NONE	NONE	NONE	NEHMEN=KOPF | EINSTELLEN=KOPF | AKTIVER POSTEN→EINSTELLEN	NEHMEN	NO	NONE	SELF_CONTAINED
46	P912-E0046	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.6	7	chor	CH+OR	NEHMEN	NEHMEN	EINHEIT	NONE	NONE	NONE	NONE	NEHMEN=KOPF | EINHEIT→NEHMEN	NEHMEN	NO	NONE	SELF_CONTAINED
47	P912-E0047	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.6	8	cthaiin	CH+T+AIIN	NEHMEN+EINSTELLEN	NEHMEN	WERT	NONE	NONE	NONE	NONE	NEHMEN=KOPF | EINSTELLEN=KOPF | WERT→EINSTELLEN	NEHMEN	NO	NONE	SELF_CONTAINED
48	P912-E0048	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.6	9	qoctholy	CARRIER_Q+O+CH+T+OL+Y	NEHMEN+EINSTELLEN	NONE	AKTIVER POSTEN	NONE	AUSFÜHRUNG	FORTSETZEN	NONE	BEGINNMARKER→GANG | AUSFÜHRUNG→NEHMEN | NEHMEN=KOPF | EINSTELLEN=KOPF | FORTSETZEN→EINSTELLEN | AKTIVER POSTEN→EINSTELLEN	NEHMEN	NO	NONE	CARRIED_SCOPE
49	P912-E0049	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.6	10	dy	Y	NONE	NEHMEN	AKTIVER POSTEN	NONE	NONE	NONE	NONE	AKTIVER POSTEN→NEHMEN	NEHMEN	NO	NONE	CARRIED_SCOPE
50	P912-E0050	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.6	11	chy	Y	NONE	NEHMEN	AKTIVER POSTEN	NONE	NONE	NONE	NONE	AKTIVER POSTEN→NEHMEN	NEHMEN	NO	NONE	CARRIED_SCOPE
51	P912-E0051	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.6	12	taiin	T+AIIN	EINSTELLEN	NEHMEN	WERT	NONE	NONE	NONE	NONE	EINSTELLEN=KOPF | WERT→EINSTELLEN	EINSTELLEN	NO	NONE	SELF_CONTAINED
52	P912-E0052	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.6	13	shy	Y	NONE	EINSTELLEN	AKTIVER POSTEN	NONE	NONE	NONE	NONE	AKTIVER POSTEN→EINSTELLEN	EINSTELLEN	NO	NONE	CARRIED_SCOPE
53	P912-E0053	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.7	14	dchy	D_ADDR+Y	NONE	EINSTELLEN	AKTIVER POSTEN	NONE	NONE	NONE	HIER	HIER→BESITZER | AKTIVER POSTEN→EINSTELLEN	EINSTELLEN	NO	NONE	CARRIED_SCOPE
54	P912-E0054	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.7	15	qokchol	OK+OL	SETZEN	EINSTELLEN	NONE	NONE	NONE	FORTSETZEN	NONE	SETZEN=KOPF | FORTSETZEN→EINSTELLEN	SETZEN	NO	NONE	CARRIED_SCOPE
55	P912-E0055	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.7	16	y	Y	NONE	SETZEN	AKTIVER POSTEN	NONE	NONE	NONE	NONE	AKTIVER POSTEN→SETZEN	SETZEN	NO	NONE	CARRIED_SCOPE
56	P912-E0056	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.7	17	kchaiin	K+CH+AIIN	GEBEN+NEHMEN	SETZEN	WERT	NONE	NONE	NONE	NONE	GEBEN=KOPF | NEHMEN=KOPF | WERT→NEHMEN	GEBEN	NO	NONE	SELF_CONTAINED
57	P912-E0057	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.7	18	yty	Y+T+Y	EINSTELLEN	GEBEN	AKTIVER POSTEN+AKTIVER POSTEN	NONE	NONE	NONE	NONE	AKTIVER POSTEN→EINSTELLEN | EINSTELLEN=KOPF | AKTIVER POSTEN→EINSTELLEN	EINSTELLEN	NO	NONE	SELF_CONTAINED
58	P912-E0058	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.7	19	daiin	AIIN	NONE	EINSTELLEN	WERT	NONE	NONE	NONE	NONE	WERT→EINSTELLEN	EINSTELLEN	NO	NONE	CARRIED_SCOPE
59	P912-E0059	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.7	20	cth	CH+T	NEHMEN+EINSTELLEN	EINSTELLEN	NONE	NONE	NONE	NONE	NONE	NEHMEN=KOPF | EINSTELLEN=KOPF	NEHMEN	NO	NONE	SELF_CONTAINED
60	P912-E0060	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.7	21	dain	AIN	NONE	NEHMEN	ANTEIL	NONE	NONE	NONE	NONE	ANTEIL→NEHMEN	NEHMEN	NO	NONE	CARRIED_SCOPE
61	P912-E0061	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.7	22	dair	D_ADDR+AIR	NONE	NEHMEN	NONE	LAUF	NONE	NONE	HIER	HIER→BESITZER | LAUF→NEHMEN	NEHMEN	NO	NONE	CARRIED_SCOPE
62	P912-E0062	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.7	23	am	AM_ADDR	NONE	NEHMEN	NONE	NONE	NONE	NONE	HIER	HIER→BESITZER	NEHMEN	NO	NONE	SELF_CONTAINED
63	P912-E0063	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.8	24	qotchor	OT+CH+OR	NEHMEN	NEHMEN	EINHEIT	NONE	NONE	DANACH	NONE	DANACH→NEHMEN | NEHMEN=KOPF | EINHEIT→NEHMEN	NEHMEN	NO	NONE	SELF_CONTAINED
64	P912-E0064	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.8	25	chor	CH+OR	NEHMEN	NEHMEN	EINHEIT	NONE	NONE	NONE	NONE	NEHMEN=KOPF | EINHEIT→NEHMEN	NEHMEN	NO	NONE	SELF_CONTAINED
65	P912-E0065	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.8	26	otol	OT+OL	NONE	NEHMEN	NONE	NONE	NONE	DANACH+FORTSETZEN	NONE	DANACH→NEHMEN | FORTSETZEN→NEHMEN	NEHMEN	NO	NONE	CARRIED_SCOPE
66	P912-E0066	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.8	27	chol	OL	NONE	NEHMEN	NONE	NONE	NONE	FORTSETZEN	NONE	FORTSETZEN→NEHMEN	NEHMEN	NO	NONE	CARRIED_SCOPE
67	P912-E0067	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.8	28	cholor	OL+OR	NONE	NEHMEN	EINHEIT	NONE	NONE	FORTSETZEN	NONE	FORTSETZEN→NEHMEN | EINHEIT→NEHMEN	NEHMEN	NO	NONE	CARRIED_SCOPE
68	P912-E0068	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.8	29	chol	OL	NONE	NEHMEN	NONE	NONE	NONE	FORTSETZEN	NONE	FORTSETZEN→NEHMEN	NEHMEN	NO	NONE	CARRIED_SCOPE
69	P912-E0069	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.8	30	daiin	AIIN	NONE	NEHMEN	WERT	NONE	NONE	NONE	NONE	WERT→NEHMEN	NEHMEN	NO	NONE	CARRIED_SCOPE
70	P912-E0070	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.8	31	dar	D_ADDR+AR	NONE	NEHMEN	NONE	AUSGANG	NONE	NONE	HIER	HIER→BESITZER | AUSGANG→NEHMEN	NEHMEN	NO	NONE	CARRIED_SCOPE
71	P912-E0071	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.9	32	oykchor	O+Y+K+CH+OR	GEBEN+NEHMEN	NEHMEN	AKTIVER POSTEN+EINHEIT	NONE	AUSFÜHRUNG	NONE	NONE	AUSFÜHRUNG→GEBEN | AKTIVER POSTEN→GEBEN | GEBEN=KOPF | NEHMEN=KOPF | EINHEIT→NEHMEN	GEBEN	NO	NONE	SELF_CONTAINED
72	P912-E0072	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.9	33	shor	SH+OR	HALTEN	GEBEN	EINHEIT	NONE	NONE	NONE	NONE	HALTEN=KOPF | EINHEIT→HALTEN	HALTEN	NO	NONE	SELF_CONTAINED
73	P912-E0073	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.9	34	chor	CH+OR	NEHMEN	HALTEN	EINHEIT	NONE	NONE	NONE	NONE	NEHMEN=KOPF | EINHEIT→NEHMEN	NEHMEN	NO	NONE	SELF_CONTAINED
74	P912-E0074	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.9	35	chy	Y	NONE	NEHMEN	AKTIVER POSTEN	NONE	NONE	NONE	NONE	AKTIVER POSTEN→NEHMEN	NEHMEN	NO	NONE	CARRIED_SCOPE
75	P912-E0075	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.9	36	kaiiin	K+A_ADDR+LOCAL_CHAR_I+IIN	GEBEN	NEHMEN	NONE	NONE	STUFE	NONE	HIER+VARIANTE	GEBEN=KOPF | HIER→BESITZER | VARIANTE→BESITZER | STUFE→GEBEN	GEBEN	NO	NONE	SELF_CONTAINED
76	P912-E0076	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.9	37	dy	Y	NONE	GEBEN	AKTIVER POSTEN	NONE	NONE	NONE	NONE	AKTIVER POSTEN→GEBEN	GEBEN	NO	NONE	CARRIED_SCOPE
77	P912-E0077	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.9	38	chodaiin	CH+O+D_ADDR+AIIN	NEHMEN	GEBEN	WERT	NONE	AUSFÜHRUNG	NONE	HIER	NEHMEN=KOPF | AUSFÜHRUNG→NEHMEN | HIER→BESITZER | WERT→NEHMEN	NEHMEN	NO	NONE	SELF_CONTAINED
78	P912-E0078	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.10	39	oqotor	O+OT+OR	NONE	NEHMEN	EINHEIT	NONE	AUSFÜHRUNG	DANACH	NONE	AUSFÜHRUNG→NEHMEN | DANACH→NEHMEN | EINHEIT→NEHMEN	NEHMEN	NO	NONE	CARRIED_SCOPE
79	P912-E0079	P1009-S002	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.10	40	otor	OT+OR	NONE	NEHMEN	EINHEIT	NONE	NONE	DANACH	NONE	DANACH→NEHMEN | EINHEIT→NEHMEN	NEHMEN	NO	NONE	CARRIED_SCOPE
