book_statement_ordinal	statement_id	physical_page	register	owner_de	event_count	predicate_realization	seed_action_de	inheritance_source_statement_id	action_chain_de	arguments_de	relations_de	grades_de	end_mode	binding_origins	scope_skeleton_de	unbound_modifier_count	scope_result
11	P1009-S011	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	4	EXPLICIT_OPERATION_ROOT	NONE	NONE	MARKIEREN > EINSETZEN	AKTIVER POSTEN×2	AUSGANG×1	ZWEITE STUFE×1+AUSFÜHRUNG×1	LICENSED_DY_CLOSE	ACTION_HEAD×2+GANG_CLOSE×1+RUNNING_ACTION×2+SAME_CARD_NEAREST×3+VISIBLE_OWNER×5	BESITZER[abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen] > HANDLUNG[MARKIEREN > EINSETZEN] > ARG[AKTIVER POSTEN×2] > REL[AUSGANG×1] > GRAD[ZWEITE STUFE×1+AUSFÜHRUNG×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
12	P1009-S012	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	4	EXPLICIT_OPERATION_ROOT	NONE	NONE	EINSETZEN > NEHMEN > EINSETZEN > NEHMEN	AKTIVER POSTEN×2	NONE	AUSFÜHRUNG×3	LICENSED_DY_CLOSE	ACTION_HEAD×4+GANG_CLOSE×1+RUNNING_ACTION×1+SAME_CARD_NEAREST×4+SAME_CARD_NEXT_STEP×1+VISIBLE_OWNER×2	BESITZER[abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen] > HANDLUNG[EINSETZEN > NEHMEN > EINSETZEN > NEHMEN] > ARG[AKTIVER POSTEN×2] > REL[NONE] > GRAD[AUSFÜHRUNG×3] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
13	P1009-S013	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	6	EXPLICIT_OPERATION_ROOT	NONE	NONE	NEHMEN > GEBEN > SETZEN > NEHMEN > GEBEN	AKTIVER POSTEN×4	LAUF×1+AUSGANG×1	AUSFÜHRUNG×2	LICENSED_DY_CLOSE	ACTION_HEAD×6+GANG_CLOSE×1+RUNNING_ACTION×4+SAME_CARD_NEAREST×4+SAME_CARD_NEXT_STEP×1+VISIBLE_OWNER×3	BESITZER[abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen] > HANDLUNG[NEHMEN > GEBEN > SETZEN > NEHMEN > GEBEN] > ARG[AKTIVER POSTEN×4] > REL[LAUF×1+AUSGANG×1] > GRAD[AUSFÜHRUNG×2] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
14	P1009-S014	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	26	EXPLICIT_OPERATION_ROOT	NONE	NONE	NEHMEN > EINSTELLEN > WÄHLEN > SETZEN > NEHMEN > SETZEN > NEHMEN > EINSTELLEN > NEHMEN > HALTEN > SETZEN > EINSETZEN > WÄHLEN > EINSETZEN > NEHMEN > EINSETZEN > NEHMEN > GEBEN > NEHMEN > EINSTELLEN > NEHMEN > HALTEN > NEHMEN > EINSETZEN > NEHMEN > EINSETZEN	EINHEIT×8+AKTIVER POSTEN×9+WERT×1	LAUF×1+ZIELORT×1	AUSFÜHRUNG×7	LICENSED_DY_CLOSE	ACTION_HEAD×27+FORWARD_TO_NEXT_ACTION×2+GANG_CLOSE×1+RUNNING_ACTION×9+SAME_CARD_LEFT×1+SAME_CARD_LEFT_FALLBACK×1+SAME_CARD_NEAREST×19+SAME_CARD_NEXT_STEP×1+VISIBLE_OWNER×9	BESITZER[abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen] > HANDLUNG[NEHMEN > EINSTELLEN > WÄHLEN > SETZEN > NEHMEN > SETZEN > NEHMEN > EINSTELLEN > NEHMEN > HALTEN > SETZEN > EINSETZEN > WÄHLEN > EINSETZEN > NEHMEN > EINSETZEN > NEHMEN > GEBEN > NEHMEN > EINSTELLEN > NEHMEN > HALTEN > NEHMEN > EINSETZEN > NEHMEN > EINSETZEN] > ARG[EINHEIT×8+AKTIVER POSTEN×9+WERT×1] > REL[LAUF×1+ZIELORT×1] > GRAD[AUSFÜHRUNG×7] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
15	P1009-S015	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	3	EXPLICIT_OPERATION_ROOT	NONE	NONE	NEHMEN > EINSTELLEN	AKTIVER POSTEN×1	LAUF×1	GRAD I×1+AUSFÜHRUNG×1	LICENSED_DY_CLOSE	ACTION_HEAD×2+FORWARD_TO_NEXT_ACTION×1+GANG_BOUNDARY×1+GANG_CLOSE×1+MASTER_HEAD_AT_CLOSE×1+SAME_CARD_NEAREST×2+VISIBLE_OWNER×1	BESITZER[abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen] > HANDLUNG[NEHMEN > EINSTELLEN] > ARG[AKTIVER POSTEN×1] > REL[LAUF×1] > GRAD[GRAD I×1+AUSFÜHRUNG×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
16	P1009-S016	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	11	EXPLICIT_OPERATION_ROOT	NONE	NONE	EINSTELLEN > HALTEN > SETZEN > NEHMEN > MARKIEREN > NEHMEN > EINSTELLEN > GEBEN > HALTEN > SETZEN > NEHMEN > HALTEN > WÄHLEN > EINSETZEN > NEHMEN > EINSETZEN > NEHMEN	AKTIVER POSTEN×3+EINHEIT×1	NONE	AUSFÜHRUNG×5+GRAD I×5	LICENSED_DY_CLOSE	ACTION_HEAD×17+GANG_CLOSE×1+RUNNING_ACTION×1+SAME_CARD_NEAREST×13+SAME_CARD_NEXT_STEP×1+VISIBLE_OWNER×5	BESITZER[abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen] > HANDLUNG[EINSTELLEN > HALTEN > SETZEN > NEHMEN > MARKIEREN > NEHMEN > EINSTELLEN > GEBEN > HALTEN > SETZEN > NEHMEN > HALTEN > WÄHLEN > EINSETZEN > NEHMEN > EINSETZEN > NEHMEN] > ARG[AKTIVER POSTEN×3+EINHEIT×1] > REL[NONE] > GRAD[AUSFÜHRUNG×5+GRAD I×5] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
17	P1009-S017	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	23	EXPLICIT_OPERATION_ROOT	NONE	NONE	NEHMEN > WÄHLEN > GEBEN > WÄHLEN > NEHMEN > GEBEN > WÄHLEN > NEHMEN > EINSETZEN > NEHMEN > MARKIEREN > WÄHLEN > NEHMEN > EINSTELLEN > SETZEN > NEHMEN	AKTIVER POSTEN×9+ANTEIL×1+WERT×1	AUSGANG×5	GRAD I×3+AUSFÜHRUNG×6+ZWEITE STUFE×2+STUFE×1	TRUE_OPEN_ARTICLE_END	ACTION_HEAD×21+RUNNING_ACTION×10+SAME_CARD_LEFT×4+SAME_CARD_NEAREST×18+SAME_CARD_NEXT_STEP×1+VISIBLE_OWNER×8	BESITZER[abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen] > HANDLUNG[NEHMEN > WÄHLEN > GEBEN > WÄHLEN > NEHMEN > GEBEN > WÄHLEN > NEHMEN > EINSETZEN > NEHMEN > MARKIEREN > WÄHLEN > NEHMEN > EINSTELLEN > SETZEN > NEHMEN] > ARG[AKTIVER POSTEN×9+ANTEIL×1+WERT×1] > REL[AUSGANG×5] > GRAD[GRAD I×3+AUSFÜHRUNG×6+ZWEITE STUFE×2+STUFE×1] > TRUE_OPEN_ARTICLE_END	0	COMPLETE_SCOPE_READING
18	P1009-S018	f18r	HERBAL	große abgebildete Blütenpflanze	1	EXPLICIT_OPERATION_ROOT	NONE	NONE	EINSETZEN > MARKIEREN	NONE	LAUF×1	NONE	LICENSED_DY_CLOSE	ACTION_HEAD×2+GANG_CLOSE×1+SAME_CARD_LEFT_FALLBACK×1+VISIBLE_OWNER×1	BESITZER[große abgebildete Blütenpflanze] > HANDLUNG[EINSETZEN > MARKIEREN] > ARG[NONE] > REL[LAUF×1] > GRAD[NONE] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
19	P1009-S019	f18r	HERBAL	große abgebildete Blütenpflanze	29	EXPLICIT_OPERATION_ROOT	NONE	NONE	GEBEN > NEHMEN > GEBEN > NEHMEN > EINSTELLEN > NEHMEN > SETZEN > NEHMEN > SETZEN > NEHMEN > SETZEN > NEHMEN > SETZEN > GEBEN > NEHMEN > EINSTELLEN > SETZEN > GEBEN > SETZEN	EINHEIT×8+AKTIVER POSTEN×7+WERT×1+ANTEIL×2	AUSGANG×4+ZIELORT×2	AUSFÜHRUNG×1+GRAD I×1	VISIBLE_PARAGRAPH_BOUNDARY	ACTION_HEAD×24+FORWARD_TO_NEXT_ACTION×2+RUNNING_ACTION×17+SAME_CARD_LEFT×3+SAME_CARD_NEAREST×10+SAME_CARD_NEXT_STEP×1+VISIBLE_OWNER×4	BESITZER[große abgebildete Blütenpflanze] > HANDLUNG[GEBEN > NEHMEN > GEBEN > NEHMEN > EINSTELLEN > NEHMEN > SETZEN > NEHMEN > SETZEN > NEHMEN > SETZEN > NEHMEN > SETZEN > GEBEN > NEHMEN > EINSTELLEN > SETZEN > GEBEN > SETZEN] > ARG[EINHEIT×8+AKTIVER POSTEN×7+WERT×1+ANTEIL×2] > REL[AUSGANG×4+ZIELORT×2] > GRAD[AUSFÜHRUNG×1+GRAD I×1] > VISIBLE_PARAGRAPH_BOUNDARY	0	COMPLETE_SCOPE_READING
20	P1009-S020	f18r	HERBAL	große abgebildete Blütenpflanze	19	EXPLICIT_OPERATION_ROOT	NONE	NONE	EINSTELLEN > NEHMEN > HALTEN > NEHMEN > EINSTELLEN > NEHMEN > EINSTELLEN > GEBEN > NEHMEN > EINSTELLEN > NEHMEN > EINSTELLEN > HALTEN > NEHMEN > EINSTELLEN > WÄHLEN	EINHEIT×4+WERT×2+AKTIVER POSTEN×4	LAUF×1+AUSGANG×2+ZIELORT×1	NONE	LICENSED_DY_CLOSE	ACTION_HEAD×18+GANG_CLOSE×1+RUNNING_ACTION×10+SAME_CARD_NEAREST×9+VISIBLE_OWNER×5	BESITZER[große abgebildete Blütenpflanze] > HANDLUNG[EINSTELLEN > NEHMEN > HALTEN > NEHMEN > EINSTELLEN > NEHMEN > EINSTELLEN > GEBEN > NEHMEN > EINSTELLEN > NEHMEN > EINSTELLEN > HALTEN > NEHMEN > EINSTELLEN > WÄHLEN] > ARG[EINHEIT×4+WERT×2+AKTIVER POSTEN×4] > REL[LAUF×1+AUSGANG×2+ZIELORT×1] > GRAD[NONE] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
21	P1009-S021	f18r	HERBAL	große abgebildete Blütenpflanze	4	EXPLICIT_OPERATION_ROOT	NONE	NONE	SETZEN > NEHMEN	WERT×1+EINHEIT×1	NONE	NONE	LICENSED_DY_CLOSE	ACTION_HEAD×2+FORWARD_TO_NEXT_ACTION×2+GANG_CLOSE×1+RUNNING_ACTION×2+SAME_CARD_NEAREST×1+VISIBLE_OWNER×1	BESITZER[große abgebildete Blütenpflanze] > HANDLUNG[SETZEN > NEHMEN] > ARG[WERT×1+EINHEIT×1] > REL[NONE] > GRAD[NONE] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
22	P1009-S022	f18r	HERBAL	große abgebildete Blütenpflanze	31	EXPLICIT_OPERATION_ROOT	NONE	NONE	SETZEN > MARKIEREN > NEHMEN > EINSTELLEN > SETZEN > NEHMEN > SETZEN > HALTEN > SETZEN > WÄHLEN > SETZEN > NEHMEN > GEBEN > NEHMEN > EINSTELLEN > SETZEN > NEHMEN > EINSTELLEN > HALTEN > NEHMEN > EINSTELLEN > NEHMEN > EINSTELLEN > SETZEN > NEHMEN > GEBEN > NEHMEN	AKTIVER POSTEN×10+EINHEIT×3+WERT×5	ZIELORT×6+AUSGANG×3+LAUF×1	ZWEITE STUFE×1+AUSFÜHRUNG×1	VISIBLE_PARAGRAPH_BOUNDARY	ACTION_HEAD×31+RUNNING_ACTION×14+SAME_CARD_LEFT×7+SAME_CARD_LEFT_FALLBACK×1+SAME_CARD_NEAREST×13+VISIBLE_OWNER×3	BESITZER[große abgebildete Blütenpflanze] > HANDLUNG[SETZEN > MARKIEREN > NEHMEN > EINSTELLEN > SETZEN > NEHMEN > SETZEN > HALTEN > SETZEN > WÄHLEN > SETZEN > NEHMEN > GEBEN > NEHMEN > EINSTELLEN > SETZEN > NEHMEN > EINSTELLEN > HALTEN > NEHMEN > EINSTELLEN > NEHMEN > EINSTELLEN > SETZEN > NEHMEN > GEBEN > NEHMEN] > ARG[AKTIVER POSTEN×10+EINHEIT×3+WERT×5] > REL[ZIELORT×6+AUSGANG×3+LAUF×1] > GRAD[ZWEITE STUFE×1+AUSFÜHRUNG×1] > VISIBLE_PARAGRAPH_BOUNDARY	0	COMPLETE_SCOPE_READING
23	P1009-S023	f55v	HERBAL	große aromatische Doldenpflanze	8	EXPLICIT_OPERATION_ROOT	NONE	NONE	GEBEN > NEHMEN > UMSETZEN > NEHMEN > GEBEN > EINSTELLEN > SETZEN	AKTIVER POSTEN×4+ANTEIL×1+WERT×1	NONE	GRAD II×3+AUSFÜHRUNG×3+GRAD I×1+GRAD III×1	LICENSED_DY_CLOSE	ACTION_HEAD×7+FORWARD_TO_NEXT_ACTION×2+GANG_CLOSE×2+RUNNING_ACTION×7+SAME_CARD_NEAREST×7+VISIBLE_OWNER×6	BESITZER[große aromatische Doldenpflanze] > HANDLUNG[GEBEN > NEHMEN > UMSETZEN > NEHMEN > GEBEN > EINSTELLEN > SETZEN] > ARG[AKTIVER POSTEN×4+ANTEIL×1+WERT×1] > REL[NONE] > GRAD[GRAD II×3+AUSFÜHRUNG×3+GRAD I×1+GRAD III×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
24	P1009-S024	f55v	HERBAL	große aromatische Doldenpflanze	22	EXPLICIT_OPERATION_ROOT	NONE	NONE	SETZEN > GEBEN > WÄHLEN > SETZEN > UMSETZEN > WÄHLEN > GEBEN > SETZEN > NEHMEN > GEBEN > NEHMEN > GEBEN > UMSETZEN > SETZEN	WERT×2+AKTIVER POSTEN×8+ANTEIL×2	ZIELORT×2+AUSGANG×4	AUSFÜHRUNG×6+GRAD I×2+GRAD II×2+GRAD III×1	LICENSED_DY_CLOSE	ACTION_HEAD×15+FORWARD_TO_NEXT_ACTION×5+GANG_BOUNDARY×2+GANG_CLOSE×1+RUNNING_ACTION×5+SAME_CARD_LEFT×4+SAME_CARD_NEAREST×17+VISIBLE_OWNER×6	BESITZER[große aromatische Doldenpflanze] > HANDLUNG[SETZEN > GEBEN > WÄHLEN > SETZEN > UMSETZEN > WÄHLEN > GEBEN > SETZEN > NEHMEN > GEBEN > NEHMEN > GEBEN > UMSETZEN > SETZEN] > ARG[WERT×2+AKTIVER POSTEN×8+ANTEIL×2] > REL[ZIELORT×2+AUSGANG×4] > GRAD[AUSFÜHRUNG×6+GRAD I×2+GRAD II×2+GRAD III×1] > LICENSED_DY_CLOSE	0	COMPLETE_SCOPE_READING
