statement_id	physical_page	register	owner_id	visible_owner_de	first_locus	last_locus	locus_count	crosses_physical_line	groups	first_event_id	last_event_id	end_mode	boundary_reading_de	surface_sequence	component_sequence	literal_workshop_de	fluent_workshop_de
P1005-F77R-S003	f77r	STATION	F77R_STATION_ARTICLE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.10	f77r.11	2	YES	6	P1003-E0103	P1003-E0108	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	qokol chdy qokain chetey sal qoteedy	OK+OL | CHD+Y | OK+AIN | CH+E+T+E+Y | S+AL | OT+EE+DY	SETZEN · FORTSETZEN ; UMSETZEN · POSTEN ; SETZEN · PORTION ; NEHMEN · KURZ · STELLEN · KURZ · POSTEN ; AUSWÄHLEN · ZIEL ; DANACH · LÄNGER · SCHLUSS	An der bezeichneten Körper-/Beckenstation: ansetzen damit fortfahren; diesen Posten umsetzen; eine Portion ansetzen; entnehmen kurz einstellen kurz diesen Posten; auswählen zur Zielstelle; danach länger halten. Dann den Teilgang schließen.
P1005-F77R-S004	f77r	STATION	F77R_STATION_ARTICLE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.11	f77r.11	1	NO	2	P1003-E0109	P1003-E0110	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	qokaiin shedy	OK+AIIN | SHED+DY	SETZEN · MASS ; ABSETZEN · SCHLUSS	An der bezeichneten Körper-/Beckenstation: den Posten nach Maß ansetzen; absetzen lassen. Dann den Teilgang schließen.
P1005-F77R-S005	f77r	STATION	F77R_STATION_ARTICLE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.11	f77r.11	1	NO	2	P1003-E0111	P1003-E0112	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	chol shedy	OL | SHED+DY	FORTSETZEN ; ABSETZEN · SCHLUSS	An der bezeichneten Körper-/Beckenstation: mit demselben Ansatz fortfahren; absetzen lassen. Dann den Teilgang schließen.
P1005-F77R-S006	f77r	STATION	F77R_STATION_ARTICLE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.11	f77r.11	1	NO	2	P1003-E0113	P1003-E0114	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	shcthey qokeedy	SH+CTH+E+Y | OK+EE+DY	HALTEN · BEREIT · KURZ · POSTEN ; SETZEN · LÄNGER · SCHLUSS	An der bezeichneten Körper-/Beckenstation: halten bis bereit kurz diesen Posten; länger ansetzen. Dann den Teilgang schließen.
P1005-F77R-S007	f77r	STATION	F77R_STATION_ARTICLE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.11	f77r.11	1	NO	1	P1003-E0115	P1003-E0115	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	oteedy	OT+EE+DY	DANACH · LÄNGER · SCHLUSS	An der bezeichneten Körper-/Beckenstation: danach länger halten. Dann den Teilgang schließen.
P1005-F77R-S008	f77r	STATION	F77R_STATION_ARTICLE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.11	f77r.12	2	YES	2	P1003-E0116	P1003-E0117	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	cham solteedy	CH+AM_ADDR | OL+T+EE+DY	NEHMEN · INNEN ; FORTSETZEN · STELLEN · LÄNGER · SCHLUSS	An der bezeichneten Körper-/Beckenstation: entnehmen im Inneren; damit fortfahren einstellen länger. Dann den Teilgang schließen.
P1005-F77R-S009	f77r	STATION	F77R_STATION_ARTICLE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.12	f77r.12	1	NO	1	P1003-E0118	P1003-E0118	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	qoteedy	OT+EE+DY	DANACH · LÄNGER · SCHLUSS	An der bezeichneten Körper-/Beckenstation: danach länger halten. Dann den Teilgang schließen.
P1005-F77R-S010	f77r	STATION	F77R_STATION_ARTICLE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.12	f77r.12	1	NO	1	P1003-E0119	P1003-E0119	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	qodeedy	O+D_ADDR+EE+DY	AUSFÜHREN · TEIL · LÄNGER · SCHLUSS	An der bezeichneten Körper-/Beckenstation: ausführen vom bezeichneten Teil länger. Dann den Teilgang schließen.
P1005-F77R-S011	f77r	STATION	F77R_STATION_ARTICLE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.12	f77r.13	2	YES	6	P1003-E0120	P1003-E0125	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	chedaiin chedy shedaiin shealol ched qokeedy	CHD+AIIN | CHD+Y | SHED+AIIN | SH+E+AL+OL | CHD | OK+EE+DY	UMSETZEN · MASS ; UMSETZEN · POSTEN ; ABSETZEN · MASS ; HALTEN · KURZ · ZIEL · FORTSETZEN ; UMSETZEN ; SETZEN · LÄNGER · SCHLUSS	An der bezeichneten Körper-/Beckenstation: umsetzen nach Maß; diesen Posten umsetzen; absetzen lassen nach Maß; halten kurz zur Zielstelle damit fortfahren; umsetzen; länger ansetzen. Dann den Teilgang schließen.
P1005-F77R-S012	f77r	STATION	F77R_STATION_ARTICLE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.13	f77r.13	1	NO	2	P1003-E0126	P1003-E0127	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	qol sheedy	OL | SH+EE+DY	FORTSETZEN ; HALTEN · LÄNGER · SCHLUSS	An der bezeichneten Körper-/Beckenstation: mit demselben Ansatz fortfahren; halten länger. Dann den Teilgang schließen.
P1005-F77R-S013	f77r	STATION	F77R_STATION_ARTICLE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.13	f77r.13	1	NO	2	P1003-E0128	P1003-E0129	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	shol tedy	SH+OL | T+E+DY	HALTEN · FORTSETZEN ; STELLEN · KURZ · SCHLUSS	An der bezeichneten Körper-/Beckenstation: halten damit fortfahren; einstellen kurz. Dann den Teilgang schließen.
P1005-F77R-S014	f77r	STATION	F77R_STATION_ARTICLE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.13	f77r.13	1	NO	3	P1003-E0130	P1003-E0132	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	chedy lsheedy qokedy	CHD+Y | LSH+EE+D_ADDR+Y | OK+E+DY	UMSETZEN · POSTEN ; SPÜLEN · LÄNGER · TEIL · POSTEN ; SETZEN · KURZ · SCHLUSS	An der bezeichneten Körper-/Beckenstation: diesen Posten umsetzen; spülen länger vom bezeichneten Teil diesen Posten; kurz ansetzen. Dann den Teilgang schließen.
P1005-F77R-S015	f77r	STATION	F77R_STATION_ARTICLE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.13	f77r.14	2	YES	6	P1003-E0133	P1003-E0138	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	qolal chedy sokcheey sain sheeol qoteedy	OL+AL | CHD+Y | S+OK+CH+EE+Y | S+AIN | SH+EE+OL | OT+EE+DY	FORTSETZEN · ZIEL ; UMSETZEN · POSTEN ; AUSWÄHLEN · SETZEN · NEHMEN · LÄNGER · POSTEN ; AUSWÄHLEN · PORTION ; HALTEN · LÄNGER · FORTSETZEN ; DANACH · LÄNGER · SCHLUSS	An der bezeichneten Körper-/Beckenstation: damit fortfahren zur Zielstelle; diesen Posten umsetzen; auswählen ansetzen entnehmen länger diesen Posten; auswählen eine Portion; halten länger damit fortfahren; danach länger halten. Dann den Teilgang schließen.
P1005-F77R-S016	f77r	STATION	F77R_STATION_ARTICLE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.14	f77r.14	1	NO	2	P1003-E0139	P1003-E0140	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	qokaiin shedy	OK+AIIN | SHED+DY	SETZEN · MASS ; ABSETZEN · SCHLUSS	An der bezeichneten Körper-/Beckenstation: den Posten nach Maß ansetzen; absetzen lassen. Dann den Teilgang schließen.
P1005-F77R-S017	f77r	STATION	F77R_STATION_ARTICLE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.14	f77r.14	1	NO	1	P1003-E0141	P1003-E0141	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	qokeedy	OK+EE+DY	SETZEN · LÄNGER · SCHLUSS	An der bezeichneten Körper-/Beckenstation: länger ansetzen. Dann den Teilgang schließen.
P1005-F77R-S018	f77r	STATION	F77R_STATION_ARTICLE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.14	f77r.14	1	NO	1	P1003-E0142	P1003-E0142	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	qotedy	OT+E+DY	DANACH · KURZ · SCHLUSS	An der bezeichneten Körper-/Beckenstation: danach kurz halten. Dann den Teilgang schließen.
P1005-F77R-S019	f77r	STATION	F77R_STATION_ARTICLE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.15	f77r.15	1	NO	1	P1003-E0143	P1003-E0143	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	qokeedy	OK+EE+DY	SETZEN · LÄNGER · SCHLUSS	An der bezeichneten Körper-/Beckenstation: länger ansetzen. Dann den Teilgang schließen.
P1005-F77R-S020	f77r	STATION	F77R_STATION_ARTICLE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.15	f77r.15	1	NO	1	P1003-E0144	P1003-E0144	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	shedy	SHED+DY	ABSETZEN · SCHLUSS	An der bezeichneten Körper-/Beckenstation: absetzen lassen. Dann den Teilgang schließen.
P1005-F77R-S021	f77r	STATION	F77R_STATION_ARTICLE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.15	f77r.15	1	NO	2	P1003-E0145	P1003-E0146	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	qotol shedy	OT+OL | SHED+DY	DANACH · FORTSETZEN ; ABSETZEN · SCHLUSS	An der bezeichneten Körper-/Beckenstation: danach damit fortfahren; absetzen lassen. Dann den Teilgang schließen.
P1005-F77R-S022	f77r	STATION	F77R_STATION_ARTICLE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.15	f77r.15	1	NO	5	P1003-E0147	P1003-E0151	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	qokaiin sheety qokeed y lchedy	OK+AIIN | SH+EE+T+Y | OK+EE+D_ADDR | Y | L+CHD+DY	SETZEN · MASS ; HALTEN · LÄNGER · STELLEN · POSTEN ; SETZEN · LÄNGER · TEIL ; POSTEN ; LEITEN · UMSETZEN · SCHLUSS	An der bezeichneten Körper-/Beckenstation: den Posten nach Maß ansetzen; halten länger einstellen diesen Posten; ansetzen länger vom bezeichneten Teil; diesen Posten weiterführen; weiter umsetzen. Dann den Teilgang schließen.
P1005-F77R-S023	f77r	STATION	F77R_STATION_ARTICLE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.15	f77r.16	2	YES	2	P1003-E0152	P1003-E0153	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	lol sshedy	L+OL | S+SH+E+DY	LEITEN · FORTSETZEN ; AUSWÄHLEN · HALTEN · KURZ · SCHLUSS	An der bezeichneten Körper-/Beckenstation: weiterleiten damit fortfahren; auswählen halten kurz. Dann den Teilgang schließen.
P1005-F77R-S024	f77r	STATION	F77R_STATION_ARTICLE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.16	f77r.16	1	NO	4	P1003-E0154	P1003-E0157	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	qotaiin chedy qokaiin shedy	OT+AIIN | CHD+Y | OK+AIIN | SHED+DY	DANACH · MASS ; UMSETZEN · POSTEN ; SETZEN · MASS ; ABSETZEN · SCHLUSS	An der bezeichneten Körper-/Beckenstation: danach nach Maß; diesen Posten umsetzen; den Posten nach Maß ansetzen; absetzen lassen. Dann den Teilgang schließen.
P1005-F77R-S025	f77r	STATION	F77R_STATION_ARTICLE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.16	f77r.16	1	NO	1	P1003-E0158	P1003-E0158	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	qolcheedy	OL+SH+EE+DY	FORTSETZEN · HALTEN · LÄNGER · SCHLUSS	An der bezeichneten Körper-/Beckenstation: damit fortfahren halten länger. Dann den Teilgang schließen.
P1005-F77R-S026	f77r	STATION	F77R_STATION_ARTICLE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.16	f77r.16	1	NO	1	P1003-E0159	P1003-E0159	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	qokeedy	OK+EE+DY	SETZEN · LÄNGER · SCHLUSS	An der bezeichneten Körper-/Beckenstation: länger ansetzen. Dann den Teilgang schließen.
P1005-F77R-S027	f77r	STATION	F77R_STATION_ARTICLE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.16	f77r.17	2	YES	2	P1003-E0160	P1003-E0161	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	lol qoteedy	L+OL | OT+EE+DY	LEITEN · FORTSETZEN ; DANACH · LÄNGER · SCHLUSS	An der bezeichneten Körper-/Beckenstation: weiterleiten damit fortfahren; danach länger halten. Dann den Teilgang schließen.
P1005-F77R-S028	f77r	STATION	F77R_STATION_ARTICLE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.17	f77r.17	1	NO	1	P1003-E0162	P1003-E0162	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	qoteedy	OT+EE+DY	DANACH · LÄNGER · SCHLUSS	An der bezeichneten Körper-/Beckenstation: danach länger halten. Dann den Teilgang schließen.
P1005-F77R-S029	f77r	STATION	F77R_STATION_ARTICLE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	f77r.17	f77r.17	1	NO	1	P1003-E0163	P1003-E0163	LICENSED_DY_CLOSE	Dann den Teilgang schließen.	qokedy	OK+E+DY	SETZEN · KURZ · SCHLUSS	An der bezeichneten Körper-/Beckenstation: kurz ansetzen. Dann den Teilgang schließen.
