surface	events	pages	kinds	component_recipe	portable_default_de	reading_class	source_surface	owner_bound_label_use	confidence
chpchy	1	f71v	C	CH+P+CH+Y	NEHMEN · EINSETZEN · NEHMEN · POSTEN	VISIBLE_NEW_COMPOSITION	chchs	NO	MEDIUM_HIGH
chr	1	f77r	P	CH+R	NEHMEN · MERKEN	VISIBLE_NEW_COMPOSITION	ch	NO	MEDIUM_HIGH
chtos	1	f71v	C	CH+T+O+S	NEHMEN · STELLEN · AUSFÜHREN · AUSWÄHLEN	VISIBLE_NEW_COMPOSITION	cheos	NO	MEDIUM_HIGH
chy	2	f17r|f77r	P	Y	POSTEN	EXACT_REGISTERED_SURFACE	chy	NO	HIGH
chypcham	1	f17r	P	CH+Y+P+CH+AM_ADDR	NEHMEN · POSTEN · EINSETZEN · NEHMEN · INNEN	VISIBLE_ROOT_COMPOSITION_RESOLVED	chypcham	NO	MEDIUM_HIGH
ckhody	1	f17r	P	CKH+O+DY	DURCHLASS · AUSFÜHREN · SCHLUSS	VISIBLE_NEW_COMPOSITION	chody	NO	MEDIUM_HIGH
cphaldy	1	f17r	P	CPH+AL+DY	UMLEITEN · ZIEL · SCHLUSS	VISIBLE_NEW_COMPOSITION	cfholdy	NO	MEDIUM_HIGH
cpheody	1	f88v	P	CPH+E+O+DY	UMLEITEN · KURZ · AUSFÜHREN · SCHLUSS	VISIBLE_NEW_COMPOSITION	cheody	NO	MEDIUM_HIGH
cpheor	1	f88v	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
cphey	1	f77r	P	CPH+E+Y	UMLEITEN · KURZ · POSTEN	VISIBLE_ROOT_COMPOSITION_RECONCILED	cphey	NO	MEDIUM_HIGH
cphor	1	f17r	P	CPH+OR	UMLEITEN · ANSATZ	VISIBLE_NEW_COMPOSITION	chor	NO	MEDIUM_HIGH
cthar	1	f17r	P	CTH+AR	BEREIT · QUELLE	VISIBLE_ROOT_COMPOSITION_RECONCILED	cthar	NO	MEDIUM_HIGH
cthey	1	f17r	P	CTH+E+Y	BEREIT · KURZ · POSTEN	EXACT_REGISTERED_SURFACE	cthey	NO	HIGH
cthy	1	f17r	P	CTH+Y	BEREIT · POSTEN	EXACT_REGISTERED_SURFACE	cthy	NO	HIGH
d	2	f17r|f77r	P	D_ADDR	TEIL	EXACT_REGISTERED_SURFACE	d	NO	HIGH
dag	1	f77r	P	DA+LOCAL_CHAR_G	ZWEIT · EINMAL	VISIBLE_NEW_COMPOSITION	dal	NO	MEDIUM_HIGH
daiiin	2	f17r|f77r	P	DA+IIN	ZWEIT · STUFE	EXACT_REGISTERED_SURFACE	daiiin	NO	HIGH
daiin	11	f77r|f88v|f71v	C|P	AIIN	MASS	EXACT_REGISTERED_SURFACE	daiin	NO	HIGH
daimd	1	f88v	P	DA+IIN+M_LOCAL+D_ADDR	ZWEIT · STUFE · MITTE · TEIL	VISIBLE_ROOT_COMPOSITION_RECONCILED	daimd	NO	MEDIUM_HIGH
dain	2	f88v	P	AIN	PORTION	EXACT_REGISTERED_SURFACE	dain	NO	HIGH
dair	2	f17r|f88v	P	D_ADDR+AIR	TEIL · LAUF	EXACT_REGISTERED_SURFACE	dair	NO	HIGH
dairodain	1	f88v	P	D_ADDR+AIR+O+D_ADDR+AIN	TEIL · LAUF · AUSFÜHREN · TEIL · PORTION	VISIBLE_NEW_COMPOSITION	dadaiin	NO	WORKING
dal	5	f77r|f88v|f71v	C|P	AL	ZIEL	EXACT_REGISTERED_SURFACE	dal	NO	HIGH
dalchedy	1	f77r	P	AL+CHD+DY	ZIEL · UMSETZEN · SCHLUSS	LICENSED_SCRIBAL_ALLOGRAPH	dalchdy	NO	MEDIUM_HIGH
dalo	2	f77r	P	D_ADDR+AL+O	TEIL · ZIEL · AUSFÜHREN	VISIBLE_NEW_COMPOSITION	dal	NO	MEDIUM_HIGH
dam	1	f88v	P	DA+AM_ADDR	ZWEIT · INNEN	EXACT_REGISTERED_SURFACE	dam	NO	HIGH
dan	1	f71v	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
dar	4	f17r|f88v|f71v	C|P	D_ADDR+AR	TEIL · QUELLE	EXACT_REGISTERED_SURFACE	dar	NO	HIGH
daraly	1	f88v	P	D_ADDR+AR+AL+Y	TEIL · QUELLE · ZIEL · POSTEN	VISIBLE_NEW_COMPOSITION	araly	NO	MEDIUM_HIGH
daram	1	f17r	P	DA+R+A_ADDR+AM_ADDR	ZWEIT · MERKEN · ORT · INNEN	EXACT_REGISTERED_SURFACE	daram	NO	HIGH
daramdal	1	f88v	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
dararda	1	f88v	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
darchdar	1	f77r	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
daror	1	f77r	P	D_ADDR+AR+OR	TEIL · QUELLE · ANSATZ	VISIBLE_ROOT_COMPOSITION_RECONCILED	daror	NO	MEDIUM_HIGH
dary	2	f77r	P	DA+R+Y	ZWEIT · MERKEN · POSTEN	EXACT_REGISTERED_SURFACE	dary	NO	HIGH
das	1	f17r	P	DA+S	ZWEIT · AUSWÄHLEN	VISIBLE_ROOT_COMPOSITION_RECONCILED	das	NO	MEDIUM_HIGH
dchchy	1	f17r	P	D_ADDR+CH+Y	TEIL · NEHMEN · POSTEN	VISIBLE_NEW_COMPOSITION	chchs	NO	MEDIUM_HIGH
dchdy	1	f77r	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	dchdy	YES	OWNER_BOUND
dcheor	1	f17r	P	D_ADDR+CHEO+R	TEIL · AUSZUG · MERKEN	VISIBLE_NEW_COMPOSITION	cheor	NO	MEDIUM_HIGH
dody	1	f17r	P	D_ADDR+O+DY	TEIL · AUSFÜHREN · SCHLUSS	VISIBLE_ROOT_COMPOSITION_RECONCILED	dody	NO	MEDIUM_HIGH
dol	1	f77r	P	D_ADDR+OL	TEIL · FORTSETZEN	EXACT_REGISTERED_SURFACE	dol	NO	HIGH
dolchl	1	f77r	P	D_ADDR+OL+CH+L	TEIL · FORTSETZEN · NEHMEN · LEITEN	VISIBLE_ROOT_COMPOSITION_RESOLVED	dolchl	NO	MEDIUM_HIGH
dor	1	f17r	P	D_ADDR+OR	TEIL · ANSATZ	EXACT_REGISTERED_SURFACE	dor	NO	HIGH
dotedy	1	f77r	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
doy	1	f88v	P	D_ADDR+O+Y	TEIL · AUSFÜHREN · POSTEN	VISIBLE_NEW_COMPOSITION	dky	NO	MEDIUM_HIGH
dshedy	1	f77r	P	SH+E+DY	HALTEN · KURZ · SCHLUSS	EXACT_REGISTERED_SURFACE	dshedy	NO	HIGH
dshor	1	f88v	P	D_ADDR+SH+OR	TEIL · HALTEN · ANSATZ	EXACT_REGISTERED_SURFACE	dshor	NO	HIGH
dy	4	f77r|f88v|f71v	C|P	Y	POSTEN	EXACT_REGISTERED_SURFACE	dy	NO	HIGH
dychear	1	f17r	P	D_ADDR+Y+CH+E+AR	TEIL · POSTEN · NEHMEN · KURZ · QUELLE	VISIBLE_ROOT_COMPOSITION_RESOLVED	dychear	NO	MEDIUM_HIGH
dylches	1	f77r	P	D_ADDR+Y+L+CH+E+S	TEIL · POSTEN · LEITEN · NEHMEN · KURZ · AUSWÄHLEN	VISIBLE_NEW_COMPOSITION	ches	NO	WORKING
eeedy	1	f77r	P	EEE+DY	VOLL · SCHLUSS	VISIBLE_NEW_COMPOSITION	deeedy	NO	MEDIUM_HIGH
fshody	1	f17r	P	LOCAL_CHAR_F+SH+O+DY	NEBENWEG · HALTEN · AUSFÜHREN · SCHLUSS	VISIBLE_ROOT_COMPOSITION_RESOLVED	fshody	NO	MEDIUM_HIGH
iin	1	f77r	P	IIN	STUFE	VISIBLE_NEW_COMPOSITION	aiin	NO	MEDIUM_HIGH
kaiin	1	f71v	C	K+AIIN	GEBEN · MASS	EXACT_REGISTERED_SURFACE	kaiin	NO	HIGH
kal	1	f71v	C	K+AL	GEBEN · ZIEL	EXACT_REGISTERED_SURFACE	kal	NO	HIGH
keedy	1	f77r	P	K+EE+DY	GEBEN · LÄNGER · SCHLUSS	EXACT_REGISTERED_SURFACE	keedy	NO	HIGH
keeod	1	f88v	P	K+EE+O+D_ADDR	GEBEN · LÄNGER · AUSFÜHREN · TEIL	VISIBLE_NEW_COMPOSITION	keedy	NO	MEDIUM_HIGH
keeodaiin	1	f88v	P	K+EE+O+D_ADDR+AIIN	GEBEN · LÄNGER · AUSFÜHREN · TEIL · MASS	VISIBLE_ROOT_COMPOSITION_RESOLVED	keeodaiin	NO	MEDIUM_HIGH
keey	1	f71v	C	K+EE+Y	GEBEN · LÄNGER · POSTEN	EXACT_REGISTERED_SURFACE	keey	NO	HIGH
keor	1	f71v	C	K+E+OR	GEBEN · KURZ · ANSATZ	VISIBLE_NEW_COMPOSITION	keol	NO	MEDIUM_HIGH
key	1	f88v	P	K+E+Y	GEBEN · KURZ · POSTEN	VISIBLE_NEW_COMPOSITION	ey	NO	MEDIUM_HIGH
korain	1	f88v	P	K+OR+AIN	GEBEN · ANSATZ · PORTION	VISIBLE_ROOT_COMPOSITION_RECONCILED	korain	NO	MEDIUM_HIGH
kosholdy	1	f88v	P	K+O+SH+OL+DY	GEBEN · AUSFÜHREN · HALTEN · FORTSETZEN · SCHLUSS	VISIBLE_NEW_COMPOSITION	cfholdy	NO	WORKING
ksheo	1	f17r	P	K+SH+E+O	GEBEN · HALTEN · KURZ · AUSFÜHREN	VISIBLE_ROOT_COMPOSITION_RECONCILED	ksheo	NO	MEDIUM_HIGH
l	1	f77r	P	L	LEITEN	EXACT_REGISTERED_SURFACE	l	NO	HIGH
laiin	2	f77r	P	L+AIIN	LEITEN · MASS	VISIBLE_NEW_COMPOSITION	aiin	NO	MEDIUM_HIGH
lchdy	1	f88v	P	L+CHD+Y	LEITEN · UMSETZEN · POSTEN	EXACT_REGISTERED_SURFACE	lchdy	NO	HIGH
lchear	1	f77r	P	L+CH+E+AR	LEITEN · NEHMEN · KURZ · QUELLE	VISIBLE_NEW_COMPOSITION	chear	NO	MEDIUM_HIGH
lchedy	5	f77r	P	L+CHD+DY	LEITEN · UMSETZEN · SCHLUSS	EXACT_REGISTERED_SURFACE	lchedy	NO	HIGH
lchey	2	f77r|f88v	P	L+Y	LEITEN · POSTEN	EXACT_REGISTERED_SURFACE	lchey	NO	HIGH
lfcheal	1	f77r	P	L+LOCAL_CHAR_F+CH+E+AL	LEITEN · NEBENWEG · NEHMEN · KURZ · ZIEL	VISIBLE_ROOT_COMPOSITION_RESOLVED	lfcheal	NO	MEDIUM_HIGH
lkeo	1	f88v	P	L+K+E+O	LEITEN · GEBEN · KURZ · AUSFÜHREN	VISIBLE_NEW_COMPOSITION	okeo	NO	MEDIUM_HIGH
lod	1	f77r	P	L+O+D_ADDR	LEITEN · AUSFÜHREN · TEIL	VISIBLE_NEW_COMPOSITION	dod	NO	MEDIUM_HIGH
lol	4	f77r	P	L+OL	LEITEN · FORTSETZEN	EXACT_REGISTERED_SURFACE	lol	NO	HIGH
loly	2	f77r	P	L+OL+Y	LEITEN · FORTSETZEN · POSTEN	VISIBLE_NEW_COMPOSITION	lol	NO	MEDIUM_HIGH
lom	1	f77r	P	L+O+M_LOCAL	LEITEN · AUSFÜHREN · MITTE	VISIBLE_ROOT_COMPOSITION_RECONCILED	lom	NO	MEDIUM_HIGH
lsheedy	1	f77r	P	LSH+EE+D_ADDR+Y	SPÜLEN · LÄNGER · TEIL · POSTEN	EXACT_REGISTERED_SURFACE	lsheedy	NO	HIGH
lsheey	2	f77r	P	L+SH+EE+Y	LEITEN · HALTEN · LÄNGER · POSTEN	VISIBLE_NEW_COMPOSITION	lcheey	NO	MEDIUM_HIGH
lshey	1	f77r	P	L+SH+E+Y	LEITEN · HALTEN · KURZ · POSTEN	EXACT_REGISTERED_SURFACE	lshey	NO	HIGH
ltaiin	1	f77r	P	L+T+AIIN	LEITEN · STELLEN · MASS	VISIBLE_NEW_COMPOSITION	lkaiin	NO	MEDIUM_HIGH
mol	1	f17r	P	M_LOCAL+OL	MITTE · FORTSETZEN	VISIBLE_ROOT_COMPOSITION_RECONCILED	mol	NO	MEDIUM_HIGH
o	2	f17r|f77r	L|P	O	AUSFÜHREN	EXACT_REGISTERED_SURFACE	o	YES	HIGH
ochey	1	f71v	C	O+CH+E+Y	AUSFÜHREN · NEHMEN · KURZ · POSTEN	VISIBLE_NEW_COMPOSITION	chey	NO	MEDIUM_HIGH
odaiin	1	f88v	P	O+D_ADDR+AIIN	AUSFÜHREN · TEIL · MASS	EXACT_REGISTERED_SURFACE	odaiin	NO	HIGH
ods	1	f17r	P	O+D_ADDR+S	AUSFÜHREN · TEIL · AUSWÄHLEN	VISIBLE_ROOT_COMPOSITION_RECONCILED	ods	NO	MEDIUM_HIGH
ofaom	1	f71v	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
oiiiin	1	f77r	P	O+IIN	AUSFÜHREN · STUFE	LICENSED_SCRIBAL_ALLOGRAPH	oiiin	NO	MEDIUM_HIGH
oiil	1	f17r	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
oin	1	f77r	P	O+IIN	AUSFÜHREN · STUFE	LICENSED_SCRIBAL_ALLOGRAPH	oiin	NO	MEDIUM_HIGH
okaiin	6	f17r|f77r|f88v|f71v	C|L|P	OK+AIIN	SETZEN · MASS	EXACT_REGISTERED_SURFACE	okaiin	YES	HIGH
okaikaly	1	f71v	C	OK+A_ADDR+IIN+K+AL+Y	SETZEN · ORT · STUFE · GEBEN · ZIEL · POSTEN	VISIBLE_NEW_COMPOSITION	okairady	NO	MEDIUM_HIGH
okal	1	f71v	C	OK+AL	SETZEN · ZIEL	EXACT_REGISTERED_SURFACE	okal	NO	HIGH
okalar	1	f71v	C	OK+AL+AR	SETZEN · ZIEL · QUELLE	VISIBLE_NEW_COMPOSITION	okala	NO	MEDIUM_HIGH
okalyd	1	f88v	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
okam	1	f71v	C	OK+AM_ADDR	SETZEN · INNEN	VISIBLE_NEW_COMPOSITION	kam	NO	MEDIUM_HIGH
okaraiin	1	f71v	L	LOCAL_ADDRESS	BILDADRESSE	LOCAL_OWNER_ADDRESS	OWNER_COPY	YES	OWNER_BOUND
okchom	1	f17r	P	OK+CH+O+AM_ADDR	SETZEN · NEHMEN · AUSFÜHREN · INNEN	VISIBLE_NEW_COMPOSITION	okchol	NO	MEDIUM_HIGH
okchor	1	f71v	C	OK+CH+OR	SETZEN · NEHMEN · ANSATZ	EXACT_REGISTERED_SURFACE	okchor	NO	HIGH
okearcheol	1	f88v	P	OK+E+AR+CHEO+L	SETZEN · KURZ · QUELLE · AUSZUG · LEITEN	VISIBLE_NEW_COMPOSITION	okarchedy	NO	WORKING
okedy	1	f77r	P	OK+E+DY	SETZEN · KURZ · SCHLUSS	EXACT_REGISTERED_SURFACE	okedy	NO	HIGH
okeey	1	f71v	C	OK+EE+Y	SETZEN · LÄNGER · POSTEN	EXACT_REGISTERED_SURFACE	okeey	NO	HIGH
okeo	2	f71v	C	OK+E+O	SETZEN · KURZ · AUSFÜHREN	EXACT_REGISTERED_SURFACE	okeo	NO	HIGH
okeodaly	1	f71v	C	OK+E+O+D_ADDR+AL+Y	SETZEN · KURZ · AUSFÜHREN · TEIL · ZIEL · POSTEN	VISIBLE_NEW_COMPOSITION	okeodal	NO	MEDIUM_HIGH
okeosar	1	f71v	C	OK+E+O+S+AR	SETZEN · KURZ · AUSFÜHREN · AUSWÄHLEN · QUELLE	VISIBLE_ROOT_COMPOSITION_RESOLVED	okeosar	NO	MEDIUM_HIGH
okol	2	f88v|f71v	C|P	OK+OL	SETZEN · FORTSETZEN	EXACT_REGISTERED_SURFACE	okol	NO	HIGH
