event_id	case_id	page	record	statement_id	locus	physical_group_position	field_position	register	hand	previous_event_surface_parse	current_surface_parse	next_event_surface_parse	post_close_field_entry	cause_class	resolution_status	working_explanation_de	compact_exception_entry
E155	C1	f81v	B1	B1-S016	f81v.24	6/10	LAST	OTHER_B	2	E154:qol:OL	E155:cheedy:SHED+DY	E156:sal:AL	NO	B1_THREE_CARD_CADENCE	GROUPED_PHRASE	dritter und schliessender Teil der memorierten Folge okeey-qol-cheedy	X01_B1_KEEY_OL_SHED_CADENCE
E186	C2	f82r	B2	B2-S006	f82r.4	6/8	MIDDLE	OTHER_B	2	E185:oteey:OT+EE+Y	E186:qokal:OK+AL	E187:sheckhy:SH+E+CKH+Y	NO	B2_TARGET_HOLD_CHAIN	KEEP_LOCAL	qokal steht zwischen Danach-Lang und Halten am Durchlass	X_E186
E233	C3	f83r	B3	B3-S003	f83r.3	5/10	MIDDLE	OTHER_B	2	E232:chey:Y	E233:daiin:AIIN	E234:chey:Y	NO	Y_AIIN_Y_DESK_CENTER	RESOLVED_COMPACT_RULE	S-Schreibtisch schreibt die Mittelkarte der Y-AIIN-Y-Formel mit d	NONE
E239	C3	f83r	B3	B3-S005	f83r.6	1/9	ONLY	OTHER_B	2	E238:dar:AR	E239:schedy:CHD+DY	E240:chedchy:CHD+Y	NO	B3_SINGLE_CELL_S_CLOSE	KEEP_LOCAL	einzelne Umsetzen-Schlusskarte wird lokal als schedy kopiert	X_E239
E254	C3	f83r	B3	B3-S012	f83r.11	1/10	FIRST	OTHER_B	2	E253:chary:AR+Y	E254:sor:OR	E255:shedy:SHED+DY	NO	B3_S_FIELD_ENTRY	KEEP_LOCAL	neuer B3-Feldposten beginnt den Ansatz mit s	X_E254
E268	C3	f83r	B3	B3-S020	f83r.14	5/10	FIRST	OTHER_B	2	E267:qokshedy:OK+SH+E+DY	E268:dal:AL	E269:lchedy:L+CHD+DY	YES	B3_POST_CLOSE_D_TARGET	KEEP_LOCAL	Zielstelle beginnt nach Schluss lokal mit d	X_E268
E271	C3	f83r	B3	B3-S021	f83r.14	8/10	MIDDLE	OTHER_B	2	E270:qokaiin:OK+AIIN	E271:shcthy:CTH+Y	E272:dal:AL	NO	B3_READY_GATE_S_FORM	KEEP_LOCAL	Bereit-Posten verwendet innerhalb der B3-Kette die sh-Form	X_E271
E283	C3	f83r	B3	B3-S024	f83r.16	1/8	ONLY	OTHER_B	2	E282:lchedy:L+CHD+DY	E283:tchedy:CHD+DY	E284:qokchdy:OK+CHD+DY	YES	B3_POST_CLOSE_T_SINGLE_CELL	KEEP_LOCAL	einzelne Umsetzen-Schlusskarte nach Schluss wird lokal mit t kontrastiert	X_E283
E291	C3	f83r	B3	B3-S026	f83r.20	1/9	ONLY	OTHER_B	2	E290:chealror:AL+R+OR	E291:solkeedy:SOLK+EE+DY	E292:qoteedy:OT+EE+DY	NO	B3_S_SINGLE_CELL_COLLECT	KEEP_LOCAL	einzelne Auffangen-Lang-Schlusskarte traegt die lokale s-Form	X_E291
E352	C4	f83r	B4	B4-S015	f83r.39	1/4	FIRST	OTHER_B	2	E351:dairydy:AIR+Y+DY	E352:qokain:OK+AIN	E353:shey:SH+EE+Y	YES	Q_POST_CLOSE_ENTRY	RESOLVED_COMPACT_RULE	q markiert den neuen Portionseintrag direkt nach einer Schlusskarte	NONE
E366	C5	f83r	B5	B5-S003	f83r.48	2/5	MIDDLE	OTHER_B	2	E365:dal:AL	E366:cheol:OL	E367:lol:L+OL	NO	B5_LINK_CHAIN	KEEP_LOCAL	cheol steht zwischen Zielstelle und Weiterleiten-Fortsetzen	X_E366
