master_card_id	master_head_form	registered_surface_family	second_ring_family	atom_sequence	portable_nucleus_de	current_concrete_default_de	source_component_formula	prose_event_count	reading_rule_de
MC158	cthoor	cthoor	CTH_READY	CTH+OR	BEREITER ANSATZ	Ansatz bereit	CTH_READY+OR_BATCH	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC172	daiiin	daiiin	IIN_STAGE	IIN	STUFE	Öffnungsstufe	DA+IIN_PORT_GRADE	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC091	dairydy	dairydy	AIR_FLOW	AIR+Y+CLOSE	WASSERLAUF SCHLIESSEN	Wasserlauf schliessen; Schluss	D_TERMINAL_FRAME+AIR_WATER+Y_ITEM+CLOSE_EXACT	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC079	daldy	daldy	KNOWN_ATOMS_LOCAL_FRAME	AL+CLOSE	ZIEL SCHLIESSEN	Nebenoeffnung; Schluss	D_SIDE_FRAME+AL_TO+CLOSE_EXACT	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC108	etyd	etyd	TY_PART	E+TY	KURZER TEIL	kleiner Restteil	E_SHORT+TY_PART+D_LOCAL	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC048	kaiiin	kaiiin	IIN_STAGE	IIN	STUFE	Weichstufe	K_SOFT+IIN_TARGET_STAGE	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC023	kair	kair	AIR_FLOW	AIR	WASSERLAUF	Beckenwasser	K_BASIN+AIR_WATER	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC136	kchoar	kchoar	CHEO_EXTRACT	CHEO+AR	AUSZUG VOM AUSGANG	Auszug daraus	K_HULL+CHEO_EXTRACT+AR_FROM	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC029	lar	lar	L_OUT	L+AR	VOM AUSGANG ABFÜHREN	von dort abfuehren	L_OUT+AR_FROM	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC133	lcheckhedy	lcheckhedy	CKHE_STRAIN	L+CKHE+CLOSE	ABSEIHEN; SCHLUSS	abseihen; Schluss	L_OUT+CKHE_STRAIN+TERMINAL	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC168	lcheckhy	lcheckhy	CKH_PATH	L+CKH+Y	POSTEN DURCH AUSGANG FÜHREN	Ausgangsdurchlass	L_OUT+CKH_THROUGH+Y_ITEM	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC127	lched	lched	L_OUT	L+CHD	ABFÜHREN	abführen	L_OUT+CHED_TRANSFER	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC051	lchedal	lchedal	L_OUT	L+CHD+AL	ZUM ZIEL ABFÜHREN	zur Ablaufstelle führen	L_OUT+CHED_TRANSFER+AL_TO	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC011	lchedar	lchedar	L_OUT	L+CHD+AR	VOM AUSGANG ABFÜHREN	von dort abführen	L_OUT+CHED_TRANSFER+AR_FROM	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC155	lchedy	lchedy	L_OUT	L+CHD+CLOSE	ABFÜHREN; SCHLUSS	abführen; Schluss	L_OUT+CHED_TRANSFER+TERMINAL	8	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC066	lcheey	lcheey	L_OUT	L+CHEEY	FREIGEGEBENEN WERT ABFÜHREN	Klarlauf abfuehren	L_OUT+CHEEY_CLEAR_FLOW	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC008	lchy	lchy	L_OUT	L+Y	AKTUELLEN POSTEN ABZIEHEN	abziehen	LCH_WITHDRAW+Y_ITEM	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC101	ldalor	ldalor	KNOWN_ATOMS_LOCAL_FRAME	AL	ENDZIEL	Endziel	LD_END+AL_TO	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC004	ldy	ldy	L_OUT	L+CLOSE	ABFÜHREN; SCHLUSS	abziehen; Ende	L_OUT+CLOSE_EXACT	2	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC030	lo	lo	KNOWN_ATOMS_LOCAL_FRAME	L	ABFÜHREN	abfuehren	L_OUT+O_RESIDUAL_BRANCH	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC167	lochedy	lochedy	KNOWN_ATOMS_LOCAL_FRAME	L+CHD+CLOSE	REST ABFÜHREN; SCHLUSS	Rest abfuehren; Schluss	L_OUT+O_RESIDUAL_BRANCH+CHED_TRANSFER+CLOSE_EXACT	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC092	lol	lol	L_OUT	L+OL	ABFÜHRUNG FORTSETZEN	von dort weiterfuehren	L_OUT+OL_CONTINUE	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC065	ls	ls	L_OUT	L	AUSLASS	Durchlassöffnung	L_OUT+S_PORT	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC038	lshedy	lshedy	WASH	WASH+CLOSE	WASCHEN; SCHLUSS	waschen; Schluss	LSH_WASH+DY_CLOSE	2	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC130	lsho	lsho	WASH	WASH	WASCHGANG	Waschgang beginnen	LSH_WASH	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC112	octheol	octheol	CTH_READY	CTH+OL	BEREIT FORTSETZEN	bereitgestellten Gang fortsetzen	CTH_READY+OL_CONTINUE	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC033	oiiin	oiiin|soiiin	IIN_STAGE	IIN	STUFE	Sollstufe	IIN_TARGET_STAGE	2	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC081	okair	okair	AIR_FLOW	OK+AIR	WASSERLAUF SETZEN	Wasser einlassen	OK_SET+AIR_WATER	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC045	olkeedy	olkeedy|solkeedy	SOLK_COLLECT	SOLK+EE+CLOSE	LÄNGER SAMMELN; SCHLUSS	länger sammeln; Schluss	SOLK_COLLECT+EE_LONG+TERMINAL	3	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC078	olsaly	olsaly	KNOWN_ATOMS_LOCAL_FRAME	AL+Y	POSTEN ZUR UNTEREN ZIELSTELLE	untere Zielstelle	OLS_BELOW+AL_TO+Y_ITEM	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC021	oltchy	oltchy	CTH_READY	OL+CTH+Y	BEREITEN POSTEN FORTSETZEN	bereiten Posten weiterführen	OL_CONTINUE+CTH_READY+Y_CURRENT	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC069	otytchol	otytchol	TY_PART	OT+TY+OL	NÄCHSTEN TEIL FORTSETZEN	naechsten Teilposten weiterfuehren	OT_FOLLOW+TY_PART+OL_CONTINUE	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC126	pchedal	pchedal	P_IN	P+CHD+AL	ZUM ZIEL EINFÜHREN	Einlass	P_IN+CHED_TRANSFER+AL_TO	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC070	pchedy	pchedy	P_IN	P+CHD+CLOSE	EINFÜHREN; SCHLUSS	einführen; Schluss	P_IN+CHED_TRANSFER+TERMINAL	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC073	qcthey	qcthey|shcthey	CTH_READY	CTH+E+Y	KURZ BEREITHALTEN	kurz bereithalten	CTH_READY+GRADE_1+Y_CURRENT	2	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC165	qockhey	qockhey	CKH_PATH	OK+CKH+E+Y	KURZEN DURCHLAUF SETZEN	kurzen Durchlauf ansetzen	OK_SET+CKH_THROUGH+E_SHORT+Y_CURRENT	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC115	qoctholy	qoctholy	CTH_READY	CTH+OL+Y	BEREITEN POSTEN FORTSETZEN	bereiten Posten weiterfuehren	CTH_READY+OL_CONTINUE+Y_CURRENT	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC096	qokeedal	qokeedal	KNOWN_ATOMS_LOCAL_FRAME	OK+EE+AL	LÄNGER AM ZIEL HALTEN	dort länger halten	OK_SET+EE_HOLD+AL_TO	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC015	qokokchy	qokokchy	KNOWN_ATOMS_LOCAL_FRAME	OK+OK+Y	AKTUELLEN POSTEN ERNEUT SETZEN	erneut ansetzen	OK_SET+OK_REPEAT+Y_CURRENT	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC024	qokol	qokol	KNOWN_ATOMS_LOCAL_FRAME	OK+OL	FORTSETZUNG SETZEN	Fortsetzung ansetzen	OK_SET+OL_CONTINUE	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC151	qokshedy	qokshedy	SHED_STATE	OK+SHED+CLOSE	ABSETZGANG SETZEN; SCHLUSS	Absetzgang ansetzen; Schluss	OK_SET+SHED_SETTLE+CLOSE	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC134	qolky	qolky	KNOWN_ATOMS_LOCAL_FRAME	OL	AUF DEM ARBEITSWEG FORTSETZEN	auf dem Arbeitsweg weiterleiten	Q_FRAME+OL_CONTINUE+KY_PATH	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC084	rshedy	rshedy	WASH	WASH+CLOSE	WASCHEN; SCHLUSS	Waschgang abschließen	RSHE_WASH_WHOLE_CARD+DY_CLOSE	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC116	schedair	schedair	AIR_FLOW	AIR	WASSERLAUF	Wasser weiterleiten	SCHED_LEAD+AIR_WATER	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC143	shckhedy	shckhedy	CKHE_STRAIN	CKHE+CLOSE	SEIHEN; SCHLUSS	seihen; Schluss	CKHE_STRAIN+TERMINAL	3	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC058	sheckhal	sheckhal	CKH_PATH	CKH+E+AL	KURZ ZUM ZIEL DURCHLEITEN	kurz zur Zielstelle durchleiten	CKH_THROUGH+E_SHORT+AL_TO	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC132	sheckhy	sheckhy	CKH_PATH	CKH+E+Y	KURZ DURCHLEITEN	kurz durchleiten	CKH_THROUGH+E_SHORT+Y_CURRENT	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC043	shecthedchy	shecthedchy	CTH_READY	CTH+CHD+Y	BEREITEN POSTEN ÜBERTRAGEN	bereiten Posten umsetzen	CTH_READY+CHED_TRANSFER+Y_CURRENT	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC137	shecthy	shecthy	CTH_READY	CTH+E+Y	KURZ BEREITHALTEN	kurz bereit halten	CTH_READY+E_SHORT+Y_CURRENT	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC113	shedal	shedal	SHED_STATE	SHED+AL	AM ZIEL ABSETZEN	dort absetzen	SHED_SETTLE+AL_TO	2	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC003	sheedy	sheedy	SHED_STATE	SHED+EE+CLOSE	LÄNGER ABSETZEN; SCHLUSS	länger absetzen; Schluss	SHED_SETTLE+GRADE_2+DY_CLOSE	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC111	shfydaiin	shfydaiin	KNOWN_ATOMS_LOCAL_FRAME	SH+AIIN	HALTEWERT	Standmaß	SHFY_STAND+AIIN_MEASURE	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC062	shoyty	shoyty	TY_PART	HO+Y+TY	TEIL DES EINGANGSPOSTENS	Zutatenteil	HO_INGREDIENT+Y_CURRENT+TY_PART	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC036	solkaiin	solkaiin	SOLK_COLLECT	SOLK+AIIN	BIS VORGABEWERT SAMMELN	bis Sollmass sammeln	SOLK_COLLECT+AIIN_MEASURE	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC020	solkeey	solkeey	SOLK_COLLECT	SOLK+EE+Y	LÄNGER SAMMELN	länger sammeln	SOLK_COLLECT+EE_LONG+Y_ITEM	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC050	solkey	solkey	SOLK_COLLECT	SOLK+E+Y	KURZ SAMMELN	kurz sammeln	SOLK_COLLECT+E_SHORT+Y_ITEM	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC149	solshedy	solshedy	SHED_STATE	OL+SHED+CLOSE	WEITER ABSETZEN; SCHLUSS	weiter absetzen; Schluss	OL_CONTINUE+SHED_SETTLE+CLOSE	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC141	tshey	tshey	KNOWN_ATOMS_LOCAL_FRAME	CHEEY	FREIGEGEBENER WERT	Klarlauf zugeben	T_FRAME+SHEY_CLEAR_FLOW	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC098	tshol	tshol	KNOWN_ATOMS_LOCAL_FRAME	HO+L	EINGANGSPOSTEN ENTNEHMEN	Zutat entnehmen	T_FRAME+HO_INGREDIENT+L_OUT	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC075	ycheor	ycheor	CHEO_EXTRACT	Y+CHEO+OR	AUSZUGSANSATZ	Auszugsansatz	Y_ITEM+CHEO_EXTRACT+OR_BATCH	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
MC148	ykan	ykan	KNOWN_ATOMS_LOCAL_FRAME	Y+AIN	AKTUELLER ANTEIL	dieser Anteil	Y_ITEM+AIN_PORTION	1	zweiter Kern plus bereits gelernte Atome; Besitzer liefert die konkrete Werkstattausprägung
