surface	working_meaning_de	composition	strongest_rival_de	family
chekain	zwei Teile bis zur Mittelstufe getrockneter und erhitzter Droge	CH_DRY+E_MIDDLE+K_HOT+AIN_II	bis zur Mittelstufe trocknen, dann auf Stufe II erhitzen	DRY_HEAT_II
olaiiny	drei Teile Drogenstoff abschließen	OL_MATERIAL+AIIN_III+Y_START_OR_CLOSE	drei Teile Drogenstoff in Grundform	MATERIAL_III_CLOSE
shkain	zwei Teile eingeweichter und erhitzter Droge	SH_MOIST+K_HOT+AIN_II	heiß eingeweicht auf Stufe II	MOIST_HOT_II
ofalsheky	Blütenrohstoff I im Ansatz bis zur Mittelstufe einweichen, erhitzen und abschließen	O_PREP+F_FLOWER+AL_RAW_I+SH_MOIST+E_MIDDLE+K_HOT+Y_START_OR_CLOSE	Blütenrohstoff-I-Ansatz mittelfeucht und heiß	FLOWER_RAW_MOIST_HEAT_CLOSE
chedol	eine Dosis Drogenstoff bis zur Mittelstufe trocknen	CH_DRY+E_MIDDLE+D_MEASURE+OL_MATERIAL	mitteltrockene Dosis Drogenstoff	DRY_MATERIAL_DOSE
qetal	kühle Rohdroge I bis zur Mittelstufe	QO_COMMAND+E_MIDDLE+T_COLD+AL_RAW_I	Rohdroge I auf mittlerer Kühlstufe	COOL_RAW_MIDDLE_COMMAND
rtain	Wurzeldroge kalt auf Stufe II	R_ROOT+T_COLD+AIN_II	zwei Teile gekühlte Wurzeldroge	ROOT_COLD_II
otodar	erste Fraktion aus dem gekühlten Ansatz abmessen	O_PREP+T_COLD+O_PREP+D_MEASURE+AR_FRACTION_I	gekühlter Ansatz mit abgemessener Fraktion I	COOL_PREP_MEASURE_FRACTION_I
alsy	Charge Rohdroge I abschließen	AL_RAW_I+S_TERM_SPECIES+Y_START_OR_CLOSE	abgeschlossene Rohdrogencharge I	RAW_CHARGE_CLOSE
chearory	eine Portion der ersten Fraktion bis zur Mittelstufe trocknen und abschließen	CH_DRY+E_MIDDLE+AR_FRACTION_I+OR_PORTION+Y_START_OR_CLOSE	abgeschlossene Portion mitteltrockener Fraktion I	DRY_FRACTION_PORTION_CLOSE
secheeol	Saatgut-Drogenstoff von der Mittelstufe bis zur Endstufe trocknen	S_SEED+E_MIDDLE+CH_DRY+EE_END+OL_MATERIAL	vollständig getrockneter Saatgut-Drogenstoff	SEED_MATERIAL_DRY_END
