mode	record	line	locus	word	material	state	prior_manufacture	row_status
T	f29v	f29v.2	f29v.2:8	ytchor	ytchor	Eingangszustand offen	NA	recorded
T	f29v	f29v.3	f29v.3:5	odaiin	odaiin	Eingangszustand offen	NA	recorded
T	f29v	f29v.4	f29v.4:3	okaiin	okaiin	Eingangszustand offen	NA	recorded
T	f29v	f29v.4	f29v.4:4	cthy	cthy	Eingangszustand offen	NA	recorded
T	f29v	f29v.4	f29v.4:9	okaiin	okaiin	Eingangszustand offen	NA	recorded
M	f17r	f17r.4	f17r.4:1	tcho	tcho	Eingangszustand offen	NA	recorded
M	f17r	f17r.5	f17r.5:2	cthy	cthy	Eingangszustand offen	NA	recorded
M	f17r	f17r.5	f17r.5:3	chor	chor	Eingangszustand offen	NA	recorded
M	f17r	f17r.5	f17r.5:4	shor	shor	Eingangszustand offen	NA	recorded
M	f17r	f17r.5	f17r.5:8	cthey	cthey	Eingangszustand offen	NA	recorded
M	f17r	f17r.5	f17r.5:9	qody	qody	Eingangszustand offen	NA	recorded
M	f21r	f21r.9	f21r.9:1	okaiin	okaiin	Eingangszustand offen	NA	recorded
M	f21r	f21r.9	f21r.9:3	tshaiin	tshaiin	Eingangszustand offen	NA	recorded
M	f21r	f21r.9	f21r.9:6	cthey	cthey	Eingangszustand offen	NA	recorded
M	f21r	f21r.9	f21r.9:8	cthy	cthy	Eingangszustand offen	NA	recorded
M	f21r	f21r.10	f21r.10:3	chy	chy	Eingangszustand offen	NA	recorded
M	f21r	f21r.10	f21r.10:5	qotaiin	qotaiin	Eingangszustand offen	NA	recorded
M	f21r	f21r.10	f21r.10:6	qotchol	qotchol	Eingangszustand offen	NA	recorded
M	f21r	f21r.12	f21r.12:2	chor	chor	Eingangszustand offen	NA	recorded
M	f21r	f21r.12	f21r.12:5	chor	chor	Eingangszustand offen	NA	recorded
M	f32v	f32v.8	f32v.8:1	otchol	otchol	Eingangszustand offen	NA	recorded
M	f32v	f32v.8	f32v.8:4	ctho	ctho	Eingangszustand offen	NA	recorded
M	f32v	f32v.8	f32v.8:6	qotaiin	qotaiin	Eingangszustand offen	NA	recorded
M	f32v	f32v.8	f32v.8:9	shan	shan	Eingangszustand offen	NA	recorded
M	f32v	f32v.9	f32v.9:4	chocthy	chocthy	Eingangszustand offen	NA	recorded
M	f32v	f32v.9	f32v.9:6	cthaiin	cthaiin	Eingangszustand offen	NA	recorded
M	f32v	f32v.10	f32v.10:2	keol	keol	Eingangszustand offen	NA	recorded
M	f32v	f32v.10	f32v.10:3	chor	chor	Eingangszustand offen	NA	recorded
M	f32v	f32v.10	f32v.10:8	cthol	cthol	Eingangszustand offen	NA	recorded
M	f32v	f32v.11	f32v.11:3	chy	chy	Eingangszustand offen	NA	recorded
M	f29v	f29v.1	f29v.1:1	kooiin	kooiin	Eingangszustand offen	NA	recorded
M	f29v	f29v.1	f29v.1:2	shor	shor	Eingangszustand offen	NA	recorded
M	f29v	f29v.1	f29v.1:7	cthy	cthy	Eingangszustand offen	NA	recorded
M	f29v	f29v.2	f29v.2:1	qotcheaiin	qotcheaiin	Eingangszustand offen	NA	recorded
M	f29v	f29v.2	f29v.2:5	cthy	cthy	Eingangszustand offen	NA	recorded
M	f29v	f29v.2	f29v.2:7	cthold	cthold	Eingangszustand offen	NA	recorded
M	f29v	f29v.2	f29v.2:8	ytchor	ytchor	Eingangszustand offen	NA	recorded
M	f29v	f29v.3	f29v.3:5	odaiin	odaiin	Eingangszustand offen	NA	recorded
M	f29v	f29v.4	f29v.4:3	okaiin	okaiin	Eingangszustand offen	NA	recorded
M	f29v	f29v.4	f29v.4:4	cthy	cthy	Eingangszustand offen	NA	recorded
M	f29v	f29v.4	f29v.4:9	okaiin	okaiin	Eingangszustand offen	NA	recorded
