cell_id	cohort	prefix	tail	surface	tail_candidate_structural_tag_not_translation	reader_exact_occurrences	reader_exact_page_count	reader_exact_physical_folio_count	candidate_semantic_credit	component_export_credit
G788-X08-04	PRIMARY	qoke	dar	qokedar	PART_I_MEASURED_CANDIDATE	4	4	4	0	0
G788-X09-01	PRIMARY	sh	al	shal	MATERIAL_I_UNMEASURED_CANDIDATE	11	9	7	0	0
G788-X09-02	PRIMARY	sh	dal	shdal	MATERIAL_I_MEASURED_CANDIDATE	3	3	3	0	0
G788-X09-03	PRIMARY	sh	ar	shar	PART_I_UNMEASURED_CANDIDATE	24	21	19	0	0
G788-X09-04	PRIMARY	sh	dar	shdar	PART_I_MEASURED_CANDIDATE	7	6	5	0	0
G788-X10-01	PRIMARY	she	al	sheal	MATERIAL_I_UNMEASURED_CANDIDATE	13	12	10	0	0
G788-X10-02	PRIMARY	she	dal	shedal	MATERIAL_I_MEASURED_CANDIDATE	7	5	3	0	0
G788-X10-03	PRIMARY	she	ar	shear	PART_I_UNMEASURED_CANDIDATE	17	14	13	0	0
G788-X10-04	PRIMARY	she	dar	shedar	PART_I_MEASURED_CANDIDATE	6	6	6	0	0
G788-X11-01	LOW_SUPPORT_SENSITIVITY	cheo	al	cheoal	MATERIAL_I_UNMEASURED_CANDIDATE	1	1	1	0	0
G788-X11-02	LOW_SUPPORT_SENSITIVITY	cheo	dal	cheodal	MATERIAL_I_MEASURED_CANDIDATE	5	5	5	0	0
G788-X11-03	LOW_SUPPORT_SENSITIVITY	cheo	ar	cheoar	PART_I_UNMEASURED_CANDIDATE	4	3	3	0	0
G788-X11-04	LOW_SUPPORT_SENSITIVITY	cheo	dar	cheodar	PART_I_MEASURED_CANDIDATE	3	3	3	0	0
G788-X12-01	LOW_SUPPORT_SENSITIVITY	dch	al	dchal	MATERIAL_I_UNMEASURED_CANDIDATE	1	1	1	0	0
G788-X12-02	LOW_SUPPORT_SENSITIVITY	dch	dal	dchdal	MATERIAL_I_MEASURED_CANDIDATE	1	1	1	0	0
G788-X12-03	LOW_SUPPORT_SENSITIVITY	dch	ar	dchar	PART_I_UNMEASURED_CANDIDATE	1	1	1	0	0
G788-X12-04	LOW_SUPPORT_SENSITIVITY	dch	dar	dchdar	PART_I_MEASURED_CANDIDATE	2	2	2	0	0
G788-X13-01	LOW_SUPPORT_SENSITIVITY	lche	al	lcheal	MATERIAL_I_UNMEASURED_CANDIDATE	2	1	1	0	0
G788-X13-02	LOW_SUPPORT_SENSITIVITY	lche	dal	lchedal	MATERIAL_I_MEASURED_CANDIDATE	1	1	1	0	0
G788-X13-03	LOW_SUPPORT_SENSITIVITY	lche	ar	lchear	PART_I_UNMEASURED_CANDIDATE	1	1	1	0	0
G788-X13-04	LOW_SUPPORT_SENSITIVITY	lche	dar	lchedar	PART_I_MEASURED_CANDIDATE	1	1	1	0	0
G788-X14-01	LOW_SUPPORT_SENSITIVITY	opch	al	opchal	MATERIAL_I_UNMEASURED_CANDIDATE	3	3	3	0	0
G788-X14-02	LOW_SUPPORT_SENSITIVITY	opch	dal	opchdal	MATERIAL_I_MEASURED_CANDIDATE	1	1	1	0	0
G788-X14-03	LOW_SUPPORT_SENSITIVITY	opch	ar	opchar	PART_I_UNMEASURED_CANDIDATE	2	2	2	0	0
G788-X14-04	LOW_SUPPORT_SENSITIVITY	opch	dar	opchdar	PART_I_MEASURED_CANDIDATE	1	1	1	0	0
G788-X15-01	LOW_SUPPORT_SENSITIVITY	p	al	pal	MATERIAL_I_UNMEASURED_CANDIDATE	2	1	1	0	0
G788-X15-02	LOW_SUPPORT_SENSITIVITY	p	dal	pdal	MATERIAL_I_MEASURED_CANDIDATE	1	1	1	0	0
G788-X15-03	LOW_SUPPORT_SENSITIVITY	p	ar	par	PART_I_UNMEASURED_CANDIDATE	4	4	4	0	0
G788-X15-04	LOW_SUPPORT_SENSITIVITY	p	dar	pdar	PART_I_MEASURED_CANDIDATE	1	1	1	0	0
G788-X16-01	LOW_SUPPORT_SENSITIVITY	qokee	al	qokeeal	MATERIAL_I_UNMEASURED_CANDIDATE	1	1	1	0	0
G788-X16-02	LOW_SUPPORT_SENSITIVITY	qokee	dal	qokeedal	MATERIAL_I_MEASURED_CANDIDATE	3	3	3	0	0
G788-X16-03	LOW_SUPPORT_SENSITIVITY	qokee	ar	qokeear	PART_I_UNMEASURED_CANDIDATE	1	1	1	0	0
G788-X16-04	LOW_SUPPORT_SENSITIVITY	qokee	dar	qokeedar	PART_I_MEASURED_CANDIDATE	3	3	3	0	0
