surface	family_class	left_whole	raw_occurrences	raw_page_count	raw_pages	raw_physical_folio_count	raw_locus_count	reader_exact_surface	reader_exact_occurrences	reader_exact_page_count	reader_exact_pages	reader_exact_physical_folio_count	reader_exact_locus_count	exact_first	exact_middle	exact_last	exact_single	exact_true_paragraph_starts	exact_true_paragraph_ends	exact_register_distribution	current_alternate_reader_split_candidates	current_alternate_reader_split_loci	current_alternate_reader_split_sources	component_export_credit
cthodal	LEFT_WHOLE_PLUS_DAL	ctho	2	2	f17v|f87r	2	2	1	2	2	f17v|f87r	2	2	0	2	0	0	0	0	H|A|1:2	0	NONE	NONE	0
daiidal	LEFT_WHOLE_PLUS_DAL	daii	1	1	f23r	1	1	1	1	1	f23r	1	1	0	1	0	0	0	0	H|A|1:1	0	NONE	NONE	0
dal	BARE_DAL	NONE	191	87	f2r|f5v|f6v|f8v|f9r|f13v|f16r|f16v|f18r|f19r|f21v|f23r|f23v|f24r|f26r|f27r|f30v|f31r|f32r|f33v|f34r|f35r|f35v|f36v|f39r|f39v|f40r|f42r|f45r|f48r|f49v|f51r|f53r|f54v|f55r|f56r|f56v|f58r|f58v|f66r|f66v|f75r|f75v|f76r|f76v|f77r|f77v|f78r|f78v|f79r|f80r|f80v|f81v|f82r|f82v|f83r|f83v|f85r1|f86v3|f86v5|f86v6|f87r|f88r|f88v|f89r1|f89v1|f93r|f94r|f95v1|f99r|f102r1|f103r|f103v|f104r|f104v|f105r|f105v|f106v|f107r|f107v|f108r|f111r|f112r|f113v|f114r|f114v|f115r	64	179	1	147	77	f2r|f5v|f6v|f8v|f9r|f13v|f16v|f18r|f19r|f21v|f23r|f23v|f24r|f27r|f30v|f31r|f32r|f33v|f34r|f35r|f36v|f40r|f42r|f45r|f48r|f51r|f53r|f54v|f56r|f56v|f58r|f58v|f66v|f75r|f75v|f76r|f76v|f77r|f77v|f78r|f78v|f79r|f80r|f80v|f81v|f82r|f82v|f83r|f83v|f85r1|f86v3|f86v5|f86v6|f87r|f88r|f88v|f89r1|f89v1|f93r|f94r|f95v1|f99r|f103r|f103v|f104r|f104v|f105r|f105v|f107r|f107v|f108r|f111r|f112r|f113v|f114r|f114v|f115r	58	140	3	108	35	1	0	3	B|B|2:46|C|B|2:2|H|A|1:35|H|B|2:5|H|B|3:2|H|B|5:4|P|A|1:13|S|A|3:8|S|B|3:20|S|B|@:1|T|B|2:11	0	NONE	NONE	0
daldal	LEFT_WHOLE_PLUS_DAL	dal	1	1	f89r1	1	1	1	1	1	f89r1	1	1	0	0	1	0	0	1	P|A|1:1	0	NONE	NONE	0
daramdal	LEFT_WHOLE_PLUS_DAL	daram	1	1	f88v	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
darcheedal	LEFT_WHOLE_PLUS_DAL	darchee	1	1	f77v	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
dchdal	LEFT_WHOLE_PLUS_DAL	dch	1	1	f85r1	1	1	1	1	1	f85r1	1	1	0	1	0	0	0	0	T|B|2:1	0	NONE	NONE	0
dshedal	LEFT_WHOLE_PLUS_DAL	dshe	1	1	f114v	1	1	1	1	1	f114v	1	1	1	0	0	0	0	0	S|B|3:1	0	NONE	NONE	0
dsheedal	LEFT_WHOLE_PLUS_DAL	dshee	1	1	f77v	1	1	1	1	1	f77v	1	1	0	1	0	0	0	0	B|B|2:1	0	NONE	NONE	0
dshodal	LEFT_WHOLE_PLUS_DAL	dsho	1	1	f58r	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
fcheodal	LEFT_WHOLE_PLUS_DAL	fcheo	1	1	f48v	1	1	1	1	1	f48v	1	1	0	1	0	0	0	0	H|B|5:1	0	NONE	NONE	0
fodal	LEFT_WHOLE_PLUS_DAL	fo	1	1	f105v	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
fschedal	LEFT_WHOLE_PLUS_DAL	fsche	1	1	f76v	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
kaiiidal	LEFT_WHOLE_PLUS_DAL	kaiii	1	1	f51r	1	1	1	1	1	f51r	1	1	0	1	0	0	0	0	H|A|1:1	0	NONE	NONE	0
kchdal	LEFT_WHOLE_PLUS_DAL	kch	2	2	f47r|f104r	2	2	1	1	1	f47r	1	1	0	0	1	0	0	0	H|A|1:1	0	NONE	NONE	0
kedal	LEFT_WHOLE_PLUS_DAL	ke	1	1	f108r	1	1	1	1	1	f108r	1	1	0	1	0	0	0	0	S|B|3:1	0	NONE	NONE	0
keedal	LEFT_WHOLE_PLUS_DAL	kee	2	2	f108r|f112v	2	2	1	2	2	f108r|f112v	2	2	0	2	0	0	0	0	S|B|3:2	0	NONE	NONE	0
keeedal	LEFT_WHOLE_PLUS_DAL	keee	1	1	f107v	1	1	1	1	1	f107v	1	1	0	1	0	0	0	0	S|B|3:1	0	NONE	NONE	0
keeodal	LEFT_WHOLE_PLUS_DAL	keeo	1	1	f111r	1	1	1	1	1	f111r	1	1	0	1	0	0	0	0	S|B|3:1	0	NONE	NONE	0
keeredal	LEFT_WHOLE_PLUS_DAL	keere	1	1	f41v	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
koldal	LEFT_WHOLE_PLUS_DAL	kol	2	2	f52r|f89v1	2	2	1	1	1	f52r	1	1	0	1	0	0	0	0	H|A|1:1	0	NONE	NONE	0
lchdal	LEFT_WHOLE_PLUS_DAL	lch	2	2	f55r|f111v	2	2	1	1	1	f55r	1	1	1	0	0	0	0	0	H|B|2:1	0	NONE	NONE	0
lchedal	LEFT_WHOLE_PLUS_DAL	lche	1	1	f81v	1	1	1	1	1	f81v	1	1	0	1	0	0	0	0	B|B|2:1	0	NONE	NONE	0
lkchdal	LEFT_WHOLE_PLUS_DAL	lkch	1	1	f105v	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
lkedal	LEFT_WHOLE_PLUS_DAL	lke	2	2	f108r|f113v	2	2	1	2	2	f108r|f113v	2	2	0	2	0	0	0	0	S|B|3:2	0	NONE	NONE	0
lshodykeodal	LEFT_WHOLE_PLUS_DAL	lshodykeo	1	1	f102r1	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
ochedal	LEFT_WHOLE_PLUS_DAL	oche	1	1	f114r	1	1	1	1	1	f114r	1	1	0	0	1	0	0	0	S|B|3:1	0	NONE	NONE	0
odal	LEFT_WHOLE_PLUS_DAL	o	14	14	f4r|f17v|f23r|f39r|f45v|f48r|f77v|f87v|f89v1|f96r|f105r|f105v|f106v|f113v	13	14	1	11	11	f4r|f23r|f39r|f45v|f48r|f77v|f89v1|f105r|f105v|f106v|f113v	10	11	1	10	0	0	0	0	B|B|2:1|H|A|1:3|H|B|2:1|H|B|5:1|P|A|1:1|S|B|3:4	0	NONE	NONE	0
ofyskydal	LEFT_WHOLE_PLUS_DAL	ofysky	1	1	f88r	1	1	1	1	1	f88r	1	1	0	0	0	1	0	0	P|A|1:1	0	NONE	NONE	0
oidal	LEFT_WHOLE_PLUS_DAL	oi	1	1	f114v	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
okchdal	LEFT_WHOLE_PLUS_DAL	okch	1	1	f104r	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
okedal	LEFT_WHOLE_PLUS_DAL	oke	5	5	f43v|f76r|f108r|f111r|f112v	5	5	1	2	2	f43v|f112v	2	2	0	2	0	0	0	0	H|B|2:1|S|B|3:1	0	NONE	NONE	0
okeedal	LEFT_WHOLE_PLUS_DAL	okee	4	4	f66v|f76r|f104r|f108v	4	4	1	2	2	f76r|f104r	2	2	0	2	0	0	0	0	S|B|3:1|T|B|2:1	0	NONE	NONE	0
okeodal	LEFT_WHOLE_PLUS_DAL	okeo	1	1	f99v	1	1	1	1	1	f99v	1	1	0	1	0	0	0	0	P|A|1:1	0	NONE	NONE	0
oldal	LEFT_WHOLE_PLUS_DAL	ol	2	2	f88r|f114r	2	2	1	2	2	f88r|f114r	2	2	0	1	1	0	0	0	P|A|1:1|S|B|3:1	0	NONE	NONE	0
olkeedal	LEFT_WHOLE_PLUS_DAL	olkee	1	1	f77v	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
olkeeodal	LEFT_WHOLE_PLUS_DAL	olkeeo	1	1	f104r	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
ololdal	LEFT_WHOLE_PLUS_DAL	olol	1	1	f78r	1	1	1	1	1	f78r	1	1	0	1	0	0	0	0	B|B|2:1	0	NONE	NONE	0
opchdal	LEFT_WHOLE_PLUS_DAL	opch	1	1	f111v	1	1	1	1	1	f111v	1	1	0	1	0	0	0	0	S|B|3:1	0	NONE	NONE	0
opchedal	LEFT_WHOLE_PLUS_DAL	opche	1	1	f111r	1	1	1	1	1	f111r	1	1	0	1	0	0	0	0	S|B|3:1	0	NONE	NONE	0
opcheodal	LEFT_WHOLE_PLUS_DAL	opcheo	1	1	f49v	1	1	1	1	1	f49v	1	1	0	1	0	0	0	0	H|A|1:1	0	NONE	NONE	0
opshedal	LEFT_WHOLE_PLUS_DAL	opshe	1	1	f76v	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
orchedal	LEFT_WHOLE_PLUS_DAL	orche	1	1	f77v	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
otaldal	LEFT_WHOLE_PLUS_DAL	otal	1	1	f112v	1	1	1	1	1	f112v	1	1	0	0	1	0	0	0	S|B|3:1	0	NONE	NONE	0
otchdal	LEFT_WHOLE_PLUS_DAL	otch	2	2	f18v|f93v	2	2	1	1	1	f18v	1	1	0	1	0	0	0	0	H|A|1:1	0	NONE	NONE	0
otdal	LEFT_WHOLE_PLUS_DAL	ot	1	1	f82v	1	1	1	1	1	f82v	1	1	0	1	0	0	0	0	B|B|2:1	0	NONE	NONE	0
otedal	LEFT_WHOLE_PLUS_DAL	ote	4	4	f82v|f108v|f114v|f116r	4	4	1	3	3	f82v|f108v|f114v	3	3	0	2	0	1	0	0	B|B|2:1|S|B|3:2	0	NONE	NONE	0
oteedal	LEFT_WHOLE_PLUS_DAL	otee	2	2	f112r|f115v	2	2	1	2	2	f112r|f115v	2	2	0	2	0	0	0	0	S|B|3:2	0	NONE	NONE	0
oteodal	LEFT_WHOLE_PLUS_DAL	oteo	2	2	f87r|f93r	2	2	1	2	2	f87r|f93r	2	2	0	2	0	0	0	0	H|A|1:2	0	NONE	NONE	0
otodal	LEFT_WHOLE_PLUS_DAL	oto	1	1	f107r	1	1	1	1	1	f107r	1	1	0	1	0	0	0	0	S|B|3:1	0	NONE	NONE	0
otolodal	LEFT_WHOLE_PLUS_DAL	otolo	1	1	f24v	1	1	1	1	1	f24v	1	1	0	0	1	0	0	0	H|A|1:1	0	NONE	NONE	0
otydal	LEFT_WHOLE_PLUS_DAL	oty	1	1	f45r	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
pchdal	LEFT_WHOLE_PLUS_DAL	pch	1	1	f114v	1	1	1	1	1	f114v	1	1	0	1	0	0	0	0	S|B|3:1	0	NONE	NONE	0
pchedal	LEFT_WHOLE_PLUS_DAL	pche	5	4	f83r|f103r|f105v|f108v	4	5	1	4	4	f83r|f103r|f105v|f108v	4	4	4	0	0	0	3	0	B|B|2:1|S|B|3:3	0	NONE	NONE	0
pcheodal	LEFT_WHOLE_PLUS_DAL	pcheo	1	1	f114v	1	1	1	1	1	f114v	1	1	1	0	0	0	1	0	S|B|3:1	0	NONE	NONE	0
pchodal	LEFT_WHOLE_PLUS_DAL	pcho	1	1	f51r	1	1	1	1	1	f51r	1	1	0	0	1	0	0	0	H|A|1:1	0	NONE	NONE	0
pdal	LEFT_WHOLE_PLUS_DAL	p	1	1	f105r	1	1	1	1	1	f105r	1	1	1	0	0	0	1	0	S|B|3:1	0	NONE	NONE	0
polkeedal	LEFT_WHOLE_PLUS_DAL	polkee	1	1	f108v	1	1	1	1	1	f108v	1	1	1	0	0	0	1	0	S|B|3:1	0	NONE	NONE	0
polshdal	LEFT_WHOLE_PLUS_DAL	polsh	1	1	f76v	1	1	1	1	1	f76v	1	1	1	0	0	0	1	0	B|B|2:1	0	NONE	NONE	0
pshdal	LEFT_WHOLE_PLUS_DAL	psh	1	1	f86v5	1	1	1	1	1	f86v5	1	1	1	0	0	0	1	0	T|B|2:1	0	NONE	NONE	0
pykydal	LEFT_WHOLE_PLUS_DAL	pyky	1	1	f45r	1	1	1	1	1	f45r	1	1	1	0	0	0	1	0	H|A|1:1	0	NONE	NONE	0
qchodal	LEFT_WHOLE_PLUS_DAL	qcho	1	1	f51r	1	1	1	1	1	f51r	1	1	0	1	0	0	0	0	H|A|1:1	0	NONE	NONE	0
qodal	LEFT_WHOLE_PLUS_DAL	qo	7	6	f51v|f52r|f53v|f54v|f85r1|f104r	6	7	1	6	6	f51v|f52r|f53v|f54v|f85r1|f104r	6	6	0	6	0	0	0	0	H|A|1:4|S|B|3:1|T|B|2:1	0	NONE	NONE	0
qofchdal	LEFT_WHOLE_PLUS_DAL	qofch	1	1	f76v	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
qokchodal	LEFT_WHOLE_PLUS_DAL	qokcho	1	1	f93r	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
qokedal	LEFT_WHOLE_PLUS_DAL	qoke	3	3	f43v|f82v|f105r	3	3	1	2	2	f82v|f105r	2	2	0	2	0	0	0	0	B|B|2:1|S|B|3:1	0	NONE	NONE	0
qokeedal	LEFT_WHOLE_PLUS_DAL	qokee	3	3	f81v|f103v|f106v	3	3	1	3	3	f81v|f103v|f106v	3	3	0	3	0	0	0	0	B|B|2:1|S|B|3:2	0	NONE	NONE	0
qokeeodal	LEFT_WHOLE_PLUS_DAL	qokeeo	1	1	f3r	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	1	f3r.17	it2a	0
qopchedal	LEFT_WHOLE_PLUS_DAL	qopche	1	1	f94r	1	1	1	1	1	f94r	1	1	0	1	0	0	0	0	H|B|3:1	0	NONE	NONE	0
qotchdal	LEFT_WHOLE_PLUS_DAL	qotch	1	1	f115v	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
qotedal	LEFT_WHOLE_PLUS_DAL	qote	3	3	f66r|f111v|f114v	3	3	1	1	1	f66r	1	1	0	1	0	0	0	0	T|B|5:1	0	NONE	NONE	0
saldal	LEFT_WHOLE_PLUS_DAL	sal	1	1	f87r	1	1	1	1	1	f87r	1	1	0	1	0	0	0	0	H|A|1:1	0	NONE	NONE	0
sasoldal	LEFT_WHOLE_PLUS_DAL	sasol	1	1	f83r	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
sdal	LEFT_WHOLE_PLUS_DAL	s	1	1	f94v	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
shdal	LEFT_WHOLE_PLUS_DAL	sh	4	4	f77v|f86v6|f103r|f112r	4	4	1	3	3	f77v|f103r|f112r	3	3	0	2	1	0	0	1	B|B|2:1|S|B|3:2	0	NONE	NONE	0
shedal	LEFT_WHOLE_PLUS_DAL	she	11	7	f76r|f76v|f77v|f83r|f83v|f111r|f111v	4	10	1	7	5	f76r|f76v|f83r|f83v|f111v	3	7	1	5	1	0	0	0	B|B|2:5|S|B|3:1|T|B|2:1	0	NONE	NONE	0
sheedal	LEFT_WHOLE_PLUS_DAL	shee	1	1	f106r	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
sheodal	LEFT_WHOLE_PLUS_DAL	sheo	3	3	f66r|f96v|f106r	3	3	1	3	3	f66r|f96v|f106r	3	3	1	2	0	0	0	0	H|A|1:1|S|B|3:1|T|B|5:1	0	NONE	NONE	0
shodal	LEFT_WHOLE_PLUS_DAL	sho	1	1	f93r	1	1	1	1	1	f93r	1	1	0	1	0	0	0	0	H|A|1:1	0	NONE	NONE	0
shydal	LEFT_WHOLE_PLUS_DAL	shy	1	1	f9r	1	1	1	1	1	f9r	1	1	0	1	0	0	0	0	H|A|1:1	0	NONE	NONE	0
sodal	LEFT_WHOLE_PLUS_DAL	so	2	2	f42v|f116r	2	2	1	1	1	f42v	1	1	1	0	0	0	0	0	H|A|1:1	0	NONE	NONE	0
ssheedal	LEFT_WHOLE_PLUS_DAL	sshee	1	1	f108v	1	1	1	1	1	f108v	1	1	1	0	0	0	0	0	S|B|3:1	0	NONE	NONE	0
tchedal	LEFT_WHOLE_PLUS_DAL	tche	1	1	f103v	1	1	1	1	1	f103v	1	1	1	0	0	0	0	0	S|B|3:1	0	NONE	NONE	0
tcheodal	LEFT_WHOLE_PLUS_DAL	tcheo	1	1	f20r	1	1	1	1	1	f20r	1	1	0	1	0	0	0	0	H|A|1:1	0	NONE	NONE	0
tedal	LEFT_WHOLE_PLUS_DAL	te	1	1	f77v	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
teedal	LEFT_WHOLE_PLUS_DAL	tee	2	2	f94v|f112v	2	2	1	1	1	f112v	1	1	1	0	0	0	0	0	S|B|3:1	0	NONE	NONE	0
teeodal	LEFT_WHOLE_PLUS_DAL	teeo	1	1	f87r	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
teodal	LEFT_WHOLE_PLUS_DAL	teo	2	2	f66v|f88v	2	2	1	2	2	f66v|f88v	2	2	2	0	0	0	1	0	H|B|5:1|P|A|1:1	0	NONE	NONE	0
todal	LEFT_WHOLE_PLUS_DAL	to	3	3	f58r|f58v|f94r	2	3	1	3	3	f58r|f58v|f94r	2	3	3	0	0	0	0	0	H|B|3:1|S|A|3:2	0	NONE	NONE	0
toldal	LEFT_WHOLE_PLUS_DAL	tol	1	1	f77v	1	1	1	1	1	f77v	1	1	1	0	0	0	0	0	B|B|2:1	0	NONE	NONE	0
tshdal	LEFT_WHOLE_PLUS_DAL	tsh	1	1	f95v1	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
tshedal	LEFT_WHOLE_PLUS_DAL	tshe	1	1	f86v3	1	1	1	1	1	f86v3	1	1	1	0	0	0	1	0	C|B|2:1	0	NONE	NONE	0
ychedal	LEFT_WHOLE_PLUS_DAL	yche	2	2	f112v|f115v	2	2	1	1	1	f115v	1	1	1	0	0	0	0	0	S|B|3:1	0	NONE	NONE	0
ydal	LEFT_WHOLE_PLUS_DAL	y	2	2	f13r|f24v	2	2	1	2	2	f13r|f24v	2	2	1	1	0	0	0	0	H|A|1:2	0	NONE	NONE	0
ykeedal	LEFT_WHOLE_PLUS_DAL	ykee	1	1	f48v	1	1	0	0	0	NONE	0	0	0	0	0	0	0	0	NONE	0	NONE	NONE	0
yshdal	LEFT_WHOLE_PLUS_DAL	ysh	1	1	f103r	1	1	1	1	1	f103r	1	1	0	1	0	0	0	0	S|B|3:1	0	NONE	NONE	0
ytchedal	LEFT_WHOLE_PLUS_DAL	ytche	1	1	f48v	1	1	1	1	1	f48v	1	1	0	1	0	0	0	0	H|B|5:1	0	NONE	NONE	0
