page	physical_folio	locus	left_surface	right_surface	separated_pair	left_token_ordinal	right_token_ordinal	line_token_count	line_position_of_dal	paragraph_start_line	paragraph_end_line	section	language	hand	both_tokens_reader_exact	zl3b_pair_count	it2a_pair_count	rf1b_pair_count	all_three_readers_preserve_pair	clean_exact_span	current_line	component_export_credit	span_id
f56r	f56	f56r.7	choky	dal	choky dal	4	5	5	LAST	0	0	H	A	1	1	1	1	1	1	1	sho kchol otchor choky dal	0	G788-S032
f56v	f56	f56v.3	choteeey	dal	choteeey dal	6	7	7	LAST	0	0	H	A	1	1	1	1	1	1	1	ochey chol chol qotchey daiin choteeey dal	0	G788-S033
f58r	f58	f58r.7	cholkeey	dal	cholkeey dal	2	3	10	MIDDLE	0	0	S	A	3	1	1	1	1	1	1	saiin cholkeey dal shom sholteol ytalody otey cheoly o tchy	0	G788-S034
f58r	f58	f58r.12	otalchal	dal	otalchal dal	4	5	9	MIDDLE	0	0	S	A	3	1	1	1	1	1	1	shoar ar choldal otalchal dal choldy okalys airaldy shar	0	G788-S035
f58r	f58	f58r.17	qoky	dal	qoky dal	6	7	11	MIDDLE	0	0	S	A	3	1	1	1	1	1	1	ysholshy qotoly daiin ykal dalchdy qoky dal ytchody s olar aly	0	G788-S036
f58r	f58	f58r.19	chaly	dal	chaly dal	3	4	10	MIDDLE	0	0	S	A	3	1	1	1	1	1	1	todal qotey chaly dal qokaldy otary okalal ees chal ochaly	0	G788-S037
f58r	f58	f58r.22	chol	dal	chol dal	3	4	10	MIDDLE	0	0	S	A	3	1	1	1	1	1	1	dcholy ytar chol dal qoaiir chalolky osal chotam chal olseeg	0	G788-S038
f58r	f58	f58r.41	saiin	dal	saiin dal	3	4	7	MIDDLE	0	1	S	A	3	1	1	1	1	1	1	dchol chokal saiin dal okal s alchey	0	G788-S039
f58v	f58	f58v.6	choly	dal	choly dal	6	7	12	MIDDLE	0	0	S	A	3	1	1	1	1	1	1	qokair ar aly shor daiin choly dal ykaiin org fchey okaly oky	0	G788-S040
f66v	f66	f66v.5	chokal	dal	chokal dal	4	5	5	LAST	0	1	H	B	5	1	1	1	1	1	1	shdy shedefam qokedy chokal dal	0	G788-S041
f66v	f66	f66v.12	cheky	dal	cheky dal	3	4	10	MIDDLE	0	0	H	B	5	1	1	1	1	1	1	qekar okedy cheky dal chekal chckhy kal kal dar chkchody	0	G788-S042
f75r	f75	f75r.32	polshy	dal	polshy dal	1	2	10	MIDDLE	1	0	B	B	2	1	1	1	1	1	1	polshy dal shedy qokain dar chsdy shedy qotar shedy ldy	0	G788-S043
f75v	f75	f75v.3	okal	dal	okal dal	4	5	11	MIDDLE	0	0	B	B	2	1	1	1	1	1	1	sor sheky qokain okal dal olchedy daiin chckhy lkar chckhy rom	0	G788-S044
f75v	f75	f75v.40	qokain	dal	qokain dal	2	3	13	MIDDLE	0	0	B	B	2	1	1	1	1	1	1	dlshedy qokain dal qol qol ol sheedy cheey dol ol sheey qokain olol	0	G788-S045
f75v	f75	f75v.46	qokain	dal	qokain dal	7	8	10	MIDDLE	0	0	B	B	2	1	1	1	1	1	1	ychey qotain sheckhy qokedy qokedy lsheckhy qokain dal tol olchedy	0	G788-S046
f75v	f75	f75v.48	otar	dal	otar dal	10	11	12	MIDDLE	0	0	B	B	2	1	1	1	1	1	1	qokear chedy shckhy dol ycheedy saino ol cheedy qokar otar dal daiin	0	G788-S047
f76r	f76	f76r.13	otey	dal	otey dal	8	9	13	MIDDLE	0	0	T	B	2	1	1	1	1	1	1	qokeedy checthy chckhey okal okaiin sheckhey okeedy otey dal y kal chedy sar	0	G788-S048
f76r	f76	f76r.28	qokalchey	dal	qokalchey dal	9	10	13	MIDDLE	0	0	T	B	2	1	1	1	1	1	1	soin sheey chear ol aiin chodaiin qokaiin chey qokalchey dal chdy dal ytal	0	G788-S049
f76r	f76	f76r.28	chdy	dal	chdy dal	11	12	13	MIDDLE	0	0	T	B	2	1	1	1	1	1	1	soin sheey chear ol aiin chodaiin qokaiin chey qokalchey dal chdy dal ytal	0	G788-S050
f76v	f76	f76v.24	lsheey	dal	lsheey dal	2	3	5	MIDDLE	0	1	B	B	2	1	1	1	1	1	1	qokeey lsheey dal lchedy olshey	0	G788-S051
f76v	f76	f76v.25	opchedy	dal	opchedy dal	7	8	10	MIDDLE	1	0	B	B	2	1	1	1	1	1	1	psheoldy opalshedy qokshedy qokedy dor shey opchedy dal so fcham	0	G788-S052
f77r	f77	f77r.25	shedar	dal	shedar dal	5	6	8	MIDDLE	1	0	B	B	2	1	1	1	1	1	1	otedy qokar shedy qokal shedar dal chedy daror	0	G788-S053
f77r	f77	f77r.45	lchear	dal	lchear dal	3	4	11	MIDDLE	0	0	B	B	2	1	1	1	1	1	1	qokaiin ches lchear dal chr sl s ain ol raiin lod	0	G788-S054
f77v	f77	f77v.11	chedy	dal	chedy dal	6	7	11	MIDDLE	0	0	B	B	2	1	1	1	1	1	1	qockhy dol chdy dsheedal qokal chedy dal shedy qokeedy dal olchy	0	G788-S055
f77v	f77	f77v.11	qokeedy	dal	qokeedy dal	9	10	11	MIDDLE	0	0	B	B	2	1	1	1	1	1	1	qockhy dol chdy dsheedal qokal chedy dal shedy qokeedy dal olchy	0	G788-S056
f77v	f77	f77v.13	lshedy	dal	lshedy dal	11	12	12	LAST	0	0	B	B	2	1	1	1	1	1	1	sor sheol chdy qokeedy dar shedy chedy qokal chedy qokey lshedy dal	0	G788-S057
f77v	f77	f77v.25	saiin	dal	saiin dal	5	6	9	MIDDLE	0	0	B	B	2	1	1	1	1	1	1	lchor oiiin shedy qokaiin saiin dal sheedy qokeedy ral	0	G788-S058
f77v	f77	f77v.29	daly	dal	daly dal	3	4	10	MIDDLE	1	0	B	B	2	1	1	1	1	1	1	tchadchy lshedy daly dal dsheedy pcheol lfol ol cheedy qoty	0	G788-S059
f77v	f77	f77v.33	qotal	dal	qotal dal	8	9	10	MIDDLE	0	0	B	B	2	1	1	1	1	1	1	qokaiin cheky rar chedy qokal dar y qotal dal rain	0	G788-S060
f78r	f78	f78r.7	qokedy	dal	qokedy dal	4	5	9	MIDDLE	0	0	B	B	2	1	1	1	1	1	1	qokal otedy qokedy qokedy dal qokedy qokedy s am	0	G788-S061
f78v	f78	f78v.5	okal	dal	okal dal	9	10	11	MIDDLE	0	0	B	B	2	1	1	1	1	1	1	qor olkeey olkain ol chsey ol cheeky dar okal dal olchedy	0	G788-S062
f78v	f78	f78v.14	qokain	dal	qokain dal	7	8	8	LAST	0	0	B	B	2	1	1	1	1	1	1	qolkeshdy qol shedy olkedy okol chedy qokain dal	0	G788-S063
f78v	f78	f78v.18	qokedy	dal	qokedy dal	3	4	9	MIDDLE	0	0	B	B	2	1	1	1	1	1	1	chedy shckhy qokedy dal lshckhy qol qol oteedy qor	0	G788-S064
f79r	f79	f79r.22	lchey	dal	lchey dal	1	2	9	MIDDLE	0	0	B	B	2	1	1	1	1	1	1	lchey dal sheedy efchedy otain shey qofchey ol dorchedchey	0	G788-S065
f80r	f80	f80r.28	pcheolkal	dal	pcheolkal dal	1	2	9	MIDDLE	1	0	B	B	2	1	1	1	1	1	1	pcheolkal dal korchy qotey qoty rchedy qokal olkolshedy chty	0	G788-S066
f80v	f80	f80v.22	chey	dal	chey dal	4	5	8	MIDDLE	0	1	B	B	2	1	1	1	1	1	1	dchedy qokal ol chey dal or shedy lshedy	0	G788-S067
f81v	f81	f81v.1	shekal	dal	shekal dal	4	5	11	MIDDLE	1	0	B	B	2	1	1	1	1	1	1	par shey keedy shekal dal dar ol pchedy shek dain ofalsheky	0	G788-S068
f82r	f82	f82r.21	qokeey	dal	qokeey dal	9	10	10	LAST	0	0	B	B	2	1	1	1	1	1	1	daiin cheoky lkedy salshey daiin chey qol chedy qokeey dal	0	G788-S069
f82v	f82	f82v.5	otdal	dal	otdal dal	7	8	9	MIDDLE	1	0	B	B	2	1	1	1	1	1	1	tokol olfchedy qokeedy qokedal shol qotal otdal dal olshedy	0	G788-S070
f83r	f83	f83r.14	shcthy	dal	shcthy dal	8	9	10	MIDDLE	0	0	B	B	2	1	1	1	1	1	1	qokchedy qokeedy shedy qokshedy dal lchedy qokaiin shcthy dal sy	0	G788-S071
f83r	f83	f83r.19	qetal	dal	qetal dal	7	8	11	MIDDLE	0	0	B	B	2	1	1	1	1	1	1	sar shedaiin ockhey sain ched shedy qetal dal shedy shey lchedy	0	G788-S072
f83r	f83	f83r.41	qolkain	dal	qolkain dal	3	4	4	LAST	0	0	B	B	2	1	1	1	1	1	1	solkey lchedy qolkain dal	0	G788-S073
f83v	f83	f83v.3	chcthy	dal	chcthy dal	2	3	10	MIDDLE	0	0	B	B	2	1	1	1	1	1	1	qotain chcthy dal olkedy shedy qotaldy qokaiin dair shedy oteey	0	G788-S074
f83v	f83	f83v.15	cheol	dal	cheol dal	5	6	10	MIDDLE	0	0	B	B	2	1	1	1	1	1	1	qokaiin cheol shey qokeey cheol dal cheeaiin olkeedy qokal chaloly	0	G788-S075
f83v	f83	f83v.19	checkhy	dal	checkhy dal	7	8	9	MIDDLE	0	0	B	B	2	1	1	1	1	1	1	qolchedy qolteedy qokeedy qokal okaiin chear checkhy dal checkhdy	0	G788-S076
f83v	f83	f83v.25	okol	dal	okol dal	5	6	8	MIDDLE	0	0	B	B	2	1	1	1	1	1	1	y shey otechd ar okol dal shedy qokaly	0	G788-S077
f85r1	f85	f85r1.28	otechdy	dal	otechdy dal	9	10	11	MIDDLE	1	0	T	B	2	1	1	1	1	1	1	kchedar yteol okchdy qekedy otor odor ar chedy otechdy dal cphedy	0	G788-S078
f86v3	f86	f86v3.7	odeeey	dal	odeeey dal	4	5	7	MIDDLE	0	0	C	B	2	1	1	1	1	1	1	sain ytaiin ytapy odeeey dal dair ytam	0	G788-S079
f86v3	f86	f86v3.17	qokchey	dal	qokchey dal	2	3	6	MIDDLE	0	1	C	B	2	1	1	1	1	1	1	dsheody qokchey dal or odaiin sar	0	G788-S080
f86v5	f86	f86v5.5	ytar	dal	ytar dal	8	9	11	MIDDLE	0	0	T	B	2	1	1	1	1	1	1	daiin or otol otshey otal olkey chcthody ytar dal ar okary	0	G788-S081
f86v6	f86	f86v6.24	choty	dal	choty dal	3	4	13	MIDDLE	0	0	T	B	2	1	1	1	1	1	1	chey keody choty dal ody qokeedy pchedy ytshy tody dal tchedy qokar oly	0	G788-S082
f86v6	f86	f86v6.24	tody	dal	tody dal	9	10	13	MIDDLE	0	0	T	B	2	1	1	1	1	1	1	chey keody choty dal ody qokeedy pchedy ytshy tody dal tchedy qokar oly	0	G788-S083
f86v6	f86	f86v6.27	lkar	dal	lkar dal	2	3	12	MIDDLE	0	0	T	B	2	1	1	1	1	1	1	alshdr lkar dal kshd shdar shedy qody sheey qotedy olkeey qokchdy ramshy	0	G788-S084
f86v6	f86	f86v6.29	dy	dal	dy dal	8	9	10	MIDDLE	0	1	T	B	2	1	1	1	1	1	1	dchedy chcthdy shol oky ytaiin ykaiin chedy dy dal shdaiin	0	G788-S085
f87r	f87	f87r.11	psheodshy	dal	psheodshy dal	1	2	6	MIDDLE	1	0	H	A	1	1	1	1	1	1	1	psheodshy dal shee saldal shol aldy	0	G788-S086
f88r	f88	f88r.7	sholfchor	dal	sholfchor dal	6	7	8	MIDDLE	1	0	P	A	1	1	1	1	1	1	1	dorsheoy ctheol qockhey dory sheor sholfchor dal chcthol	0	G788-S087
f88v	f88	f88v.16	qokeody	dal	qokeody dal	8	9	9	LAST	0	0	P	A	1	1	1	1	1	1	1	ysheod sheo sheody qokeody qoky chees cheody qokeody dal	0	G788-S088
f89r1	f89	f89r1.7	chockhy	dal	chockhy dal	3	4	9	MIDDLE	0	0	P	A	1	1	1	1	1	1	1	dshody qocthy chockhy dal chedy qokeody daldaiin chodaiin dal	0	G788-S089
f89r1	f89	f89r1.10	qokar	dal	qokar dal	6	7	10	MIDDLE	0	1	P	A	1	1	1	1	1	1	1	tdain s chol cheoky cheody qokar dal chor y daiin	0	G788-S090
f89r1	f89	f89r1.15	cheocphey	dal	cheocphey dal	6	7	8	MIDDLE	1	0	P	A	1	1	1	1	1	1	1	tcheol qoeair sheol qocphey saiin cheocphey dal darolg	0	G788-S091
f89r1	f89	f89r1.18	al	dal	al dal	2	3	7	MIDDLE	0	1	P	A	1	1	1	1	1	1	1	dals al dal cheody dainaldy al daldal	0	G788-S092
f89r1	f89	f89r1.20	ldain	dal	ldain dal	6	7	9	MIDDLE	0	0	P	A	1	1	1	1	1	1	1	daim cheom qoay air cheody ldain dal chom chtaii	0	G788-S093
f89r1	f89	f89r1.21	shoety	dal	shoety dal	3	4	10	MIDDLE	0	0	P	A	1	1	1	1	1	1	1	taiin dam shoety dal qokchy ykchdy otcham ol sshr aiin	0	G788-S094
f89r1	f89	f89r1.22	chey	dal	chey dal	9	10	10	LAST	0	0	P	A	1	1	1	1	1	1	1	ycheeo r sheol qockhedy yty sheody qotol chead chey dal	0	G788-S095
f89v1	f89	f89v1.14	okoaiin	dal	okoaiin dal	7	8	10	MIDDLE	0	0	P	A	1	1	1	1	1	1	1	ykeey ykeey odal shoky okol chody okoaiin dal chdy daldaldy	0	G788-S096
f89v1	f89	f89v1.18	qokol	dal	qokol dal	3	4	10	MIDDLE	0	0	P	A	1	1	1	1	1	1	1	qokol sheol qokol dal chol dam qoeey saiin ols chokaiin	0	G788-S097
f93r	f93	f93r.3	dsho	dal	dsho dal	1	2	10	MIDDLE	0	0	H	A	1	1	1	1	1	1	1	dsho dal dalody ytchchy dam chody dal ol schodchy qotchd	0	G788-S098
f93r	f93	f93r.3	chody	dal	chody dal	6	7	10	MIDDLE	0	0	H	A	1	1	1	1	1	1	1	dsho dal dalody ytchchy dam chody dal ol schodchy qotchd	0	G788-S099
f95v1	f95	f95v1.12	tchdaiin	dal	tchdaiin dal	9	10	10	LAST	0	0	H	B	3	1	1	1	1	1	1	shotshey s aiin ody olkchdy qotaiin shcthy dolkchy tchdaiin dal	0	G788-S100
f99r	f99	f99r.15	tshol	dal	tshol dal	5	6	9	MIDDLE	1	0	P	A	1	1	1	1	1	1	1	pcheody oteody daiin cpheey tshol dal cfheol olaiin sar	0	G788-S101
f103r	f103	f103r.41	qokal	dal	qokal dal	12	13	13	LAST	0	0	S	B	3	1	1	1	1	1	1	cheol sheeey qotey oteeal oteedy shet sho keeo s shey qokeedy qokal dal	0	G788-S102
f103v	f103	f103v.1	shedy	dal	shedy dal	11	12	12	LAST	1	0	S	B	3	1	1	1	1	1	1	pol dar olfchey qoky dy qokeey qokeey daiin okeedaky qoteiir shedy dal	0	G788-S103
f104v	f104	f104v.9	qoty	dal	qoty dal	11	12	12	LAST	0	0	S	B	3	1	1	1	1	1	1	ycheo lcheod otaiin qokeedy qokaiin cheor ol chedaiin qotar chedy qoty dal	0	G788-S104
f105r	f105	f105r.24	pcheey	dal	pcheey dal	10	11	13	MIDDLE	1	0	S	B	3	1	1	1	1	1	1	pcheor ain ckheey okeeey paiin ar aiiin chpaiikey sheo pcheey dal daiin dam	0	G788-S105
f105v	f105	f105v.10	oiiin	dal	oiiin dal	4	5	16	MIDDLE	0	0	S	B	3	1	1	1	1	1	1	ykeey ky che oiiin dal kaiin okairo l kair chedy s odar air al oral odam	0	G788-S106
f105v	f105	f105v.16	cheey	dal	cheey dal	2	3	12	MIDDLE	0	0	S	B	3	1	1	1	1	1	1	daiin cheey dal chl okair aiin cpheor aiin okal chodaiin otaiin opaiim	0	G788-S107
f107r	f107	f107r.36	al	dal	al dal	6	7	12	MIDDLE	0	0	S	B	3	1	1	1	1	1	1	dar alchor kcheo rkeey chaiin al dal qokchey qokl chey lkaiin lkar	0	G788-S108
f107v	f107	f107v.18	alkaiin	dal	alkaiin dal	9	10	10	LAST	0	0	S	B	3	1	1	1	1	1	1	qokain qokchey qekchdy okaiin lkl chol raiin otaiin alkaiin dal	0	G788-S109
f108r	f108	f108r.22	shol	dal	shol dal	2	3	12	MIDDLE	0	0	S	B	3	1	1	1	1	1	1	dcheol shol dal qokaiin otal ol shedy qokey chey lor aiin okeeam	0	G788-S110
f112r	f112	f112r.20	okeeey	dal	okeeey dal	8	9	11	MIDDLE	0	0	S	B	3	1	1	1	1	1	1	qoaiin or aiin cheol keody qol keol okeeey dal aiin ody	0	G788-S111
f113v	f113	f113v.10	kchey	dal	kchey dal	9	10	14	MIDDLE	1	0	S	B	3	1	1	1	1	1	1	polaiin oteol otedyar aral kedy qokeedy olar aiin kchey dal otor ar opchey ro	0	G788-S112
f114r	f114	f114r.15	y	dal	y dal	6	7	14	MIDDLE	0	0	S	B	3	1	1	1	1	1	1	qoedy otair otar okod chodar y dal oeedy qokolkchdy dalol y qokaiin ched al	0	G788-S113
f114r	f114	f114r.33	cheo	dal	cheo dal	12	13	14	MIDDLE	0	0	S	B	3	1	1	1	1	1	1	daiin oteed aiin saiin yteey aiin al odaiin chedal odaiis aiin cheo dal chedy	0	G788-S114
f115r	f115	f115r.26	pchedy	dal	pchedy dal	10	11	12	MIDDLE	1	0	S	B	@	1	1	1	1	1	1	ksheoary otchey qoteeo s ar aiiin chotchdy qodair sheol pchedy dal dalom	0	G788-S115
