carrier_id	recipe_id	flattened_recipe_trace	source_layer	carrier_surface	carrier_count	pages	registers_or_classes	carrier_status
G468-C0015	G468-R0152	AL+OR	GDT407_RUNNING_EXACT	chealor	1	f77r	BIOLOGICAL	EXACT_CONTIGUOUS_RECIPE
G468-C0016	G468-R0152	AL+OR	GDT466_ADDRESS_HYBRID	opalor	1	f71v	STAR_BEARING_RING_POSITION	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0017	G468-R0187	AL+SH+OL	GDT466_ADDRESS_HYBRID	saloiinsheol	1	f89r	DRUG_OR_INGREDIENT_OBJECT	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0018	G468-R0192	AL+SH+Y	GDT407_RUNNING_EXACT	alshy	1	f76r	BIOLOGICAL	EXACT_CONTIGUOUS_RECIPE
G468-C0019	G468-R0194	AL+Y	GDT407_RUNNING_EXACT	aly	3	f71v|f72r|f75r	BIOLOGICAL|CELESTIAL	EXACT_CONTIGUOUS_RECIPE
G468-C0020	G468-R0194	AL+Y	GDT407_RUNNING_EXACT	chealdy	1	f72r	CELESTIAL	EXACT_CONTIGUOUS_RECIPE
G468-C0021	G468-R0194	AL+Y	GDT407_RUNNING_EXACT	chealy	1	f77r	BIOLOGICAL	EXACT_CONTIGUOUS_RECIPE
G468-C0022	G468-R0194	AL+Y	GDT407_RUNNING_EXACT	daly	3	f76r|f81r|f89r	BIOLOGICAL|PHARMA	EXACT_CONTIGUOUS_RECIPE
G468-C0023	G468-R0194	AL+Y	GDT407_RUNNING_EXACT	tealy	1	f72r	CELESTIAL	EXACT_CONTIGUOUS_RECIPE
G468-C0024	G468-R0194	AL+Y	GDT466_ADDRESS_HYBRID	ainaly	1	f72r	STAR_BEARING_RING_POSITION	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0025	G468-R0194	AL+Y	GDT466_ADDRESS_HYBRID	chfaly	1	f71v	STAR_BEARING_RING_POSITION	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0026	G468-R0194	AL+Y	GDT466_ADDRESS_HYBRID	eeesaly	1	f72r	STAR_BEARING_RING_POSITION	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0027	G468-R0196	AR+AIIN	GDT407_RUNNING_EXACT	araiin	1	f82r	BIOLOGICAL	EXACT_CONTIGUOUS_RECIPE
G468-C0028	G468-R0196	AR+AIIN	GDT466_ADDRESS_HYBRID	ykaraiin	1	f72r	STAR_BEARING_RING_POSITION	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0029	G468-R0219	AR+AL	GDT466_ADDRESS_HYBRID	daramdal	1	f88v	DRUG_OR_INGREDIENT_OBJECT	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0030	G468-R0241	AR+AR	GDT466_ADDRESS_HYBRID	dararda	1	f88v	DRUG_OR_INGREDIENT_OBJECT	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0031	G468-R0241	AR+AR	GDT466_ADDRESS_HYBRID	darchdar	1	f77r	BATH_OR_OUTLET_STATION	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0032	G468-R0242	AR+AR+AIIN	GDT466_ADDRESS_HYBRID	ararchodaiin	1	f89r	DRUG_OR_INGREDIENT_OBJECT	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0033	G468-R0326	AR+OL	GDT407_RUNNING_EXACT	arol	3	f71v|f77r|f81r	BIOLOGICAL|CELESTIAL	EXACT_CONTIGUOUS_RECIPE
G468-C0034	G468-R0326	AR+OL	GDT407_RUNNING_EXACT	darolg	1	f89r	PHARMA	EXACT_CONTIGUOUS_RECIPE
G468-C0035	G468-R0345	AR+OL+Y	GDT407_RUNNING_EXACT	aroly	1	f72r	CELESTIAL	EXACT_CONTIGUOUS_RECIPE
G468-C0036	G468-R0389	AR+Y	GDT407_RUNNING_EXACT	chary	1	f83r	BIOLOGICAL	EXACT_CONTIGUOUS_RECIPE
G468-C0037	G468-R0392	K+OR+AIN	GDT407_RUNNING_EXACT	korain	1	f88v	PHARMA	EXACT_CONTIGUOUS_RECIPE
G468-C0038	G468-R0393	K+OR+AIN+Y	GDT466_ADDRESS_FULL	korainy	1	f89r	DRUG_OR_INGREDIENT_OBJECT	EXACT_FULL_ADDRESS_FORMULA
G468-C0039	G468-R0609	O+LOCAL_CHAR_F+AL	GDT407_RUNNING_EXACT	ofal	1	f88r	PHARMA	EXACT_CONTIGUOUS_RECIPE
G468-C0040	G468-R0609	O+LOCAL_CHAR_F+AL	GDT466_ADDRESS_HYBRID	ofakal	1	f89r	DRUG_OR_INGREDIENT_OBJECT	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0041	G468-R0631	O+LOCAL_CHAR_F+AR	GDT407_RUNNING_EXACT	ofar	1	f67r2	CELESTIAL	EXACT_CONTIGUOUS_RECIPE
G468-C0042	G468-R0772	O+LOCAL_CHAR_F+SH+OL	GDT466_ADDRESS_HYBRID	ofsholdy	1	f72r	STAR_BEARING_RING_POSITION	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0043	G468-R0780	O+LOCAL_CHAR_F+Y+DY	GDT407_RUNNING_EXACT	ofydy	1	f67r2	CELESTIAL	EXACT_CONTIGUOUS_RECIPE
G468-C0044	G468-R0781	OK+AIIN	GDT407_RUNNING_EXACT	chokaiin	1	f72r	CELESTIAL	EXACT_CONTIGUOUS_RECIPE
G468-C0045	G468-R0781	OK+AIIN	GDT407_RUNNING_EXACT	okaiin	23	f17r|f1r|f24v|f55v|f56r|f71v|f72r|f75r|f76r|f77r|f81v|f88r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	EXACT_CONTIGUOUS_RECIPE
G468-C0046	G468-R0781	OK+AIIN	GDT407_RUNNING_EXACT	okalaiin	2	f72r|f95v	CELESTIAL|HERBAL	EXACT_CONTIGUOUS_RECIPE
G468-C0047	G468-R0781	OK+AIIN	GDT407_RUNNING_EXACT	qokaiin	38	f55v|f76r|f77r|f81v|f82r|f83r|f95v	BIOLOGICAL|HERBAL	EXACT_CONTIGUOUS_RECIPE
G468-C0048	G468-R0782	OK+AIN	GDT407_RUNNING_EXACT	okain	19	f18r|f1r|f76r|f81r|f81v|f82r|f83r|f95v	BIOLOGICAL|HERBAL|SOURCE_SECTION_T	EXACT_CONTIGUOUS_RECIPE
G468-C0049	G468-R0782	OK+AIN	GDT407_RUNNING_EXACT	qokain	44	f55v|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f89r|f95v	BIOLOGICAL|HERBAL|PHARMA	EXACT_CONTIGUOUS_RECIPE
G468-C0050	G468-R0790	OK+AIR+AM_ADDR	GDT466_ADDRESS_HYBRID	okaircham	1	f72r	STAR_BEARING_RING_POSITION	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0051	G468-R0804	OK+AL	GDT407_RUNNING_EXACT	chokal	2	f68r1|f72r	CELESTIAL	EXACT_CONTIGUOUS_RECIPE
G468-C0052	G468-R0804	OK+AL	GDT407_RUNNING_EXACT	chykald	1	f18r	HERBAL	EXACT_CONTIGUOUS_RECIPE
G468-C0053	G468-R0804	OK+AL	GDT407_RUNNING_EXACT	okal	15	f18r|f55v|f71v|f72r|f75r|f76r|f81r|f81v|f82r|f95v	BIOLOGICAL|CELESTIAL|HERBAL	EXACT_CONTIGUOUS_RECIPE
G468-C0054	G468-R0804	OK+AL	GDT407_RUNNING_EXACT	okedal	2	f72r|f76r	BIOLOGICAL|CELESTIAL	EXACT_CONTIGUOUS_RECIPE
G468-C0055	G468-R0804	OK+AL	GDT407_RUNNING_EXACT	qokal	27	f75r|f76r|f77r|f81r|f81v|f82r|f83r|f89r|f95v	BIOLOGICAL|HERBAL|PHARMA	EXACT_CONTIGUOUS_RECIPE
G468-C0056	G468-R0804	OK+AL	GDT466_ADDRESS_HYBRID	okalyd	1	f88v	DRUG_OR_INGREDIENT_OBJECT	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0057	G468-R0804	OK+AL	GDT466_ADDRESS_HYBRID	okeal	1	f72r	STAR_BEARING_RING_POSITION	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0058	G468-R0808	OK+AL+AL	GDT407_RUNNING_EXACT	okalal	1	f72r	CELESTIAL	EXACT_CONTIGUOUS_RECIPE
G468-C0059	G468-R0811	OK+AL+AM_ADDR	GDT466_ADDRESS_FULL	okalam	1	f72r	STAR_BEARING_RING_POSITION	EXACT_FULL_ADDRESS_FORMULA
G468-C0060	G468-R0812	OK+AL+AR	GDT407_RUNNING_EXACT	okalar	1	f71v	CELESTIAL	EXACT_CONTIGUOUS_RECIPE
G468-C0061	G468-R0812	OK+AL+AR	GDT466_ADDRESS_HYBRID	okealar	1	f72r	STAR_BEARING_RING_POSITION	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0062	G468-R0823	OK+AL+Y	GDT407_RUNNING_EXACT	chokaly	1	f72r	CELESTIAL	EXACT_CONTIGUOUS_RECIPE
G468-C0063	G468-R0823	OK+AL+Y	GDT407_RUNNING_EXACT	okaly	1	f72r	CELESTIAL	EXACT_CONTIGUOUS_RECIPE
G468-C0064	G468-R0823	OK+AL+Y	GDT407_RUNNING_EXACT	qokaldy	1	f76r	BIOLOGICAL	EXACT_CONTIGUOUS_RECIPE
G468-C0065	G468-R0823	OK+AL+Y	GDT407_RUNNING_EXACT	qokaly	2	f77r|f82r	BIOLOGICAL	EXACT_CONTIGUOUS_RECIPE
G468-C0066	G468-R0825	OK+AM_ADDR	GDT407_RUNNING_EXACT	okam	2	f24v|f71v	CELESTIAL|HERBAL	EXACT_CONTIGUOUS_RECIPE
G468-C0067	G468-R0825	OK+AM_ADDR	GDT407_RUNNING_EXACT	qokam	1	f75r	BIOLOGICAL	EXACT_CONTIGUOUS_RECIPE
G468-C0068	G468-R0826	OK+AR	GDT407_RUNNING_EXACT	chokar	1	f88v	PHARMA	EXACT_CONTIGUOUS_RECIPE
G468-C0069	G468-R0826	OK+AR	GDT407_RUNNING_EXACT	okar	19	f55v|f56r|f72r|f75r|f76r|f81r|f81v|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	EXACT_CONTIGUOUS_RECIPE
G468-C0070	G468-R0826	OK+AR	GDT407_RUNNING_EXACT	qokar	19	f72r|f75r|f76r|f77r|f81r|f81v|f82r|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	EXACT_CONTIGUOUS_RECIPE
G468-C0071	G468-R0827	OK+AR+AIIN	GDT466_ADDRESS_FULL	okaraiin	1	f71v	STAR_BEARING_RING_POSITION	EXACT_FULL_ADDRESS_FORMULA
G468-C0072	G468-R0833	OK+AR+AM_ADDR	GDT466_ADDRESS_FULL	okaram	1	f72r	STAR_BEARING_RING_POSITION	EXACT_FULL_ADDRESS_FORMULA
G468-C0073	G468-R0833	OK+AR+AM_ADDR	GDT466_ADDRESS_HYBRID	okarcham	1	f72r	STAR_BEARING_RING_POSITION	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0074	G468-R0834	OK+AR+AR	GDT407_RUNNING_EXACT	okarar	2	f72r|f95v	CELESTIAL|HERBAL	EXACT_CONTIGUOUS_RECIPE
G468-C0075	G468-R0889	OK+EE+Y	GDT407_RUNNING_EXACT	chokeey	2	f56r	HERBAL	EXACT_CONTIGUOUS_RECIPE
G468-C0076	G468-R0889	OK+EE+Y	GDT407_RUNNING_EXACT	okeeas	1	f72r	CELESTIAL	EXACT_CONTIGUOUS_RECIPE
G468-C0077	G468-R0889	OK+EE+Y	GDT407_RUNNING_EXACT	okeey	16	f1r|f68r1|f71v|f72r|f75r|f76r|f81r|f81v|f89r	BIOLOGICAL|CELESTIAL|PHARMA|SOURCE_SECTION_T	EXACT_CONTIGUOUS_RECIPE
G468-C0078	G468-R0889	OK+EE+Y	GDT407_RUNNING_EXACT	qokeey	48	f56r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	BIOLOGICAL|HERBAL|PHARMA	EXACT_CONTIGUOUS_RECIPE
G468-C0079	G468-R0890	OK+O+IIN	GDT407_RUNNING_EXACT	okoiin	1	f89r	PHARMA	EXACT_CONTIGUOUS_RECIPE
G468-C0080	G468-R0890	OK+O+IIN	GDT407_RUNNING_EXACT	qokoiin	1	f82r	BIOLOGICAL	EXACT_CONTIGUOUS_RECIPE
G468-C0081	G468-R0911	OK+OL	GDT407_RUNNING_EXACT	chokchol	1	f56r	HERBAL	EXACT_CONTIGUOUS_RECIPE
G468-C0082	G468-R0911	OK+OL	GDT407_RUNNING_EXACT	chokol	1	f88r	PHARMA	EXACT_CONTIGUOUS_RECIPE
G468-C0083	G468-R0911	OK+OL	GDT407_RUNNING_EXACT	okchol	1	f11r	HERBAL	EXACT_CONTIGUOUS_RECIPE
G468-C0084	G468-R0911	OK+OL	GDT407_RUNNING_EXACT	okol	7	f1r|f24v|f67r2|f71v|f88r|f88v	CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	EXACT_CONTIGUOUS_RECIPE
G468-C0085	G468-R0911	OK+OL	GDT407_RUNNING_EXACT	qokchol	4	f10r|f18r	HERBAL	EXACT_CONTIGUOUS_RECIPE
G468-C0086	G468-R0911	OK+OL	GDT407_RUNNING_EXACT	qokol	13	f17r|f77r|f81r|f83r|f88r|f89r	BIOLOGICAL|HERBAL|PHARMA	EXACT_CONTIGUOUS_RECIPE
G468-C0087	G468-R0919	OK+OL+AR	GDT466_ADDRESS_FULL	okolar	1	f71v	STAR_BEARING_RING_POSITION	EXACT_FULL_ADDRESS_FORMULA
G468-C0088	G468-R0932	OK+OR	GDT407_RUNNING_EXACT	cheokeor	1	f72r	CELESTIAL	EXACT_CONTIGUOUS_RECIPE
G468-C0089	G468-R0932	OK+OR	GDT407_RUNNING_EXACT	chokor	2	f56r	HERBAL	EXACT_CONTIGUOUS_RECIPE
G468-C0090	G468-R0932	OK+OR	GDT407_RUNNING_EXACT	chokshor	1	f72r	CELESTIAL	EXACT_CONTIGUOUS_RECIPE
G468-C0091	G468-R0932	OK+OR	GDT407_RUNNING_EXACT	okor	3	f17r|f72r|f89r	CELESTIAL|HERBAL|PHARMA	EXACT_CONTIGUOUS_RECIPE
G468-C0092	G468-R0932	OK+OR	GDT407_RUNNING_EXACT	qokor	2	f81r|f88r	BIOLOGICAL|PHARMA	EXACT_CONTIGUOUS_RECIPE
G468-C0093	G468-R0957	OK+SH+AL	GDT407_RUNNING_EXACT	okshal	1	f18r	HERBAL	EXACT_CONTIGUOUS_RECIPE
G468-C0094	G468-R0972	OK+SH+Y	GDT407_RUNNING_EXACT	qokshy	1	f95v	HERBAL	EXACT_CONTIGUOUS_RECIPE
G468-C0095	G468-R0974	OK+Y	GDT407_RUNNING_EXACT	choky	4	f17r|f56r|f88v	HERBAL|PHARMA	EXACT_CONTIGUOUS_RECIPE
G468-C0096	G468-R0974	OK+Y	GDT407_RUNNING_EXACT	okcheeg	1	f89r	PHARMA	EXACT_CONTIGUOUS_RECIPE
G468-C0097	G468-R0974	OK+Y	GDT407_RUNNING_EXACT	okchey	2	f13r|f1r	HERBAL|SOURCE_SECTION_T	EXACT_CONTIGUOUS_RECIPE
G468-C0098	G468-R0974	OK+Y	GDT407_RUNNING_EXACT	okchy	3	f13r|f56r|f76r	BIOLOGICAL|HERBAL	EXACT_CONTIGUOUS_RECIPE
G468-C0099	G468-R0974	OK+Y	GDT407_RUNNING_EXACT	okshy	3	f17r|f95v	HERBAL	EXACT_CONTIGUOUS_RECIPE
G468-C0100	G468-R0974	OK+Y	GDT407_RUNNING_EXACT	oky	13	f10r|f1r|f55v|f76r|f81r|f81v|f82r|f88r|f89r	BIOLOGICAL|HERBAL|PHARMA|SOURCE_SECTION_T	EXACT_CONTIGUOUS_RECIPE
G468-C0101	G468-R0974	OK+Y	GDT407_RUNNING_EXACT	qokchy	7	f10r|f13r|f17r|f18r|f55v|f83r|f89r	BIOLOGICAL|HERBAL|PHARMA	EXACT_CONTIGUOUS_RECIPE
G468-C0102	G468-R0974	OK+Y	GDT407_RUNNING_EXACT	qoky	26	f13r|f75r|f76r|f77r|f81v|f82r|f83r|f88v	BIOLOGICAL|HERBAL|PHARMA	EXACT_CONTIGUOUS_RECIPE
G468-C0103	G468-R0976	OL+AIIN	GDT407_RUNNING_EXACT	doldaiin	1	f18r	HERBAL	EXACT_CONTIGUOUS_RECIPE
G468-C0104	G468-R0976	OL+AIIN	GDT407_RUNNING_EXACT	olaiin	11	f17r|f72r|f75r|f76r|f77r|f81r|f88v|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	EXACT_CONTIGUOUS_RECIPE
G468-C0105	G468-R0976	OL+AIIN	GDT407_RUNNING_EXACT	qolaiin	1	f76r	BIOLOGICAL	EXACT_CONTIGUOUS_RECIPE
G468-C0106	G468-R0977	OL+AIN	GDT407_RUNNING_EXACT	olain	3	f76r	BIOLOGICAL	EXACT_CONTIGUOUS_RECIPE
G468-C0107	G468-R0977	OL+AIN	GDT407_RUNNING_EXACT	oldain	2	f1r|f89r	PHARMA|SOURCE_SECTION_T	EXACT_CONTIGUOUS_RECIPE
G468-C0108	G468-R0977	OL+AIN	GDT407_RUNNING_EXACT	qolain	2	f76r	BIOLOGICAL	EXACT_CONTIGUOUS_RECIPE
G468-C0109	G468-R0992	OL+AIR+OL	GDT466_ADDRESS_HYBRID	ykolairol	1	f72r	STAR_BEARING_RING_POSITION	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0110	G468-R0999	OL+AL	GDT407_RUNNING_EXACT	qolal	2	f76r|f77r	BIOLOGICAL	EXACT_CONTIGUOUS_RECIPE
G468-C0111	G468-R0999	OL+AL	GDT407_RUNNING_EXACT	qoolkal	1	f76r	BIOLOGICAL	EXACT_CONTIGUOUS_RECIPE
G468-C0112	G468-R0999	OL+AL	GDT466_ADDRESS_HYBRID	oletal	1	f72r	STAR_BEARING_RING_POSITION	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0113	G468-R1000	OL+AL+AIIN	GDT466_ADDRESS_HYBRID	olkalaiin	1	f72r	STAR_BEARING_RING_POSITION	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0114	G468-R1018	OL+AL+Y	GDT407_RUNNING_EXACT	olsaly	1	f83r	BIOLOGICAL	EXACT_CONTIGUOUS_RECIPE
G468-C0115	G468-R1020	OL+AM_ADDR	GDT407_RUNNING_EXACT	olam	1	f81r	BIOLOGICAL	EXACT_CONTIGUOUS_RECIPE
G468-C0116	G468-R1020	OL+AM_ADDR	GDT466_ADDRESS_HYBRID	oldam	1	f89r	DRUG_OR_INGREDIENT_OBJECT	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0117	G468-R1021	OL+AR	GDT407_RUNNING_EXACT	olar	1	f67r2	CELESTIAL	EXACT_CONTIGUOUS_RECIPE
G468-C0118	G468-R1085	OL+O+IIN	GDT407_RUNNING_EXACT	qoloin	1	f76r	BIOLOGICAL	EXACT_CONTIGUOUS_RECIPE
G468-C0119	G468-R1104	OL+OK+Y	GDT407_RUNNING_EXACT	oloky	1	f77r	BIOLOGICAL	EXACT_CONTIGUOUS_RECIPE
G468-C0120	G468-R1106	OL+OL	GDT407_RUNNING_EXACT	olol	2	f67r2|f72r	CELESTIAL	EXACT_CONTIGUOUS_RECIPE
G468-C0121	G468-R1127	OL+OR	GDT407_RUNNING_EXACT	alolor	1	f76r	BIOLOGICAL	EXACT_CONTIGUOUS_RECIPE
G468-C0122	G468-R1127	OL+OR	GDT407_RUNNING_EXACT	cholor	1	f10r	HERBAL	EXACT_CONTIGUOUS_RECIPE
G468-C0123	G468-R1127	OL+OR	GDT407_RUNNING_EXACT	olor	4	f75r|f81v|f95v	BIOLOGICAL|HERBAL	EXACT_CONTIGUOUS_RECIPE
G468-C0124	G468-R1152	OL+SH+AL	GDT466_ADDRESS_HYBRID	olfsheoral	1	f72r	STAR_BEARING_RING_POSITION	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0125	G468-R1169	OL+Y	GDT407_RUNNING_EXACT	choldy	1	f89r	PHARMA	EXACT_CONTIGUOUS_RECIPE
G468-C0126	G468-R1169	OL+Y	GDT407_RUNNING_EXACT	choly	3	f56r|f72r|f76r	BIOLOGICAL|CELESTIAL|HERBAL	EXACT_CONTIGUOUS_RECIPE
G468-C0127	G468-R1169	OL+Y	GDT407_RUNNING_EXACT	kolches	1	f89r	PHARMA	EXACT_CONTIGUOUS_RECIPE
G468-C0128	G468-R1169	OL+Y	GDT407_RUNNING_EXACT	olchey	5	f56r|f75r|f77r|f81v	BIOLOGICAL|HERBAL	EXACT_CONTIGUOUS_RECIPE
G468-C0129	G468-R1169	OL+Y	GDT407_RUNNING_EXACT	oly	14	f67r2|f72r|f75r|f76r|f81r|f82r	BIOLOGICAL|CELESTIAL	EXACT_CONTIGUOUS_RECIPE
G468-C0130	G468-R1169	OL+Y	GDT407_RUNNING_EXACT	qolchey	5	f76r|f77r|f83r	BIOLOGICAL	EXACT_CONTIGUOUS_RECIPE
G468-C0131	G468-R1169	OL+Y	GDT407_RUNNING_EXACT	qoly	2	f75r|f82r	BIOLOGICAL	EXACT_CONTIGUOUS_RECIPE
G468-C0132	G468-R1169	OL+Y	GDT466_ADDRESS_HYBRID	doly	1	f89r	DRUG_OR_INGREDIENT_OBJECT	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0133	G468-R1171	OR+AIIN	GDT407_RUNNING_EXACT	oraiin	3	f24v|f72r|f88v	CELESTIAL|HERBAL|PHARMA	EXACT_CONTIGUOUS_RECIPE
G468-C0134	G468-R1172	OR+AIN	GDT407_RUNNING_EXACT	chorain	1	f72r	CELESTIAL	EXACT_CONTIGUOUS_RECIPE
G468-C0135	G468-R1172	OR+AIN	GDT407_RUNNING_EXACT	orain	1	f55v	HERBAL	EXACT_CONTIGUOUS_RECIPE
G468-C0136	G468-R1172	OR+AIN	GDT407_RUNNING_EXACT	qorain	1	f76r	BIOLOGICAL	EXACT_CONTIGUOUS_RECIPE
G468-C0137	G468-R1194	OR+AL	GDT407_RUNNING_EXACT	oral	1	f72r	CELESTIAL	EXACT_CONTIGUOUS_RECIPE
G468-C0138	G468-R1194	OR+AL	GDT466_ADDRESS_HYBRID	oraiiral	1	f72r	STAR_BEARING_RING_POSITION	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0139	G468-R1201	OR+AL+AM_ADDR	GDT466_ADDRESS_HYBRID	oralkam	1	f72r	STAR_BEARING_RING_POSITION	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0140	G468-R1213	OR+AL+Y	GDT407_RUNNING_EXACT	loral	1	f76r	BIOLOGICAL	EXACT_CONTIGUOUS_RECIPE
G468-C0141	G468-R1213	OR+AL+Y	GDT407_RUNNING_EXACT	oraly	1	f67r2	CELESTIAL	EXACT_CONTIGUOUS_RECIPE
G468-C0142	G468-R1215	OR+AM_ADDR	GDT466_ADDRESS_HYBRID	oraiinam	1	f72r	STAR_BEARING_RING_POSITION	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0143	G468-R1216	OR+AR	GDT466_ADDRESS_HYBRID	orara	1	f72r	STAR_BEARING_RING_POSITION	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0144	G468-R1216	OR+AR	GDT466_ADDRESS_HYBRID	orary	1	f72r	STAR_BEARING_RING_POSITION	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0145	G468-R1322	OR+OR	GDT407_RUNNING_EXACT	oror	1	f81r	BIOLOGICAL	EXACT_CONTIGUOUS_RECIPE
G468-C0146	G468-R1364	OR+Y	GDT407_RUNNING_EXACT	orchey	1	f75r	BIOLOGICAL	EXACT_CONTIGUOUS_RECIPE
G468-C0147	G468-R1364	OR+Y	GDT407_RUNNING_EXACT	ory	1	f82r	BIOLOGICAL	EXACT_CONTIGUOUS_RECIPE
G468-C0148	G468-R1364	OR+Y	GDT407_RUNNING_EXACT	sorcheey	1	f89r	PHARMA	EXACT_CONTIGUOUS_RECIPE
G468-C0149	G468-R1364	OR+Y	GDT466_ADDRESS_HYBRID	odory	1	f89r	DRUG_OR_INGREDIENT_OBJECT	FUNCTION_TRACE_ACROSS_LEARNED_CORE
G468-C0150	G468-R1366	OT+AIIN	GDT407_RUNNING_EXACT	chotaiin	1	f72r	CELESTIAL	EXACT_CONTIGUOUS_RECIPE
G468-C0151	G468-R1366	OT+AIIN	GDT407_RUNNING_EXACT	otaiin	9	f71v|f72r|f83r	BIOLOGICAL|CELESTIAL	EXACT_CONTIGUOUS_RECIPE
G468-C0152	G468-R1366	OT+AIIN	GDT407_RUNNING_EXACT	qotaiin	10	f77r|f82r|f83r|f95v	BIOLOGICAL|HERBAL	EXACT_CONTIGUOUS_RECIPE
G468-C0153	G468-R1367	OT+AIN	GDT407_RUNNING_EXACT	otain	10	f75r|f76r|f81r|f81v|f82r|f95v	BIOLOGICAL|HERBAL	EXACT_CONTIGUOUS_RECIPE
G468-C0154	G468-R1367	OT+AIN	GDT407_RUNNING_EXACT	otarain	1	f76r	BIOLOGICAL	EXACT_CONTIGUOUS_RECIPE
