factorization_group_id	recipe_id	flattened_recipe_trace	shell_factorization_count	shell_shapes	surface_templates	exact_channel_signatures	support_rank	support_tier	running_surface_type_count	running_event_count	running_page_count	running_surfaces	address_full_formula_count	address_full_formula_surfaces	address_hybrid_shell_count	address_hybrid_shell_surfaces	disposition
G468-F0011	G468-R1171	OR+AIIN	2	PREFIX_CORE_SUFFIX	or{NAME_CORE}daiin|or{NAME_CORE}aiin	G466-C10+G466-C14|G466-C10+G466-C15	34	RUNNING_EXACT_RECIPE	1	3	3	oraiin	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0012	G468-R0999	OL+AL	2	PREFIX_CORE_SUFFIX	ol{NAME_CORE}dal|ol{NAME_CORE}al	G466-C09+G466-C24|G466-C09+G466-C31	38	RUNNING_EXACT_RECIPE	2	3	2	qolal|qoolkal	0	NONE	1	oletal	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0013	G468-R0024	AL+AL	2	PREFIX_CORE_SUFFIX	al{NAME_CORE}dal|al{NAME_CORE}al	G466-C05+G466-C24|G466-C05+G466-C31	39	RUNNING_EXACT_RECIPE	2	2	2	dalal|daldal	0	NONE	2	opalal|ralal	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0014	G468-R0890	OK+O+IIN	2	PREFIX_CORE_SUFFIX	ok{NAME_CORE}oiin|ok{NAME_CORE}oin	G466-C08+G466-C21|G466-C08+G466-C26	40	RUNNING_EXACT_RECIPE	2	2	2	okoiin|qokoiin	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0015	G468-R1213	OR+AL+Y	2	PREFIX_CORE_INTERNAL_CORE_SUFFIX|PREFIX_CORE_SUFFIX	or{NAME_CORE}aly|or{NAME_CORE_1}al{NAME_CORE_2}shy	G466-C10+G466-C23|G466-C10+G466-C39+G466-C29	41	RUNNING_EXACT_RECIPE	2	2	2	loral|oraly	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0016	G468-R0196	AR+AIIN	2	PREFIX_CORE_SUFFIX	ar{NAME_CORE}daiin|ar{NAME_CORE}aiin	G466-C06+G466-C14|G466-C06+G466-C15	44	RUNNING_EXACT_RECIPE	1	1	1	araiin	0	NONE	1	ykaraiin	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0017	G468-R0609	O+LOCAL_CHAR_F+AL	2	PREFIX_CORE_SUFFIX	of{NAME_CORE}dal|of{NAME_CORE}al	G466-C07+G466-C24|G466-C07+G466-C31	45	RUNNING_EXACT_RECIPE	1	1	1	ofal	0	NONE	1	ofakal	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0018	G468-R1194	OR+AL	2	PREFIX_CORE_SUFFIX	or{NAME_CORE}dal|or{NAME_CORE}al	G466-C10+G466-C24|G466-C10+G466-C31	46	RUNNING_EXACT_RECIPE	1	1	1	oral	0	NONE	1	oraiiral	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0019	G468-R0345	AR+OL+Y	2	PREFIX_CORE_INTERNAL_CORE_SUFFIX|PREFIX_CORE_SUFFIX	ar{NAME_CORE}oly|ar{NAME_CORE_1}ol{NAME_CORE_2}shy	G466-C06+G466-C27|G466-C06+G466-C42+G466-C29	49	RUNNING_EXACT_RECIPE	1	1	1	aroly	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0020	G468-R0808	OK+AL+AL	2	PREFIX_CORE_INTERNAL_CORE_SUFFIX	ok{NAME_CORE_1}al{NAME_CORE_2}dal|ok{NAME_CORE_1}al{NAME_CORE_2}al	G466-C08+G466-C39+G466-C24|G466-C08+G466-C39+G466-C31	50	RUNNING_EXACT_RECIPE	1	1	1	okalal	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0021	G468-R0957	OK+SH+AL	2	PREFIX_CORE_INTERNAL_CORE_SUFFIX	ok{NAME_CORE_1}sh{NAME_CORE_2}dal|ok{NAME_CORE_1}sh{NAME_CORE_2}al	G466-C08+G466-C44+G466-C24|G466-C08+G466-C44+G466-C31	51	RUNNING_EXACT_RECIPE	1	1	1	okshal	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0022	G468-R1018	OL+AL+Y	2	PREFIX_CORE_INTERNAL_CORE_SUFFIX|PREFIX_CORE_SUFFIX	ol{NAME_CORE}aly|ol{NAME_CORE_1}al{NAME_CORE_2}shy	G466-C09+G466-C23|G466-C09+G466-C39+G466-C29	52	RUNNING_EXACT_RECIPE	1	1	1	olsaly	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0023	G468-R1085	OL+O+IIN	2	PREFIX_CORE_SUFFIX	ol{NAME_CORE}oiin|ol{NAME_CORE}oin	G466-C09+G466-C21|G466-C09+G466-C26	53	RUNNING_EXACT_RECIPE	1	1	1	qoloin	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0024	G468-R1391	OT+AL+AIN	2	PREFIX_CORE_INTERNAL_CORE_SUFFIX|PREFIX_CORE_SUFFIX	otal{NAME_CORE}ain|ot{NAME_CORE_1}al{NAME_CORE_2}ain	G466-C01+G466-C22|G466-C11+G466-C39+G466-C22	54	RUNNING_EXACT_RECIPE	1	1	1	otalain	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0025	G468-R1434	OT+AL+AM_ADDR	2	PREFIX_CORE_INTERNAL_CORE_SUFFIX|PREFIX_CORE_SUFFIX	otal{NAME_CORE}am|ot{NAME_CORE_1}al{NAME_CORE_2}am	G466-C01+G466-C32|G466-C11+G466-C39+G466-C32	55	RUNNING_EXACT_RECIPE	1	1	1	otalam	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0026	G468-R1934	SH+AL	2	PREFIX_CORE_SUFFIX	sh{NAME_CORE}dal|sh{NAME_CORE}al	G466-C12+G466-C24|G466-C12+G466-C31	56	RUNNING_EXACT_RECIPE	1	1	1	shal	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0027	G468-R1979	SH+CH+T+AIIN	2	PREFIX_CORE_INTERNAL_CORE_SUFFIX	sh{NAME_CORE_1}cth{NAME_CORE_2}daiin|sh{NAME_CORE_1}cth{NAME_CORE_2}aiin	G466-C12+G466-C37+G466-C14|G466-C12+G466-C37+G466-C15	57	RUNNING_EXACT_RECIPE	1	1	1	shcthaiin	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0028	G468-R2021	SH+OK+AIIN	2	PREFIX_CORE_INTERNAL_CORE_SUFFIX	sh{NAME_CORE_1}ok{NAME_CORE_2}daiin|sh{NAME_CORE_1}ok{NAME_CORE_2}aiin	G466-C12+G466-C41+G466-C14|G466-C12+G466-C41+G466-C15	58	RUNNING_EXACT_RECIPE	1	1	1	shokaiin	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0029	G468-R2024	SH+OK+AL	2	PREFIX_CORE_INTERNAL_CORE_SUFFIX	sh{NAME_CORE_1}ok{NAME_CORE_2}dal|sh{NAME_CORE_1}ok{NAME_CORE_2}al	G466-C12+G466-C41+G466-C24|G466-C12+G466-C41+G466-C31	59	RUNNING_EXACT_RECIPE	1	1	1	shokal	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0030	G468-R1672	OT+OL+AIIN	5	PREFIX_CORE_INTERNAL_CORE_SUFFIX|PREFIX_CORE_SUFFIX	otol{NAME_CORE}daiin|otol{NAME_CORE}aiin|ot{NAME_CORE}olaiin|ot{NAME_CORE_1}ol{NAME_CORE_2}daiin|ot{NAME_CORE_1}ol{NAME_CORE_2}aiin	G466-C02+G466-C14|G466-C02+G466-C15|G466-C11+G466-C13|G466-C11+G466-C42+G466-C14|G466-C11+G466-C42+G466-C15	77	ADDRESS_FULL_FORMULA_ONLY	0	0	0	NONE	1	otolaiin	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0031	G468-R1390	OT+AL+AIIN	4	PREFIX_CORE_INTERNAL_CORE_SUFFIX|PREFIX_CORE_SUFFIX	otal{NAME_CORE}daiin|otal{NAME_CORE}aiin|ot{NAME_CORE_1}al{NAME_CORE_2}daiin|ot{NAME_CORE_1}al{NAME_CORE_2}aiin	G466-C01+G466-C14|G466-C01+G466-C15|G466-C11+G466-C39+G466-C14|G466-C11+G466-C39+G466-C15	78	ADDRESS_FULL_FORMULA_ONLY	0	0	0	NONE	1	otalaiin	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0032	G468-R0043	AL+AL+Y	2	PREFIX_CORE_INTERNAL_CORE_SUFFIX|PREFIX_CORE_SUFFIX	al{NAME_CORE}aly|al{NAME_CORE_1}al{NAME_CORE_2}shy	G466-C05+G466-C23|G466-C05+G466-C39+G466-C29	79	ADDRESS_FULL_FORMULA_ONLY	0	0	0	NONE	1	alaly	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0033	G468-R0827	OK+AR+AIIN	2	PREFIX_CORE_INTERNAL_CORE_SUFFIX	ok{NAME_CORE_1}ar{NAME_CORE_2}daiin|ok{NAME_CORE_1}ar{NAME_CORE_2}aiin	G466-C08+G466-C40+G466-C14|G466-C08+G466-C40+G466-C15	80	ADDRESS_FULL_FORMULA_ONLY	0	0	0	NONE	1	okaraiin	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0034	G468-R1716	OT+OL+AM_ADDR	2	PREFIX_CORE_INTERNAL_CORE_SUFFIX|PREFIX_CORE_SUFFIX	otol{NAME_CORE}am|ot{NAME_CORE_1}ol{NAME_CORE_2}am	G466-C02+G466-C32|G466-C11+G466-C42+G466-C32	81	ADDRESS_FULL_FORMULA_ONLY	0	0	0	NONE	1	otolam	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0035	G468-R0219	AR+AL	2	PREFIX_CORE_SUFFIX	ar{NAME_CORE}dal|ar{NAME_CORE}al	G466-C06+G466-C24|G466-C06+G466-C31	92	ADDRESS_HYBRID_SHELL_ONLY	0	0	0	NONE	0	NONE	1	daramdal	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0036	G468-R0242	AR+AR+AIIN	2	PREFIX_CORE_INTERNAL_CORE_SUFFIX	ar{NAME_CORE_1}ar{NAME_CORE_2}daiin|ar{NAME_CORE_1}ar{NAME_CORE_2}aiin	G466-C06+G466-C40+G466-C14|G466-C06+G466-C40+G466-C15	93	ADDRESS_HYBRID_SHELL_ONLY	0	0	0	NONE	0	NONE	1	ararchodaiin	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0037	G468-R1000	OL+AL+AIIN	2	PREFIX_CORE_INTERNAL_CORE_SUFFIX	ol{NAME_CORE_1}al{NAME_CORE_2}daiin|ol{NAME_CORE_1}al{NAME_CORE_2}aiin	G466-C09+G466-C39+G466-C14|G466-C09+G466-C39+G466-C15	94	ADDRESS_HYBRID_SHELL_ONLY	0	0	0	NONE	0	NONE	1	olkalaiin	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0038	G468-R1152	OL+SH+AL	2	PREFIX_CORE_INTERNAL_CORE_SUFFIX	ol{NAME_CORE_1}sh{NAME_CORE_2}dal|ol{NAME_CORE_1}sh{NAME_CORE_2}al	G466-C09+G466-C44+G466-C24|G466-C09+G466-C44+G466-C31	95	ADDRESS_HYBRID_SHELL_ONLY	0	0	0	NONE	0	NONE	1	olfsheoral	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0039	G468-R1413	OT+AL+AL	4	PREFIX_CORE_INTERNAL_CORE_SUFFIX|PREFIX_CORE_SUFFIX	otal{NAME_CORE}dal|otal{NAME_CORE}al|ot{NAME_CORE_1}al{NAME_CORE_2}dal|ot{NAME_CORE_1}al{NAME_CORE_2}al	G466-C01+G466-C24|G466-C01+G466-C31|G466-C11+G466-C39+G466-C24|G466-C11+G466-C39+G466-C31	104	COMPOSITION_ONLY	0	0	0	NONE	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0040	G468-R1499	OT+AL+O+IIN	4	PREFIX_CORE_INTERNAL_CORE_SUFFIX|PREFIX_CORE_SUFFIX	otal{NAME_CORE}oiin|otal{NAME_CORE}oin|ot{NAME_CORE_1}al{NAME_CORE_2}oiin|ot{NAME_CORE_1}al{NAME_CORE_2}oin	G466-C01+G466-C21|G466-C01+G466-C26|G466-C11+G466-C39+G466-C21|G466-C11+G466-C39+G466-C26	105	COMPOSITION_ONLY	0	0	0	NONE	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0041	G468-R1521	OT+AL+OL+AIIN	4	PREFIX_CORE_INTERNAL_CORE_SUFFIX|PREFIX_CORE_SUFFIX	otal{NAME_CORE}olaiin|otal{NAME_CORE_1}ol{NAME_CORE_2}daiin|otal{NAME_CORE_1}ol{NAME_CORE_2}aiin|ot{NAME_CORE_1}al{NAME_CORE_2}olaiin	G466-C01+G466-C13|G466-C01+G466-C42+G466-C14|G466-C01+G466-C42+G466-C15|G466-C11+G466-C39+G466-C13	106	COMPOSITION_ONLY	0	0	0	NONE	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0042	G468-R1695	OT+OL+AL	4	PREFIX_CORE_INTERNAL_CORE_SUFFIX|PREFIX_CORE_SUFFIX	otol{NAME_CORE}dal|otol{NAME_CORE}al|ot{NAME_CORE_1}ol{NAME_CORE_2}dal|ot{NAME_CORE_1}ol{NAME_CORE_2}al	G466-C02+G466-C24|G466-C02+G466-C31|G466-C11+G466-C42+G466-C24|G466-C11+G466-C42+G466-C31	107	COMPOSITION_ONLY	0	0	0	NONE	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0043	G468-R1781	OT+OL+O+IIN	4	PREFIX_CORE_INTERNAL_CORE_SUFFIX|PREFIX_CORE_SUFFIX	otol{NAME_CORE}oiin|otol{NAME_CORE}oin|ot{NAME_CORE_1}ol{NAME_CORE_2}oiin|ot{NAME_CORE_1}ol{NAME_CORE_2}oin	G466-C02+G466-C21|G466-C02+G466-C26|G466-C11+G466-C42+G466-C21|G466-C11+G466-C42+G466-C26	108	COMPOSITION_ONLY	0	0	0	NONE	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0044	G468-R1803	OT+OL+OL+AIIN	4	PREFIX_CORE_INTERNAL_CORE_SUFFIX|PREFIX_CORE_SUFFIX	otol{NAME_CORE}olaiin|otol{NAME_CORE_1}ol{NAME_CORE_2}daiin|otol{NAME_CORE_1}ol{NAME_CORE_2}aiin|ot{NAME_CORE_1}ol{NAME_CORE_2}olaiin	G466-C02+G466-C13|G466-C02+G466-C42+G466-C14|G466-C02+G466-C42+G466-C15|G466-C11+G466-C42+G466-C13	109	COMPOSITION_ONLY	0	0	0	NONE	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0045	G468-R0132	AL+OL+AIIN	3	PREFIX_CORE_INTERNAL_CORE_SUFFIX|PREFIX_CORE_SUFFIX	al{NAME_CORE}olaiin|al{NAME_CORE_1}ol{NAME_CORE_2}daiin|al{NAME_CORE_1}ol{NAME_CORE_2}aiin	G466-C05+G466-C13|G466-C05+G466-C42+G466-C14|G466-C05+G466-C42+G466-C15	110	COMPOSITION_ONLY	0	0	0	NONE	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0046	G468-R0327	AR+OL+AIIN	3	PREFIX_CORE_INTERNAL_CORE_SUFFIX|PREFIX_CORE_SUFFIX	ar{NAME_CORE}olaiin|ar{NAME_CORE_1}ol{NAME_CORE_2}daiin|ar{NAME_CORE_1}ol{NAME_CORE_2}aiin	G466-C06+G466-C13|G466-C06+G466-C42+G466-C14|G466-C06+G466-C42+G466-C15	111	COMPOSITION_ONLY	0	0	0	NONE	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0047	G468-R0522	K+OR+OL+AIIN	3	PREFIX_CORE_INTERNAL_CORE_SUFFIX|PREFIX_CORE_SUFFIX	kor{NAME_CORE}olaiin|kor{NAME_CORE_1}ol{NAME_CORE_2}daiin|kor{NAME_CORE_1}ol{NAME_CORE_2}aiin	G466-C03+G466-C13|G466-C03+G466-C42+G466-C14|G466-C03+G466-C42+G466-C15	112	COMPOSITION_ONLY	0	0	0	NONE	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0048	G468-R0717	O+LOCAL_CHAR_F+OL+AIIN	3	PREFIX_CORE_INTERNAL_CORE_SUFFIX|PREFIX_CORE_SUFFIX	of{NAME_CORE}olaiin|of{NAME_CORE_1}ol{NAME_CORE_2}daiin|of{NAME_CORE_1}ol{NAME_CORE_2}aiin	G466-C07+G466-C13|G466-C07+G466-C42+G466-C14|G466-C07+G466-C42+G466-C15	113	COMPOSITION_ONLY	0	0	0	NONE	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0049	G468-R0912	OK+OL+AIIN	3	PREFIX_CORE_INTERNAL_CORE_SUFFIX|PREFIX_CORE_SUFFIX	ok{NAME_CORE}olaiin|ok{NAME_CORE_1}ol{NAME_CORE_2}daiin|ok{NAME_CORE_1}ol{NAME_CORE_2}aiin	G466-C08+G466-C13|G466-C08+G466-C42+G466-C14|G466-C08+G466-C42+G466-C15	114	COMPOSITION_ONLY	0	0	0	NONE	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0050	G468-R1107	OL+OL+AIIN	3	PREFIX_CORE_INTERNAL_CORE_SUFFIX|PREFIX_CORE_SUFFIX	ol{NAME_CORE}olaiin|ol{NAME_CORE_1}ol{NAME_CORE_2}daiin|ol{NAME_CORE_1}ol{NAME_CORE_2}aiin	G466-C09+G466-C13|G466-C09+G466-C42+G466-C14|G466-C09+G466-C42+G466-C15	115	COMPOSITION_ONLY	0	0	0	NONE	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0051	G468-R1302	OR+OL+AIIN	3	PREFIX_CORE_INTERNAL_CORE_SUFFIX|PREFIX_CORE_SUFFIX	or{NAME_CORE}olaiin|or{NAME_CORE_1}ol{NAME_CORE_2}daiin|or{NAME_CORE_1}ol{NAME_CORE_2}aiin	G466-C10+G466-C13|G466-C10+G466-C42+G466-C14|G466-C10+G466-C42+G466-C15	116	COMPOSITION_ONLY	0	0	0	NONE	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0052	G468-R1430	OT+AL+AL+OR	3	PREFIX_CORE_INTERNAL_CORE_SUFFIX|PREFIX_CORE_SUFFIX	otal{NAME_CORE}alor|otal{NAME_CORE_1}al{NAME_CORE_2}or|ot{NAME_CORE_1}al{NAME_CORE_2}alor	G466-C01+G466-C17|G466-C01+G466-C39+G466-C35|G466-C11+G466-C39+G466-C17	117	COMPOSITION_ONLY	0	0	0	NONE	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0053	G468-R1432	OT+AL+AL+Y	3	PREFIX_CORE_INTERNAL_CORE_SUFFIX|PREFIX_CORE_SUFFIX	otal{NAME_CORE}aly|otal{NAME_CORE_1}al{NAME_CORE_2}shy|ot{NAME_CORE_1}al{NAME_CORE_2}aly	G466-C01+G466-C23|G466-C01+G466-C39+G466-C29|G466-C11+G466-C39+G466-C23	118	COMPOSITION_ONLY	0	0	0	NONE	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0054	G468-R1476	OT+AL+CH+T+Y	3	PREFIX_CORE_INTERNAL_CORE_SUFFIX|PREFIX_CORE_SUFFIX	otal{NAME_CORE}cthy|otal{NAME_CORE_1}cth{NAME_CORE_2}shy|ot{NAME_CORE_1}al{NAME_CORE_2}cthy	G466-C01+G466-C20|G466-C01+G466-C37+G466-C29|G466-C11+G466-C39+G466-C20	119	COMPOSITION_ONLY	0	0	0	NONE	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
G468-F0055	G468-R1539	OT+AL+OL+Y	3	PREFIX_CORE_INTERNAL_CORE_SUFFIX|PREFIX_CORE_SUFFIX	otal{NAME_CORE}oly|otal{NAME_CORE_1}ol{NAME_CORE_2}shy|ot{NAME_CORE_1}al{NAME_CORE_2}oly	G466-C01+G466-C27|G466-C01+G466-C42+G466-C29|G466-C11+G466-C39+G466-C27	120	COMPOSITION_ONLY	0	0	0	NONE	0	NONE	0	NONE	KEEP_ALL_VISIBLE_FACTORIZATIONS__RANK_BY_SHARED_RECIPE_SUPPORT
