edition	R	primary	CC	CS	SC	SS	leaves	witnesses
IT2a	ol	False	16	6	4	4	f100,f102,f15,f17,f21,f29,f3,f4,f42,f44,f45,f47,f56,f8	f100r.23:shol shol;f102r1.10:chol chol;f15v.9:chol chol;f17v.13:chol chol;f21r.11:shol chol;f21r.11:chol shol;f29v.3:chol chol;f3v.3:chol shol;f42r.12:chol shol;f42r.13:shol shol;f42r.20:shol chol;f42r.20:chol chol;f42r.21:shol chol;f42r.21:chol chol;f42r.21:chol shol;f44v.11:chol chol;f45r.2:chol chol;f47r.6:chol shol;f47r.6:shol shol;f47r.7:chol chol;f47r.7:chol chol;f47v.9:chol chol;f4r.2:chol shol;f4r.8:shol shol;f56v.3:chol chol;f56v.7:shol chol;f56v.15:chol chol;f56v.16:chol chol;f8v.5:chol chol;f8v.8:chol chol
IT2a	om	True	0	1	0	0	f3	f3r.7:chom shom
IT2a	or	False	6	1	3	3	f10,f106,f11,f113,f15,f17,f20,f29,f35,f49,f6,f8	f106v.23:shor chor;f10r.9:shor chor;f113r.11:chor chor;f11r.5:shor shor;f15v.5:chor chor;f17r.5:chor shor;f20r.13:chor chor;f29r.6:shor shor;f29r.8:shor chor;f35v.21:chor chor;f49r.10:shor shor;f6r.2:chor chor;f8r.4:chor chor
IT2a	y	True	2	0	0	0	f47,f56	f47v.12:chy chy;f56r.1:chy chy
RF1b	aiin	True	1	2	0	0	f29,f4,f8	f29v.6:chaiin shaiin;f4r.12:chaiin chaiin;f8v.3:chaiin shaiin
RF1b	al	True	1	0	0	0	f108	f108v.36:chal chal
RF1b	ar	True	0	0	1	1	f116,f4	f116r.41:shar shar;f4v.12:shar char
RF1b	ckhedy	True	0	0	0	1	f83	f83r.27:shckhedy shckhedy
RF1b	ckhy	True	0	1	0	0	f76	f76r.20:chckhy shckhy
RF1b	dy	True	1	0	0	0	f95	f95r1.2:chdy chdy
RF1b	ear	True	1	0	0	0	f58	f58r.27:chear chear
RF1b	edy	True	2	1	6	3	f103,f104,f106,f76,f77,f82	f103v.7:shedy shedy;f104r.7:shedy chedy;f104v.6:chedy shedy;f106r.2:chedy chedy;f76r.34:shedy shedy;f76v.2:shedy chedy;f76v.23:shedy chedy;f77r.34:shedy chedy;f77v.12:shedy chedy;f77v.13:shedy chedy;f82r.18:shedy shedy;f82v.8:chedy chedy
RF1b	ekaiin	True	1	0	0	0	f95	f95r1.3:chekaiin chekaiin
RF1b	eky	True	0	0	0	1	f46	f46r.4:sheky sheky
RF1b	eol	True	2	0	0	2	f102,f104,f107	f102v1.12:cheol cheol;f104v.27:sheol sheol;f104v.27:sheol sheol;f107r.39:cheol cheol
RF1b	ey	True	2	0	0	0	f103,f49	f103v.38:chey chey;f49r.17:chey chey
RF1b	o	True	0	0	0	2	f24,f4	f24v.14:sho sho;f4v.3:sho sho
RF1b	oky	True	1	0	0	0	f44	f44r.10:choky choky
RF1b	ol	False	15	6	4	5	f100,f102,f15,f21,f29,f3,f4,f42,f44,f45,f47,f56,f8,f9	f100r.23:shol shol;f102r1.10:chol chol;f15v.9:chol chol;f21r.11:shol chol;f21r.11:chol shol;f29v.2:chol chol;f29v.3:chol chol;f3v.3:chol shol;f42r.12:chol shol;f42r.13:shol shol;f42r.20:shol chol;f42r.20:chol shol;f42r.21:shol chol;f42r.21:chol chol;f42r.21:chol shol;f44v.11:chol chol;f45r.2:chol chol;f47r.6:chol shol;f47r.6:shol shol;f47r.7:chol chol;f47r.7:chol chol;f47v.9:chol chol;f4r.2:shol shol;f4r.8:shol shol;f56v.3:chol chol;f56v.7:shol chol;f56v.15:chol chol;f56v.16:chol chol;f8v.8:chol chol;f9v.7:chol chol
RF1b	om	True	0	1	0	0	f3	f3r.7:chom shom
RF1b	or	False	5	1	2	2	f10,f11,f113,f17,f29,f35,f56,f6,f8	f10r.9:shor chor;f113r.11:chor chor;f11r.5:shor shor;f17r.5:chor shor;f29r.6:shor shor;f29r.8:shor chor;f35v.21:chor chor;f56r.4:chor chor;f6r.2:chor chor;f8r.4:chor chor
RF1b	y	True	1	1	0	0	f37,f47	f37r.10:chy shy;f47v.12:chy chy
