root	selected_value_de	global_running_event_id	global_statement_id	physical_page	register	owner_de	surface	component_recipe	atom_position	previous_atom	next_atom	other_action_roots	argument_roots	other_relation_roots	has_order	has_grade	has_close	template	imperative_clause_de	cross_register_tier	cross_register_count	semantic_decision
P	EINSETZEN	G407-E0220	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	chopchal	CH+O+P+CH+AL	MIDDLE	O	CH	CH|CH	NONE	AL	NO	NO	NO	MULTI_ACTION	Nimm den Pflanzenposten [wie zuvor], setze den Pflanzenposten [wie zuvor] ein und nimm den Pflanzenposten [wie zuvor]; zur Zielstelle; als Ausführung.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0221	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	ypch	Y+P+CH	MIDDLE	Y	CH	CH	Y	NONE	NO	NO	NO	MULTI_ACTION	Setze den Pflanzenposten ein und nimm den Pflanzenposten.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0311	G407-S010	f11r	HERBAL	blühender dreikroniger Sodenstock	cphy	CH+P+Y	MIDDLE	CH	Y	CH	Y	NONE	NO	NO	NO	MULTI_ACTION	Nimm den Pflanzenposten und setze den Pflanzenposten ein.	TWO_REGISTERS	2	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E0348	G407-S011	f11r	HERBAL	blühender dreikroniger Sodenstock	chodl	CH+O+D_ADDR+L	LAST	D_ADDR	BOUNDARY	CH	NONE	NONE	NO	NO	NO	ACTION_RELATION	Nimm den Pflanzenposten [wie zuvor]; über die Verbindung im Pflanzenartikel; als Ausführung; an der bezeichneten Stelle.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E0350	G407-S011	f11r	HERBAL	blühender dreikroniger Sodenstock	odl	O+D_ADDR+L	LAST	D_ADDR	BOUNDARY	NONE	NONE	NONE	NO	NO	NO	INHERITED_RELATION	Im laufenden Gang nimm den Arbeitswert [wie zuvor]; über die Verbindung im Pflanzenartikel; als Ausführung; an der bezeichneten Stelle.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0367	G407-S012	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	opchy	O+P+Y	MIDDLE	O	Y	NONE	Y	NONE	NO	NO	NO	ACTION_ARGUMENT	Setze den Pflanzenposten ein; als Ausführung.	THREE_REGISTERS	3	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0370	G407-S012	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	qopchy	O+P+Y	MIDDLE	O	Y	NONE	Y	NONE	NO	NO	NO	ACTION_ARGUMENT	Setze den Pflanzenposten ein; als Ausführung.	THREE_REGISTERS	3	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0372	G407-S012	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	opchor	O+P+CH+OR	MIDDLE	O	CH	CH	OR	NONE	NO	NO	NO	MULTI_ACTION	Setze die Arbeitseinheit ein und nimm die Arbeitseinheit; als Ausführung.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0373	G407-S012	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	dypchy	D_ADDR+Y+P+Y	MIDDLE	Y	Y	NONE	Y|Y	NONE	NO	NO	NO	ACTION_ARGUMENT	Setze den Pflanzenposten [außen] und den Pflanzenposten [innen] ein; an der bezeichneten Stelle.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0404	G407-S012	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	dpchy	D_ADDR+P+Y	MIDDLE	D_ADDR	Y	NONE	Y	NONE	NO	NO	NO	ACTION_ARGUMENT	Setze den Pflanzenposten ein; an der bezeichneten Stelle.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0405	G407-S012	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	qopchy	O+P+Y	MIDDLE	O	Y	NONE	Y	NONE	NO	NO	NO	ACTION_ARGUMENT	Setze den Pflanzenposten ein; als Ausführung.	THREE_REGISTERS	3	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0447	G407-S018	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	opydy	O+P+Y+DY	MIDDLE	O	Y	NONE	Y	NONE	NO	NO	YES	ACTION_ARGUMENT	Setze den Pflanzenposten ein; als Ausführung; schließe den Schritt.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0448	G407-S019	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	ypod	Y+P+O+D_ADDR	MIDDLE	Y	O	NONE	Y	NONE	NO	NO	NO	ACTION_ARGUMENT	Setze den Pflanzenposten ein; als Ausführung; an der bezeichneten Stelle.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0449	G407-S019	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	chop	CH+O+P	LAST	O	BOUNDARY	CH	NONE	NONE	NO	NO	NO	MULTI_ACTION	Nimm den Pflanzenposten [wie zuvor] und setze den Pflanzenposten [wie zuvor] ein; als Ausführung.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0474	G407-S021	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	opydg	O+P+Y+D_ADDR+LOCAL_CHAR_G	MIDDLE	O	Y	NONE	Y	NONE	NO	NO	NO	ACTION_ARGUMENT	Setze den Pflanzenposten ein; als Ausführung; an der bezeichneten Stelle und mit der lokalen Variante.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0476	G407-S021	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	ypchy	Y+P+CH+Y	MIDDLE	Y	CH	CH	Y|Y	NONE	NO	NO	NO	MULTI_ACTION	Setze den Pflanzenposten [außen] und den Pflanzenposten [innen] ein und nimm den Pflanzenposten [außen] und den Pflanzenposten [innen].	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0477	G407-S021	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	ypaim	Y+P+AIR	MIDDLE	Y	AIR	NONE	Y	AIR	NO	NO	NO	ACTION_ARGUMENT_RELATION	Setze den Pflanzenposten ein; entlang der Verarbeitungsbahn.	TWO_REGISTERS	2	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0482	G407-S021	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	cphor	CH+P+OR	MIDDLE	CH	OR	CH	OR	NONE	NO	NO	NO	MULTI_ACTION	Nimm die Arbeitseinheit und setze die Arbeitseinheit ein.	TWO_REGISTERS	2	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0483	G407-S021	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	cphaldy	CH+P+AL+DY	MIDDLE	CH	AL	CH	NONE	AL	NO	NO	YES	MULTI_ACTION	Nimm die Arbeitseinheit [wie zuvor] und setze die Arbeitseinheit [wie zuvor] ein; zur Zielstelle; schließe den Schritt.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0495	G407-S023	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	zepchy	S+E+P+CH+Y	MIDDLE	E	CH	S|CH	Y	NONE	NO	YES	NO	MULTI_ACTION	Wähle den Pflanzenposten, setze den Pflanzenposten ein und nimm den Pflanzenposten; auf Grad I.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0497	G407-S023	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	opchordy	O+P+CH+OR+DY	MIDDLE	O	CH	CH	OR	NONE	NO	NO	YES	MULTI_ACTION	Setze die Arbeitseinheit ein und nimm die Arbeitseinheit; als Ausführung; schließe den Schritt.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0506	G407-S024	f17r	HERBAL	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	chypcham	CH+Y+P+CH+AM_ADDR	MIDDLE	Y	CH	CH|CH	Y	NONE	NO	NO	NO	MULTI_ACTION	Nimm den Pflanzenposten, setze den Pflanzenposten ein und nimm den Pflanzenposten; an der bezeichneten Stelle.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0521	G407-S025	f18r	HERBAL	große abgebildete Blütenpflanze	pdrairdy	P+D_ADDR+R+AIR+DY	FIRST	BOUNDARY	D_ADDR	R	NONE	AIR	NO	NO	YES	MULTI_ACTION	Setze ein und markiere; entlang der Verarbeitungsbahn; an der bezeichneten Stelle; schließe den Schritt.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E0555	G407-S027	f18r	HERBAL	große abgebildete Blütenpflanze	chlol	L+OL	FIRST	BOUNDARY	OL	NONE	NONE	NONE	YES	NO	NO	INHERITED_RELATION	Weiter im laufenden Gang stelle den Arbeitswert [wie zuvor] ein; über die Verbindung im Pflanzenartikel.	THREE_REGISTERS	3	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0607	G407-S030	f24v	HERBAL	F24V_WHOLE_PLANT	opom	O+P+O+AM_ADDR	MIDDLE	O	O	NONE	NONE	NONE	NO	NO	NO	ACTION_ONLY	Setze den Pflanzenposten [wie zuvor] ein; als Ausführung und als Ausführung; an der bezeichneten Stelle.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0609	G407-S030	f24v	HERBAL	F24V_WHOLE_PLANT	chcphy	CH+CH+P+Y	MIDDLE	CH	Y	CH|CH	Y	NONE	NO	NO	NO	MULTI_ACTION	Nimm den Pflanzenposten, nimm den Pflanzenposten und setze den Pflanzenposten ein.	TWO_REGISTERS	2	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0610	G407-S030	f24v	HERBAL	F24V_WHOLE_PLANT	opshody	O+P+SH+O+DY	MIDDLE	O	SH	SH	NONE	NONE	NO	NO	YES	MULTI_ACTION	Setze den Pflanzenposten [wie zuvor] ein und halte den Pflanzenposten [wie zuvor]; als Ausführung und als Ausführung; schließe den Schritt.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0611	G407-S031	f24v	HERBAL	F24V_WHOLE_PLANT	ocphoraiin	O+CH+P+OR+AIIN	MIDDLE	CH	OR	CH	OR|AIIN	NONE	NO	NO	NO	MULTI_ACTION	Nimm die Arbeitseinheit und den Arbeitswert und setze die Arbeitseinheit und den Arbeitswert ein; als Ausführung.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E0626	G407-S031	f24v	HERBAL	F24V_WHOLE_PLANT	octhyl	O+CH+T+Y+L	LAST	Y	BOUNDARY	CH|T	Y	NONE	NO	NO	NO	MULTI_ACTION	Nimm den Pflanzenposten und stelle den Pflanzenposten ein; über die Verbindung im Pflanzenartikel; als Ausführung.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E0636	G407-S031	f24v	HERBAL	F24V_WHOLE_PLANT	dlos	D_ADDR+L+O+S	MIDDLE	D_ADDR	O	S	NONE	NONE	NO	NO	NO	ACTION_RELATION	Wähle den Arbeitswert [wie zuvor]; über die Verbindung im Pflanzenartikel; als Ausführung; an der bezeichneten Stelle.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E0645	G407-S032	f24v	HERBAL	F24V_WHOLE_PLANT	ycheol	Y+CH+E+O+L	LAST	O	BOUNDARY	CH	Y	NONE	NO	YES	NO	ACTION_ARGUMENT_RELATION	Nimm den Pflanzenposten; über die Verbindung im Pflanzenartikel; auf Grad I und als Ausführung.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E0674	G407-S032	f24v	HERBAL	F24V_WHOLE_PLANT	cheol	CH+E+O+L	LAST	O	BOUNDARY	CH	NONE	NONE	NO	YES	NO	GRADED_ACTION	Nimm den Pflanzenposten [wie zuvor]; über die Verbindung im Pflanzenartikel; auf Grad I und als Ausführung.	FOUR_REGISTERS	4	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0741	G407-S036	f55v	HERBAL	große aromatische Doldenpflanze	pchal	P+CH+AL	FIRST	BOUNDARY	CH	CH	NONE	AL	NO	NO	NO	MULTI_ACTION	Setze den Pflanzenposten [wie zuvor] ein und nimm den Pflanzenposten [wie zuvor]; zur Zielstelle.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E0792	G407-S037	f55v	HERBAL	große aromatische Doldenpflanze	sl	S+L	LAST	S	BOUNDARY	S	NONE	NONE	NO	NO	NO	ACTION_RELATION	Wähle den Pflanzenposten [wie zuvor]; über die Verbindung im Pflanzenartikel.	TWO_REGISTERS	2	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0804	G407-S039	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	ychocphy	Y+CH+O+CH+P+Y	MIDDLE	CH	Y	CH|CH	Y|Y	NONE	NO	NO	NO	MULTI_ACTION	Nimm den Pflanzenposten [außen] und den Pflanzenposten [innen], nimm den Pflanzenposten [außen] und den Pflanzenposten [innen] und setze den Pflanzenposten [außen] und den Pflanzenposten [innen] ein; als Ausführung.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0902	G407-S041	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	opodchol	O+P+O+D_ADDR+OL	MIDDLE	O	O	NONE	NONE	NONE	YES	NO	NO	ORDERED_ACTION	Weiter setze ein; als Ausführung und als Ausführung; an der bezeichneten Stelle.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0916	G407-S042	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	qopchy	O+P+Y	MIDDLE	O	Y	NONE	Y	NONE	NO	NO	NO	ACTION_ARGUMENT	Setze den Positionsposten ein; als Ausführung.	THREE_REGISTERS	3	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0928	G407-S043	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	oparchy	O+P+AR+CH+Y	MIDDLE	O	AR	CH	Y	AR	NO	NO	NO	MULTI_ACTION	Setze den Positionsposten ein und nimm den Positionsposten auf; von der Ausgangsposition; als Ausführung.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E0951	G407-S046	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	odal	O+DA+L	LAST	DA	BOUNDARY	NONE	NONE	NONE	NO	YES	NO	INHERITED_RELATION	Im laufenden Gang setze den Positionswert [wie zuvor]; über die Ringverbindung; als Ausführung und auf der zweiten Stufe.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0966	G407-S048	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	ytoeopchey	Y+T+O+E+O+P+CH+E+Y	MIDDLE	O	CH	T|CH	Y|Y	NONE	NO	YES	NO	MULTI_ACTION	Stelle den Positionsposten [außen] und den Positionsposten [innen] ein, setze den Positionsposten [außen] und den Positionsposten [innen] ein und nimm den Positionsposten [außen] und den Positionsposten [innen] auf; als Ausführung, auf Grad I, als Ausführung und auf Grad I.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E0998	G407-S051	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	ypair	Y+P+AIR	MIDDLE	Y	AIR	NONE	Y	AIR	NO	NO	NO	ACTION_ARGUMENT_RELATION	Setze den Positionsposten ein; entlang der Ringbahn.	TWO_REGISTERS	2	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E1031	G407-S052	f68r1	CELESTIAL	mehrteilige Sternstellentafel	cphol	CH+P+OL	MIDDLE	CH	OL	CH	NONE	NONE	YES	NO	NO	MULTI_ACTION	Weiter nimm den Positionsposten [wie zuvor] auf und setze den Positionsposten [wie zuvor] ein.	TWO_REGISTERS	2	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E1033	G407-S052	f68r1	CELESTIAL	mehrteilige Sternstellentafel	opcheeol	O+P+CH+EE+OL	MIDDLE	O	CH	CH	NONE	NONE	YES	YES	NO	MULTI_ACTION	Weiter setze den Positionsposten [wie zuvor] ein und nimm den Positionsposten [wie zuvor] auf; als Ausführung und auf Grad II.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1038	G407-S052	f68r1	CELESTIAL	mehrteilige Sternstellentafel	otchl	OT+CH+L	LAST	CH	BOUNDARY	CH	NONE	NONE	YES	NO	NO	ORDERED_ACTION	Danach nimm den Positionsposten [wie zuvor] auf; über die Ringverbindung.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E1043	G407-S054	f68r1	CELESTIAL	mehrteilige Sternstellentafel	chpor	CH+P+OR	MIDDLE	CH	OR	CH	OR	NONE	NO	NO	NO	MULTI_ACTION	Nimm die Positionseinheit auf und setze die Positionseinheit ein.	TWO_REGISTERS	2	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E1060	G407-S055	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	parar	P+AR+AR	FIRST	BOUNDARY	AR	NONE	NONE	AR|AR	NO	NO	NO	ACTION_RELATION	Setze ein; von der Ausgangsposition [außen] und von der Ausgangsposition [innen].	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1078	G407-S056	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	cheol	CH+E+O+L	LAST	O	BOUNDARY	CH	NONE	NONE	NO	YES	NO	GRADED_ACTION	Nimm den Positionsposten [wie zuvor] auf; über die Ringverbindung; auf Grad I und als Ausführung.	FOUR_REGISTERS	4	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E1082	G407-S056	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	chpchy	CH+P+CH+Y	MIDDLE	CH	CH	CH|CH	Y	NONE	NO	NO	NO	MULTI_ACTION	Nimm den Positionsposten auf, setze den Positionsposten ein und nimm den Positionsposten auf.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1094	G407-S056	f71v	CELESTIAL	erste lokale Figuren-/Sternringgruppe	cheols	CH+E+O+L+S	MIDDLE	O	S	CH|S	NONE	NONE	NO	YES	NO	MULTI_ACTION	Nimm die Positionseinheit [wie zuvor] auf und wähle die Positionseinheit [wie zuvor]; über die Ringverbindung; auf Grad I und als Ausführung.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E1112	G407-S057	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	shepchol	SH+E+P+CH+OL	MIDDLE	E	CH	SH|CH	NONE	NONE	YES	YES	NO	MULTI_ACTION	Weiter halte den Positionsposten [wie zuvor], setze den Positionsposten [wie zuvor] ein und nimm den Positionsposten [wie zuvor] auf; auf Grad I.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
P	EINSETZEN	G407-E1115	G407-S057	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	shopcho	SH+O+P+CH+O	MIDDLE	O	CH	SH|CH	NONE	NONE	NO	NO	NO	MULTI_ACTION	Halte die Positionseinheit [wie zuvor], setze die Positionseinheit [wie zuvor] ein und nimm die Positionseinheit [wie zuvor] auf; als Ausführung und als Ausführung.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
L	VERBINDUNG	G407-E1122	G407-S057	f71v	CELESTIAL	zweite lokale Figuren-/Sternringgruppe	shldy	SH+L+DY	MIDDLE	SH	DY	SH	NONE	NONE	NO	NO	YES	ACTION_RELATION	Halte den Positionsposten [wie zuvor]; über die Ringverbindung; schließe den Schritt.	REGISTER_LOCAL_EXACT_RECIPE	1	KEEP_SELECTED_CORE
