unified_serial	page	reading_unit_id	source_group_id	visible_owner	visible_surface	atom_sequence	card_reading_de	teaching_layer	lookup_mode	concrete_noun_source
49	f11r	H3-S003	E049	H3	kchy	KCH+Y	diesen Posten bearbeiten	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
50	f11r	H3-S003	E050	H3	dy	Y	dieser Posten	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
51	f11r	H3-S003	E051	H3	daiin	AIIN	Sollmaß	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
52	f11r	H3-S004	E052	H3	qotchy	OT+Y	anschließender Arbeitsposten	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
53	f11r	H3-S004	E053	H3	okchol	OK+OL	weiterlaufenden Posten aufnehmen	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
54	f11r	H3-S004	E054	H3	cthy	CTH+Y	bereit	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
55	f11r	H3-S004	E055	H3	dy	Y	dieser Posten	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
56	f55v	H4-S001	E056	H4	qokaiin	OK+AIIN	auf Sollmaß einstellen	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
57	f55v	H4-S001	E057	H4	chaiin	AIIN	Sollmaß	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
58	f55v	H4-S001	E058	H4	ykain	Y+AIN	Postenportion	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
59	f55v	H4-S001	E059	H4	ykan	Y+AIN	dieser Anteil	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
60	f55v	H4-S001	E060	H4	ody	ODY	kühlen	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
61	f55v	H4-S002	E061	H4	daiin	AIIN	Sollmaß	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
62	f55v	H4-S002	E062	H4	chedy	CHD+Y	laufenden Posten umsetzen	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
63	f55v	H4-S002	E063	H4	talam	AL+AM	am Ziel verwahren	LEARNED_NOMENCLATOR	MEMORIZED_WHOLE_COMMAND	VISIBLE_OWNER_OR_RECORD_MEMORY
64	f55v	H4-S003	E064	H4	ykaiin	Y+AIIN	Postenmaß	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
65	f55v	H4-S003	E065	H4	cheoar	CHEO+AR	Auszug entnehmen	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
66	f55v	H4-S003	E066	H4	cheeky	CHK+EE+Y	länger erwärmen und offen halten	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
67	f55v	H4-S003	E067	H4	oldy	OL+CLOSE	Fortsetzung abschließen	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
68	f55v	H4-S004	E068	H4	aiin	AIIN	Sollmaß	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
69	f55v	H4-S004	E069	H4	okal	OK+AL	dort ansetzen	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
70	f55v	H4-S004	E070	H4	oltchy	OL+CTH+Y	bereiten Posten weiterführen	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
71	f55v	H4-S004	E071	H4	or	OR	Ansatz	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
72	f55v	H4-S004	E072	H4	y	Y	dieser Posten	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
73	f55v	H4-S004	E073	H4	orain	OR+AIN	Ansatzportion	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
74	f56r	H5-S001	E074	H5	chochor	HO+OR	Zutatenansatz	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
75	f56r	H5-S001	E075	H5	cho	HO	Eingangsposten oder Zutat	LEARNED_NOMENCLATOR	FINAL_PRODUCTIVE_BODY_OR_REGISTER_SPLIT	VISIBLE_OWNER_OR_RECORD_MEMORY
76	f56r	H5-S001	E076	H5	chodaly	HO+AL+Y	diese Zutat zur Stelle bringen	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
77	f56r	H5-S001	E077	H5	daiin	AIIN	Sollmaß	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
78	f56r	H5-S001	E078	H5	sho	HO	Zutat	LEARNED_NOMENCLATOR	FINAL_PRODUCTIVE_BODY_OR_REGISTER_SPLIT	VISIBLE_OWNER_OR_RECORD_MEMORY
79	f56r	H5-S001	E079	H5	kchol	KCH+OL	weiter bearbeiten	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
80	f56r	H5-S001	E080	H5	otchor	OT+OR	Folgeansatz	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
81	f56r	H5-S001	E081	H5	choky	OK+Y	aktuellen Posten ansetzen	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
82	f56r	H5-S001	E082	H5	dal	AL	dorthin	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
83	f56r	H5-S002	E083	H5	schol	PREV+OL	vorigen Posten fortsetzen	LEARNED_NOMENCLATOR	FINAL_PRODUCTIVE_BODY_OR_REGISTER_SPLIT	VISIBLE_OWNER_OR_RECORD_MEMORY
84	f56r	H5-S002	E084	H5	choy	HO+Y	diese Zutat	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
85	f56r	H5-S002	E085	H5	choky	OK+Y	aktuellen Posten ansetzen	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
86	f56r	H5-S002	E086	H5	cheeckhody	EE+CKH+HO+CLOSE	länger auftragen; Schluss	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
87	f56r	H5-S003	E087	H5	sh	SH	halten	POCKET_CORE_CARD	CROSS_REGISTER_SH_HOLD_ROOT	VISIBLE_OWNER_OR_RECORD_MEMORY
88	f56r	H5-S003	E088	H5	cho	HO	Eingangsposten oder Zutat	LEARNED_NOMENCLATOR	FINAL_PRODUCTIVE_BODY_OR_REGISTER_SPLIT	VISIBLE_OWNER_OR_RECORD_MEMORY
89	f56r	H5-S003	E089	H5	kchey	KCH+E+Y	diesen Posten kurz bearbeiten	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
90	f56r	H5-S003	E090	H5	qokokchy	OK+OK+Y	erneut ansetzen	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
91	f56r	H5-S004	E091	H5	okchy	OK+Y	Posten zur Weiterbearbeitung ansetzen	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
92	f56r	H5-S004	E092	H5	chokcheo	OK+CHEO	Auszug zugeben	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
93	f56r	H5-S004	E093	H5	kchal	KCH+AL	an der Zielstelle bearbeiten	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
94	f56r	H5-S005	E094	H5	sho	HO	Zutat	LEARNED_NOMENCLATOR	FINAL_PRODUCTIVE_BODY_OR_REGISTER_SPLIT	VISIBLE_OWNER_OR_RECORD_MEMORY
95	f56r	H5-S005	E095	H5	chokchy	OK+Y	Posten zur Weiterbearbeitung ansetzen	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
96	f56r	H5-S005	E096	H5	kchoar	CHEO+AR	Auszug daraus	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
97	f56r	H5-S005	E097	H5	sotodan	OT+DAN	danach anwenden	LEARNED_NOMENCLATOR	COMPOSED_LEARNED_PROSE_BODY	VISIBLE_OWNER_OR_RECORD_MEMORY
98	f56r	H5-S006	E098	H5	otchey	OT+Y	nächster Teilposten	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
99	f56r	H5-S006	E099	H5	keol	E+OL	kurz weiterbearbeiten	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
100	f56r	H5-S006	E100	H5	daiin	AIIN	Sollmaß	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
101	f81v	B1-S001	E101	B1	qokedy	OK+E+CLOSE	kurz ansetzen; Schluss	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
102	f81v	B1-S002	E102	B1	okaiin	OK+AIIN	auf Sollmaß einstellen	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
103	f81v	B1-S002	E103	B1	kair	AIR	Beckenwasser	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
104	f81v	B1-S002	E104	B1	okal	OK+AL	dort ansetzen	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
105	f81v	B1-S002	E105	B1	sar	AR	aus dem Ansatz	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
106	f81v	B1-S002	E106	B1	ol	OL	fortsetzen	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
107	f81v	B1-S002	E107	B1	kain	AIN	eine Portion	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
108	f81v	B1-S002	E108	B1	olkain	OL+AIN	weitere Portion	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
109	f81v	B1-S002	E109	B1	al	AL	dorthin	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
110	f81v	B1-S002	E110	B1	ol	OL	fortsetzen	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
111	f81v	B1-S002	E111	B1	rol	OL	vom vorigen Gang weiterführen	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
112	f81v	B1-S002	E112	B1	dl	LOCAL_WHOLE	Zusatz	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
113	f81v	B1-S002	E113	B1	olor	OL+OR	Fortsetzungsansatz	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
114	f81v	B1-S002	E114	B1	ol	OL	fortsetzen	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
115	f81v	B1-S002	E115	B1	sheckhal	CKH+E+AL	kurz zur Zielstelle durchleiten	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
116	f81v	B1-S002	E116	B1	daiin	AIIN	Sollmaß	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
117	f81v	B1-S002	E117	B1	qokeedal	OK+EE+AL	dort länger halten	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
118	f81v	B1-S002	E118	B1	daiin	AIIN	Sollmaß	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
119	f81v	B1-S002	E119	B1	chckhy	CKH+Y	durchleiten	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
120	f81v	B1-S002	E120	B1	schedy	CHD+CLOSE	Posten überführen; Schluss	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
121	f81v	B1-S003	E121	B1	qol	OL	fortsetzen	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
122	f81v	B1-S003	E122	B1	sshkchdy	SH+KCH+CHD+CLOSE	im Arbeitsgang schwenken; Schluss	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
123	f81v	B1-S004	E123	B1	chedy	CHD+Y	laufenden Posten umsetzen	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
124	f81v	B1-S004	E124	B1	ol	OL	fortsetzen	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
125	f81v	B1-S004	E125	B1	shedy	SHED+E+CLOSE	kurz absetzen lassen; Schluss	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
126	f81v	B1-S005	E126	B1	qolchedy	OL+CHD+CLOSE	weiterüberführen; Schluss	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
127	f81v	B1-S006	E127	B1	qokain	OK+AIN	eine Portion zugeben	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
128	f81v	B1-S006	E128	B1	shckhy	CKH+Y	durchleiten	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
129	f81v	B1-S006	E129	B1	dl	LOCAL_WHOLE	Zusatz	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
130	f81v	B1-S006	E130	B1	ral	AL	zur Zielstelle	OWNER_OR_MEMORY_EXPANSION	PROSE_STATEMENT_ATTACHMENT	VISIBLE_OWNER_OR_RECORD_MEMORY
