right_surface	selected_default_de	alternate_1_de	alternate_2_de	confidence	card_class	scope_status	positive_evidence	counterevidence
chody	trocken aufbereitetes Ergebnis	leicht getrocknete Zubereitung	getrocknete Abschlussform	C0	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	GDT691/GDT717 sichern einen nominalen Ganzwortwert; GDT737 erhält DRY/PREPARATION/CLOSE als Kandidatenfamilie.	Nur eine aktive Karte; GDT738 bleibt unentschieden und die sichtbare Endung ist kein freier Abschlussmarker.
chokaiin	erhitzter Trockenansatz III	heiße Trockenform III	Trockenmenge III unter Wärme	C2	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	15 exakte Ganzwortvorkommen; GDT663 trägt im vollständigen Wort Trockenansatz, Wärme und III-Leiter.	III kann Grad, Wert oder Menge sein; der Träger bleibt eine Arbeitshypothese.
daiin	Wertstufe III	Mengenstufe III	Grad III	C2	NEW_EXACT_OL_SCOPE	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	Die DAIN/DAIIN-Leiter, 721 bare Vorkommen im GDT737-Audit und GDT764s begrenzte X-daiin-Felder tragen VALUE III.	Die skalare Dimension bleibt offen; die neue Lizenz gilt nur für das exakte ol-plus-Ganzwort.
daldy	abgemessene Rohstoffportion I	Materialposten I, abgeschlossen	Messwert I	C1	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	19 exakte Ganzwortvorkommen und GDT655/GDT730 tragen Mess-/Portionsrolle I plus Abschluss.	Rohstoff gegen Zubereitung sowie Portion gegen Wert sind nicht entschieden.
dam	Maß I	abgemessene Portion	Dosis I	C0	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	GDT661/GDT711 verbinden die vollständige Form mit Messkopf und Maßfamilie.	Nur eine aktive Stelle; Einheit, gezählter Gegenstand und Dosisdimension sind unbekannt.
dl	Rohstoffmaß	Materialmenge	Dosisfeld	C1	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	18 exakte Ganzwortvorkommen auf 15 Seiten und die GDT661-Ganzwortkarte tragen MATERIAL plus MEASURE.	Keine Einheit oder Materialidentität ist bestimmt; Maß gegen Dosis bleibt offen.
kaiiin	Wärmestufe IV	stark erhitzt	Grad IV	C1	NEW_EXACT_OL_SCOPE	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	Vier exakte Ganzwortvorkommen in der V13-Qualitäts-/Gradreihe tragen HOT plus IV.	Die Karte war bisher nur kontextlizenziert; Zustand gegen Grad und der Träger bleiben offen.
lkedy	erhitztes Material, Mittelstufe	erhitzte Zubereitung, Mittelstufe	Wärme-Endstufe	C0	RETIRED_PATIENT_SANITIZATION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	GDT690 trägt am vollständigen Wort eine Wärme-/Ordinalrolle und eine nominale Identitätsposition.	Nur eine aktive Stelle; der alte konkrete Patient ist unbelegt, und Mittel- gegen Endstufe bleibt offen.
loeees	Zubereitungscharge, Endstufe	Materialcharge, Endstufe	abgeschlossene Zubereitung	C0	RETIRED_PATIENT_SANITIZATION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	Zwei exakte Ganzwortvorkommen und GDT669 tragen CHARGE/PREPARATION plus eine späte Stufe.	Der alte konkrete Patient ist unbelegt; Charge gegen Zubereitung und die genaue Endstufe bleiben offen.
ochedar	abgemessener Trockenanteil I	trockene Zubereitung, Mittelstufe	Trockenmaß I	C0	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	GDT660 liefert eine exakte vollständige Karte mit Trocken-, Mess- und Anteil-I-Achsen.	Singleton ohne seitenübergreifenden Bedeutungsbeleg; Mittelstufe und Träger sind offen.
oeeal	Trockenmaterial I, Endstufe	Rohstoffklasse I	getrocknete Zubereitung I	C0	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	Zwei exakte Ganzwortvorkommen und GDT656s lokale Ganzwortanalogie tragen DRY/MATERIAL/I.	Kein seitenübergreifender Bedeutungsbeleg trennt Material, Klasse und genaue Stufe.
okchy	heiße Trockenform, Anfangsstufe	erhitzter Trockenansatz	heiß-trockener Zustand	C2	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	22 exakte Ganzwortvorkommen und GDT647s Qualitäts-/Stufenfamilie tragen HOT plus DRY plus BEGIN.	Wärme-Trocken-Reihenfolge und Form gegen Ansatz sind offen.
okeeey	stark erhitzt, Endstufe	vollständig erhitzte Zubereitung	Wärme-Endstufe	C0	COMPOSITION_DERIVED_WHOLE__NO_COMPONENT_EXPORT	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	20 Cache-Vorkommen und GDT734s eindeutige vollständige Kartenroute tragen starke Wärme plus späte Stufe.	Der Träger und der genaue Stufenname sind offen; kein Teilzeichen erhält Bedeutung.
oky	erste Wärmestufe	heißer Ansatz am Anfang	erhitzte Grundform	C1	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	Die vollständige Karte hat zwei exakte Kernstellen; GDT758 stützt wiederkehrend HOT plus BEGIN und wählt erste Wärmestufe.	Ansatz gegen Form sowie Temperaturwort gegen bloße Stufe bleiben offen.
olshdy	angefeuchtetes Material, abgeschlossen	eingeweichte Zubereitung	Feuchtmaterial, Endstufe	C1	RETIRED_PATIENT_SANITIZATION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	Drei exakte Ganzwortvorkommen und GDT662 tragen MOIST plus MATERIAL plus CLOSE ohne den alten Patienten.	Angefeuchtet gegen eingeweicht und Material gegen Zubereitung bleiben offen.
otchy	kalt-trockene Anfangsstufe	abgekühlte Trockenform	kalte Zubereitung	C1	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	GDT647/GDT717 tragen die vollständige Form in 40 all-reader-exakten Vorkommen mit COLD, DRY und BEGIN.	Der Zubereitungsträger ist ersetzbar; Zustand gegen Vorgang und genaue Stufe bleiben offen.
otol	kalte Zubereitung	abgekühltes Material	Kaltansatz	C2	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	58 exakte Ganzwortvorkommen auf 48 Seiten und GDT648s strikte Ganzwortkomplettierung tragen COLD plus PREPARATION.	Zubereitung gegen Material und Zustand gegen Abkühlungsvorgang bleiben offen.
qockhey	mische	Zubereitung	bewahre auf	C0	GDT755_LATER_COMPLETE_WHOLE_REPLACEMENT	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	GDT755s spätere vollständige Ganzwortkarte hat 12 exakte Stellen und sieben vollständige Außenfelder; PROCESS plus PREPARATION passt historisch zu misce.	Fünf der sieben Außenfelder sind offen; die Form ist nie zeileninitial und kein Teilstring trägt den Vorgang.
qokaiin	Wärmestufe III	erhitzte Form III	Wert-/Gradstufe III	C0	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	Sieben exakte Kartenstellen und die ältere vollständige V13-Karte tragen eine HOT/III-Arbeitshypothese.	GDT749 findet die Außenverteilung baseline-nah; HOT darf deshalb nicht global gesprochen werden und III bleibt mehrdeutig.
qokar	erhitzter Anteil I	heiße Fraktion I	Wärmeauszug I	C1	RETIRED_PATIENT_SANITIZATION	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	Sechs exakte Kartenstellen und GDT693s vollständiges AR-Turnier tragen HOT plus PART/SHARE plus I.	Der alte konkrete Patient ist unbelegt; Anteil gegen Fraktion oder Auszug bleibt offen.
qokeedy	erhitzt, Endstufe	Wärmeabschluss	erhitzte Abschlussform	C0	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	GDT689 trägt am vollständigen Wort Wärme plus späte/abschließende Stufe.	Nur eine aktive Kartenstelle; Zustand gegen Vorgang und Endstufe gegen Abschluss sind offen.
qoly	zugeben und abschließen	weitergeben	Zugabe abschließen	C1	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	Sieben exakte Ganzwortvorkommen und GDT663s vollständige praktische Karte tragen Zugabe plus Abschluss.	Die genaue Operation, der Referent und eine mögliche bloße Strukturrolle bleiben offen.
shal	Feuchtmaterial I	angefeuchtete Grundform	eingeweichter Stoff, Stufe I	C0	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	GDT656/GDT712 tragen eine feuchte Startzelle mit I über elf reader-exakte Familienpositionen.	Nur eine aktive Ganzwortkarte; Materialart, eingeweicht gegen feucht und I-Dimension sind offen.
sham	Flüssigkeitsmaß	eine Flüssigkeitsportion	Dosisfeld	C1	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	Sechs exakte Ganzwortvorkommen und GDT662s praktische Ganzwortkarte tragen LIQUID plus MEASURE.	Flüssigkeit, historische Einheit und Maß gegen Dosis sind nicht identifiziert.
sheol	feuchtes Material	eingeweichtes Material	Feuchtzubereitung	C2	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	90 exakte Ganzwortvorkommen; GDT737s Feuchtmaterial-Gitter und GDT758s feucht/eingeweicht-Karte konvergieren.	Feucht gegen eingeweicht sowie Material gegen Zubereitung bleiben offen.
sho	feuchter Ansatz	eingeweichte Zubereitung	Feuchtmaterial	C2	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	106 exakte Ganzwortvorkommen auf 65 Seiten und die vollständige V13-Karte tragen MOIST plus PREPARATION.	Ansatz gegen Material und feucht gegen eingeweicht sind nicht vollständig getrennt.
tedy	Kalt-Mittelstufe abgeschlossen	abgekühlt, Mittelstufe	kalte Abschlussform	C2	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	31 exakte Ganzwortvorkommen und GDT647s Qualitäts-/Subgradfamilie tragen COLD plus MIDDLE plus CLOSE.	Zustand gegen Vorgang und Mittelstufe gegen allgemeine Abschlussform bleiben offen.
teedy	Kalt-Endstufe abgeschlossen	vollständig abgekühlt	kalte Abschlussform	C2	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	13 exakte Ganzwortvorkommen und GDT647s Qualitäts-/Subgradfamilie tragen COLD plus END plus CLOSE.	Zustand gegen Abkühlungsvorgang und Endstufe gegen Abschluss sind offen.
teey	Kalt-Endstufe	vollständig abgekühlt	kalter Endzustand	C2	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	17 exakte Ganzwortvorkommen und GDT647s Qualitäts-/Subgradfamilie tragen COLD plus END.	Gradende gegen vollständige Abkühlung und Zustand gegen Anweisung sind offen.
teody	abkühlen und abschließen	kalte Abschlussform	Abkühlungsvorgang	C1	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	Sieben exakte Ganzwortvorkommen und GDT664s vollständige Karte tragen COLD plus PROCESS plus CLOSE.	Vorgang gegen Ergebnis und der betroffene Träger sind offen.
tey	Kalt-Mittelstufe	abgekühlte Form	kalter Zwischenzustand	C2	DIRECT_INHERITED_WHOLE_CARD	EXACT_OL_PLUS_COMPLETE_WHOLE_ONLY	Neun exakte Ganzwortvorkommen und GDT647s Qualitäts-/Subgradfamilie tragen COLD plus MIDDLE.	Mittelstufe gegen allgemeinen Zwischenzustand und Zustand gegen Vorgang sind offen.
