component_recipe	selector_feature_set	selector_key	selected_surface	apprentice_rule
OT+Y	MASTER_SECTION	WHAT	qotchy	For OT+Y, when MASTER_SECTION=WHAT, write qotchy.
SH+EE+Y	UNIT	B2-S010	cheey	For SH+EE+Y, when UNIT=B2-S010, write cheey.
SH+EE+Y	UNIT	B2-S012	cheey	For SH+EE+Y, when UNIT=B2-S012, write cheey.
SH+EE+Y	UNIT	B4-S008	sheey	For SH+EE+Y, when UNIT=B4-S008, write sheey.
SH+EE+Y	UNIT	B4-S015	cheey	For SH+EE+Y, when UNIT=B4-S015, write cheey.
SH+EE+Y	UNIT	H3-S001	cheey	For SH+EE+Y, when UNIT=H3-S001, write cheey.
SH+EE+Y	UNIT	f69v.2	sheey	For SH+EE+Y, when UNIT=f69v.2, write sheey.
Y	MEMORIZED_IDENTITY	A3:G055	y	For Y, when MEMORIZED_IDENTITY=A3:G055, write y.
Y	MEMORIZED_IDENTITY	A3:G061	y	For Y, when MEMORIZED_IDENTITY=A3:G061, write y.
Y	MEMORIZED_IDENTITY	A3:G062	dy	For Y, when MEMORIZED_IDENTITY=A3:G062, write dy.
Y	MEMORIZED_IDENTITY	A3:G065	y	For Y, when MEMORIZED_IDENTITY=A3:G065, write y.
Y	MEMORIZED_IDENTITY	A3:G066	dy	For Y, when MEMORIZED_IDENTITY=A3:G066, write dy.
Y	MEMORIZED_IDENTITY	A3:G070	y	For Y, when MEMORIZED_IDENTITY=A3:G070, write y.
Y	MEMORIZED_IDENTITY	A3:G072	chey	For Y, when MEMORIZED_IDENTITY=A3:G072, write chey.
Y	MEMORIZED_IDENTITY	A3:G078	chey	For Y, when MEMORIZED_IDENTITY=A3:G078, write chey.
Y	MEMORIZED_IDENTITY	A3:G085	chy	For Y, when MEMORIZED_IDENTITY=A3:G085, write chy.
Y	MEMORIZED_IDENTITY	A3:G103	chey	For Y, when MEMORIZED_IDENTITY=A3:G103, write chey.
Y	MEMORIZED_IDENTITY	PROC019	chey	For Y, when MEMORIZED_IDENTITY=PROC019, write chey.
