unit_order	page	unit_id	unit_kind	owner_or_namespace	group_count	surface_sequence	atom_sequence	short_workshop_reading_de	fully_spoken_reading_de	memory_or_orientation_rule	local_boundary
11	f55v	H4-S002	PROSE_STATEMENT	der ganzen breitblättrigen rispigen Bildpflanze	3	daiin chedy talam	AIIN | CHD+Y | AL+AM	Miss eine Portion des Ansatzes ab. Wring sie durch Leinwand und lass sie klar absetzen. Verwahre den klaren Auszug; damit endet der Posten.	Der Text gehört zu der ganzen breitblättrigen rispigen Bildpflanze; der laufende Gegenstand ist Arbeitsposten H4-1; die geltende Zieladresse ist Zielstelle H4-1. Miss eine Portion des Ansatzes ab. Wring sie durch Leinwand und lass sie klar absetzen. Verwahre den klaren Auszug; damit endet der Posten.	OWNER|ACTIVE|TARGET	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
12	f55v	H4-S003	PROSE_STATEMENT	der ganzen breitblättrigen rispigen Bildpflanze	4	ykaiin cheoar cheeky oldy	Y+AIIN | CHEO+AR | CHK+EE+Y | OL+CLOSE	Wasche damit eine unreine äußere Wunde. Verwende dazu den klaren Auszug. Einmal oder nach örtlicher Vorschrift. Beende diesen Gebrauch.	Der Text gehört zu der ganzen breitblättrigen rispigen Bildpflanze; der laufende Gegenstand ist Arbeitsposten H4-1; die geltende Zieladresse ist Zielstelle H4-1; ‚das Vorige‘ bezeichnet Vorposten H4-1. Wasche damit eine unreine äußere Wunde. Verwende dazu den klaren Auszug. Einmal oder nach örtlicher Vorschrift. Beende diesen Gebrauch.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
13	f55v	H4-S004	PROSE_STATEMENT	der ganzen breitblättrigen rispigen Bildpflanze	6	aiin okal oltchy or y orain	AIIN | OK+AL | OL+CTH+Y | OR | Y | OR+AIN	Nimm ein örtliches Maß der zurückbehaltenen Blätter. Lege sie an die bezeichnete äußere Stelle. Erwärme sie gelinde. Führe sie als zweiten Ansatz. Mische sie mit Honig. Lege den warmen Umschlag frisch auf.	Der Text gehört zu der ganzen breitblättrigen rispigen Bildpflanze; der laufende Gegenstand ist Arbeitsposten H4-2; ‚das Vorige‘ bezeichnet Vorposten H4-1. Nimm ein örtliches Maß der zurückbehaltenen Blätter. Lege sie an die bezeichnete äußere Stelle. Erwärme sie gelinde. Führe sie als zweiten Ansatz. Mische sie mit Honig. Lege den warmen Umschlag frisch auf.	OWNER|ACTIVE|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
14	f56r	H5-S001	PROSE_STATEMENT	der ganzen mehrköpfigen stacheligen Bildpflanze	9	chochor cho chodaly daiin sho kchol otchor choky dal	HO+OR | HO | HO+AL+Y | AIIN | HO | KCH+OL | OT+OR | OK+Y | AL	Von der abgebildeten, unbenannten Pflanze. Sammle das ganze oberirdische Kraut an einem feuchten Standort. Nimm es zu Beginn der Blüte. Nimm nur ein kleines örtliches Maß. Zerstoße die frischen klebrigen Blätter. Lege sie als Auflage auf. Auf eine einzelne Warze oder ein Hühnerauge. Lass die Auflage nur kurz einwirken. An der örtlich bezeichneten Hautstelle.	Der Text gehört zu der ganzen mehrköpfigen stacheligen Bildpflanze; der laufende Gegenstand ist Arbeitsposten H5-1; die geltende Zieladresse ist Zielstelle H5-1. Von der abgebildeten, unbenannten Pflanze. Sammle das ganze oberirdische Kraut an einem feuchten Standort. Nimm es zu Beginn der Blüte. Nimm nur ein kleines örtliches Maß. Zerstoße die frischen klebrigen Blätter. Lege sie als Auflage auf. Auf eine einzelne Warze oder ein Hühnerauge. Lass die Auflage nur kurz einwirken. An der örtlich bezeichneten Hautstelle.	OWNER|ACTIVE|TARGET	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
15	f56r	H5-S002	PROSE_STATEMENT	der ganzen mehrköpfigen stacheligen Bildpflanze	4	schol choy choky cheeckhody	PREV+OL | HO+Y | OK+Y | EE+CKH+HO+CLOSE	Nimm die Auflage wieder ab. Wasche die Stelle mit Wasser. Wiederhole den Gebrauch nur, wenn er vertragen wird. Beende die äußere Anwendung.	Der Text gehört zu der ganzen mehrköpfigen stacheligen Bildpflanze; der laufende Gegenstand ist Arbeitsposten H5-1; die geltende Zieladresse ist Zielstelle H5-1. Nimm die Auflage wieder ab. Wasche die Stelle mit Wasser. Wiederhole den Gebrauch nur, wenn er vertragen wird. Beende die äußere Anwendung.	OWNER|ACTIVE|TARGET	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
16	f56r	H5-S003	PROSE_STATEMENT	der ganzen mehrköpfigen stacheligen Bildpflanze	4	sh cho kchey qokokchy	SH | HO | KCH+E+Y | OK+OK+Y	Nimm vom übrigen Kraut die blühenden Stiele. Trockne sie im Schatten. Zerreibe sie grob. Verwahre sie trocken.	Der Text gehört zu der ganzen mehrköpfigen stacheligen Bildpflanze; der laufende Gegenstand ist Arbeitsposten H5-1; die geltende Zieladresse ist Zielstelle H5-2; ‚das Vorige‘ bezeichnet Vorposten H5-1. Nimm vom übrigen Kraut die blühenden Stiele. Trockne sie im Schatten. Zerreibe sie grob. Verwahre sie trocken.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
17	f56r	H5-S004	PROSE_STATEMENT	der ganzen mehrköpfigen stacheligen Bildpflanze	3	okchy chokcheo kchal	OK+Y | OK+CHEO | KCH+AL	Setze daraus einen schwachen Auszug an. Nimm milden Wein als Medium. Seihe ihn durch ein Tuch.	Der Text gehört zu der ganzen mehrköpfigen stacheligen Bildpflanze; der laufende Gegenstand ist Arbeitsposten H5-2; die geltende Zieladresse ist Zielstelle H5-3; ‚das Vorige‘ bezeichnet Vorposten H5-1. Setze daraus einen schwachen Auszug an. Nimm milden Wein als Medium. Seihe ihn durch ein Tuch.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
18	f56r	H5-S005	PROSE_STATEMENT	der ganzen mehrköpfigen stacheligen Bildpflanze	4	sho chokchy kchoar sotodan	HO | OK+Y | CHEO+AR | OT+DAN	Gib Honig hinzu. Erwärme gelinde. Gib den Auszug als Brusttrank. Gebrauche ihn bei trockenem Husten.	Der Text gehört zu der ganzen mehrköpfigen stacheligen Bildpflanze; der laufende Gegenstand ist Arbeitsposten H5-2; die geltende Zieladresse ist Zielstelle H5-4; ‚das Vorige‘ bezeichnet Vorposten H5-1. Gib Honig hinzu. Erwärme gelinde. Gib den Auszug als Brusttrank. Gebrauche ihn bei trockenem Husten.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
19	f56r	H5-S006	PROSE_STATEMENT	der ganzen mehrköpfigen stacheligen Bildpflanze	3	otchey keol daiin	OT+Y | E+OL | AIIN	Führe den ausgewählten Trankanteil als Gabe. Je Gabe. Nimm ein kleines örtliches Maß.	Der Text gehört zu der ganzen mehrköpfigen stacheligen Bildpflanze; der laufende Gegenstand ist Arbeitsposten H5-3; ‚das Vorige‘ bezeichnet Vorposten H5-2. Führe den ausgewählten Trankanteil als Gabe. Je Gabe. Nimm ein kleines örtliches Maß.	OWNER|ACTIVE|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
20	f81v	B1-S001	PROSE_STATEMENT	dem gemeinsamen zweireihigen Becken	1	qokedy	OK+E+CLOSE	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-1; die geltende Zieladresse ist Zielstelle B1-1. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	OWNER|ACTIVE|TARGET	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
21	f81v	B1-S002	PROSE_STATEMENT	dem gemeinsamen zweireihigen Becken	19	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	OK+AIIN | AIR | OK+AL | AR | OL | AIN | OL+AIN | AL | OL | OL | LOCAL_WHOLE | OL+OR | OL | CKH+E+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+CLOSE	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Der zurücklaufende Strom. Den aktiven Posten an der örtlich bezeichneten Station führen. Daraus, aus demselben Ansatz. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Ein abgemessener Anteil. Das untere Becken. Den aktiven Posten an der örtlich bezeichneten Station führen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Bevor es abkühlt. Der vorbereitete Bade- oder Waschzusatz. Den vorigen recordlokalen Posten wieder aufnehmen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Eine mäßige Menge. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Der eingetauchte Teil. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Durch die verbundenen Läufe. Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-1; die geltende Zieladresse ist Zielstelle B1-1; ‚das Vorige‘ bezeichnet Vorposten B1-1. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Der zurücklaufende Strom. Den aktiven Posten an der örtlich bezeichneten Station führen. Daraus, aus demselben Ansatz. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Ein abgemessener Anteil. Das untere Becken. Den aktiven Posten an der örtlich bezeichneten Station führen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Bevor es abkühlt. Der vorbereitete Bade- oder Waschzusatz. Den vorigen recordlokalen Posten wieder aufnehmen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Eine mäßige Menge. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Der eingetauchte Teil. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Durch die verbundenen Läufe. Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
22	f81v	B1-S003	PROSE_STATEMENT	dem gemeinsamen zweireihigen Becken	2	qol sshkchdy	OL | SH+KCH+CHD+CLOSE	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Halte es warm und beende den Schritt.	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-2; die geltende Zieladresse ist Zielstelle B1-5; ‚das Vorige‘ bezeichnet Vorposten B1-1. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Halte es warm und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
23	f81v	B1-S004	PROSE_STATEMENT	dem gemeinsamen zweireihigen Becken	3	chedy ol shedy	CHD+Y | OL | SHED+E+CLOSE	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Rühre, bis alles gleichmäßig vermischt ist. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-2; die geltende Zieladresse ist Zielstelle B1-5; ‚das Vorige‘ bezeichnet Vorposten B1-1. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Rühre, bis alles gleichmäßig vermischt ist. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
24	f81v	B1-S005	PROSE_STATEMENT	dem gemeinsamen zweireihigen Becken	1	qolchedy	OL+CHD+CLOSE	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt.	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-2; die geltende Zieladresse ist Zielstelle B1-5; ‚das Vorige‘ bezeichnet Vorposten B1-1. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
25	f81v	B1-S006	PROSE_STATEMENT	dem gemeinsamen zweireihigen Becken	4	qokain shckhy dl ral	OK+AIN | CKH+Y | LOCAL_WHOLE | AL	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Gib einen abgemessenen Anteil in das Gefäß. Durch die verbundenen Läufe. Der vorbereitete Bade- oder Waschzusatz. Und lasse es abkühlen.	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-2; die geltende Zieladresse ist Zielstelle B1-6; ‚das Vorige‘ bezeichnet Vorposten B1-1. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Gib einen abgemessenen Anteil in das Gefäß. Durch die verbundenen Läufe. Der vorbereitete Bade- oder Waschzusatz. Und lasse es abkühlen.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
26	f81v	B1-S007	PROSE_STATEMENT	dem gemeinsamen zweireihigen Becken	1	qokchdy	OK+CHD+CLOSE	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Erwärme es einmal und beende den Schritt.	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-2; die geltende Zieladresse ist Zielstelle B1-7; ‚das Vorige‘ bezeichnet Vorposten B1-1. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Erwärme es einmal und beende den Schritt.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
27	f81v	B1-S008	PROSE_STATEMENT	dem gemeinsamen zweireihigen Becken	5	chey ol cheky ol shedy	Y | OL | CHK+E+Y | OL | SHED+E+CLOSE	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Diese aktive Portion. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Bei sanfter Wärme. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-3; ‚das Vorige‘ bezeichnet Vorposten B1-2. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Diese aktive Portion. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Bei sanfter Wärme. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	OWNER|ACTIVE|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
28	f81v	B1-S009	PROSE_STATEMENT	dem gemeinsamen zweireihigen Becken	1	qokedy	OK+E+CLOSE	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-3; die geltende Zieladresse ist Zielstelle B1-8; ‚das Vorige‘ bezeichnet Vorposten B1-2. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
29	f81v	B1-S010	PROSE_STATEMENT	dem gemeinsamen zweireihigen Becken	1	qokedy	OK+E+CLOSE	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-3; die geltende Zieladresse ist Zielstelle B1-8; ‚das Vorige‘ bezeichnet Vorposten B1-2. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	OWNER|ACTIVE|TARGET|PREVIOUS	OWNER_AND_EXEMPLAR_SUPPLY_CONCRETE_NOUNS
