page_position	event_id	record	statement_id	surface	exact_card_id	component_recipe	card_meaning_de	semantic_atom_count	source_phrase	workshop_shorthand	picture_owner	visible_layer	owner_layer	state_layer
11	E011	H1	H1-S002	qokchy	PROC011	OK+Y	ANSETZEN · POSTEN	2	eandem rem pone	eand. rem / pone	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	MAIN_PREPARATION+CURRENT_ITEM
12	E012	H1	H1-S002	qotchol	PROC012	OT+CH+OL	DANACH · ENTNEHMEN · WEITER	3	deinde sume et continua	deinde / sume / cont.	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	MAIN_PREPARATION+CURRENT_ITEM
13	E013	H1	H1-S002	chol	PROC013	OL	WEITER	1	continua	cont.	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	MAIN_PREPARATION+CURRENT_ITEM
14	E014	H1	H1-S002	cthy	PROC014	CTH+Y	BEREITEN · POSTEN	2	rem praeparatam tene	rem prep. / tene	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	MAIN_PREPARATION+CURRENT_ITEM
15	E015	H2	H2-S001	ycheor	PROC015	Y+CH+E+OR	POSTEN · ENTNEHMEN · KURZ · ANSATZ	4	de praeparatione currente cito sume	de prep. curr. / cito sume	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	BRANCH_PREPARATION+CURRENT_ITEM
16	E016	H2	H2-S001	cthy	PROC014	CTH+Y	BEREITEN · POSTEN	2	rem para	rem / para	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	BRANCH_PREPARATION+CURRENT_ITEM
17	E017	H2	H2-S001	chor	PROC016	OR	ANSATZ	1	preparatio	prep.	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	BRANCH_PREPARATION+CURRENT_ITEM
18	E018	H2	H2-S001	cthaiin	PROC017	CTH+AIIN	BEREITEN · SOLLMASS	2	ad mensuram para	ad mens. / para	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	BRANCH_PREPARATION+CURRENT_ITEM
19	E019	H2	H2-S001	qoctholy	PROC018	O+CTH+OL+Y	ARBEITSGANG · BEREITEN · WEITER · POSTEN	4	in opere rem para et continua	in op. / rem para-cont.	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	BRANCH_PREPARATION+CURRENT_ITEM
20	E020	H2	H2-S001	dy	PROC019	Y	POSTEN	1	res currens	rem	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	BRANCH_PREPARATION+CURRENT_ITEM
21	E021	H2	H2-S001	chy	PROC019	Y	POSTEN	1	res currens	rem	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	BRANCH_PREPARATION+CURRENT_ITEM
22	E022	H2	H2-S001	taiin	PROC009	AIIN	SOLLMASS	1	ad mensuram	ad mens.	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	BRANCH_PREPARATION+CURRENT_ITEM
23	E023	H2	H2-S001	shy	PROC019	Y	POSTEN	1	res currens	rem	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	BRANCH_PREPARATION+CURRENT_ITEM
24	E024	H2	H2-S002	qotchor	PROC020	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	3	deinde de praeparatione sume	deinde / de prep. sume	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	BRANCH_PREPARATION+CURRENT_ITEM
25	E025	H2	H2-S002	chor	PROC016	OR	ANSATZ	1	preparatio	prep.	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	BRANCH_PREPARATION+CURRENT_ITEM
26	E026	H2	H2-S002	otol	PROC021	OT+OL	DANACH · WEITER	2	deinde continua	deinde / cont.	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	BRANCH_PREPARATION+CURRENT_ITEM
27	E027	H2	H2-S002	chol	PROC013	OL	WEITER	1	continua	cont.	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	BRANCH_PREPARATION+CURRENT_ITEM
28	E028	H2	H2-S002	cholor	PROC022	OL+OR	WEITER · ANSATZ	2	praeparationem continua	prep. / cont.	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	BRANCH_PREPARATION+CURRENT_ITEM
29	E029	H2	H2-S002	chol	PROC013	OL	WEITER	1	continua	cont.	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	BRANCH_PREPARATION+CURRENT_ITEM
30	E030	H2	H2-S002	daiin	PROC009	AIIN	SOLLMASS	1	ad mensuram	ad mens.	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	BRANCH_PREPARATION+CURRENT_ITEM
31	E031	H2	H2-S002	dar	PROC003	AR	QUELLE	1	ex fonte	ex fonte	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	BRANCH_PREPARATION+CURRENT_ITEM
32	E032	H2	H2-S003	oykchor	PROC023	O+Y+K+OR	ARBEITSGANG · POSTEN · ZUGEBEN · ANSATZ	4	in opere rem praeparationi adde	in op. / rem prep. adde	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	BRANCH_PREPARATION+CURRENT_ITEM
33	E033	H2	H2-S003	shor	PROC016	OR	ANSATZ	1	preparatio	prep.	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	BRANCH_PREPARATION+CURRENT_ITEM
34	E034	H2	H2-S003	chor	PROC016	OR	ANSATZ	1	preparatio	prep.	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	BRANCH_PREPARATION+CURRENT_ITEM
35	E035	H2	H2-S003	chy	PROC019	Y	POSTEN	1	res currens	rem	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	BRANCH_PREPARATION+CURRENT_ITEM
36	E036	H2	H2-S003	kaiiin	PROC024	K+IIN	ZUGEBEN · STUFE	2	adde usque ad gradum	adde / ad grad.	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	BRANCH_PREPARATION+CURRENT_ITEM
37	E037	H2	H2-S003	dy	PROC019	Y	POSTEN	1	res currens	rem	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	BRANCH_PREPARATION+CURRENT_ITEM
38	E038	H2	H2-S003	chodaiin	PROC025	CH+O+AIIN	ENTNEHMEN · ARBEITSGANG · SOLLMASS	3	in opere ad mensuram sume	in op. / ad mens. / sume	abgebildete breit gezähnte radialblütige Pflanze	CARD	PICTURE	BRANCH_PREPARATION+CURRENT_ITEM
