astro_serial	page	locus	diagram_id	group_index_in_locus	surface	astro_token_id	FORMAL_VALUE	ATOMIC_OR_WHOLE_CARD_MNEMONIC	LOCAL_IATROMEDICAL_EXPANSION	NONMEDICAL_RIVAL	UNKNOWN_EXEMPLAR_STATUS	source_class	confidence	source_lineage
11	f67r2	f67r2.4	A1	2	sykos	ASTRO_f67r2_004_02	ASTRO_LOCAL_SLOT:ZODIAC_DIVISION	NOT_APPLICABLE_ASTRO_LOCAL	its ruling quality	Arbeitsalmanach-Sektor 4: lokale Zeitqualität aus dem Exemplar übernehmen	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	ZODIAC_DIVISION	.30	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
12	f67r2	f67r2.5	A1	1	ykeody	ASTRO_f67r2_005_01	ASTRO_LOCAL_SLOT:ZODIAC_BODY_SAFETY_SELECTOR	NOT_APPLICABLE_ASTRO_LOCAL	Leo: protect the heart and upper back; avoid invasive treatment there	Arbeitsalmanach-Sektor 5: Arbeitsbereich 5 schonen und schwere Arbeit dort verschieben	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	ZODIAC_BODY_SAFETY_SELECTOR	.36	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
13	f67r2	f67r2.5	A1	2	okchy	ASTRO_f67r2_005_02	ASTRO_LOCAL_SLOT:ZODIAC_DIVISION	NOT_APPLICABLE_ASTRO_LOCAL	its ruling quality	Arbeitsalmanach-Sektor 5: lokale Zeitqualität aus dem Exemplar übernehmen	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	ZODIAC_DIVISION	.30	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
14	f67r2	f67r2.6	A1	1	dchetay	ASTRO_f67r2_006_01	ASTRO_LOCAL_SLOT:ZODIAC_BODY_SAFETY_SELECTOR	NOT_APPLICABLE_ASTRO_LOCAL	Virgo: protect the belly and intestines; avoid invasive treatment there	Arbeitsalmanach-Sektor 6: Arbeitsbereich 6 schonen und schwere Arbeit dort verschieben	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	ZODIAC_BODY_SAFETY_SELECTOR	.36	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
15	f67r2	f67r2.7	A1	1	ykchy	ASTRO_f67r2_007_01	ASTRO_LOCAL_SLOT:ZODIAC_BODY_SAFETY_SELECTOR	NOT_APPLICABLE_ASTRO_LOCAL	Libra: protect the lower back and kidneys; avoid invasive treatment there	Arbeitsalmanach-Sektor 7: Arbeitsbereich 7 schonen und schwere Arbeit dort verschieben	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	ZODIAC_BODY_SAFETY_SELECTOR	.36	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
16	f67r2	f67r2.7	A1	2	kchey	ASTRO_f67r2_007_02	ASTRO_LOCAL_SLOT:ZODIAC_DIVISION	NOT_APPLICABLE_ASTRO_LOCAL	its ruling quality	Arbeitsalmanach-Sektor 7: lokale Zeitqualität aus dem Exemplar übernehmen	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	ZODIAC_DIVISION	.30	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
17	f67r2	f67r2.7	A1	3	ykchys	ASTRO_f67r2_007_03	ASTRO_LOCAL_SLOT:ZODIAC_DIVISION	NOT_APPLICABLE_ASTRO_LOCAL	its application rule	Arbeitsalmanach-Sektor 7: lokale Arbeitsregel aus dem Exemplar übernehmen	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	ZODIAC_DIVISION	.30	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
18	f67r2	f67r2.8	A1	1	chkchdar	ASTRO_f67r2_008_01	ASTRO_LOCAL_SLOT:ZODIAC_BODY_SAFETY_SELECTOR	NOT_APPLICABLE_ASTRO_LOCAL	Scorpio: protect the genitals and bladder; avoid invasive treatment there	Arbeitsalmanach-Sektor 8: Arbeitsbereich 8 schonen und schwere Arbeit dort verschieben	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	ZODIAC_BODY_SAFETY_SELECTOR	.36	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
19	f67r2	f67r2.9	A1	1	ykar	ASTRO_f67r2_009_01	ASTRO_LOCAL_SLOT:ZODIAC_BODY_SAFETY_SELECTOR	NOT_APPLICABLE_ASTRO_LOCAL	Sagittarius: protect the hips and thighs; avoid invasive treatment there	Arbeitsalmanach-Sektor 9: Arbeitsbereich 9 schonen und schwere Arbeit dort verschieben	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	ZODIAC_BODY_SAFETY_SELECTOR	.36	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
20	f67r2	f67r2.9	A1	2	ykaly	ASTRO_f67r2_009_02	ASTRO_LOCAL_SLOT:ZODIAC_DIVISION	NOT_APPLICABLE_ASTRO_LOCAL	its ruling quality	Arbeitsalmanach-Sektor 9: lokale Zeitqualität aus dem Exemplar übernehmen	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	ZODIAC_DIVISION	.30	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
21	f67r2	f67r2.10	A1	1	lkshy	ASTRO_f67r2_010_01	ASTRO_LOCAL_SLOT:ZODIAC_BODY_SAFETY_SELECTOR	NOT_APPLICABLE_ASTRO_LOCAL	Capricorn: protect the knees; avoid invasive treatment there	Arbeitsalmanach-Sektor 10: Arbeitsbereich 10 schonen und schwere Arbeit dort verschieben	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	ZODIAC_BODY_SAFETY_SELECTOR	.36	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
22	f67r2	f67r2.10	A1	2	kchy	ASTRO_f67r2_010_02	ASTRO_LOCAL_SLOT:ZODIAC_DIVISION	NOT_APPLICABLE_ASTRO_LOCAL	its ruling quality	Arbeitsalmanach-Sektor 10: lokale Zeitqualität aus dem Exemplar übernehmen	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	ZODIAC_DIVISION	.30	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
23	f67r2	f67r2.10	A1	3	okar	ASTRO_f67r2_010_03	ASTRO_LOCAL_SLOT:ZODIAC_DIVISION	NOT_APPLICABLE_ASTRO_LOCAL	its application rule	Arbeitsalmanach-Sektor 10: lokale Arbeitsregel aus dem Exemplar übernehmen	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	ZODIAC_DIVISION	.30	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
24	f67r2	f67r2.11	A1	1	chky	ASTRO_f67r2_011_01	ASTRO_LOCAL_SLOT:ZODIAC_BODY_SAFETY_SELECTOR	NOT_APPLICABLE_ASTRO_LOCAL	Aquarius: protect the shins and ankles; avoid invasive treatment there	Arbeitsalmanach-Sektor 11: Arbeitsbereich 11 schonen und schwere Arbeit dort verschieben	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	ZODIAC_BODY_SAFETY_SELECTOR	.36	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
25	f67r2	f67r2.11	A1	2	chykchs	ASTRO_f67r2_011_02	ASTRO_LOCAL_SLOT:ZODIAC_DIVISION	NOT_APPLICABLE_ASTRO_LOCAL	its ruling quality	Arbeitsalmanach-Sektor 11: lokale Zeitqualität aus dem Exemplar übernehmen	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	ZODIAC_DIVISION	.30	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
26	f67r2	f67r2.11	A1	3	chy	ASTRO_f67r2_011_03	ASTRO_LOCAL_SLOT:ZODIAC_DIVISION	NOT_APPLICABLE_ASTRO_LOCAL	its application rule	Arbeitsalmanach-Sektor 11: lokale Arbeitsregel aus dem Exemplar übernehmen	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	ZODIAC_DIVISION	.30	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
27	f67r2	f67r2.12	A1	1	ykees	ASTRO_f67r2_012_01	ASTRO_LOCAL_SLOT:ZODIAC_BODY_SAFETY_SELECTOR	NOT_APPLICABLE_ASTRO_LOCAL	Pisces: protect the feet; avoid invasive treatment there	Arbeitsalmanach-Sektor 12: Arbeitsbereich 12 schonen und schwere Arbeit dort verschieben	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	ZODIAC_BODY_SAFETY_SELECTOR	.36	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
28	f67r2	f67r2.12	A1	2	ykchos	ASTRO_f67r2_012_02	ASTRO_LOCAL_SLOT:ZODIAC_DIVISION	NOT_APPLICABLE_ASTRO_LOCAL	its ruling quality	Arbeitsalmanach-Sektor 12: lokale Zeitqualität aus dem Exemplar übernehmen	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	ZODIAC_DIVISION	.30	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
29	f67r2	f67r2.13	A1	1	opodchol	ASTRO_f67r2_013_01	ASTRO_LOCAL_SLOT:SELECTOR_RULE_PROSE	NOT_APPLICABLE_ASTRO_LOCAL	at night	Arbeitsalmanach-Auswahl: at night	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	SELECTOR_RULE_PROSE	.18	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
30	f67r2	f67r2.13	A1	2	s	ASTRO_f67r2_013_02	ASTRO_LOCAL_SLOT:SELECTOR_RULE_PROSE	NOT_APPLICABLE_ASTRO_LOCAL	in the morning	Arbeitsalmanach-Auswahl: in the morning	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	SELECTOR_RULE_PROSE	.18	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
31	f67r2	f67r2.13	A1	3	ain	ASTRO_f67r2_013_03	ASTRO_LOCAL_SLOT:SELECTOR_RULE_PROSE	NOT_APPLICABLE_ASTRO_LOCAL	for the sick person	Arbeitsalmanach-Auswahl: for the sick person	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	SELECTOR_RULE_PROSE	.18	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
32	f67r2	f67r2.13	A1	4	aldy	ASTRO_f67r2_013_04	ASTRO_LOCAL_SLOT:SELECTOR_RULE_PROSE	NOT_APPLICABLE_ASTRO_LOCAL	at the affected place	Arbeitsalmanach-Auswahl: at the marked worksite	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	SELECTOR_RULE_PROSE	.18	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
33	f67r2	f67r2.14	A1	1	soeey	ASTRO_f67r2_014_01	ASTRO_LOCAL_SLOT:SELECTOR_RULE_PROSE	NOT_APPLICABLE_ASTRO_LOCAL	in the morning	Arbeitsalmanach-Auswahl: in the morning	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	SELECTOR_RULE_PROSE	.18	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
34	f67r2	f67r2.14	A1	2	doiin	ASTRO_f67r2_014_02	ASTRO_LOCAL_SLOT:SELECTOR_RULE_PROSE	NOT_APPLICABLE_ASTRO_LOCAL	for the sick person	Arbeitsalmanach-Auswahl: for the sick person	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	SELECTOR_RULE_PROSE	.18	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
35	f67r2	f67r2.14	A1	3	oldy	ASTRO_f67r2_014_03	ASTRO_LOCAL_SLOT:SELECTOR_RULE_PROSE	NOT_APPLICABLE_ASTRO_LOCAL	at the affected place	Arbeitsalmanach-Auswahl: at the marked worksite	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	SELECTOR_RULE_PROSE	.18	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
36	f67r2	f67r2.15	A1	1	dolchsody	ASTRO_f67r2_015_01	ASTRO_LOCAL_SLOT:SEVENFOLD_GOVERNOR	NOT_APPLICABLE_ASTRO_LOCAL	sevenfold governor 1: Saturn	Arbeitsalmanach-Auswahl: sevenfold governor 1: Saturn	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	SEVENFOLD_GOVERNOR	.29	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
37	f67r2	f67r2.16	A1	1	odaeiin	ASTRO_f67r2_016_01	ASTRO_LOCAL_SLOT:SELECTOR_RULE_PROSE	NOT_APPLICABLE_ASTRO_LOCAL	at the affected place	Arbeitsalmanach-Auswahl: at the marked worksite	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	SELECTOR_RULE_PROSE	.18	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
38	f67r2	f67r2.16	A1	2	okoes	ASTRO_f67r2_016_02	ASTRO_LOCAL_SLOT:SELECTOR_RULE_PROSE	NOT_APPLICABLE_ASTRO_LOCAL	repeat once	Arbeitsalmanach-Auswahl: repeat once	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	SELECTOR_RULE_PROSE	.18	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
39	f67r2	f67r2.16	A1	3	oekain	ASTRO_f67r2_016_03	ASTRO_LOCAL_SLOT:SELECTOR_RULE_PROSE	NOT_APPLICABLE_ASTRO_LOCAL	do not overheat	Arbeitsalmanach-Auswahl: do not overheat	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	SELECTOR_RULE_PROSE	.18	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
40	f67r2	f67r2.16	A1	4	y	ASTRO_f67r2_016_04	ASTRO_LOCAL_SLOT:SELECTOR_RULE_PROSE	NOT_APPLICABLE_ASTRO_LOCAL	let it settle	Arbeitsalmanach-Auswahl: let it settle	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	SELECTOR_RULE_PROSE	.18	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
41	f67r2	f67r2.17	A1	1	otchey	ASTRO_f67r2_017_01	ASTRO_LOCAL_SLOT:SELECTOR_RULE_PROSE	NOT_APPLICABLE_ASTRO_LOCAL	repeat once	Arbeitsalmanach-Auswahl: repeat once	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	SELECTOR_RULE_PROSE	.18	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
42	f67r2	f67r2.17	A1	2	soraiir	ASTRO_f67r2_017_02	ASTRO_LOCAL_SLOT:SELECTOR_RULE_PROSE	NOT_APPLICABLE_ASTRO_LOCAL	do not overheat	Arbeitsalmanach-Auswahl: do not overheat	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	SELECTOR_RULE_PROSE	.18	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
43	f67r2	f67r2.17	A1	3	dy	ASTRO_f67r2_017_03	ASTRO_LOCAL_SLOT:SELECTOR_RULE_PROSE	NOT_APPLICABLE_ASTRO_LOCAL	let it settle	Arbeitsalmanach-Auswahl: let it settle	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	SELECTOR_RULE_PROSE	.18	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
44	f67r2	f67r2.18	A1	1	qopchy	ASTRO_f67r2_018_01	ASTRO_LOCAL_SLOT:SELECTOR_RULE_PROSE	NOT_APPLICABLE_ASTRO_LOCAL	do not overheat	Arbeitsalmanach-Auswahl: do not overheat	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	SELECTOR_RULE_PROSE	.18	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
45	f67r2	f67r2.18	A1	2	daiin	ASTRO_f67r2_018_02	ASTRO_LOCAL_SLOT:SELECTOR_RULE_PROSE	NOT_APPLICABLE_ASTRO_LOCAL	let it settle	Arbeitsalmanach-Auswahl: let it settle	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	SELECTOR_RULE_PROSE	.18	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
46	f67r2	f67r2.18	A1	3	dal	ASTRO_f67r2_018_03	ASTRO_LOCAL_SLOT:SELECTOR_RULE_PROSE	NOT_APPLICABLE_ASTRO_LOCAL	then proceed	Arbeitsalmanach-Auswahl: then proceed	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	SELECTOR_RULE_PROSE	.18	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
47	f67r2	f67r2.19	A1	1	ydchos	ASTRO_f67r2_019_01	ASTRO_LOCAL_SLOT:SELECTOR_RULE_PROSE	NOT_APPLICABLE_ASTRO_LOCAL	let it settle	Arbeitsalmanach-Auswahl: let it settle	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	SELECTOR_RULE_PROSE	.18	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
48	f67r2	f67r2.19	A1	2	ain	ASTRO_f67r2_019_02	ASTRO_LOCAL_SLOT:SELECTOR_RULE_PROSE	NOT_APPLICABLE_ASTRO_LOCAL	then proceed	Arbeitsalmanach-Auswahl: then proceed	ASTRO_LOCAL_EXEMPLAR;SEMANTICS_UNANCHORED;NO_PROSE_CARD_IMPORT	SELECTOR_RULE_PROSE	.18	V22_395_GROUP_LEDGER>V55_LOCAL_DIAGRAM_STATUS>V58_WORK_ALMANAC_RIVAL>V59_R1
