field_serial	field_id	page	record	record_unit_id	locus	field_ordinal_in_locus	field_ordinal_in_record	event_count	surface_sequence	formal_sequence_opaque	FORMAL_VALUE	ATOMIC_OR_WHOLE_CARD_MNEMONIC	LOCAL_IATROMEDICAL_EXPANSION	NONMEDICAL_RIVAL	UNKNOWN_EXEMPLAR_STATUS	closure_status	source_lineage
11	F011	f55v	1	H4	f55v.5	2	2	3	daiin chedy talam	OPAQUE_PAYLOAD | VARIANT_D(OPAQUE_PAYLOAD) | CLOSE_B3(OPAQUE_PAYLOAD)	FIELD_TERMINAL:NONCLOSE* TERMINAL?	MASS? | UNKNOWN | UNKNOWN	Ein vorgeschriebenes Maß ; rühre, bis alles gleichmäßig vermischt ist ; wasche die wunde Stelle einmal	weichen Rest abteilen [Ganzfeldexemplar H4, Feld 2/4]	WHOLE_FIELD_EXPANSIONS_NOT_COMPOSITIONAL;UNKNOWN_MNEMONIC_EVENTS=2;EXEMPLAR_REQUIRED	TERMINAL	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1
12	F012	f55v	1	H4	f55v.11	1	3	4	ykaiin cheoar cheeky oldy	OPAQUE_PAYLOAD + <ARG_AIIN> | OPAQUE_PAYLOAD + <ARG_AR> | OPAQUE_PAYLOAD | CLOSE(FRAME_O(LINK))	FIELD_TERMINAL:NONCLOSE* TERMINAL?	UNKNOWN | UNKNOWN | UNKNOWN | UNKNOWN	für den zweiten Arzneigebrauch ; gib Weißwein hinzu ; solange es noch warm ist ; koche sanft und beende diesen Arbeitsschritt	zwei Arbeitsfraktionen vergleichen [Ganzfeldexemplar H4, Feld 3/4]	WHOLE_FIELD_EXPANSIONS_NOT_COMPOSITIONAL;UNKNOWN_MNEMONIC_EVENTS=4;EXEMPLAR_REQUIRED	TERMINAL	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1
13	F013	f55v	1	H4	f55v.11	2	4	6	aiin okal oltchy or y orain	OPAQUE_PAYLOAD | SET(<ARG_AL>) | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD + <ARG_AIN>	FIELD_OPEN:NONCLOSE* TERMINAL?	MASS? | UNKNOWN | UNKNOWN | BEREITUNG? | UNKNOWN | UNKNOWN	Ein vorgeschriebenes Maß ; mische beide Anteile zusammen ; bewahre es in einem bedeckten Gefäß ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; gebrauche die fertige Flüssigkeit frisch	Fraktionen buchen [Ganzfeldexemplar H4, Feld 4/4]	WHOLE_FIELD_EXPANSIONS_NOT_COMPOSITIONAL;UNKNOWN_MNEMONIC_EVENTS=4;EXEMPLAR_REQUIRED	OPEN	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1
14	F014	f56r	1	H5	f56r.5	1	1	4	chochor cho chodaly daiin	FRAME_O(OPAQUE_PAYLOAD) | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD	FIELD_OPEN:NONCLOSE* TERMINAL?	UNKNOWN | UNKNOWN | UNKNOWN | MASS?	sammle die Pflanze im Frühjahr ; nimm danach den folgenden Zusatz oder Pflanzenteil ; die dünne untere Wurzel ; Ein vorgeschriebenes Maß	klebriges Feuchtlandmaterial übernehmen [Ganzfeldexemplar H5, Feld 1/7]	WHOLE_FIELD_EXPANSIONS_NOT_COMPOSITIONAL;UNKNOWN_MNEMONIC_EVENTS=3;EXEMPLAR_REQUIRED	OPEN	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1
15	F015	f56r	1	H5	f56r.7	1	2	5	sho kchol otchor choky dal	OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | FRAME_OT(OPAQUE_PAYLOAD) | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD	FIELD_OPEN:NONCLOSE* TERMINAL?	UNKNOWN | UNKNOWN | UNKNOWN | VERWENDEN? | AN?	nimm danach den folgenden Zusatz oder Pflanzenteil ; lasse es in Weißwein ziehen ; vor der Blüte gesammelt ; Die aktive Portion verwenden ; An die bezeichnete Zielstelle führen	klebriges Feuchtlandmaterial übernehmen [Ganzfeldexemplar H5, Feld 2/7]	WHOLE_FIELD_EXPANSIONS_NOT_COMPOSITIONAL;UNKNOWN_MNEMONIC_EVENTS=3;EXEMPLAR_REQUIRED	OPEN	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1
16	F016	f56r	1	H5	f56r.8	1	3	4	schol choy choky cheeckhody	OPAQUE_PAYLOAD | FRAME_O(OPAQUE_PAYLOAD) | OPAQUE_PAYLOAD | CLOSE(OPAQUE_PAYLOAD)	FIELD_TERMINAL:NONCLOSE* TERMINAL?	UNKNOWN | UNKNOWN | VERWENDEN? | UNKNOWN	von diesem abgebildeten Simplex ; die auf feuchter schattiger Heide wächst ; Die aktive Portion verwenden ; lasse das Pflaster unbedeckt trocknen	klein dosieren [Ganzfeldexemplar H5, Feld 3/7]	WHOLE_FIELD_EXPANSIONS_NOT_COMPOSITIONAL;UNKNOWN_MNEMONIC_EVENTS=3;EXEMPLAR_REQUIRED	TERMINAL	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1
17	F017	f56r	1	H5	f56r.12	1	4	4	sh cho kchey qokokchy	OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD	FIELD_OPEN:NONCLOSE* TERMINAL?	UNKNOWN | UNKNOWN | UNKNOWN | UNKNOWN	ihren kleinen Samen- oder Knospenkopf ; nimm danach den folgenden Zusatz oder Pflanzenteil ; das getrocknete schmale Blatt ; trockne es im Schatten	klein dosieren [Ganzfeldexemplar H5, Feld 4/7]	WHOLE_FIELD_EXPANSIONS_NOT_COMPOSITIONAL;UNKNOWN_MNEMONIC_EVENTS=4;EXEMPLAR_REQUIRED	OPEN	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1
18	F018	f56r	1	H5	f56r.13	1	5	3	okchy chokcheo kchal	OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD + <ARG_AL>	FIELD_OPEN:NONCLOSE* TERMINAL?	UNKNOWN | UNKNOWN | UNKNOWN	gebrauche die frisch bereitete Arznei ; trinke es bei Magenschmerz ; bewahre den Rest trocken im Schatten	Materialprobe trennen [Ganzfeldexemplar H5, Feld 5/7]	WHOLE_FIELD_EXPANSIONS_NOT_COMPOSITIONAL;UNKNOWN_MNEMONIC_EVENTS=3;EXEMPLAR_REQUIRED	OPEN	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1
19	F019	f56r	1	H5	f56r.18	1	6	4	sho chokchy kchoar sotodan	OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD + <ARG_AR> | OPAQUE_PAYLOAD	FIELD_OPEN:NONCLOSE* TERMINAL?	UNKNOWN | UNKNOWN | UNKNOWN | UNKNOWN	nimm danach den folgenden Zusatz oder Pflanzenteil ; gebrauche die frisch bereitete Arznei ; mische es mit Honig ; gebrauche es frisch vermischt	Materialprobe trennen [Ganzfeldexemplar H5, Feld 6/7]	WHOLE_FIELD_EXPANSIONS_NOT_COMPOSITIONAL;UNKNOWN_MNEMONIC_EVENTS=4;EXEMPLAR_REQUIRED	OPEN	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1
20	F020	f56r	1	H5	f56r.19	1	7	3	otchey keol daiin	FRAME_OT(OPAQUE_PAYLOAD) | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD	FIELD_OPEN:NONCLOSE* TERMINAL?	TEIL? | UNKNOWN | MASS?	Nimm den bezeichneten Anteil ; die helle geöffnete Blüte ; Ein vorgeschriebenes Maß	trocknen und lagern [Ganzfeldexemplar H5, Feld 7/7]	WHOLE_FIELD_EXPANSIONS_NOT_COMPOSITIONAL;UNKNOWN_MNEMONIC_EVENTS=1;EXEMPLAR_REQUIRED	OPEN	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1
21	F021	f81v	1	B1	f81v.2	1	1	1	qokedy	CLOSE(OPAQUE_PAYLOAD)	FIELD_TERMINAL:NONCLOSE* TERMINAL?	SPÜLEN?	spüle die bezeichnete Stelle einmal und beende den Schritt	Hauptkreislauf beschicken [Ganzfeldexemplar B1, Feld 1/24]	WHOLE_FIELD_EXPANSIONS_NOT_COMPOSITIONAL;UNKNOWN_MNEMONIC_EVENTS=0;EXEMPLAR_REQUIRED	TERMINAL	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1
22	F022	f81v	1	B1	f81v.2	2	2	11	okaiin kair okal sar ol kain olkain al ol rol dl	SET(<ARG_AIIN>) | OPAQUE_PAYLOAD + <ARG_AIR> | SET(<ARG_AL>) | OPAQUE_PAYLOAD | FRAME_O(LINK) | OPAQUE_PAYLOAD + <ARG_AIN> | OPAQUE_PAYLOAD + <ARG_AIN> | OPAQUE_PAYLOAD | FRAME_O(LINK) | OPAQUE_PAYLOAD | LINK	FIELD_OPEN:NONCLOSE* TERMINAL?	UNKNOWN | UNKNOWN | UNKNOWN | UNKNOWN | UNKNOWN | UNKNOWN | UNKNOWN | AN? | UNKNOWN | UNKNOWN | UNKNOWN	beginne den nächsten abgemessenen Posten ; der zurücklaufende Strom ; mische beide Anteile zusammen ; Daraus, aus demselben Ansatz ; Mit der vorigen Zubereitung weiter ; ein abgemessener Anteil ; das untere Becken ; An die bezeichnete Zielstelle führen ; Mit der vorigen Zubereitung weiter ; bevor es abkühlt ; das bereitete Öl	Hauptkreislauf beschicken [Ganzfeldexemplar B1, Feld 2/24]	WHOLE_FIELD_EXPANSIONS_NOT_COMPOSITIONAL;UNKNOWN_MNEMONIC_EVENTS=10;EXEMPLAR_REQUIRED	OPEN	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1
23	F023	f81v	1	B1	f81v.7	1	3	8	olor ol sheckhal daiin qokeedal daiin chckhy schedy	OPAQUE_PAYLOAD | FRAME_O(LINK) | OPAQUE_PAYLOAD + <ARG_AL> | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD + <ARG_AL> | OPAQUE_PAYLOAD | OPAQUE_PAYLOAD | CLOSE(OPAQUE_PAYLOAD)	FIELD_TERMINAL:NONCLOSE* TERMINAL?	ZUVOR? | UNKNOWN | UNKNOWN | MASS? | UNKNOWN | MASS? | UNKNOWN | UNKNOWN	Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; eine mäßige Menge ; Ein vorgeschriebenes Maß ; der eingetauchte Teil ; Ein vorgeschriebenes Maß ; durch die verbundenen Läufe ; spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt	Hauptkreislauf beschicken [Ganzfeldexemplar B1, Feld 3/24]	WHOLE_FIELD_EXPANSIONS_NOT_COMPOSITIONAL;UNKNOWN_MNEMONIC_EVENTS=5;EXEMPLAR_REQUIRED	TERMINAL	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1
24	F024	f81v	1	B1	f81v.7	2	4	1	qol	FRAME_O(LINK)	FIELD_OPEN:NONCLOSE* TERMINAL?	UNKNOWN	Mit der vorigen Zubereitung weiter	Hauptkreislauf beschicken [Ganzfeldexemplar B1, Feld 4/24]	WHOLE_FIELD_EXPANSIONS_NOT_COMPOSITIONAL;UNKNOWN_MNEMONIC_EVENTS=1;EXEMPLAR_REQUIRED	OPEN	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1
25	F025	f81v	1	B1	f81v.17	1	5	1	sshkchdy	CLOSE(OPAQUE_PAYLOAD)	FIELD_TERMINAL:NONCLOSE* TERMINAL?	UNKNOWN	halte es warm und beende den Schritt	Hauptkreislauf beschicken [Ganzfeldexemplar B1, Feld 5/24]	WHOLE_FIELD_EXPANSIONS_NOT_COMPOSITIONAL;UNKNOWN_MNEMONIC_EVENTS=1;EXEMPLAR_REQUIRED	TERMINAL	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1
26	F026	f81v	1	B1	f81v.17	2	6	3	chedy ol shedy	VARIANT_D(OPAQUE_PAYLOAD) | FRAME_O(LINK) | CLOSE(OPAQUE_PAYLOAD)	FIELD_TERMINAL:NONCLOSE* TERMINAL?	UNKNOWN | UNKNOWN | UNKNOWN	rühre, bis alles gleichmäßig vermischt ist ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt	Hauptkreislauf beschicken [Ganzfeldexemplar B1, Feld 6/24]	WHOLE_FIELD_EXPANSIONS_NOT_COMPOSITIONAL;UNKNOWN_MNEMONIC_EVENTS=3;EXEMPLAR_REQUIRED	TERMINAL	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1
27	F027	f81v	1	B1	f81v.17	3	7	1	qolchedy	CLOSE(OPAQUE_PAYLOAD)	FIELD_TERMINAL:NONCLOSE* TERMINAL?	UNKNOWN	stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt	temperieren [Ganzfeldexemplar B1, Feld 7/24]	WHOLE_FIELD_EXPANSIONS_NOT_COMPOSITIONAL;UNKNOWN_MNEMONIC_EVENTS=1;EXEMPLAR_REQUIRED	TERMINAL	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1
28	F028	f81v	1	B1	f81v.17	4	8	4	qokain shckhy dl ral	SET(<ARG_AIN>) | OPAQUE_PAYLOAD | LINK | OPAQUE_PAYLOAD + <ARG_AL>	FIELD_OPEN:NONCLOSE* TERMINAL?	UNKNOWN | UNKNOWN | UNKNOWN | UNKNOWN	gib einen abgemessenen Anteil in das Gefäß ; durch die verbundenen Läufe ; das bereitete Öl ; und lasse es abkühlen	temperieren [Ganzfeldexemplar B1, Feld 8/24]	WHOLE_FIELD_EXPANSIONS_NOT_COMPOSITIONAL;UNKNOWN_MNEMONIC_EVENTS=4;EXEMPLAR_REQUIRED	OPEN	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1
29	F029	f81v	1	B1	f81v.18	1	9	1	qokchdy	CLOSE(OPAQUE_PAYLOAD)	FIELD_TERMINAL:NONCLOSE* TERMINAL?	UNKNOWN	erwärme es einmal und beende den Schritt	temperieren [Ganzfeldexemplar B1, Feld 9/24]	WHOLE_FIELD_EXPANSIONS_NOT_COMPOSITIONAL;UNKNOWN_MNEMONIC_EVENTS=1;EXEMPLAR_REQUIRED	TERMINAL	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1
30	F030	f81v	1	B1	f81v.18	2	10	5	chey ol cheky ol shedy	OPAQUE_PAYLOAD | FRAME_O(LINK) | OPAQUE_PAYLOAD | FRAME_O(LINK) | CLOSE(OPAQUE_PAYLOAD)	FIELD_TERMINAL:NONCLOSE* TERMINAL?	UNKNOWN | UNKNOWN | UNKNOWN | UNKNOWN | UNKNOWN	Diese aktive Portion ; Mit der vorigen Zubereitung weiter ; bei sanfter Wärme ; Mit der vorigen Zubereitung weiter ; lasse es bis zur Bereitschaft stehen und beende den Schritt	temperieren [Ganzfeldexemplar B1, Feld 10/24]	WHOLE_FIELD_EXPANSIONS_NOT_COMPOSITIONAL;UNKNOWN_MNEMONIC_EVENTS=5;EXEMPLAR_REQUIRED	TERMINAL	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1
31	F031	f81v	1	B1	f81v.18	3	11	1	qokedy	CLOSE(OPAQUE_PAYLOAD)	FIELD_TERMINAL:NONCLOSE* TERMINAL?	SPÜLEN?	spüle die bezeichnete Stelle einmal und beende den Schritt	temperieren [Ganzfeldexemplar B1, Feld 11/24]	WHOLE_FIELD_EXPANSIONS_NOT_COMPOSITIONAL;UNKNOWN_MNEMONIC_EVENTS=0;EXEMPLAR_REQUIRED	TERMINAL	V49_135_FIELD_TRANSLATION>V52_FIELD_GRAMMAR>V53/V54_RECORD_DEFAULTS>V58_RIVAL>V59_R1
