canonical_rule_order	source_round	state	visible_input	condition	operation	state_update	forward_output	backward_output	failure_if_omitted	content_rule
11	V79_SELECTED	PROSE_STATEMENT	all other exact cards	no admitted V77 word	EMIT_OPAQUE_VALUE	retain exact identity and position only	EXEMPLAR_VALUE_UNKNOWN	same exact card from code sheet	new unsupported dictionary meanings appear	FORM_FIRST__MASTER_CONTENT_OPTIONAL
12	V79_SELECTED	ANY_PROSE	master exemplar switch	master exemplar present	LOOKUP_CONTEXT_EXPANSION	attach occurrence-bound bracketed expansion without changing dictionary	selected V78 German exemplar phrase	same occurrence address	content cannot be recovered; formal copying still succeeds	FORM_FIRST__MASTER_CONTENT_OPTIONAL
13	V79_SELECTED	ANY_PROSE	master exemplar switch	master exemplar absent	MASK_CONTEXT_EXPANSION	retain formal identity/layout; set source content UNKNOWN	no semantic content	formal layout only	lookup content is mistaken for internally decoded meaning	FORM_FIRST__MASTER_CONTENT_OPTIONAL
14	V79_SELECTED	START	f69v left-wheel namespace	local owner in f69v.4..31	SET_F69_LEFT_NAMESPACE	set F69_LEFT_WHEEL_NS; forbid middle/right wheel and crosspage inheritance	local wheel address	same namespace	three f69 wheels or f68/f69 are merged	FORM_FIRST__MASTER_CONTENT_OPTIONAL
15	V79_SELECTED	F69_LEFT_WHEEL_NS	one of 28 local loci	direct visible slot address	LOOKUP_UNORDERED_SLOT	set local owner and copy its 1..n opaque groups; choose no start or direction	opaque group sequence plus optional exemplar label	same opaque group sequence at same local owner	editorial L01..L28 becomes a claimed ordered cycle	FORM_FIRST__MASTER_CONTENT_OPTIONAL
16	V79_SELECTED	ANY	end of unit	always	VERIFY_ROUNDTRIP	compare exact IDs, boundaries, owner resets and source-token count	audit result	audit result	fluent paraphrase may hide lost or duplicated formal units	FORM_FIRST__MASTER_CONTENT_OPTIONAL
17	CANONICAL_RELEASE	EXACT_CARD	joint_tuple_id	always	LOOKUP_OPERATIONAL_VALUE_FIRST	return one of four formal operations or opaque unknown	operational formal value	same exact card	optional ET?/PER? must never replace formal readback	FORM_FIRST__MASTER_CONTENT_OPTIONAL
18	CANONICAL_RELEASE	PROSE_EVENTS	field_id	same frozen field	ASSEMBLE_135_FIELDS	preserve exact event order and E180 source contribution zero	field form plus master content	same events	field prose may hide missing cards	FORM_FIRST__MASTER_CONTENT_OPTIONAL
19	CANONICAL_RELEASE	PROSE_FIELDS	statement_id	same frozen statement	ASSEMBLE_116_STATEMENTS	allow 19 physical-line transitions and four owner resets	statement form plus master content	same fields	physical line may be mistaken for sentence	FORM_FIRST__MASTER_CONTENT_OPTIONAL
20	CANONICAL_RELEASE	PROSE_STATEMENTS	record_unit_id	same frozen record	ASSEMBLE_11_RECORDS	keep H1-H5 and B1-B6 separate	continuous record lookup	same statements	B5/B6 or Bio owners may merge	FORM_FIRST__MASTER_CONTENT_OPTIONAL
21	CANONICAL_RELEASE	ASTRO_GROUP	page+locus	exactly one selected local namespace	ASSEMBLE_13_ASTRO_NAMESPACES	forbid orientation, f68-f69 join and prose-card import	local group and optional copied label	same local group	editorial address may become false cycle	FORM_FIRST__MASTER_CONTENT_OPTIONAL
22	CANONICAL_RELEASE	ALL_FORMAL_ATOMS	canonical counts	381 prose + 395 Astro	VERIFY_776_RELEASE	verify 173/381/135/116/395/776 and zero new words	PASS/FAIL	same release	completeness or layer separation may drift	FORM_FIRST__MASTER_CONTENT_OPTIONAL
