event_serial	event_id	section	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	surface_display_only	image_owner_id	owner_break_before	owner_reset	literal_visible_layer	autonomous_primary_token	optional_questioned_master_gloss	occurrence_bound_exemplar	source_token_count	read_action	line_crossing	terminal_status	source_class	source_expansion_confidence	strongest_rival	strongest_contradiction	semantic_ceiling	source_lineage
11	E011	HERBAL	H1	f10r	f10r.5	F002	H1-S002	9ad66e67803a12e745de	qokchy	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	NO	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB; EXEMPLAR] > [OPAQUE_CARD:9ad66e67803a12e745de; SURFACE:qokchy]	[EXEMPLARWERT UNBEKANNT]	NONE	[EXEMPLAR:Nimm erneut von dem frischen ersten Auszug]	1	LOOK_UP_OCCURRENCE_IN_MASTER_EXEMPLAR	NO__SINGLE_FIELD	NONCLOSE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	0.29	Technischer Pflanzenmaterial-Rivale: gelagerten Wurzelrest dem lokalen Posten aufnehmen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Auszug.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS	V69_R4_FORM__V73_OR_V74_OWNER_CONTENT__V78_SELECTION__V79_REPAIR
12	E012	HERBAL	H1	f10r	f10r.5	F002	H1-S002	e8a6105b5c3a6220b440	qotchol	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	NO	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB; EXEMPLAR] > [OPAQUE_CARD:e8a6105b5c3a6220b440; SURFACE:qotchol]	[EXEMPLARWERT UNBEKANNT]	NONE	[EXEMPLAR:Erwärme ihn gelinde]	1	LOOK_UP_OCCURRENCE_IN_MASTER_EXEMPLAR	NO__SINGLE_FIELD	NONCLOSE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	0.30	Technischer Pflanzenmaterial-Rivale: zweiten Auszug gelinde erwärmen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Wärme.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS	V69_R4_FORM__V73_OR_V74_OWNER_CONTENT__V78_SELECTION__V79_REPAIR
13	E013	HERBAL	H1	f10r	f10r.5	F002	H1-S002	dcda95c81a5460feb191	chol	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	NO	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB; EXEMPLAR] > [OPAQUE_CARD:dcda95c81a5460feb191; SURFACE:chol]	[FORMAL_LINK_OR_SLOT]	ET?=UND/AUCH?__OPTIONAL_QUESTIONED_MASTER_GLOSS_ONLY	[EXEMPLAR:kein eigener Inhaltswert; nur additive oder koordinierende Verknüpfung der benachbarten Quellenglieder]	1	READ_ONE_VISIBLE_SOURCE_TOKEN	NO__SINGLE_FIELD	NONCLOSE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	0.46	Technischer Pflanzenmaterial-Rivale: formale Verknüpfung mit dem laufenden Wurzelauszug dem lokalen Posten buchen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Arbeitsansatz.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS	V69_R4_FORM__V73_OR_V74_OWNER_CONTENT__V78_SELECTION__V79_REPAIR
14	E014	HERBAL	H1	f10r	f10r.5	F002	H1-S002	e0b630cb1b5df5e7105b	cthy	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	NO	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB; EXEMPLAR] > [OPAQUE_CARD:e0b630cb1b5df5e7105b; SURFACE:cthy]	[EXEMPLARWERT UNBEKANNT]	NONE	[EXEMPLAR:Sobald er zum Gebrauch bereit ist, gebrauche ihn]	1	LOOK_UP_OCCURRENCE_IN_MASTER_EXEMPLAR	NO__SINGLE_FIELD	NONCLOSE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	0.46	Technischer Pflanzenmaterial-Rivale: Arbeitsstand dem lokalen Posten freigeben.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Gebrauchsreife.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS	V69_R4_FORM__V73_OR_V74_OWNER_CONTENT__V78_SELECTION__V79_REPAIR
15	E015	HERBAL	H2	f10r	f10r.6	F003	H2-S001	7249edc4df3419c26999	ycheor	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	RECORD_START	NO	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB; EXEMPLAR] > [OPAQUE_CARD:7249edc4df3419c26999; SURFACE:ycheor]	[EXEMPLARWERT UNBEKANNT]	NONE	[EXEMPLAR:Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze]	1	LOOK_UP_OCCURRENCE_IN_MASTER_EXEMPLAR	NO__SINGLE_FIELD	NONCLOSE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	0.36	Technischer Pflanzenmaterial-Rivale: Bildbesitzer H2 als Oberteil-Los dem lokalen Posten eröffnen.	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an junge Spitzen, Blütenstände, Blätter.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS	V69_R4_FORM__V73_OR_V74_OWNER_CONTENT__V78_SELECTION__V79_REPAIR
16	E016	HERBAL	H2	f10r	f10r.6	F003	H2-S001	e0b630cb1b5df5e7105b	cthy	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	NO	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB; EXEMPLAR] > [OPAQUE_CARD:e0b630cb1b5df5e7105b; SURFACE:cthy]	[EXEMPLARWERT UNBEKANNT]	NONE	[EXEMPLAR:Sammle sie, wenn sie sich eben öffnen]	1	LOOK_UP_OCCURRENCE_IN_MASTER_EXEMPLAR	NO__SINGLE_FIELD	NONCLOSE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	0.46	Technischer Pflanzenmaterial-Rivale: Erntegut als verarbeitungsbereit markieren.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Erntezeit.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS	V69_R4_FORM__V73_OR_V74_OWNER_CONTENT__V78_SELECTION__V79_REPAIR
17	E017	HERBAL	H2	f10r	f10r.6	F003	H2-S001	7a4bb8136330ee4e6e56	chor	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	NO	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB; EXEMPLAR] > [OPAQUE_CARD:7a4bb8136330ee4e6e56; SURFACE:chor]	[EXEMPLARWERT UNBEKANNT]	NONE	[EXEMPLAR:Führe sie als frischen Ansatz]	1	LOOK_UP_OCCURRENCE_IN_MASTER_EXEMPLAR	NO__SINGLE_FIELD	NONCLOSE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	0.46	Technischer Pflanzenmaterial-Rivale: gepresste Arbeitsflüssigkeit dem lokalen Posten als aktiven Ansatz führen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Arbeitsansatz.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS	V69_R4_FORM__V73_OR_V74_OWNER_CONTENT__V78_SELECTION__V79_REPAIR
18	E018	HERBAL	H2	f10r	f10r.6	F003	H2-S001	f3c23f42baf625639e1e	cthaiin	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	NO	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB; EXEMPLAR] > [OPAQUE_CARD:f3c23f42baf625639e1e; SURFACE:cthaiin]	[EXEMPLARWERT UNBEKANNT]	NONE	[EXEMPLAR:Zerstoße das Kraut]	1	LOOK_UP_OCCURRENCE_IN_MASTER_EXEMPLAR	NO__SINGLE_FIELD	NONCLOSE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	0.32	Technischer Pflanzenmaterial-Rivale: Stängel und obere Blätter grob quetschen.	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an Kraut.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS	V69_R4_FORM__V73_OR_V74_OWNER_CONTENT__V78_SELECTION__V79_REPAIR
19	E019	HERBAL	H2	f10r	f10r.6	F003	H2-S001	af816c04e65874a0f2fa	qoctholy	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	NO	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB; EXEMPLAR] > [OPAQUE_CARD:af816c04e65874a0f2fa; SURFACE:qoctholy]	[EXEMPLARWERT UNBEKANNT]	NONE	[EXEMPLAR:Presse den Saft durch ein Tuch]	1	LOOK_UP_OCCURRENCE_IN_MASTER_EXEMPLAR	NO__SINGLE_FIELD	NONCLOSE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	0.32	Technischer Pflanzenmaterial-Rivale: austretende Pflanzenflüssigkeit auffangen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Pflanzensaft, Tuch.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS	V69_R4_FORM__V73_OR_V74_OWNER_CONTENT__V78_SELECTION__V79_REPAIR
20	E020	HERBAL	H2	f10r	f10r.6	F003	H2-S001	b921a237be883a820352	dy	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	NO	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB; EXEMPLAR] > [OPAQUE_CARD:b921a237be883a820352; SURFACE:dy]	[EXEMPLARWERT UNBEKANNT]	NONE	[EXEMPLAR:Fange die erste Fraktion auf]	1	LOOK_UP_OCCURRENCE_IN_MASTER_EXEMPLAR	NO__SINGLE_FIELD	NONCLOSE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	0.29	Technischer Pflanzenmaterial-Rivale: Pressgut mit Wasser nachziehen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Fraktion.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS	V69_R4_FORM__V73_OR_V74_OWNER_CONTENT__V78_SELECTION__V79_REPAIR
21	E021	HERBAL	H2	f10r	f10r.6	F003	H2-S001	b921a237be883a820352	chy	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	NO	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB; EXEMPLAR] > [OPAQUE_CARD:b921a237be883a820352; SURFACE:chy]	[EXEMPLARWERT UNBEKANNT]	NONE	[EXEMPLAR:Gib Olivenöl hinzu]	1	LOOK_UP_OCCURRENCE_IN_MASTER_EXEMPLAR	NO__SINGLE_FIELD	NONCLOSE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	0.24	Technischer Pflanzenmaterial-Rivale: beide Flüssigkeiten zusammenführen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Olivenöl.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS	V69_R4_FORM__V73_OR_V74_OWNER_CONTENT__V78_SELECTION__V79_REPAIR
22	E022	HERBAL	H2	f10r	f10r.6	F003	H2-S001	2f1c5e56e8f0ff459065	taiin	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	NO	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB; EXEMPLAR] > [OPAQUE_CARD:2f1c5e56e8f0ff459065; SURFACE:taiin]	[FORMAL:FORMAL_PARAMETER_CHANNEL; KEIN WORT]	NONE	[EXEMPLAR:Nimm das örtlich vorgeschriebene Maß]	1	READ_FORMAL_CHANNEL	NO__SINGLE_FIELD	NONCLOSE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	0.46	Technischer Pflanzenmaterial-Rivale: Sollmenge für dem lokalen Posten buchen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Dosis.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS	V69_R4_FORM__V73_OR_V74_OWNER_CONTENT__V78_SELECTION__V79_REPAIR
23	E023	HERBAL	H2	f10r	f10r.6	F003	H2-S001	b921a237be883a820352	shy	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	NO	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB; EXEMPLAR] > [OPAQUE_CARD:b921a237be883a820352; SURFACE:shy]	[EXEMPLARWERT UNBEKANNT]	NONE	[EXEMPLAR:Erwärme gelinde]	1	LOOK_UP_OCCURRENCE_IN_MASTER_EXEMPLAR	NO__SINGLE_FIELD	NONCLOSE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	0.30	Technischer Pflanzenmaterial-Rivale: Pressrückstand als Nebenfraktion dem lokalen Posten markieren.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Wärme.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS	V69_R4_FORM__V73_OR_V74_OWNER_CONTENT__V78_SELECTION__V79_REPAIR
24	E024	HERBAL	H2	f10r	f10r.8	F004	H2-S002	10488b911aae52b3b334	qotchor	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	NO	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB; EXEMPLAR] > [OPAQUE_CARD:10488b911aae52b3b334; SURFACE:qotchor]	[EXEMPLARWERT UNBEKANNT]	NONE	[EXEMPLAR:Nimm vor voller Blüte eine zweite Portion der Spitzen]	1	LOOK_UP_OCCURRENCE_IN_MASTER_EXEMPLAR	NO__SINGLE_FIELD	NONCLOSE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	0.32	Technischer Pflanzenmaterial-Rivale: frühe Erntefraktion dem lokalen Posten eröffnen.	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an junge Spitzen; Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Erntezeit.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS	V69_R4_FORM__V73_OR_V74_OWNER_CONTENT__V78_SELECTION__V79_REPAIR
25	E025	HERBAL	H2	f10r	f10r.8	F004	H2-S002	7a4bb8136330ee4e6e56	chor	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	SAME_OWNER	NO	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB; EXEMPLAR] > [OPAQUE_CARD:7a4bb8136330ee4e6e56; SURFACE:chor]	[EXEMPLARWERT UNBEKANNT]	NONE	[EXEMPLAR:Führe den ersten Ansatz weiter]	1	LOOK_UP_OCCURRENCE_IN_MASTER_EXEMPLAR	NO__SINGLE_FIELD	NONCLOSE	HERBAL_ARTICLE_OR_RECEPTARIUM_ENTRY	0.46	Technischer Pflanzenmaterial-Rivale: dem lokalen Posten als aktiven Ansatz ansprechen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Arbeitsansatz.	EXACT_FORM_PLUS_OCCURRENCE_EXEMPLAR__NO_PORTABLE_CONTENT_GLOSS	V69_R4_FORM__V73_OR_V74_OWNER_CONTENT__V78_SELECTION__V79_REPAIR
