ledger_serial	unified_id	section	unit_id	page	formal_recovery_confidence	occurrence_content_confidence	portable_word_confidence	global_purpose_confidence	strongest_local_rival	strongest_local_contradiction	global_counterevidence	containment	status
15	P:E015	HERBAL	H2	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.36	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: Bildbesitzer H2 als Oberteil-Los dem lokalen Posten eröffnen.	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an junge Spitzen, Blütenstände, Blätter.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
16	P:E016	HERBAL	H2	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.46	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: Erntegut als verarbeitungsbereit markieren.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Erntezeit.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
17	P:E017	HERBAL	H2	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.46	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: gepresste Arbeitsflüssigkeit dem lokalen Posten als aktiven Ansatz führen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Arbeitsansatz.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
18	P:E018	HERBAL	H2	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.32	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: Stängel und obere Blätter grob quetschen.	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an Kraut.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
19	P:E019	HERBAL	H2	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.32	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: austretende Pflanzenflüssigkeit auffangen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Pflanzensaft, Tuch.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
20	P:E020	HERBAL	H2	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.29	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: Pressgut mit Wasser nachziehen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Fraktion.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
21	P:E021	HERBAL	H2	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.24	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: beide Flüssigkeiten zusammenführen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Olivenöl.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
22	P:E022	HERBAL	H2	f10r	HIGH__FROZEN_NONWORD_CHANNEL	0.46	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: Sollmenge für dem lokalen Posten buchen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Dosis.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
23	P:E023	HERBAL	H2	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.30	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: Pressrückstand als Nebenfraktion dem lokalen Posten markieren.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Wärme.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
24	P:E024	HERBAL	H2	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.32	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: frühe Erntefraktion dem lokalen Posten eröffnen.	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an junge Spitzen; Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Erntezeit.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
25	P:E025	HERBAL	H2	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.46	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: dem lokalen Posten als aktiven Ansatz ansprechen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Arbeitsansatz.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
26	P:E026	HERBAL	H2	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.31	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: eine Teilmenge dem lokalen Posten in ein Vergleichsgefäß geben.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Handvoll.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
27	P:E027	HERBAL	H2	f10r	MEDIUM__V79_OPERATIONAL_SELECTION__SEMANTIC_GLOSS_UNIDENTIFIED	0.46	OPTIONAL_MASTER_QUESTION_GLOSS_ONLY	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: formalen aktiven Link zwischen Vergleichsgefäß und laufender Charge setzen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Arbeitsansatz.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
28	P:E028	HERBAL	H2	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.46	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: vorige Charge dem lokalen Posten wieder aufnehmen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind vorheriger Posten.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
29	P:E029	HERBAL	H2	f10r	MEDIUM__V79_OPERATIONAL_SELECTION__SEMANTIC_GLOSS_UNIDENTIFIED	0.46	OPTIONAL_MASTER_QUESTION_GLOSS_ONLY	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: diese vorige Charge an Vergleich dem lokalen Posten verknüpfen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Arbeitsansatz.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
30	P:E030	HERBAL	H2	f10r	HIGH__FROZEN_NONWORD_CHANNEL	0.46	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: Sollmenge für dem lokalen Posten buchen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Dosis.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
31	P:E031	HERBAL	H2	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.32	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: frühe Fraktion vollständig mazerieren.	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an Fraktionen.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
32	P:E032	HERBAL	H2	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.25	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: späte Erntefraktion dem lokalen Posten eröffnen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind glasiertes Gefäß.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
33	P:E033	HERBAL	H2	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.46	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: dem lokalen Posten als ersten aktiven Ansatz führen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Salbenansatz.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
34	P:E034	HERBAL	H2	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.46	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: späte Teilcharge dem lokalen Posten als zweiten aktiven Ansatz führen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Salbenansatz.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
35	P:E035	HERBAL	H2	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.30	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: beide Ernteauszüge in getrennten Gefäßen umrühren.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Feuer.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
36	P:E036	HERBAL	H2	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.31	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: beide durch dasselbe Tuch seihen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Salbe.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
37	P:E037	HERBAL	H2	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.28	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: Farbe und Bodensatz als Vergleichsmerkmale notieren.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Vorratsgefäß.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
38	P:E038	HERBAL	H2	f10r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.18	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: Vergleichspaar dem lokalen Posten/dem lokalen Posten verschlossen lagern.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Geschwür, Schwellung.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
39	P:E039	HERBAL	H3	f11r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.32	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: Bildbesitzer H3 als Blüten-Kraut-Los dem lokalen Posten eröffnen.	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an Blüten, junge Blätter; Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Frühjahr.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
40	P:E040	HERBAL	H3	f11r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.25	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: junge oberirdische Teile sammeln.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Wein.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
41	P:E041	HERBAL	H3	f11r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.28	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: Blütenköpfe und Blätter in zwei Schalen sortieren.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Tuch.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
42	P:E042	HERBAL	H3	f11r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.29	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: Krautfraktion quetschen und in Wasser mazerieren.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Auszug.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
43	P:E043	HERBAL	H3	f11r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.28	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: Auszug zuerst grob, dann durch Tuch seihen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Tuch.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
44	P:E044	HERBAL	H3	f11r	HIGH_EXACT_IDENTITY__NO_FUNCTION_OR_CONTENT_ROLE	0.46	NONE	NEAR_TIE_236_TO_235__WORKING_LEAD_ONLY	Technischer Pflanzenmaterial-Rivale: Klarheitszustand des Filtrats dem lokalen Posten prüfen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Klarzustand.	No target-visible link makes the celestial instruments medical, and no exact three-section period witness was found.	KEEP_CONTENT_OCCURRENCE_BOUND__KEEP_FORMAL_AND_SEMANTIC_LAYERS_SEPARATE	OPEN_WORKING_THEORY_NOT_DECIPHERMENT
