candidate	shol	paragraph	grammar	operation	patient	second	engine_debts	diagnostic_open_ids	diagnostic_open_forms	interpretation	row_status
P	A	f22v|f22v.6-f22v.16	B	f22v.15:4	f22v.15:3	f22v.15:2				Independent gap display; unchanged parser debt field is not evidence of clean syntax	recorded
P	A	f22v|f22v.6-f22v.16	J	f22v.15:4	f22v.15:3	f22v.15:2				Independent gap display; unchanged parser debt field is not evidence of clean syntax	recorded
P	A	f22v|f22v.6-f22v.16	M	f22v.15:4	f22v.15:3	f22v.15:2				Independent gap display; unchanged parser debt field is not evidence of clean syntax	recorded
P	A	f32v.7-f32v.11	B	f32v.9:1	f32v.9:4		MISSING_RELATION_PARTNER	f32v.9:2;f32v.9:3	cfhy;skey	Independent gap display; unchanged parser debt field is not evidence of clean syntax	recorded
P	A	f32v.7-f32v.11	J	f32v.9:1	f32v.9:4		MISSING_RELATION_PARTNER	f32v.9:2;f32v.9:3	cfhy;skey	Independent gap display; unchanged parser debt field is not evidence of clean syntax	recorded
P	A	f32v.7-f32v.11	M	f32v.9:1	f32v.9:4		MISSING_RELATION_PARTNER	f32v.9:2;f32v.9:3	cfhy;skey	Independent gap display; unchanged parser debt field is not evidence of clean syntax	recorded
K	A	f22v|f22v.6-f22v.16	B	f22v.15:4	f22v.15:2	f22v.15:1	UNREAD_BETWEEN:f22v.15:3	f22v.15:3	chocthy	Independent gap display; unchanged parser debt field is not evidence of clean syntax	recorded
K	A	f22v|f22v.6-f22v.16	J	f22v.15:4	f22v.15:2	f22v.15:1	UNREAD_BETWEEN:f22v.15:3	f22v.15:3	chocthy	Independent gap display; unchanged parser debt field is not evidence of clean syntax	recorded
K	A	f22v|f22v.6-f22v.16	M	f22v.15:4	f22v.15:2	f22v.15:1	UNREAD_BETWEEN:f22v.15:3	f22v.15:3	chocthy	Independent gap display; unchanged parser debt field is not evidence of clean syntax	recorded
K	A	f32v.7-f32v.11	B	f32v.9:1	f32v.9:6		MISSING_RELATION_PARTNER	f32v.9:2;f32v.9:3;f32v.9:4	cfhy;skey;chocthy	Independent gap display; unchanged parser debt field is not evidence of clean syntax	recorded
K	A	f32v.7-f32v.11	J	f32v.9:1	f32v.9:6		MISSING_RELATION_PARTNER	f32v.9:2;f32v.9:3;f32v.9:4	cfhy;skey;chocthy	Independent gap display; unchanged parser debt field is not evidence of clean syntax	recorded
K	A	f32v.7-f32v.11	M	f32v.9:1	f32v.9:6		MISSING_RELATION_PARTNER	f32v.9:2;f32v.9:3;f32v.9:4	cfhy;skey;chocthy	Independent gap display; unchanged parser debt field is not evidence of clean syntax	recorded
PK	A	f22v|f22v.6-f22v.16	B	f22v.15:4	f22v.15:3	f22v.15:2				Independent gap display; unchanged parser debt field is not evidence of clean syntax	recorded
PK	A	f22v|f22v.6-f22v.16	J	f22v.15:4	f22v.15:3	f22v.15:2				Independent gap display; unchanged parser debt field is not evidence of clean syntax	recorded
PK	A	f22v|f22v.6-f22v.16	M	f22v.15:4	f22v.15:3	f22v.15:2				Independent gap display; unchanged parser debt field is not evidence of clean syntax	recorded
PK	A	f32v.7-f32v.11	B	f32v.9:1	f32v.9:4	f32v.9:6		f32v.9:2;f32v.9:3	cfhy;skey	Independent gap display; unchanged parser debt field is not evidence of clean syntax	recorded
PK	A	f32v.7-f32v.11	J	f32v.9:1	f32v.9:4	f32v.9:6		f32v.9:2;f32v.9:3	cfhy;skey	Independent gap display; unchanged parser debt field is not evidence of clean syntax	recorded
PK	A	f32v.7-f32v.11	M	f32v.9:1	f32v.9:4	f32v.9:6		f32v.9:2;f32v.9:3	cfhy;skey	Independent gap display; unchanged parser debt field is not evidence of clean syntax	recorded
