root	register	global_statement_id	physical_page	owner_de	event_count	surface_sequence	recipe_sequence	target_process_position	revised_literal_core_reading_de	reading_scope
S	HERBAL	G407-S016	f13r	große Wurzelkrone mit Blatt und Blütenstand	3	sotchy kchy okorory	S+OT+Y | K+Y | OK+OR+OR+Y	1/3	WÄHLEN · DANACH · POSTEN | GEBEN · POSTEN | SETZEN · EINHEIT · EINHEIT · POSTEN	FULL_STATEMENT__LOCAL_NOUNS_STILL_OWNER_SUPPLIED
S	BIOLOGICAL	G407-S169	f75r	großes Bad-/Stationsblatt mit dreieckiger Insel	1	sokeedy	S+OK+EE+DY	1/2	WÄHLEN · SETZEN · GRAD II · SCHLUSS	FULL_STATEMENT__LOCAL_NOUNS_STILL_OWNER_SUPPLIED
S	CELESTIAL	G407-S045	f67r2	zwei getrennte Himmelsräder und Tabelle	3	saiin ochol olol	S+AIIN | O+OL | OL+OL	1/1	WÄHLEN · WERT | AUSFÜHRUNG · FORTSETZEN | FORTSETZEN · FORTSETZEN	FULL_STATEMENT__LOCAL_NOUNS_STILL_OWNER_SUPPLIED
S	PHARMA	G407-S665	f88v	zweite Gefaess-/Zutatengruppe	4	saiin choky cheor shy	S+AIIN | OK+Y | CH+E+O+R | Y	1/4	WÄHLEN · WERT | SETZEN · POSTEN | NEHMEN · GRAD I · AUSFÜHRUNG · MARKIEREN | POSTEN	FULL_STATEMENT__LOCAL_NOUNS_STILL_OWNER_SUPPLIED
S	SOURCE_SECTION_T	G407-S002	f1r	F1R_TEXT_BLOCK_B	10	odar shol cphoy oydar sh s cfhoaiin shodary yshey shody	O+D_ADDR+AR | SH+OL | CH+P+O+Y | O+Y+D_ADDR+AR | SH | S | CH+LOCAL_CHAR_F+O+AIIN | SH+O+D_ADDR+AR+Y | Y+SH+E+Y | SH+O+DY	5/9	AUSFÜHRUNG · HIER · AUSGANG | HALTEN · FORTSETZEN | NEHMEN · EINSETZEN · AUSFÜHRUNG · POSTEN | AUSFÜHRUNG · POSTEN · HIER · AUSGANG | HALTEN | WÄHLEN | NEHMEN · HIER · AUSFÜHRUNG · WERT | HALTEN · AUSFÜHRUNG · HIER · AUSGANG · POSTEN | POSTEN · HALTEN · GRAD I · POSTEN | HALTEN · AUSFÜHRUNG · SCHLUSS	FULL_STATEMENT__LOCAL_NOUNS_STILL_OWNER_SUPPLIED
CHD	HERBAL	G407-S708	f95v	F95V_WHOLE_PLANT	1	okchedy	OK+CHD+DY	2/2	SETZEN · UMSETZEN · SCHLUSS	FULL_STATEMENT__LOCAL_NOUNS_STILL_OWNER_SUPPLIED
CHD	BIOLOGICAL	G407-S093	f75r	großes Bad-/Stationsblatt mit dreieckiger Insel	1	qokchdy	OK+CHD+DY	2/2	SETZEN · UMSETZEN · SCHLUSS	FULL_STATEMENT__LOCAL_NOUNS_STILL_OWNER_SUPPLIED
CHD	CELESTIAL	G407-S075	f72r	Tierkreis-Ringgruppe H	1	otochedy	OT+O+CHD+DY	1/1	DANACH · AUSFÜHRUNG · UMSETZEN · SCHLUSS	FULL_STATEMENT__LOCAL_NOUNS_STILL_OWNER_SUPPLIED
CHD	PHARMA	G407-S669	f89r	Gefäß-/Pflanzenteilgruppe B	14	tcheol qoeair sheol qocphey saiin cheocphey dal darolg om sheey qokey l daiin dalchom	T+CH+E+O+L | CARRIER_Q+O+E+AIR | SH+E+OL | CH+P+E+Y | S+AIIN | CH+CH+P+E+Y | AL | AR+OL | O+AM_ADDR | SH+EE+Y | OK+E+Y | L | AIIN | AL+CHD+DY	12/12	EINSTELLEN · NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG | BEGINNMARKER · AUSFÜHRUNG · GRAD I · BAHN | HALTEN · GRAD I · FORTSETZEN | NEHMEN · EINSETZEN · GRAD I · POSTEN | WÄHLEN · WERT | NEHMEN · NEHMEN · EINSETZEN · GRAD I · POSTEN | ZIELORT | AUSGANG · FORTSETZEN | AUSFÜHRUNG · HIER | HALTEN · GRAD II · POSTEN | SETZEN · GRAD I · POSTEN | VERBINDUNG | WERT | ZIELORT · UMSETZEN · SCHLUSS	FULL_STATEMENT__LOCAL_NOUNS_STILL_OWNER_SUPPLIED
CHD	SOURCE_SECTION_T	G407-S005	f1r	F1R_TEXT_BLOCK_C	88	ydain cphesaiin ols cphey ytain shoshy cphodal es oksho kshoy otairin oteol okan shodain sckhey daiin shoy ckhey kodaiin cphy cphodaiils cthey sho oldain d dain oiin chol odaiin chodain chdy okain dn cthy kod daiin shckhey eo r char shey kol chol chol kor chal sho chol shodan kshy kchy d or chodaiin sho koeam ycho tchey chekain sheo pshol dydyd cthy daiy yto shol she kodshey cphealy dar ain dain ckhyds dchar shcthaiin okaiir chey chy tol cthols dloo shok chor chey dain ckhey otol daiiin	Y+AIN | CH+P+E+S+AIIN | OL+S | CH+P+E+Y | Y+T+AIN | SH+O+SH+Y | CH+P+O+D_ADDR+AL | E+S | OK+SH+O | K+SH+O+Y | OT+AIR+IIN | OT+E+OL | OK+AN | SH+O+D_ADDR+AIN | S+CH+K+E+Y | AIIN | SH+O+Y | CH+K+E+Y | K+O+D_ADDR+AIIN | CH+P+Y | CH+P+O+D_ADDR+AIIN+L+S | CH+T+E+Y | SH+O | OL+AIN | D_ADDR | AIN | O+IIN | OL | O+D_ADDR+AIIN | CH+O+D_ADDR+AIN | CHD+Y | OK+AIN | D_ADDR+AN | CH+T+Y | K+O+D_ADDR | AIIN | SH+CH+K+E+Y | E+O | R | AR | SH+E+Y | K+OL | OL | OL | K+OR | CH+AL | SH+O | OL | SH+O+D_ADDR+AN | K+SH+Y | K+Y | D_ADDR | OR | CH+O+D_ADDR+AIIN | SH+O | K+O+E+AM_ADDR | Y+CH+O | T+CH+E+Y | CH+K+AIN | SH+E+O | P+SH+OL | Y+DY+D_LABEL | CH+T+Y | D_ADDR+A_ADDR+LOCAL_CHAR_I+Y | Y+T+O | SH+OL | SH+E | K+O+D_ADDR+SH+E+Y | CH+P+E+AL+Y | D_ADDR+AR | AIN | AIN | CH+K+Y+D_ADDR+S | D_ADDR+CH+AR | SH+CH+T+AIIN | OK+IIN+R | Y | Y | T+OL | CH+T+OL+S | D_ADDR+L+O+O | SH+OK | CH+OR | Y | AIN | CH+K+E+Y | OT+OL | DA+IIN	35/90	POSTEN · ANTEIL | NEHMEN · EINSETZEN · GRAD I · WÄHLEN · WERT | FORTSETZEN · WÄHLEN | NEHMEN · EINSETZEN · GRAD I · POSTEN | POSTEN · EINSTELLEN · ANTEIL | HALTEN · AUSFÜHRUNG · HALTEN · POSTEN | NEHMEN · EINSETZEN · AUSFÜHRUNG · HIER · ZIELORT | GRAD I · WÄHLEN | SETZEN · HALTEN · AUSFÜHRUNG | GEBEN · HALTEN · AUSFÜHRUNG · POSTEN | DANACH · BAHN · STUFE | DANACH · GRAD I · FORTSETZEN | SETZEN · KLASSE | HALTEN · AUSFÜHRUNG · HIER · ANTEIL | WÄHLEN · NEHMEN · GEBEN · GRAD I · POSTEN | WERT | HALTEN · AUSFÜHRUNG · POSTEN | NEHMEN · GEBEN · GRAD I · POSTEN | GEBEN · AUSFÜHRUNG · HIER · WERT | NEHMEN · EINSETZEN · POSTEN | NEHMEN · EINSETZEN · AUSFÜHRUNG · HIER · WERT · VERBINDUNG · WÄHLEN | NEHMEN · EINSTELLEN · GRAD I · POSTEN | HALTEN · AUSFÜHRUNG | FORTSETZEN · ANTEIL | HIER | ANTEIL | AUSFÜHRUNG · STUFE | FORTSETZEN | AUSFÜHRUNG · HIER · WERT | NEHMEN · AUSFÜHRUNG · HIER · ANTEIL | UMSETZEN · POSTEN | SETZEN · ANTEIL | HIER · KLASSE | NEHMEN · EINSTELLEN · POSTEN | GEBEN · AUSFÜHRUNG · HIER | WERT | HALTEN · NEHMEN · GEBEN · GRAD I · POSTEN | GRAD I · AUSFÜHRUNG | MARKIEREN | AUSGANG | HALTEN · GRAD I · POSTEN | GEBEN · FORTSETZEN | FORTSETZEN | FORTSETZEN | GEBEN · EINHEIT | NEHMEN · ZIELORT | HALTEN · AUSFÜHRUNG | FORTSETZEN | HALTEN · AUSFÜHRUNG · HIER · KLASSE | GEBEN · HALTEN · POSTEN | GEBEN · POSTEN | HIER | EINHEIT | NEHMEN · AUSFÜHRUNG · HIER · WERT | HALTEN · AUSFÜHRUNG | GEBEN · AUSFÜHRUNG · GRAD I · HIER | POSTEN · NEHMEN · AUSFÜHRUNG | EINSTELLEN · NEHMEN · GRAD I · POSTEN | NEHMEN · GEBEN · ANTEIL | HALTEN · GRAD I · AUSFÜHRUNG | EINSETZEN · HALTEN · FORTSETZEN | POSTEN · SCHLUSS · HIER | NEHMEN · EINSTELLEN · POSTEN | HIER · HIER · VARIANTE · POSTEN | POSTEN · EINSTELLEN · AUSFÜHRUNG | HALTEN · FORTSETZEN | HALTEN · GRAD I | GEBEN · AUSFÜHRUNG · HIER · HALTEN · GRAD I · POSTEN | NEHMEN · EINSETZEN · GRAD I · ZIELORT · POSTEN | HIER · AUSGANG | ANTEIL | ANTEIL | NEHMEN · GEBEN · POSTEN · HIER · WÄHLEN | HIER · NEHMEN · AUSGANG | HALTEN · NEHMEN · EINSTELLEN · WERT | SETZEN · STUFE · MARKIEREN | POSTEN | POSTEN | EINSTELLEN · FORTSETZEN | NEHMEN · EINSTELLEN · FORTSETZEN · WÄHLEN | HIER · VERBINDUNG · AUSFÜHRUNG · AUSFÜHRUNG | HALTEN · SETZEN | NEHMEN · EINHEIT | POSTEN | ANTEIL | NEHMEN · GEBEN · GRAD I · POSTEN | DANACH · FORTSETZEN | ZWEITE STUFE · STUFE	FULL_STATEMENT__LOCAL_NOUNS_STILL_OWNER_SUPPLIED
AIR	HERBAL	G407-S025	f18r	große abgebildete Blütenpflanze	1	pdrairdy	P+D_ADDR+R+AIR+DY	RELATION_TO_CH:5|K:2|T:1	EINSETZEN · HIER · MARKIEREN · BAHN · SCHLUSS	FULL_STATEMENT__LOCAL_NOUNS_STILL_OWNER_SUPPLIED
AIR	BIOLOGICAL	G407-S581	f83r	Variantenatlas lokaler Becken und Anwendungen	2	okair sheedy	OK+AIR | SH+EE+DY	RELATION_TO_OK:4|K:3|CHD:2	SETZEN · BAHN | HALTEN · GRAD II · SCHLUSS	FULL_STATEMENT__LOCAL_NOUNS_STILL_OWNER_SUPPLIED
AIR	CELESTIAL	G407-S046	f67r2	zwei getrennte Himmelsräder und Tabelle	7	dosar odas air alaiin dokan oear odal	D_ADDR+O+S+AR | O+DA+S | AIR | AL+AIIN | D_ADDR+OK+AN | O+E+AR | O+DA+L	RELATION_TO_K:2|S:1|P:1	HIER · AUSFÜHRUNG · WÄHLEN · AUSGANG | AUSFÜHRUNG · ZWEITE STUFE · WÄHLEN | BAHN | ZIELORT · WERT | HIER · SETZEN · KLASSE | AUSFÜHRUNG · GRAD I · AUSGANG | AUSFÜHRUNG · ZWEITE STUFE · VERBINDUNG	FULL_STATEMENT__LOCAL_NOUNS_STILL_OWNER_SUPPLIED
AIR	PHARMA	G407-S673	f89r	Gefäß-/Pflanzenteilgruppe D	4	qokcheody cheodal dair cholkeedy	OK+CH+E+O+R | CH+E+O+AL | D_ADDR+AIR | OL+K+EE+DY	RELATION_TO_OK:4|CH:3|S:2	SETZEN · NEHMEN · GRAD I · AUSFÜHRUNG · MARKIEREN | NEHMEN · GRAD I · AUSFÜHRUNG · ZIELORT | HIER · BAHN | FORTSETZEN · GEBEN · GRAD II · SCHLUSS	FULL_STATEMENT__LOCAL_NOUNS_STILL_OWNER_SUPPLIED
AIR	SOURCE_SECTION_T	G407-S001	f1r	F1R_TEXT_BLOCK_A	46	fachys ykal ar ataiin shol shory cthres y kor sholdy sory ckhar or y kair chtaiin shar ase cthar cthar dan syaiir sheky or ykaiin shod cthoary cthes daraiin sy soiin oteey oteos roloty cthiar daiin okaiin or okan sair y chear cthaiin cphar cfhaiin ydaraishy	LOCAL_CHAR_F+A_ADDR+CH+Y+S | Y+K+AL | AR | A_ADDR+T+AIIN | SH+OL | SH+OR+Y | CH+T+R+E+S | Y | K+OR | SH+OL+D_ADDR+Y | S+OR+Y | CH+K+AR | OR | Y | K+AIR | CH+T+AIIN | SH+AR | A_ADDR+S+E | CH+T+AR | CH+T+AR | AIN | S+Y+IIN+R | SH+E+K+Y | OR | Y+K+AIIN | SH+O+D_ADDR | CH+T+O+AR+Y | CH+T+E+S | D_ADDR+AR+AIIN | Y | S+O+IIN | OT+EE+Y | OT+E+O+S_ADDR | R+OL+OT+Y | CH+T+LOCAL_CHAR_I+AR | AIIN | OK+AIIN | OR | OK+AN | S+AIR | Y | CH+E+AR | CH+T+AIIN | CH+P+AR | CH+LOCAL_CHAR_F+AIIN | Y+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	RELATION_TO_K:1|S:1|SH:1	HIER · HIER · NEHMEN · POSTEN · WÄHLEN | POSTEN · GEBEN · ZIELORT | AUSGANG | HIER · EINSTELLEN · WERT | HALTEN · FORTSETZEN | HALTEN · EINHEIT · POSTEN | NEHMEN · EINSTELLEN · MARKIEREN · GRAD I · WÄHLEN | POSTEN | GEBEN · EINHEIT | HALTEN · FORTSETZEN · HIER · POSTEN | WÄHLEN · EINHEIT · POSTEN | NEHMEN · GEBEN · AUSGANG | EINHEIT | POSTEN | GEBEN · BAHN | NEHMEN · EINSTELLEN · WERT | HALTEN · AUSGANG | HIER · WÄHLEN · GRAD I | NEHMEN · EINSTELLEN · AUSGANG | NEHMEN · EINSTELLEN · AUSGANG | ANTEIL | WÄHLEN · POSTEN · STUFE · MARKIEREN | HALTEN · GRAD I · GEBEN · POSTEN | EINHEIT | POSTEN · GEBEN · WERT | HALTEN · AUSFÜHRUNG · HIER | NEHMEN · EINSTELLEN · AUSFÜHRUNG · AUSGANG · POSTEN | NEHMEN · EINSTELLEN · GRAD I · WÄHLEN | HIER · AUSGANG · WERT | POSTEN | WÄHLEN · AUSFÜHRUNG · STUFE | DANACH · GRAD II · POSTEN | DANACH · GRAD I · AUSFÜHRUNG · HIER | MARKIEREN · FORTSETZEN · DANACH · POSTEN | NEHMEN · EINSTELLEN · VARIANTE · AUSGANG | WERT | SETZEN · WERT | EINHEIT | SETZEN · KLASSE | WÄHLEN · BAHN | POSTEN | NEHMEN · GRAD I · AUSGANG | NEHMEN · EINSTELLEN · WERT | NEHMEN · EINSETZEN · AUSGANG | NEHMEN · HIER · WERT | POSTEN · HIER · AUSGANG · HIER · VARIANTE · HALTEN · POSTEN	FULL_STATEMENT__LOCAL_NOUNS_STILL_OWNER_SUPPLIED
