model	predicate	word	role	target	status
I0	f32v.10:1	sho	agent	IMPLICIT_ADDRESSEE:f32v	SHARED_IMPLICIT_AGENT
I0	f32v.10:1	sho	material	f32v.10:2	HYPOTHETICAL_TYPE_MATCH
I0	f32v.10:1	sho	recipient	f32v.9:6	HYPOTHETICAL_TOPIC_BINDING
D0	f32v.10:4	chol	bearer	f32v.10:3	HYPOTHETICAL_TOPIC_BINDING
I0	f32v.10:4	chol	agent	IMPLICIT_ADDRESSEE:f32v	SHARED_IMPLICIT_AGENT
I0	f32v.10:4	chol	material	f32v.10:3	HYPOTHETICAL_TOPIC_BINDING
D0	f32v.11:2	sho	bearer	f32v.10:8	HYPOTHETICAL_TOPIC_BINDING
D0	f32v.11:2	sho	content	f32v.11:3	HYPOTHETICAL_TYPE_MATCH
I0	f32v.11:2	sho	agent	IMPLICIT_ADDRESSEE:f32v	SHARED_IMPLICIT_AGENT
I0	f32v.11:2	sho	material	f32v.11:3	HYPOTHETICAL_TYPE_MATCH
I0	f32v.11:2	sho	recipient	f32v.10:8	HYPOTHETICAL_TOPIC_BINDING
D0	f29v.2:3	chol	bearer	f29v.2:1	HYPOTHETICAL_TOPIC_BINDING
I0	f29v.2:3	chol	agent	IMPLICIT_ADDRESSEE:f29v	SHARED_IMPLICIT_AGENT
I0	f29v.2:3	chol	material	f29v.2:1	HYPOTHETICAL_TOPIC_BINDING
D0	f29v.2:4	chol	bearer	f29v.2:1	HYPOTHETICAL_TOPIC_BINDING
I0	f29v.2:4	chol	agent	IMPLICIT_ADDRESSEE:f29v	SHARED_IMPLICIT_AGENT
I0	f29v.2:4	chol	material	f29v.2:1	HYPOTHETICAL_TOPIC_BINDING
D0	f29v.3:1	chol	bearer	f29v.2:8	HYPOTHETICAL_TOPIC_BINDING
I0	f29v.3:1	chol	agent	IMPLICIT_ADDRESSEE:f29v	SHARED_IMPLICIT_AGENT
I0	f29v.3:1	chol	material	f29v.2:8	HYPOTHETICAL_TOPIC_BINDING
D0	f29v.3:2	chol	bearer	f29v.2:8	HYPOTHETICAL_TOPIC_BINDING
I0	f29v.3:2	chol	agent	IMPLICIT_ADDRESSEE:f29v	SHARED_IMPLICIT_AGENT
I0	f29v.3:2	chol	material	f29v.2:8	HYPOTHETICAL_TOPIC_BINDING
D0	f29v.3:4	shey	bearer	f29v.2:8	HYPOTHETICAL_TOPIC_BINDING
I0	f29v.3:4	shey	agent	IMPLICIT_ADDRESSEE:f29v	SHARED_IMPLICIT_AGENT
I0	f29v.3:4	shey	material	f29v.2:8	HYPOTHETICAL_TOPIC_BINDING
D0	f29v.3:6	qotchy	material	f29v.3:5	HYPOTHETICAL_TOPIC_BINDING
D0	f29v.3:6	qotchy	location	f29v.3:7	HYPOTHETICAL_TYPE_MATCH
I0	f29v.3:6	qotchy	agent	IMPLICIT_ADDRESSEE:f29v	SHARED_IMPLICIT_AGENT
I0	f29v.3:6	qotchy	material	f29v.3:5	HYPOTHETICAL_TOPIC_BINDING
I0	f29v.3:6	qotchy	destination	f29v.3:7	HYPOTHETICAL_TYPE_MATCH
D0	f29v.4:8	sho	bearer	f29v.4:4	HYPOTHETICAL_TOPIC_BINDING
D0	f29v.4:8	sho	content	f29v.4:9	HYPOTHETICAL_TYPE_MATCH
I0	f29v.4:8	sho	agent	IMPLICIT_ADDRESSEE:f29v	SHARED_IMPLICIT_AGENT
I0	f29v.4:8	sho	material	f29v.4:9	HYPOTHETICAL_TYPE_MATCH
I0	f29v.4:8	sho	recipient	f29v.4:4	HYPOTHETICAL_TOPIC_BINDING
