seam_ordinal	statement_id	physical_page	register	left_event_id	right_event_id	direction	mixed_state_nonstate	state_endpoint_event_id	state_endpoint_changed	shared_action_contacts	shared_action_contact_count	full_action_frame_exact_before	full_action_frame_exact_after	action_head_exact_before	action_head_exact_after	left_gdt567_clause_de	right_gdt567_clause_de	left_action_voice_clause_de	right_action_voice_clause_de	guard
11	G407-S001	f1r	SOURCE_SECTION_T	G407-E0011	G407-E0012	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Wähle die Eintragseinheit und den laufenden Eintrag.	Entnimm den laufenden Eintrag [wie zuvor] und ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	Wähle die Eintragseinheit und den laufenden Eintrag.	Entnimm den laufenden Eintrag [wie zuvor] und ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
12	G407-S001	f1r	SOURCE_SECTION_T	G407-E0012	G407-E0013	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Entnimm den laufenden Eintrag [wie zuvor] und ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	Im laufenden Gang ordne die Eintragseinheit zu.	Entnimm den laufenden Eintrag [wie zuvor] und ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	Im laufenden Gang ordne die Eintragseinheit zu.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
13	G407-S001	f1r	SOURCE_SECTION_T	G407-E0013	G407-E0014	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Im laufenden Gang ordne die Eintragseinheit zu.	Im laufenden Gang ordne den laufenden Eintrag zu.	Im laufenden Gang ordne die Eintragseinheit zu.	Im laufenden Gang ordne den laufenden Eintrag zu.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
14	G407-S001	f1r	SOURCE_SECTION_T	G407-E0014	G407-E0015	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Im laufenden Gang ordne den laufenden Eintrag zu.	Ordne den laufenden Eintrag [wie zuvor] zu; entlang der Lesebahn.	Im laufenden Gang ordne den laufenden Eintrag zu.	Ordne den laufenden Eintrag [wie zuvor] zu; entlang der Lesebahn.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
15	G407-S001	f1r	SOURCE_SECTION_T	G407-E0015	G407-E0016	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Ordne den laufenden Eintrag [wie zuvor] zu; entlang der Lesebahn.	Entnimm den Kennwert und lege den Kennwert fest.	Ordne den laufenden Eintrag [wie zuvor] zu; entlang der Lesebahn.	Entnimm den Kennwert und lege den Kennwert fest.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
16	G407-S001	f1r	SOURCE_SECTION_T	G407-E0016	G407-E0017	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Entnimm den Kennwert und lege den Kennwert fest.	Halte den Kennwert [wie zuvor] fest; von der Ausgangszeile.	Entnimm den Kennwert und lege den Kennwert fest.	Halte den Kennwert [wie zuvor] fest; von der Ausgangszeile.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
17	G407-S001	f1r	SOURCE_SECTION_T	G407-E0017	G407-E0018	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Halte den Kennwert [wie zuvor] fest; von der Ausgangszeile.	Wähle den Kennwert [wie zuvor]; auf Grad I; an der bezeichneten Stelle.	Halte den Kennwert [wie zuvor] fest; von der Ausgangszeile.	Wähle den Kennwert [wie zuvor]; auf Grad I; an der bezeichneten Stelle.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
18	G407-S001	f1r	SOURCE_SECTION_T	G407-E0018	G407-E0019	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Wähle den Kennwert [wie zuvor]; auf Grad I; an der bezeichneten Stelle.	Entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest; von der Ausgangszeile.	Wähle den Kennwert [wie zuvor]; auf Grad I; an der bezeichneten Stelle.	Entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest; von der Ausgangszeile.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
19	G407-S001	f1r	SOURCE_SECTION_T	G407-E0019	G407-E0020	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest; von der Ausgangszeile.	Entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest; von der Ausgangszeile.	Entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest; von der Ausgangszeile.	Entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest; von der Ausgangszeile.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
20	G407-S001	f1r	SOURCE_SECTION_T	G407-E0020	G407-E0021	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest; von der Ausgangszeile.	Im laufenden Gang lege den Teilwert fest.	Entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest; von der Ausgangszeile.	Im laufenden Gang lege den Teilwert fest.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
21	G407-S001	f1r	SOURCE_SECTION_T	G407-E0021	G407-E0022	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Im laufenden Gang lege den Teilwert fest.	Wähle den laufenden Eintrag und kennzeichne den laufenden Eintrag; auf der bezeichneten Stufe.	Im laufenden Gang lege den Teilwert fest.	Wähle den laufenden Eintrag und kennzeichne den laufenden Eintrag; auf der bezeichneten Stufe.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
22	G407-S001	f1r	SOURCE_SECTION_T	G407-E0022	G407-E0023	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Wähle den laufenden Eintrag und kennzeichne den laufenden Eintrag; auf der bezeichneten Stufe.	Halte den laufenden Eintrag fest und ordne den laufenden Eintrag zu; auf Grad I.	Wähle den laufenden Eintrag und kennzeichne den laufenden Eintrag; auf der bezeichneten Stufe.	Halte den laufenden Eintrag fest und ordne den laufenden Eintrag zu; auf Grad I.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
23	G407-S001	f1r	SOURCE_SECTION_T	G407-E0023	G407-E0024	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Halte den laufenden Eintrag fest und ordne den laufenden Eintrag zu; auf Grad I.	Im laufenden Gang ordne die Eintragseinheit zu.	Halte den laufenden Eintrag fest und ordne den laufenden Eintrag zu; auf Grad I.	Im laufenden Gang ordne die Eintragseinheit zu.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
24	G407-S001	f1r	SOURCE_SECTION_T	G407-E0024	G407-E0025	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Im laufenden Gang ordne die Eintragseinheit zu.	Ordne den laufenden Eintrag und den Kennwert zu.	Im laufenden Gang ordne die Eintragseinheit zu.	Ordne den laufenden Eintrag und den Kennwert zu.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
25	G407-S001	f1r	SOURCE_SECTION_T	G407-E0025	G407-E0026	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Ordne den laufenden Eintrag und den Kennwert zu.	Halte den Kennwert [wie zuvor] fest; als Ausführung; an der bezeichneten Stelle.	Ordne den laufenden Eintrag und den Kennwert zu.	Halte den Kennwert [wie zuvor] fest; als Ausführung; an der bezeichneten Stelle.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
26	G407-S001	f1r	SOURCE_SECTION_T	G407-E0026	G407-E0027	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Halte den Kennwert [wie zuvor] fest; als Ausführung; an der bezeichneten Stelle.	Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; von der Ausgangszeile; als Ausführung.	Halte den Kennwert [wie zuvor] fest; als Ausführung; an der bezeichneten Stelle.	Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; von der Ausgangszeile; als Ausführung.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
27	G407-S001	f1r	SOURCE_SECTION_T	G407-E0027	G407-E0028	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; von der Ausgangszeile; als Ausführung.	Entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest und wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	Entnimm den laufenden Eintrag und lege den laufenden Eintrag fest; von der Ausgangszeile; als Ausführung.	Entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest und wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
28	G407-S001	f1r	SOURCE_SECTION_T	G407-E0028	G407-E0029	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest und wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	Im laufenden Gang wähle den Kennwert; von der Ausgangszeile; an der bezeichneten Stelle.	Entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest und wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	Im laufenden Gang wähle den Kennwert; von der Ausgangszeile; an der bezeichneten Stelle.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
29	G407-S001	f1r	SOURCE_SECTION_T	G407-E0029	G407-E0030	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Im laufenden Gang wähle den Kennwert; von der Ausgangszeile; an der bezeichneten Stelle.	Im laufenden Gang wähle den laufenden Eintrag.	Im laufenden Gang wähle den Kennwert; von der Ausgangszeile; an der bezeichneten Stelle.	Im laufenden Gang wähle den laufenden Eintrag.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
30	G407-S001	f1r	SOURCE_SECTION_T	G407-E0030	G407-E0031	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Im laufenden Gang wähle den laufenden Eintrag.	Wähle den laufenden Eintrag [wie zuvor]; als Ausführung und auf der bezeichneten Stufe.	Im laufenden Gang wähle den laufenden Eintrag.	Wähle den laufenden Eintrag [wie zuvor]; als Ausführung und auf der bezeichneten Stufe.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
31	G407-S001	f1r	SOURCE_SECTION_T	G407-E0031	G407-E0032	NONSTATE_TO_STATE	YES	G407-E0032	NO	S:wähle	1	1	1	1	1	Wähle den laufenden Eintrag [wie zuvor]; als Ausführung und auf der bezeichneten Stufe.	Danach: wähle den laufenden Eintrag; auf Grad II.	Wähle den laufenden Eintrag [wie zuvor]; als Ausführung und auf der bezeichneten Stufe.	Danach: wähle den laufenden Eintrag; auf Grad II.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
32	G407-S001	f1r	SOURCE_SECTION_T	G407-E0032	G407-E0033	STATE_TO_STATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Danach: wähle den laufenden Eintrag; auf Grad II.	Danach: wähle den laufenden Eintrag; auf Grad I; zur Ausführung; an der bezeichneten Stelle.	Danach: wähle den laufenden Eintrag; auf Grad II.	Danach: wähle den laufenden Eintrag; auf Grad I; zur Ausführung; an der bezeichneten Stelle.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
33	G407-S001	f1r	SOURCE_SECTION_T	G407-E0033	G407-E0034	STATE_TO_STATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Danach: wähle den laufenden Eintrag; auf Grad I; zur Ausführung; an der bezeichneten Stelle.	Weiter: markiere den laufenden Eintrag; danach nächsten Gang eröffnen.	Danach: wähle den laufenden Eintrag; auf Grad I; zur Ausführung; an der bezeichneten Stelle.	Weiter: kennzeichne den laufenden Eintrag; danach nächsten Gang eröffnen.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
34	G407-S001	f1r	SOURCE_SECTION_T	G407-E0034	G407-E0035	STATE_TO_NONSTATE	YES	G407-E0034	YES	NONE	0	0	0	0	0	Weiter: markiere den laufenden Eintrag; danach nächsten Gang eröffnen.	Entnimm den laufenden Eintrag [wie zuvor] und lege den laufenden Eintrag [wie zuvor] fest; von der Ausgangszeile; mit der lokalen Variante.	Weiter: kennzeichne den laufenden Eintrag; danach nächsten Gang eröffnen.	Entnimm den laufenden Eintrag [wie zuvor] und lege den laufenden Eintrag [wie zuvor] fest; von der Ausgangszeile; mit der lokalen Variante.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
35	G407-S001	f1r	SOURCE_SECTION_T	G407-E0035	G407-E0036	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Entnimm den laufenden Eintrag [wie zuvor] und lege den laufenden Eintrag [wie zuvor] fest; von der Ausgangszeile; mit der lokalen Variante.	Im laufenden Gang lege den Kennwert fest.	Entnimm den laufenden Eintrag [wie zuvor] und lege den laufenden Eintrag [wie zuvor] fest; von der Ausgangszeile; mit der lokalen Variante.	Im laufenden Gang lege den Kennwert fest.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
36	G407-S001	f1r	SOURCE_SECTION_T	G407-E0036	G407-E0037	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Im laufenden Gang lege den Kennwert fest.	Trage den Kennwert ein.	Im laufenden Gang lege den Kennwert fest.	Trage den Kennwert ein.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
37	G407-S001	f1r	SOURCE_SECTION_T	G407-E0037	G407-E0038	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Trage den Kennwert ein.	Im laufenden Gang trage die Eintragseinheit ein.	Trage den Kennwert ein.	Im laufenden Gang trage die Eintragseinheit ein.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
38	G407-S001	f1r	SOURCE_SECTION_T	G407-E0038	G407-E0039	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Im laufenden Gang trage die Eintragseinheit ein.	Trage die Eintragseinheit [wie zuvor] ein; in der bezeichneten Klasse.	Im laufenden Gang trage die Eintragseinheit ein.	Trage die Eintragseinheit [wie zuvor] ein; in der bezeichneten Klasse.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
39	G407-S001	f1r	SOURCE_SECTION_T	G407-E0039	G407-E0040	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Trage die Eintragseinheit [wie zuvor] ein; in der bezeichneten Klasse.	Wähle die Eintragseinheit [wie zuvor]; entlang der Lesebahn.	Trage die Eintragseinheit [wie zuvor] ein; in der bezeichneten Klasse.	Wähle die Eintragseinheit [wie zuvor]; entlang der Lesebahn.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
40	G407-S001	f1r	SOURCE_SECTION_T	G407-E0040	G407-E0041	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Wähle die Eintragseinheit [wie zuvor]; entlang der Lesebahn.	Im laufenden Gang wähle den laufenden Eintrag.	Wähle die Eintragseinheit [wie zuvor]; entlang der Lesebahn.	Im laufenden Gang wähle den laufenden Eintrag.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
41	G407-S001	f1r	SOURCE_SECTION_T	G407-E0041	G407-E0042	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Im laufenden Gang wähle den laufenden Eintrag.	Entnimm den laufenden Eintrag [wie zuvor]; von der Ausgangszeile; auf Grad I.	Im laufenden Gang wähle den laufenden Eintrag.	Entnimm den laufenden Eintrag [wie zuvor]; von der Ausgangszeile; auf Grad I.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
42	G407-S001	f1r	SOURCE_SECTION_T	G407-E0042	G407-E0043	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Entnimm den laufenden Eintrag [wie zuvor]; von der Ausgangszeile; auf Grad I.	Entnimm den Kennwert und lege den Kennwert fest.	Entnimm den laufenden Eintrag [wie zuvor]; von der Ausgangszeile; auf Grad I.	Entnimm den Kennwert und lege den Kennwert fest.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
43	G407-S001	f1r	SOURCE_SECTION_T	G407-E0043	G407-E0044	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Entnimm den Kennwert und lege den Kennwert fest.	Entnimm den Kennwert [wie zuvor] und setze den Kennwert [wie zuvor] ein; von der Ausgangszeile.	Entnimm den Kennwert und lege den Kennwert fest.	Entnimm den Kennwert [wie zuvor] und setze den Kennwert [wie zuvor] ein; von der Ausgangszeile.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
44	G407-S001	f1r	SOURCE_SECTION_T	G407-E0044	G407-E0045	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Entnimm den Kennwert [wie zuvor] und setze den Kennwert [wie zuvor] ein; von der Ausgangszeile.	Entnimm den Kennwert; an der bezeichneten Stelle.	Entnimm den Kennwert [wie zuvor] und setze den Kennwert [wie zuvor] ein; von der Ausgangszeile.	Entnimm den Kennwert; an der bezeichneten Stelle.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
45	G407-S001	f1r	SOURCE_SECTION_T	G407-E0045	G407-E0046	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Entnimm den Kennwert; an der bezeichneten Stelle.	Halte den laufenden Eintrag [außen] und den laufenden Eintrag [innen] fest; von der Ausgangszeile; an der bezeichneten Stelle, an der bezeichneten Stelle und mit der lokalen Variante.	Entnimm den Kennwert; an der bezeichneten Stelle.	Halte den laufenden Eintrag [außen] und den laufenden Eintrag [innen] fest; von der Ausgangszeile; an der bezeichneten Stelle, an der bezeichneten Stelle und mit der lokalen Variante.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
46	G407-S002	f1r	SOURCE_SECTION_T	G407-E0047	G407-E0048	NONSTATE_TO_STATE	YES	G407-E0048	YES	NONE	0	0	0	0	0	Von der Ausgangszeile; als Ausführung; an der bezeichneten Stelle.	Weiter: halte.	Von der Ausgangszeile; als Ausführung; an der bezeichneten Stelle.	Weiter: halte fest.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
47	G407-S002	f1r	SOURCE_SECTION_T	G407-E0048	G407-E0049	STATE_TO_NONSTATE	YES	G407-E0048	YES	NONE	0	0	0	0	0	Weiter: halte.	Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein; als Ausführung.	Weiter: halte fest.	Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein; als Ausführung.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
48	G407-S002	f1r	SOURCE_SECTION_T	G407-E0049	G407-E0050	NONSTATE_TO_NONSTATE	NO	NOT_APPLICABLE	NOT_APPLICABLE	NONE	0	0	0	0	0	Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein; als Ausführung.	Im laufenden Gang setze den laufenden Eintrag ein; von der Ausgangszeile; als Ausführung; an der bezeichneten Stelle.	Entnimm den laufenden Eintrag und setze den laufenden Eintrag ein; als Ausführung.	Im laufenden Gang setze den laufenden Eintrag ein; von der Ausgangszeile; als Ausführung; an der bezeichneten Stelle.	ADJACENCY_ONLY__ACTION_FRAME_DOES_NOT_MERGE_EVENTS
