register_action_cell_id	register	action_root	action_voice_card_id	portable_default_de	gdt415_owner_local_expansion_de	generic_with_argument_de	owner_with_argument_de	target_action_head_de	frame_already_exact	action_head_already_exact	state_event_count	state_action_occurrence_count	owner_bound_target_head_support_count	gdt415_source_event_count	guard
GDT568-C18	HERBAL	P	GDT568-A20	EINSETZEN	MATERIAL EINSETZEN	setze {argument} ein	setze {argument} ein	setze	YES	YES	11	11	11	33	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C19	CELESTIAL	OK	GDT568-A03	SETZEN	POSITION SETZEN	setze {argument}	setze {argument}	setze	YES	YES	34	34	34	76	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C20	CELESTIAL	CH	GDT568-A08	NEHMEN	POSITION AUFNEHMEN	nimm {argument}	nimm {argument} auf	nimm	NO	YES	34	35	34	92	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C21	CELESTIAL	SH	GDT568-A10	HALTEN	POSITION HALTEN	halte {argument}	halte {argument}	halte	YES	YES	19	19	19	46	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C22	CELESTIAL	K	GDT568-A11	GEBEN	WERT ZUORDNEN	gib {argument}	ordne {argument} zu	ordne	NO	NO	22	23	22	46	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C23	CELESTIAL	S	GDT568-A14	WÄHLEN	POSITION WÄHLEN	wähle {argument}	wähle {argument}	wähle	YES	YES	22	22	22	53	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C24	CELESTIAL	CHD	GDT568-A15	BEARBEITEN	EINTRAG BEARBEITEN	bearbeite {argument}	bearbeite {argument}	bearbeite	YES	YES	4	4	4	7	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C25	CELESTIAL	T	GDT568-A17	EINSTELLEN	WERT EINSTELLEN	stelle {argument} ein	stelle {argument} ein	stelle	YES	YES	16	16	16	38	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C26	CELESTIAL	R	GDT568-A19	MARKIEREN	POSITION MARKIEREN	markiere {argument}	markiere {argument}	markiere	YES	YES	1	1	1	14	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C27	CELESTIAL	P	GDT568-A20	EINSETZEN	EINTRAG EINSETZEN	setze {argument} ein	setze {argument} ein	setze	YES	YES	7	7	7	15	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C28	BIOLOGICAL	OK	GDT568-A04	SETZEN	STATIONSGANG ANSETZEN	setze {argument}	setze {argument} im Stationsgang an	setze	NO	YES	289	289	289	482	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C29	BIOLOGICAL	CH	GDT568-A06	NEHMEN	POSTEN ENTNEHMEN	nimm {argument}	entnimm {argument}	entnimm	NO	NO	57	62	57	255	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C30	BIOLOGICAL	SH	GDT568-A10	HALTEN	POSTEN HALTEN	halte {argument}	halte {argument}	halte	YES	YES	282	282	282	397	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C31	BIOLOGICAL	K	GDT568-A13	GEBEN	POSTEN ZUFÜHREN	gib {argument}	führe {argument} zu	führe	NO	NO	118	118	118	236	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C32	BIOLOGICAL	S	GDT568-A14	WÄHLEN	STATION WÄHLEN	wähle {argument}	wähle {argument}	wähle	YES	YES	47	48	47	133	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C33	BIOLOGICAL	CHD	GDT568-A15	BEARBEITEN	POSTEN BEARBEITEN	bearbeite {argument}	bearbeite {argument}	bearbeite	YES	YES	154	154	154	259	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C34	BIOLOGICAL	T	GDT568-A17	EINSTELLEN	STATIONSWERT EINSTELLEN	stelle {argument} ein	stelle {argument} ein	stelle	YES	YES	40	40	40	105	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C35	BIOLOGICAL	R	GDT568-A19	MARKIEREN	STATION MARKIEREN	markiere {argument}	markiere {argument}	markiere	YES	YES	14	14	14	61	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C36	BIOLOGICAL	P	GDT568-A20	EINSETZEN	POSTEN EINSETZEN	setze {argument} ein	setze {argument} ein	setze	YES	YES	48	48	48	84	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C37	PHARMA	OK	GDT568-A05	SETZEN	ANSATZ ANSETZEN	setze {argument}	setze {argument} als Ansatz an	setze	NO	YES	35	35	35	86	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C38	PHARMA	CH	GDT568-A07	NEHMEN	DROGENPOSTEN NEHMEN	nimm {argument}	nimm {argument}	nimm	YES	YES	43	45	43	151	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C39	PHARMA	SH	GDT568-A10	HALTEN	ANSATZ HALTEN	halte {argument}	halte {argument}	halte	YES	YES	25	25	25	57	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C40	PHARMA	K	GDT568-A12	GEBEN	ZUTAT ZUGEBEN	gib {argument}	gib {argument} zu	gib	NO	YES	24	24	24	69	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C41	PHARMA	S	GDT568-A14	WÄHLEN	DROGENPOSTEN WÄHLEN	wähle {argument}	wähle {argument}	wähle	YES	YES	12	12	12	48	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C42	PHARMA	CHD	GDT568-A15	BEARBEITEN	ANSATZ BEARBEITEN	bearbeite {argument}	bearbeite {argument}	bearbeite	YES	YES	4	4	4	5	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C43	PHARMA	T	GDT568-A17	EINSTELLEN	ANSATZWERT EINSTELLEN	stelle {argument} ein	stelle {argument} ein	stelle	YES	YES	9	9	9	22	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C44	PHARMA	R	GDT568-A19	MARKIEREN	POSTEN MARKIEREN	markiere {argument}	markiere {argument}	markiere	YES	YES	6	6	6	19	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
GDT568-C45	PHARMA	P	GDT568-A20	EINSETZEN	ZUTAT EINSETZEN	setze {argument} ein	setze {argument} ein	setze	YES	YES	10	10	10	17	REGISTER_CELL_OBSERVED_IN_GDT415__STATE_APPLICATION_SEPARATE
