state_edition_ordinal	event_id	statement_id	physical_page	register	owner_id	surface	final_context_recipe	gdt567_owner_voice_clause_de	action_voice_working_clause_de	owner_bound_control_clause_de	generic_action_chain_de	owner_action_chain_de	action_voice_changed	action_voice_equals_owner_bound	action_voice_card_count	action_voice_card_ids	state_atom_alignment	guard	effective_action_roots	action_topology	effective_argument_roots
11	G407-E0071	G407-S004	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_B	teody	T+E+O+DY	Stelle den Teilwert ein; auf Grad I; zur Ausführung; schließe den Schritt.	Lege den Teilwert fest; auf Grad I; zur Ausführung; schließe den Schritt.	Lege den Teilwert [wie zuvor] fest; auf Grad I und als Ausführung; schließe den Schritt.	stelle den Teilwert ein	lege den Teilwert fest	YES	NO	1	GDT568-A16	1:T=einstellen | 2:E=auf Grad I | 3:O=zur Ausführung | 4:DY=abschließen	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	T	A	AIN
12	G407-E0074	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	ols	OL+S	Weiter: wähle den Kennwert.	Weiter: wähle den Kennwert.	Weiter wähle den Kennwert [wie zuvor].	wähle den Kennwert	wähle den Kennwert	NO	NO	1	GDT568-A14	1:OL=weiter | 2:S=wählen	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	S	A	AIIN
13	G407-E0082	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	otairin	OT+AIR+IIN	Danach: halte den laufenden Eintrag; entlang der Lesebahn; auf der Stufe.	Danach: halte den laufenden Eintrag fest; entlang der Lesebahn; auf der Stufe.	Danach im laufenden Gang halte den laufenden Eintrag [wie zuvor] fest; entlang der Lesebahn; auf der bezeichneten Stufe.	halte den laufenden Eintrag	halte den laufenden Eintrag fest	YES	NO	1	GDT568-A09	1:OT=danach | 2:AIR=entlang der Bahn | 3:IIN=auf der Stufe	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	SH	A	Y
14	G407-E0083	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	oteol	OT+E+OL	Danach: halte den laufenden Eintrag; auf Grad I; weiterführen.	Danach: halte den laufenden Eintrag fest; auf Grad I; weiterführen.	Danach und weiter im laufenden Gang halte den laufenden Eintrag [wie zuvor] fest; auf Grad I.	halte den laufenden Eintrag	halte den laufenden Eintrag fest	YES	NO	1	GDT568-A09	1:OT=danach | 2:E=auf Grad I | 3:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	SH	A	Y
15	G407-E0095	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	oldain	OL+AIN	Weiter: halte den Teilwert.	Weiter: halte den Teilwert fest.	Weiter im laufenden Gang halte den Teilwert fest.	halte den Teilwert	halte den Teilwert fest	YES	NO	1	GDT568-A09	1:OL=weiter | 2:AIN=den Anteil	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	SH	A	AIN
16	G407-E0099	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	chol	OL	Weiter: halte den Teilwert.	Weiter: halte den Teilwert fest.	Weiter im laufenden Gang halte den Teilwert [wie zuvor] fest.	halte den Teilwert	halte den Teilwert fest	YES	NO	1	GDT568-A09	1:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	SH	A	AIN
17	G407-E0113	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	kol	K+OL	Weiter: gib den laufenden Eintrag.	Weiter: ordne den laufenden Eintrag zu.	Weiter ordne den laufenden Eintrag [wie zuvor] zu.	gib den laufenden Eintrag	ordne den laufenden Eintrag zu	YES	NO	1	GDT568-A11	1:K=geben | 2:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	K	A	Y
18	G407-E0114	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	chol	OL	Weiter: gib den laufenden Eintrag.	Weiter: ordne den laufenden Eintrag zu.	Weiter im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu.	gib den laufenden Eintrag	ordne den laufenden Eintrag zu	YES	NO	1	GDT568-A11	1:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	K	A	Y
19	G407-E0115	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	chol	OL	Weiter: gib den laufenden Eintrag.	Weiter: ordne den laufenden Eintrag zu.	Weiter im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu.	gib den laufenden Eintrag	ordne den laufenden Eintrag zu	YES	NO	1	GDT568-A11	1:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	K	A	Y
20	G407-E0119	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	chol	OL	Weiter: halte die Eintragseinheit.	Weiter: halte die Eintragseinheit fest.	Weiter im laufenden Gang halte die Eintragseinheit [wie zuvor] fest.	halte die Eintragseinheit	halte die Eintragseinheit fest	YES	NO	1	GDT568-A09	1:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	SH	A	OR
21	G407-E0132	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	pshol	P+SH+OL	Weiter: setze den Teilwert ein und halte den Teilwert.	Weiter: setze den Teilwert ein und halte den Teilwert fest.	Weiter setze den Teilwert [wie zuvor] ein und halte den Teilwert [wie zuvor] fest.	setze den Teilwert ein und halte den Teilwert	setze den Teilwert ein und halte den Teilwert fest	YES	NO	2	GDT568-A20|GDT568-A09	1:P=einsetzen | 2:SH=halten | 3:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	P|SH	A+A	AIN
22	G407-E0133	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	dydyd	Y+DY+D_LABEL	Halte den laufenden Eintrag; an der bezeichneten Stelle; schließe den Schritt.	Halte den laufenden Eintrag fest; an der bezeichneten Stelle; schließe den Schritt.	Im laufenden Gang halte den laufenden Eintrag fest; an der bezeichneten Stelle; schließe den Schritt.	halte den laufenden Eintrag	halte den laufenden Eintrag fest	YES	NO	1	GDT568-A09	1:Y=den Posten | 2:DY=abschließen | 3:D_LABEL=hier	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	SH	A	Y
23	G407-E0137	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	shol	SH+OL	Weiter: halte den laufenden Eintrag.	Weiter: halte den laufenden Eintrag fest.	Weiter halte den laufenden Eintrag [wie zuvor] fest.	halte den laufenden Eintrag	halte den laufenden Eintrag fest	YES	NO	1	GDT568-A09	1:SH=halten | 2:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	SH	A	Y
24	G407-E0150	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	tol	T+OL	Weiter: stelle den laufenden Eintrag ein.	Weiter: lege den laufenden Eintrag fest.	Weiter lege den laufenden Eintrag [wie zuvor] fest.	stelle den laufenden Eintrag ein	lege den laufenden Eintrag fest	YES	NO	1	GDT568-A16	1:T=einstellen | 2:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	T	A	Y
25	G407-E0151	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	cthols	CH+T+OL+S	Weiter: nimm den laufenden Eintrag und stelle den laufenden Eintrag ein und wähle den laufenden Eintrag.	Weiter: entnimm den laufenden Eintrag und lege den laufenden Eintrag fest und wähle den laufenden Eintrag.	Weiter entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest und wähle den laufenden Eintrag [wie zuvor].	nimm den laufenden Eintrag und stelle den laufenden Eintrag ein und wähle den laufenden Eintrag	entnimm den laufenden Eintrag und lege den laufenden Eintrag fest und wähle den laufenden Eintrag	YES	NO	3	GDT568-A06|GDT568-A16|GDT568-A14	1:CH=nehmen | 2:T=einstellen | 3:OL=weiter | 4:S=wählen	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	CH|T|S	A+A+A	Y
26	G407-E0158	G407-S005	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	otol	OT+OL	Danach: gib den laufenden Eintrag; weiterführen.	Danach: ordne den laufenden Eintrag zu; weiterführen.	Danach und weiter im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu.	gib den laufenden Eintrag	ordne den laufenden Eintrag zu	YES	NO	1	GDT568-A11	1:OT=danach | 2:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	K	A	Y
27	G407-E0163	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	chol	OL	Weiter: nimm den laufenden Eintrag.	Weiter: entnimm den laufenden Eintrag.	Weiter im laufenden Gang entnimm den laufenden Eintrag [wie zuvor].	nimm den laufenden Eintrag	entnimm den laufenden Eintrag	YES	NO	1	GDT568-A06	1:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	CH	A	Y
28	G407-E0171	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	chol	OL	Weiter: markiere den laufenden Eintrag.	Weiter: kennzeichne den laufenden Eintrag.	Weiter im laufenden Gang kennzeichne den laufenden Eintrag [wie zuvor].	markiere den laufenden Eintrag	kennzeichne den laufenden Eintrag	YES	NO	1	GDT568-A18	1:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	R	A	Y
29	G407-E0184	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	okol	OK+OL	Weiter: setze den Kennwert.	Weiter: trage den Kennwert ein.	Weiter trage den Kennwert [wie zuvor] ein.	setze den Kennwert	trage den Kennwert ein	YES	NO	1	GDT568-A01	1:OK=setzen | 2:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	OK	A	AIIN
30	G407-E0187	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	cthol	CH+T+OL	Weiter: nimm den Kennwert und stelle den Kennwert ein.	Weiter: entnimm den Kennwert und lege den Kennwert fest.	Weiter entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest.	nimm den Kennwert und stelle den Kennwert ein	entnimm den Kennwert und lege den Kennwert fest	YES	NO	2	GDT568-A06|GDT568-A16	1:CH=nehmen | 2:T=einstellen | 3:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	CH|T	A+A	AIIN
31	G407-E0189	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	ctholdar	CH+T+OL+D_ADDR+AR	Weiter: nimm den Kennwert und stelle den Kennwert ein; an der bezeichneten Stelle; von der Ausgangszeile.	Weiter: entnimm den Kennwert und lege den Kennwert fest; an der bezeichneten Stelle; von der Ausgangszeile.	Weiter entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest; von der Ausgangszeile; an der bezeichneten Stelle.	nimm den Kennwert und stelle den Kennwert ein	entnimm den Kennwert und lege den Kennwert fest	YES	NO	2	GDT568-A06|GDT568-A16	1:CH=nehmen | 2:T=einstellen | 3:OL=weiter | 4:D_ADDR=hier | 5:AR=vom Ausgang	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	CH|T	A+A	AIIN
32	G407-E0196	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	ochol	O+OL	Weiter: setze den Kennwert; zur Ausführung.	Weiter: trage den Kennwert ein; zur Ausführung.	Weiter im laufenden Gang trage den Kennwert [wie zuvor] ein; als Ausführung.	setze den Kennwert	trage den Kennwert ein	YES	NO	1	GDT568-A01	1:O=zur Ausführung | 2:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	OK	A	AIIN
33	G407-E0200	G407-S006	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	shody	SH+O+DY	Halte den laufenden Eintrag; zur Ausführung; schließe den Schritt.	Halte den laufenden Eintrag fest; zur Ausführung; schließe den Schritt.	Halte den laufenden Eintrag [wie zuvor] fest; als Ausführung; schließe den Schritt.	halte den laufenden Eintrag	halte den laufenden Eintrag fest	YES	NO	1	GDT568-A09	1:SH=halten | 2:O=zur Ausführung | 3:DY=abschließen	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	SH	A	Y
34	G407-E0210	G407-S007	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	chol	OL	Weiter: stelle die Eintragseinheit ein.	Weiter: lege die Eintragseinheit fest.	Weiter im laufenden Gang lege die Eintragseinheit [wie zuvor] fest.	stelle die Eintragseinheit ein	lege die Eintragseinheit fest	YES	NO	1	GDT568-A16	1:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	T	A	OR
35	G407-E0212	G407-S007	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	choty	CH+OT+Y	Danach: nimm den laufenden Eintrag.	Danach: entnimm den laufenden Eintrag.	Danach entnimm den laufenden Eintrag.	nimm den laufenden Eintrag	entnimm den laufenden Eintrag	YES	NO	1	GDT568-A06	1:CH=nehmen | 2:OT=danach | 3:Y=den Posten	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	CH	A	Y
36	G407-E0213	G407-S007	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_D	chotey	CH+OT+E+Y	Danach: nimm den laufenden Eintrag; auf Grad I.	Danach: entnimm den laufenden Eintrag; auf Grad I.	Danach entnimm den laufenden Eintrag; auf Grad I.	nimm den laufenden Eintrag	entnimm den laufenden Eintrag	YES	NO	1	GDT568-A06	1:CH=nehmen | 2:OT=danach | 3:E=auf Grad I | 4:Y=den Posten	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	CH	A	Y
37	G407-E0219	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	pchodol	P+CH+O+D_ADDR+OL	Weiter: setze den Pflanzenposten ein und nimm den Pflanzenposten; zur Ausführung; an der bezeichneten Stelle.	Weiter: setze den Pflanzenposten ein und nimm den Pflanzenposten; zur Ausführung; an der bezeichneten Stelle.	Weiter setze den Pflanzenposten [wie zuvor] ein und nimm den Pflanzenposten [wie zuvor]; als Ausführung; an der bezeichneten Stelle.	setze den Pflanzenposten ein und nimm den Pflanzenposten	setze den Pflanzenposten ein und nimm den Pflanzenposten	NO	NO	2	GDT568-A20|GDT568-A07	1:P=einsetzen | 2:CH=nehmen | 3:O=zur Ausführung | 4:D_ADDR=hier | 5:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	P|CH	A+A	Y
38	G407-E0229	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	otytchol	OT+Y+T+CH+OL	Danach: stelle den Pflanzenposten ein und nimm den Pflanzenposten; weiterführen.	Danach: stelle den Pflanzenposten ein und nimm den Pflanzenposten; weiterführen.	Danach und weiter stelle den Pflanzenposten ein und nimm den Pflanzenposten.	stelle den Pflanzenposten ein und nimm den Pflanzenposten	stelle den Pflanzenposten ein und nimm den Pflanzenposten	NO	NO	2	GDT568-A17|GDT568-A07	1:OT=danach | 2:Y=den Posten | 3:T=einstellen | 4:CH=nehmen | 5:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	T|CH	A+A	Y
39	G407-E0233	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	qotor	OT+OR	Danach: stelle die Arbeitseinheit ein.	Danach: stelle die Arbeitseinheit ein.	Danach im laufenden Gang stelle die Arbeitseinheit ein.	stelle die Arbeitseinheit ein	stelle die Arbeitseinheit ein	NO	NO	1	GDT568-A17	1:OT=danach | 2:OR=die Einheit	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	T	A	OR
40	G407-E0238	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	qotchy	OT+Y	Danach: stelle den Pflanzenposten ein.	Danach: stelle den Pflanzenposten ein.	Danach im laufenden Gang stelle den Pflanzenposten ein.	stelle den Pflanzenposten ein	stelle den Pflanzenposten ein	NO	NO	1	GDT568-A17	1:OT=danach | 2:Y=den Posten	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	T	A	Y
41	G407-E0239	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	chol	OL	Weiter: stelle den Pflanzenposten ein.	Weiter: stelle den Pflanzenposten ein.	Weiter im laufenden Gang stelle den Pflanzenposten [wie zuvor] ein.	stelle den Pflanzenposten ein	stelle den Pflanzenposten ein	NO	NO	1	GDT568-A17	1:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	T	A	Y
42	G407-E0253	G407-S008	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	ody	O+DY	Markiere die Arbeitseinheit; zur Ausführung; schließe den Schritt.	Markiere die Arbeitseinheit; zur Ausführung; schließe den Schritt.	Im laufenden Gang markiere die Arbeitseinheit [wie zuvor]; als Ausführung; schließe den Schritt.	markiere die Arbeitseinheit	markiere die Arbeitseinheit	NO	NO	1	GDT568-A19	1:O=zur Ausführung | 2:DY=abschließen	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	R	A	OR
43	G407-E0255	G407-S009	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	qotchol	OT+CH+OL	Danach: nimm den Pflanzenposten; weiterführen.	Danach: nimm den Pflanzenposten; weiterführen.	Danach und weiter nimm den Pflanzenposten [wie zuvor].	nimm den Pflanzenposten	nimm den Pflanzenposten	NO	NO	1	GDT568-A07	1:OT=danach | 2:CH=nehmen | 3:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	CH	A	Y
44	G407-E0256	G407-S009	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	chol	OL	Weiter: nimm den Pflanzenposten.	Weiter: nimm den Pflanzenposten.	Weiter im laufenden Gang nimm den Pflanzenposten [wie zuvor].	nimm den Pflanzenposten	nimm den Pflanzenposten	NO	NO	1	GDT568-A07	1:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	CH	A	Y
45	G407-E0262	G407-S009	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	qoctholy	CARRIER_Q+O+CH+T+OL+Y	Weiter: nimm den Pflanzenposten und stelle den Pflanzenposten ein; am Beginn; zur Ausführung.	Weiter: nimm den Pflanzenposten und stelle den Pflanzenposten ein; am Beginn; zur Ausführung.	Weiter nimm den Pflanzenposten und stelle den Pflanzenposten ein; als neuen Einsatz und als Ausführung.	nimm den Pflanzenposten und stelle den Pflanzenposten ein	nimm den Pflanzenposten und stelle den Pflanzenposten ein	NO	NO	2	GDT568-A07|GDT568-A17	1:CARRIER_Q=am Beginn | 2:O=zur Ausführung | 3:CH=nehmen | 4:T=einstellen | 5:OL=weiter | 6:Y=den Posten	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	CH|T	A+A	Y
46	G407-E0268	G407-S009	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	qokchol	OK+OL	Weiter: setze den Pflanzenposten.	Weiter: setze den Pflanzenposten im Arbeitsgang an.	Weiter setze den Pflanzenposten [wie zuvor] im Arbeitsgang an.	setze den Pflanzenposten	setze den Pflanzenposten im Arbeitsgang an	YES	NO	1	GDT568-A02	1:OK=setzen | 2:OL=weiter	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	OK	A	Y
47	G407-E0277	G407-S009	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	qotchor	OT+CH+OR	Danach: nimm die Arbeitseinheit.	Danach: nimm die Arbeitseinheit.	Danach nimm die Arbeitseinheit.	nimm die Arbeitseinheit	nimm die Arbeitseinheit	NO	NO	1	GDT568-A07	1:OT=danach | 2:CH=nehmen | 3:OR=die Einheit	EVENT_RECIPE_ROOTS_AND_BOUNDARY_UNCHANGED__ACTION_VOICE_SEPARATE	CH	A	OR
