statement_id	page	record	events	component_tokens	pocket_core_tokens	specialist_tokens	distinct_specialist_types	statement_class	pocket_core_sequence	specialist_sequence	specialist_values_de	dictation_plan_de	owner_noun_de	surface_sequence	complete_owner_reading_de
B1-S016	f81v	B1	4	8	7	1	1	ONE_SPECIALIST_TYPE	OK AL OK EE Y OL DY	SHED	ABSETZEN	Taschenkern diktieren; Spezialkarte SHED an den belegten Stellen einsetzen.	das gemeinsame zweireihige Becken	qokal okeey qol cheedy	Am gemeinsamen zweireihigen Becken: Zum Ziel ansetzen; dann laenger den laufenden Posten ansetzen; dann fortsetzen; dann absetzen lassen; den Schritt schliessen.
B1-S017	f81v	B1	3	5	4	1	1	ONE_SPECIALIST_TYPE	AL E OL DY	CHD	UMSETZEN	Taschenkern diktieren; Spezialkarte CHD an den belegten Stellen einsetzen.	das gemeinsame zweireihige Becken	sal teol dchdy	Am gemeinsamen zweireihigen Becken: Am Ziel kurz fortsetzen, umsetzen und den Schritt schliessen.
B1-S018	f81v	B1	4	10	6	4	4	MULTI_SPECIALIST	Y E OL O EE DY	L SH IIN SOLK	WEITERLEITEN · HALTEN · STUFE · AUFFANGEN	Taschenkern diktieren; lokale Spezialfolge L+SH+IIN+SOLK positionsgetreu einsetzen.	das gemeinsame zweireihige Becken	ly dsheol oiiin olkeedy	Am gemeinsamen zweireihigen Becken: Den laufenden Posten weiterleiten; dann kurz weiter halten; dann im Gang bis zur Stufe; dann laenger auffangen; den Schritt schliessen.
B1-S019	f81v	B1	1	2	1	1	1	ONE_SPECIALIST_TYPE	DY	SHED	ABSETZEN	Taschenkern diktieren; Spezialkarte SHED an den belegten Stellen einsetzen.	das gemeinsame zweireihige Becken	tedy	Am gemeinsamen zweireihigen Becken: Absetzen lassen; den Schritt schliessen.
B1-S020	f81v	B1	2	7	4	3	3	MULTI_SPECIALIST	E Y E DY	CHK SH CKH	WAERMEN · HALTEN · DURCHLASS	Taschenkern diktieren; lokale Spezialfolge CHK+SH+CKH positionsgetreu einsetzen.	das gemeinsame zweireihige Becken	cheky shckhedy	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten erwaermen; dann kurz durch den Durchlass halten; den Schritt schliessen.
B1-S021	f81v	B1	1	1	1	0	0	POCKET_ONLY	AL	NONE	NONE	Taschenkern allein diktieren und Karte nachschlagen.	das gemeinsame zweireihige Becken	chal	Am gemeinsamen zweireihigen Becken: Das Ziel festlegen.
B2-S001	f82r	B2	1	2	1	1	1	ONE_SPECIALIST_TYPE	DY	CHD	UMSETZEN	Taschenkern diktieren; Spezialkarte CHD an den belegten Stellen einsetzen.	die oberen Paarbecken mit Zylinder	dchedy	An den oberen Paarbecken mit Zylinder: Umsetzen und den Schritt schliessen.
B2-S002	f82r	B2	1	3	2	1	1	ONE_SPECIALIST_TYPE	OL DY	CHD	UMSETZEN	Taschenkern diktieren; Spezialkarte CHD an den belegten Stellen einsetzen.	die oberen Paarbecken mit Zylinder	qolchedy	An den oberen Paarbecken mit Zylinder: Weiter umsetzen; den Schritt schliessen.
B2-S003	f82r	B2	3	6	5	1	1	ONE_SPECIALIST_TYPE	OK Y OK EE DY	AIN	PORTION	Taschenkern diktieren; Spezialkarte AIN an den belegten Stellen einsetzen.	die oberen Paarbecken mit Zylinder	qokain dy qokeedy	An den oberen Paarbecken mit Zylinder: Als Portion ansetzen; dann den laufenden Posten beibehalten; dann laenger ansetzen; den Schritt schliessen.
B2-S004	f82r	B2	5	14	8	6	3	MULTI_SPECIALIST	OK AL Y OK EE Y E DY	L CKH L CHD L CKH	WEITERLEITEN · DURCHLASS · WEITERLEITEN · UMSETZEN · WEITERLEITEN · DURCHLASS	Taschenkern diktieren; lokale Spezialfolge L+CKH+CHD positionsgetreu einsetzen.	die oberen Paarbecken mit Zylinder	qokal lcheckhy lched qokeey lcheckhedy	An den oberen Paarbecken mit Zylinder: Am Ziel ansetzen; den Posten durch den Durchlass weiterleiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass weiterleiten und schliessen.
B2-S005	f82r	B2	8	20	15	5	5	MULTI_SPECIALIST	OK AL Y AIIN Y OK AIIN OK AIIN O E OL EE Y DY	SOLK CKH CTH CHK L	AUFFANGEN · DURCHLASS · BEREIT · WAERMEN · WEITERLEITEN	Taschenkern diktieren; lokale Spezialfolge SOLK+CKH+CTH+CHK+L positionsgetreu einsetzen.	die oberen Paarbecken mit Zylinder	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	An den oberen Paarbecken mit Zylinder: Den Posten am Ziel ansetzen und nach Mass auffangen. Ihn durch den Durchlass fuehren, zweimal nach Mass ansetzen, im Gang kurz bis zur Bereitschaft fortsetzen, laenger erwaermen, weiterleiten und schliessen.
B2-S006	f82r	B2	4	11	9	2	2	MULTI_SPECIALIST	OT EE Y OK AL E Y OK Y	SH CKH	HALTEN · DURCHLASS	Taschenkern diktieren; lokale Spezialfolge SH+CKH positionsgetreu einsetzen.	die oberen Paarbecken mit Zylinder	oteey qokal sheckhy qoky	An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zum Ziel ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen.
B2-S007	f82r	B2	1	3	2	1	1	ONE_SPECIALIST_TYPE	E DY	SH	HALTEN	Taschenkern diktieren; Spezialkarte SH an den belegten Stellen einsetzen.	die linke Mittelstation mit Zwischenknoten	dshedy	An der linken Mittelstation mit Zwischenknoten: Kurz halten; den Schritt schliessen.
B2-S008	f82r	B2	3	6	5	1	1	ONE_SPECIALIST_TYPE	OT AIIN OK AR DY	SHED	ABSETZEN	Taschenkern diktieren; Spezialkarte SHED an den belegten Stellen einsetzen.	die linke Mittelstation mit Zwischenknoten	sotaiin qokar shedy	An der linken Mittelstation mit Zwischenknoten: Danach nach Mass; dann aus der Quelle ansetzen; dann absetzen lassen; den Schritt schliessen.
B2-S009	f82r	B2	1	4	3	1	1	ONE_SPECIALIST_TYPE	OL E DY	SH	HALTEN	Taschenkern diktieren; Spezialkarte SH an den belegten Stellen einsetzen.	die linke Mittelstation mit Zwischenknoten	solshedy	An der linken Mittelstation mit Zwischenknoten: Kurz weiter halten; den Schritt schliessen.
B2-S010	f82r	B2	4	9	8	1	1	ONE_SPECIALIST_TYPE	OK EE Y OK Y OL EE Y	SH	HALTEN	Taschenkern diktieren; Spezialkarte SH an den belegten Stellen einsetzen.	die linke Mittelstation mit Zwischenknoten	qokeey qoky ls cheey	An der linken Mittelstation mit Zwischenknoten: Laenger den laufenden Posten ansetzen; dann ihn ansetzen; dann fortsetzen; dann ihn laenger halten.
B2-S011	f82r	B2	4	8	6	2	1	ONE_SPECIALIST_TYPE	OK AR OK OK EE DY	AIN AIN	PORTION · PORTION	Taschenkern diktieren; Spezialkarte AIN an den belegten Stellen einsetzen.	die rechte unklare Mittelstation	okain char okain qokeedy	An der rechten unklaren Mittelstation: Eine Portion ansetzen, aus der Quelle eine zweite Portion ansetzen, laenger ansetzen und schliessen.
B2-S012	f82r	B2	8	20	14	6	5	MULTI_SPECIALIST	Y EE Y E Y OK EE Y EE Y AIIN Y OK DY	L CH SH CTH L EEE	WEITERLEITEN · ABNEHMEN · HALTEN · BEREIT · WEITERLEITEN · VOLL	Taschenkern diktieren; lokale Spezialfolge L+CH+SH+CTH+EEE positionsgetreu einsetzen.	die rechte unklare Mittelstation und das untere gruene Figurenbecken	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	An der rechten unklaren Mittelstation und am unteren gruenen Figurenbecken: Den Posten weiterleiten und abnehmen; laenger halten, kurz bereithalten, laenger ansetzen und laenger weiterleiten; nach Mass beibehalten, vollstaendig ansetzen und schliessen.
B2-S013	f82r	B2	1	3	1	2	2	MULTI_SPECIALIST	DY	L CHD	WEITERLEITEN · UMSETZEN	Taschenkern diktieren; lokale Spezialfolge L+CHD positionsgetreu einsetzen.	das untere gruene Figurenbecken	lchedy	Am unteren gruenen Figurenbecken: Weiterleiten und umsetzen; den Schritt schliessen.
B2-S014	f82r	B2	1	2	1	1	1	ONE_SPECIALIST_TYPE	AR	L	WEITERLEITEN	Taschenkern diktieren; Spezialkarte L an den belegten Stellen einsetzen.	das untere gruene Figurenbecken	lar	Am unteren gruenen Figurenbecken: Aus der Quelle weiterleiten.
B2-S015	f82r	B2	2	6	5	1	1	ONE_SPECIALIST_TYPE	E Y OK EE DY	SH	HALTEN	Taschenkern diktieren; Spezialkarte SH an den belegten Stellen einsetzen.	die Randstationen des unteren Beckens	tshey qokeedy	An den Randstationen des unteren Beckens: Kurz den laufenden Posten halten; dann laenger ansetzen; den Schritt schliessen.
B2-S016	f82r	B2	8	19	13	6	5	MULTI_SPECIALIST	AL AR E AIIN OT EE Y OK AIIN OK E Y DY	L CHD CH S P CHD	WEITERLEITEN · UMSETZEN · ABNEHMEN · TEILEN · EINFUELLEN · UMSETZEN	Taschenkern diktieren; lokale Spezialfolge L+CHD+CH+S+P positionsgetreu einsetzen.	die Randstationen des unteren Beckens	cheal lchedar ches aiin oteey qokaiin okey pchedy	An den Randstationen des unteren Beckens: Am Ziel aus der Quelle weiterleiten und umsetzen. Kurz abnehmen und teilen; nach Mass den naechsten Posten laenger fuehren, nach Mass und kurz ansetzen, einfuellen, umsetzen und schliessen.
B2-S017	f82r	B2	2	6	4	2	2	MULTI_SPECIALIST	E AL AL DY	R SH	KUEHLEN · HALTEN	Taschenkern diktieren; lokale Spezialfolge R+SH positionsgetreu einsetzen.	die Randstationen des unteren Beckens	rsheal daldy	An den Randstationen des unteren Beckens: Am Ziel kurz kuehlen und halten, dann den Zielschritt schliessen.
B2-S018	f82r	B2	1	3	3	0	0	POCKET_ONLY	OK EE DY	NONE	NONE	Taschenkern allein diktieren und Karte nachschlagen.	die Randstationen des unteren Beckens	qokeedy	An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen.
B2-S019	f82r	B2	1	3	1	2	2	MULTI_SPECIALIST	DY	R SHED	KUEHLEN · ABSETZEN	Taschenkern diktieren; lokale Spezialfolge R+SHED positionsgetreu einsetzen.	die Randstationen des unteren Beckens	rshedy	An den Randstationen des unteren Beckens: Kuehlen und absetzen lassen; den Schritt schliessen.
B2-S020	f82r	B2	1	3	3	0	0	POCKET_ONLY	OT EE DY	NONE	NONE	Taschenkern allein diktieren und Karte nachschlagen.	die Randstationen des unteren Beckens	qoteedy	An den Randstationen des unteren Beckens: Danach laenger; den Schritt schliessen.
B2-S021	f82r	B2	1	3	3	0	0	POCKET_ONLY	OK EE DY	NONE	NONE	Taschenkern allein diktieren und Karte nachschlagen.	die Randstationen des unteren Beckens	qokeedy	An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen.
B2-S022	f82r	B2	1	4	2	2	2	MULTI_SPECIALIST	O DY	L CHD	WEITERLEITEN · UMSETZEN	Taschenkern diktieren; lokale Spezialfolge L+CHD positionsgetreu einsetzen.	die Randstationen des unteren Beckens	lochedy	An den Randstationen des unteren Beckens: Im Gang weiterleiten und umsetzen; den Schritt schliessen.
B3-S001	f83r	B3	1	3	2	1	1	ONE_SPECIALIST_TYPE	EE DY	SOLK	AUFFANGEN	Taschenkern diktieren; Spezialkarte SOLK an den belegten Stellen einsetzen.	die obere offene Faecherstation	olkeedy	An der oberen offenen Faecherstation: Laenger auffangen und den Schritt schliessen.
B3-S002	f83r	B3	2	5	4	1	1	ONE_SPECIALIST_TYPE	OT AL EE DY	CHK	WAERMEN	Taschenkern diktieren; Spezialkarte CHK an den belegten Stellen einsetzen.	die obere offene Faecherstation	qotal chkeedy	An der oberen offenen Faecherstation: Danach zum Ziel; dann laenger erwaermen; den Schritt schliessen.
B3-S003	f83r	B3	4	6	4	2	2	MULTI_SPECIALIST	Y AIIN Y DY	L CHD	WEITERLEITEN · UMSETZEN	Taschenkern diktieren; lokale Spezialfolge L+CHD positionsgetreu einsetzen.	die obere offene Faecherstation	chey daiin chey lchedy	An der oberen offenen Faecherstation: Den laufenden Posten nach Mass beibehalten, anschliessend weiterleiten und umsetzen, dann schliessen.
B3-S004	f83r	B3	3	5	5	0	0	POCKET_ONLY	OK AIIN OT AL AR	NONE	NONE	Taschenkern allein diktieren und Karte nachschlagen.	die obere offene Faecherstation	qokaiin qotal dar	An der oberen offenen Faecherstation: Nach Mass ansetzen; danach zum Ziel wechseln und aus der Quelle weiterarbeiten.
