statement_id	physical_page	owner_id	locus_span	surface_sequence	component_sequence	inherited_operation_de	source_statement_id	source_surface	source_rightmost_grade	target_grade	grade_transition	atomic_workshop_reading_de	local_grade_range_de	grade_neutral_fluent_de
P1009-S309	f77r	P1009_F77R_OWNER_01	f77r.12	qoteedy	OT+EE+DY	STELLEN	P1009-S308	cham solteedy	EE	EE	SAME	DANACH · STELLEN · GRAD II · SCHLUSS	länger, stärker oder als weiterer Durchgang	f77r / P1009_F77R_OWNER_01: danach im Grad II stellen; den Teilgang schließen.
P1009-S318	f77r	P1009_F77R_OWNER_01	f77r.14	qotedy	OT+E+DY	SETZEN	P1009-S317	qokeedy	EE	E	LOWERED	DANACH · SETZEN · GRAD I · SCHLUSS	kurz, leicht oder einmal	f77r / P1009_F77R_OWNER_01: danach im Grad I setzen; den Teilgang schließen.
P1009-S328	f77r	P1009_F77R_OWNER_01	f77r.17	qoteedy	OT+EE+DY	LEITEN	P1009-S327	lol qoteedy	EE	EE	SAME	DANACH · LEITEN · GRAD II · SCHLUSS	länger, stärker oder als weiterer Durchgang	f77r / P1009_F77R_OWNER_01: danach im Grad II leiten; den Teilgang schließen.
P1009-S354	f77r	P1009_F77R_OWNER_01	f77r.27	qotedy	OT+E+DY	SETZEN	P1009-S353	qokeedy	EE	E	LOWERED	DANACH · SETZEN · GRAD I · SCHLUSS	kurz, leicht oder einmal	f77r / P1009_F77R_OWNER_01: danach im Grad I setzen; den Teilgang schließen.
P1009-S359	f77r	P1009_F77R_OWNER_01	f77r.31	qotedy	OT+E+DY	SETZEN	P1009-S358	qotal qokaiin chckhey sa iin qolkain cheeky lol qokain chckhy qokeey qotedy	E	E	SAME	DANACH · SETZEN · GRAD I · SCHLUSS	kurz, leicht oder einmal	f77r / P1009_F77R_OWNER_01: danach im Grad I setzen; den Teilgang schließen.
P1009-S361	f77r	P1009_F77R_OWNER_01	f77r.33	qoteeedy	OT+EEE+DY	GEBEN	P1009-S360	qotary qor ain cheol ol chealor cheey qeteiiin dary daiin chedy qol keedy	EE	EEE	RAISED	DANACH · GEBEN · GRAD III · SCHLUSS	vollständig oder bis zum Abschluss	f77r / P1009_F77R_OWNER_01: danach im Grad III geben; den Teilgang schließen.
P1009-S377	f77r	P1009_F77R_OWNER_01	f77r.42	qotedy	OT+E+DY	SETZEN	P1009-S376	qotal r ain chl s arol qokeedy	EE	E	LOWERED	DANACH · SETZEN · GRAD I · SCHLUSS	kurz, leicht oder einmal	f77r / P1009_F77R_OWNER_01: danach im Grad I setzen; den Teilgang schließen.
P1009-S381	f77r	P1009_F77R_OWNER_01	f77r.43	qotedy	OT+E+DY	NEHMEN	P1009-S380	qokeey s aiin al d chee ol cheedy qotaiin qoteedy	EE	E	LOWERED	DANACH · NEHMEN · GRAD I · SCHLUSS	kurz, leicht oder einmal	f77r / P1009_F77R_OWNER_01: danach im Grad I nehmen; den Teilgang schließen.
P1009-S398	f81v	P1009_F81V_OWNER_01	f81v.10	otedy	OT+E+DY	SETZEN	P1009-S397	polshy ashyteed qop okeedy	EE	E	LOWERED	DANACH · SETZEN · GRAD I · SCHLUSS	kurz, leicht oder einmal	f81v / P1009_F81V_OWNER_01: danach im Grad I setzen; den Teilgang schließen.
P1009-S454	f82r	P1009_F82R_OWNER_01	f82r.13	qotedy	OT+E+DY	SETZEN	P1009-S453	qokeedy	EE	E	LOWERED	DANACH · SETZEN · GRAD I · SCHLUSS	kurz, leicht oder einmal	f82r / P1009_F82R_OWNER_01: danach im Grad I setzen; den Teilgang schließen.
P1009-S485	f82r	P1009_F82R_OWNER_01	f82r.27	qoteedy	OT+EE+DY	ABSETZEN	P1009-S484	rshedy	NONE	EE	FIRST_ASSIGNED	DANACH · ABSETZEN · GRAD II · SCHLUSS	länger, stärker oder als weiterer Durchgang	f82r / P1009_F82R_OWNER_01: danach im Grad II absetzen; den Teilgang schließen.
P1009-S515	f83r	P1009_F83R_OWNER_01	f83r.7	qoteedy	OT+EE+DY	SETZEN	P1009-S514	qoky solshed lsheedy qeeedy qoky o qol rsheedy qokedy	E	EE	RAISED	DANACH · SETZEN · GRAD II · SCHLUSS	länger, stärker oder als weiterer Durchgang	f83r / P1009_F83R_OWNER_01: danach im Grad II setzen; den Teilgang schließen.
P1009-S516	f83r	P1009_F83R_OWNER_01	f83r.7	qoteedy	OT+EE+DY	SETZEN	P1009-S514	qoky solshed lsheedy qeeedy qoky o qol rsheedy qokedy	E	EE	RAISED	DANACH · SETZEN · GRAD II · SCHLUSS	länger, stärker oder als weiterer Durchgang	f83r / P1009_F83R_OWNER_01: danach im Grad II setzen; den Teilgang schließen.
P1009-S548	f83r	P1009_F83R_OWNER_01	f83r.21	otedy	OT+E+DY	SETZEN	P1009-S547	qoky saiin solkeedy qokedy	E	E	SAME	DANACH · SETZEN · GRAD I · SCHLUSS	kurz, leicht oder einmal	f83r / P1009_F83R_OWNER_01: danach im Grad I setzen; den Teilgang schließen.
