cell_key	surface	page	locus	token_ordinal	common_mask_field_hit	positioned_amount_neighbour_hit	open_positioned_amount_neighbour_hit	gdt760_clean_content_contact	field_channels	amount_expressions	union_cell_id	selected_role_credit	literal_identity_credit	component_export_credit
f78v|f78v.30|7|okal	okal	f78v	f78v.30	7	1	0	0	0	DESCRIPTIVE_MATERIA	NONE	G804-U018	FIELD_OR_POSITIONAL_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
f79r|f79r.23|4|ol	ol	f79r	f79r.23	4	1	0	0	0	PRESCRIPTIVE_RECIPE	NONE	G804-U019	FIELD_OR_POSITIONAL_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
f79r|f79r.6|3|ol	ol	f79r	f79r.6	3	1	0	0	0	DESCRIPTIVE_QUALITY	NONE	G804-U020	FIELD_OR_POSITIONAL_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
f79v|f79v.25|9|ol	ol	f79v	f79v.25	9	1	0	0	0	DESCRIPTIVE_MATERIA	NONE	G804-U021	FIELD_OR_POSITIONAL_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
f80r|f80r.33|4|otal	otal	f80r	f80r.33	4	1	0	0	0	DESCRIPTIVE_QUALITY	NONE	G804-U022	FIELD_OR_POSITIONAL_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
f80r|f80r.33|8|ol	ol	f80r	f80r.33	8	1	0	0	0	DESCRIPTIVE_QUALITY	NONE	G804-U023	FIELD_OR_POSITIONAL_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
f81r|f81r.15|2|ol	ol	f81r	f81r.15	2	1	1	1	0	DESCRIPTIVE_QUALITY	sain	G804-U024	FIELD_OR_POSITIONAL_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
f82r|f82r.33|2|ol	ol	f82r	f82r.33	2	1	1	1	0	DESCRIPTIVE_MATERIA	sain	G804-U025	FIELD_OR_POSITIONAL_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
f82r|f82r.33|3|cheol	cheol	f82r	f82r.33	3	1	0	0	0	DESCRIPTIVE_MATERIA	NONE	G804-U026	FIELD_OR_POSITIONAL_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
f85r1|f85r1.13|7|ol	ol	f85r1	f85r1.13	7	0	1	1	0	NONE	s aiin	G804-U027	FIELD_OR_POSITIONAL_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
f85r1|f85r1.3|9|cheol	cheol	f85r1	f85r1.3	9	0	1	1	0	NONE	saiin	G804-U028	FIELD_OR_POSITIONAL_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
f88r|f88r.10|2|cheol	cheol	f88r	f88r.10	2	0	1	1	0	NONE	saiin	G804-U029	FIELD_OR_POSITIONAL_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
f94v|f94v.9|8|ol	ol	f94v	f94v.9	8	0	1	1	0	NONE	s aiin	G804-U030	FIELD_OR_POSITIONAL_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
