quality_value_id	page	locus	section	language	hand	head_ordinal	head_surface	value_surface	exact_span_eva	head_token_stable_all_three	value_token_stable_all_three	both_tokens_stable_all_three	contiguous_sequence_present_all_three	is_gdt803_discovery_span	safe_renderer_de	aggressive_renderer_de	aggressive_confidence	written_line_eva	literal_identity_credit	component_export_credit
G804-QV014	f21r	f21r.12	H	A	1	6	chol	daiin	chol daiin	1	1	1	1	0	Trockenheits-/Trockengutfeld, Wert III	trocken, dritter Grad	C1	ykeey chor sheey ysheol chor chol daiin chkaiin	0	0
G804-QV015	f21v	f21v.4	H	A	1	4	chol	daiin	chol daiin	1	1	1	1	0	Trockenheits-/Trockengutfeld, Wert III	trocken, dritter Grad	C1	sho chodaiin choty chol daiin daiin chty chtol	0	0
G804-QV016	f24r	f24r.1	H	A	1	7	cheol	daiin	cheol daiin	1	1	1	1	0	Stoff-/Zubereitungs- oder Trockenheitsfeld, Wert III	trocken oder Trockengut, dritter Grad	C0	por or y chor opchar she cheol daiin or	0	0
G804-QV017	f24r	f24r.18	H	A	1	2	chol	daiin	chol daiin	1	1	1	1	0	Trockenheits-/Trockengutfeld, Wert III	trocken, dritter Grad	C1	ycheol chol daiin chol s	0	0
G804-QV018	f25v	f25v.3	H	A	1	3	chol	daiin	chol daiin	1	1	1	1	0	Trockenheits-/Trockengutfeld, Wert III	trocken, dritter Grad	C1	orcho kchor chol daiin shcfho r daiin dshey daiity	0	0
G804-QV019	f28v	f28v.5	H	A	1	2	chol	daiin	chol daiin	1	1	1	1	0	Trockenheits-/Trockengutfeld, Wert III	trocken, dritter Grad	C1	otol chol daiin chkaiin shoiin qotchey qotshey daiiin	0	0
G804-QV020	f2v	f2v.5	H	A	1	8	chol	daiin	chol daiin	1	1	1	1	0	Trockenheits-/Trockengutfeld, Wert III	trocken, dritter Grad	C1	kchor shy daiiin chm s shey dor chol daiin	0	0
G804-QV021	f32v	f32v.10	H	A	1	4	chol	daiin	chol daiin	1	1	1	1	0	Trockenheits-/Trockengutfeld, Wert III	trocken, dritter Grad	C1	sho keol chor chol daiin cpho l cthol da ar	0	0
G804-QV022	f35v	f35v.19	H	A	1	4	chol	daiin	chol daiin	1	1	1	1	0	Trockenheits-/Trockengutfeld, Wert III	trocken, dritter Grad	C1	schokey y keol chol daiin	0	0
G804-QV023	f36v	f36v.2	H	A	1	2	chol	daiin	chol daiin	1	1	1	1	0	Trockenheits-/Trockengutfeld, Wert III	trocken, dritter Grad	C1	qotor chol daiin otaiin qotor ytar ochor chety ckhor dom	0	0
G804-QV024	f37r	f37r.4	H	A	1	4	chol	daiin	chol daiin	1	1	1	1	0	Trockenheits-/Trockengutfeld, Wert III	trocken, dritter Grad	C1	pchotchy daiin cfholdar chol daiin yd	0	0
G804-QV025	f37v	f37v.23	H	A	1	2	chol	daiin	chol daiin	1	1	1	1	0	Trockenheits-/Trockengutfeld, Wert III	trocken, dritter Grad	C1	yto chol daiin	0	0
G804-QV026	f39r	f39r.15	H	B	2	3	cheol	daiin	cheol daiin	0	0	0	0	0	Stoff-/Zubereitungs- oder Trockenheitsfeld, Wert III	trocken oder Trockengut, dritter Grad	C0	qolkain ol cheol daiin dar ol dld ar ador aiin ofcheefar	0	0
G804-QV027	f3r	f3r.3	H	A	1	3	chol	daiin	chol daiin	1	1	1	1	0	Trockenheits-/Trockengutfeld, Wert III	trocken, dritter Grad	C1	ochor qocheor chol daiin cthy	0	0
G804-QV028	f47r	f47r.3	H	A	1	6	chol	dain	chol dain	1	1	1	1	0	Trockenheits-/Trockengutfeld, Wert II	trocken, zweiter Grad	C1	dor chol chy chaiin ckhey chol dain okaiin	0	0
G804-QV029	f47r	f47r.4	H	A	1	4	chol	daiin	chol daiin	1	1	1	1	0	Trockenheits-/Trockengutfeld, Wert III	trocken, dritter Grad	C1	qokcheo cthey chokain chol daiin kchdal	0	0
G804-QV030	f47r	f47r.9	H	A	1	5	chol	daiin	chol daiin	1	1	1	1	0	Trockenheits-/Trockengutfeld, Wert III	trocken, dritter Grad	C1	qoko kor chaiin okal chol daiin okcho kchorsy	0	0
G804-QV031	f47v	f47v.9	H	A	1	4	chol	dain	chol dain	1	1	1	1	0	Trockenheits-/Trockengutfeld, Wert II	trocken, zweiter Grad	C1	qotcheey chety chol chol dain	0	0
G804-QV032	f49v	f49v.26	H	A	1	6	chol	daiin	chol daiin	1	1	1	1	0	Trockenheits-/Trockengutfeld, Wert III	trocken, dritter Grad	C1	qokeol chokeeody otol kcho s chol daiin	0	0
G804-QV033	f51v	f51v.6	H	A	1	7	chol	daiin	chol daiin	0	0	0	0	0	Trockenheits-/Trockengutfeld, Wert III	trocken, dritter Grad	C1	okor ctheody qocphy qokal qotaiin otykol chol daiin	0	0
G804-QV034	f56v	f56v.15	H	A	1	3	chol	daiin	chol daiin	1	1	1	1	0	Trockenheits-/Trockengutfeld, Wert III	trocken, dritter Grad	C1	otchol chol chol daiin chotaiin	0	0
G804-QV035	f56v	f56v.16	H	A	1	5	chol	daiin	chol daiin	1	1	1	1	0	Trockenheits-/Trockengutfeld, Wert III	trocken, dritter Grad	C1	s o kchol chol chol daiin	0	0
G804-QV036	f75r	f75r.26	B	B	2	3	sheol	dain	sheol dain	1	1	1	1	0	Feuchtigkeits-/Feuchtgutfeld, Wert II	feucht oder eingeweicht, zweiter Grad	C0	dain ol sheol dain ol qoly dar ajy	0	0
G804-QV037	f81r	f81r.10	B	B	2	1	chol	dain	chol dain	1	1	1	1	0	Trockenheits-/Trockengutfeld, Wert II	trocken, zweiter Grad	C1	chol dain otedy cheey qotain ly	0	0
G804-QV038	f85r2	f85r2.4	C	B	2	4	chol	daiin	chol daiin	1	1	1	1	0	Trockenheits-/Trockengutfeld, Wert III	trocken, dritter Grad	C1	dair sheo oraiin chol daiin	0	0
G804-QV039	f88v	f88v.23	P	A	1	4	sheol	daiin	sheol daiin	1	1	1	1	0	Feuchtigkeits-/Feuchtgutfeld, Wert III	feucht oder eingeweicht, dritter Grad	C0	tol keeodaiin qoky sheol daiin chees aiin chokar daimd	0	0
G804-QV040	f96r	f96r.8	H	A	1	5	chol	daiin	chol daiin	1	0	0	0	0	Trockenheits-/Trockengutfeld, Wert III	trocken, dritter Grad	C1	ykeor secheeol sheol qokeeey chol daiin	0	0
G804-QV041	f99r	f99r.31	P	A	1	4	sheol	daiin	sheol daiin	1	0	0	0	0	Feuchtigkeits-/Feuchtgutfeld, Wert III	feucht oder eingeweicht, dritter Grad	C0	chees okeey qotol sheol daiin qotol okeol	0	0
