field_exposure_id	surface	is_gdt803_middle	page	locus	token_ordinal	side	distance	host_target_surface	host_gdt744_field_id	field_channel_after_common_mask	independently_licensed_field	field_confidence_tier	foreign_anchor_surfaces	foreign_anchor_tags	cell_key	semantic_role_credit	literal_identity_credit	component_export_credit
G804-FX0014	ol	1	f105v	f105v.7	4	R	2	lkaiin	G744-F0027	PRESCRIPTIVE_RECIPE	1	F3_RECURRENT_COMPLETE_CONTEXT	ycheeo	DRY|PASS|PREPARATION	f105v|f105v.7|4|ol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0015	qotal	1	f107r	f107r.21	5	L	3	lkaiin	G744-F0032	OPEN	0	F0_OPEN	NONE	NONE	f107r|f107r.21|5|qotal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0016	qokeol	1	f107r	f107r.21	7	L	1	lkaiin	G744-F0032	OPEN	0	F0_OPEN	NONE	NONE	f107r|f107r.21|7|qokeol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0017	okal	1	f107r	f107r.33	11	R	1	lkar	G744-F0094	OPEN	0	F0_OPEN	NONE	NONE	f107r|f107r.33|11|okal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0018	al	0	f107r	f107r.36	6	L	5	lkaiin	G744-F0036	DESCRIPTIVE_QUALITY	1	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	qokchey	DRY|HOT|VALUE	f107r|f107r.36|6|al	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0019	dal	0	f107r	f107r.36	7	L	4	lkaiin	G744-F0036	DESCRIPTIVE_QUALITY	1	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	qokchey	DRY|HOT|VALUE	f107r|f107r.36|7|dal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0020	al	0	f107r	f107r.39	10	R	1	lkain	G744-F0065	DESCRIPTIVE_MATERIA	1	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	cho	DRY|PREPARATION	f107r|f107r.39|10|al	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0021	al	0	f107r	f107r.8	9	R	3	lkaiin	G744-F0031	OPEN	0	F0_OPEN	NONE	NONE	f107r|f107r.8|9|al	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0022	chol	0	f107v	f107v.12	3	R	1	lcheol	G744-F0011	DESCRIPTIVE_QUALITY	1	F3_RECURRENT_COMPLETE_CONTEXT	kaiin|qokeey	HOT|VALUE	f107v|f107v.12|3|chol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0023	qokal	0	f107v	f107v.15	2	L	2	lkaiin	G744-F0040	OPEN	0	F0_OPEN	NONE	NONE	f107v|f107v.15|2|qokal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0024	chkal	0	f107v	f107v.15	6	R	2	lkaiin	G744-F0040	OPEN	0	F0_OPEN	NONE	NONE	f107v|f107v.15|6|chkal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0025	chol	0	f107v	f107v.24	3	L	2	lkaiin	G744-F0041	DESCRIPTIVE_MATERIA	1	F3_RECURRENT_COMPLETE_CONTEXT	olaiin|olkain	AMOUNT|HOT|MATERIAL|VALUE	f107v|f107v.24|3|chol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0026	cheol	1	f107v	f107v.28	3	L	1	lcheedy	G744-F0008	OPEN	0	F0_OPEN	NONE	NONE	f107v|f107v.28|3|cheol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0027	shol	0	f107v	f107v.3	5	R	4	sain	G744-F0152	OPEN	0	F0_OPEN	NONE	NONE	f107v|f107v.3|5|shol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0028	kal	0	f107v	f107v.3	6	R	5	sain	G744-F0152	OPEN	0	F0_OPEN	NONE	NONE	f107v|f107v.3|6|kal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0029	otal	1	f107v	f107v.3	11	R	1	lkaiin	G744-F0039	OPEN	0	F0_OPEN	NONE	NONE	f107v|f107v.3|11|otal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0030	chol	0	f107v	f107v.30	6	L	1	lkaiin	G744-F0042	OPEN	0	F0_OPEN	NONE	NONE	f107v|f107v.30|6|chol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0031	qokol	1	f107v	f107v.38	6	L	3	lkain	G744-F0066	DESCRIPTIVE_MATERIA	1	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	oteey	COLD|PREPARATION|VALUE	f107v|f107v.38|6|qokol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0032	al	0	f107v	f107v.45	10	R	2	lkar	G744-F0098	OPEN	0	F0_OPEN	NONE	NONE	f107v|f107v.45|10|al	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0033	ol	1	f108r	f108r.25	12	L	1	rain	G744-F0133	OPEN	0	F0_OPEN	NONE	NONE	f108r|f108r.25|12|ol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0034	al	0	f108v	f108v.11	2	R	1	sain	G744-F0154	OPEN	0	F0_OPEN	NONE	NONE	f108v|f108v.11|2|al	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0035	okal	1	f108v	f108v.26	12	R	3	lkar	G744-F0099	OPEN	0	F0_OPEN	NONE	NONE	f108v|f108v.26|12|okal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0036	cheal	0	f108v	f108v.49	5	R	1	lkaiin	G744-F0045	DESCRIPTIVE_MATERIA	1	F3_RECURRENT_COMPLETE_CONTEXT	keear	HOT|MATERIAL|PART	f108v|f108v.49|5|cheal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0037	cheol	1	f108v	f108v.49	6	R	2	lkaiin	G744-F0045	DESCRIPTIVE_MATERIA	1	F3_RECURRENT_COMPLETE_CONTEXT	keear	HOT|MATERIAL|PART	f108v|f108v.49|6|cheol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0038	al	0	f111r	f111r.46	9	R	1	lkar	G744-F0101	OPEN	0	F0_OPEN	NONE	NONE	f111r|f111r.46|9|al	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0039	olchal	0	f111r	f111r.46	10	R	2	lkar	G744-F0101	OPEN	0	F0_OPEN	NONE	NONE	f111r|f111r.46|10|olchal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0040	sheal	0	f111r	f111r.52	5	L	3	sain	G744-F0160	DESCRIPTIVE_QUALITY	1	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	qokeey	HOT|VALUE	f111r|f111r.52|5|sheal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0041	cheol	1	f111v	f111v.23	9	R	3	lcheol	G744-F0013	OPEN	0	F0_OPEN	NONE	NONE	f111v|f111v.23|9|cheol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0042	cheal	0	f111v	f111v.31	4	L	1	lain	G744-F0001	PRESCRIPTIVE_PROCESS	0	F1_SINGLE_CONTEXT	chekain	DRY|HOT|PROCESS|VALUE	f111v|f111v.31|4|cheal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0043	chal	1	f111v	f111v.31	10	R	1	lkain	G744-F0072	OPEN	0	F0_OPEN	NONE	NONE	f111v|f111v.31|10|chal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0044	chckhal	0	f111v	f111v.40	5	R	3	lkain	G744-F0075	PRESCRIPTIVE_RECIPE	1	F3_RECURRENT_COMPLETE_CONTEXT	chokain|sheckhedy	CLOSE|DRY|HOT|MOIST|PREPARATION|PROCESS|VALUE	f111v|f111v.40|5|chckhal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0045	chal	1	f111v	f111v.48	6	L	2	skaiin	G744-F0200	OPEN	0	F0_OPEN	NONE	NONE	f111v|f111v.48|6|chal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0046	al	0	f111v	f111v.48	7	L	1	skaiin	G744-F0200	OPEN	0	F0_OPEN	NONE	NONE	f111v|f111v.48|7|al	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0047	cheal	0	f111v	f111v.51	2	R	1	sain	G744-F0162	OPEN	0	F0_OPEN	NONE	NONE	f111v|f111v.51|2|cheal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0048	ol	1	f112r	f112r.36	2	R	1	sain	G744-F0164	DESCRIPTIVE_MATERIA	1	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	checkhy|okeey	DRY|HOT|PREPARATION|VALUE	f112r|f112r.36|2|ol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0049	okal	1	f112r	f112r.40	2	R	1	sain	G744-F0165	OPEN	0	F0_OPEN	NONE	NONE	f112r|f112r.40|2|okal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0050	chol	0	f112v	f112v.38	7	L	3	lkain	G744-F0076	DESCRIPTIVE_MATERIA	1	F3_RECURRENT_COMPLETE_CONTEXT	chedar|cheo	DRY|PART|PREPARATION|VALUE	f112v|f112v.38|7|chol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0051	otal	1	f112v	f112v.5	5	R	4	sain	G744-F0166	DESCRIPTIVE_MATERIA	1	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	okey	HOT|PREPARATION|VALUE	f112v|f112v.5|5|otal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0052	al	0	f113r	f113r.43	5	R	2	lkar	G744-F0103	OPEN	0	F0_OPEN	NONE	NONE	f113r|f113r.43|5|al	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0053	chl	0	f113v	f113v.16	2	L	3	lkaiin	G744-F0050	OPEN	0	F0_OPEN	NONE	NONE	f113v|f113v.16|2|chl	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0054	cthol	0	f113v	f113v.25	7	R	2	pcheol	G744-F0124	DESCRIPTIVE_MATERIA	0	F1_SINGLE_CONTEXT	otey	COLD|PREPARATION|VALUE	f113v|f113v.25|7|cthol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0055	ol	1	f113v	f113v.25	9	R	4	pcheol	G744-F0124	DESCRIPTIVE_MATERIA	0	F1_SINGLE_CONTEXT	otey	COLD|PREPARATION|VALUE	f113v|f113v.25|9|ol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0056	al	0	f113v	f113v.46	5	R	1	lain	G744-F0002	OPEN	0	F0_OPEN	NONE	NONE	f113v|f113v.46|5|al	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0057	okal	1	f113v	f113v.48	11	R	1	lkaiin	G744-F0052	OPEN	0	F0_OPEN	NONE	NONE	f113v|f113v.48|11|okal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0058	qokal	0	f114r	f114r.36	7	L	1	sain	G744-F0170	DESCRIPTIVE_MATERIA	1	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	otchedy	CLOSE|COLD|DRY|PREPARATION|VALUE	f114r|f114r.36|7|qokal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0059	otal	1	f114v	f114v.30	7	L	4	rain	G744-F0134	PRESCRIPTIVE_RECIPE	0	F1_RECURRENT_WINDOW_ONLY	oteeo|teey	COLD|PASS|PREPARATION|VALUE	f114v|f114v.30|7|otal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0060	cheol	1	f115r	f115r.15	10	L	1	lkar	G744-F0106	QUANTITY_OR_PART	1	F3_RECURRENT_COMPLETE_CONTEXT	air	MATERIAL|PART	f115r|f115r.15|10|cheol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0061	chl	0	f116r	f116r.29	5	L	2	lkain	G744-F0081	DESCRIPTIVE_QUALITY	1	F3_RECURRENT_COMPLETE_CONTEXT	keedy	CLOSE|HOT|VALUE	f116r|f116r.29|5|chl	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0062	al	0	f116r	f116r.31	2	L	2	rain	G744-F0139	OPEN	0	F0_OPEN	NONE	NONE	f116r|f116r.31|2|al	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0063	ckhal	0	f116r	f116r.31	3	L	1	rain	G744-F0139	OPEN	0	F0_OPEN	NONE	NONE	f116r|f116r.31|3|ckhal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0064	ol	1	f116r	f116r.32	7	R	5	rain	G744-F0140	OPEN	0	F0_OPEN	NONE	NONE	f116r|f116r.32|7|ol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0065	al	0	f116r	f116r.43	3	L	4	rain	G744-F0142	PRESCRIPTIVE_RECIPE	0	F1_RECURRENT_WINDOW_ONLY	shear|teey	COLD|MOIST|PART|PROCESS|VALUE	f116r|f116r.43|3|al	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0066	shol	0	f24v	f24v.8	3	L	1	sain	G744-F0172	OPEN	0	F0_OPEN	NONE	NONE	f24v|f24v.8|3|shol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0067	shol	0	f46r	f46r.13	3	L	5	lain	G744-F0004	MATERIA_OR_INGREDIENT	0	F1_SINGLE_CONTEXT	ols	MATERIAL	f46r|f46r.13|3|shol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0068	chol	0	f46r	f46r.13	5	L	3	lain	G744-F0004	MATERIA_OR_INGREDIENT	0	F1_SINGLE_CONTEXT	ols	MATERIAL	f46r|f46r.13|5|chol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0069	chol	0	f76r	f76r.17	5	L	1	lkain	G744-F0084	PRESCRIPTIVE_PROCESS	0	F1_RECURRENT_WINDOW_ONLY	qeeey	PASS|VALUE	f76r|f76r.17|5|chol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0070	alol	0	f76r	f76r.44	5	L	1	lkaiin	G744-F0054	DESCRIPTIVE_MATERIA	1	F3_RECURRENT_COMPLETE_CONTEXT	ykar	HOT|MATERIAL|PART	f76r|f76r.44|5|alol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0071	shol	0	f76r	f76r.49	4	L	1	sain	G744-F0181	QUANTITY_OR_PART	1	F3_RECURRENT_COMPLETE_CONTEXT	olaiin	AMOUNT|MATERIAL	f76r|f76r.49|4|shol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0072	al	0	f76r	f76r.49	11	R	1	lkar	G744-F0111	OPEN	0	F0_OPEN	NONE	NONE	f76r|f76r.49|11|al	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0073	al	0	f76r	f76r.55	5	R	4	sain	G744-F0182	OPEN	0	F0_OPEN	NONE	NONE	f76r|f76r.55|5|al	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0074	chedal	1	f77v	f77v.27	3	L	3	sain	G744-F0184	PRESCRIPTIVE_RECIPE	0	F1_SINGLE_CONTEXT	fchedy	DRY|PART|PROCESS|VALUE	f77v|f77v.27|3|chedal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0075	dal	0	f77v	f77v.29	4	L	2	pcheol	G744-F0127	QUANTITY_OR_PART	1	F3_RECURRENT_COMPLETE_CONTEXT	daly	AMOUNT|MATERIAL	f77v|f77v.29|4|dal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0076	qotal	1	f77v	f77v.33	8	L	2	rain	G744-F0143	OPEN	0	F0_OPEN	NONE	NONE	f77v|f77v.33|8|qotal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0077	dal	0	f77v	f77v.33	9	L	1	rain	G744-F0143	OPEN	0	F0_OPEN	NONE	NONE	f77v|f77v.33|9|dal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0078	sheol	0	f77v	f77v.8	8	R	2	rsheedy	G744-F0145	OPEN	0	F0_OPEN	NONE	NONE	f77v|f77v.8|8|sheol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0079	qokal	0	f78v	f78v.12	7	L	1	sain	G744-F0187	MATERIA_OR_INGREDIENT	0	F1_SINGLE_CONTEXT	otaly	MATERIAL|PREPARATION	f78v|f78v.12|7|qokal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0080	shol	0	f78v	f78v.30	2	L	1	sain	G744-F0188	DESCRIPTIVE_MATERIA	1	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	oiiin|sheety	MOIST|PREPARATION	f78v|f78v.30|2|shol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0081	okal	1	f78v	f78v.30	7	R	4	sain	G744-F0188	DESCRIPTIVE_MATERIA	1	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	oiiin|sheety	MOIST|PREPARATION	f78v|f78v.30|7|okal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0082	chol	0	f79r	f79r.19	3	L	1	sain	G744-F0190	OPEN	0	F0_OPEN	NONE	NONE	f79r|f79r.19|3|chol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0083	ol	1	f79r	f79r.23	4	L	1	lkain	G744-F0086	PRESCRIPTIVE_RECIPE	1	F3_RECURRENT_COMPLETE_CONTEXT	shear	MOIST|PART|PROCESS|VALUE	f79r|f79r.23|4|ol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0084	ol	1	f79r	f79r.37	2	R	1	lcheol	G744-F0017	OPEN	0	F0_OPEN	NONE	NONE	f79r|f79r.37|2|ol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0085	ol	1	f79r	f79r.37	3	R	2	lcheol	G744-F0017	OPEN	0	F0_OPEN	NONE	NONE	f79r|f79r.37|3|ol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0086	shol	0	f79r	f79r.6	1	L	5	sain	G744-F0189	DESCRIPTIVE_QUALITY	1	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	qokey	HOT|VALUE	f79r|f79r.6|1|shol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0087	ol	1	f79r	f79r.6	3	L	3	sain	G744-F0189	DESCRIPTIVE_QUALITY	1	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	qokey	HOT|VALUE	f79r|f79r.6|3|ol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0088	ol	1	f79v	f79v.25	9	R	1	sain	G744-F0192	DESCRIPTIVE_MATERIA	1	F3_RECURRENT_COMPLETE_CONTEXT	olkain	HOT|MATERIAL|VALUE	f79v|f79v.25|9|ol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0089	otal	1	f80r	f80r.33	4	R	1	lkar	G744-F0112	DESCRIPTIVE_QUALITY	1	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	qokeey	HOT|VALUE	f80r|f80r.33|4|otal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0090	ol	1	f80r	f80r.33	8	R	5	lkar	G744-F0112	DESCRIPTIVE_QUALITY	1	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	qokeey	HOT|VALUE	f80r|f80r.33|8|ol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0091	ol	1	f80r	f80r.52	6	R	1	lkaiin	G744-F0056	MATERIA_OR_INGREDIENT	0	F1_SINGLE_CONTEXT	olor	INGREDIENT	f80r|f80r.52|6|ol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0092	ol	1	f81r	f81r.15	2	R	1	sain	G744-F0193	DESCRIPTIVE_QUALITY	1	F3_RECURRENT_COMPLETE_CONTEXT	cheedy	CLOSE|DRY|VALUE	f81r|f81r.15|2|ol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0093	cheol	1	f82r	f82r.31	1	L	2	rsheedy	G744-F0146	OPEN	0	F0_OPEN	NONE	NONE	f82r|f82r.31|1|cheol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0094	ol	1	f82r	f82r.31	2	L	1	rsheedy	G744-F0146	OPEN	0	F0_OPEN	NONE	NONE	f82r|f82r.31|2|ol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0095	ol	1	f82r	f82r.33	2	R	1	sain	G744-F0194	DESCRIPTIVE_MATERIA	1	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	cheor	DRY|MATERIAL|PART	f82r|f82r.33|2|ol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0096	cheol	1	f82r	f82r.33	3	R	2	sain	G744-F0194	DESCRIPTIVE_MATERIA	1	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	cheor	DRY|MATERIAL|PART	f82r|f82r.33|3|cheol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0097	dal	0	f82v	f82v.11	6	R	5	pcheol	G744-F0129	DESCRIPTIVE_QUALITY	0	F1_SINGLE_CONTEXT	cheeky|qokeey	DRY|HOT|VALUE	f82v|f82v.11|6|dal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0098	ol	1	f85r2	f85r2.23	1	L	1	lcheol	G744-F0018	OPEN	0	F0_OPEN	NONE	NONE	f85r2|f85r2.23|1|ol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0099	chol	0	f85r2	f85r2.23	3	R	1	lcheol	G744-F0018	OPEN	0	F0_OPEN	NONE	NONE	f85r2|f85r2.23|3|chol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0100	ol	1	f85r2	f85r2.23	4	R	2	lcheol	G744-F0018	OPEN	0	F0_OPEN	NONE	NONE	f85r2|f85r2.23|4|ol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0101	dal	0	f86v3	f86v3.7	5	R	4	sain	G744-F0198	DESCRIPTIVE_QUALITY	1	F2_RECURRENT_TEMPLATE_PARTIAL_CONTEXT	ytaiin	COLD|VALUE	f86v3|f86v3.7|5|dal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0102	al	0	f86v5	f86v5.18	7	R	2	lkaiin	G744-F0058	DESCRIPTIVE_MATERIA	1	F3_RECURRENT_COMPLETE_CONTEXT	ody|otcho	CLOSE|COLD|DRY|PREPARATION	f86v5|f86v5.18|7|al	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0103	ytal	0	f86v6	f86v6.18	4	L	5	lkar	G744-F0114	OPEN	0	F0_OPEN	NONE	NONE	f86v6|f86v6.18|4|ytal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0104	chol	0	f86v6	f86v6.18	7	L	2	lkar	G744-F0114	OPEN	0	F0_OPEN	NONE	NONE	f86v6|f86v6.18|7|chol	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0105	otal	1	f86v6	f86v6.18	10	R	1	lkar	G744-F0114	OPEN	0	F0_OPEN	NONE	NONE	f86v6|f86v6.18|10|otal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0106	dal	0	f86v6	f86v6.27	3	R	1	lkar	G744-F0115	OPEN	0	F0_OPEN	NONE	NONE	f86v6|f86v6.27|3|dal	FIELD_NEIGHBOUR_ONLY	0	0
G804-FX0107	al	0	f86v6	f86v6.42	6	L	1	lkar	G744-F0116	OPEN	0	F0_OPEN	NONE	NONE	f86v6|f86v6.42|6|al	FIELD_NEIGHBOUR_ONLY	0	0
