amount_slot_id	expression_id	surface	is_gdt803_middle	page	physical_folio	locus	token_ordinal	expression_line_position	selected_side	amount_expression_eva	amount_candidate_de	slot_axis_class	slot_axes_before_gdt804	source_content_attachment_sides	source_clean_content_attachment_count	selected_side_is_clean_content_contact	open_positional_candidate	candidate_status	discovery_cell_excluded	cell_key	role_scope	literal_identity_credit	component_export_credit
G804-AS0018	G760-E0105	al	0	f115r	f115	f115r.28	3	MIDDLE	LEFT	saiin	drei Drachmen	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f115r|f115r.28|3|al	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0019	G760-E0107	chol	0	f115v	f115	f115v.15	2	FIRST	RIGHT	saiin	drei Drachmen	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f115v|f115v.15|2|chol	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0020	G760-E0123	keol	0	f2r	f2	f2r.10	7	MIDDLE	LEFT	saiin	drei Drachmen	CONTENT_PREP	HOT|MATERIAL	L	1	1	0	GDT760_LICENSED_CONTENT_CONTACT	0	f2r|f2r.10|7|keol	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0021	G760-E0142	chol	0	f3r	f3	f3r.20	4	MIDDLE	LEFT	s aiin	drei Drachmen	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f3r|f3r.20|4|chol	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0022	G760-E0152	oteol	0	f43v	f43	f43v.12	9	MIDDLE	LEFT	or aiin	drei Portionen	CONTENT_PREP	COLD|MATERIAL|PREPARATION|PROCESS|MIDDLE_STAGE	L|R	2	1	0	GDT760_LICENSED_CONTENT_CONTACT	0	f43v|f43v.12|9|oteol	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0023	G760-E0153	qokol	1	f46r	f46	f46r.3	8	MIDDLE	LEFT	s aiin	drei Drachmen	QUALITY_VALUE	HOT|PROCESS	NONE	0	0	0	POSITION_HEURISTIC_NONOPEN_CANDIDATE	0	f46r|f46r.3|8|qokol	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0024	G760-E0155	ol	1	f48v	f48	f48v.6	7	MIDDLE	LEFT	or ain	zwei Portionen	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f48v|f48v.6|7|ol	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0025	G760-E0156	dchol	0	f51v	f51	f51v.3	6	MIDDLE	LEFT	saiin	drei Drachmen	CONTENT_PREP	DRY|AMOUNT|MATERIAL	L	1	1	0	GDT760_LICENSED_CONTENT_CONTACT	0	f51v|f51v.3|6|dchol	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0026	G760-E0161	ol	1	f55v	f55	f55v.10	2	MIDDLE	LEFT	s aiin	drei Drachmen	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f55v|f55v.10|2|ol	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0027	G760-E0164	chokal	0	f58r	f58	f58r.41	2	MIDDLE	LEFT	saiin	drei Drachmen	CONTENT_PREP	HOT|DRY|MATERIAL|PREPARATION|BEGIN_STAGE	L	1	1	0	GDT760_LICENSED_CONTENT_CONTACT	0	f58r|f58r.41|2|chokal	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0028	G760-E0174	al	0	f76r	f76	f76r.15	4	MIDDLE	LEFT	ar aiin	drei Anteile	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f76r|f76r.15|4|al	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0029	G760-E0181	shol	0	f76r	f76	f76r.49	4	MIDDLE	LEFT	sain	zwei Drachmen	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f76r|f76r.49|4|shol	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0030	G760-E0201	ol	1	f78r	f78	f78r.37	2	MIDDLE	LEFT	s aiin	drei Drachmen	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f78r|f78r.37|2|ol	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0031	G760-E0204	al	0	f78v	f78	f78v.29	6	MIDDLE	LEFT	s aiiin	vier Drachmen	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f78v|f78v.29|6|al	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0032	G760-E0205	shol	0	f78v	f78	f78v.30	2	MIDDLE	LEFT	sain	zwei Drachmen	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f78v|f78v.30|2|shol	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0033	G760-E0208	chol	0	f79r	f79	f79r.19	3	MIDDLE	LEFT	sain	zwei Drachmen	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f79r|f79r.19|3|chol	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0034	G760-E0217	ol	1	f81r	f81	f81r.15	2	FIRST	RIGHT	sain	zwei Drachmen	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f81r|f81r.15|2|ol	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0035	G760-E0220	ol	1	f82r	f82	f82r.33	2	FIRST	RIGHT	sain	zwei Drachmen	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f82r|f82r.33|2|ol	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0036	G760-E0222	shedal	0	f83r	f83	f83r.15	2	FIRST	RIGHT	saiin	drei Drachmen	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f83r|f83r.15|2|shedal	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0038	G760-E0232	ol	1	f85r1	f85	f85r1.13	7	MIDDLE	LEFT	s aiin	drei Drachmen	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f85r1|f85r1.13|7|ol	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0039	G760-E0235	qokal	0	f85r1	f85	f85r1.27	5	MIDDLE	LEFT	saiin	drei Drachmen	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f85r1|f85r1.27|5|qokal	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0037	G760-E0229	cheol	1	f85r1	f85	f85r1.3	9	MIDDLE	LEFT	saiin	drei Drachmen	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f85r1|f85r1.3|9|cheol	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0040	G760-E0263	cheol	1	f88r	f88	f88r.10	2	MIDDLE	LEFT	saiin	drei Drachmen	OPEN	NONE	R	1	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f88r|f88r.10|2|cheol	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
G804-AS0041	G760-E0271	ol	1	f94v	f94	f94v.9	8	MIDDLE	LEFT	s aiin	drei Drachmen	OPEN	NONE	NONE	0	0	1	POSITION_HEURISTIC_OPEN_CANDIDATE	0	f94v|f94v.9|8|ol	POSITION_CONDITIONED_AMOUNT_NEIGHBOUR_CANDIDATE_ONLY	0	0
