pool_variant	target_surface	neighbor_rank	control_surface	individual_covariate_distance	outcome_fields_used_for_matching
PRIMARY_K12	cheol	12	cthol	2.77986732601	NONE
PRIMARY_K12	okail	1	daiil	1	NONE
PRIMARY_K12	okail	2	keel	1	NONE
PRIMARY_K12	okail	3	lchedal	1	NONE
PRIMARY_K12	okail	4	lkeal	1	NONE
PRIMARY_K12	okail	5	lolol	1	NONE
PRIMARY_K12	okail	6	olchal	1	NONE
PRIMARY_K12	okail	7	opalal	1	NONE
PRIMARY_K12	okail	8	qetal	1	NONE
PRIMARY_K12	okail	9	qokail	1	NONE
PRIMARY_K12	okail	10	qokalol	1	NONE
PRIMARY_K12	okail	11	tail	1	NONE
PRIMARY_K12	okail	12	tedal	1	NONE
PRIMARY_K12	okal	1	al	0.959289510638	NONE
PRIMARY_K12	okal	2	sheol	1.07639004416	NONE
PRIMARY_K12	okal	3	qokal	1.10665166415	NONE
PRIMARY_K12	okal	4	dol	1.20819960721	NONE
PRIMARY_K12	okal	5	shol	1.23677482166	NONE
PRIMARY_K12	okal	6	dal	1.2800262889	NONE
PRIMARY_K12	okal	7	okol	1.90906441133	NONE
PRIMARY_K12	okal	8	sol	2.20977616501	NONE
PRIMARY_K12	okal	9	qotol	2.36659998247	NONE
PRIMARY_K12	okal	10	chol	2.40535790738	NONE
PRIMARY_K12	okal	11	cthol	2.46846921229	NONE
PRIMARY_K12	okal	12	okeol	2.53726383579	NONE
PRIMARY_K12	ol	1	chol	1.1477075759	NONE
PRIMARY_K12	ol	2	dal	1.57588188942	NONE
PRIMARY_K12	ol	3	shol	1.88221443702	NONE
PRIMARY_K12	ol	4	qokal	1.91421911261	NONE
PRIMARY_K12	ol	5	al	1.91559524796	NONE
PRIMARY_K12	ol	6	sheol	2.69764520925	NONE
PRIMARY_K12	ol	7	dol	2.99976449541	NONE
PRIMARY_K12	ol	8	sol	3.65353216419	NONE
PRIMARY_K12	ol	9	okol	3.77465497483	NONE
PRIMARY_K12	ol	10	qotol	4.06586162173	NONE
PRIMARY_K12	ol	11	sal	4.21436048502	NONE
PRIMARY_K12	ol	12	okeol	4.3924796898	NONE
PRIMARY_K12	otal	1	qokal	0.981155263191	NONE
PRIMARY_K12	otal	2	sheol	1.02215214745	NONE
PRIMARY_K12	otal	3	al	1.0429218946	NONE
PRIMARY_K12	otal	4	dol	1.09019229174	NONE
PRIMARY_K12	otal	5	dal	1.42128082004	NONE
PRIMARY_K12	otal	6	shol	1.51610756652	NONE
PRIMARY_K12	otal	7	okol	1.80385600524	NONE
PRIMARY_K12	otal	8	sol	2.12307379771	NONE
PRIMARY_K12	otal	9	qotol	2.22161679918	NONE
PRIMARY_K12	otal	10	cthol	2.35814969595	NONE
PRIMARY_K12	otal	11	okeol	2.47950880422	NONE
PRIMARY_K12	otal	12	chol	2.58460534332	NONE
PRIMARY_K12	qokeol	1	okeol	0.506339214455	NONE
PRIMARY_K12	qokeol	2	qotol	0.973020784876	NONE
PRIMARY_K12	qokeol	3	tol	0.986505506429	NONE
PRIMARY_K12	qokeol	4	sal	0.993854129472	NONE
PRIMARY_K12	qokeol	5	oteol	0.995644654887	NONE
PRIMARY_K12	qokeol	6	kol	1.19895220149	NONE
PRIMARY_K12	qokeol	7	chl	1.32747680699	NONE
PRIMARY_K12	qokeol	8	okol	1.33168093447	NONE
PRIMARY_K12	qokeol	9	lol	1.3330336612	NONE
PRIMARY_K12	qokeol	10	kal	1.46121835438	NONE
PRIMARY_K12	qokeol	11	otchol	1.49697937449	NONE
PRIMARY_K12	qokeol	12	cthol	1.57164921561	NONE
PRIMARY_K12	qokol	1	sheol	0.451119816604	NONE
PRIMARY_K12	qokol	2	dol	0.707977608264	NONE
PRIMARY_K12	qokol	3	okol	1.12424700666	NONE
PRIMARY_K12	qokol	4	sol	1.32299126892	NONE
PRIMARY_K12	qokol	5	qokal	1.37352588576	NONE
PRIMARY_K12	qokol	6	qotol	1.53192072496	NONE
PRIMARY_K12	qokol	7	shol	1.57172546765	NONE
PRIMARY_K12	qokol	8	dal	1.76454990876	NONE
PRIMARY_K12	qokol	9	al	1.80939265333	NONE
PRIMARY_K12	qokol	10	cthol	1.91925087509	NONE
PRIMARY_K12	qokol	11	tol	1.9720237241	NONE
PRIMARY_K12	qokol	12	okeol	2.00012106052	NONE
PRIMARY_K12	qotal	1	sol	0.6757910541	NONE
PRIMARY_K12	qotal	2	okol	1.00754532702	NONE
PRIMARY_K12	qotal	3	qotol	1.05097435016	NONE
PRIMARY_K12	qotal	4	sal	1.1174035423	NONE
PRIMARY_K12	qotal	5	okeol	1.27127494165	NONE
PRIMARY_K12	qotal	6	cthol	1.27622425148	NONE
PRIMARY_K12	qotal	7	sheol	1.29984897641	NONE
PRIMARY_K12	qotal	8	dol	1.3381506671	NONE
PRIMARY_K12	qotal	9	lol	1.42307136241	NONE
PRIMARY_K12	qotal	10	tol	1.57979454865	NONE
PRIMARY_K12	qotal	11	chl	1.81342736726	NONE
PRIMARY_K12	qotal	12	kal	1.81906403707	NONE
PRIMARY_K12	sail	1	airal	1	NONE
PRIMARY_K12	sail	2	chcthal	1	NONE
PRIMARY_K12	sail	3	chlal	1	NONE
PRIMARY_K12	sail	4	oal	1	NONE
PRIMARY_K12	sail	5	oldal	1	NONE
PRIMARY_K12	sail	6	qokeeal	1	NONE
PRIMARY_K12	sail	7	qopal	1	NONE
PRIMARY_K12	sail	8	taral	1	NONE
PRIMARY_K12	sail	9	tchal	1	NONE
PRIMARY_K12	sail	10	okeedal	1.27165124753	NONE
PRIMARY_K12	sail	11	lcheal	1.40546510811	NONE
PRIMARY_K12	sail	12	pal	1.40546510811	NONE
SENSITIVITY_K10	chal	1	okeol	0.708743827601	NONE
SENSITIVITY_K10	chal	2	sal	0.792241517118	NONE
SENSITIVITY_K10	chal	3	qotol	0.811382464212	NONE
SENSITIVITY_K10	chal	4	tol	0.956477536249	NONE
SENSITIVITY_K10	chal	5	chl	1.01426633304	NONE
SENSITIVITY_K10	chal	6	oteol	1.10276385126	NONE
SENSITIVITY_K10	chal	7	kal	1.16599322841	NONE
SENSITIVITY_K10	chal	8	lol	1.18594040337	NONE
SENSITIVITY_K10	chal	9	kol	1.36358055538	NONE
SENSITIVITY_K10	chal	10	okol	1.42882602726	NONE
SENSITIVITY_K10	chedal	1	cheal	0.797370546196	NONE
SENSITIVITY_K10	chedal	2	chl	1.01022883603	NONE
SENSITIVITY_K10	chedal	3	chdal	1.06320691845	NONE
SENSITIVITY_K10	chedal	4	kal	1.13378332594	NONE
SENSITIVITY_K10	chedal	5	rol	1.13642632366	NONE
SENSITIVITY_K10	chedal	6	sheal	1.14807039259	NONE
SENSITIVITY_K10	chedal	7	keol	1.16077076767	NONE
SENSITIVITY_K10	chedal	8	ral	1.21909212028	NONE
SENSITIVITY_K10	chedal	9	shal	1.23115091907	NONE
SENSITIVITY_K10	chedal	10	dl	1.24156028727	NONE
SENSITIVITY_K10	cheol	1	shol	0.865104201592	NONE
SENSITIVITY_K10	cheol	2	al	1.02924636852	NONE
SENSITIVITY_K10	cheol	3	sheol	1.05835932921	NONE
SENSITIVITY_K10	cheol	4	qokal	1.11601819864	NONE
SENSITIVITY_K10	cheol	5	dal	1.11769441857	NONE
SENSITIVITY_K10	cheol	6	dol	1.47888722421	NONE
SENSITIVITY_K10	cheol	7	chol	2.02760704163	NONE
SENSITIVITY_K10	cheol	8	okol	2.11955386891	NONE
SENSITIVITY_K10	cheol	9	sol	2.12771829756	NONE
SENSITIVITY_K10	cheol	10	qotol	2.431118131	NONE
SENSITIVITY_K10	okail	1	daiil	1	NONE
SENSITIVITY_K10	okail	2	keel	1	NONE
SENSITIVITY_K10	okail	3	lchedal	1	NONE
SENSITIVITY_K10	okail	4	lkeal	1	NONE
SENSITIVITY_K10	okail	5	lolol	1	NONE
SENSITIVITY_K10	okail	6	olchal	1	NONE
SENSITIVITY_K10	okail	7	opalal	1	NONE
SENSITIVITY_K10	okail	8	qetal	1	NONE
SENSITIVITY_K10	okail	9	qokail	1	NONE
SENSITIVITY_K10	okail	10	qokalol	1	NONE
SENSITIVITY_K10	okal	1	al	0.959289510638	NONE
SENSITIVITY_K10	okal	2	sheol	1.07639004416	NONE
SENSITIVITY_K10	okal	3	qokal	1.10665166415	NONE
SENSITIVITY_K10	okal	4	dol	1.20819960721	NONE
SENSITIVITY_K10	okal	5	shol	1.23677482166	NONE
SENSITIVITY_K10	okal	6	dal	1.2800262889	NONE
SENSITIVITY_K10	okal	7	okol	1.90906441133	NONE
SENSITIVITY_K10	okal	8	sol	2.20977616501	NONE
SENSITIVITY_K10	okal	9	qotol	2.36659998247	NONE
SENSITIVITY_K10	okal	10	chol	2.40535790738	NONE
SENSITIVITY_K10	ol	1	chol	1.1477075759	NONE
SENSITIVITY_K10	ol	2	dal	1.57588188942	NONE
SENSITIVITY_K10	ol	3	shol	1.88221443702	NONE
SENSITIVITY_K10	ol	4	qokal	1.91421911261	NONE
SENSITIVITY_K10	ol	5	al	1.91559524796	NONE
SENSITIVITY_K10	ol	6	sheol	2.69764520925	NONE
SENSITIVITY_K10	ol	7	dol	2.99976449541	NONE
SENSITIVITY_K10	ol	8	sol	3.65353216419	NONE
SENSITIVITY_K10	ol	9	okol	3.77465497483	NONE
SENSITIVITY_K10	ol	10	qotol	4.06586162173	NONE
SENSITIVITY_K10	otal	1	qokal	0.981155263191	NONE
SENSITIVITY_K10	otal	2	sheol	1.02215214745	NONE
SENSITIVITY_K10	otal	3	al	1.0429218946	NONE
SENSITIVITY_K10	otal	4	dol	1.09019229174	NONE
SENSITIVITY_K10	otal	5	dal	1.42128082004	NONE
SENSITIVITY_K10	otal	6	shol	1.51610756652	NONE
SENSITIVITY_K10	otal	7	okol	1.80385600524	NONE
SENSITIVITY_K10	otal	8	sol	2.12307379771	NONE
SENSITIVITY_K10	otal	9	qotol	2.22161679918	NONE
SENSITIVITY_K10	otal	10	cthol	2.35814969595	NONE
SENSITIVITY_K10	qokeol	1	okeol	0.506339214455	NONE
SENSITIVITY_K10	qokeol	2	qotol	0.973020784876	NONE
SENSITIVITY_K10	qokeol	3	tol	0.986505506429	NONE
SENSITIVITY_K10	qokeol	4	sal	0.993854129472	NONE
SENSITIVITY_K10	qokeol	5	oteol	0.995644654887	NONE
SENSITIVITY_K10	qokeol	6	kol	1.19895220149	NONE
SENSITIVITY_K10	qokeol	7	chl	1.32747680699	NONE
SENSITIVITY_K10	qokeol	8	okol	1.33168093447	NONE
SENSITIVITY_K10	qokeol	9	lol	1.3330336612	NONE
SENSITIVITY_K10	qokeol	10	kal	1.46121835438	NONE
SENSITIVITY_K10	qokol	1	sheol	0.451119816604	NONE
SENSITIVITY_K10	qokol	2	dol	0.707977608264	NONE
SENSITIVITY_K10	qokol	3	okol	1.12424700666	NONE
SENSITIVITY_K10	qokol	4	sol	1.32299126892	NONE
SENSITIVITY_K10	qokol	5	qokal	1.37352588576	NONE
SENSITIVITY_K10	qokol	6	qotol	1.53192072496	NONE
SENSITIVITY_K10	qokol	7	shol	1.57172546765	NONE
SENSITIVITY_K10	qokol	8	dal	1.76454990876	NONE
SENSITIVITY_K10	qokol	9	al	1.80939265333	NONE
SENSITIVITY_K10	qokol	10	cthol	1.91925087509	NONE
SENSITIVITY_K10	qotal	1	sol	0.6757910541	NONE
SENSITIVITY_K10	qotal	2	okol	1.00754532702	NONE
SENSITIVITY_K10	qotal	3	qotol	1.05097435016	NONE
SENSITIVITY_K10	qotal	4	sal	1.1174035423	NONE
SENSITIVITY_K10	qotal	5	okeol	1.27127494165	NONE
SENSITIVITY_K10	qotal	6	cthol	1.27622425148	NONE
SENSITIVITY_K10	qotal	7	sheol	1.29984897641	NONE
SENSITIVITY_K10	qotal	8	dol	1.3381506671	NONE
SENSITIVITY_K10	qotal	9	lol	1.42307136241	NONE
SENSITIVITY_K10	qotal	10	tol	1.57979454865	NONE
SENSITIVITY_K10	sail	1	airal	1	NONE
SENSITIVITY_K10	sail	2	chcthal	1	NONE
SENSITIVITY_K10	sail	3	chlal	1	NONE
SENSITIVITY_K10	sail	4	oal	1	NONE
SENSITIVITY_K10	sail	5	oldal	1	NONE
SENSITIVITY_K10	sail	6	qokeeal	1	NONE
SENSITIVITY_K10	sail	7	qopal	1	NONE
SENSITIVITY_K10	sail	8	taral	1	NONE
SENSITIVITY_K10	sail	9	tchal	1	NONE
SENSITIVITY_K10	sail	10	okeedal	1.27165124753	NONE
LEAVE_OL_OUT_K10	chal	1	okeol	0.708743827601	NONE
LEAVE_OL_OUT_K10	chal	2	sal	0.792241517118	NONE
LEAVE_OL_OUT_K10	chal	3	qotol	0.811382464212	NONE
LEAVE_OL_OUT_K10	chal	4	tol	0.956477536249	NONE
LEAVE_OL_OUT_K10	chal	5	chl	1.01426633304	NONE
LEAVE_OL_OUT_K10	chal	6	oteol	1.10276385126	NONE
LEAVE_OL_OUT_K10	chal	7	kal	1.16599322841	NONE
LEAVE_OL_OUT_K10	chal	8	lol	1.18594040337	NONE
LEAVE_OL_OUT_K10	chal	9	kol	1.36358055538	NONE
LEAVE_OL_OUT_K10	chal	10	okol	1.42882602726	NONE
LEAVE_OL_OUT_K10	chedal	1	cheal	0.797370546196	NONE
LEAVE_OL_OUT_K10	chedal	2	chl	1.01022883603	NONE
LEAVE_OL_OUT_K10	chedal	3	chdal	1.06320691845	NONE
LEAVE_OL_OUT_K10	chedal	4	kal	1.13378332594	NONE
LEAVE_OL_OUT_K10	chedal	5	rol	1.13642632366	NONE
LEAVE_OL_OUT_K10	chedal	6	sheal	1.14807039259	NONE
LEAVE_OL_OUT_K10	chedal	7	keol	1.16077076767	NONE
LEAVE_OL_OUT_K10	chedal	8	ral	1.21909212028	NONE
LEAVE_OL_OUT_K10	chedal	9	shal	1.23115091907	NONE
LEAVE_OL_OUT_K10	chedal	10	dl	1.24156028727	NONE
LEAVE_OL_OUT_K10	cheol	1	shol	0.865104201592	NONE
LEAVE_OL_OUT_K10	cheol	2	al	1.02924636852	NONE
LEAVE_OL_OUT_K10	cheol	3	sheol	1.05835932921	NONE
LEAVE_OL_OUT_K10	cheol	4	qokal	1.11601819864	NONE
LEAVE_OL_OUT_K10	cheol	5	dal	1.11769441857	NONE
LEAVE_OL_OUT_K10	cheol	6	dol	1.47888722421	NONE
LEAVE_OL_OUT_K10	cheol	7	chol	2.02760704163	NONE
LEAVE_OL_OUT_K10	cheol	8	okol	2.11955386891	NONE
LEAVE_OL_OUT_K10	cheol	9	sol	2.12771829756	NONE
LEAVE_OL_OUT_K10	cheol	10	qotol	2.431118131	NONE
LEAVE_OL_OUT_K10	okail	1	daiil	1	NONE
LEAVE_OL_OUT_K10	okail	2	keel	1	NONE
LEAVE_OL_OUT_K10	okail	3	lchedal	1	NONE
LEAVE_OL_OUT_K10	okail	4	lkeal	1	NONE
LEAVE_OL_OUT_K10	okail	5	lolol	1	NONE
LEAVE_OL_OUT_K10	okail	6	olchal	1	NONE
LEAVE_OL_OUT_K10	okail	7	opalal	1	NONE
LEAVE_OL_OUT_K10	okail	8	qetal	1	NONE
LEAVE_OL_OUT_K10	okail	9	qokail	1	NONE
LEAVE_OL_OUT_K10	okail	10	qokalol	1	NONE
LEAVE_OL_OUT_K10	okal	1	al	0.959289510638	NONE
LEAVE_OL_OUT_K10	okal	2	sheol	1.07639004416	NONE
LEAVE_OL_OUT_K10	okal	3	qokal	1.10665166415	NONE
LEAVE_OL_OUT_K10	okal	4	dol	1.20819960721	NONE
LEAVE_OL_OUT_K10	okal	5	shol	1.23677482166	NONE
LEAVE_OL_OUT_K10	okal	6	dal	1.2800262889	NONE
LEAVE_OL_OUT_K10	okal	7	okol	1.90906441133	NONE
LEAVE_OL_OUT_K10	okal	8	sol	2.20977616501	NONE
LEAVE_OL_OUT_K10	okal	9	qotol	2.36659998247	NONE
LEAVE_OL_OUT_K10	okal	10	chol	2.40535790738	NONE
LEAVE_OL_OUT_K10	otal	1	qokal	0.981155263191	NONE
LEAVE_OL_OUT_K10	otal	2	sheol	1.02215214745	NONE
LEAVE_OL_OUT_K10	otal	3	al	1.0429218946	NONE
LEAVE_OL_OUT_K10	otal	4	dol	1.09019229174	NONE
LEAVE_OL_OUT_K10	otal	5	dal	1.42128082004	NONE
LEAVE_OL_OUT_K10	otal	6	shol	1.51610756652	NONE
LEAVE_OL_OUT_K10	otal	7	okol	1.80385600524	NONE
LEAVE_OL_OUT_K10	otal	8	sol	2.12307379771	NONE
LEAVE_OL_OUT_K10	otal	9	qotol	2.22161679918	NONE
LEAVE_OL_OUT_K10	otal	10	cthol	2.35814969595	NONE
LEAVE_OL_OUT_K10	qokeol	1	okeol	0.506339214455	NONE
LEAVE_OL_OUT_K10	qokeol	2	qotol	0.973020784876	NONE
LEAVE_OL_OUT_K10	qokeol	3	tol	0.986505506429	NONE
LEAVE_OL_OUT_K10	qokeol	4	sal	0.993854129472	NONE
LEAVE_OL_OUT_K10	qokeol	5	oteol	0.995644654887	NONE
LEAVE_OL_OUT_K10	qokeol	6	kol	1.19895220149	NONE
LEAVE_OL_OUT_K10	qokeol	7	chl	1.32747680699	NONE
LEAVE_OL_OUT_K10	qokeol	8	okol	1.33168093447	NONE
LEAVE_OL_OUT_K10	qokeol	9	lol	1.3330336612	NONE
LEAVE_OL_OUT_K10	qokeol	10	kal	1.46121835438	NONE
LEAVE_OL_OUT_K10	qokol	1	sheol	0.451119816604	NONE
LEAVE_OL_OUT_K10	qokol	2	dol	0.707977608264	NONE
LEAVE_OL_OUT_K10	qokol	3	okol	1.12424700666	NONE
LEAVE_OL_OUT_K10	qokol	4	sol	1.32299126892	NONE
LEAVE_OL_OUT_K10	qokol	5	qokal	1.37352588576	NONE
LEAVE_OL_OUT_K10	qokol	6	qotol	1.53192072496	NONE
LEAVE_OL_OUT_K10	qokol	7	shol	1.57172546765	NONE
LEAVE_OL_OUT_K10	qokol	8	dal	1.76454990876	NONE
LEAVE_OL_OUT_K10	qokol	9	al	1.80939265333	NONE
LEAVE_OL_OUT_K10	qokol	10	cthol	1.91925087509	NONE
LEAVE_OL_OUT_K10	qotal	1	sol	0.6757910541	NONE
LEAVE_OL_OUT_K10	qotal	2	okol	1.00754532702	NONE
LEAVE_OL_OUT_K10	qotal	3	qotol	1.05097435016	NONE
LEAVE_OL_OUT_K10	qotal	4	sal	1.1174035423	NONE
LEAVE_OL_OUT_K10	qotal	5	okeol	1.27127494165	NONE
LEAVE_OL_OUT_K10	qotal	6	cthol	1.27622425148	NONE
LEAVE_OL_OUT_K10	qotal	7	sheol	1.29984897641	NONE
LEAVE_OL_OUT_K10	qotal	8	dol	1.3381506671	NONE
LEAVE_OL_OUT_K10	qotal	9	lol	1.42307136241	NONE
LEAVE_OL_OUT_K10	qotal	10	tol	1.57979454865	NONE
LEAVE_OL_OUT_K10	sail	1	airal	1	NONE
LEAVE_OL_OUT_K10	sail	2	chcthal	1	NONE
LEAVE_OL_OUT_K10	sail	3	chlal	1	NONE
LEAVE_OL_OUT_K10	sail	4	oal	1	NONE
LEAVE_OL_OUT_K10	sail	5	oldal	1	NONE
LEAVE_OL_OUT_K10	sail	6	qokeeal	1	NONE
LEAVE_OL_OUT_K10	sail	7	qopal	1	NONE
LEAVE_OL_OUT_K10	sail	8	taral	1	NONE
LEAVE_OL_OUT_K10	sail	9	tchal	1	NONE
LEAVE_OL_OUT_K10	sail	10	okeedal	1.27165124753	NONE
