locus_serial	unit_id	page	locus	group_count	local_owner	local_namespace	namespace_reset	apprentice_primitive_sequence	write_instruction_de	orientation	crosspage_key
17	A1	f67r2	f67r2.17	3	A1_LEFT_LOCAL_FIELD_17	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 17 des linken f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
18	A1	f67r2	f67r2.18	3	A1_LEFT_LOCAL_FIELD_18	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 18 des linken f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
19	A1	f67r2	f67r2.19	4	A1_LEFT_LOCAL_FIELD_19	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 19 des linken f67r2-Rades; kopiere alle 4 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
20	A1	f67r2	f67r2.20	2	A1_LEFT_LOCAL_FIELD_20	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 20 des linken f67r2-Rades; kopiere alle 2 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
21	A1	f67r2	f67r2.21	3	A1_LEFT_LOCAL_FIELD_21	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 21 des linken f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
22	A1	f67r2	f67r2.22	1	A1_LEFT_LOCAL_FIELD_22	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 22 des linken f67r2-Rades; kopiere alle 1 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
23	A1	f67r2	f67r2.23	2	A1_LEFT_LOCAL_FIELD_23	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 23 des linken f67r2-Rades; kopiere alle 2 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
24	A1	f67r2	f67r2.24	3	A1_LEFT_LOCAL_FIELD_24	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 24 des linken f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
25	A1	f67r2	f67r2.25	1	A1_LEFT_LOCAL_FIELD_25	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 25 des linken f67r2-Rades; kopiere alle 1 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
26	A1	f67r2	f67r2.26	3	A1_LEFT_LOCAL_FIELD_26	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 26 des linken f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
27	A1	f67r2	f67r2.27	4	A1_LEFT_LOCAL_FIELD_27	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 27 des linken f67r2-Rades; kopiere alle 4 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
28	A1	f67r2	f67r2.28	2	A1_LEFT_LOCAL_FIELD_28	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 28 des linken f67r2-Rades; kopiere alle 2 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
29	A1	f67r2	f67r2.29	2	A1_LEFT_LOCAL_FIELD_29	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 29 des linken f67r2-Rades; kopiere alle 2 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
30	A1	f67r2	f67r2.30	2	A1_LEFT_LOCAL_FIELD_30	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 30 des linken f67r2-Rades; kopiere alle 2 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
31	A1	f67r2	f67r2.31	1	A1_LEFT_LOCAL_FIELD_31	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 31 des linken f67r2-Rades; kopiere alle 1 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
32	A1	f67r2	f67r2.32	4	A1_LEFT_LOCAL_FIELD_32	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 32 des linken f67r2-Rades; kopiere alle 4 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
33	A1	f67r2	f67r2.33	3	A1_LEFT_LOCAL_FIELD_33	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 33 des linken f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
34	A1	f67r2	f67r2.34	2	A1_LEFT_LOCAL_FIELD_34	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 34 des linken f67r2-Rades; kopiere alle 2 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
35	A1	f67r2	f67r2.35	3	A1_LEFT_LOCAL_FIELD_35	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 35 des linken f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
36	A1	f67r2	f67r2.36	3	A1_LEFT_LOCAL_FIELD_36	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 36 des linken f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
37	A1	f67r2	f67r2.37	1	A1_LEFT_LOCAL_FIELD_37	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 37 des linken f67r2-Rades; kopiere alle 1 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
38	A1	f67r2	f67r2.38	2	A1_LEFT_LOCAL_FIELD_38	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 38 des linken f67r2-Rades; kopiere alle 2 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
39	A1	f67r2	f67r2.39	3	A1_LEFT_LOCAL_FIELD_39	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 39 des linken f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
40	A1	f67r2	f67r2.40	3	A1_LEFT_LOCAL_FIELD_40	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 40 des linken f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
41	A1	f67r2	f67r2.41	2	A1_LEFT_LOCAL_FIELD_41	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 41 des linken f67r2-Rades; kopiere alle 2 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
42	A1	f67r2	f67r2.42	3	A1_LEFT_LOCAL_FIELD_42	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 42 des linken f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
43	A1	f67r2	f67r2.43	4	A1_LEFT_LOCAL_FIELD_43	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 43 des linken f67r2-Rades; kopiere alle 4 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
44	A1	f67r2	f67r2.44	3	A1_LEFT_LOCAL_FIELD_44	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 44 des linken f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
45	A1	f67r2	f67r2.45	3	A1_LEFT_LOCAL_FIELD_45	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 45 des linken f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
46	A1	f67r2	f67r2.46	2	A1_LEFT_LOCAL_FIELD_46	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 46 des linken f67r2-Rades; kopiere alle 2 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
47	A1	f67r2	f67r2.47	1	A1_LEFT_LOCAL_FIELD_47	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 47 des linken f67r2-Rades; kopiere alle 1 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
48	A1	f67r2	f67r2.48	3	A1_LEFT_LOCAL_FIELD_48	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 48 des linken f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
49	A1	f67r2	f67r2.49	3	A1_LEFT_LOCAL_FIELD_49	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 49 des linken f67r2-Rades; kopiere alle 3 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
50	A1	f67r2	f67r2.50	2	A1_LEFT_LOCAL_FIELD_50	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 50 des linken f67r2-Rades; kopiere alle 2 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
51	A1	f67r2	f67r2.51	1	A1_LEFT_LOCAL_FIELD_51	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige gegenwärtiges lokales Radial-/Ringfeld 51 des linken f67r2-Rades; kopiere alle 1 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
52	A1	f67r2	f67r2.52	1	A1_LEFT_OUTER_STAR_STATION_01	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige äußerer Sternplatz 01 des linken f67r2-Rades; kopiere alle 1 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
53	A1	f67r2	f67r2.53	1	A1_LEFT_OUTER_STAR_STATION_02	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige äußerer Sternplatz 02 des linken f67r2-Rades; kopiere alle 1 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
54	A1	f67r2	f67r2.54	2	A1_LEFT_OUTER_STAR_STATION_03	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige äußerer Sternplatz 03 des linken f67r2-Rades; kopiere alle 2 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
55	A1	f67r2	f67r2.55	1	A1_LEFT_OUTER_STAR_STATION_04	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige äußerer Sternplatz 04 des linken f67r2-Rades; kopiere alle 1 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
56	A1	f67r2	f67r2.56	2	A1_LEFT_OUTER_STAR_STATION_05	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige äußerer Sternplatz 05 des linken f67r2-Rades; kopiere alle 2 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
57	A1	f67r2	f67r2.57	2	A1_LEFT_OUTER_STAR_STATION_06	A1_LEFT_WHEEL_ONLY	NO	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Zeige äußerer Sternplatz 06 des linken f67r2-Rades; kopiere alle 2 Gruppen; lies den Wert nur unter A1_LEFT_WHEEL_ONLY.	NONE	NONE
