group_serial	unit_id	page	locus	event_index	opaque_local_id	local_owner	local_namespace	locus_primitive_sequence	copy_instruction_de	semantic_reading
11	A1	f67r2	f67r2.4	2	A1:G011	A1_RIGHT_SECTOR_SLOT_04	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 2 am Besitzer A1_RIGHT_SECTOR_SLOT_04.	LOCAL_MASTER_KEY_ONLY
12	A1	f67r2	f67r2.5	1	A1:G012	A1_RIGHT_SECTOR_SLOT_05	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 1 am Besitzer A1_RIGHT_SECTOR_SLOT_05.	LOCAL_MASTER_KEY_ONLY
13	A1	f67r2	f67r2.5	2	A1:G013	A1_RIGHT_SECTOR_SLOT_05	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 2 am Besitzer A1_RIGHT_SECTOR_SLOT_05.	LOCAL_MASTER_KEY_ONLY
14	A1	f67r2	f67r2.6	1	A1:G014	A1_RIGHT_SECTOR_SLOT_06	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 1 am Besitzer A1_RIGHT_SECTOR_SLOT_06.	LOCAL_MASTER_KEY_ONLY
15	A1	f67r2	f67r2.7	1	A1:G015	A1_RIGHT_SECTOR_SLOT_07	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 1 am Besitzer A1_RIGHT_SECTOR_SLOT_07.	LOCAL_MASTER_KEY_ONLY
16	A1	f67r2	f67r2.7	2	A1:G016	A1_RIGHT_SECTOR_SLOT_07	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 2 am Besitzer A1_RIGHT_SECTOR_SLOT_07.	LOCAL_MASTER_KEY_ONLY
17	A1	f67r2	f67r2.7	3	A1:G017	A1_RIGHT_SECTOR_SLOT_07	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 3 am Besitzer A1_RIGHT_SECTOR_SLOT_07.	LOCAL_MASTER_KEY_ONLY
18	A1	f67r2	f67r2.8	1	A1:G018	A1_RIGHT_SECTOR_SLOT_08	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 1 am Besitzer A1_RIGHT_SECTOR_SLOT_08.	LOCAL_MASTER_KEY_ONLY
19	A1	f67r2	f67r2.9	1	A1:G019	A1_RIGHT_SECTOR_SLOT_09	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 1 am Besitzer A1_RIGHT_SECTOR_SLOT_09.	LOCAL_MASTER_KEY_ONLY
20	A1	f67r2	f67r2.9	2	A1:G020	A1_RIGHT_SECTOR_SLOT_09	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 2 am Besitzer A1_RIGHT_SECTOR_SLOT_09.	LOCAL_MASTER_KEY_ONLY
21	A1	f67r2	f67r2.10	1	A1:G021	A1_RIGHT_SECTOR_SLOT_10	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 1 am Besitzer A1_RIGHT_SECTOR_SLOT_10.	LOCAL_MASTER_KEY_ONLY
22	A1	f67r2	f67r2.10	2	A1:G022	A1_RIGHT_SECTOR_SLOT_10	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 2 am Besitzer A1_RIGHT_SECTOR_SLOT_10.	LOCAL_MASTER_KEY_ONLY
23	A1	f67r2	f67r2.10	3	A1:G023	A1_RIGHT_SECTOR_SLOT_10	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 3 am Besitzer A1_RIGHT_SECTOR_SLOT_10.	LOCAL_MASTER_KEY_ONLY
24	A1	f67r2	f67r2.11	1	A1:G024	A1_RIGHT_SECTOR_SLOT_11	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 1 am Besitzer A1_RIGHT_SECTOR_SLOT_11.	LOCAL_MASTER_KEY_ONLY
25	A1	f67r2	f67r2.11	2	A1:G025	A1_RIGHT_SECTOR_SLOT_11	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 2 am Besitzer A1_RIGHT_SECTOR_SLOT_11.	LOCAL_MASTER_KEY_ONLY
26	A1	f67r2	f67r2.11	3	A1:G026	A1_RIGHT_SECTOR_SLOT_11	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 3 am Besitzer A1_RIGHT_SECTOR_SLOT_11.	LOCAL_MASTER_KEY_ONLY
27	A1	f67r2	f67r2.12	1	A1:G027	A1_RIGHT_SECTOR_SLOT_12	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 1 am Besitzer A1_RIGHT_SECTOR_SLOT_12.	LOCAL_MASTER_KEY_ONLY
28	A1	f67r2	f67r2.12	2	A1:G028	A1_RIGHT_SECTOR_SLOT_12	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 2 am Besitzer A1_RIGHT_SECTOR_SLOT_12.	LOCAL_MASTER_KEY_ONLY
29	A1	f67r2	f67r2.13	1	A1:G029	A1_RIGHT_RING_BAND_01	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 1 am Besitzer A1_RIGHT_RING_BAND_01.	LOCAL_MASTER_KEY_ONLY
30	A1	f67r2	f67r2.13	2	A1:G030	A1_RIGHT_RING_BAND_01	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 2 am Besitzer A1_RIGHT_RING_BAND_01.	LOCAL_MASTER_KEY_ONLY
31	A1	f67r2	f67r2.13	3	A1:G031	A1_RIGHT_RING_BAND_01	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 3 am Besitzer A1_RIGHT_RING_BAND_01.	LOCAL_MASTER_KEY_ONLY
32	A1	f67r2	f67r2.13	4	A1:G032	A1_RIGHT_RING_BAND_01	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 4 am Besitzer A1_RIGHT_RING_BAND_01.	LOCAL_MASTER_KEY_ONLY
33	A1	f67r2	f67r2.14	1	A1:G033	A1_RIGHT_RING_BAND_02	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 1 am Besitzer A1_RIGHT_RING_BAND_02.	LOCAL_MASTER_KEY_ONLY
34	A1	f67r2	f67r2.14	2	A1:G034	A1_RIGHT_RING_BAND_02	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 2 am Besitzer A1_RIGHT_RING_BAND_02.	LOCAL_MASTER_KEY_ONLY
35	A1	f67r2	f67r2.14	3	A1:G035	A1_RIGHT_RING_BAND_02	A1_RIGHT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 3 am Besitzer A1_RIGHT_RING_BAND_02.	LOCAL_MASTER_KEY_ONLY
36	A1	f67r2	f67r2.15	1	A1:G036	A1_LEFT_LOCAL_FIELD_15	A1_LEFT_WHEEL_ONLY	RESET_AT_NAMESPACE_CHANGE>SELECT_NAMESPACE>SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 1 am Besitzer A1_LEFT_LOCAL_FIELD_15.	LOCAL_MASTER_KEY_ONLY
37	A1	f67r2	f67r2.16	1	A1:G037	A1_LEFT_LOCAL_FIELD_16	A1_LEFT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 1 am Besitzer A1_LEFT_LOCAL_FIELD_16.	LOCAL_MASTER_KEY_ONLY
38	A1	f67r2	f67r2.16	2	A1:G038	A1_LEFT_LOCAL_FIELD_16	A1_LEFT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 2 am Besitzer A1_LEFT_LOCAL_FIELD_16.	LOCAL_MASTER_KEY_ONLY
39	A1	f67r2	f67r2.16	3	A1:G039	A1_LEFT_LOCAL_FIELD_16	A1_LEFT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 3 am Besitzer A1_LEFT_LOCAL_FIELD_16.	LOCAL_MASTER_KEY_ONLY
40	A1	f67r2	f67r2.16	4	A1:G040	A1_LEFT_LOCAL_FIELD_16	A1_LEFT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 4 am Besitzer A1_LEFT_LOCAL_FIELD_16.	LOCAL_MASTER_KEY_ONLY
41	A1	f67r2	f67r2.17	1	A1:G041	A1_LEFT_LOCAL_FIELD_17	A1_LEFT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 1 am Besitzer A1_LEFT_LOCAL_FIELD_17.	LOCAL_MASTER_KEY_ONLY
42	A1	f67r2	f67r2.17	2	A1:G042	A1_LEFT_LOCAL_FIELD_17	A1_LEFT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 2 am Besitzer A1_LEFT_LOCAL_FIELD_17.	LOCAL_MASTER_KEY_ONLY
43	A1	f67r2	f67r2.17	3	A1:G043	A1_LEFT_LOCAL_FIELD_17	A1_LEFT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 3 am Besitzer A1_LEFT_LOCAL_FIELD_17.	LOCAL_MASTER_KEY_ONLY
44	A1	f67r2	f67r2.18	1	A1:G044	A1_LEFT_LOCAL_FIELD_18	A1_LEFT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 1 am Besitzer A1_LEFT_LOCAL_FIELD_18.	LOCAL_MASTER_KEY_ONLY
45	A1	f67r2	f67r2.18	2	A1:G045	A1_LEFT_LOCAL_FIELD_18	A1_LEFT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 2 am Besitzer A1_LEFT_LOCAL_FIELD_18.	LOCAL_MASTER_KEY_ONLY
46	A1	f67r2	f67r2.18	3	A1:G046	A1_LEFT_LOCAL_FIELD_18	A1_LEFT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 3 am Besitzer A1_LEFT_LOCAL_FIELD_18.	LOCAL_MASTER_KEY_ONLY
47	A1	f67r2	f67r2.19	1	A1:G047	A1_LEFT_LOCAL_FIELD_19	A1_LEFT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 1 am Besitzer A1_LEFT_LOCAL_FIELD_19.	LOCAL_MASTER_KEY_ONLY
48	A1	f67r2	f67r2.19	2	A1:G048	A1_LEFT_LOCAL_FIELD_19	A1_LEFT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 2 am Besitzer A1_LEFT_LOCAL_FIELD_19.	LOCAL_MASTER_KEY_ONLY
49	A1	f67r2	f67r2.19	3	A1:G049	A1_LEFT_LOCAL_FIELD_19	A1_LEFT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 3 am Besitzer A1_LEFT_LOCAL_FIELD_19.	LOCAL_MASTER_KEY_ONLY
50	A1	f67r2	f67r2.19	4	A1:G050	A1_LEFT_LOCAL_FIELD_19	A1_LEFT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 4 am Besitzer A1_LEFT_LOCAL_FIELD_19.	LOCAL_MASTER_KEY_ONLY
51	A1	f67r2	f67r2.20	1	A1:G051	A1_LEFT_LOCAL_FIELD_20	A1_LEFT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 1 am Besitzer A1_LEFT_LOCAL_FIELD_20.	LOCAL_MASTER_KEY_ONLY
52	A1	f67r2	f67r2.20	2	A1:G052	A1_LEFT_LOCAL_FIELD_20	A1_LEFT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 2 am Besitzer A1_LEFT_LOCAL_FIELD_20.	LOCAL_MASTER_KEY_ONLY
53	A1	f67r2	f67r2.21	1	A1:G053	A1_LEFT_LOCAL_FIELD_21	A1_LEFT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 1 am Besitzer A1_LEFT_LOCAL_FIELD_21.	LOCAL_MASTER_KEY_ONLY
54	A1	f67r2	f67r2.21	2	A1:G054	A1_LEFT_LOCAL_FIELD_21	A1_LEFT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 2 am Besitzer A1_LEFT_LOCAL_FIELD_21.	LOCAL_MASTER_KEY_ONLY
55	A1	f67r2	f67r2.21	3	A1:G055	A1_LEFT_LOCAL_FIELD_21	A1_LEFT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 3 am Besitzer A1_LEFT_LOCAL_FIELD_21.	LOCAL_MASTER_KEY_ONLY
56	A1	f67r2	f67r2.22	1	A1:G056	A1_LEFT_LOCAL_FIELD_22	A1_LEFT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 1 am Besitzer A1_LEFT_LOCAL_FIELD_22.	LOCAL_MASTER_KEY_ONLY
57	A1	f67r2	f67r2.23	1	A1:G057	A1_LEFT_LOCAL_FIELD_23	A1_LEFT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 1 am Besitzer A1_LEFT_LOCAL_FIELD_23.	LOCAL_MASTER_KEY_ONLY
58	A1	f67r2	f67r2.23	2	A1:G058	A1_LEFT_LOCAL_FIELD_23	A1_LEFT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 2 am Besitzer A1_LEFT_LOCAL_FIELD_23.	LOCAL_MASTER_KEY_ONLY
59	A1	f67r2	f67r2.24	1	A1:G059	A1_LEFT_LOCAL_FIELD_24	A1_LEFT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 1 am Besitzer A1_LEFT_LOCAL_FIELD_24.	LOCAL_MASTER_KEY_ONLY
60	A1	f67r2	f67r2.24	2	A1:G060	A1_LEFT_LOCAL_FIELD_24	A1_LEFT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 2 am Besitzer A1_LEFT_LOCAL_FIELD_24.	LOCAL_MASTER_KEY_ONLY
61	A1	f67r2	f67r2.24	3	A1:G061	A1_LEFT_LOCAL_FIELD_24	A1_LEFT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 3 am Besitzer A1_LEFT_LOCAL_FIELD_24.	LOCAL_MASTER_KEY_ONLY
62	A1	f67r2	f67r2.25	1	A1:G062	A1_LEFT_LOCAL_FIELD_25	A1_LEFT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 1 am Besitzer A1_LEFT_LOCAL_FIELD_25.	LOCAL_MASTER_KEY_ONLY
63	A1	f67r2	f67r2.26	1	A1:G063	A1_LEFT_LOCAL_FIELD_26	A1_LEFT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 1 am Besitzer A1_LEFT_LOCAL_FIELD_26.	LOCAL_MASTER_KEY_ONLY
64	A1	f67r2	f67r2.26	2	A1:G064	A1_LEFT_LOCAL_FIELD_26	A1_LEFT_WHEEL_ONLY	SELECT_LOCAL_SLOT>COPY_OPAQUE_GROUPS>READ_WITH_LOCAL_KEY>PRESERVE_NO_ORIENTATION>NO_CROSSPAGE_JOIN	Kopiere Gruppe 2 am Besitzer A1_LEFT_LOCAL_FIELD_26.	LOCAL_MASTER_KEY_ONLY
