statement_id	formula_family	layout_token	token_kind	start_card_ordinal	end_card_ordinal	expanded_card_sequence
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	M01	SHARED_MOTIF	15	15	AIIN
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	T05	LOCAL_TAIL_STRIP	16	16	OK+EE+AL
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	M01	SHARED_MOTIF	17	17	AIIN
B1-S002	BIO_ADDRESS_CONTINUATION_ECHO	T09	LOCAL_TAIL_STRIP	18	19	CKH+Y | CHD+DY
B3-S021	BIO_ADDRESS_CONTINUATION_ECHO	M07	SHARED_MOTIF	1	1	OK+AIIN
B3-S021	BIO_ADDRESS_CONTINUATION_ECHO	M05	SHARED_MOTIF	2	2	CTH+Y
B3-S021	BIO_ADDRESS_CONTINUATION_ECHO	M03	SHARED_MOTIF	3	3	AL
B3-S021	BIO_ADDRESS_CONTINUATION_ECHO	M02	SHARED_MOTIF	4	4	Y
B3-S021	BIO_ADDRESS_CONTINUATION_ECHO	M01	SHARED_MOTIF	5	5	AIIN
B3-S021	BIO_ADDRESS_CONTINUATION_ECHO	T12	LOCAL_TAIL_STRIP	6	7	SHED+AL | SH+E+CTH+Y
B3-S021	BIO_ADDRESS_CONTINUATION_ECHO	M02	SHARED_MOTIF	8	8	Y
B3-S021	BIO_ADDRESS_CONTINUATION_ECHO	M03	SHARED_MOTIF	9	9	AL
B3-S021	BIO_ADDRESS_CONTINUATION_ECHO	M05	SHARED_MOTIF	10	10	CTH+Y
B3-S021	BIO_ADDRESS_CONTINUATION_ECHO	T02	LOCAL_TAIL_STRIP	11	11	AL+CHD+DY
B6-S001	BIO_ADDRESS_CONTINUATION_ECHO	T17	LOCAL_TAIL_STRIP	1	3	SOLK+EE+Y | E+K+E+Y | R+AL+Y
B6-S001	BIO_ADDRESS_CONTINUATION_ECHO	M04	SHARED_MOTIF	4	4	OL
B6-S001	BIO_ADDRESS_CONTINUATION_ECHO	M01	SHARED_MOTIF	5	5	AIIN
B6-S001	BIO_ADDRESS_CONTINUATION_ECHO	M04	SHARED_MOTIF	6	6	OL
B6-S001	BIO_ADDRESS_CONTINUATION_ECHO	T01	LOCAL_TAIL_STRIP	7	7	AIN
B6-S001	BIO_ADDRESS_CONTINUATION_ECHO	M02	SHARED_MOTIF	8	8	Y
B6-S001	BIO_ADDRESS_CONTINUATION_ECHO	T04	LOCAL_TAIL_STRIP	9	9	L+AL+OR
