statement_id	meta_rules	variant_ids	generation_layer	layout_tokens	forward_recipe_sequence	forward_cards
B1-S006	M8_SPLIT_OR_REDISTRIBUTE_NEIGHBORS	P755:R1_SPLIT_PASSAGE_AND_TRANSFER	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+AIN | CKH+Y | L | R+AL	4
B1-S007	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+CHD+DY	1
B1-S008	M4_WRITE_CONTINUATION_BRIDGE	P752:R2_CURRENT_ITEM_CONTINUATION_CADENCE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	Y | OL | CHK+E+Y | OL | SHED+DY	5
B1-S009	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+E+DY	1
B1-S010	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+E+DY	1
B1-S011	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	CKH+Y | OK+Y	2
B1-S012	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	LSH+O | OK+E+Y | LSH+E+DY	3
B1-S013	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	LSH+E+DY	1
B1-S014	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	5
B1-S015	M6_USE_ATTESTED_WITHIN_CARD_ORDER	P754:R3_USE_ATTESTED_T_E_Y_ORDER	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	T+E+Y | OK+CHD+DY	2
B1-S016	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+AL | OK+EE+Y | OL | SHED+DY	4
B1-S017	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	AL | E+OL | CHD+DY	3
B1-S018	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	L+Y | SH+E+OL | O+IIN | SOLK+EE+DY	4
B1-S019	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	SHED+DY	1
B1-S020	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	CHK+E+Y | SH+CKH+E+DY	2
B1-S021	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	AL	1
B2-S001	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	CHD+DY	1
B2-S002	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OL+CHD+DY	1
B2-S003	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+AIN | Y | OK+EE+DY	3
B2-S004	M5_PACK_ADDRESS_OR_HEAD_WITH_NEIGHBOR	P754:R4_PACK_L_WITH_PASSAGE_ITEM	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	5
B2-S005	M7_REPEAT_ONE_CARD	P754:R5_REPEAT_MEASURED_ACTIVATION	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	8
B2-S006	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	4
B2-S007	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	SH+E+DY	1
B2-S008	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OT+AIIN | OK+AR | SHED+DY	3
B2-S009	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OL+SH+E+DY	1
B2-S010	M2_SHIFT_GRADE_IN_ACTIVATION_CASCADE	P748:R2_STAGED_ACTIVATION_BEFORE_HOLD	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+EE+Y | OK+Y | OL | SH+EE+Y	4
B2-S011	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+AIN | AR | OK+AIN | OK+EE+DY	4
B2-S012	M3_PACK_MEASURE_FRAME	P751:R2_MEASURED_ITEM_BEFORE_FULL_CLOSE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | Y | OK+EEE+DY	8
B2-S013	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	L+CHD+DY	1
B2-S014	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	L+AR	1
B2-S015	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	SH+E+Y | OK+EE+DY	2
B2-S016	M5_PACK_ADDRESS_OR_HEAD_WITH_NEIGHBOR	P754:R6_PACK_OK_WITH_MEASURE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+DY	8
B2-S017	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	R+SH+E+AL | AL+DY	2
B2-S018	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+EE+DY	1
B2-S019	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	R+SHED+DY	1
B2-S020	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OT+EE+DY	1
B2-S021	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+EE+DY	1
B2-S022	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	L+O+CHD+DY	1
B3-S001	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	SOLK+EE+DY	1
B3-S002	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OT+AL | CHK+EE+DY	2
B3-S003	M1_ECHO_CURRENT_ITEM_OR_PREPARATION	P748:R1_MEASURED_ITEM_BEFORE_CLOSED_TRANSFER	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	Y | AIIN | Y | L+CHD+DY	4
B3-S004	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+AIIN | OT+AL | AR	3
B3-S005	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	CHD+DY	1
B3-S006	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	CHD+Y | OK+AL | OL+CHD+DY	3
B3-S007	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+AIIN | CHD+Y | OK+EE+DY	3
B3-S008	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	L+CHD+DY	1
B3-S009	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+Y	1
B3-S010	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	P+CHD+AL | OT+E+DY	2
B3-S011	M5_PACK_ADDRESS_OR_HEAD_WITH_NEIGHBOR	P754:R7_PACK_SOURCE_WITH_ITEM	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR+Y	4
B3-S012	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OR | SHED+DY	2
B3-S013	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+AIIN | K+AIN | CTH+E+Y | OK+E+DY	4
B3-S014	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+AIR | SH+EE+DY	2
B3-S015	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	L+CHD+DY	1
B3-S016	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	L+O | OK+CHD+DY	2
B3-S017	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+EE+DY	1
B3-S018	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	SHED+DY	1
B3-S019	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+SH+E+DY	1
B3-S020	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	AL | L+CHD+DY	2
B3-S021	NONE	NONE	MOTIF_TAIL_LAYOUT	M07 M05 M03 M02 M01 T12 M02 M03 M05 T02	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | SH+E+CTH+Y | Y | AL | CTH+Y | AL+CHD+DY	11
B3-S022	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OT+CHD+DY	1
B3-S023	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	L+CHD+DY	1
B3-S024	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	CHD+DY	1
B3-S025	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+CHD+DY	1
B3-S026	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	EE+AR | L+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+R+OR | SOLK+EE+DY	7
B3-S027	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OT+EE+DY	1
B3-S028	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+EE+Y | OK+E+DY	2
B3-S029	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OL | EEE+T+Y | OK+E+DY	3
B3-S030	M3_PACK_MEASURE_FRAME	P751:R3_ACTIVATE_THEN_MEASURE_BEFORE_WATER_TRANSFER	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+Y | AIIN | CHD+AIR | OT+CHD+DY	4
B3-S031	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+EE+DY	1
B3-S032	M9_WRITE_ORDERED_CADENCE	P756:R3_ORDERED_TRANSFER_MEASURE_CLOSE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+DY	5
B3-S033	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	L+DY	1
B3-S034	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	O+IIN | CTH+Y | T+Y | OT+AIIN | OL+AL+Y | SHED+DY	6
B4-S001	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+EE+DY	1
B4-S002	M8_SPLIT_OR_REDISTRIBUTE_NEIGHBORS	P755:R2_REDISTRIBUTE_CONTINUATION_AND_ACTIVE_ITEM	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OL+Y | OK+EE+Y | OK+E+DY	3
B4-S003	M2_SHIFT_GRADE_IN_ACTIVATION_CASCADE	P748:R3_STAGED_ACTIVATION_AFTER_NEXT_TARGET	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+DY	7
B4-S004	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+Y+LD+DY	1
B4-S005	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	AIN | CHD+Y | OK+EE+DY	3
B4-S006	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	SH+CKH+E+DY	1
B4-S007	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	SH+CKH+E+DY	1
B4-S008	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+DY	4
B4-S009	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	SHED+DY	1
B4-S010	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OL+DY	1
B4-S011	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+K+E+DY	7
B4-S012	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	L+CHD+DY	1
B4-S013	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+OL | SHED+DY	2
B4-S014	M1_ECHO_CURRENT_ITEM_OR_PREPARATION	P750:R3_PREPARATION_BEFORE_PASSAGE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OR | Y | O+CKH+E+Y | AIR+Y+DY	4
B4-S015	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | SOLK+E+Y | L+CHD+DY	6
B4-S016	M5_PACK_ADDRESS_OR_HEAD_WITH_NEIGHBOR	P752:R3_PORTION_TARGET_SOURCE_BRIDGE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OL+K+AIN | AL | K+AR | SHED+DY	4
B5-S001	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OT+CHD+DY	1
B5-S002	NONE	NONE	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	OK+CHD+DY	1
B5-S003	M4_WRITE_CONTINUATION_BRIDGE	P752:R4_TARGET_CONTINUATION_BEFORE_TRANSFER	PRODUCTIVE_PLUS_PARAMETERIZED_RULES	NONE	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y	9
B6-S001	NONE	NONE	MOTIF_TAIL_LAYOUT	T17 M04 M01 M04 T01 M02 T04	SOLK+EE+Y | E+K+E+Y | R+AL+Y | OL | AIIN | OL | AIN | Y | L+AL+OR	9
