rank	locus	zl3b_line	manual_workshop_translation_de	notes	automatic_v47_translation_de	v47_unknown_tokens	comparison_scope
11	f56r.12	sh cho kchey qokokchy	Einweichen; Trockenansatz; heiß und bis zur mittleren Trockenstufe. Erhitze, setze an, erhitze erneut, trockne und schließe ab.	Der letzte Block ist eine echte fünfteilige Prozessanweisung.	einweichen; Trockenansatz; heiß und bis zur mittleren Trockenstufe; erhitze, setze an, erhitze erneut, trockne und schließe ab	0	manual workshop prose versus deterministic V47 renderer; neither is confirmed plaintext
12	f32v.3	shor daiin chckhy dsho dain daiin s shokey ka	Blüten-/Fruchtstand beziehungsweise Blüten- oder Fruchtdroge; Menge III; trockenes Arzneikompositum am Gradanfang. Miss eine Dosis Feuchtansatz ab; zwei Maße; drei Maße; Saatgutposten; heiß-feuchter Ansatz auf Mittelstufe; ein erhitzter Teil.	ka ist eine nominale Teilangabe; die einzige neue Messhandlung stammt aus dsho.	Blüten-/Fruchtstand; Blüten- oder Fruchtdroge; Menge/Portion III; Arzneikompositum: trocken, Gradanfang; eine Dosis Feuchtansatz abmessen; zwei Maße; drei Maße; Samen-/Saatgutposten; heiß-feuchter Ansatz in der Gradmitte; ein erhitzter Teil	0	manual workshop prose versus deterministic V47 renderer; neither is confirmed plaintext
13	f10v.3	dsho ytey kchol ol ty chol dy	Miss eine Dosis Feuchtansatz ab; kühle hiervon bis zur Mittelstufe ab und schließe ab; erhitztes Trockengut; Grundansatz; leicht gekühlt; Trockengut.	Das freie finale dy erhält hier keine zusätzliche V47-Handlung; ytey trägt bereits Kühl- und Abschlussbefehl.	eine Dosis Feuchtansatz abmessen; kühle hiervon bis zur Mittelstufe ab und schließe ab; erhitztes Trockengut; Grundansatz; leicht gekühlt; Trockengut.	0	manual workshop prose versus deterministic V47 renderer; neither is confirmed plaintext
14	f47r.11	dsho cphy daiin daiiny	Miss eine Dosis Feuchtansatz ab; Arzneikompositum in Grundform; drei Maße. Miss drei Teile ab und schließe ab.	cphy ist nominale Kompositumkarte zwischen zwei Messhandlungen.	eine Dosis Feuchtansatz abmessen; Arzneikompositum in Grundform; drei Maße; drei Teile abmessen und abschließen	0	manual workshop prose versus deterministic V47 renderer; neither is confirmed plaintext
15	f3v.13	shar shkaiin qokchy yty cthal chky	Angefeuchtete Drogenfraktion I; eingeweichte und erhitzte Droge auf Stufe III; heiß angetrocknet. Kühle hiervon leicht ab; Kraut- oder Blattdroge aus Rohdroge I; erhitze getrocknete Droge leicht.	shkaiin bleibt Zustand; die ausdrücklichen Befehle folgen erst mit yty und chky.	angefeuchtete Drogenfraktion I; eingeweichte und erhitzte Droge auf Stufe III; heiß und angetrocknet; kühle hiervon leicht ab; Kraut- oder Blattdroge aus Rohdroge I; getrocknete Droge leicht erhitzen	0	manual workshop prose versus deterministic V47 renderer; neither is confirmed plaintext
16	f29r.3	qokchy qoty kchaiin shear cthor dchor choly	Heiß angetrocknet; leicht gekühlt; heiß-getrocknete Droge auf Stufe III. Weiche die erste Fraktion bis zur Mittelstufe ein; Drogenteil beziehungsweise Portion Blatt-/Krautdroge; abgemessener Pflanzenteil; Trockenrückstand.	kchaiin ist nominaler Zustand; shear liefert die folgende Einweichhandlung.	heiß und angetrocknet; leicht gekühlt; heiß-getrocknete Droge auf Stufe III; erste Fraktion bis zur Mittelstufe einweichen; Drogenteil/-portion; Portion Blatt-/Krautdroge; abgemessener Pflanzenteil; Trockenrückstand	0	manual workshop prose versus deterministic V47 renderer; neither is confirmed plaintext
17	f24r.3	ycthar cthal okol qotar ckhy	Nimm hiervon die erste Kraut- oder Blattdrogenfraktion; Kraut- oder Blattdroge aus Rohdroge I; heißer Ansatzstoff; kalte Drogenfraktion I; Arzneikompositum am Gradanfang.	ycthar ist der Zeilenbefehl; die vier folgenden Karten sind sein konkretes Inventar.	nimm hiervon die erste Kraut- oder Blattdrogenfraktion; Kraut- oder Blattdroge aus Rohdroge I; heißer Ansatzstoff; kalte Drogenfraktion I; Arzneikompositum am Gradanfang	0	manual workshop prose versus deterministic V47 renderer; neither is confirmed plaintext
18	f24v.5	oeor oraiin tchar oro	Eine Portion Ansatz der Mittelstufe; Portion III. Kühle und trockne die erste Drogenfraktion; Ansatzportion.	oeor und oro bleiben nominale Portionskarten; nur tchar trägt die Doppelhandlung.	eine Portion Ansatz der Mittelstufe; Portion III; erste Drogenfraktion abkühlen und trocknen; Ansatzportion	0	manual workshop prose versus deterministic V47 renderer; neither is confirmed plaintext
19	f42r.12	dcheey chol shol chokaiin choeky d dain dal	Trockne eine Dosis vollständig und schließe ab; Trockengut; Feuchtgut; Trockenansatz heiß auf Stufe III. Trockne, setze an, erhitze bis zur Mittelstufe und schließe ab; Dosis; zwei Maße; abgemessene Rohstoffmenge I.	choeky erhält alle vier sichtbaren Prozesswerte in ihrer Kartenreihenfolge.	eine Dosis vollständig trocknen und abschließen; Trockengut; Feuchtgut; Trockenansatz, heiß auf Stufe III; trocknen, ansetzen, bis zur Mittelstufe erhitzen und abschließen; Dosis; zwei Maße; abgemessene Rohstoffmenge I	0	manual workshop prose versus deterministic V47 renderer; neither is confirmed plaintext
20	f86v3.26	shor yteey oteedy shedaiin sheey otaiin ytaiin otodar aiin	Blüten-/Fruchtstand beziehungsweise Blüten- oder Fruchtdroge. Kühle hiervon bis zur Endstufe ab; Ansatz auf Kühlendstufe abgeschlossen; drei Dosen bis zur Mittelstufe eingeweichter Droge; vollständig eingeweicht; kalter Ansatz auf Stufe III; hierzu kalt auf Stufe III. Setze den Kaltansatz erneut an und miss die erste Fraktion ab; drei Teile.	otodar bewahrt nach den zwei kalten Zustandskarten sowohl den zweiten Ansatzrahmen als auch die Messhandlung.	Blüten-/Fruchtstand; Blüten- oder Fruchtdroge; kühle hiervon bis zur Endstufe ab; Ansatz auf Kühlendstufe abgeschlossen; drei Dosen bis zur Mittelstufe eingeweichter Droge; vollständig eingeweicht; kalt im Zubereitungsrahmen, Grad III; hierzu: kalt, Stufe III; Kaltansatz erneut ansetzen und die erste Fraktion abmessen; drei Teile	0	manual workshop prose versus deterministic V47 renderer; neither is confirmed plaintext
