rank	page	locus	surface	working_default_de	practical_render_de	card_type	composition	strongest_rival_de	strength	reader_merge_surface	zl3b_line	v46_translation_de	v47_translation_de	status
11	f3v	f3v.13	shkaiin	eingeweichte und erhitzte Droge auf Stufe III	eingeweichte und erhitzte Droge auf Stufe III	PRODUCTIVE_COMPOUND	SH_MOIST+K_HOT+AIIN_III	drei Teile einweichen und erhitzen	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	shar shkaiin qokchy yty cthal chky	angefeuchtete Drogenfraktion I; [shkaiin:?]; heiß und angetrocknet; kühle hiervon leicht ab; Kraut- oder Blattdroge aus Rohdroge I; getrocknete Droge leicht erhitzen	angefeuchtete Drogenfraktion I; eingeweichte und erhitzte Droge auf Stufe III; heiß und angetrocknet; kühle hiervon leicht ab; Kraut- oder Blattdroge aus Rohdroge I; getrocknete Droge leicht erhitzen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
12	f42r	f42r.12	choeky	trocknen, ansetzen, bis zur Mittelstufe erhitzen und abschließen	trocknen, ansetzen, bis zur Mittelstufe erhitzen und abschließen	PRODUCTIVE_COMPOUND	CH_DRY+O_PREP+E_MIDDLE+K_HOT+Y_START_OR_CLOSE	mäßig erhitzter Trockenansatz, abgeschlossen	LOW_EXPLORATORY	NONE	dcheey chol shol chokaiin choeky d dain dal	eine Dosis vollständig trocknen und abschließen; Trockengut; Feuchtgut; Trockenansatz, heiß auf Stufe III; [choeky:?]; Dosis; zwei Maße; abgemessene Rohstoffmenge I	eine Dosis vollständig trocknen und abschließen; Trockengut; Feuchtgut; Trockenansatz, heiß auf Stufe III; trocknen, ansetzen, bis zur Mittelstufe erhitzen und abschließen; Dosis; zwei Maße; abgemessene Rohstoffmenge I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
13	f47r	f47r.11	cphy	Arzneikompositum in Grundform	Arzneikompositum in Grundform	PRODUCTIVE_COMPOUND	CPH_COMPOSITE+Y_START_OR_CLOSE	Arzneikompositum fertigstellen	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	dsho cphy daiin daiiny	eine Dosis Feuchtansatz abmessen; [cphy:?]; drei Maße; drei Teile abmessen und abschließen	eine Dosis Feuchtansatz abmessen; Arzneikompositum in Grundform; drei Maße; drei Teile abmessen und abschließen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
14	f51r	f51r.2	dcheodaiin	eine Dosis bis zur Mittelstufe trocknen und ansetzen; drei Dosen abmessen	eine Dosis bis zur Mittelstufe trocknen und ansetzen; drei Dosen abmessen	PRODUCTIVE_COMPOUND	D_MEASURE+CH_DRY+E_MIDDLE+O_PREP+D_MEASURE+AIIN_III	drei Dosen bis zur Mittelstufe getrockneten Ansatzes	LOW_EXPLORATORY	NONE	dcheodaiin ckheody ckhody chody	[dcheodaiin:?]; fertiger Ansatz eines Arzneikompositums; Arzneikompositum ansetzen und fertigstellen; Trockenansatz, abgeschlossen	eine Dosis bis zur Mittelstufe trocknen und ansetzen; drei Dosen abmessen; fertiger Ansatz eines Arzneikompositums; Arzneikompositum ansetzen und fertigstellen; Trockenansatz, abgeschlossen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
15	f56r	f56r.12	qokokchy	erhitze, setze an, erhitze erneut, trockne und schließe ab	erhitze, setze an, erhitze erneut, trockne und schließe ab	PRODUCTIVE_COMPOUND	QO_COMMAND+K_HOT+O_PREP+K_HOT+CH_DRY+Y_START_OR_CLOSE	heiß nachgetrockneter Doppelansatz	LOW_EXPLORATORY	NONE	sh cho kchey qokokchy	einweichen; Trockenansatz; heiß und bis zur mittleren Trockenstufe; [qokokchy:?]	einweichen; Trockenansatz; heiß und bis zur mittleren Trockenstufe; erhitze, setze an, erhitze erneut, trockne und schließe ab	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
16	f58v	f58v.37	otair	zweite kalte Drogenfraktion im Ansatz	zweite kalte Drogenfraktion im Ansatz	PRODUCTIVE_COMPOUND	O_PREP+T_COLD+AIR_FRACTION_II	zweite Drogenfraktion im Ansatz abkühlen	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	olkeey okar ar choky otair otol chokey cheeky dalar	Holzdrogenansatz vollständig erhitzt; heiße Drogenfraktion I im Ansatz; Drogenfraktion I; heiß-trockene Zubereitung, Grundform; [otair:?]; kaltes Zubereitungsgut; heiß-trockener Ansatz in der Gradmitte; trocken am Gradende, dann heiß am Gradanfang; erste Fraktion Rohdroge I abmessen	Holzdrogenansatz vollständig erhitzt; heiße Drogenfraktion I im Ansatz; Drogenfraktion I; heiß-trockene Zubereitung, Grundform; zweite kalte Drogenfraktion im Ansatz; kaltes Zubereitungsgut; heiß-trockener Ansatz in der Gradmitte; trocken am Gradende, dann heiß am Gradanfang; erste Fraktion Rohdroge I abmessen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
17	f76r	f76r.46	otarain	zwei Teile der ersten kalten Drogenfraktion im Ansatz	zwei Teile der ersten kalten Drogenfraktion im Ansatz	PRODUCTIVE_COMPOUND	O_PREP+T_COLD+AR_FRACTION_I+AIN_II	kalter Ansatz, Fraktion I auf Stufe II	MEDIUM_EXACT_WHOLE	NONE	dain shear okedy otedy okedy lchedy chedy okar chedy otarain	zwei Maße; erste Fraktion bis zur Mittelstufe einweichen; Ansatz bis zur mittleren Heizstufe, abgeschlossen; Ansatz auf mittlerer Kühlstufe abgeschlossen; Ansatz bis zur mittleren Heizstufe, abgeschlossen; getrocknetes Drogenholz; bis zur mittleren Trockenstufe gebracht; heiße Drogenfraktion I im Ansatz; bis zur mittleren Trockenstufe gebracht; [otarain:?]	zwei Maße; erste Fraktion bis zur Mittelstufe einweichen; Ansatz bis zur mittleren Heizstufe, abgeschlossen; Ansatz auf mittlerer Kühlstufe abgeschlossen; Ansatz bis zur mittleren Heizstufe, abgeschlossen; getrocknetes Drogenholz; bis zur mittleren Trockenstufe gebracht; heiße Drogenfraktion I im Ansatz; bis zur mittleren Trockenstufe gebracht; zwei Teile der ersten kalten Drogenfraktion im Ansatz	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
18	f76r	f76r.8	chekain	bis zur Mittelstufe trocknen, dann auf Stufe II erhitzen	bis zur Mittelstufe trocknen, dann auf Stufe II erhitzen	PRODUCTIVE_COMPOUND	CH_DRY+E_MIDDLE+K_HOT+AIN_II	zwei Teile mäßig getrockneter und erhitzter Droge	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	qoaiin ches okeedal qoked qokeey shedy chey lkeedy okey dar aiin chekain oldy	nimm drei Teile; trockenes Drogenmaterial, Mittelstufe; Ansatz vollständig erhitzen und Rohdroge I abmessen; bis zur Mittelstufe erhitzen und abschließen; bis zur Heizendstufe; bis zur mittleren Einweichstufe gebracht; bis zur mittleren Trockenstufe; Drogenholz, heiß am Gradende, abgeschlossen; Ansatz bis zur mittleren Heizstufe; abgemessene Fraktion I; drei Teile; [chekain:?]; fertiger Holzdrogenansatz	nimm drei Teile; trockenes Drogenmaterial, Mittelstufe; Ansatz vollständig erhitzen und Rohdroge I abmessen; bis zur Mittelstufe erhitzen und abschließen; bis zur Heizendstufe; bis zur mittleren Einweichstufe gebracht; bis zur mittleren Trockenstufe; Drogenholz, heiß am Gradende, abgeschlossen; Ansatz bis zur mittleren Heizstufe; abgemessene Fraktion I; drei Teile; bis zur Mittelstufe trocknen, dann auf Stufe II erhitzen; fertiger Holzdrogenansatz	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
19	f77r	f77r.21	olaiiny	drei Teile Holzdrogenansatz abschließen	drei Teile Holzdrogenansatz abschließen	PRODUCTIVE_COMPOUND	O_PREP+L_WOOD+AIIN_III+Y_START_OR_CLOSE	Holzdrogenansatz auf Stufe III, abgeschlossen	LOW_EXPLORATORY	NONE	chedaiin shedy qokeedy qokedy qokeey chedy shear olaiiny	abgemessene Trockendroge, Dosis III; bis zur mittleren Einweichstufe gebracht; bis zur Heizendstufe gebracht; bis zur mittleren Heizstufe gebracht; bis zur Heizendstufe; bis zur mittleren Trockenstufe gebracht; erste Fraktion bis zur Mittelstufe einweichen; [olaiiny:?]	abgemessene Trockendroge, Dosis III; bis zur mittleren Einweichstufe gebracht; bis zur Heizendstufe gebracht; bis zur mittleren Heizstufe gebracht; bis zur Heizendstufe; bis zur mittleren Trockenstufe gebracht; erste Fraktion bis zur Mittelstufe einweichen; drei Teile Holzdrogenansatz abschließen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
20	f80v	f80v.43	shkain	eingeweichte und erhitzte Droge auf Stufe II	eingeweichte und erhitzte Droge auf Stufe II	PRODUCTIVE_COMPOUND	SH_MOIST+K_HOT+AIN_II	zwei Teile einweichen und erhitzen	MEDIUM_EXACT_WHOLE	NONE	sor ain shkain shar okshey dalar shokal dy	Samenportion; zwei Teile; [shkain:?]; angefeuchtete Drogenfraktion I; heiß-feuchter Ansatz in der Mitte des Grades; erste Fraktion Rohdroge I abmessen; Feuchtansatz aus heißem Rohstoff Klasse I am Gradanfang.	Samenportion; zwei Teile; eingeweichte und erhitzte Droge auf Stufe II; angefeuchtete Drogenfraktion I; heiß-feuchter Ansatz in der Mitte des Grades; erste Fraktion Rohdroge I abmessen; Feuchtansatz aus heißem Rohstoff Klasse I am Gradanfang.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
21	f81v	f81v.1	ofalsheky	Blütenrohstoff I im Ansatz bis zur Mittelstufe einweichen, erhitzen und abschließen	Blütenrohstoff I im Ansatz bis zur Mittelstufe einweichen, erhitzen und abschließen	PRODUCTIVE_COMPOUND	O_PREP+F_FLOWER+AL_RAW_I+SH_MOIST+E_MIDDLE+K_HOT+Y_START_OR_CLOSE	gelernter Blütenrohstoff-I-Ansatz vor dem SHEKY-Block	LOW_EXPLORATORY	NONE	par shey keedy shekal dal dar ol pchedy shek dain ofalsheky	Pulverfraktion I; bis zur mittleren Einweichstufe; bis zur Heizendstufe gebracht; Rohstoff I: feucht in der Gradmitte; heiß am Gradanfang; abgemessene Rohstoffmenge I; abgemessene Fraktion I; Grundansatz; getrocknetes Pulver; bis zur Mittelstufe einweichen und erhitzen; zwei Maße; [ofalsheky:?]	Pulverfraktion I; bis zur mittleren Einweichstufe; bis zur Heizendstufe gebracht; Rohstoff I: feucht in der Gradmitte; heiß am Gradanfang; abgemessene Rohstoffmenge I; abgemessene Fraktion I; Grundansatz; getrocknetes Pulver; bis zur Mittelstufe einweichen und erhitzen; zwei Maße; Blütenrohstoff I im Ansatz bis zur Mittelstufe einweichen, erhitzen und abschließen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
22	f82r	f82r.6	chedol	Drogenstoff bis zur Mittelstufe trocknen und abmessen	Drogenstoff bis zur Mittelstufe trocknen und abmessen	PRODUCTIVE_COMPOUND	CH_DRY+E_MIDDLE+D_MEASURE+OL_MATERIAL	RF1b: bis zur Mittelstufe trocknen und abschließen; ein Pfund	STRONG_PRACTICAL_OR_COMPOSITIONAL	NONE	sar shedy qol shedaiin sheckhy okal sheky qotaiin chedol	Samenfraktion I; bis zur mittleren Einweichstufe gebracht; gib Folgendes hinzu: drei Dosen bis zur Mittelstufe eingeweichter Droge; feuchtes Arzneikompositum am Gradanfang; Rohstoff I, leicht erhitzt im Ansatz; bis zur Mittelstufe einweichen, erhitzen und abschließen; kalt, Grad III; [chedol:?]	Samenfraktion I; bis zur mittleren Einweichstufe gebracht; gib Folgendes hinzu: drei Dosen bis zur Mittelstufe eingeweichter Droge; feuchtes Arzneikompositum am Gradanfang; Rohstoff I, leicht erhitzt im Ansatz; bis zur Mittelstufe einweichen, erhitzen und abschließen; kalt, Grad III; Drogenstoff bis zur Mittelstufe trocknen und abmessen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
23	f83r	f83r.19	qetal	kühle Rohdroge I bis zur Mittelstufe	kühle Rohdroge I bis zur Mittelstufe	LEARNED_WHOLE	LEARNED_QETAL_WHOLE	Rohdroge I auf mittlerer Kühlstufe	LOW_EXPLORATORY	NONE	sar shedaiin ockhey sain ched shedy qetal dal shedy shey lchedy	Samenfraktion I; drei Dosen bis zur Mittelstufe eingeweichter Droge; Ansatz eines Arzneikompositums in der Gradmitte; Saatgut, Typ/Charge II; Trockenstufe Mitte, abgeschlossen; bis zur mittleren Einweichstufe gebracht; [qetal:?]; abgemessene Rohstoffmenge I; bis zur mittleren Einweichstufe gebracht; bis zur mittleren Einweichstufe; getrocknetes Drogenholz	Samenfraktion I; drei Dosen bis zur Mittelstufe eingeweichter Droge; Ansatz eines Arzneikompositums in der Gradmitte; Saatgut, Typ/Charge II; Trockenstufe Mitte, abgeschlossen; bis zur mittleren Einweichstufe gebracht; kühle Rohdroge I bis zur Mittelstufe; abgemessene Rohstoffmenge I; bis zur mittleren Einweichstufe gebracht; bis zur mittleren Einweichstufe; getrocknetes Drogenholz	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
24	f83r	f83r.55	rtain	Wurzeldroge auf Kältestufe II	Wurzeldroge auf Kältestufe II	PRODUCTIVE_COMPOUND	R_ROOT+T_COLD+AIN_II	zwei Teile gekühlte Wurzeldroge	LOW_EXPLORATORY	NONE	sol rtain cthal	Samenmaterial/Saatgut; [rtain:?]; Kraut- oder Blattdroge aus Rohdroge I	Samenmaterial/Saatgut; Wurzeldroge auf Kältestufe II; Kraut- oder Blattdroge aus Rohdroge I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
25	f86v3	f86v3.26	otodar	Kaltansatz erneut ansetzen und die erste Fraktion abmessen	Kaltansatz erneut ansetzen und die erste Fraktion abmessen	PRODUCTIVE_COMPOUND	O_PREP+T_COLD+O_PREP+D_MEASURE+AR_FRACTION_I	gekühlter Ansatz mit erster Fraktion	MEDIUM_EXACT_WHOLE	NONE	shor yteey oteedy shedaiin sheey otaiin ytaiin otodar aiin	Blüten-/Fruchtstand; Blüten- oder Fruchtdroge; kühle hiervon bis zur Endstufe ab; Ansatz auf Kühlendstufe abgeschlossen; drei Dosen bis zur Mittelstufe eingeweichter Droge; vollständig eingeweicht; kalt im Zubereitungsrahmen, Grad III; hierzu: kalt, Stufe III; [otodar:?]; drei Teile	Blüten-/Fruchtstand; Blüten- oder Fruchtdroge; kühle hiervon bis zur Endstufe ab; Ansatz auf Kühlendstufe abgeschlossen; drei Dosen bis zur Mittelstufe eingeweichter Droge; vollständig eingeweicht; kalt im Zubereitungsrahmen, Grad III; hierzu: kalt, Stufe III; Kaltansatz erneut ansetzen und die erste Fraktion abmessen; drei Teile	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
26	f88r	f88r.28	alsy	Saatrohdroge I in Grundform abschließen	Saatrohdroge I in Grundform abschließen	PRODUCTIVE_COMPOUND	AL_RAW_I+S_SEED+Y_START_OR_CLOSE	abgeschlossene Rohdrogencharge I	LOW_EXPLORATORY	NONE	ykar cheol chol chey ckhey s or shear ar alsy	nimm hiervon die erste erhitzte Drogenfraktion; trockener Drogenstoff; Trockengut; bis zur mittleren Trockenstufe; Arzneikompositum in der Gradmitte; Samen-/Saatgutposten; Drogenportion; erste Fraktion bis zur Mittelstufe einweichen; Drogenfraktion I; [alsy:?]	nimm hiervon die erste erhitzte Drogenfraktion; trockener Drogenstoff; Trockengut; bis zur mittleren Trockenstufe; Arzneikompositum in der Gradmitte; Samen-/Saatgutposten; Drogenportion; erste Fraktion bis zur Mittelstufe einweichen; Drogenfraktion I; Saatrohdroge I in Grundform abschließen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
27	f89v1	f89v1.7	chearory	eine Portion der ersten Fraktion bis zur Mittelstufe trocknen und abschließen	eine Portion der ersten Fraktion bis zur Mittelstufe trocknen und abschließen	PRODUCTIVE_COMPOUND	CH_DRY+E_MIDDLE+AR_FRACTION_I+OR_PORTION+Y_START_OR_CLOSE	abgeschlossene Trockenportion aus Fraktion I	LOW_EXPLORATORY	NONE	qokey daiin cheey ctho dy qoor shear s ol chor chearory	bis zur mittleren Heizstufe; drei Maße; vollständig getrocknet; Krautansatz; Drogenportion; erste Fraktion bis zur Mittelstufe einweichen; Samen-/Saatgutposten; Grundansatz; Pflanzenteil; [chearory:?]	bis zur mittleren Heizstufe; drei Maße; vollständig getrocknet; Krautansatz; Drogenportion; erste Fraktion bis zur Mittelstufe einweichen; Samen-/Saatgutposten; Grundansatz; Pflanzenteil; eine Portion der ersten Fraktion bis zur Mittelstufe trocknen und abschließen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
28	f96r	f96r.8	secheeol	vollständig getrockneter Saatdrogenstoff	vollständig getrockneter Saatdrogenstoff	LEARNED_WHOLE	LEARNED_SECHEEOL_WHOLE	Saatgut-Drogenstoff von der Mittelstufe bis zur Endstufe trocknen	LOW_EXPLORATORY	NONE	ykeor secheeol sheol qokeeey chol daiin	erhitze hiervon eine Portion bis zur Mittelstufe; [secheeol:?]; feuchtes Material; erhitze bis Endstufe III; Trockengut; Stufe III	erhitze hiervon eine Portion bis zur Mittelstufe; vollständig getrockneter Saatdrogenstoff; feuchtes Material; erhitze bis Endstufe III; Trockengut; Stufe III	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
