card_rank	surface	family	card_type	composition	working_meaning_de	working_render_de	strongest_rival_de	confidence	expected_occurrences	expected_pages	action_license	productive_scope	decision_reason	observed_occurrences	observed_pages	both_exact	it2a_only_exact	rf1b_only_exact	neither_exact	context_holds
11	qopaiin	POWDER_PREPARATION_QUANTITY_COMMAND	PRODUCTIVE_COMPOUND	QO_COMMAND+P_POWDER+AIIIN_III	drei Teile Pulveransatz nehmen	drei Teile Pulveransatz nehmen	drei Teile Pulverpräparat as a nominal quantity	STRONG_PRACTICAL_OR_COMPOSITIONAL	7	7	1	exact whole; QO command and P-AIIIN object remain bound	Six bilateral exact occurrences and one RF1b-exact occurrence preserve the QOP take-command over a concrete three-part powder object.	7	7	6	0	1	0	7
12	tshol	COLD_SOAKED_MATERIAL	PRODUCTIVE_COMPOUND	T_COLD+SH_MOIST+OL_MATERIAL	kalt eingeweichter Drogenstoff	kalt eingeweichter Drogenstoff	kalt angefeuchteter Drogenstoff	STRONG_PRACTICAL_OR_COMPOSITIONAL	6	6	0	exact whole; the T-SH treatment order remains visible	All six bilateral exact positions occur in material, preparation or fraction contexts without conflict.	6	6	6	0	0	0	6
13	daiidal	RAW_DRUG_TRIPLE_MEASURE	LEARNED_MEASURE_COMPOUND	DAII_TRIPLE_MEASURE+DAL_RAW_DRUG_I	drei abgemessene Mengen Rohdroge I	drei abgemessene Mengen Rohdroge I	dritte abgemessene Rohdrogenfraktion I	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	1	0	exact whole; DAII and DAL remain learned measure blocks	The form follows a measured dry drug and precedes dose I, so a triple raw-drug measure is concrete and locally coherent.	1	1	1	0	0	0	1
14	ytcho	ANAPHORIC_COLD_DRY_COMMAND	PRODUCTIVE_COMPOUND	Y_REFERENCE+TCHO_COLD_DRY_PREP	hieraus einen Kalt-Trockenansatz herstellen	hieraus einen Kalt-Trockenansatz herstellen	Kalt-Trockenansatz dieser Droge as a nominal result	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	1	1	exact whole; Y binds only to the following TCHO preparation	The fully exact form opens a final two-command group after explicit dose values.	1	1	1	0	0	0	1
15	ldals	WOOD_RAW_DRUG_MEASURE_COMMAND	PRODUCTIVE_COMPOUND	L_WOOD+DALS_RAW_DRUG_I_MEASURE	eine Charge Holzrohdroge I abmessen	eine Charge Holzrohdroge I abmessen	Charge Holzrohdroge I as a nominal label	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	1	1	exact whole; L wood and DALS measure remain bound	The line-final form follows ytcho and naturally completes the source procedure with a concrete wood-drug measure.	1	1	1	0	0	0	1
16	solky	HEATED_SEED_PREPARATION	LEARNED_RIVAL_COMPOUND	SOL_SEED_PREP+K_HOT+Y_START	Saatgutansatz, leicht erhitzt	leicht erhitzter Saatgutansatz	leicht erhitzte Salzlösung	LOW_EXPLORATORY	1	1	0	exact whole; neither free SOL salt nor seed is exported	The source is a treatment register; productive seed-family SOL competes with the historically plausible learned salt family.	1	1	1	0	0	0	1
17	shkeol	SOAKED_HEATED_MATERIAL	PRODUCTIVE_COMPOUND	SH_SOAKED+K_HOT+E_MIDDLE+OL_MATERIAL	eingeweichter Drogenstoff, bis Mittelstufe erhitzt	eingeweichter Drogenstoff, bis Mittelstufe erhitzt	angefeuchteter heißer Auszug der Mittelstufe	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	1	0	exact whole; treatment order and OL material head stay visible	The singleton lies between repeated soak-and-heat commands and a hot first fraction.	1	1	1	0	0	0	1
18	chetain	DRY_THEN_COOL_COMMAND	PRODUCTIVE_PROCESS_COMPOUND	CH_DRY+E_MIDDLE+T_COLD+AIN_II	bis Mittelstufe trocknen, dann auf Kühlstufe II bringen	bis Mittelstufe trocknen, dann auf Kühlstufe II bringen	bis Mittelstufe getrocknete Droge, Kühlstufe II	STRONG_PRACTICAL_OR_COMPOSITIONAL	4	4	1	exact whole; the CH-E then T-AIN process order remains bound	All four bilateral exact positions sit in treatment sequences and preserve both dry-middle and cold-II information.	4	4	4	0	0	0	4
19	da	PART_MEASURE_COMMAND	READER_UNSTABLE_SHORT_CARD	D_MEASURE+A_UNIT_I	eine Teilmenge abmessen	eine Teilmenge abmessen	eine Teilmenge or dose label without imperative force	LOW_EXPLORATORY	11	11	1	exact short card only; every non-bilateral occurrence has its own decision	Five bilateral exact positions and six reader-unstable positions still share a local dose or subdivision function.	11	11	5	2	2	2	11
20	qodar	FIRST_PREPARATION_FRACTION_COMMAND	PRODUCTIVE_COMPOUND	QO_COMMAND+D_AR_FIRST_FRACTION	die erste Ansatzfraktion abmessen	die erste Ansatzfraktion abmessen	eine Ansatzportion abmessen under qodor	STRONG_PRACTICAL_OR_COMPOSITIONAL	10	8	1	exact whole; DAR fraction remains distinct from DOR portion	Seven bilateral exact positions and three explicit reader variants preserve a first-fraction measure command.	10	8	7	2	1	0	10
21	okeeeey	FINAL_HEATED_PREPARATION	PRODUCTIVE_COMPOUND	O_PREP+K_HEAT+EEEE_FINAL+Y_CLOSE	Ansatz vollständig bis zur letzten Heizstufe geführt	vollständig erhitzter Ansatz, Endstufe	vorstehende Portion vollständig erhitzen under IT2a left join	LOW_EXPLORATORY	1	1	0	exact ZL3b/RF1b whole; IT2a left binding remains explicit	The long E ladder extends the known final-heat family; only IT2a joins the preceding OR portion.	1	1	0	0	1	0	1
22	ofchedy	FINISHED_DRY_FLOWER_PREPARATION	PRODUCTIVE_COMPOUND	O_PREP+FCHEDY_DRY_FLOWER_MIDDLE_FINISH	fertig getrockneter Blütenansatz	fertig getrockneter Blütenansatz	allgemeiner fertiggestellter Trockenansatz	STRONG_PRACTICAL_OR_COMPOSITIONAL	6	6	0	exact whole; published FCHEDY flower-drying card remains intact under O	Known fchedy dries and closes a flower fraction at middle stage; five bilateral exact occurrences and one IT2a-only exact occurrence support the preparation result.	6	6	5	1	0	0	6
23	araram	FIRST_FRACTION_MEASURE	READER_SPLIT_QUANTITY	AR_FRACTION_I+ARAM_FRACTION_I_MEASURE_I	ein Maß der ersten Drogenfraktion	ein Maß der ersten Drogenfraktion	erste Fraktion plus separates Maß under RF1b ar aram	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	1	0	exact ZL3b/IT2a whole; RF1b split supplies the quantity analysis	RF1b ar aram directly exposes first fraction plus one measure of the same family; no unsupported doubling is needed.	1	1	0	1	0	0	1
24	chepy	DRY_POWDER_BASE	PRODUCTIVE_COMPOUND	CH_DRY+EP_POWDER+Y_START	Trockenpulver in Grundform	Trockenpulver in Grundform	vollständig abgeschlossenes Trockenpulver	STRONG_PRACTICAL_OR_COMPOSITIONAL	6	6	0	exact whole; terminal Y selects the base form inside CHEP	All six occurrences are bilateral exact and nominal in powder, fraction and treatment registers.	6	6	6	0	0	0	6
25	olkchey	HEATED_WOOD_PREP_DRY_MIDDLE	PRODUCTIVE_COMPOUND	O_PREP+L_WOOD+K_HOT+CH_DRY+E_MIDDLE+Y_RESULT	erhitzter Holzdrogenansatz, bis Mittelstufe getrocknet	erhitzter Holzdrogenansatz, bis Mittelstufe getrocknet	Holzdrogenansatz erhitzen und bis Mittelstufe trocknen	STRONG_PRACTICAL_OR_COMPOSITIONAL	3	2	0	exact whole; the O-L-K-CH-E order remains visible	All three bilateral exact occurrences are nominal material or fraction results next to olkchdy and hot wood families.	3	2	3	0	0	0	3
26	otytam	RECOOLED_PREPARATION_MEASURE_COMMAND	LEARNED_ACTION_COMPOUND	OT_COLD_PREP+YTAM_TAKE_MEASURE_RECOOL	aus dem Kaltansatz ein Maß nehmen und erneut kühlen	aus dem Kaltansatz ein Maß nehmen und erneut kühlen	ein Maß Kaltansatz der Anfangsstufe	STRONG_PRACTICAL_OR_COMPOSITIONAL	2	2	1	exact whole; YTAM remains a learned action block	Both bilateral exact occurrences close quantity/fraction registers with a practical measure-and-recool operation.	2	2	2	0	0	0	2
27	orom	PREPARATION_HANDFUL_PORTION	LEARNED_MEASURE_WHOLE	OR_PORTION+OM_PREP_HANDFUL	eine Handvoll Ansatz als Portion	eine Handvoll Ansatz als Portion	eine Ansatzportion der Maßeinheit I	LOW_EXPLORATORY	3	3	0	exact whole; OM is learned and no free M value is exported	All three bilateral exact occurrences are line-final quantity closures; the handful reading remains replaceable.	3	3	3	0	0	0	3
28	chokol	HOT_DRY_DECOCTION	LEARNED_MATERIAL_COMPOUND	CHO_DRY_PREP+KOL_HOT_EXTRACT	heißer Trockenabsud	heißer Trockenabsud	erhitzter Trockenansatzstoff	STRONG_PRACTICAL_OR_COMPOSITIONAL	3	3	0	exact whole; KOL remains a learned hot-extract block	Three bilateral exact nominal occurrences and the dchokol/chokolg family support a concrete hot dry extract.	3	3	3	0	0	0	3
29	qoekol	HOT_MIDDLE_MATERIAL_COMMAND	PRODUCTIVE_COMMAND_COMPOUND	QOE_MIDDLE_COMMAND+KOL_HOT_MATERIAL	heißen Drogenstoff der Mittelstufe zugeben	heißen Drogenstoff der Mittelstufe zugeben	Drogenstoff bis Mittelstufe erhitzen	STRONG_PRACTICAL_OR_COMPOSITIONAL	2	1	1	exact whole; repeated source applications remain two commands	Both bilateral exact occurrences are adjacent and therefore render as two identical concrete additions.	2	1	2	0	0	0	2
30	qockhol	COMPOSITE_DRUG_MATERIAL_COMMAND	PRODUCTIVE_COMMAND_COMPOUND	QO_COMMAND+CKHOL_COMPOSITE_DRUG_MATERIAL	Drogenstoff aus Arzneikompositum zugeben	Drogenstoff aus Arzneikompositum zugeben	Drogenstoff eines Arzneikompositums bereiten	STRONG_PRACTICAL_OR_COMPOSITIONAL	6	6	1	exact whole; QO wraps the published CKHOL material head	Five bilateral exact positions plus one RF1b-exact qockhol/qockhoy decision preserve the composite-drug material core.	6	6	5	0	1	0	6
