event_id	clause_id	locus	surface	component_recipe	shared_card_reading_de	local_visual_headword_de	image_owned_expansion_de
P912-E0167	P915-C005	f13r.2	ykchy	Y+K+Y	DIES · ZUGEBEN · DIES	NONE	DIES · ZUGEBEN · DIES
P912-E0168	P915-C005	f13r.2	qoty	OT+Y	DANACH · DIES	NONE	DANACH · DIES
P912-E0169	P915-C005	f13r.2	daiin	AIIN	SOLLMASS	NONE	SOLLMASS
P912-E0170	P915-C005	f13r.2	s	S	AUSWÄHLEN	NONE	AUSWÄHLEN
P912-E0171	P915-C005	f13r.2	y	Y	DIES	NONE	DIES
P912-E0172	P915-C005	f13r.3	s	S	AUSWÄHLEN	NONE	AUSWÄHLEN
P912-E0173	P915-C005	f13r.3	y	Y	DIES	NONE	DIES
P912-E0174	P915-C005	f13r.3	dchor	D_ADDR+CH+OR	TEIL · ENTNEHMEN · ANSATZ	NONE	TEIL · ENTNEHMEN · ANSATZ
P912-E0175	P915-C005	f13r.3	shaiin	SH+AIIN	HALTEN · SOLLMASS	NONE	HALTEN · SOLLMASS
P912-E0176	P915-C005	f13r.3	oeees	O+EEE+S	AUSFÜHREN · VOLL · AUSWÄHLEN	NONE	AUSFÜHREN · VOLL · AUSWÄHLEN
P912-E0177	P915-C005	f13r.3	ykor	Y+K+OR	DIES · ZUGEBEN · ANSATZ	NONE	DIES · ZUGEBEN · ANSATZ
P912-E0178	P915-C005	f13r.3	chor	CH+OR	ENTNEHMEN · ANSATZ	NONE	ENTNEHMEN · ANSATZ
P912-E0179	P915-C005	f13r.3	ytshy	Y+T+Y	DIES · EINSTELLEN · DIES	NONE	DIES · EINSTELLEN · DIES
P912-E0180	P915-C005	f13r.3	ykchy	Y+K+Y	DIES · ZUGEBEN · DIES	NONE	DIES · ZUGEBEN · DIES
P912-E0181	P915-C005	f13r.3	kchy	K+Y	ZUGEBEN · DIES	NONE	ZUGEBEN · DIES
P912-E0182	P915-C005	f13r.3	dar	D_ADDR+AR	TEIL · VORRAT	NONE	TEIL · VORRAT
P912-E0183	P915-C005	f13r.4	qodchy	O+D_ADDR+Y	AUSFÜHREN · TEIL · DIES	NONE	AUSFÜHREN · TEIL · DIES
P912-E0184	P915-C005	f13r.4	ytchy	Y+T+Y	DIES · EINSTELLEN · DIES	NONE	DIES · EINSTELLEN · DIES
P912-E0185	P915-C005	f13r.4	otchor	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	NONE	DANACH · ENTNEHMEN · ANSATZ
P912-E0186	P915-C005	f13r.5	shorodo	SH+OR+O+D_ADDR+O	HALTEN · ANSATZ · AUSFÜHREN · TEIL · AUSFÜHREN	NONE	HALTEN · ANSATZ · AUSFÜHREN · TEIL · AUSFÜHREN
P912-E0187	P915-C005	f13r.5	shy	Y	DIES	NONE	DIES
P912-E0188	P915-C005	f13r.5	tshy	T+Y	EINSTELLEN · DIES	BLÜTENANTEIL	Den Anteil aus dem endständigen Blütenstand wählen.
P912-E0189	P915-C005	f13r.5	kchol	K+OL	ZUGEBEN · FORTSETZEN	NONE	ZUGEBEN · FORTSETZEN
P912-E0190	P915-C005	f13r.5	dpchy	D_ADDR+P+Y	TEIL · EINSETZEN · DIES	NONE	TEIL · EINSETZEN · DIES
P912-E0191	P915-C005	f13r.5	qopchy	O+P+Y	AUSFÜHREN · EINSETZEN · DIES	NONE	AUSFÜHREN · EINSETZEN · DIES
P912-E0192	P915-C005	f13r.5	otchol	OT+CH+OL	DANACH · ENTNEHMEN · FORTSETZEN	NONE	DANACH · ENTNEHMEN · FORTSETZEN
P912-E0193	P915-C005	f13r.5	cfholdy	CFH+OL+DY	TRENNEN · FORTSETZEN · SCHLIESSEN	AUSPRESSEN	Den ersten Ansatz weiter auspressen und den Teilgang schließen.
P912-E0194	P915-C006	f13r.6	tchor	T+CH+OR	EINSTELLEN · ENTNEHMEN · ANSATZ	NONE	EINSTELLEN · ENTNEHMEN · ANSATZ
P912-E0195	P915-C006	f13r.6	dor	D_ADDR+OR	TEIL · ANSATZ	NONE	TEIL · ANSATZ
P912-E0196	P915-C006	f13r.6	daiin	AIIN	SOLLMASS	NONE	SOLLMASS
P912-E0197	P915-C006	f13r.6	qotchol	OT+CH+OL	DANACH · ENTNEHMEN · FORTSETZEN	NONE	DANACH · ENTNEHMEN · FORTSETZEN
P912-E0198	P915-C006	f13r.6	okchy	OK+Y	ANSETZEN · DIES	NONE	ANSETZEN · DIES
P912-E0199	P915-C006	f13r.6	okchor	OK+CH+OR	ANSETZEN · ENTNEHMEN · ANSATZ	NONE	ANSETZEN · ENTNEHMEN · ANSATZ
P912-E0200	P915-C006	f13r.6	oiin	O+IIN	AUSFÜHREN · STUFE	NONE	AUSFÜHREN · STUFE
P912-E0201	P915-C006	f13r.6	chckhy	CKH+Y	DURCHLASS · DIES	NONE	DURCHLASS · DIES
P912-E0202	P915-C006	f13r.6	d	D_ADDR	TEIL	NONE	TEIL
P912-E0203	P915-C006	f13r.7	dchy	D_ADDR+Y	TEIL · DIES	NONE	TEIL · DIES
P912-E0204	P915-C006	f13r.7	qoky	OK+Y	ANSETZEN · DIES	NONE	ANSETZEN · DIES
P912-E0205	P915-C006	f13r.7	chol	OL	FORTSETZEN	NONE	FORTSETZEN
P912-E0206	P915-C006	f13r.7	dy	Y	DIES	NONE	DIES
P912-E0207	P915-C006	f13r.7	qoy	O+Y	AUSFÜHREN · DIES	NONE	AUSFÜHREN · DIES
P912-E0208	P915-C006	f13r.7	d	D_ADDR	TEIL	NONE	TEIL
P912-E0209	P915-C006	f13r.7	oldy	OL+DY	FORTSETZEN · SCHLIESSEN	NONE	FORTSETZEN · SCHLIESSEN
P912-E0210	P915-C007	f13r.7	okchor	OK+CH+OR	ANSETZEN · ENTNEHMEN · ANSATZ	NONE	ANSETZEN · ENTNEHMEN · ANSATZ
P912-E0211	P915-C007	f13r.7	doaiin	D_ADDR+O+AIIN	TEIL · AUSFÜHREN · SOLLMASS	NONE	TEIL · AUSFÜHREN · SOLLMASS
P912-E0212	P915-C007	f13r.8	shochy	HO+Y	TEILSTOFF · DIES	BLATTANTEIL	Einen Anteil aus der breiten Blattkrone nehmen.
P912-E0213	P915-C007	f13r.8	qokchy	OK+Y	ANSETZEN · DIES	NONE	ANSETZEN · DIES
P912-E0214	P915-C007	f13r.8	torchy	T+OR+Y	EINSTELLEN · ANSATZ · DIES	NONE	EINSTELLEN · ANSATZ · DIES
P912-E0215	P915-C007	f13r.8	k	K	ZUGEBEN	NONE	ZUGEBEN
P912-E0216	P915-C007	f13r.8	s	S	AUSWÄHLEN	NONE	AUSWÄHLEN
P912-E0217	P915-C007	f13r.8	okchey	OK+Y	ANSETZEN · DIES	NONE	ANSETZEN · DIES
P912-E0218	P915-C007	f13r.8	daiin	AIIN	SOLLMASS	NONE	SOLLMASS
P912-E0219	P915-C007	f13r.9	oldy	OL+DY	FORTSETZEN · SCHLIESSEN	NONE	FORTSETZEN · SCHLIESSEN
P912-E0220	P915-C008	f13r.9	shey	SH+E+Y	HALTEN · KURZ · DIES	NONE	HALTEN · KURZ · DIES
P912-E0221	P915-C008	f13r.9	chol	OL	FORTSETZEN	NONE	FORTSETZEN
P912-E0222	P915-C008	f13r.9	doiin	D_ADDR+O+IIN	TEIL · AUSFÜHREN · STUFE	NONE	TEIL · AUSFÜHREN · STUFE
P912-E0223	P915-C008	f13r.9	ykoly	Y+K+OL+Y	DIES · ZUGEBEN · FORTSETZEN · DIES	NONE	DIES · ZUGEBEN · FORTSETZEN · DIES
P912-E0224	P915-C008	f13r.9	okchal	OK+CH+AL	ANSETZEN · ENTNEHMEN · ZIELSTELLE	NONE	ANSETZEN · ENTNEHMEN · ZIELSTELLE
P912-E0225	P915-C008	f13r.9	daldy	AL+DY	ZIELSTELLE · SCHLIESSEN	NONE	ZIELSTELLE · SCHLIESSEN
P912-E0226	P915-C009	f13r.10	sotchy	S+OT+Y	AUSWÄHLEN · DANACH · DIES	NONE	AUSWÄHLEN · DANACH · DIES
P912-E0227	P915-C009	f13r.10	kchy	K+Y	ZUGEBEN · DIES	NONE	ZUGEBEN · DIES
P912-E0228	P915-C009	f13r.10	okorory	OK+OR+OR+Y	ANSETZEN · ANSATZ · ANSATZ · DIES	NONE	ANSETZEN · ANSATZ · ANSATZ · DIES
