patch_ordinal	occurrence_id	physical_page	locus	token_ordinal_in_line	occurrence_kind	surface	previous_structural_display	selected_working_role	working_default_de	working_display	renderer_action	semantic_confidence	scope	evidence	counterevidence	lexeme_confirmed	component_export_credit
11	G407-E1733	f75r	f75r.34	3	RUNNING_EVENT	okal	⟦okal:CROSS_SCOPE_LABEL_PROSE_WHOLE⟧	SYSTEM_ENTRY_CLASS_CODE	Stations-/Systemeintragscode	⟦okal:Stations-/Systemeintragscode⟧	REPLACE_GDT792_STRUCTURAL_TAG_WITH_C0_EXACT_WHOLE_DEFAULT	C0_SELECTED_WORKING_NOT_PLAINTEXT	EXACT_OKAL_OCCURRENCES_ON_RELEASED_30_PAGE_SPINE_ONLY	F72_TWO_DISTINCT_MEMBER_COLLISION_FORMS__SECOND_TOPOLOGY_F82__ADDRESS_MEMBER_ORDINAL_FAIL	OPAQUE_RENDERER_SURVIVES__NO_VISIBLE_SHARED_TRAIT__UPPER_ZONE_POSTHOC_LOW_N	NO	ZERO
12	G407-E1953	f76r	f76r.13	4	RUNNING_EVENT	okal	⟦okal:CROSS_SCOPE_LABEL_PROSE_WHOLE⟧	SYSTEM_ENTRY_CLASS_CODE	Kennstellen-/Systemeintragscode	⟦okal:Kennstellen-/Systemeintragscode⟧	REPLACE_GDT792_STRUCTURAL_TAG_WITH_C0_EXACT_WHOLE_DEFAULT	C0_SELECTED_WORKING_NOT_PLAINTEXT	EXACT_OKAL_OCCURRENCES_ON_RELEASED_30_PAGE_SPINE_ONLY	F72_TWO_DISTINCT_MEMBER_COLLISION_FORMS__SECOND_TOPOLOGY_F82__ADDRESS_MEMBER_ORDINAL_FAIL	OPAQUE_RENDERER_SURVIVES__NO_VISIBLE_SHARED_TRAIT__UPPER_ZONE_POSTHOC_LOW_N	NO	ZERO
13	G407-E2364	f76r	f76r.53	10	RUNNING_EVENT	okal	⟦okal:CROSS_SCOPE_LABEL_PROSE_WHOLE⟧	SYSTEM_ENTRY_CLASS_CODE	Kennstellen-/Systemeintragscode	⟦okal:Kennstellen-/Systemeintragscode⟧	REPLACE_GDT792_STRUCTURAL_TAG_WITH_C0_EXACT_WHOLE_DEFAULT	C0_SELECTED_WORKING_NOT_PLAINTEXT	EXACT_OKAL_OCCURRENCES_ON_RELEASED_30_PAGE_SPINE_ONLY	F72_TWO_DISTINCT_MEMBER_COLLISION_FORMS__SECOND_TOPOLOGY_F82__ADDRESS_MEMBER_ORDINAL_FAIL	OPAQUE_RENDERER_SURVIVES__NO_VISIBLE_SHARED_TRAIT__UPPER_ZONE_POSTHOC_LOW_N	NO	ZERO
14	G407-E2873	f81r	f81r.25	6	RUNNING_EVENT	okal	⟦okal:CROSS_SCOPE_LABEL_PROSE_WHOLE⟧	SYSTEM_ENTRY_CLASS_CODE	Stations-/Systemeintragscode	⟦okal:Stations-/Systemeintragscode⟧	REPLACE_GDT792_STRUCTURAL_TAG_WITH_C0_EXACT_WHOLE_DEFAULT	C0_SELECTED_WORKING_NOT_PLAINTEXT	EXACT_OKAL_OCCURRENCES_ON_RELEASED_30_PAGE_SPINE_ONLY	F72_TWO_DISTINCT_MEMBER_COLLISION_FORMS__SECOND_TOPOLOGY_F82__ADDRESS_MEMBER_ORDINAL_FAIL	OPAQUE_RENDERER_SURVIVES__NO_VISIBLE_SHARED_TRAIT__UPPER_ZONE_POSTHOC_LOW_N	NO	ZERO
15	G407-E2938	f81v	f81v.2	4	RUNNING_EVENT	okal	⟦okal:CROSS_SCOPE_LABEL_PROSE_WHOLE⟧	SYSTEM_ENTRY_CLASS_CODE	Stations-/Systemeintragscode	⟦okal:Stations-/Systemeintragscode⟧	REPLACE_GDT792_STRUCTURAL_TAG_WITH_C0_EXACT_WHOLE_DEFAULT	C0_SELECTED_WORKING_NOT_PLAINTEXT	EXACT_OKAL_OCCURRENCES_ON_RELEASED_30_PAGE_SPINE_ONLY	F72_TWO_DISTINCT_MEMBER_COLLISION_FORMS__SECOND_TOPOLOGY_F82__ADDRESS_MEMBER_ORDINAL_FAIL	OPAQUE_RENDERER_SURVIVES__NO_VISIBLE_SHARED_TRAIT__UPPER_ZONE_POSTHOC_LOW_N	NO	ZERO
16	G407-E3048	f81v	f81v.13	9	RUNNING_EVENT	okal	⟦okal:CROSS_SCOPE_LABEL_PROSE_WHOLE⟧	SYSTEM_ENTRY_CLASS_CODE	Stations-/Systemeintragscode	⟦okal:Stations-/Systemeintragscode⟧	REPLACE_GDT792_STRUCTURAL_TAG_WITH_C0_EXACT_WHOLE_DEFAULT	C0_SELECTED_WORKING_NOT_PLAINTEXT	EXACT_OKAL_OCCURRENCES_ON_RELEASED_30_PAGE_SPINE_ONLY	F72_TWO_DISTINCT_MEMBER_COLLISION_FORMS__SECOND_TOPOLOGY_F82__ADDRESS_MEMBER_ORDINAL_FAIL	OPAQUE_RENDERER_SURVIVES__NO_VISIBLE_SHARED_TRAIT__UPPER_ZONE_POSTHOC_LOW_N	NO	ZERO
17	G407-E3220	f82r	f82r.6	6	RUNNING_EVENT	okal	⟦okal:CROSS_SCOPE_LABEL_PROSE_WHOLE⟧	SYSTEM_ENTRY_CLASS_CODE	Stations-/Systemeintragscode	⟦okal:Stations-/Systemeintragscode⟧	REPLACE_GDT792_STRUCTURAL_TAG_WITH_C0_EXACT_WHOLE_DEFAULT	C0_SELECTED_WORKING_NOT_PLAINTEXT	EXACT_OKAL_OCCURRENCES_ON_RELEASED_30_PAGE_SPINE_ONLY	F72_TWO_DISTINCT_MEMBER_COLLISION_FORMS__SECOND_TOPOLOGY_F82__ADDRESS_MEMBER_ORDINAL_FAIL	OPAQUE_RENDERER_SURVIVES__NO_VISIBLE_SHARED_TRAIT__UPPER_ZONE_POSTHOC_LOW_N	NO	ZERO
18	G407-E3263	f82r	f82r.12	7	RUNNING_EVENT	okal	⟦okal:CROSS_SCOPE_LABEL_PROSE_WHOLE⟧	SYSTEM_ENTRY_CLASS_CODE	Stations-/Systemeintragscode	⟦okal:Stations-/Systemeintragscode⟧	REPLACE_GDT792_STRUCTURAL_TAG_WITH_C0_EXACT_WHOLE_DEFAULT	C0_SELECTED_WORKING_NOT_PLAINTEXT	EXACT_OKAL_OCCURRENCES_ON_RELEASED_30_PAGE_SPINE_ONLY	F72_TWO_DISTINCT_MEMBER_COLLISION_FORMS__SECOND_TOPOLOGY_F82__ADDRESS_MEMBER_ORDINAL_FAIL	OPAQUE_RENDERER_SURVIVES__NO_VISIBLE_SHARED_TRAIT__UPPER_ZONE_POSTHOC_LOW_N	NO	ZERO
19	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1394	f82r	f82r.36	1	LOCAL_ADDRESS_OR_LABEL	okal	⟦okal:CROSS_SCOPE_LABEL_PROSE_WHOLE⟧	SYSTEM_ENTRY_CLASS_CODE	Beckenstellen-/Systemeintragscode	⟦okal:Beckenstellen-/Systemeintragscode⟧	REPLACE_GDT792_STRUCTURAL_TAG_WITH_C0_EXACT_WHOLE_DEFAULT	C0_SELECTED_WORKING_NOT_PLAINTEXT	EXACT_OKAL_OCCURRENCES_ON_RELEASED_30_PAGE_SPINE_ONLY	F72_TWO_DISTINCT_MEMBER_COLLISION_FORMS__SECOND_TOPOLOGY_F82__ADDRESS_MEMBER_ORDINAL_FAIL	OPAQUE_RENDERER_SURVIVES__NO_VISIBLE_SHARED_TRAIT__UPPER_ZONE_POSTHOC_LOW_N	NO	ZERO
20	G407-E4425	f95v	f95v2.3	7	RUNNING_EVENT	okal	⟦okal:CROSS_SCOPE_LABEL_PROSE_WHOLE⟧	SYSTEM_ENTRY_CLASS_CODE	Kennstellen-/Systemeintragscode	⟦okal:Kennstellen-/Systemeintragscode⟧	REPLACE_GDT792_STRUCTURAL_TAG_WITH_C0_EXACT_WHOLE_DEFAULT	C0_SELECTED_WORKING_NOT_PLAINTEXT	EXACT_OKAL_OCCURRENCES_ON_RELEASED_30_PAGE_SPINE_ONLY	F72_TWO_DISTINCT_MEMBER_COLLISION_FORMS__SECOND_TOPOLOGY_F82__ADDRESS_MEMBER_ORDINAL_FAIL	OPAQUE_RENDERER_SURVIVES__NO_VISIBLE_SHARED_TRAIT__UPPER_ZONE_POSTHOC_LOW_N	NO	ZERO
