family_occurrence_ordinal	occurrence_id	surface	exact_okal	occurrence_kind	source_selector	physical_page	register	topology_family	locus	token_ordinal_in_line	paragraph_id	record_id	context_owner_id	visible_owner_id	visible_member_id	same_page_exact_label_count	same_page_prefix_family_label_count	whole_context	alternate_reader_status	family_definition	semantic_credit	component_export_credit
11	G407-E1100	okalar	NO	RUNNING_EVENT	f71v	f71v	CELESTIAL	RADIAL_ARRAY	f71v.12	5	f71v:P1	NONE	F71V_RADIAL_PAGE	NA	NA	0	0	osheo parar oteeodaiin she ateey daiin oteokeey dal al oteey teey dy otchy keey sheeo ochey chey otcheodal sheealody cheol otar okam oteodar chpchy ar al aiin oteoshar okeodaly oteey teeey oteey keor or arol cheols okaikaly / chal oteeos al sheky okalar ar okeo dar oty oto kaiin chey tal otchr chtos cheor shepchol otor sheo shopcho ar aly okeo cheey otal al shldy otaly okol sheeor / okeey okeosar otaiin chkeeal okal cheekaiin okaiin okchor dar oteey kal	ONE_ALTERNATE_DIFFERS	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
12	G407-E1130	okal	YES	RUNNING_EVENT	f71v	f71v	CELESTIAL	RADIAL_ARRAY	f71v.18	5	f71v:P1	NONE	F71V_RADIAL_PAGE	NA	NA	0	0	osheo parar oteeodaiin she ateey daiin oteokeey dal al oteey teey dy otchy keey sheeo ochey chey otcheodal sheealody cheol otar okam oteodar chpchy ar al aiin oteoshar okeodaly oteey teeey oteey keor or arol cheols okaikaly / chal oteeos al sheky okalar ar okeo dar oty oto kaiin chey tal otchr chtos cheor shepchol otor sheo shopcho ar aly okeo cheey otal al shldy otaly okol sheeor / okeey okeosar otaiin chkeeal okal cheekaiin okaiin okchor dar oteey kal	ALL_THREE_EXACT_WHOLE	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
13	G407-E1158	okalshey	NO	RUNNING_EVENT	f72r1	f72r	CELESTIAL	RADIAL_ARRAY	f72r1.1	22	f72r1:P1	NONE	F72R_RADIAL_PAGE	NA	NA	0	8	oteeo cthey chlol cheol olcheor al oteey chedal oteedy okeodaly chol chokeol cheoky okaiir okeedy sheoltey cheor aiin ydal okochey sho okalshey shol chalaiin chekeol kol otos ar aiin otam otam chotam sal okeo dar ar adal dar okeeas aiin oteey okaiin / oteodar ytey otey shetey chokshor okalal otaiin sheolaiin otaiin chetey cheolor oteo teeody otar chokaiin okaiin al alo cheedy otear ar cheky chokal otar al o qokar / okeeols aroly okees alaiin okeor chol o oteos aiin chal otaiin atchor chckhy	ONE_ALTERNATE_DIFFERS	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
14	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0132	okalam	NO	LOCAL_ADDRESS_OR_LABEL	f72r1	f72r	CELESTIAL	RADIAL_ARRAY	f72r1.5	1	NA	NONE	F72R_RADIAL_PAGE	SCARR026|f72r1|S1	SCARR026|f72r1|S1:SLOT_4	1	8	Label at 01:30. Grove's #4. Kluge's 09A. Star/nymph at 01:00?	ONE_ALTERNATE_DIFFERS	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
15	G407-E1184	okalal	NO	RUNNING_EVENT	f72r1	f72r	CELESTIAL	RADIAL_ARRAY	f72r1.12	6	f72r1:P1	NONE	F72R_RADIAL_PAGE	NA	NA	0	8	oteeo cthey chlol cheol olcheor al oteey chedal oteedy okeodaly chol chokeol cheoky okaiir okeedy sheoltey cheor aiin ydal okochey sho okalshey shol chalaiin chekeol kol otos ar aiin otam otam chotam sal okeo dar ar adal dar okeeas aiin oteey okaiin / oteodar ytey otey shetey chokshor okalal otaiin sheolaiin otaiin chetey cheolor oteo teeody otar chokaiin okaiin al alo cheedy otear ar cheky chokal otar al o qokar / okeeols aroly okees alaiin okeor chol o oteos aiin chal otaiin atchor chckhy	ALL_THREE_EXACT_WHOLE	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
16	G407-E1231	okalaiin	NO	RUNNING_EVENT	f72r2	f72r	CELESTIAL	RADIAL_ARRAY	f72r2.6	13	f72r2:P1	NONE	F72R_RADIAL_PAGE	NA	NA	0	8	oteos aiin okeo daiin okeey cheo keodal chol okeol oly oteeykeey tey okalaiin okalchal chey al o keey daiin otar al chotaiin otchey qoeeeo s ckhal chekaiin otaiin chy d r aiin al y o chekaiin okedal qokeodal saiin otois otees / oteey tey teodal chokaly ol cheol ol aiin oteo daiin shokal otey otaiin otaly dal okaly dalchdy eteeey okal shey qoteeody sheycthy chotal chas otoees aiin / otoar air aloy okaiin otees chs chchs ar aly taly dar otchey okaiin olaiin y	ALL_THREE_EXACT_WHOLE	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
17	G407-E1232	okalchal	NO	RUNNING_EVENT	f72r2	f72r	CELESTIAL	RADIAL_ARRAY	f72r2.6	14	f72r2:P1	NONE	F72R_RADIAL_PAGE	NA	NA	0	8	oteos aiin okeo daiin okeey cheo keodal chol okeol oly oteeykeey tey okalaiin okalchal chey al o keey daiin otar al chotaiin otchey qoeeeo s ckhal chekaiin otaiin chy d r aiin al y o chekaiin okedal qokeodal saiin otois otees / oteey tey teodal chokaly ol cheol ol aiin oteo daiin shokal otey otaiin otaly dal okaly dalchdy eteeey okal shey qoteeody sheycthy chotal chas otoees aiin / otoar air aloy okaiin otees chs chchs ar aly taly dar otchey okaiin olaiin y	ALL_THREE_EXACT_WHOLE	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
18	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0237	okalar	NO	LOCAL_ADDRESS_OR_LABEL	f72r2	f72r	CELESTIAL	RADIAL_ARRAY	f72r2.8	1	NA	NONE	F72R_RADIAL_PAGE	SCARR029|f72r2|S1	SCARR029|f72r2|S1:SLOT_2	2	8	Label at 11:00. Grove's #2. Kluge's 11A. Star/nymph at 11:00?	ALL_THREE_EXACT_WHOLE	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
19	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0238	okal	YES	LOCAL_ADDRESS_OR_LABEL	f72r2	f72r	CELESTIAL	RADIAL_ARRAY	f72r2.9	1	NA	NONE	F72R_RADIAL_PAGE	SCARR029|f72r2|S1	SCARR029|f72r2|S1:SLOT_3	2	8	Label at 00:00. Grove's #3. Kluge's 12A. Star/nymph at 11:45?	ALL_THREE_EXACT_WHOLE	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
20	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0239	okaly	NO	LOCAL_ADDRESS_OR_LABEL	f72r2	f72r	CELESTIAL	RADIAL_ARRAY	f72r2.10	1	NA	NONE	F72R_RADIAL_PAGE	SCARR029|f72r2|S1	SCARR029|f72r2|S1:SLOT_4	2	8	Label at 00:45. Grove's #4. Kluge's 13A. Star/nymph at 00:15?	ALL_THREE_EXACT_WHOLE	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
21	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0240	okal	YES	LOCAL_ADDRESS_OR_LABEL	f72r2	f72r	CELESTIAL	RADIAL_ARRAY	f72r2.11	1	NA	NONE	F72R_RADIAL_PAGE	SCARR029|f72r2|S1	SCARR029|f72r2|S1:SLOT_5	2	8	Label at 01:15. Grove's #5. Kluge's 14A. Star/nymph at 01:00?	ALL_THREE_EXACT_WHOLE	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
22	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0249	okaly	NO	LOCAL_ADDRESS_OR_LABEL	f72r2	f72r	CELESTIAL	RADIAL_ARRAY	f72r2.18	1	NA	NONE	F72R_RADIAL_PAGE	SCARR029|f72r2|S1	SCARR029|f72r2|S1:SLOT_12	2	8	Label at 07:15. Grove's #12. Kluge's 21A. Star/nymph at 07:30?	ALL_THREE_EXACT_WHOLE	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
23	G407-E1275	okaly	NO	RUNNING_EVENT	f72r2	f72r	CELESTIAL	RADIAL_ARRAY	f72r2.22	16	f72r2:P1	NONE	F72R_RADIAL_PAGE	NA	NA	2	8	oteos aiin okeo daiin okeey cheo keodal chol okeol oly oteeykeey tey okalaiin okalchal chey al o keey daiin otar al chotaiin otchey qoeeeo s ckhal chekaiin otaiin chy d r aiin al y o chekaiin okedal qokeodal saiin otois otees / oteey tey teodal chokaly ol cheol ol aiin oteo daiin shokal otey otaiin otaly dal okaly dalchdy eteeey okal shey qoteeody sheycthy chotal chas otoees aiin / otoar air aloy okaiin otees chs chchs ar aly taly dar otchey okaiin olaiin y	ALL_THREE_EXACT_WHOLE	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
24	G407-E1278	okal	YES	RUNNING_EVENT	f72r2	f72r	CELESTIAL	RADIAL_ARRAY	f72r2.22	19	f72r2:P1	NONE	F72R_RADIAL_PAGE	NA	NA	2	8	oteos aiin okeo daiin okeey cheo keodal chol okeol oly oteeykeey tey okalaiin okalchal chey al o keey daiin otar al chotaiin otchey qoeeeo s ckhal chekaiin otaiin chy d r aiin al y o chekaiin okedal qokeodal saiin otois otees / oteey tey teodal chokaly ol cheol ol aiin oteo daiin shokal otey otaiin otaly dal okaly dalchdy eteeey okal shey qoteeody sheycthy chotal chas otoees aiin / otoar air aloy okaiin otees chs chchs ar aly taly dar otchey okaiin olaiin y	ALL_THREE_EXACT_WHOLE	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
25	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0283	okaldy	NO	LOCAL_ADDRESS_OR_LABEL	f72r2	f72r	CELESTIAL	RADIAL_ARRAY	f72r2.27	1	NA	NONE	F72R_RADIAL_PAGE	SCARR030|f72r2|S2	SCARR030|f72r2|S2:SLOT_5	1	8	Label at 03:30. Grove's #5. Kluge's 05A. Star/nymph at 03:30?	ALL_THREE_EXACT_WHOLE	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
26	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0420	okalar	NO	LOCAL_ADDRESS_OR_LABEL	f72r3	f72r	CELESTIAL	RADIAL_ARRAY	f72r3.22	1	NA	NONE	F72R_RADIAL_PAGE	SCARR032|f72r3|S2	SCARR032|f72r3|S2:SLOT_9	2	8	Label at 06:30. Grove's #9. Star/nymph at 06:30?	ALL_THREE_EXACT_WHOLE	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
27	G407-E1659	okaldy	NO	RUNNING_EVENT	f75r	f75r	BIOLOGICAL	POOL_APPARATUS_NETWORK	f75r.27	6	f75r:P2	NONE	F75R_POOL_PAGE	NA	NA	0	0	pdalshor shtol qoty pshar shedy okaldy dar otar otody dy rol / tchedy pchedy qokeey sol oldair shecthy qol l sheedy qokeedy lolchedy / dain chkal dy lo lkaiin ol okeedyqol dain olchey qokeedy chedy qotan / qo dain cheeky qokey qokain cheky qokal dain chedy o kalol shedy okar olom / dshedy qokey chckhy qokar shedy chey qoked qokedy daldy	ONE_ALTERNATE_DIFFERS	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
28	G407-E1733	okal	YES	RUNNING_EVENT	f75r	f75r	BIOLOGICAL	POOL_APPARATUS_NETWORK	f75r.34	3	f75r:P3	NONE	F75R_POOL_PAGE	NA	NA	0	0	polshy dal shedy qokain dar chsdy shedy qotar shedy ldy / qokeey l shedy qo l chedy qokain chcthedy ltedy darom / s olkedy okal dar oty okar otar ol kain oltedy / qokain sheety qokain dar dar shedy qokain oldy / sol keedy qokeedy qokey okar otar dardardy / qokedy dy sheety qokedy qokeedy qokechdy lol / qokeedy qokeedy qokedy qokedy qokeedy ldy / yshedy qokeedy qokeedy olkeedy otey koldy / dar shedy qokain shedy dal keedy rshedy / sokeedy qokeedy oteedy qoky dy keedy sy / dshedy qokedy qokeedy qoteey qoteedy dor / yshedy chekar oldy qokain chkar otar oldy / dchedy sain okedy qokedy otedy okoldy otar otam olaiin ch dar dy / sshedy shckhy qokey okedy sarol oty otedy qotedy otedy okaiin / qokey qokedy sheol qokedy dain shedy otol chedy olor	ALL_THREE_EXACT_WHOLE	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
29	G407-E1953	okal	YES	RUNNING_EVENT	f76r	f76r	BIOLOGICAL	TEXT_BLOCK	f76r.13	4	f76r:P1	NONE	F76R_TEXT_PAGE	NA	NA	0	0	potchokor chcfhdy opshdy qolp chcphy chcphdy opshey qofshy opchdy sain as y / dshedy qotddyar cthar chep dain okain qokeor shedy qol ain sheals qokeey / yshey qokeey qokey qokeed okedy shky qotedy otedy shol qoty ol chedy aiiny / qokedy qokeey or or or chkorol otey qokedy lkedy chdy qokchdy qokal chdam / solchedy qokeedy qopchedy qokeeo rol shedy qokedy sheey okees al al chedain dar / qoaiin ches okeedal qoked qokeey shedy chey lkeedy okey dar aiin chekain oldy / shed al shckhy r ain chcphedy ain olkeey lkar ain otchy lkain chedy dar daly / qotedshedy qorain oteedy chedy ol chdy raiiin chekain dain chckhy sal oty / solshedy qool qctheed shdy qa ol keey dain saiin s ar shedy qokeor okeedy / qokeedy checthy chckhey okal okaiin sheckhey okeedy otey dal y kal chedy sar / chorshedy qoked okees al ar aiin ar ain chckheed lchedy shedy qolair chedy / qotes chedy shckhy qokeey okeey kain checkhy qokeedy qotey qotain chekair / chey chckh shey qeeey chol lkain shedy qokeedy okain chedy okeed qokaloro / dcheedy qolchey qokeey qokeey chedy qokar shedy shedy lshedy qolchedy otedyl / dshedy qo chedy lchedy qokey qolchey qotain chckhy shckhy lchar okar alchdy / qokchsdy okeey lchedy qo olain ot shedy qotaly dar sain shedy oleeed / sheedy qokedy chedy chedy qokain chckhy olchy l ain shedy olaiin chedy qokey / dalshedy qol sheedy qokaldy chepy dain alolor olain chedy shecthy qokey lor / qoloin chey qokeey lchedy chckhy chey ky chey qolal lklchey lchedy chey llaiir y / shedal shey qokey qolchedy qolain ain chey qokaiin okain cheedy lchey l oly dy / soin sheey chear ol aiin chodaiin qokaiin chey qokalchey dal chdy dal ytal / qokar shedy shedy qokar shedy qokain dar shey lshcthy okar okain y laiin y / darchey cheolchey shcthy chedy qo qokey dalaiin sheeky qokain olky sain chy / cheo r ain okaiin dain chey dalshedy qokaiin cheol shy chedy rain chedy shy / qokedy lkey kal shedy qopchey qo l pchedy okchy chckhy shey lol r ol sheey dar / cheor shey qoolkal shedy shedy shey shedy ollchy shlches shcthy sain oly / sain shedy lshey qokal chcthy okeolor cheol otar chedy qol chcthy chckhy / qokal shedy sheol cheol alshy chol chdy talor ol alor chol okeor ar o oly / oteey lchey chey olsheol qokal chal	ONE_ALTERNATE_DIFFERS	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
30	G407-E2364	okal	YES	RUNNING_EVENT	f76r	f76r	BIOLOGICAL	TEXT_BLOCK	f76r.53	10	f76r:P4	NONE	F76R_TEXT_PAGE	NA	NA	0	0	qkor shedy shey keedy sal raiin opchdy dar chedy qopchedy rorol / olsheed qokedy qokeedy qokedy lkedy lsheedy okar shedy otain / saiin qol shedy ol chedor chal shed qoteedy dshdy okal chedyl / dal or chedy qolaiin okedal olchedy chdol olchedy choly aiin y / sain sheey or ar al solshey okeedy ldaiin checkhey okedalor / qokaiin ol shedy qokeey or shdy	ALL_THREE_EXACT_WHOLE	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
31	G407-E2873	okal	YES	RUNNING_EVENT	f81r	f81r	BIOLOGICAL	POOL_APPARATUS_NETWORK	f81r.25	6	f81r:P2	NONE	F81R_POOL_PAGE	NA	NA	0	0	polchdy qopchol qokor olpchedy opol oraisy / y checthy okeedy shey qokedy ol ochedar / osheedy shedy ol shedy okeedy oror / qokedy sheedy chedy qoteedy olam / qopchedy qol chedy qokeey odaiin rain daly / dshedy qokal olkeey oteey olshey otey lol / qotal chedy qol ol daiin ol chedar ol oly / chey okain sheckhy soiin chey lchey / par ody shecphy cheol qotaldar otedy oly / sar shedy qol otain okair okal chedy dy / pchedy qokey oteol qol sheor shedy qcthdys / sol chedy qokedy olkedy dol qokchedy / qokesdy chedy qokar chey taiin otey lchl / y sheedy shy chey l chcthy ytar olkaiin ol / l shedy qokedy sor olkar ol kaiin olkshdy / sol shedy ol lchedy shedy shy olkedy ches ar or oraiiin	ALL_THREE_EXACT_WHOLE	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
32	G407-E2938	okal	YES	RUNNING_EVENT	f81v	f81v	BIOLOGICAL	POOL_APPARATUS_NETWORK	f81v.2	4	f81v:P1	NONE	F81V_POOL_PAGE	NA	NA	0	0	par shey keedy shekal dal dar ol pchedy shek dain ofalsheky / qokedy okaiin kair okal sar ol kain olkain al ol rol dl / saiin daiin olkeedy okedy dykain shek chdy dalal oldy / qokaiin okain cheeky dy ol kaiin dain dy daiin chcthy / okaiin daiin otain chckhy okeedy qoky kar daiin okar / qokain okaiin ol chedy cheol lky l s aiin okain daldy / olor ol sheckhal daiin qokeedal daiin chckhy schedy qol / ykol or shedy sheedy qolkeedy daiin dkain cphedy oldy / yar olchey kaiin okeey daiin olor checkhy daiidy	ALL_THREE_EXACT_WHOLE	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
33	G407-E3048	okal	YES	RUNNING_EVENT	f81v	f81v	BIOLOGICAL	POOL_APPARATUS_NETWORK	f81v.13	9	f81v:P2	NONE	F81V_POOL_PAGE	NA	NA	0	0	polshy ashyteed qop okeedy otedy okshedy qoty dairam / yshey qokeey okeey oky ykeey qoky oky lky olchy ky dsholyd / qol ol chdy shedy qokedy ytedy chetedy lkedey ytedy / ykeshey dchsed ytedy ytedy dar ykeday qoty ykedy okal / dshedy ykeedy sheeky daiin okedy qokeed qokedy lchpchdy / qokal chedy ol sheey salshcthdy qofchedy r chedy ltary / lor shedy qoeedy ol chy rshdy lshedy dar chdy pchdy / sshkchdy chedy ol shedy qolchedy qokain ckhy dl ral / qokchdy chey ol cheky ol shedy qokedy qokedy chckhy qoky / solkeey ol shedy qokar shckhy dedy qokar qokal dol chy / qocthey chekal chedy qokedy lshety qoldy ltedy qotain / lsho qokey lshedy lshedy chedy qolky lchedal qol otar / qokal qol oiin cheey dal lchedy chedy salchtedytar / shol qetchy ykaiin olkain shedy qoky dchedy rol olcthdy / ytey okchedy qokal okeey qol cheedy sal teol dchdy ly / oshedy qotedy shol chedy y shchey ol chey qol chedy tchd oky / ol checholtar oiin okedy dal shey olkeol olkeedy okeol / dsheol oiiin olkeedy tedy cheky shckhedy chal	ALL_THREE_EXACT_WHOLE	COMPLETE_ZL3B_SURFACE_STARTS_WITH_OKAL	ZERO__FORMAL_FAMILY_CENSUS	ZERO
