surface	occurrence_count	physical_pages	truth_recipe	revised_working_recipe	working_revision_class	candidate_count_capped	old_base_surface_count	gdt524_rank	gdt524_top1	gdt525_rank	gdt524_revised_rank	gdt525_revised_rank	gdt525_top1	gdt525_top5	truth_gdt524_score	truth_chain_feature	truth_gdt525_score	truth_chain_trace	top1_gdt524_score	top1_chain_feature	top1_gdt525_score	top1_chain_trace	top1_alignment_trace	decision_change_class	working_policy
cheda	1	f31r	CHD+A_ADDR	CHD+A_ADDR	INHERITED_RECIPE_RETAINED	34	4	1	CHD+A_ADDR	1	1	1	CHD+A_ADDR	CHD+A_ADDR | CHD+DA | CHD+D_ADDR | CH+E+DA | CH+DA	3.488070277	0.000000000	3.488070277	NO_POSITIVE_DISTINCT_TWO_HOP_CHANNELS	3.488070277	0.000000000	3.488070277	NO_POSITIVE_DISTINCT_TWO_HOP_CHANNELS	ched=>ched~CHD@edit0+alias0.000 | a=>a~A_ADDR@edit0+alias0.000	GDT524_CORRECT_PRESERVED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
chedaiir	1	f66r	CHD+IIN+R	CHD+IIN+R	INHERITED_RECIPE_RETAINED	100	11	1	CHD+IIN+R	1	1	1	CHD+IIN+R	CHD+IIN+R | CHD+AIIN+R | CHD+A_ADDR+IIN+R | CHD+D_ADDR+IIN+R | CHD+D_ADDR+AIIN+R	6.734301863	0.000000000	6.734301863	NO_POSITIVE_DISTINCT_TWO_HOP_CHANNELS	6.734301863	0.000000000	6.734301863	NO_POSITIVE_DISTINCT_TWO_HOP_CHANNELS	ched=>ched~CHD@edit0+alias0.000 | aii=>iin~IIN@edit2+alias0.000 | r=>r~R@edit0+alias0.000	GDT524_CORRECT_PRESERVED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
cheeo	1	f66r	CH+EE+O	CH+EE+O	INHERITED_RECIPE_RETAINED	16	5	1	CH+EE+O	1	1	1	CH+EE+O	CH+EE+O | SH+EE+O | LOCAL_C+EE+O | CH+EE+O+D_ADDR | LOCAL_C+SH+EE+O	3.551210269	0.000000000	3.551210269	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	3.551210269	0.000000000	3.551210269	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	ch=>ch~CH@edit0+alias0.000 | ee=>ee~EE@edit0+alias0.000 | o=>o~O@edit0+alias0.000	GDT524_CORRECT_PRESERVED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
chefchy	1	f66r	CH+E+LOCAL_CHAR_F+CH+Y	CH+E+LOCAL_CHAR_F+CH+Y	INHERITED_RECIPE_RETAINED	66	7	1	CH+E+LOCAL_CHAR_F+CH+Y	1	1	1	CH+E+LOCAL_CHAR_F+CH+Y	CH+E+LOCAL_CHAR_F+CH+Y | CH+E+LOCAL_CHAR_F+LOCAL_C+Y | CH+E+LOCAL_CHAR_F+Y | LOCAL_C+E+LOCAL_CHAR_F+CH+Y | CHD+LOCAL_CHAR_F+CH+Y	5.112589103	0.000000000	5.112589103	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	5.112589103	0.000000000	5.112589103	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	ch=>ch~CH@edit0+alias0.000 | e=>e~E@edit0+alias0.000 | f=>f~LOCAL_CHAR_F@edit0+alias0.000 | ch=>ch~CH@edit0+alias0.000 | y=>y~Y@edit0+alias0.000	GDT524_CORRECT_PRESERVED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
chekchy	1	f66r	CH+K+CH+Y	CH+K+CH+Y	INHERITED_RECIPE_RETAINED	100	13	2	CH+K+Y	2	2	2	CH+K+Y	CH+K+Y | CH+K+CH+Y | CH+K+LOCAL_C+Y | CH+E+K+CH+Y | CH+E+K+Y	5.952739492	0.000000000	5.952739492	NO_POSITIVE_DISTINCT_TWO_HOP_CHANNELS	4.646258486	0.000000000	4.646258486	NO_POSITIVE_DISTINCT_TWO_HOP_CHANNELS	chekc=>chek~CH+K@edit1+alias0.291 | hy=>hy~Y@edit0+alias0.254	GDT524_ERROR_UNCHANGED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
chekeey	1	f66r	CH+K+EE+Y	CH+K+EE+Y	INHERITED_RECIPE_RETAINED	57	15	1	CH+K+EE+Y	1	1	1	CH+K+EE+Y	CH+K+EE+Y | CH+E+K+EE+Y | CH+K+E+EE+Y | CHD+K+EE+Y | LOCAL_C+E+K+EE+Y	4.028644352	0.000000000	4.028644352	NO_POSITIVE_DISTINCT_TWO_HOP_CHANNELS	4.028644352	0.000000000	4.028644352	NO_POSITIVE_DISTINCT_TWO_HOP_CHANNELS	chek=>chek~CH+K@edit0+alias0.291 | ee=>ee~EE@edit0+alias0.000 | y=>y~Y@edit0+alias0.000	GDT524_CORRECT_PRESERVED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
chekeody	1	f66r	CH+K+E+O+DY	CH+K+E+O+DY	INHERITED_RECIPE_RETAINED	100	28	1	CH+K+E+O+DY	1	1	1	CH+K+E+O+DY	CH+K+E+O+DY | CH+E+K+E+O+DY | CH+K+E+O+D_ADDR+Y | CH+K+E+O+Y | CH+E+K+E+O+D_ADDR+Y	5.453763734	0.000000000	5.453763734	NO_POSITIVE_DISTINCT_TWO_HOP_CHANNELS	5.453763734	0.000000000	5.453763734	NO_POSITIVE_DISTINCT_TWO_HOP_CHANNELS	chek=>chek~CH+K@edit0+alias0.291 | e=>e~E@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | dy=>dy~DY@edit0+alias0.000	GDT524_CORRECT_PRESERVED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
cheod	1	f31r	CH+E+O+D_ADDR	CH+E+O+D_ADDR	INHERITED_RECIPE_RETAINED	24	6	1	CH+E+O+D_ADDR	1	1	1	CH+E+O+D_ADDR	CH+E+O+D_ADDR | CH+E+O | LOCAL_C+E+O+D_ADDR | LOCAL_C+SH+E+O+D_ADDR | CH+O+D_ADDR	1.351735503	0.000000000	1.351735503	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	1.351735503	0.000000000	1.351735503	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	ch=>ch~CH@edit0+alias0.000 | e=>e~E@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | d=>d~D_ADDR@edit0+alias0.000	GDT524_CORRECT_PRESERVED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
chepakeo	1	f31r	CH+E+P+A_ADDR+K+E+O	CH+E+P+A_ADDR+K+E+O	INHERITED_RECIPE_RETAINED	36	8	1	CH+E+P+A_ADDR+K+E+O	1	1	1	CH+E+P+A_ADDR+K+E+O	CH+E+P+A_ADDR+K+E+O | CH+E+P+A_ADDR+OK+E | CH+E+P+K+A_ADDR+E+O | LOCAL_C+E+P+A_ADDR+K+E+O | CH+P+A_ADDR+K+E+O	5.898993174	0.000000000	5.898993174	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	5.898993174	0.000000000	5.898993174	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	ch=>ch~CH@edit0+alias0.000 | e=>e~E@edit0+alias0.000 | p=>p~P@edit0+alias0.000 | a=>a~A_ADDR@edit0+alias0.000 | k=>k~K@edit0+alias0.000 | e=>e~E@edit0+alias0.000 | o=>o~O@edit0+alias0.000	GDT524_CORRECT_PRESERVED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
chepos	1	f31r	CH+E+P+O+S	CH+E+P+O+S	INHERITED_RECIPE_RETAINED	72	11	1	CH+E+P+O+S	1	1	1	CH+E+P+O+S	CH+E+P+O+S | CH+E+P+O | CH+E+P+OS | CH+E+P+O+S_ADDR | CH+P+O+S	3.605285390	0.000000000	3.605285390	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	3.605285390	0.000000000	3.605285390	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	ch=>ch~CH@edit0+alias0.000 | e=>e~E@edit0+alias0.000 | p=>p~P@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | s=>s~S@edit0+alias0.000	GDT524_CORRECT_PRESERVED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
cheta	1	f66r	CH+E+T+A_ADDR	CH+E+T+A_ADDR	INHERITED_RECIPE_RETAINED	24	4	1	CH+E+T+A_ADDR	1	1	1	CH+E+T+A_ADDR	CH+E+T+A_ADDR | CH+E+T | CH+E+AL | CH+T | CH+E+A_ADDR+T	4.130201937	0.000000000	4.130201937	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	4.130201937	0.000000000	4.130201937	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	ch=>ch~CH@edit0+alias0.000 | e=>e~E@edit0+alias0.000 | t=>t~T@edit0+alias0.000 | a=>a~A_ADDR@edit0+alias0.000	GDT524_CORRECT_PRESERVED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
choekeey	1	f66r	CH+O+E+K+EE+Y	CH+O+E+K+EE+Y	INHERITED_RECIPE_RETAINED	99	19	1	CH+O+E+K+EE+Y	1	1	1	CH+O+E+K+EE+Y	CH+O+E+K+EE+Y | LOCAL_C+O+E+K+EE+Y | HO+E+K+EE+Y | LOCAL_C+SH+O+E+K+EE+Y | CH+O+K+EE+Y	3.688127958	0.000000000	3.688127958	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	3.688127958	0.000000000	3.688127958	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	ch=>ch~CH@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | e=>e~E@edit0+alias0.000 | k=>k~K@edit0+alias0.000 | ee=>ee~EE@edit0+alias0.000 | y=>y~Y@edit0+alias0.000	GDT524_CORRECT_PRESERVED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
choiin	1	f20v	CH+O+IIN	CH+O+IIN	INHERITED_RECIPE_RETAINED	100	6	1	CH+O+IIN	1	1	1	CH+O+IIN	CH+O+IIN | LOCAL_C+O+IIN | HO+IIN | CH+O+AIIN | LOCAL_C+SH+O+IIN	2.843913726	0.000000000	2.843913726	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	2.843913726	0.000000000	2.843913726	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	ch=>ch~CH@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | iin=>iin~IIN@edit0+alias0.000	GDT524_CORRECT_PRESERVED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
cholpchd	1	f66r	OL+P+CHD	OL+P+CHD	INHERITED_RECIPE_RETAINED	100	5	1	OL+P+CHD	1	1	1	OL+P+CHD	OL+P+CHD | CH+OL+P+CHD | OL+P+CH+D_ADDR | LOCAL_C+OL+P+CHD | CH+OL+P+CH+D_ADDR	5.030926344	0.000000000	5.030926344	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	5.030926344	0.000000000	5.030926344	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	chol=>chol~OL@edit0+alias0.521 | p=>p~P@edit0+alias0.000 | chd=>chd~CHD@edit0+alias0.500	GDT524_CORRECT_PRESERVED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
choraiin	1	f4r	CH+OR+AIIN	CH+OR+AIIN	INHERITED_RECIPE_RETAINED	100	15	1	CH+OR+AIIN	1	1	1	CH+OR+AIIN	CH+OR+AIIN | LOCAL_C+OR+AIIN | CH+OR+A_ADDR+AIIN | LOCAL_C+SH+OR+AIIN | CH+OR+A_ADDR+IIN	3.590330694	0.000000000	3.590330694	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	3.590330694	0.000000000	3.590330694	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	ch=>ch~CH@edit0+alias0.000 | or=>or~OR@edit0+alias0.000 | aiin=>aiin~AIIN@edit0+alias0.000	GDT524_CORRECT_PRESERVED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
choraly	1	f20v	CH+OR+AL+Y	CH+OR+AL+Y	INHERITED_RECIPE_RETAINED	82	25	1	CH+OR+AL+Y	1	1	1	CH+OR+AL+Y	CH+OR+AL+Y | LOCAL_C+OR+AL+Y | LOCAL_C+SH+OR+AL+Y | CH+O+R+AL+Y | HO+R+AL+Y	2.786973011	0.000000000	2.786973011	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	2.786973011	0.000000000	2.786973011	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	ch=>ch~CH@edit0+alias0.000 | or=>or~OR@edit0+alias0.000 | al=>al~AL@edit0+alias0.000 | y=>y~Y@edit0+alias0.000	GDT524_CORRECT_PRESERVED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
chory	1	f20v	CH+OR+Y	CH+OR+Y	INHERITED_RECIPE_RETAINED	16	10	1	CH+OR+Y	1	1	1	CH+OR+Y	CH+OR+Y | LOCAL_C+OR+Y | LOCAL_C+SH+OR+Y | CH+O+R+Y | HO+R+Y	2.639675175	0.000000000	2.639675175	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	2.639675175	0.000000000	2.639675175	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	ch=>ch~CH@edit0+alias0.000 | or=>or~OR@edit0+alias0.000 | y=>y~Y@edit0+alias0.000	GDT524_CORRECT_PRESERVED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
chpady	1	f4r	CH+P+A_ADDR+DY	CH+P+A_ADDR+DY	INHERITED_RECIPE_RETAINED	20	7	1	CH+P+A_ADDR+DY	1	1	1	CH+P+A_ADDR+DY	CH+P+A_ADDR+DY | CH+P+A_ADDR+Y | CH+P+A_ADDR+D_ADDR+Y | LOCAL_C+P+A_ADDR+Y | LOCAL_C+P+A_ADDR+DY	5.134829881	0.000000000	5.134829881	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	5.134829881	0.000000000	5.134829881	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	ch=>ch~CH@edit0+alias0.000 | p=>p~P@edit0+alias0.000 | a=>a~A_ADDR@edit0+alias0.000 | dy=>dy~DY@edit0+alias0.000	GDT524_CORRECT_PRESERVED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
chxar	1	f66r	CH+LOCAL_X+AR	CH+LOCAL_X+AR	INHERITED_RECIPE_RETAINED	9	5	1	CH+LOCAL_X+AR	1	1	1	CH+LOCAL_X+AR	CH+LOCAL_X+AR | LOCAL_C+SH+LOCAL_X+AR | CH+LOCAL_X+A_ADDR+R | CH+LOCAL_X+A_ADDR+AR | CH+SH+LOCAL_X+AR	2.831015632	0.000000000	2.831015632	NO_POSITIVE_DISTINCT_TWO_HOP_CHANNELS	2.831015632	0.000000000	2.831015632	NO_POSITIVE_DISTINCT_TWO_HOP_CHANNELS	ch=>ch~CH@edit0+alias0.000 | x=>x~LOCAL_X@edit0+alias0.000 | ar=>ar~AR@edit0+alias0.000	GDT524_CORRECT_PRESERVED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
ckhochy	1	f4r	CH+K+O+CH+Y	CH+K+O+CH+Y	INHERITED_RECIPE_RETAINED	50	8	1	CH+K+O+CH+Y	1	1	1	CH+K+O+CH+Y	CH+K+O+CH+Y | CH+K+O+Y | CH+K+O+LOCAL_C+Y | K+O+CH+Y | LOCAL_C+K+O+CH+Y	3.538814011	0.000000000	3.538814011	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	3.538814011	0.000000000	3.538814011	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	ckh=>ckh~CH+K@edit0+alias0.515 | o=>o~O@edit0+alias0.000 | ch=>ch~CH@edit0+alias0.000 | y=>y~Y@edit0+alias0.000	GDT524_CORRECT_PRESERVED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
cphaiin	1	f4r	CH+P+AIIN	CH+P+AIIN	INHERITED_RECIPE_RETAINED	100	4	1	CH+P+AIIN	1	1	1	CH+P+AIIN	CH+P+AIIN | CH+P+A_ADDR+AIIN | CH+P+SH+AIIN | LOCAL_C+P+AIIN | CH+P+A_ADDR+IIN	3.607846965	0.000000000	3.607846965	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	3.607846965	0.000000000	3.607846965	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	cph=>cph~CH+P@edit0+alias0.505 | aiin=>aiin~AIIN@edit0+alias0.000	GDT524_CORRECT_PRESERVED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
cpholdy	1	f4r	CH+P+OL+DY	CH+P+OL+DY	INHERITED_RECIPE_RETAINED	78	20	1	CH+P+OL+DY	1	1	1	CH+P+OL+DY	CH+P+OL+DY | CH+P+OL+D_ADDR+Y | CH+P+OL+Y | CH+P+OL | CH+P+SH+OL+DY	4.570803287	0.000000000	4.570803287	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	4.570803287	0.000000000	4.570803287	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	cph=>cph~CH+P@edit0+alias0.505 | ol=>ol~OL@edit0+alias0.000 | dy=>dy~DY@edit0+alias0.000	GDT524_CORRECT_PRESERVED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
cthdy	1	f66r	CH+T+D_ADDR+Y	CH+T+D_ADDR+Y	INHERITED_RECIPE_RETAINED	17	7	1	CH+T+D_ADDR+Y	1	1	1	CH+T+D_ADDR+Y	CH+T+D_ADDR+Y | CH+T+DY | CH+T+Y | LOCAL_C+T+D_ADDR+Y | CH+T+SH+D_ADDR+Y	3.056432396	0.000000000	3.056432396	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	3.056432396	0.000000000	3.056432396	NO_REPEATED_K_BASE_Y_THEN_E_CHAIN	cthd=>cthd~CH+T+D_ADDR@edit0+alias0.506 | y=>y~Y@edit0+alias0.000	GDT524_CORRECT_PRESERVED	TWO_LICENSED_EDITS_MAY_COMPOSE_THROUGH_ONE_EXPLICIT_INTERMEDIATE_STEM
