event_serial	event_id	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	surface_display	semantic_segmentation	stable_concrete_nucleus_de	concrete_word_reading_de	contextual_event_reading_de	statement_continuation	previous_semantic_segmentation	previous_stable_concrete_nucleus_de	previous_concrete_word_reading_de	previous_contextual_event_reading_de	paradigm_revision	revision_strength	component_completion_previous_segmentation	component_completion_previous_nucleus_de	component_completion_previous_gloss_de	component_completion_previous_context_de	component_completion_source	component_completion_strength	direction_previous_segmentation	direction_previous_nucleus_de	direction_previous_gloss_de	direction_previous_context_de	direction_revision_source	direction_revision_strength	quantity_previous_segmentation	quantity_previous_nucleus_de	quantity_previous_gloss_de	quantity_previous_context_de	quantity_revision_source	quantity_revision_strength	workshop_slots	state_endpoint_previous_segmentation	state_endpoint_previous_nucleus_de	state_endpoint_previous_gloss_de	state_endpoint_previous_context_de	state_endpoint_revision_family	state_endpoint_revision_strength	filtration_previous_segmentation	filtration_previous_nucleus_de	filtration_previous_gloss_de	filtration_previous_context_de	filtration_revision_family	filtration_revision_strength	application_previous_segmentation	application_previous_nucleus_de	application_previous_gloss_de	application_previous_context_de	application_revision_family	application_revision_strength	r3_previous_segmentation	r3_previous_nucleus_de	r3_previous_gloss_de	r3_previous_context_de	r3_revision_family	r3_revision_strength	r3_revision_note	selected_previous_segmentation	selected_previous_nucleus_de	selected_previous_gloss_de	selected_previous_context_de	selected_medium_family	selected_medium_rationale	r3_thermal_previous_segmentation	r3_thermal_previous_nucleus_de	r3_thermal_previous_gloss_de	r3_thermal_previous_context_de	r3_thermal_family	r3_thermal_status	r3_thermal_note	selected_thermal_previous_segmentation	selected_thermal_previous_nucleus_de	selected_thermal_previous_gloss_de	selected_thermal_previous_context_de	selected_thermal_source	selected_thermal_family	selected_thermal_reason
95	E095	H5	f56r	f56r.18	F019	H5-S005	9ad66e67803a12e745de	chokchy	OK_SET+CH_WRAPPER+Y_OPEN	OK=ansetzen; CHY=umhüllter offener Posten	Posten ansetzen	Posten ansetzen	LOCAL_SEQUENCE	okchy=frischer Auszug	frischer Auszug	frischer Auszug	Erwärme gelinde	OK_PARADIGM	CLOSED_RENDERER_PAIR	OK+CHY[Y]	OK=in den laufenden Arbeitsgang setzen; aktueller Ansatz	aktuellen Ansatz in Arbeit nehmen oder anwenden	Aktuellen Ansatz in Arbeit nehmen oder anwenden	Y_CHY	SELECTED_PRODUCTIVE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OWNER_ITEM+OPERATION	OK+CHY[wrapped Y_REFERENT]	OK=in Arbeit setzen; CHY=umhüllter Verweis auf den laufenden Posten	den laufenden Posten anwenden oder in Arbeit nehmen	Den laufenden Posten anwenden oder in Arbeit nehmen	OK_STATE_GRID	SELECTED_RECURRENT_WRAPPED_BASE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OK+CHY_WRAPPED_CURRENT_ITEM	OK=in Arbeit setzen; CHY=umhüllter aktueller Posten	den laufenden Posten einsetzen	Den laufenden Posten einsetzen	UNCHANGED	UNCHANGED	NOT_APPLICABLE	OK+CHY_WRAPPED_CURRENT_ITEM	OK=in Arbeit setzen; CHY=umhüllter aktueller Posten	den laufenden Posten einsetzen	Den laufenden Posten einsetzen	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	OK+CHY_WRAPPED_CURRENT_ITEM	OK=in Arbeit setzen; CHY=umhüllter aktueller Posten	den laufenden Posten einsetzen	Den laufenden Posten einsetzen	OK_GRID	REVISED_R3	Wrapped open base; same stored value as the plain OKY card.	OK_SET+CH_WRAPPER+Y_OPEN	OK=ansetzen; CHY=umhüllter offener Posten	Posten ansetzen	Posten ansetzen	R3_STRUCTURAL_BASE	OK_GRID	R3 retained after four-role comparison.
96	E096	H5	f56r	f56r.18	F019	H5-S005	c71c72da4e09e0833392	kchoar	KCHOAR_USE_EXTRACT_WHOLE_CARD	KCHOAR=Gebrauchsauszug	Gebrauchsauszug	Gebrauchsauszug	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	PREPARATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	kchoar=Brusttrank	Brusttrank	Brusttrank	Gib den Auszug als Brusttrank	DRINK_PRODUCT	SELECTED_SINGLETON_WHOLE_CARD	The H5 context licenses a drink; chest and cough are not in the card.	KCHOAR_DRINK_WHOLE_CARD	KCHOAR=Trank	Trank	Gib den Auszug als Trank	PRODUCT_WHOLE_CARD	The shorter product name removes the unsupported chest/cough content.	KCHOAR_USE_EXTRACT_WHOLE_CARD	KCHOAR=Gebrauchsauszug	Gebrauchsauszug	Gebrauchsauszug	UNCHANGED	UNCHANGED	NOT_APPLICABLE	KCHOAR_USE_EXTRACT_WHOLE_CARD	KCHOAR=Gebrauchsauszug	Gebrauchsauszug	Gebrauchsauszug	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
97	E097	H5	f56r	f56r.18	F019	H5-S005	61a075bc54793c1c781f	sotodan	sotodan=gebrauchen	gebrauchen	gebrauchen	Gebrauche ihn bei trockenem Husten	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OPERATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	sotodan=gebrauchen	gebrauchen	gebrauchen	Gebrauche ihn bei trockenem Husten	UNCHANGED	UNCHANGED	NOT_APPLICABLE	sotodan=gebrauchen	gebrauchen	gebrauchen	Gebrauche ihn bei trockenem Husten	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	sotodan=gebrauchen	gebrauchen	gebrauchen	Gebrauche ihn bei trockenem Husten	UNCHANGED	UNCHANGED	NOT_APPLICABLE	sotodan=gebrauchen	gebrauchen	gebrauchen	Gebrauche ihn bei trockenem Husten	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
98	E098	H5	f56r	f56r.19	F020	H5-S006	faf321940aed922846a9	otchey	OT_FOLLOW+Y_CURRENT_ITEM	OT=Folge; Y=Posten	Folgeposten	Folgeposten wählen	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	otchey=Teil auswählen	Teil auswählen	Teil auswählen	Führe den ausgewählten Trankanteil als Gabe	RECURRENT_COMPOSITION	SELECTED_RECURRENT_COMPOSITION					UNCHANGED	UNCHANGED	OWNER_ITEM+ORDER					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OT+CHEY[wrapped Y_REFERENT]	OT=nächster; CHEY=Postenverweis	den nächsten Posten wählen	Den nächsten Posten wählen	UNCHANGED	UNCHANGED	NOT_APPLICABLE	OT+CHEY[wrapped Y_REFERENT]	OT=nächster; CHEY=Postenverweis	den nächsten Posten wählen	Den nächsten Posten wählen	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	OT+CHEY[wrapped Y_REFERENT]	OT=nächster; CHEY=Postenverweis	den nächsten Posten wählen	Den nächsten Posten wählen	ORDER_GRID	REVISED_R3	OT selects the successor item.	OT_FOLLOW+Y_CURRENT_ITEM	OT=Folge; Y=Posten	Folgeposten	Folgeposten wählen	R3_STRUCTURAL_BASE	ORDER_GRID	R3 retained after four-role comparison.
99	E099	H5	f56r	f56r.19	F020	H5-S006	9bb7122b386ebbc6138f	keol	keol=je Gabe	je Gabe	je Gabe	Je Gabe	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OPERATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	keol=je Gabe	je Gabe	je Gabe	Je Gabe	UNCHANGED	UNCHANGED	NOT_APPLICABLE	keol=je Gabe	je Gabe	je Gabe	Je Gabe	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	keol=je Gabe	je Gabe	je Gabe	Je Gabe	UNCHANGED	UNCHANGED	NOT_APPLICABLE	keol=je Gabe	je Gabe	je Gabe	Je Gabe	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
100	E100	H5	f56r	f56r.19	F020	H5-S006	2f1c5e56e8f0ff459065	daiin	AIIN_TARGET_MEASURE	AIIN=Sollmaß	Sollmaß	Sollmaß	LOCAL_SEQUENCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	aiin=Maß	Maß	Maß	Nimm ein kleines örtliches Maß	MEASURE_CORE	SELECTED_STRONG	QUANTITY					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	AIIN_MEASURE	AIIN=vorgeschriebenes Maß	vorgeschriebenes Maß	Vorgeschriebenes Maß	UNCHANGED	UNCHANGED	NOT_APPLICABLE	AIIN_MEASURE	AIIN=vorgeschriebenes Maß	vorgeschriebenes Maß	Vorgeschriebenes Maß	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	AIIN_MEASURE	AIIN=vorgeschriebenes Maß	vorgeschriebenes Maß	Vorgeschriebenes Maß	AIIN_MEASURE	REVISED_R3	AIIN records the prescribed measure; it is not itself a time word.	AIIN_TARGET_MEASURE	AIIN=Sollmaß	Sollmaß	Sollmaß	R3_STRUCTURAL_BASE	AIIN_MEASURE	R3 retained after four-role comparison.
101	E101	B1	f81v	f81v.2	F021	B1-S001	7db18b2f0fb7ed0fcfd3	qokedy	OK_SET+GRADE_1+DY_CLOSE	OK=ansetzen; E=Stufe I; DY=Schluss	kurz ansetzen; Schluss	Kurz ansetzen; Schluss	CONTINUES_ACROSS_LINE	oke=spülen + dy=Ende	spülen + Ende	spülen; Ende	Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen	E_GRADE_PARADIGM	SELECTED_PRODUCTIVE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OPERATION+STATE_GRADE+CLOSE	OK+E+DY	E-Grad=BRIEF_DIRECT_CONTACT; Zustand=CLOSED	kurz spülen oder benetzen und den Schritt abschließen	Kurz spülen oder benetzen und den Schritt abschließen	OK_STATE_GRID	SELECTED_PRODUCTIVE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OK+GRADE_1+DY_CLOSE	OK=einsetzen; E=kurz; Endkarte=Schluss	kurz benetzen; Schluss	Kurz benetzen; Schluss	UNCHANGED	UNCHANGED	NOT_APPLICABLE	OK+GRADE_1+DY_CLOSE	OK=einsetzen; E=kurz; Endkarte=Schluss	kurz benetzen; Schluss	Kurz benetzen; Schluss	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	OK+GRADE_1+DY_CLOSE	OK=einsetzen; E=kurz; Endkarte=Schluss	kurz benetzen; Schluss	Kurz benetzen; Schluss	OK_GRID	REVISED_R3	First ranked committed OK state; wetting is only a local realization.	OK_SET+GRADE_1+DY_CLOSE	OK=ansetzen; E=Stufe I; DY=Schluss	kurz ansetzen; Schluss	Kurz ansetzen; Schluss	R3_STRUCTURAL_BASE	OK_GRID	R3 retained after four-role comparison.
102	E102	B1	f81v	f81v.2	F022	B1-S002	b5fcea1eaed06b2f2291	okaiin	OK_SET+AIIN_TARGET_MEASURE	OK=einstellen; AIIN=Sollmaß	auf Sollmaß einstellen	Auf Sollmaß einstellen	CONTINUES_ACROSS_LINE	ok=geben + aiin=Maß	geben + Maß	nach Maß geben	nach dem örtlichen Maß beziehungsweise als vorgeschriebene Dosis	OK_PARADIGM	CLOSED_STRONG					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OK+AIIN	OK=in den laufenden Arbeitsgang setzen; vorgeschriebenes Maß	nach Maß einsetzen; den Einsatz bemessen	Nach Maß einsetzen; den Einsatz bemessen	MEASURE_COMPOSITION	SELECTED_PRODUCTIVE	QUANTITY+OPERATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OK+AIIN_MEASURE	OK=einstellen; AIIN=Maß	auf das vorgeschriebene Maß einstellen	Auf das vorgeschriebene Maß einstellen	UNCHANGED	UNCHANGED	NOT_APPLICABLE	OK+AIIN_MEASURE	OK=einstellen; AIIN=Maß	auf das vorgeschriebene Maß einstellen	Auf das vorgeschriebene Maß einstellen	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	OK+AIIN_MEASURE	OK=einstellen; AIIN=Maß	auf das vorgeschriebene Maß einstellen	Auf das vorgeschriebene Maß einstellen	AIIN_MEASURE	REVISED_R3	OK turns the stored measure into an instruction to set it.	OK_SET+AIIN_TARGET_MEASURE	OK=einstellen; AIIN=Sollmaß	auf Sollmaß einstellen	Auf Sollmaß einstellen	R3_STRUCTURAL_BASE	AIIN_MEASURE	R3 retained after four-role comparison.
103	E103	B1	f81v	f81v.2	F022	B1-S002	22fb87a5a83e5c3fb510	kair	K_BASIN+AIR_WATER	AIR=Wasser	Beckenwasser	Beckenwasser	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	air=fließende Flüssigkeit	fließende Flüssigkeit	Rückstrom	den zurücklaufenden Strom	DIRECTION_WORKSHOP	SELECTED_THIN					UNCHANGED	UNCHANGED	MEDIUM					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	K_LEARNED+AIR_FLOW	AIR=fließende Flüssigkeit im Lauf	laufende Beckenflüssigkeit	Laufende Beckenflüssigkeit	AIR_WATER	SELECTED_SINGLETON_COMPOSITION	The f81v pool owner supplies the basin reading; AIR remains the water material.	K_LEARNED_BASIN+AIR_WATER	AIR=Wasser; K=gelernte Beckenhülle	Beckenwasser	Beckenwasser	AIR_WATER	The visible f81v pool supplies the basin role.	K_BASIN+AIR_WATER	AIR=Wasser	Beckenwasser	Beckenwasser	UNCHANGED	UNCHANGED	NOT_APPLICABLE	K_BASIN+AIR_WATER	AIR=Wasser	Beckenwasser	Beckenwasser	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
104	E104	B1	f81v	f81v.2	F022	B1-S002	308e8ea2d5d190c498e8	okal	Q_RENDERER+OK+AL_SITE	OK=einsetzen; AL=Stelle	an die Stelle setzen	An die Stelle setzen	CONTINUES_ACROSS_LINE	ok=geben + al=Stelle	geben + Stelle	an Stelle geben	Den aktiven Posten an der örtlich bezeichneten Station führen	OK_PARADIGM	CLOSED_STRONG					UNCHANGED	UNCHANGED	OK+AL	OK=in den laufenden Arbeitsgang setzen; Zielstelle	an der Zielstelle anwenden; dorthin führen	An der Zielstelle anwenden; dorthin führen	DIRECTION_WORKSHOP	SELECTED_RECURRENT_COMPOSITION					UNCHANGED	UNCHANGED	TARGET+OPERATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	Q_RENDERER+OK+AL_TARGET	OK=in Arbeit setzen; AL=Zielstelle	an der Zielstelle einsetzen	An der Zielstelle einsetzen	AL_SITE	SELECTED_RECURRENT_COMPOSITION	Q_RENDERER+OK+AL_SITE	OK=einsetzen; AL=Stelle	an die Stelle setzen	An die Stelle setzen	UNCHANGED	UNCHANGED	NOT_APPLICABLE	Q_RENDERER+OK+AL_SITE	OK=einsetzen; AL=Stelle	an die Stelle setzen	An die Stelle setzen	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	Q_RENDERER+OK+AL_SITE	OK=einsetzen; AL=Stelle	an die Stelle setzen	An die Stelle setzen	UNCHANGED	UNCHANGED	NOT_APPLICABLE	Q_RENDERER+OK+AL_SITE	OK=einsetzen; AL=Stelle	an die Stelle setzen	An die Stelle setzen	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
105	E105	B1	f81v	f81v.2	F022	B1-S002	4d4559019a961b834aa1	sar	AR_SOURCE	AR=Quelle oder Vorrat; aus/von	aus demselben Vorrat	Aus demselben Vorrat	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ar=aus	aus	aus demselben Ansatz	Daraus, aus demselben Ansatz	DIRECTION_WORKSHOP	SELECTED_RECURRENT					UNCHANGED	UNCHANGED	SOURCE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	AR_SOURCE	AR=Quelle oder Vorrat; aus/von	aus demselben Vorrat	Aus demselben Vorrat	UNCHANGED	UNCHANGED	NOT_APPLICABLE	AR_SOURCE	AR=Quelle oder Vorrat; aus/von	aus demselben Vorrat	Aus demselben Vorrat	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	AR_SOURCE	AR=Quelle oder Vorrat; aus/von	aus demselben Vorrat	Aus demselben Vorrat	UNCHANGED	UNCHANGED	NOT_APPLICABLE	AR_SOURCE	AR=Quelle oder Vorrat; aus/von	aus demselben Vorrat	Aus demselben Vorrat	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
106	E106	B1	f81v	f81v.2	F022	B1-S002	dcda95c81a5460feb191	ol	OL_CONTINUE	OL=fortsetzen	fortsetzen	Fortsetzen	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ORDER+OPERATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	UNCHANGED	UNCHANGED	NOT_APPLICABLE	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	ORDER_GRID	REVISED_R3	Nineteen events make OL the recurrent continuation carrier.	OL_CONTINUE	OL=mit Vorigem fortsetzen	mit Vorigem fortsetzen	Mit Vorigem fortsetzen	FOUR_ROLE_LEXICAL_REPAIR	ORDER_OL	The inherited item supplies 'mit dem Vorigen'; the card contributes only continuation.
107	E107	B1	f81v	f81v.2	F022	B1-S002	9da1b6ac2c929daea697	kain	AIN_PORTION	AIN=Teil oder Portion	eine Portion	Eine Portion	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ain=Portion	Portion	abgemessener Teil	Ein abgemessener Anteil	QUANTITY_CORE	SELECTED_RECURRENT	QUANTITY					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	AIN_PORTION	AIN=Teil oder Portion	eine Portion	Eine Portion	UNCHANGED	UNCHANGED	NOT_APPLICABLE	AIN_PORTION	AIN=Teil oder Portion	eine Portion	Eine Portion	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	AIN_PORTION	AIN=Teil oder Portion	eine Portion	Eine Portion	UNCHANGED	UNCHANGED	NOT_APPLICABLE	AIN_PORTION	AIN=Teil oder Portion	eine Portion	Eine Portion	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
108	E108	B1	f81v	f81v.2	F022	B1-S002	94df4847b7b16c98394a	olkain	OL_CONTINUE+AIN_PORTION	OL=weiter; AIN=Portion	weitere Portion	Weitere Portion zugeben	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	olkain=unteres Becken	unteres Becken	unteres Becken	Das untere Becken	RECURRENT_COMPOSITION	SELECTED_RECURRENT_COMPOSITION	Q_RENDERER+OL+KAIN[AIN_PORTION]	OL=weiter; KAIN=abgemessene Portion	mit einer weiteren Portion fortfahren	Mit einer weiteren Portion fortfahren	QUANTITY_COMPOSITION	SELECTED_RECURRENT	ORDER+QUANTITY					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OL+AIN_PORTION	OL=weiter oder noch eine; AIN=Portion	eine weitere Portion zugeben	Eine weitere Portion zugeben	UNCHANGED	UNCHANGED	NOT_APPLICABLE	OL+AIN_PORTION	OL=weiter oder noch eine; AIN=Portion	eine weitere Portion zugeben	Eine weitere Portion zugeben	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	OL+AIN_PORTION	OL=weiter oder noch eine; AIN=Portion	eine weitere Portion zugeben	Eine weitere Portion zugeben	ORDER_GRID	REVISED_R3	OL makes the portion additional; adding it is contextual syntax.	OL_CONTINUE+AIN_PORTION	OL=weiter; AIN=Portion	weitere Portion	Weitere Portion zugeben	R3_STRUCTURAL_BASE	ORDER_GRID	R3 retained after four-role comparison.
109	E109	B1	f81v	f81v.2	F022	B1-S002	dd0ecaf5e27d81befffc	al	AL_SITE	AL=Stelle	Stelle	Stelle	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	al=Stelle	Stelle	an der Stelle	Den aktiven Posten an der örtlich bezeichneten Station führen	DIRECTION_WORKSHOP	SELECTED_RECURRENT					UNCHANGED	UNCHANGED	TARGET					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	AL_TARGET	AL=Ziel- oder Arbeitsstelle; an/zu	Zielstelle	Zielstelle	AL_SITE	SELECTED_RECURRENT_CORE	AL_SITE	AL=Stelle	Stelle	Stelle	UNCHANGED	UNCHANGED	NOT_APPLICABLE	AL_SITE	AL=Stelle	Stelle	Stelle	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	AL_SITE	AL=Stelle	Stelle	Stelle	UNCHANGED	UNCHANGED	NOT_APPLICABLE	AL_SITE	AL=Stelle	Stelle	Stelle	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
110	E110	B1	f81v	f81v.2	F022	B1-S002	dcda95c81a5460feb191	ol	OL_CONTINUE	OL=fortsetzen	fortsetzen	Fortsetzen	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ORDER+OPERATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	UNCHANGED	UNCHANGED	NOT_APPLICABLE	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	ORDER_GRID	REVISED_R3	Nineteen events make OL the recurrent continuation carrier.	OL_CONTINUE	OL=mit Vorigem fortsetzen	mit Vorigem fortsetzen	Mit Vorigem fortsetzen	FOUR_ROLE_LEXICAL_REPAIR	ORDER_OL	The inherited item supplies 'mit dem Vorigen'; the card contributes only continuation.
111	E111	B1	f81v	f81v.2	F022	B1-S002	1496a731803a9f48d2e1	rol	ROL_STILL_WARM_WHOLE_CARD	ROL=noch warm	noch warm	Noch warm	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ORDER+STATE_GRADE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	rol=vor dem Abkühlen	vor dem Abkühlen	vor dem Abkühlen	Bevor es abkühlt	UNCHANGED	UNCHANGED	NOT_APPLICABLE	rol=vor dem Abkühlen	vor dem Abkühlen	vor dem Abkühlen	Bevor es abkühlt	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	rol=vor dem Abkühlen	vor dem Abkühlen	vor dem Abkühlen	Bevor es abkühlt	THERMAL_WHOLE	REVISED_R3	Learned thermal boundary; internal OL is not continuation here.	ROL_BEFORE_COOLING_WHOLE_CARD	ROL=vor Abkühlung	vor Abkühlung	Vor der Abkühlung	FOUR_ROLE_LEXICAL_REPAIR	THERMAL_STATE	A state is smaller than R3's prepositional phrase 'vor Abkühlung'.
112	E112	B1	f81v	f81v.2	F022	B1-S002	0f18de177ed7c878bf95	dl	DL_BATH_ADDITIVE_WHOLE_CARD	DL=Badzusatz	Badzusatz	Badzusatz	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	MEDIUM					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	dl=Badezusatz	Badezusatz	Badezusatz	Der vorbereitete Bade- oder Waschzusatz	UNCHANGED	UNCHANGED	NOT_APPLICABLE	dl=Badezusatz	Badezusatz	Badezusatz	Der vorbereitete Bade- oder Waschzusatz	MEDIUM_WHOLE_CARD	Two occurrences share a bath-additive slot.	DL_BATH_ADDITIVE_WHOLE_CARD	DL=Badzusatz	Badzusatz	Badzusatz	UNCHANGED	UNCHANGED	NOT_APPLICABLE	DL_BATH_ADDITIVE_WHOLE_CARD	DL=Badzusatz	Badzusatz	Badzusatz	R3_STRUCTURAL_BASE	UNCHANGED	R3 retained after four-role comparison.
113	E113	B1	f81v	f81v.7	F023	B1-S002	dec401773c1f0347793d	olor	OL_CONTINUE+OR_BATCH	OL=Fortsetzung; OR=Ansatz	Fortsetzungsansatz	Fortsetzungsansatz	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ol=weiter + or=Zubereitung	weiter + Zubereitung	vorige Zubereitung	Den vorigen recordlokalen Posten wieder aufnehmen	PREPARATION_COMPOSITION	SELECTED_RECURRENT	PREPARATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	OL+OR_PREPARATION	OL=mit dem Vorigen; OR=Zubereitung	mit der vorigen Zubereitung	Mit der vorigen Zubereitung	OR_BATCH	SELECTED_RECURRENT_COMPOSITION	Herbal and Biological events share the previous-batch reading.	OL_CONTINUE+OR_BATCH	OL=mit dem vorigen; OR=Ansatz	mit dem vorigen Ansatz	Mit dem vorigen Ansatz	OR_BATCH	OL supplies previous-batch linkage.	OL_PREVIOUS+OR_BATCH	OL=voriger; OR=Ansatz	voriger Ansatz	Voriger Ansatz	UNCHANGED	UNCHANGED	NOT_APPLICABLE	OL_PREVIOUS+OR_BATCH	OL=voriger; OR=Ansatz	voriger Ansatz	Voriger Ansatz	FOUR_ROLE_LEXICAL_REPAIR	ORDER_OL	The compound makes the OL and OR contributions explicit without a whole phrase.
114	E114	B1	f81v	f81v.7	F023	B1-S002	dcda95c81a5460feb191	ol	OL_CONTINUE	OL=fortsetzen	fortsetzen	Fortsetzen	CONTINUES_ACROSS_LINE					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ORDER+OPERATION					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED					UNCHANGED	UNCHANGED	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	UNCHANGED	UNCHANGED	NOT_APPLICABLE	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	R3_ACCEPTED	R3 material/flow distinction accepted without central change.	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	ORDER_GRID	REVISED_R3	Nineteen events make OL the recurrent continuation carrier.	OL_CONTINUE	OL=mit Vorigem fortsetzen	mit Vorigem fortsetzen	Mit Vorigem fortsetzen	FOUR_ROLE_LEXICAL_REPAIR	ORDER_OL	The inherited item supplies 'mit dem Vorigen'; the card contributes only continuation.
