family	inventory_kind	event_id	statement_id	record	page	locus	joint_tuple_id	surface	selected_segmentation	short_default_de	contextual_readback_de	complete_statement_de	apprentice_copy_rule	likely_apprentice_error	strongest_rival_or_limit
OL_CONTINUATION	REVISED_SELECTED_CARD	E029	H2-S002	H2	f10r	f10r.8	dcda95c81a5460feb191	chol	OL_CONTINUE_PREVIOUS	fortsetzen	Mit dem Vorigen fortsetzen	Folgeansatz; Ansatz; Danach fortsetzen; mit dem vorigen Ansatz fortsetzen; Voriger Ansatz; mit dem vorigen Ansatz fortsetzen; Vorgeschriebenes Maß; Aus demselben Vorrat	OL führt den vorigen Arbeitsposten weiter.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	Formal recurrence link rather than temporal continuation.
IIN_STAGE	REVISED_SELECTED_CARD	E036	H2-S003	H2	f10r	f10r.9	409de02322e7b2ca0c62	kaiiin	K_SOFT_HULL+IIN_TARGET_STAGE	weiche Stufe	Weiche stufe	Gib sie in ein glasiertes Gefäß; Ansatz; Ansatz; Dieser Arbeitsposten; Weiche Stufe; Dieser Arbeitsposten; Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung	K macht die Stufe weich.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	IIN could be an abstract setting rather than a process stage.
EXACT_IDENTITY_TRAP	COUNTEREXAMPLE	E038	H2-S003	H2	f10r	f10r.9	834825c61d048a6b5628	chodaiin	chodaiin=Geschwür	Geschwür	Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung	Gib sie in ein glasiertes Gefäß; Ansatz; Ansatz; Dieser Arbeitsposten; Weiche Stufe; Dieser Arbeitsposten; Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung	CHODAIIN=Geschwür, not a stage	nach Oberfläche statt nach exakter Kartenidentität lesen	Retained current whole-card value.
THERMAL_WHOLE_CARD	LEARNED_WHOLE_CARD	E040	H3-S001	H3	f11r	f11r.1	428a5e3662aa57b4b256	schoal	SCHOAL_WINE_DECOCTION_WHOLE_CARD	Weinsud	Weinsud bereiten	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze; Weinsud bereiten; Auswringen; Stehzeit einhalten; Nachseihen; Klarauszug; Lass ihn abkühlen; damit endet der erste Posten	SCHOAL=Weinsud; heat operation comes from statement position	die Ganzkarte in erfundene Teilstämme zerlegen	A memorized operation whose temperature is supplied by the exemplar.
TIME_WHOLE_CARD	REVISED_SELECTED_CARD	E042	H3-S001	H3	f11r	f11r.1	a8af08e69edab8e54f15	shfydaiin	SHFY_STANDING_TIME_WHOLE_CARD	Stehzeit	Stehzeit	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze; Weinsud bereiten; Auswringen; Stehzeit einhalten; Nachseihen; Klarauszug; Lass ihn abkühlen; damit endet der erste Posten	SHFYDAIIN ist die gelernte STEHZEIT-Karte.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	Quantity or station parameter rather than literal elapsed time.
THERMAL_WHOLE_CARD	REVISED_SELECTED_CARD	E045	H3-S001	H3	f11r	f11r.1	2e2027b1951d79911e24	tchody	TCHO_COOL+DY_CLOSE	abkühlen; Schluss	Abkühlen; schluss	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze; Weinsud bereiten; Auswringen; Stehzeit einhalten; Nachseihen; Klarauszug; Lass ihn abkühlen; damit endet der erste Posten	TCHO kühlt ab; die Endkarte schließt.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	A memorized operation whose temperature is supplied by the exemplar.
OL_CONTINUATION	PRODUCTIVE_ORDER	E047	H3-S003	H3	f11r	f11r.4	d665560c8ff80799a82c	dchol	CH_RENDERER+OL	vom vorigen Posten nehmen	Vom vorigen Posten nehmen	Vom vorigen Posten nehmen; Dieser Arbeitsposten; Trank; Dieser Arbeitsposten; Vorgeschriebenes Maß	CH renderer plus OL previous-item call	OL und OT vertauschen: fortsetzen versus vorrücken	Formal recurrence link rather than temporal continuation.
EXACT_IDENTITY_TRAP	COUNTEREXAMPLE	E052	H3-S004	H3	f11r	f11r.7	a48efd6c4491a046ba78	qotchy	qotchy=zurückbehaltene Blüten	zurückbehaltene Blüten	Nimm die zurückbehaltenen Blüten	Nimm die zurückbehaltenen Blüten; Voriges Arbeitsgut fortsetzen; Bereit; Dieser Arbeitsposten	QOTCHY=zurückbehaltene Blüten, not OT+current item	nach Oberfläche statt nach exakter Kartenidentität lesen	Retained current whole-card value.
OL_CONTINUATION	REVISED_SELECTED_CARD	E053	H3-S004	H3	f11r	f11r.7	322281bd391aa621f568	okchol	OK+CHOL[OL_CONTINUE_PREVIOUS]	voriges Arbeitsgut fortsetzen	Voriges arbeitsgut fortsetzen	Nimm die zurückbehaltenen Blüten; Voriges Arbeitsgut fortsetzen; Bereit; Dieser Arbeitsposten	Die CHOL-Hülle ruft dieselbe OL-Fortsetzung auf.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	Formal recurrence link rather than temporal continuation.
CTH_READINESS	REVISED_SELECTED_CARD	E054	H3-S004	H3	f11r	f11r.7	e0b630cb1b5df5e7105b	cthy	CTHY_READY_CARD	bereit	Bereit	Nimm die zurückbehaltenen Blüten; Voriges Arbeitsgut fortsetzen; Bereit; Dieser Arbeitsposten	CTHY heißt BEREIT.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	CTH may mark release/availability rather than semantic readiness.
THERMAL_WHOLE_CARD	LEARNED_WHOLE_CARD	E060	H4-S001	H4	f55v	f55v.5	97cc9ac109148723c472	ody	o=kühl lagern + dy=Ende	kühl lagern; Ende	Verschließe das Gefäß und lass es kühl stehen; damit endet der Posten	Auf das vorgeschriebene Maß einstellen; Vorgeschriebenes Maß; Eine Portion des laufenden Postens; Diese Portion; Verschließe das Gefäß und lass es kühl stehen; damit endet der Posten	ODY=kühl lagern; terminal	die Ganzkarte in erfundene Teilstämme zerlegen	A memorized operation whose temperature is supplied by the exemplar.
CHK_WARMTH	REVISED_SELECTED_CARD	E066	H4-S003	H4	f55v	f55v.11	2c1a5fd92b9e3c762242	cheeky	CHK_WARM+GRADE_2+Y_CONTINUE	warmhalten	Warmhalten	Maß des laufenden Postens; Auszug daraus entnehmen; Warmhalten; Fortsetzen; Schluss	CHK+EE heißt WARMHALTEN.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	The four exact cards could be learned states with no productive CHK core.
OL_CONTINUATION	REVISED_SELECTED_CARD	E067	H4-S003	H4	f55v	f55v.11	1b1ffdd869fb1429ad03	oldy	OL_CONTINUE+DY_CLOSE	fortsetzen; Schluss	Fortsetzen; schluss	Maß des laufenden Postens; Auszug daraus entnehmen; Warmhalten; Fortsetzen; Schluss	OLDY setzt fort und schließt.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	Formal recurrence link rather than temporal continuation.
THERMAL_WHOLE_CARD	REVISED_SELECTED_CARD	E070	H4-S004	H4	f55v	f55v.11	204b04837409088c48f9	oltchy	OLTCHY_WARM_WHOLE_CARD	anwärmen	Anwärmen	Vorgeschriebenes Maß; An die Stelle setzen; Wärme sie an; Ansatz; Dieser Arbeitsposten; Ansatzportion	OLTCHY wird als ganze Karte ANWÄRMEN gelernt.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	A memorized operation whose temperature is supplied by the exemplar.
OT_OL_ORDER	REVISED_SELECTED_CARD	E080	H5-S001	H5	f56r	f56r.7	10488b911aae52b3b334	otchor	OT_FOLLOW+OR_BATCH	Folgeansatz	Folgeansatz	Zutatenansatz; Zutat; Nimm es zu Beginn der Blüte; Vorgeschriebenes Maß; Zutat; Lege sie als Auflage auf; Folgeansatz; Den laufenden Posten einsetzen; Stelle	OT vor einem Gegenstand heißt FOLGE-.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	Record-order selector rather than chronological succession.
OL_CONTINUATION	PRODUCTIVE_ORDER	E083	H5-S002	H5	f56r	f56r.8	d665560c8ff80799a82c	schol	CH_RENDERER+OL	vom vorigen Posten nehmen	Vom vorigen Posten nehmen	Vom vorigen Posten nehmen; Wasche die bezeichnete Stelle; Den laufenden Posten einsetzen; Trage den laufenden Posten auf; Schluss	CH renderer plus OL previous-item call	OL und OT vertauschen: fortsetzen versus vorrücken	Formal recurrence link rather than temporal continuation.
REPETITION_WHOLE_OR_COMPOSITION	REVISED_SELECTED_CARD	E090	H5-S003	H5	f56r	f56r.12	1322bc176443fc2a8a86	qokokchy	OK+OK+CHY_CURRENT_ITEM	erneut einsetzen	Erneut einsetzen	Nimm vom übrigen Kraut die blühenden Stiele; Zutat; Zerreibe sie grob; Den laufenden Posten erneut einsetzen	Doppel-OK ruft denselben Posten ERNEUT auf.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	Dittography or emphatic call rather than repeat instruction.
OT_OL_ORDER	REVISED_SELECTED_CARD	E098	H5-S006	H5	f56r	f56r.19	faf321940aed922846a9	otchey	OT_FOLLOW+CHEY_CURRENT_ITEM	Folgeposten wählen	Folgeposten wählen	Den Folgeposten wählen; Je Gabe; Vorgeschriebenes Maß	OT wählt den Folgeposten.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	Record-order selector rather than chronological succession.
E_GRADE	PRODUCTIVE_GRADE	E101	B1-S001	B1	f81v	f81v.2	7db18b2f0fb7ed0fcfd3	qokedy	OK+GRADE_1+DY_CLOSE	kurz benetzen; Schluss	Kurz benetzen; Schluss	Kurz benetzen; Schluss	E=kurz; licensed terminal card closes	E und EE vertauschen oder Y fälschlich als Schluss lesen	Construction-strength grade rather than time/duration.
OL_CONTINUATION	REVISED_SELECTED_CARD	E106	B1-S002	B1	f81v	f81v.2	dcda95c81a5460feb191	ol	OL_CONTINUE_PREVIOUS	fortsetzen	Mit dem Vorigen fortsetzen	Auf das vorgeschriebene Maß einstellen; Beckenwasser; An die Stelle setzen; Aus demselben Vorrat; mit dem vorigen Ansatz fortsetzen; Eine Portion; Eine weitere Portion zugeben; Stelle; mit dem vorigen Ansatz fortsetzen; Noch warm; Badzusatz; Voriger Ansatz; mit dem vorigen Ansatz fortsetzen; Eine mäßige Menge; Vorgeschriebenes Maß; Länger an der Stelle halten; Vorgeschriebenes Maß; Durch den Durchlass führen; Arbeitsbewegung abschließen	OL führt den vorigen Arbeitsposten weiter.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	Formal recurrence link rather than temporal continuation.
OL_CONTINUATION	REVISED_SELECTED_CARD	E108	B1-S002	B1	f81v	f81v.2	94df4847b7b16c98394a	olkain	OL_CONTINUE+AIN_PORTION	weitere Portion	Weitere portion	Auf das vorgeschriebene Maß einstellen; Beckenwasser; An die Stelle setzen; Aus demselben Vorrat; mit dem vorigen Ansatz fortsetzen; Eine Portion; Eine weitere Portion zugeben; Stelle; mit dem vorigen Ansatz fortsetzen; Noch warm; Badzusatz; Voriger Ansatz; mit dem vorigen Ansatz fortsetzen; Eine mäßige Menge; Vorgeschriebenes Maß; Länger an der Stelle halten; Vorgeschriebenes Maß; Durch den Durchlass führen; Arbeitsbewegung abschließen	OL übernimmt die vorige Reihe; AIN nennt die weitere Portion.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	Formal recurrence link rather than temporal continuation.
OL_CONTINUATION	REVISED_SELECTED_CARD	E110	B1-S002	B1	f81v	f81v.2	dcda95c81a5460feb191	ol	OL_CONTINUE_PREVIOUS	fortsetzen	Mit dem Vorigen fortsetzen	Auf das vorgeschriebene Maß einstellen; Beckenwasser; An die Stelle setzen; Aus demselben Vorrat; mit dem vorigen Ansatz fortsetzen; Eine Portion; Eine weitere Portion zugeben; Stelle; mit dem vorigen Ansatz fortsetzen; Noch warm; Badzusatz; Voriger Ansatz; mit dem vorigen Ansatz fortsetzen; Eine mäßige Menge; Vorgeschriebenes Maß; Länger an der Stelle halten; Vorgeschriebenes Maß; Durch den Durchlass führen; Arbeitsbewegung abschließen	OL führt den vorigen Arbeitsposten weiter.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	Formal recurrence link rather than temporal continuation.
THERMAL_WHOLE_CARD	REVISED_SELECTED_CARD	E111	B1-S002	B1	f81v	f81v.2	1496a731803a9f48d2e1	rol	ROL_WARM_WINDOW_WHOLE_CARD	noch warm	Noch warm	Auf das vorgeschriebene Maß einstellen; Beckenwasser; An die Stelle setzen; Aus demselben Vorrat; mit dem vorigen Ansatz fortsetzen; Eine Portion; Eine weitere Portion zugeben; Stelle; mit dem vorigen Ansatz fortsetzen; Noch warm; Badzusatz; Voriger Ansatz; mit dem vorigen Ansatz fortsetzen; Eine mäßige Menge; Vorgeschriebenes Maß; Länger an der Stelle halten; Vorgeschriebenes Maß; Durch den Durchlass führen; Arbeitsbewegung abschließen	ROL markiert das Arbeitsfenster NOCH WARM.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	A memorized operation whose temperature is supplied by the exemplar.
OL_CONTINUATION	PRODUCTIVE_ORDER	E113	B1-S002	B1	f81v	f81v.7	dec401773c1f0347793d	olor	OL_PREVIOUS+OR_BATCH	voriger Ansatz	Voriger Ansatz	Auf das vorgeschriebene Maß einstellen; Beckenwasser; An die Stelle setzen; Aus demselben Vorrat; mit dem vorigen Ansatz fortsetzen; Eine Portion; Eine weitere Portion zugeben; Stelle; mit dem vorigen Ansatz fortsetzen; Noch warm; Badzusatz; Voriger Ansatz; mit dem vorigen Ansatz fortsetzen; Eine mäßige Menge; Vorgeschriebenes Maß; Länger an der Stelle halten; Vorgeschriebenes Maß; Durch den Durchlass führen; Arbeitsbewegung abschließen	OL=previous; OR=batch	OL und OT vertauschen: fortsetzen versus vorrücken	Formal recurrence link rather than temporal continuation.
OL_CONTINUATION	REVISED_SELECTED_CARD	E114	B1-S002	B1	f81v	f81v.7	dcda95c81a5460feb191	ol	OL_CONTINUE_PREVIOUS	fortsetzen	Mit dem Vorigen fortsetzen	Auf das vorgeschriebene Maß einstellen; Beckenwasser; An die Stelle setzen; Aus demselben Vorrat; mit dem vorigen Ansatz fortsetzen; Eine Portion; Eine weitere Portion zugeben; Stelle; mit dem vorigen Ansatz fortsetzen; Noch warm; Badzusatz; Voriger Ansatz; mit dem vorigen Ansatz fortsetzen; Eine mäßige Menge; Vorgeschriebenes Maß; Länger an der Stelle halten; Vorgeschriebenes Maß; Durch den Durchlass führen; Arbeitsbewegung abschließen	OL führt den vorigen Arbeitsposten weiter.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	Formal recurrence link rather than temporal continuation.
EXACT_IDENTITY_TRAP	COUNTEREXAMPLE	E115	B1-S002	B1	f81v	f81v.7	4eab1841ed655c20a348	sheckhal	sheckhal=mäßige Menge	mäßige Menge	Eine mäßige Menge	Auf das vorgeschriebene Maß einstellen; Beckenwasser; An die Stelle setzen; Aus demselben Vorrat; mit dem vorigen Ansatz fortsetzen; Eine Portion; Eine weitere Portion zugeben; Stelle; mit dem vorigen Ansatz fortsetzen; Noch warm; Badzusatz; Voriger Ansatz; mit dem vorigen Ansatz fortsetzen; Eine mäßige Menge; Vorgeschriebenes Maß; Länger an der Stelle halten; Vorgeschriebenes Maß; Durch den Durchlass führen; Arbeitsbewegung abschließen	SHECKHAL=mäßige Menge, not CHCKHAL duration	nach Oberfläche statt nach exakter Kartenidentität lesen	Retained current whole-card value.
E_GRADE	PRODUCTIVE_GRADE	E117	B1-S002	B1	f81v	f81v.7	93f69c38fdedee1598e9	qokeedal	OK+GRADE_2+AL_SITE	länger an der Stelle halten	Länger an der Stelle halten	Auf das vorgeschriebene Maß einstellen; Beckenwasser; An die Stelle setzen; Aus demselben Vorrat; mit dem vorigen Ansatz fortsetzen; Eine Portion; Eine weitere Portion zugeben; Stelle; mit dem vorigen Ansatz fortsetzen; Noch warm; Badzusatz; Voriger Ansatz; mit dem vorigen Ansatz fortsetzen; Eine mäßige Menge; Vorgeschriebenes Maß; Länger an der Stelle halten; Vorgeschriebenes Maß; Durch den Durchlass führen; Arbeitsbewegung abschließen	EE=länger before AL site	E und EE vertauschen oder Y fälschlich als Schluss lesen	Construction-strength grade rather than time/duration.
EXACT_IDENTITY_TRAP	COUNTEREXAMPLE	E119	B1-S002	B1	f81v	f81v.7	2cc8bb3c2af19607888f	chckhy	CKH_PASSAGE+Y_CURRENT_ITEM	durch den Durchlass führen	Durch den Durchlass führen	Auf das vorgeschriebene Maß einstellen; Beckenwasser; An die Stelle setzen; Aus demselben Vorrat; mit dem vorigen Ansatz fortsetzen; Eine Portion; Eine weitere Portion zugeben; Stelle; mit dem vorigen Ansatz fortsetzen; Noch warm; Badzusatz; Voriger Ansatz; mit dem vorigen Ansatz fortsetzen; Eine mäßige Menge; Vorgeschriebenes Maß; Länger an der Stelle halten; Vorgeschriebenes Maß; Durch den Durchlass führen; Arbeitsbewegung abschließen	CHCKHY=Durchlass, not CHK warmth	nach Oberfläche statt nach exakter Kartenidentität lesen	Retained current whole-card value.
OL_CONTINUATION	REVISED_SELECTED_CARD	E121	B1-S003	B1	f81v	f81v.7	dcda95c81a5460feb191	qol	OL_CONTINUE_PREVIOUS	fortsetzen	Mit dem Vorigen fortsetzen	mit dem vorigen Ansatz fortsetzen; Unter besonderer Bedingung umsetzen; Schluss	OL führt den vorigen Arbeitsposten weiter.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	Formal recurrence link rather than temporal continuation.
OL_CONTINUATION	REVISED_SELECTED_CARD	E124	B1-S004	B1	f81v	f81v.17	dcda95c81a5460feb191	ol	OL_CONTINUE_PREVIOUS	fortsetzen	Mit dem Vorigen fortsetzen	Den laufenden Posten umsetzen oder durcharbeiten; mit dem vorigen Ansatz fortsetzen; Ruhen lassen; Schluss	OL führt den vorigen Arbeitsposten weiter.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	Formal recurrence link rather than temporal continuation.
SHED_REST	REVISED_SELECTED_CARD	E125	B1-S004	B1	f81v	f81v.17	bc4f1f5c006c74a4d26d	shedy	SHED_REST+GRADE_1+DY_CLOSE	ruhen lassen; Schluss	Ruhen lassen; schluss	Den laufenden Posten umsetzen oder durcharbeiten; mit dem vorigen Ansatz fortsetzen; Ruhen lassen; Schluss	SHED lässt den Posten ruhen; die Endkarte schließt.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	Formal closure/hold rather than physical resting or settling.
OL_CONTINUATION	REVISED_SELECTED_CARD	E126	B1-S005	B1	f81v	f81v.17	28ffbc88b97772a75f1e	qolchedy	OL_CONTINUE+CHED+DY_CLOSE	fortsetzen; Schluss	Fortsetzen; schluss	Fortsetzen; Schluss	OL führt den vorigen Gang bis zum Schluss weiter.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	Formal recurrence link rather than temporal continuation.
EXACT_IDENTITY_TRAP	COUNTEREXAMPLE	E128	B1-S006	B1	f81v	f81v.17	2cc8bb3c2af19607888f	shckhy	CKH_PASSAGE+Y_CURRENT_ITEM	durch den Durchlass führen	Führe den Posten durch den Durchlass	Eine Portion zugeben; Führe den Posten durch den Durchlass; Badzusatz; Und lasse es abkühlen	CHCKHY=Durchlass, not CHK warmth	nach Oberfläche statt nach exakter Kartenidentität lesen	Retained current whole-card value.
THERMAL_WHOLE_CARD	LEARNED_WHOLE_CARD	E130	B1-S006	B1	f81v	f81v.17	4da0f0f7b5fc7ac20067	ral	ral=abkühlen	abkühlen	Und lasse es abkühlen	Eine Portion zugeben; Führe den Posten durch den Durchlass; Badzusatz; Und lasse es abkühlen	RAL=abkühlen	die Ganzkarte in erfundene Teilstämme zerlegen	A memorized operation whose temperature is supplied by the exemplar.
OL_CONTINUATION	REVISED_SELECTED_CARD	E133	B1-S008	B1	f81v	f81v.18	dcda95c81a5460feb191	ol	OL_CONTINUE_PREVIOUS	fortsetzen	Mit dem Vorigen fortsetzen	Dieser Arbeitsposten; mit dem vorigen Ansatz fortsetzen; Anwärmen; mit dem vorigen Ansatz fortsetzen; Ruhen lassen; Schluss	OL führt den vorigen Arbeitsposten weiter.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	Formal recurrence link rather than temporal continuation.
CHK_WARMTH	REVISED_SELECTED_CARD	E134	B1-S008	B1	f81v	f81v.18	d904bf7b044dd3922781	cheky	CHK_WARM+GRADE_1+Y_CONTINUE	anwärmen	Anwärmen	Dieser Arbeitsposten; mit dem vorigen Ansatz fortsetzen; Anwärmen; mit dem vorigen Ansatz fortsetzen; Ruhen lassen; Schluss	CHK+E heißt ANWÄRMEN.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	The four exact cards could be learned states with no productive CHK core.
OL_CONTINUATION	REVISED_SELECTED_CARD	E135	B1-S008	B1	f81v	f81v.18	dcda95c81a5460feb191	ol	OL_CONTINUE_PREVIOUS	fortsetzen	Mit dem Vorigen fortsetzen	Dieser Arbeitsposten; mit dem vorigen Ansatz fortsetzen; Anwärmen; mit dem vorigen Ansatz fortsetzen; Ruhen lassen; Schluss	OL führt den vorigen Arbeitsposten weiter.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	Formal recurrence link rather than temporal continuation.
SHED_REST	REVISED_SELECTED_CARD	E136	B1-S008	B1	f81v	f81v.18	bc4f1f5c006c74a4d26d	shedy	SHED_REST+GRADE_1+DY_CLOSE	ruhen lassen; Schluss	Ruhen lassen; schluss	Dieser Arbeitsposten; mit dem vorigen Ansatz fortsetzen; Anwärmen; mit dem vorigen Ansatz fortsetzen; Ruhen lassen; Schluss	SHED lässt den Posten ruhen; die Endkarte schließt.	eine gelernte Hülle produktiv auf nur ähnlich aussehende Karten übertragen	Formal closure/hold rather than physical resting or settling.
E_GRADE	PRODUCTIVE_GRADE	E137	B1-S009	B1	f81v	f81v.18	7db18b2f0fb7ed0fcfd3	qokedy	OK+GRADE_1+DY_CLOSE	kurz benetzen; Schluss	Kurz benetzen; Schluss	Kurz benetzen; Schluss	E=kurz; licensed terminal card closes	E und EE vertauschen oder Y fälschlich als Schluss lesen	Construction-strength grade rather than time/duration.
