inventory_group	joint_tuple_id	surface_family	active_before_de	r2_default_de	r2_nucleus_de	occurrences	event_ids	statement_ids	pages	status	important_limit
09_READINESS_STATE	e0b630cb1b5df5e7105b	checthy|cthy|shcthy	gebrauchsfertig	bereit	CTH=bereit; Y=Posten	7	E014|E016|E054|E271|E279|E289|E310	H1-S002|H2-S001|H3-S004|B3-S021|B3-S026|B3-S034	f10r|f11r|f83r	CTH_READY	Seven events support a short readiness state without naming its use.
09_READINESS_STATE	cb57b696b815fdef9cb7	shecthy	temperiert	temperiert	SHECTHY=temperiert	1	E276	B3-S021	f83r	INHERITED_OR_EXACT_IDENTITY_CONTROL	Retained unchanged; exact identity blocks decomposition by visible resemblance alone.
09_READINESS_STATE	43eb9aa12959b4d5cdc9	qekey	ungekocht	roh	QEKEY=roh	1	E374	B6-S001	f83r	THERMAL_WHOLE_CARD	The B6 state is uncooked/raw; visible E is not split as grade.
10_HEAT_COOL_WHOLE_CARD	204b04837409088c48f9	oltchy	gelind erwärmen	anwärmen	OLTCHY=Anwärmen	1	E070	H4-S004	f55v	THERMAL_WHOLE_CARD	Short learned warming action; it is not OL+TCHY.
10_HEAT_COOL_WHOLE_CARD	e8a6105b5c3a6220b440	qotchol	gelind erwärmen	anwärmen	QOTCHOL=Anwärmen	1	E012	H1-S002	f10r	THERMAL_WHOLE_CARD	Short learned warming action; it is not productive OT or OL.
10_HEAT_COOL_WHOLE_CARD	428a5e3662aa57b4b256	schoal	Weinsud	Weinsud	SCHOAL=Weinsud	1	E040	H3-S001	f11r	INHERITED_OR_EXACT_IDENTITY_CONTROL	Retained unchanged; exact identity blocks decomposition by visible resemblance alone.
10_HEAT_COOL_WHOLE_CARD	2e2027b1951d79911e24	tchody	abkühlen; Ende	auskühlen; Schluss	TCHODY=Auskühlen; Schluss	1	E045	H3-S001	f11r	THERMAL_WHOLE_CARD	Terminal cooling after the clear extract.
10_HEAT_COOL_WHOLE_CARD	0bdc8b6db811b4e67a63	chary	abkühlen	auskühlen	CHARY=Auskühlen	1	E253	B3-S011	f83r	THERMAL_WHOLE_CARD	One nonterminal cooling card; no CH/AR split.
10_HEAT_COOL_WHOLE_CARD	4da0f0f7b5fc7ac20067	ral	abkühlen	abkühlen	abkühlen	1	E130	B1-S006	f81v	INHERITED_OR_EXACT_IDENTITY_CONTROL	Retained unchanged; exact identity blocks decomposition by visible resemblance alone.
10_HEAT_COOL_WHOLE_CARD	1496a731803a9f48d2e1	rol	vor dem Abkühlen	noch warm	ROL=noch warm	1	E111	B1-S002	f81v	THERMAL_WHOLE_CARD	A use-state before cooling, not an OL continuation compound.
10_HEAT_COOL_WHOLE_CARD	8c97dfde96fbc78e3355	lol	bis warm	handwarm	LOL=handwarm	1	E367	B5-S003	f83r	THERMAL_WHOLE_CARD	A target warmth endpoint, not an OL continuation compound.
10_HEAT_COOL_WHOLE_CARD	97cc9ac109148723c472	ody	kühl lagern; Ende	Kühllager; Schluss	ODY=Kühllager; Schluss	1	E060	H4-S001	f55v	THERMAL_WHOLE_CARD	A memorized cool-storage close; no free O=cool claim.
10_HEAT_COOL_WHOLE_CARD	98bdc4244c84cbef3321	rsheal	Warmwasser	Warmwasser	RSHEAL=Warmwasser	1	E222	B2-S017	f82r	INHERITED_OR_EXACT_IDENTITY_CONTROL	Retained unchanged; exact identity blocks decomposition by visible resemblance alone.
10_HEAT_COOL_WHOLE_CARD	883a6708116c342cb10b	skar	Warmausguss	Warmausguss	SKAR=Warmausguss	1	E360	B4-S016	f83r	INHERITED_OR_EXACT_IDENTITY_CONTROL	Retained unchanged; exact identity blocks decomposition by visible resemblance alone.
11_SHED_SETTLING	abb23e5e6936b4147f76	shedal	Ruhe-/Absetzstelle	Absetzstelle	SHED=absetzen; AL=Stelle	2	E275|E364	B3-S021|B5-S003	f83r	SHED_SETTLING	Two exact events retain the same settling station.
11_SHED_SETTLING	daa1347f456415fe8737	solshedy	mit dem Vorigen ruhen lassen; Schluss	mit dem Vorigen absetzen; Schluss	OL=Fortsetzung; SHED=absetzen; DY=Schluss	1	E193	B2-S009	f82r	SHED_SETTLING	OL links prior material; SHED supplies settling.
11_SHED_SETTLING	db167f8e9b53eefb58f8	qokshedy	zur Ruhe setzen; Schluss	zum Absetzen stellen; Schluss	OK=anstellen; SHED=absetzen; DY=Schluss	1	E267	B3-S019	f83r	SHED_SETTLING	OK initiates the settling step.
12_OT_FOLLOW	10488b911aae52b3b334	otchor|qotchor	nächster Ansatz	Folgeansatz	OT=Folge; OR=Ansatz	2	E024|E080	H2-S002|H5-S001	f10r|f56r	OT_FOLLOW	OT orders the next batch; OR supplies batch.
12_OT_FOLLOW	497cbd9c7401810ff56b	otol	danach weiter	danach fortsetzen	OT=Folge; OL=Fortsetzung	1	E026	H2-S002	f10r	OT_FOLLOW	Successor order followed by continuation.
12_OT_FOLLOW	4de12cf322dfb76ded1e	otchedy|qotchedy	danach oder erneut umsetzen; Schluss	Folgeumsetzung; Schluss	OT=Folge; CHED=umsetzen; DY=Schluss	2	E281|E301	B3-S022|B3-S030	f83r	OT_FOLLOW	OT supplies ordered succession, CHED the transfer.
12_OT_FOLLOW	54d0e228ca346110af05	otaiin|sotaiin	das nächste Maß	Folgemaß	OT=Folge; AIIN=Maß	3	E190|E306|E312	B2-S008|B3-S032|B3-S034	f82r|f83r	OT_FOLLOW	AIIN remains measure; OT makes it the following measure.
12_OT_FOLLOW	601b77449028deed39de	otchdy	danach umsetzen; Schluss	Folgeumsetzung; Schluss	OT=Folge; CHD=umsetzen; DY=Schluss	1	E362	B5-S001	f83r	OT_FOLLOW	Second exact successor-transfer card.
12_OT_FOLLOW	90bcf0a9ec0ef56399e6	otal|qotal	danach zur Stelle	Folgestelle	OT=Folge; AL=Stelle	3	E230|E237|E320	B3-S002|B3-S004|B4-S003	f83r	OT_FOLLOW	The ordered next station.
12_OT_FOLLOW	b6b654722e55729cc947	otar	danach auslassen	Folgeauslass	OT=Folge; AR=aus	1	E149	B1-S014	f81v	OT_FOLLOW	Ordered outlet step; not a new source substance.
12_OT_FOLLOW	faf321940aed922846a9	otchey	den nächsten Posten wählen	Folgeposten	OT=Folge; Y=Posten	2	E098|E321	H5-S006|B4-S003	f56r|f83r	OT_FOLLOW	The following current item.
13_OL_CONTINUATION	1b1ffdd869fb1429ad03	oldy	weiterführen; Ende	fortsetzen; Schluss	OL=Fortsetzung; DY=Schluss	2	E067|E337	H4-S003|B4-S010	f55v|f83r	OL_CONTINUATION	OL carries continuation and DY closes it.
13_OL_CONTINUATION	232195d6ff2f326322f7	qokol	vorigen Arbeitsgang weiterführen	Fortsetzung einsetzen	OK=einsetzen; OL=Fortsetzung	1	E346	B4-S013	f83r	OL_CONTINUATION	Continuation of the preceding work.
13_OL_CONTINUATION	28ffbc88b97772a75f1e	olchedy|qolchedy	weiterführen; Schluss	fortsetzen; Schluss	OL=Fortsetzung; CHED=führen; DY=Schluss	3	E126|E168|E242	B1-S005|B2-S002|B3-S006	f81v|f82r|f83r	OL_CONTINUATION	Transfer host realizes the continuation.
13_OL_CONTINUATION	322281bd391aa621f568	okchol	mit dem vorigen Arbeitsgut weiterarbeiten	Fortsetzungsstoff	OK=in Arbeit setzen; OL=Fortsetzung	1	E053	H3-S004	f11r	OL_CONTINUATION	A short object-name for material retained into the next operation.
13_OL_CONTINUATION	94df4847b7b16c98394a	olkain|qolkain	eine weitere Portion zugeben	Fortsetzungsportion	OL=Fortsetzung; AIN=Portion	2	E108|E358	B1-S002|B4-S016	f81v|f83r	OL_CONTINUATION	An additional portion continuing the same process.
13_OL_CONTINUATION	dcda95c81a5460feb191	cheol|chol|ol|qol|sol|tol	mit Vorigem weiter	fortsetzen	OL=Fortsetzung	19	E013|E027|E029|E106|E110|E114|E121|E124|E133|E135|E148|E154|E295|E324|E343|E366|E370|E376|E378	H1-S002|H2-S002|B1-S002|B1-S003|B1-S004|B1-S008|B1-S014|B1-S016|B3-S029|B4-S003|B4-S011|B5-S003|B6-S001	f10r|f81v|f83r	OL_CONTINUATION	Nineteen events supply the recurrent continuation relation.
13_OL_CONTINUATION	d665560c8ff80799a82c	dchol|schol	vom vorigen Posten nehmen	Fortsetzungsposten	OL=Fortsetzung	2	E047|E083	H3-S003|H5-S002	f11r|f56r	OL_CONTINUATION	The preceding item retained for continuation.
13_OL_CONTINUATION	dec401773c1f0347793d	cholor|olor	voriger Ansatz	Fortsetzungsansatz	OL=Fortsetzung; OR=Ansatz	2	E028|E113	H2-S002|B1-S002	f10r|f81v	OL_CONTINUATION	The prior batch as the batch being continued.
14_REPETITION	1322bc176443fc2a8a86	qokokchy	den laufenden Posten erneut in Arbeit nehmen	Wiederansatz	OK+OK=Wiederansatz; Y=Posten	1	E090	H5-S003	f56r	REPETITION_WHOLE_CARD	The doubled work call is shortened to a learned repetition noun.
14_REPETITION	b958a512ca6a3559e86e	lkedy	zweimal waschen; Ende	Doppelwaschung; Schluss	LKEDY=Doppelwaschung; Schluss	1	E344	B4-S011	f83r	REPETITION_WHOLE_CARD	The exact card names repeated washing and closure; no free LKE rule.
14_REPETITION	9247e38d29c79a0d2fa5	cheeety	erste Spülung	erste Spülung	erste Spülung	1	E296	B3-S029	f83r	INHERITED_OR_EXACT_IDENTITY_CONTROL	Retained unchanged; exact identity blocks decomposition by visible resemblance alone.
15_OPENING_STAGE	3e9c7f217843b588489d	raly	erste Öffnung	erste Öffnung	erste Öffnung	1	E375	B6-S001	f83r	INHERITED_OR_EXACT_IDENTITY_CONTROL	Retained unchanged; exact identity blocks decomposition by visible resemblance alone.
15_OPENING_STAGE	5eff216ba51fbfb21f22	ls	erste Öffnung	erste Öffnung	erste Öffnung	1	E196	B2-S010	f82r	INHERITED_OR_EXACT_IDENTITY_CONTROL	Retained unchanged; exact identity blocks decomposition by visible resemblance alone.
15_OPENING_STAGE	92e43836d82f98bf02d3	sheey	erste Öffnung	erste Öffnung	erste Öffnung	1	E334	B4-S008	f83r	INHERITED_OR_EXACT_IDENTITY_CONTROL	Retained unchanged; exact identity blocks decomposition by visible resemblance alone.
15_OPENING_STAGE	a06244ef1f2b37ca44c1	teol	erste Öffnung	erste Öffnung	erste Öffnung	1	E157	B1-S017	f81v	INHERITED_OR_EXACT_IDENTITY_CONTROL	Retained unchanged; exact identity blocks decomposition by visible resemblance alone.
15_OPENING_STAGE	78b3b3140714da19090d	daldy	zweite Öffnung; Ende	zweite Öffnung; Ende	zweite Öffnung + Ende	1	E223	B2-S017	f82r	INHERITED_OR_EXACT_IDENTITY_CONTROL	Retained unchanged; exact identity blocks decomposition by visible resemblance alone.
15_OPENING_STAGE	f329f2051370174e9a38	lcheckhy	zweite Öffnung	zweite Öffnung	zweite Öffnung	1	E173	B2-S004	f82r	INHERITED_OR_EXACT_IDENTITY_CONTROL	Retained unchanged; exact identity blocks decomposition by visible resemblance alone.
16_HERBAL_TIME	0ec6a45e2950e8e7061d	chodaly	Blütebeginn	Blütebeginn	Blütebeginn	1	E076	H5-S001	f56r	INHERITED_OR_EXACT_IDENTITY_CONTROL	Retained unchanged; exact identity blocks decomposition by visible resemblance alone.
16_HERBAL_TIME	9bb7122b386ebbc6138f	keol	je Gabe	je Gabe	je Gabe	1	E099	H5-S006	f56r	INHERITED_OR_EXACT_IDENTITY_CONTROL	Retained unchanged; exact identity blocks decomposition by visible resemblance alone.
17_EXACT_IDENTITY_CONTROL	2f1c5e56e8f0ff459065	aiin|chaiin|daiin|saiin|taiin	vorgeschriebenes Maß	vorgeschriebenes Maß	AIIN=vorgeschriebenes Maß	20	E009|E022|E030|E051|E057|E061|E068|E077|E100|E116|E118|E207|E217|E233|E274|E299|E332|E338|E369|E377	H1-S001|H2-S001|H2-S002|H3-S003|H4-S001|H4-S002|H4-S004|H5-S001|H5-S006|B1-S002|B2-S012|B2-S016|B3-S003|B3-S021|B3-S030|B4-S008|B4-S011|B5-S003|B6-S001	f10r|f11r|f55v|f56r|f81v|f82r|f83r	INHERITED_OR_EXACT_IDENTITY_CONTROL	Retained unchanged; exact identity blocks decomposition by visible resemblance alone.
17_EXACT_IDENTITY_CONTROL	4eab1841ed655c20a348	sheckhal	mäßige Menge	mäßige Menge	mäßige Menge	1	E115	B1-S002	f81v	INHERITED_OR_EXACT_IDENTITY_CONTROL	Retained unchanged; exact identity blocks decomposition by visible resemblance alone.
17_EXACT_IDENTITY_CONTROL	62ff059766b21c7de083	otytchol	auffangen	auffangen	OTYTCHOL=auffangen	1	E007	H1-S001	f10r	INHERITED_OR_EXACT_IDENTITY_CONTROL	Retained unchanged; exact identity blocks decomposition by visible resemblance alone.
17_EXACT_IDENTITY_CONTROL	b5df9126607030b95175	cheey|shey	Klarauszug	Klarauszug	SHEY=Klarauszug	4	E044|E197|E203|E353	H3-S001|B2-S010|B2-S012|B4-S015	f11r|f82r|f83r	INHERITED_OR_EXACT_IDENTITY_CONTROL	Retained unchanged; exact identity blocks decomposition by visible resemblance alone.
17_EXACT_IDENTITY_CONTROL	5fca8fc3dee57e1d8c1f	lcheey	benetzte Stelle	benetzte Stelle	LCHEEY=benetzte Stelle	1	E206	B2-S012	f82r	INHERITED_OR_EXACT_IDENTITY_CONTROL	Retained unchanged; exact identity blocks decomposition by visible resemblance alone.
17_EXACT_IDENTITY_CONTROL	cbb42a4fe68068325d6b	dshedy	Frischwasser; Schluss	Frischwasser; Schluss	DSHE=Frischwasser; Endkarte=Schluss	1	E189	B2-S007	f82r	INHERITED_OR_EXACT_IDENTITY_CONTROL	Retained unchanged; exact identity blocks decomposition by visible resemblance alone.
