statement_id	record_unit_id	page	loci	field_ids	event_ids	event_count	r2_thermal_revised_event_count	r2_thermal_families	surface_sequence	card_sequence_de	event_slot_trace	canonical_slots_present	workshop_sentence_de	physical_line_note
H4-S002	H4	f55v	f55v.5	F011	E061|E062|E063	3	0		daiin · chedy · talam	vorgeschriebenes Maß · den laufenden Posten umsetzen oder durcharbeiten · verwahren	E061[QUANTITY] | E062[OWNER_ITEM+OPERATION] | E063[PREPARATION]	OWNER_ITEM>QUANTITY>PREPARATION>OPERATION	Vorgeschriebenes Maß; Den laufenden Posten umsetzen oder durcharbeiten; Verwahren	LOCAL_SEQUENCE
H4-S003	H4	f55v	f55v.11	F012	E064|E065|E066|E067	4	2	CHK_THERMAL|OL_CONTINUATION	ykaiin · cheoar · cheeky · oldy	Maß des laufenden Postens · Auszug entnehmen · warm halten · fortsetzen; Schluss	E064[OWNER_ITEM+QUANTITY] | E065[SOURCE+PREPARATION+OPERATION] | E066[STATE_GRADE] | E067[CLOSE]	OWNER_ITEM>SOURCE>QUANTITY>PREPARATION>OPERATION>STATE_GRADE>CLOSE	Maß des laufenden Postens; Auszug daraus entnehmen; Länger warm halten; Fortsetzen; Schluss	LOCAL_SEQUENCE
H4-S004	H4	f55v	f55v.11	F013	E068|E069|E070|E071|E072|E073	6	1	THERMAL_WHOLE_CARD	aiin · okal · oltchy · or · y · orain	vorgeschriebenes Maß · an die Stelle setzen · anwärmen · Ansatz · dieser Arbeitsposten · Ansatzportion	E068[QUANTITY] | E069[TARGET+OPERATION] | E070[OPERATION] | E071[PREPARATION] | E072[OWNER_ITEM] | E073[QUANTITY+PREPARATION]	OWNER_ITEM>QUANTITY>PREPARATION>TARGET>OPERATION	Vorgeschriebenes Maß; An die Stelle setzen; Anwärmen; Ansatz; Dieser Arbeitsposten; Ansatzportion	LOCAL_SEQUENCE
H5-S001	H5	f56r	f56r.5|f56r.7	F014|F015	E074|E075|E076|E077|E078|E079|E080|E081|E082	9	1	OT_FOLLOW	chochor · cho · chodaly · daiin · sho · kchol · otchor · choky · dal	Zutatenansatz · Zutat · Blütebeginn · vorgeschriebenes Maß · Zutat · auflegen · Folgeansatz · den laufenden Posten einsetzen · Stelle	E074[OWNER_ITEM+PREPARATION] | E075[OWNER_ITEM] | E076[OWNER_ITEM] | E077[QUANTITY] | E078[OWNER_ITEM] | E079[OPERATION] | E080[PREPARATION] | E081[OWNER_ITEM+OPERATION] | E082[TARGET]	OWNER_ITEM>QUANTITY>PREPARATION>TARGET>OPERATION	Zutatenansatz; Zutat; Nimm es zu Beginn der Blüte; Vorgeschriebenes Maß; Zutat; Lege sie als Auflage auf; Nächster Ansatz; Den laufenden Posten einsetzen; Stelle	CONTINUES_ACROSS_LINE
H5-S002	H5	f56r	f56r.8	F016	E083|E084|E085|E086	4	1	OL_CONTINUATION	schol · choy · choky · cheeckhody	Fortsetzungsposten · waschen · den laufenden Posten einsetzen · auftragen; Schluss	E083[OWNER_ITEM+SOURCE+OPERATION] | E084[OPERATION] | E085[OWNER_ITEM+OPERATION] | E086[OPERATION+CLOSE]	OWNER_ITEM>SOURCE>OPERATION>CLOSE	Vom vorigen Posten nehmen; Wasche die bezeichnete Stelle; Den laufenden Posten einsetzen; Trage den laufenden Posten auf; Schluss	LOCAL_SEQUENCE
H5-S003	H5	f56r	f56r.12	F017	E087|E088|E089|E090	4	1	REPETITION_WHOLE_CARD	sh · cho · kchey · qokokchy	Pflanzenteil · Zutat · grob zerreiben · Wiederansatz	E087[OWNER_ITEM] | E088[OWNER_ITEM] | E089[OPERATION] | E090[OWNER_ITEM+OPERATION]	OWNER_ITEM>OPERATION	Nimm vom übrigen Kraut die blühenden Stiele; Zutat; Zerreibe sie grob; Den Posten wieder ansetzen	LOCAL_SEQUENCE
H5-S004	H5	f56r	f56r.13	F018	E091|E092|E093	3	0		okchy · chokcheo · kchal	den laufenden Posten einsetzen · Auszug zugeben · abseihen	E091[OWNER_ITEM+OPERATION] | E092[PREPARATION+OPERATION] | E093[OPERATION]	OWNER_ITEM>PREPARATION>OPERATION	Den laufenden Posten einsetzen; Auszug zugeben; Abseihen	LOCAL_SEQUENCE
H5-S005	H5	f56r	f56r.18	F019	E094|E095|E096|E097	4	0		sho · chokchy · kchoar · sotodan	Zutat · den laufenden Posten einsetzen · Gebrauchsauszug · gebrauchen	E094[OWNER_ITEM] | E095[OWNER_ITEM+OPERATION] | E096[PREPARATION] | E097[OPERATION]	OWNER_ITEM>PREPARATION>OPERATION	Zutat zugeben; Den laufenden Posten einsetzen; Gebrauchsauszug; Gebrauche ihn bei trockenem Husten	LOCAL_SEQUENCE
H5-S006	H5	f56r	f56r.19	F020	E098|E099|E100	3	1	OT_FOLLOW	otchey · keol · daiin	Folgeposten · je Gabe · vorgeschriebenes Maß	E098[OWNER_ITEM] | E099[OPERATION] | E100[QUANTITY]	OWNER_ITEM>QUANTITY>OPERATION	Den nächsten Posten wählen; Je Gabe; Vorgeschriebenes Maß	LOCAL_SEQUENCE
B1-S001	B1	f81v	f81v.2	F021	E101	1	1	E_GRADE	qokedy	kurz benetzen; Schluss	E101[OPERATION+FLOW_TRANSFER+CLOSE+STATE_GRADE]	OPERATION>FLOW_TRANSFER>STATE_GRADE>CLOSE	Kurz benetzen; Schluss	CONTINUES_ACROSS_LINE
B1-S002	B1	f81v	f81v.2|f81v.7	F022|F023	E102|E103|E104|E105|E106|E107|E108|E109|E110|E111|E112|E113|E114|E115|E116|E117|E118|E119|E120	19	7	OL_CONTINUATION|THERMAL_WHOLE_CARD|E_GRADE	okaiin · kair · okal · sar · ol · kain · olkain · al · ol · rol · dl · olor · ol · sheckhal · daiin · qokeedal · daiin · chckhy · schedy	auf das vorgeschriebene Maß einstellen · Beckenwasser · an die Stelle setzen · aus demselben Vorrat · fortsetzen · eine Portion · Fortsetzungsportion · Stelle · fortsetzen · noch warm · Badzusatz · Fortsetzungsansatz · fortsetzen · mäßige Menge · vorgeschriebenes Maß · länger an der Stelle halten · vorgeschriebenes Maß · durch den Durchlass führen · Arbeitsbewegung abschließen	E102[QUANTITY+OPERATION] | E103[MEDIUM] | E104[TARGET+OPERATION] | E105[SOURCE] | E106[OPERATION] | E107[QUANTITY] | E108[QUANTITY+OPERATION] | E109[TARGET] | E110[OPERATION] | E111[OPERATION] | E112[MEDIUM] | E113[PREPARATION] | E114[OPERATION] | E115[QUANTITY] | E116[QUANTITY] | E117[TARGET+STATE_GRADE] | E118[QUANTITY] | E119[OWNER_ITEM+OPERATION+FLOW_TRANSFER] | E120[OPERATION+CLOSE]	OWNER_ITEM>SOURCE>QUANTITY>MEDIUM>PREPARATION>TARGET>OPERATION>FLOW_TRANSFER>STATE_GRADE>CLOSE	Auf das vorgeschriebene Maß einstellen; Beckenwasser; An die Stelle setzen; Aus demselben Vorrat; und mit dem vorigen Ansatz weiter; Eine Portion; Eine weitere Portion zugeben; Stelle; und mit dem vorigen Ansatz weiter; Noch warm verarbeiten; Badzusatz; Voriger Ansatz; und mit dem vorigen Ansatz weiter; Eine mäßige Menge; Vorgeschriebenes Maß; Länger an der Stelle halten; Vorgeschriebenes Maß; Durch den Durchlass führen; Arbeitsbewegung abschließen	CONTINUES_ACROSS_LINE
B1-S003	B1	f81v	f81v.7|f81v.17	F024|F025	E121|E122	2	1	OL_CONTINUATION	qol · sshkchdy	fortsetzen · unter besonderer Bedingung umsetzen; Schluss	E121[OPERATION] | E122[OPERATION+CLOSE]	OPERATION>CLOSE	Und mit dem vorigen Ansatz weiter; Unter besonderer Bedingung umsetzen; Schluss	CONTINUES_ACROSS_LINE
B1-S004	B1	f81v	f81v.17	F026	E123|E124|E125	3	2	OL_CONTINUATION|SHED_SETTLING	chedy · ol · shedy	den laufenden Posten umsetzen oder durcharbeiten · fortsetzen · absetzen lassen; Schluss	E123[OWNER_ITEM+OPERATION] | E124[OPERATION] | E125[STATE_GRADE+CLOSE]	OWNER_ITEM>OPERATION>STATE_GRADE>CLOSE	Den laufenden Posten umsetzen oder durcharbeiten; und mit dem vorigen Ansatz weiter; Absetzen lassen; Schluss	CONTINUES_ACROSS_LINE
B1-S005	B1	f81v	f81v.17	F027	E126	1	1	OL_CONTINUATION	qolchedy	fortsetzen; Schluss	E126[OPERATION+FLOW_TRANSFER+CLOSE]	OPERATION>FLOW_TRANSFER>CLOSE	Weiterführen; Schluss	CONTINUES_ACROSS_LINE
B1-S006	B1	f81v	f81v.17	F028	E127|E128|E129|E130	4	0		qokain · shckhy · dl · ral	eine Portion zugeben · durch den Durchlass führen · Badzusatz · abkühlen	E127[QUANTITY+OPERATION] | E128[OWNER_ITEM+OPERATION+FLOW_TRANSFER] | E129[MEDIUM] | E130[OPERATION]	OWNER_ITEM>QUANTITY>MEDIUM>OPERATION>FLOW_TRANSFER	Eine Portion zugeben; Führe den Posten durch den Durchlass; Badzusatz; Und lasse es abkühlen	CONTINUES_ACROSS_LINE
B1-S007	B1	f81v	f81v.18	F029	E131	1	0		qokchdy	Ansatz umsetzen; Schluss	E131[PREPARATION+OPERATION+CLOSE]	PREPARATION>OPERATION>CLOSE	Ansatz umsetzen; Schluss	CONTINUES_ACROSS_LINE
B1-S008	B1	f81v	f81v.18	F030	E132|E133|E134|E135|E136	5	4	OL_CONTINUATION|CHK_THERMAL|SHED_SETTLING	chey · ol · cheky · ol · shedy	dieser Arbeitsposten · fortsetzen · mild wärmen · fortsetzen · absetzen lassen; Schluss	E132[OWNER_ITEM] | E133[OPERATION] | E134[STATE_GRADE] | E135[OPERATION] | E136[STATE_GRADE+CLOSE]	OWNER_ITEM>OPERATION>STATE_GRADE>CLOSE	Dieser Arbeitsposten; und mit dem vorigen Ansatz weiter; Kurz oder mild erwärmen; und mit dem vorigen Ansatz weiter; Absetzen lassen; Schluss	CONTINUES_ACROSS_LINE
B1-S009	B1	f81v	f81v.18	F031	E137	1	1	E_GRADE	qokedy	kurz benetzen; Schluss	E137[OPERATION+FLOW_TRANSFER+CLOSE+STATE_GRADE]	OPERATION>FLOW_TRANSFER>STATE_GRADE>CLOSE	Kurz benetzen; Schluss	CONTINUES_ACROSS_LINE
B1-S010	B1	f81v	f81v.18	F032	E138	1	1	E_GRADE	qokedy	kurz benetzen; Schluss	E138[OPERATION+FLOW_TRANSFER+CLOSE+STATE_GRADE]	OPERATION>FLOW_TRANSFER>STATE_GRADE>CLOSE	Kurz benetzen; Schluss	CONTINUES_ACROSS_LINE
B1-S011	B1	f81v	f81v.18	F033	E139|E140	2	0		chckhy · qoky	durch den Durchlass führen · den laufenden Posten einsetzen	E139[OWNER_ITEM+OPERATION+FLOW_TRANSFER] | E140[OWNER_ITEM+OPERATION]	OWNER_ITEM>OPERATION>FLOW_TRANSFER	Führe den Posten durch den Durchlass; Den laufenden Posten einsetzen	CONTINUES_ACROSS_LINE
B1-S012	B1	f81v	f81v.21	F034	E141|E142|E143	3	1	E_GRADE	lsho · qokey · lshedy	Waschgang · kurz anlegen · waschen; Schluss	E141[OPERATION] | E142[OWNER_ITEM+OPERATION+STATE_GRADE] | E143[FLOW_TRANSFER+CLOSE]	OWNER_ITEM>OPERATION>FLOW_TRANSFER>STATE_GRADE>CLOSE	Waschgang; Kurz anlegen; Waschen; Schluss	CONTINUES_ACROSS_LINE
B1-S013	B1	f81v	f81v.21	F035	E144	1	0		lshedy	waschen; Schluss	E144[FLOW_TRANSFER+CLOSE]	FLOW_TRANSFER>CLOSE	Waschen; Schluss	CONTINUES_ACROSS_LINE
B1-S014	B1	f81v	f81v.21	F036	E145|E146|E147|E148|E149	5	2	OL_CONTINUATION|OT_FOLLOW	chedy · qolky · lchedal · qol · otar	den laufenden Posten umsetzen oder durcharbeiten · Behandlungsstelle · Auslassstelle · fortsetzen · Folgeauslass	E145[OWNER_ITEM+OPERATION] | E146[TARGET] | E147[TARGET] | E148[OPERATION] | E149[SOURCE]	OWNER_ITEM>SOURCE>TARGET>OPERATION	Den laufenden Posten umsetzen oder durcharbeiten; Behandlungsstelle; Auslassstelle; und mit dem vorigen Ansatz weiter; Danach auslassen	CONTINUES_ACROSS_LINE
B1-S015	B1	f81v	f81v.24	F037	E150|E151	2	0		ytey · okchedy	füllen · Ansatz umsetzen; Schluss	E150[OPERATION+FLOW_TRANSFER] | E151[PREPARATION+OPERATION+CLOSE]	PREPARATION>OPERATION>FLOW_TRANSFER>CLOSE	Fülle das Gefäß; Ansatz umsetzen; Schluss	CONTINUES_ACROSS_LINE
B1-S016	B1	f81v	f81v.24	F038	E152|E153|E154|E155	4	3	E_GRADE|OL_CONTINUATION|SHED_SETTLING	qokal · okeey · qol · cheedy	an die Stelle setzen · länger halten · fortsetzen · absetzen lassen; Schluss	E152[TARGET+OPERATION] | E153[OWNER_ITEM+OPERATION+STATE_GRADE] | E154[OPERATION] | E155[STATE_GRADE+CLOSE]	OWNER_ITEM>TARGET>OPERATION>STATE_GRADE>CLOSE	An die Stelle setzen; Länger halten; und mit dem vorigen Ansatz weiter; Absetzen lassen; Schluss	CONTINUES_ACROSS_LINE
B1-S017	B1	f81v	f81v.24	F039	E156|E157|E158	3	0		sal · teol · dchdy	Stelle · erste Öffnung · Umsetzung abschließen	E156[TARGET] | E157[OPERATION] | E158[OPERATION+CLOSE]	TARGET>OPERATION>CLOSE	Stelle; Die erste Öffnung; Umsetzung abschließen	CONTINUES_ACROSS_LINE
B1-S018	B1	f81v	f81v.24|f81v.27	F040|F041	E159|E160|E161|E162	4	2	IIN_GRADE|E_GRADE	ly · dsheol · oiiin · olkeedy	Empfangsgefäß · einreiben · Sollgrad · länger auffangen; Schluss	E159[TARGET] | E160[OPERATION] | E161[QUANTITY+STATE_GRADE] | E162[TARGET+STATE_GRADE+CLOSE]	QUANTITY>TARGET>OPERATION>STATE_GRADE>CLOSE	Stelle das Empfangsgefäß bereit; Reibe die bezeichnete Stelle ein; Sollgrad; Länger auffangen; Schluss	CONTINUES_ACROSS_LINE
B1-S019	B1	f81v	f81v.27	F042	E163	1	1	SHED_SETTLING	tedy	absetzen lassen; Schluss	E163[STATE_GRADE+CLOSE]	STATE_GRADE>CLOSE	Absetzen lassen; Schluss	CONTINUES_ACROSS_LINE
B1-S020	B1	f81v	f81v.27	F043	E164|E165	2	1	CHK_THERMAL	cheky · shckhedy	mild wärmen · seihen; Schluss	E164[STATE_GRADE] | E165[FLOW_TRANSFER+CLOSE]	FLOW_TRANSFER>STATE_GRADE>CLOSE	Kurz oder mild erwärmen; Seihen; Schluss	CONTINUES_ACROSS_LINE
B1-S021	B1	f81v	f81v.27	F044	E166	1	0		chal	Stelle	E166[TARGET]	TARGET	Stelle	CONTINUES_ACROSS_LINE
B2-S001	B2	f82r	f82r.2	F045	E167	1	0		dchedy	Arbeitsbewegung abschließen	E167[OPERATION+CLOSE]	OPERATION>CLOSE	Arbeitsbewegung abschließen	CONTINUES_ACROSS_LINE
B2-S002	B2	f82r	f82r.2	F046	E168	1	1	OL_CONTINUATION	qolchedy	fortsetzen; Schluss	E168[OPERATION+FLOW_TRANSFER+CLOSE]	OPERATION>FLOW_TRANSFER>CLOSE	Weiterführen; Schluss	CONTINUES_ACROSS_LINE
B2-S003	B2	f82r	f82r.2	F047	E169|E170|E171	3	1	E_GRADE	qokain · dy · qokeedy	eine Portion zugeben · dieser Arbeitsposten · länger einwirken; Schluss	E169[QUANTITY+OPERATION] | E170[OWNER_ITEM] | E171[OPERATION+STATE_GRADE+CLOSE]	OWNER_ITEM>QUANTITY>OPERATION>STATE_GRADE>CLOSE	Eine Portion zugeben; Dieser Arbeitsposten; Länger einwirken; Schluss	CONTINUES_ACROSS_LINE
B2-S004	B2	f82r	f82r.2|f82r.3	F048|F049	E172|E173|E174|E175|E176	5	1	E_GRADE	qokal · lcheckhy · lched · qokeey · lcheckhedy	an die Stelle setzen · zweite Öffnung · hinausführen · länger halten · klar seihen; Schluss	E172[TARGET+OPERATION] | E173[OPERATION] | E174[OPERATION+FLOW_TRANSFER] | E175[OWNER_ITEM+OPERATION+STATE_GRADE] | E176[FLOW_TRANSFER+CLOSE]	OWNER_ITEM>TARGET>OPERATION>FLOW_TRANSFER>STATE_GRADE>CLOSE	An die Stelle setzen; Die zweite Öffnung; Hinausführen; Länger halten; Klar seihen; Schluss	CONTINUES_ACROSS_LINE
B2-S005	B2	f82r	f82r.3|f82r.4	F050|F051	E177|E178|E179|E180|E181|E182|E183|E184	8	1	CHK_THERMAL	qokaly · solkaiin · chckhy · qokaiin · qokaiin · octheol · chkeey · ldy	Posten zur Stelle setzen · Seihtuch · durch den Durchlass führen · auf das vorgeschriebene Maß einstellen · auf das vorgeschriebene Maß einstellen · gleiche Einstellung · Posten warm halten · abziehen; Ende	E177[OWNER_ITEM+TARGET+OPERATION] | E178[OPERATION] | E179[OWNER_ITEM+OPERATION+FLOW_TRANSFER] | E180[QUANTITY+OPERATION] | E181[QUANTITY+OPERATION] | E182[OPERATION] | E183[OPERATION+OWNER_ITEM+STATE_GRADE] | E184[CLOSE]	OWNER_ITEM>QUANTITY>TARGET>OPERATION>FLOW_TRANSFER>STATE_GRADE>CLOSE	Posten zur Stelle setzen; Seihtuch; Führe den Posten durch den Durchlass; Auf das vorgeschriebene Maß einstellen; Auf das vorgeschriebene Maß einstellen; dieselbe örtliche Einstellung; Den laufenden Posten länger warm halten; Ziehe es ab und beende den Schritt	CONTINUES_ACROSS_LINE
B2-S006	B2	f82r	f82r.4	F052	E185|E186|E187|E188	4	1	E_GRADE	oteey · qokal · sheckhy · qoky	Folgeposten länger einwirken · an die Stelle setzen · über der Stelle · den laufenden Posten einsetzen	E185[OWNER_ITEM+STATE_GRADE] | E186[TARGET+OPERATION] | E187[OPERATION] | E188[OWNER_ITEM+OPERATION]	OWNER_ITEM>TARGET>OPERATION>STATE_GRADE	Den nächsten Posten länger einwirken lassen; An die Stelle setzen; Über der örtlich bezeichneten Stelle; Den laufenden Posten einsetzen	CONTINUES_ACROSS_LINE
B2-S007	B2	f82r	f82r.7	F053	E189	1	0		dshedy	Frischwasser; Schluss	E189[MEDIUM+CLOSE]	MEDIUM>CLOSE	Frischwasser zugeben; Schluss	CONTINUES_ACROSS_LINE
B2-S008	B2	f82r	f82r.7	F054	E190|E191|E192	3	2	OT_FOLLOW|SHED_SETTLING	sotaiin · qokar · shedy	Folgemaß · daraus in den Arbeitsgang nehmen · absetzen lassen; Schluss	E190[QUANTITY] | E191[SOURCE+OPERATION] | E192[STATE_GRADE+CLOSE]	SOURCE>QUANTITY>OPERATION>STATE_GRADE>CLOSE	Das nächste Maß; Daraus in den Arbeitsgang nehmen; Absetzen lassen; Schluss	CONTINUES_ACROSS_LINE
B2-S009	B2	f82r	f82r.7	F055	E193	1	1	SHED_SETTLING	solshedy	mit dem Vorigen absetzen; Schluss	E193[STATE_GRADE+CLOSE]	STATE_GRADE>CLOSE	Mit dem Vorigen absetzen lassen; Schluss	CONTINUES_ACROSS_LINE
B2-S010	B2	f82r	f82r.7	F056	E194|E195|E196|E197	4	1	E_GRADE	qokeey · qoky · ls · cheey	länger halten · den laufenden Posten einsetzen · erste Öffnung · Klarauszug	E194[OWNER_ITEM+OPERATION+STATE_GRADE] | E195[OWNER_ITEM+OPERATION] | E196[OPERATION] | E197[PREPARATION+STATE_GRADE]	OWNER_ITEM>PREPARATION>OPERATION>STATE_GRADE	Länger halten; Den laufenden Posten einsetzen; Die erste Öffnung; Klarauszug	CONTINUES_ACROSS_LINE
B2-S011	B2	f82r	f82r.19	F057	E198|E199|E200|E201	4	1	E_GRADE	okain · char · okain · qokeedy	eine Portion zugeben · aus demselben Vorrat · eine Portion zugeben · länger einwirken; Schluss	E198[QUANTITY+OPERATION] | E199[SOURCE] | E200[QUANTITY+OPERATION] | E201[OPERATION+STATE_GRADE+CLOSE]	SOURCE>QUANTITY>OPERATION>STATE_GRADE>CLOSE	Eine Portion zugeben; Aus demselben Vorrat; Eine Portion zugeben; Länger einwirken; Schluss	CONTINUES_ACROSS_LINE
