master_card_id	master_form	registered_surfaces	portable_value_de	palette_slots	palette_use_count	exercises	teaching_class	literal_atoms	memorized_body	nomenclator_drawer	master_gesture_de
MC084	rshedy	rshedy	Waschschluss	G6	1	B_STOCK_TWO_TARGET	COMPOSED_FRAME_PLUS_MEMORIZED_BODY	CLOSE	WASH	N4_WASH_AND_CLOSE	letzte Waschung ausfuehren und absetzen
MC093	otal	otal|qotal	danach dorthin	G5	2	B_STOCK_TWO_TARGET|C_REOPEN_THREE_PACKET	COMMON_WORKSHOP_CARD	COMMON_CARD_NOT_REPARSED_HERE	NONE_OR_ALREADY_TAUGHT	NONE	ordinary slot card; no separate exception gesture
MC100	ody	ody	Abkühlen	G3	1	B_STOCK_TWO_TARGET	MEMORIZED_WHOLE_CARD	NONE	ODY	N3_SEPARATE_AND_CLARIFY	Hand vom warmen Gefaess wegnehmen und warten
MC105	chkain	chkain|kain	Anteil	G2	3	A_CLEAR_EXTRACT_DOUBLE_PASS|C_REOPEN_THREE_PACKET	COMMON_WORKSHOP_CARD	COMMON_CARD_NOT_REPARSED_HERE	NONE_OR_ALREADY_TAUGHT	NONE	ordinary slot card; no separate exception gesture
MC107	qotchy	qotchy	Folgeposten	G5	2	B_STOCK_TWO_TARGET|C_REOPEN_THREE_PACKET	FULLY_COMPOSED_FROM_OTHER_CARDS	OT+Y	NONE	NONE	ordinary slot card; no separate exception gesture
MC119	cheey	cheey|shey	Klarauszug	G2	2	A_CLEAR_EXTRACT_DOUBLE_PASS|C_REOPEN_THREE_PACKET	COMMON_WORKSHOP_CARD	COMMON_CARD_NOT_REPARSED_HERE	NONE_OR_ALREADY_TAUGHT	NONE	ordinary slot card; no separate exception gesture
MC142	dchol	dchol|schol	vom vorigen	G1	3	A_CLEAR_EXTRACT_DOUBLE_PASS|B_STOCK_TWO_TARGET|C_REOPEN_THREE_PACKET	MEMORIZED_WHOLE_CARD	NONE	DCHOL	N5_LINK_AND_ADMINISTER	mit dem Griffel auf den vorherigen Ansatz zurueckzeigen
MC143	shckhedy	shckhedy	durchlassen; Schluss	G4	3	A_CLEAR_EXTRACT_DOUBLE_PASS|C_REOPEN_THREE_PACKET	COMMON_WORKSHOP_CARD	COMMON_CARD_NOT_REPARSED_HERE	NONE_OR_ALREADY_TAUGHT	NONE	ordinary slot card; no separate exception gesture
MC147	cheky	cheky	kurz wärmen	G3	3	A_CLEAR_EXTRACT_DOUBLE_PASS|B_STOCK_TWO_TARGET|C_REOPEN_THREE_PACKET	COMMON_WORKSHOP_CARD	COMMON_CARD_NOT_REPARSED_HERE	NONE_OR_ALREADY_TAUGHT	NONE	ordinary slot card; no separate exception gesture
MC148	ykan	ykan	zweite Portion	G2	1	B_STOCK_TWO_TARGET	FULLY_COMPOSED_FROM_OTHER_CARDS	Y+AIN	NONE	NONE	ordinary slot card; no separate exception gesture
MC152	ches	ches	Teilen	G2	1	B_STOCK_TWO_TARGET	MEMORIZED_WHOLE_CARD	NONE	PARTITION	N3_SEPARATE_AND_CLARIFY	einen Posten auf zwei Gefaesse verteilen
MC154	al	al|chal|cheal|dal|sal|tal	dorthin	G5	2	A_CLEAR_EXTRACT_DOUBLE_PASS|C_REOPEN_THREE_PACKET	COMMON_WORKSHOP_CARD	COMMON_CARD_NOT_REPARSED_HERE	NONE_OR_ALREADY_TAUGHT	NONE	ordinary slot card; no separate exception gesture
MC160	talam	talam	Verwahrort	G1|G3	3	B_STOCK_TWO_TARGET|C_REOPEN_THREE_PACKET	COMPOSED_FRAME_PLUS_MEMORIZED_BODY	AL	AM	N2_CONTAINER_AND_PLACE	das Gefaess an seinen Regal- oder Lagerplatz stellen
MC170	ykaiin	ykaiin	Sollportion	G2	1	B_STOCK_TWO_TARGET	FULLY_COMPOSED_FROM_OTHER_CARDS	Y+AIIN	NONE	NONE	ordinary slot card; no separate exception gesture
