statement_id	record_unit_id	page	loci	event_count	original_surface_sequence	master_head_sequence	master_card_sequence	tuple_sequence	card_meaning_sequence_de	macro_sequence	fluent_workshop_reading_de	normalized_token_changes	reverse_reading_status
H5-S002	H5	f56r	f56r.8	4	schol choy choky cheeckhody	dchol choy choky cheeckhody	MC142 MC131 MC026 MC099	d665560c8ff80799a82c c10aec6d4dd877ec8bd8 276a7c2d74d1143446f4 95987d6f198d6d247511	Voriges -> diese Zutat -> Posten ansetzen -> auftragen	M02>M01>M07>M09	Nimm vom Vorposten diese Zutat, setze sie an und trage sie auf.	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
H5-S003	H5	f56r	f56r.12	4	sh cho kchey qokokchy	sh cho kchey qokokchy	MC114 MC034 MC122 MC015	ad3581d3144f69a5912d 2cc054357a929df85f64 b74e9e65637b7c8538dd 1322bc176443fc2a8a86	Staengel -> Zutat -> diesen Posten kurz bearbeiten -> erneut ansetzen	M07>M01>M07	Nimm den Staengel als Zutat, bearbeite diesen Posten kurz und setze ihn erneut an.	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
H5-S004	H5	f56r	f56r.13	3	okchy chokcheo kchal	chokchy chokcheo kchal	MC103 MC006 MC077	9ad66e67803a12e745de 087a47b5423438cd6b6a 75a523fcf039b006f97b	Posten ansetzen -> Auszug zugeben -> an der Zielstelle bearbeiten	M07>M03>M07	Setze den Posten an, gib den Auszug zu und bearbeite ihn an der Zielstelle.	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
H5-S005	H5	f56r	f56r.18	4	sho chokchy kchoar sotodan	cho chokchy kchoar sotodan	MC034 MC103 MC136 MC068	2cc054357a929df85f64 9ad66e67803a12e745de c71c72da4e09e0833392 61a075bc54793c1c781f	Zutat -> Posten ansetzen -> Auszug daraus -> danach anwenden	M01>M07>M03>M07	Setze den Ansatz als Zutat an, nimm den Auszug daraus und wende ihn danach an.	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
H5-S006	H5	f56r	f56r.19	3	otchey keol daiin	otchey keol aiin	MC171 MC104 MC039	faf321940aed922846a9 9bb7122b386ebbc6138f 2f1c5e56e8f0ff459065	Folgeposten -> kurz weiterfuehren -> Sollmaß	M02>M04	Nimm den Folgeposten, fuehre ihn kurz weiter und stelle das Sollmass ein.	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B1-S001	B1	f81v	f81v.2	1	qokedy	qokedy	MC083	7db18b2f0fb7ed0fcfd3	kurz ansetzen; Schluss	M07>M09	Setze kurz an und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B1-S002	B1	f81v	f81v.2|f81v.7	19	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	okaiin kair okal char cheol chkain olkain al cheol rol dl cholor cheol sheckhal aiin qokeedal aiin chckhy dchedy	MC120 MC023 MC040 MC055 MC153 MC105 MC097 MC154 MC153 MC016 MC012 MC157 MC153 MC058 MC039 MC096 MC039 MC035 MC025	b5fcea1eaed06b2f2291 22fb87a5a83e5c3fb510 308e8ea2d5d190c498e8 4d4559019a961b834aa1 dcda95c81a5460feb191 9da1b6ac2c929daea697 94df4847b7b16c98394a dd0ecaf5e27d81befffc dcda95c81a5460feb191 1496a731803a9f48d2e1 0f18de177ed7c878bf95 dec401773c1f0347793d dcda95c81a5460feb191 4eab1841ed655c20a348 2f1c5e56e8f0ff459065 93f69c38fdedee1598e9 2f1c5e56e8f0ff459065 2cc8bb3c2af19607888f 259b2b3b0bf859882e2c	auf Sollmaß einstellen -> Beckenwasser -> dort ansetzen -> daraus -> fortsetzen -> eine Portion -> weitere Portion -> dorthin -> fortsetzen -> weiterfuehren -> Zusatz -> Fortsetzungsansatz -> fortsetzen -> kurz zur Zielstelle durchleiten -> Sollmaß -> dort länger halten -> Sollmaß -> durchleiten -> umsetzen; Schluss	M04>M06>M07>M05>M02>M04>M05>M02>M03>M02>M06>M04>M07>M04>M06>M09	Stelle das Sollmass ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, fuehre den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmass ein, halte dort laenger, leite durch, setze um und schliesse.	9	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B1-S003	B1	f81v	f81v.7|f81v.17	2	qol sshkchdy	cheol sshkchdy	MC153 MC061	dcda95c81a5460feb191 54e32e9c1414b20640e9	fortsetzen -> schwenken	M02>M07>M09	Führe weiter, schwenke den Posten und schließe	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B1-S004	B1	f81v	f81v.17	3	chedy ol shedy	chdy cheol cheedy	MC074 MC153 MC128	6f7ff8287eddf4da9fdb dcda95c81a5460feb191 bc4f1f5c006c74a4d26d	umsetzen -> fortsetzen -> absetzen; Schluss	M06>M02>M07>M09	Setze um, führe weiter, lass absetzen und schließe	3	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B1-S005	B1	f81v	f81v.17	1	qolchedy	olchedy	MC028	28ffbc88b97772a75f1e	fortsetzen; Schluss	M06>M09	Führe den Posten weiter und schließe	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B1-S006	B1	f81v	f81v.17	4	qokain shckhy dl ral	okain chckhy dl ral	MC017 MC035 MC012 MC056	1645e612504fcef59ced 2cc8bb3c2af19607888f 0f18de177ed7c878bf95 4da0f0f7b5fc7ac20067	eine Portion zugeben -> durchleiten -> Zusatz -> zur Zielstelle	M04>M06>M03>M05	Gib eine Portion und den Zusatz zu, leite durch, fuehre zur Zielstelle und uebergib an den folgenden Umsetzschritt.	2	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B1-S007	B1	f81v	f81v.18	1	qokchdy	qokchdy	MC088	87411f84689b4f93a303	umsetzen; Schluss	M06>M09	Setze die abgekühlte Badmischung um und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B1-S008	B1	f81v	f81v.18	5	chey ol cheky ol shedy	chey cheol cheky cheol cheedy	MC123 MC153 MC147 MC153 MC128	b921a237be883a820352 dcda95c81a5460feb191 d904bf7b044dd3922781 dcda95c81a5460feb191 bc4f1f5c006c74a4d26d	dieser Posten -> fortsetzen -> kurz wärmen -> fortsetzen -> absetzen; Schluss	M02>M07>M02>M07>M09	Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe	3	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B1-S009	B1	f81v	f81v.18	1	qokedy	qokedy	MC083	7db18b2f0fb7ed0fcfd3	kurz ansetzen; Schluss	M07>M09	Setze kurz an und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B1-S010	B1	f81v	f81v.18	1	qokedy	qokedy	MC083	7db18b2f0fb7ed0fcfd3	kurz ansetzen; Schluss	M07>M09	Setze kurz an und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B1-S011	B1	f81v	f81v.18	2	chckhy qoky	chckhy choky	MC035 MC026	2cc8bb3c2af19607888f 276a7c2d74d1143446f4	durchleiten -> Posten ansetzen	M06>M07	Leite durch und setze den Posten an	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B1-S012	B1	f81v	f81v.21	3	lsho qokey lshedy	lsho okey lshedy	MC130 MC007 MC038	be0974b366c981dc1eef 08bd5ca0c2ad137a056d 2e7e89e0bd12b999c280	Waschgang -> kurz ansetzen -> waschen; Schluss	M07>M09	Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B1-S013	B1	f81v	f81v.21	1	lshedy	lshedy	MC038	2e7e89e0bd12b999c280	waschen; Schluss	M07>M09	Wasche und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B1-S014	B1	f81v	f81v.21	5	chedy qolky lchedal qol otar	chdy qolky lchedal cheol otar	MC074 MC134 MC051 MC153 MC121	6f7ff8287eddf4da9fdb c205570c49d4d93c23d3 433713294b25b0a12f66 dcda95c81a5460feb191 b6b654722e55729cc947	umsetzen -> weiterfuehren -> Auslass -> fortsetzen -> danach von dort	M06>M02>M06>M02>M05	Setze um, fuehre weiter, leite am Auslass ab und fuehre danach von dort weiter.	2	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B1-S015	B1	f81v	f81v.24	2	ytey okchedy	ytey okchedy	MC109 MC005	a7af89ab31ce5e247395 07913ef9b1fb773cd325	fuellen -> umsetzen; Schluss	M07>M06>M09	Fülle das Gefäß mit der abgeleiteten Arbeitsflüssigkeit, setze den Inhalt um und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B1-S016	B1	f81v	f81v.24	4	qokal okeey qol cheedy	okal okeey cheol cheedy	MC040 MC002 MC153 MC128	308e8ea2d5d190c498e8 0275fbf14e07935b0a45 dcda95c81a5460feb191 bc4f1f5c006c74a4d26d	dort ansetzen -> länger ansetzen -> fortsetzen -> absetzen; Schluss	M07>M02>M07>M09	Setze dort länger an, führe weiter, lass absetzen und schließe	2	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B1-S017	B1	f81v	f81v.24	3	sal teol dchdy	al teol dchdy	MC154 MC106 MC139	dd0ecaf5e27d81befffc a06244ef1f2b37ca44c1 d225b7a7b95da7aee437	dorthin -> kurz weiterfuehren -> umsetzen; Schluss	M05>M02>M06>M09	Fuehre dorthin, fuehre kurz weiter, setze um und schliesse.	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B1-S018	B1	f81v	f81v.24|f81v.27	4	ly dsheol oiiin olkeedy	ly dsheol oiiin olkeedy	MC118 MC076 MC033 MC045	b38d70daefd663d74625 74c76d589d44120f647b 2c82523794dcb7d2b343 3b70942557b3a40e8030	Gefaess -> kurz weiter ruhen lassen -> Sollstufe -> länger sammeln; Schluss	M05>M08>M04>M07>M09	Stelle das Gefaess bereit, lass den Posten kurz weiter ruhen, bringe ihn auf Sollstufe, sammle laenger und schliesse.	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B1-S019	B1	f81v	f81v.27	1	tedy	cheedy	MC128	bc4f1f5c006c74a4d26d	absetzen; Schluss	M07>M09	Lass absetzen und schließe	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B1-S020	B1	f81v	f81v.27	2	cheky shckhedy	cheky shckhedy	MC147 MC143	d904bf7b044dd3922781 d68bc8de3bcee09db23c	kurz wärmen -> seihen; Schluss	M07>M09	Wärme kurz, seih und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B1-S021	B1	f81v	f81v.27	1	chal	al	MC154	dd0ecaf5e27d81befffc	dorthin	M05	Führe den Posten dorthin	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B2-S001	B2	f82r	f82r.2	1	dchedy	dchedy	MC025	259b2b3b0bf859882e2c	umsetzen; Schluss	M06>M09	Setze um und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B2-S002	B2	f82r	f82r.2	1	qolchedy	olchedy	MC028	28ffbc88b97772a75f1e	fortsetzen; Schluss	M06>M09	Führe weiter und schließe	1	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B2-S003	B2	f82r	f82r.2	3	qokain dy qokeedy	okain chey qokeedy	MC017 MC123 MC082	1645e612504fcef59ced b921a237be883a820352 7d25241b0e56c836372a	eine Portion zugeben -> dieser Posten -> länger ansetzen; Schluss	M04>M02>M07>M09	Gib eine Portion zu, setze den Posten länger an und schließe	2	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B2-S004	B2	f82r	f82r.2|f82r.3	5	qokal lcheckhy lched qokeey lcheckhedy	okal lcheckhy lched okeey lcheckhedy	MC040 MC168 MC127 MC002 MC133	308e8ea2d5d190c498e8 f329f2051370174e9a38 ba8142680851f24c9ff2 0275fbf14e07935b0a45 c1db6b0a28d5cbb5d3d2	dort ansetzen -> Ausgangsdurchlass -> abführen -> länger ansetzen -> abseihen; Schluss	M07>M06>M07>M06>M09	Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe	2	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B2-S005	B2	f82r	f82r.3|f82r.4	8	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	qokaly solkaiin chckhy okaiin okaiin octheol chkeey ldy	MC054 MC036 MC035 MC120 MC120 MC112 MC166 MC004	4a7a6326ac95a8809302 2d2e37ccb2dacc53ee5a 2cc8bb3c2af19607888f b5fcea1eaed06b2f2291 b5fcea1eaed06b2f2291 a8f891de626fc00028e9 f0db6d30cd34f4cb2a4d 04a3877f0fc81b7597c9	dies dort ansetzen -> bis Sollmass sammeln -> durchleiten -> auf Sollmaß einstellen -> auf Sollmaß einstellen -> bereit weiterfuehren -> länger wärmen -> abziehen; Ende	M07>M04>M06>M04>M08>M07>M06>M09	Setze diesen Posten dort an, sammle bis zum Sollmass, leite durch, stelle das Sollmass ein, fuehre bereit weiter, waerme laenger, ziehe ab und schliesse.	2	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B2-S006	B2	f82r	f82r.4	4	oteey qokal sheckhy qoky	oteey okal sheckhy choky	MC063 MC040 MC132 MC026	5d5e0b288cf36864ed9d 308e8ea2d5d190c498e8 c1913ec4ff84148da6d3 276a7c2d74d1143446f4	langer Folgeposten -> dort ansetzen -> kurz durchleiten -> Posten ansetzen	M02>M07>M06>M07	Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und setze den Posten an.	2	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B2-S007	B2	f82r	f82r.7	1	dshedy	dshedy	MC138	cbb42a4fe68068325d6b	Frischwasser	M03>M09	Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B2-S008	B2	f82r	f82r.7	3	sotaiin qokar shedy	otaiin qokar cheedy	MC060 MC044 MC128	54d0e228ca346110af05 3ae9a121ba0045b913e8 bc4f1f5c006c74a4d26d	Folgemaß -> daraus ansetzen -> absetzen; Schluss	M04>M07>M09	Stelle das Folgemaß ein, setze daraus an, lass absetzen und schließe	2	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B2-S009	B2	f82r	f82r.7	1	solshedy	solshedy	MC149	daa1347f456415fe8737	weiter absetzen; Schluss	M07>M09	Lass weiter absetzen und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B2-S010	B2	f82r	f82r.7	4	qokeey qoky ls cheey	okeey choky ls cheey	MC002 MC026 MC065 MC119	0275fbf14e07935b0a45 276a7c2d74d1143446f4 5eff216ba51fbfb21f22 b5df9126607030b95175	länger ansetzen -> Posten ansetzen -> Auslass -> Klarlauf	M07>M06>M08	Setze laenger an, fuehre den Posten durch den Auslass und nimm den Klarlauf.	2	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B2-S011	B2	f82r	f82r.19	4	okain char okain qokeedy	okain char okain qokeedy	MC017 MC055 MC017 MC082	1645e612504fcef59ced 4d4559019a961b834aa1 1645e612504fcef59ced 7d25241b0e56c836372a	eine Portion zugeben -> daraus -> eine Portion zugeben -> länger ansetzen; Schluss	M04>M05>M04>M07>M09	Gib der Klarflüssigkeit eine Portion zu, nimm daraus eine weitere Portion, setze länger an und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B2-S012	B2	f82r	f82r.19|f82r.23	8	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	lchy cheey qcthey okeey lcheey aiin chey qokeeedy	MC008 MC119 MC073 MC002 MC066 MC039 MC123 MC140	0ab57b7166de99db3a55 b5df9126607030b95175 6b89d6dd70635bc60fe0 0275fbf14e07935b0a45 5fca8fc3dee57e1d8c1f 2f1c5e56e8f0ff459065 b921a237be883a820352 d25110e0d8488927278f	abziehen -> Klarlauf -> kurz bereithalten -> länger ansetzen -> Klarlauf abfuehren -> Sollmaß -> dieser Posten -> vollständig ansetzen; Schluss	M06>M08>M07>M06>M04>M02>M07>M09	Ziehe den Posten ab, nimm den Klarlauf, halte ihn kurz bereit, setze ihn laenger an, fuehre den Klarlauf ab, stelle das Sollmass ein, fuehre den Posten vollstaendig aus und schliesse.	2	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B2-S013	B2	f82r	f82r.23	1	lchedy	lchedy	MC155	de7321bface5628e35d6	abführen; Schluss	M06>M09	Führe ab und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B2-S014	B2	f82r	f82r.23	1	lar	lar	MC029	29e0eb222ef2fb99523a	von dort abfuehren	M06	Fuehre von dort ab.	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B2-S015	B2	f82r	f82r.26	2	tshey qokeedy	tshey qokeedy	MC141 MC082	d4a31dbcf1ed6d9e5aa9 7d25241b0e56c836372a	Klarlauf -> länger ansetzen; Schluss	M08>M07>M09	Halte den vorigen Ablauf geschlossen, gib den Klarlauf zu, setze laenger an und schliesse.	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B2-S016	B2	f82r	f82r.26|f82r.27	8	cheal lchedar ches aiin oteey qokaiin okey pchedy	al lchedar ches aiin oteey okaiin okey pchedy	MC154 MC011 MC152 MC039 MC063 MC120 MC007 MC070	dd0ecaf5e27d81befffc 0f15effeca7ab10bb026 db729b598e89e11452e0 2f1c5e56e8f0ff459065 5d5e0b288cf36864ed9d b5fcea1eaed06b2f2291 08bd5ca0c2ad137a056d 65df3cd9e59060042d47	dorthin -> von dort abführen -> teilen -> Sollmaß -> langer Folgeposten -> auf Sollmaß einstellen -> kurz ansetzen -> einführen; Schluss	M05>M06>M07>M04>M02>M04>M07>M06>M09	Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe	2	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B2-S017	B2	f82r	f82r.27	2	rsheal daldy	rsheal daldy	MC102 MC079	98bdc4244c84cbef3321 78b3b3140714da19090d	kurz am Ziel ruhen -> Nebenoeffnung; Schluss	M08>M05>M09	Lass den Posten kurz am Ziel ruhen, schliesse die Nebenöffnung und beende den Schritt.	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
B2-S018	B2	f82r	f82r.27	1	qokeedy	qokeedy	MC082	7d25241b0e56c836372a	länger ansetzen; Schluss	M07>M09	Setze länger an und schließe	0	DIRECT_SURFACE_TO_MASTER_CARD_TO_MEANING
