visible_surface	master_card_id	joint_tuple_id	master_head_form	surface_role	short_meaning_de	component_reading	macro_id	observed_event_count	direct_lookup_unique	context_needed_for_card_identity
cheedy	MC128	bc4f1f5c006c74a4d26d	cheedy	MASTER_HEAD_FORM	absetzen; Schluss	SHED_SETTLE+GRADE_1+DY_CLOSE	M07	1	YES	NO
cheeety	MC094	9247e38d29c79a0d2fa5	cheeety	FIXED_REGISTERED_FORM	ganzen Teilposten	EEE_FULL+TY_PART	M04	1	YES	NO
cheeky	MC032	2c1a5fd92b9e3c762242	cheeky	FIXED_REGISTERED_FORM	länger wärmen	CHK_WARM+GRADE_2+Y_OPEN	M07	2	YES	NO
cheey	MC119	b5df9126607030b95175	cheey	MASTER_HEAD_FORM	Klarlauf	SHEY_CLEAR_LIQUID_WHOLE	M08	2	YES	NO
cheky	MC147	d904bf7b044dd3922781	cheky	FIXED_REGISTERED_FORM	kurz wärmen	CHK_WARM+GRADE_1+Y_OPEN	M07	3	YES	NO
cheoar	MC085	807591efc3d3f7ddbfab	cheoar	FIXED_REGISTERED_FORM	Auszug entnehmen	CHEO_EXTRACT+AR_SOURCE	M03	1	YES	NO
cheol	MC153	dcda95c81a5460feb191	cheol	MASTER_HEAD_FORM	fortsetzen	OL_CONTINUE	M02	1	YES	NO
ches	MC152	db729b598e89e11452e0	ches	FIXED_REGISTERED_FORM	teilen	MEMORIZED_WHOLE_CARD	M07	1	YES	NO
chety	MC086	80ebbbbf238eee9f0aef	chety	MASTER_HEAD_FORM	Teil abtrennen	CH_PARTITION+TY_PART	M04	1	YES	NO
chey	MC123	b921a237be883a820352	chey	MASTER_HEAD_FORM	dieser Posten	Y_CURRENT_ITEM_CARD	M02	7	YES	NO
chkain	MC105	9da1b6ac2c929daea697	chkain	MASTER_HEAD_FORM	eine Portion	AIN_PORTION	M04	1	YES	NO
chkeedy	MC110	a84fbe3ad380df345b97	chkeedy	FIXED_REGISTERED_FORM	länger wärmen; Schluss	CHK_WARM+GRADE_2+DY_CLOSE	M07	1	YES	NO
chkeey	MC166	f0db6d30cd34f4cb2a4d	chkeey	FIXED_REGISTERED_FORM	länger wärmen	CHK_WARM+GRADE_2+Y_CURRENT	M07	1	YES	NO
chldaiin	MC144	d72f71baff01cd0a0406	chldaiin	FIXED_REGISTERED_FORM	Absetzmaß	CHLD_SETTLE+AIIN_MEASURE	M04	1	YES	NO
cho	MC034	2cc054357a929df85f64	cho	MASTER_HEAD_FORM	Zutat	HO_INGREDIENT	M01	2	YES	NO
chochor	MC125	b9d7b6d68209a9019e7a	chochor	FIXED_REGISTERED_FORM	Zutatenansatz	HO_INGREDIENT+OR_BATCH	M03	1	YES	NO
chodaiin	MC087	834825c61d048a6b5628	chodaiin	FIXED_REGISTERED_FORM	Zutatenmaß	HO_INGREDIENT+AIIN_MEASURE	M04	1	YES	NO
chodaly	MC010	0ec6a45e2950e8e7061d	chodaly	FIXED_REGISTERED_FORM	Zutat dorthin	HO_INGREDIENT+AL_TO+Y_ITEM	M01	1	YES	NO
chokcheo	MC006	087a47b5423438cd6b6a	chokcheo	FIXED_REGISTERED_FORM	Auszug zugeben	CH_RENDERER+OK_ADD+CHEO_EXTRACT	M03	1	YES	NO
chokchy	MC103	9ad66e67803a12e745de	chokchy	MASTER_HEAD_FORM	Posten ansetzen	OK_SET+CH_WRAPPER+Y_OPEN	M07	1	YES	NO
choky	MC026	276a7c2d74d1143446f4	choky	MASTER_HEAD_FORM	Posten ansetzen	OK_SET+Y_OPEN	M07	2	YES	NO
chol	MC153	dcda95c81a5460feb191	cheol	OTHER_REGISTERED_ALLOGRAPH	fortsetzen	OL_CONTINUE	M02	3	YES	NO
cholor	MC157	dec401773c1f0347793d	cholor	MASTER_HEAD_FORM	Fortsetzungsansatz	OL_CONTINUE+OR_BATCH	M03	1	YES	NO
chor	MC080	7a4bb8136330ee4e6e56	chor	MASTER_HEAD_FORM	Ansatz	OR_BATCH	M03	3	YES	NO
choy	MC131	c10aec6d4dd877ec8bd8	choy	FIXED_REGISTERED_FORM	diese Zutat	HO_INGREDIENT+Y_CURRENT	M01	1	YES	NO
chty	MC086	80ebbbbf238eee9f0aef	chety	OTHER_REGISTERED_ALLOGRAPH	Teil abtrennen	CH_PARTITION+TY_PART	M04	1	YES	NO
chy	MC123	b921a237be883a820352	chey	OTHER_REGISTERED_ALLOGRAPH	dieser Posten	Y_CURRENT_ITEM_CARD	M02	3	YES	NO
cphy	MC156	deb377381ceaf55ea310	cphy	FIXED_REGISTERED_FORM	nachseihen	MEMORIZED_WHOLE_CARD	M07	1	YES	NO
cthaiin	MC169	f3c23f42baf625639e1e	cthaiin	FIXED_REGISTERED_FORM	Fertigmaß	CTH_READY+AIIN_MEASURE	M04	1	YES	NO
cthoor	MC158	dedc383b600397a301ee	cthoor	FIXED_REGISTERED_FORM	Ansatz bereit	CTH_READY+OR_BATCH	M08	1	YES	NO
cthy	MC161	e0b630cb1b5df5e7105b	checthy	OTHER_REGISTERED_ALLOGRAPH	bereit	CTH_READY+Y_CURRENT	M08	3	YES	NO
daiiin	MC172	fcc1deda9e24ec268eb0	daiiin	FIXED_REGISTERED_FORM	Öffnungsstufe	DA+IIN_PORT_GRADE	M04	1	YES	NO
daiin	MC039	2f1c5e56e8f0ff459065	aiin	OTHER_REGISTERED_ALLOGRAPH	Sollmaß	AIIN_TARGET_MEASURE	M04	11	YES	NO
dain	MC059	53cd0637c6820ba5e91f	dain	FIXED_REGISTERED_FORM	Tuch	DAIN_CLOTH_WHOLE	M05	2	YES	NO
dairydy	MC091	8aedd154964a78e555d6	dairydy	FIXED_REGISTERED_FORM	Wasserlauf schliessen; Schluss	D_TERMINAL_FRAME+AIR_WATER+Y_ITEM+CLOSE_EXACT	M06	1	YES	NO
dal	MC154	dd0ecaf5e27d81befffc	al	OTHER_REGISTERED_ALLOGRAPH	dorthin	AL_TO	M05	5	YES	NO
dalchdy	MC031	2bc2ed2630dbdaaa6b59	dalchdy	FIXED_REGISTERED_FORM	dorthin umsetzen; Schluss	D+AL_TO+CHD_TRANSFER+CLOSE	M06	1	YES	NO
daldy	MC079	78b3b3140714da19090d	daldy	FIXED_REGISTERED_FORM	Nebenoeffnung; Schluss	D_SIDE_FRAME+AL_TO+CLOSE_EXACT	M05	1	YES	NO
dar	MC055	4d4559019a961b834aa1	char	OTHER_REGISTERED_ALLOGRAPH	daraus	AR_FROM	M05	2	YES	NO
dchdy	MC139	d225b7a7b95da7aee437	dchdy	FIXED_REGISTERED_FORM	umsetzen; Schluss	D+CHD_TRANSFER+CLOSE	M06	1	YES	NO
dchedy	MC025	259b2b3b0bf859882e2c	dchedy	MASTER_HEAD_FORM	umsetzen; Schluss	CHED_TRANSFER+TERMINAL	M06	1	YES	NO
dchey	MC071	65f320e75510b2f38182	dchey	FIXED_REGISTERED_FORM	Wurzel	MEMORIZED_WHOLE_CARD	M01	1	YES	NO
dchol	MC142	d665560c8ff80799a82c	dchol	MASTER_HEAD_FORM	Voriges	DCHOL_SCHOL_PREVIOUS_ITEM_WHOLE	M02	1	YES	NO
dl	MC012	0f18de177ed7c878bf95	dl	FIXED_REGISTERED_FORM	Zusatz	DL_BATH_ADDITIVE_WHOLE_CARD	M03	2	YES	NO
dshedy	MC138	cbb42a4fe68068325d6b	dshedy	FIXED_REGISTERED_FORM	Frischwasser	DSHE_FRESH_WATER+DY_CLOSE	M03	1	YES	NO
dsheol	MC076	74c76d589d44120f647b	dsheol	FIXED_REGISTERED_FORM	kurz weiter ruhen lassen	SH_REST+E_SHORT+OL_CONTINUE	M08	1	YES	NO
dy	MC123	b921a237be883a820352	chey	OTHER_REGISTERED_ALLOGRAPH	dieser Posten	Y_CURRENT_ITEM_CARD	M02	5	YES	NO
etyd	MC108	a6939862e33ece5a0483	etyd	FIXED_REGISTERED_FORM	kleiner Restteil	E_SHORT+TY_PART+D_LOCAL	M04	1	YES	NO
kaiiin	MC048	409de02322e7b2ca0c62	kaiiin	FIXED_REGISTERED_FORM	Weichstufe	K_SOFT+IIN_TARGET_STAGE	M04	1	YES	NO
kain	MC105	9da1b6ac2c929daea697	chkain	OTHER_REGISTERED_ALLOGRAPH	eine Portion	AIN_PORTION	M04	2	YES	NO
kair	MC023	22fb87a5a83e5c3fb510	kair	FIXED_REGISTERED_FORM	Beckenwasser	K_BASIN+AIR_WATER	M06	1	YES	NO
kchal	MC077	75a523fcf039b006f97b	kchal	FIXED_REGISTERED_FORM	an der Zielstelle bearbeiten	KCH_PROCESS+AL_TO	M07	1	YES	NO
kchey	MC122	b74e9e65637b7c8538dd	kchey	FIXED_REGISTERED_FORM	diesen Posten kurz bearbeiten	KCH_PROCESS+E_SHORT+Y_CURRENT	M07	1	YES	NO
kchoar	MC136	c71c72da4e09e0833392	kchoar	FIXED_REGISTERED_FORM	Auszug daraus	K_HULL+CHEO_EXTRACT+AR_FROM	M03	1	YES	NO
kchol	MC090	893c570f3fa3fce99711	kchol	FIXED_REGISTERED_FORM	weiter bearbeiten	KCH_PROCESS+OL_CONTINUE	M07	1	YES	NO
kchy	MC117	b2812c8283c3a62438bd	kchy	FIXED_REGISTERED_FORM	diesen Posten bearbeiten	KCH_PROCESS+Y_CURRENT	M07	1	YES	NO
keol	MC104	9bb7122b386ebbc6138f	keol	FIXED_REGISTERED_FORM	kurz weiterfuehren	E_SHORT+OL_CONTINUE	M02	1	YES	NO
lar	MC029	29e0eb222ef2fb99523a	lar	FIXED_REGISTERED_FORM	von dort abfuehren	L_OUT+AR_FROM	M06	1	YES	NO
lcheckhedy	MC133	c1db6b0a28d5cbb5d3d2	lcheckhedy	FIXED_REGISTERED_FORM	abseihen; Schluss	L_OUT+CKHE_STRAIN+TERMINAL	M06	1	YES	NO
lcheckhy	MC168	f329f2051370174e9a38	lcheckhy	FIXED_REGISTERED_FORM	Ausgangsdurchlass	L_OUT+CKH_THROUGH+Y_ITEM	M06	1	YES	NO
lched	MC127	ba8142680851f24c9ff2	lched	FIXED_REGISTERED_FORM	abführen	L_OUT+CHED_TRANSFER	M06	1	YES	NO
lchedal	MC051	433713294b25b0a12f66	lchedal	FIXED_REGISTERED_FORM	Auslass	L_OUT+CHED_TRANSFER+AL_TO	M06	1	YES	NO
lchedar	MC011	0f15effeca7ab10bb026	lchedar	FIXED_REGISTERED_FORM	von dort abführen	L_OUT+CHED_TRANSFER+AR_FROM	M06	1	YES	NO
lchedy	MC155	de7321bface5628e35d6	lchedy	FIXED_REGISTERED_FORM	abführen; Schluss	L_OUT+CHED_TRANSFER+TERMINAL	M06	8	YES	NO
lcheey	MC066	5fca8fc3dee57e1d8c1f	lcheey	FIXED_REGISTERED_FORM	Klarlauf abfuehren	L_OUT+CHEEY_CLEAR_FLOW	M06	1	YES	NO
lchy	MC008	0ab57b7166de99db3a55	lchy	FIXED_REGISTERED_FORM	abziehen	LCH_WITHDRAW+Y_ITEM	M06	1	YES	NO
ldalor	MC101	97ddca78c9ebcc956d04	ldalor	FIXED_REGISTERED_FORM	Endziel	LD_END+AL_TO	M05	1	YES	NO
ldy	MC004	04a3877f0fc81b7597c9	ldy	FIXED_REGISTERED_FORM	abziehen; Ende	L_OUT+CLOSE_EXACT	M06	2	YES	NO
lkedy	MC124	b958a512ca6a3559e86e	lkedy	FIXED_REGISTERED_FORM	nachwaschen	LKEDY_REWASH_WHOLE+CLOSE	M07	1	YES	NO
lo	MC030	2b7fa918d1b2f5c656e3	lo	FIXED_REGISTERED_FORM	abfuehren	L_OUT+O_RESIDUAL_BRANCH	M06	1	YES	NO
lochedy	MC167	f2af6326898fb5b490a4	lochedy	FIXED_REGISTERED_FORM	Rest abfuehren; Schluss	L_OUT+O_RESIDUAL_BRANCH+CHED_TRANSFER+CLOSE_EXACT	M06	1	YES	NO
lol	MC092	8c97dfde96fbc78e3355	lol	FIXED_REGISTERED_FORM	von dort weiterfuehren	L_OUT+OL_CONTINUE	M06	1	YES	NO
ls	MC065	5eff216ba51fbfb21f22	ls	FIXED_REGISTERED_FORM	Auslass	L_OUT+S_PORT	M06	1	YES	NO
lshedy	MC038	2e7e89e0bd12b999c280	lshedy	FIXED_REGISTERED_FORM	waschen; Schluss	LSH_WASH+DY_CLOSE	M07	2	YES	NO
lsho	MC130	be0974b366c981dc1eef	lsho	FIXED_REGISTERED_FORM	Waschgang	LSH_WASH	M07	1	YES	NO
ly	MC118	b38d70daefd663d74625	ly	FIXED_REGISTERED_FORM	Gefaess	MEMORIZED_VESSEL_CARD	M05	1	YES	NO
octheol	MC112	a8f891de626fc00028e9	octheol	FIXED_REGISTERED_FORM	bereit weiterfuehren	CTH_READY+OL_CONTINUE	M08	1	YES	NO
ody	MC100	97cc9ac109148723c472	ody	FIXED_REGISTERED_FORM	kühlen	ODY_COOL+TERMINAL_CLOSE	M07	1	YES	NO
oiiin	MC033	2c82523794dcb7d2b343	oiiin	MASTER_HEAD_FORM	Sollstufe	IIN_TARGET_STAGE	M04	1	YES	NO
okaiin	MC120	b5fcea1eaed06b2f2291	okaiin	MASTER_HEAD_FORM	auf Sollmaß einstellen	OK_SET+AIIN_TARGET_MEASURE	M04	1	YES	NO
okain	MC017	1645e612504fcef59ced	okain	MASTER_HEAD_FORM	eine Portion zugeben	OK+AIN_PORTION	M04	3	YES	NO
okair	MC081	7d2404c835b10a2c06af	okair	FIXED_REGISTERED_FORM	Wasser einlassen	OK_SET+AIR_WATER	M06	1	YES	NO
okal	MC040	308e8ea2d5d190c498e8	okal	MASTER_HEAD_FORM	dort ansetzen	OK_SET+AL_TO	M07	2	YES	NO
okchedy	MC005	07913ef9b1fb773cd325	okchedy	MASTER_HEAD_FORM	umsetzen; Schluss	OK+CHED_TRANSFER+CLOSE	M06	1	YES	NO
okchol	MC041	322281bd391aa621f568	okchol	FIXED_REGISTERED_FORM	Fortsetzung einsetzen	OK_SET+CH_WRAPPER+OL_CONTINUE	M07	1	YES	NO
okchy	MC103	9ad66e67803a12e745de	chokchy	OTHER_REGISTERED_ALLOGRAPH	Posten ansetzen	OK_SET+CH_WRAPPER+Y_OPEN	M07	1	YES	NO
okeeol	MC150	daf32e6db9e04413ce7f	okeeol	FIXED_REGISTERED_FORM	länger fortführen	OK_SET+GRADE_2+OL_CONTINUE	M07	1	YES	NO
okeey	MC002	0275fbf14e07935b0a45	okeey	MASTER_HEAD_FORM	länger ansetzen	OK_SET+GRADE_2+Y_OPEN	M07	1	YES	NO
okey	MC007	08bd5ca0c2ad137a056d	okey	MASTER_HEAD_FORM	kurz ansetzen	OK_SET+GRADE_1+Y_OPEN	M07	1	YES	NO
oky	MC026	276a7c2d74d1143446f4	choky	OTHER_REGISTERED_ALLOGRAPH	Posten ansetzen	OK_SET+Y_OPEN	M07	1	YES	NO
ol	MC153	dcda95c81a5460feb191	cheol	OTHER_REGISTERED_ALLOGRAPH	fortsetzen	OL_CONTINUE	M02	8	YES	NO
olchedy	MC028	28ffbc88b97772a75f1e	olchedy	MASTER_HEAD_FORM	fortsetzen; Schluss	OL_CONTINUE+CHED_TRANSFER+TERMINAL_CLOSE	M06	1	YES	NO
oldy	MC019	1b1ffdd869fb1429ad03	oldy	FIXED_REGISTERED_FORM	fortsetzen; Schluss	OL_CONTINUE+DY_CLOSE	M02	2	YES	NO
olkain	MC097	94df4847b7b16c98394a	olkain	MASTER_HEAD_FORM	weitere Portion	OL_CONTINUE+AIN_PORTION	M04	1	YES	NO
olkeedy	MC045	3b70942557b3a40e8030	olkeedy	MASTER_HEAD_FORM	länger sammeln; Schluss	SOLK_COLLECT+EE_LONG+TERMINAL	M07	2	YES	NO
olor	MC157	dec401773c1f0347793d	cholor	OTHER_REGISTERED_ALLOGRAPH	Fortsetzungsansatz	OL_CONTINUE+OR_BATCH	M03	1	YES	NO
olsaly	MC078	7811a7daff25d476e28d	olsaly	FIXED_REGISTERED_FORM	untere Zielstelle	OLS_BELOW+AL_TO+Y_ITEM	M05	1	YES	NO
oltchy	MC021	204b04837409088c48f9	oltchy	FIXED_REGISTERED_FORM	bereit weiterfuehren	OL_CONTINUE+CTH_READY+Y_CURRENT	M08	1	YES	NO
or	MC080	7a4bb8136330ee4e6e56	chor	OTHER_REGISTERED_ALLOGRAPH	Ansatz	OR_BATCH	M03	2	YES	NO
orain	MC072	6afeb5c9ab9f6cbdea0d	orain	FIXED_REGISTERED_FORM	Ansatzportion	OR_BATCH+AIN_PORTION	M04	1	YES	NO
os	MC159	df1098831679a8ad1b39	os	FIXED_REGISTERED_FORM	Gefaess	MEMORIZED_VESSEL_CARD	M05	1	YES	NO
otaiin	MC060	54d0e228ca346110af05	otaiin	MASTER_HEAD_FORM	Folgemaß	OT_FOLLOW+AIIN_MEASURE	M04	2	YES	NO
otal	MC093	90bcf0a9ec0ef56399e6	otal	MASTER_HEAD_FORM	danach dorthin	OT_NEXT+AL_TO	M05	1	YES	NO
otar	MC121	b6b654722e55729cc947	otar	FIXED_REGISTERED_FORM	danach von dort	OT_NEXT+AR_FROM	M05	1	YES	NO
otchdy	MC067	601b77449028deed39de	otchdy	FIXED_REGISTERED_FORM	Folgeumsetzung; Schluss	OT_FOLLOW+CHD_TRANSFER+TERMINAL_CLOSE	M06	1	YES	NO
otchedy	MC057	4de12cf322dfb76ded1e	otchedy	MASTER_HEAD_FORM	Folgeumsetzung; Schluss	OT_FOLLOW+CHED_TRANSFER+TERMINAL_CLOSE	M06	1	YES	NO
otchey	MC171	faf321940aed922846a9	otchey	FIXED_REGISTERED_FORM	Folgeposten	OT_FOLLOW+Y_CURRENT_ITEM	M02	2	YES	NO
otchor	MC013	10488b911aae52b3b334	otchor	MASTER_HEAD_FORM	Folgeansatz	OT_FOLLOW+OR_BATCH	M03	1	YES	NO
otedy	MC135	c45ebac60774620561e2	otedy	FIXED_REGISTERED_FORM	kurze Folge; Schluss	OT_FOLLOW+GRADE_1+CLOSE	M02	2	YES	NO
oteey	MC063	5d5e0b288cf36864ed9d	oteey	FIXED_REGISTERED_FORM	langer Folgeposten	OT_FOLLOW+GRADE_2+Y_ITEM	M02	2	YES	NO
otol	MC053	497cbd9c7401810ff56b	otol	FIXED_REGISTERED_FORM	danach fortsetzen	OT_FOLLOW+OL_CONTINUE	M02	1	YES	NO
otytchol	MC069	62ff059766b21c7de083	otytchol	FIXED_REGISTERED_FORM	naechsten Teilposten weiterfuehren	OT_FOLLOW+TY_PART+OL_CONTINUE	M04	1	YES	NO
oykchor	MC027	27d97af8c96eb056c2e6	oykchor	FIXED_REGISTERED_FORM	Gefaess	MEMORIZED_VESSEL_CARD	M05	1	YES	NO
pchedal	MC126	ba540da978ea132f6da5	pchedal	FIXED_REGISTERED_FORM	Einlass	P_IN+CHED_TRANSFER+AL_TO	M06	1	YES	NO
pchedy	MC070	65df3cd9e59060042d47	pchedy	FIXED_REGISTERED_FORM	einführen; Schluss	P_IN+CHED_TRANSFER+TERMINAL	M06	1	YES	NO
qcthey	MC073	6b89d6dd70635bc60fe0	qcthey	MASTER_HEAD_FORM	kurz bereithalten	CTH_READY+GRADE_1+Y_CURRENT	M08	1	YES	NO
qekey	MC052	43eb9aa12959b4d5cdc9	qekey	FIXED_REGISTERED_FORM	roh	MEMORIZED_WHOLE_CARD	M08	1	YES	NO
qockhey	MC165	ecce30bc8dcc400bf2c8	qockhey	FIXED_REGISTERED_FORM	kurzen Durchlauf ansetzen	OK_SET+CKH_THROUGH+E_SHORT+Y_CURRENT	M06	1	YES	NO
qoctholy	MC115	af816c04e65874a0f2fa	qoctholy	FIXED_REGISTERED_FORM	bereiten Posten weiterfuehren	CTH_READY+OL_CONTINUE+Y_CURRENT	M08	1	YES	NO
qokaiin	MC120	b5fcea1eaed06b2f2291	okaiin	Q_CELL_VARIANT	auf Sollmaß einstellen	OK_SET+AIIN_TARGET_MEASURE	M04	8	YES	NO
qokain	MC017	1645e612504fcef59ced	okain	Q_CELL_VARIANT	eine Portion zugeben	OK+AIN_PORTION	M04	4	YES	NO
qokal	MC040	308e8ea2d5d190c498e8	okal	Q_CELL_VARIANT	dort ansetzen	OK_SET+AL_TO	M07	4	YES	NO
qokaly	MC054	4a7a6326ac95a8809302	qokaly	FIXED_REGISTERED_FORM	dies dort ansetzen	OK_SET+AL_TO+Y_ITEM	M07	1	YES	NO
qokar	MC044	3ae9a121ba0045b913e8	qokar	FIXED_REGISTERED_FORM	daraus ansetzen	OK_SET+AR_FROM	M07	1	YES	NO
qokchdy	MC088	87411f84689b4f93a303	qokchdy	FIXED_REGISTERED_FORM	umsetzen; Schluss	OK+CHD_TRANSFER+CLOSE	M06	3	YES	NO
qokchedy	MC005	07913ef9b1fb773cd325	okchedy	Q_CELL_VARIANT	umsetzen; Schluss	OK+CHED_TRANSFER+CLOSE	M06	1	YES	NO
qokchy	MC103	9ad66e67803a12e745de	chokchy	Q_CELL_VARIANT	Posten ansetzen	OK_SET+CH_WRAPPER+Y_OPEN	M07	1	YES	NO
qokedy	MC083	7db18b2f0fb7ed0fcfd3	qokedy	FIXED_REGISTERED_FORM	kurz ansetzen; Schluss	OK_SET+GRADE_1+DY_CLOSE	M07	8	YES	NO
qokeedal	MC096	93f69c38fdedee1598e9	qokeedal	FIXED_REGISTERED_FORM	dort länger halten	OK_SET+EE_HOLD+AL_TO	M07	1	YES	NO
qokeedy	MC082	7d25241b0e56c836372a	qokeedy	FIXED_REGISTERED_FORM	länger ansetzen; Schluss	OK_SET+GRADE_2+DY_CLOSE	M07	10	YES	NO
qokeeedy	MC140	d25110e0d8488927278f	qokeeedy	FIXED_REGISTERED_FORM	vollständig ansetzen; Schluss	OK_SET+GRADE_3+DY_CLOSE	M07	1	YES	NO
qokeey	MC002	0275fbf14e07935b0a45	okeey	Q_CELL_VARIANT	länger ansetzen	OK_SET+GRADE_2+Y_OPEN	M07	6	YES	NO
qokey	MC007	08bd5ca0c2ad137a056d	okey	Q_CELL_VARIANT	kurz ansetzen	OK_SET+GRADE_1+Y_OPEN	M07	1	YES	NO
qokokchy	MC015	1322bc176443fc2a8a86	qokokchy	FIXED_REGISTERED_FORM	erneut ansetzen	OK_SET+OK_REPEAT+Y_CURRENT	M07	1	YES	NO
qokol	MC024	232195d6ff2f326322f7	qokol	FIXED_REGISTERED_FORM	Fortsetzung einsetzen	OK_SET+OL_CONTINUE	M07	1	YES	NO
qokshedy	MC151	db167f8e9b53eefb58f8	qokshedy	FIXED_REGISTERED_FORM	absetzen; Schluss	OK_SET+SHED_SETTLE+CLOSE	M07	1	YES	NO
qoky	MC026	276a7c2d74d1143446f4	choky	Q_CELL_VARIANT	Posten ansetzen	OK_SET+Y_OPEN	M07	7	YES	NO
qokylddy	MC164	eb2e4bc143f623ee03ac	qokylddy	FIXED_REGISTERED_FORM	befestigen	OK+Y_ITEM+LDDY_FASTEN_CLOSE	M07	1	YES	NO
qol	MC153	dcda95c81a5460feb191	cheol	Q_CELL_VARIANT	fortsetzen	OL_CONTINUE	M02	3	YES	NO
qolchedy	MC028	28ffbc88b97772a75f1e	olchedy	Q_CELL_VARIANT	fortsetzen; Schluss	OL_CONTINUE+CHED_TRANSFER+TERMINAL_CLOSE	M06	2	YES	NO
qolchey	MC162	e2eb77ca9d9e1a8ba29a	qolchey	FIXED_REGISTERED_FORM	diesen Posten weiterfuehren	OL_CONTINUE+Y_CURRENT	M02	1	YES	NO
qolkain	MC097	94df4847b7b16c98394a	olkain	Q_CELL_VARIANT	weitere Portion	OL_CONTINUE+AIN_PORTION	M04	1	YES	NO
qolky	MC134	c205570c49d4d93c23d3	qolky	FIXED_REGISTERED_FORM	weiterfuehren	Q_FRAME+OL_CONTINUE+KY_PATH	M02	1	YES	NO
qotal	MC093	90bcf0a9ec0ef56399e6	otal	Q_CELL_VARIANT	danach dorthin	OT_NEXT+AL_TO	M05	2	YES	NO
qotchedy	MC057	4de12cf322dfb76ded1e	otchedy	Q_CELL_VARIANT	Folgeumsetzung; Schluss	OT_FOLLOW+CHED_TRANSFER+TERMINAL_CLOSE	M06	1	YES	NO
qotchol	MC163	e8a6105b5c3a6220b440	qotchol	FIXED_REGISTERED_FORM	danach weiterfuehren	OT_FOLLOW+OL_CONTINUE	M02	1	YES	NO
qotchor	MC013	10488b911aae52b3b334	otchor	Q_CELL_VARIANT	Folgeansatz	OT_FOLLOW+OR_BATCH	M03	1	YES	NO
qotchy	MC107	a48efd6c4491a046ba78	qotchy	FIXED_REGISTERED_FORM	Folgeposten	OT_FOLLOW+CHY_ITEM	M02	1	YES	NO
