group_serial	page	diagram_id	locus	group_in_locus	opaque_group_id	namespace_id	visible_owner	compiler_track	locate_step	read_step	record_step	orientation	crosspage_join	prose_primitive_import	creative_page_default
11	f67r2	A1	f67r2.4	2	A1:G011	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_04	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.4 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 2 OF 2	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
12	f67r2	A1	f67r2.5	1	A1:G012	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_05	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.5 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 1 OF 2	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
13	f67r2	A1	f67r2.5	2	A1:G013	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_05	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.5 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 2 OF 2	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
14	f67r2	A1	f67r2.6	1	A1:G014	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_06	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.6 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 1 OF 1	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
15	f67r2	A1	f67r2.7	1	A1:G015	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_07	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.7 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 1 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
16	f67r2	A1	f67r2.7	2	A1:G016	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_07	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.7 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 2 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
17	f67r2	A1	f67r2.7	3	A1:G017	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_07	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.7 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 3 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
18	f67r2	A1	f67r2.8	1	A1:G018	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_08	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.8 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 1 OF 1	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
19	f67r2	A1	f67r2.9	1	A1:G019	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_09	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.9 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 1 OF 2	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
20	f67r2	A1	f67r2.9	2	A1:G020	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_09	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.9 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 2 OF 2	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
21	f67r2	A1	f67r2.10	1	A1:G021	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_10	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.10 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 1 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
22	f67r2	A1	f67r2.10	2	A1:G022	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_10	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.10 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 2 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
23	f67r2	A1	f67r2.10	3	A1:G023	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_10	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.10 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 3 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
24	f67r2	A1	f67r2.11	1	A1:G024	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_11	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.11 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 1 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
25	f67r2	A1	f67r2.11	2	A1:G025	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_11	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.11 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 2 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
26	f67r2	A1	f67r2.11	3	A1:G026	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_11	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.11 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 3 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
27	f67r2	A1	f67r2.12	1	A1:G027	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_12	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.12 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 1 OF 2	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
28	f67r2	A1	f67r2.12	2	A1:G028	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_12	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.12 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 2 OF 2	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
29	f67r2	A1	f67r2.13	1	A1:G029	F67_RIGHT_WHEEL_NS	A1_RIGHT_RING_BAND_01	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.13 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 1 OF 4	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
30	f67r2	A1	f67r2.13	2	A1:G030	F67_RIGHT_WHEEL_NS	A1_RIGHT_RING_BAND_01	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.13 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 2 OF 4	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
31	f67r2	A1	f67r2.13	3	A1:G031	F67_RIGHT_WHEEL_NS	A1_RIGHT_RING_BAND_01	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.13 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 3 OF 4	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
32	f67r2	A1	f67r2.13	4	A1:G032	F67_RIGHT_WHEEL_NS	A1_RIGHT_RING_BAND_01	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.13 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 4 OF 4	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
33	f67r2	A1	f67r2.14	1	A1:G033	F67_RIGHT_WHEEL_NS	A1_RIGHT_RING_BAND_02	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.14 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 1 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
34	f67r2	A1	f67r2.14	2	A1:G034	F67_RIGHT_WHEEL_NS	A1_RIGHT_RING_BAND_02	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.14 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 2 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
35	f67r2	A1	f67r2.14	3	A1:G035	F67_RIGHT_WHEEL_NS	A1_RIGHT_RING_BAND_02	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.14 IN F67_RIGHT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 3 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
36	f67r2	A1	f67r2.15	1	A1:G036	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_15	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.15 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 1 OF 1	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
37	f67r2	A1	f67r2.16	1	A1:G037	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_16	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.16 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 1 OF 4	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
38	f67r2	A1	f67r2.16	2	A1:G038	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_16	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.16 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 2 OF 4	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
39	f67r2	A1	f67r2.16	3	A1:G039	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_16	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.16 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 3 OF 4	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
40	f67r2	A1	f67r2.16	4	A1:G040	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_16	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.16 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 4 OF 4	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
41	f67r2	A1	f67r2.17	1	A1:G041	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_17	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.17 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 1 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
42	f67r2	A1	f67r2.17	2	A1:G042	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_17	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.17 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 2 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
43	f67r2	A1	f67r2.17	3	A1:G043	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_17	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.17 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 3 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
44	f67r2	A1	f67r2.18	1	A1:G044	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_18	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.18 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 1 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
45	f67r2	A1	f67r2.18	2	A1:G045	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_18	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.18 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 2 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
46	f67r2	A1	f67r2.18	3	A1:G046	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_18	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.18 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 3 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
47	f67r2	A1	f67r2.19	1	A1:G047	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_19	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.19 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 1 OF 4	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
48	f67r2	A1	f67r2.19	2	A1:G048	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_19	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.19 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 2 OF 4	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
49	f67r2	A1	f67r2.19	3	A1:G049	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_19	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.19 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 3 OF 4	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
50	f67r2	A1	f67r2.19	4	A1:G050	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_19	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.19 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 4 OF 4	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
51	f67r2	A1	f67r2.20	1	A1:G051	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_20	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.20 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 1 OF 2	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
52	f67r2	A1	f67r2.20	2	A1:G052	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_20	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.20 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 2 OF 2	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
53	f67r2	A1	f67r2.21	1	A1:G053	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_21	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.21 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 1 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
54	f67r2	A1	f67r2.21	2	A1:G054	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_21	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.21 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 2 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
55	f67r2	A1	f67r2.21	3	A1:G055	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_21	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.21 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 3 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
56	f67r2	A1	f67r2.22	1	A1:G056	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_22	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.22 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 1 OF 1	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
57	f67r2	A1	f67r2.23	1	A1:G057	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_23	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.23 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 1 OF 2	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
58	f67r2	A1	f67r2.23	2	A1:G058	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_23	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.23 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 2 OF 2	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
59	f67r2	A1	f67r2.24	1	A1:G059	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_24	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.24 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 1 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
60	f67r2	A1	f67r2.24	2	A1:G060	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_24	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.24 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 2 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
61	f67r2	A1	f67r2.24	3	A1:G061	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_24	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.24 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 3 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
62	f67r2	A1	f67r2.25	1	A1:G062	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_25	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.25 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 1 OF 1	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
63	f67r2	A1	f67r2.26	1	A1:G063	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_26	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.26 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 1 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
64	f67r2	A1	f67r2.26	2	A1:G064	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_26	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.26 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 2 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
65	f67r2	A1	f67r2.26	3	A1:G065	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_26	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.26 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 3 OF 3	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
66	f67r2	A1	f67r2.27	1	A1:G066	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_27	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.27 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 1 OF 4	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
67	f67r2	A1	f67r2.27	2	A1:G067	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_27	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.27 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 2 OF 4	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
68	f67r2	A1	f67r2.27	3	A1:G068	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_27	ASTRO_LOCATE_READ_RECORD	LOCATE f67r2.27 IN F67_LEFT_WHEEL_NS	COPY THIS OPAQUE LABEL SEGMENT IN LOCAL ORDER	RECORD AS SEGMENT 3 OF 4	NONE	NONE	NONE	Zwei getrennte Himmels-Auswahlräder
