target_ordinal	surface	final_recipe	pair_ordinal	ordered_pair	old_event_count	old_example_surfaces	interface_status	guard
43	dcheey	D_ADDR+CH+EE+Y	1	D_ADDR>CH	18	dchaiin|dchal|dchar|dchchy|dcheedy|dcheo|dcheokedy|dcheor|dchg|dchody|dchor|dchsed|odchees|oldckhy|qodcthy|ydchos	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
43	dcheey	D_ADDR+CH+EE+Y	2	CH>EE	37	archeey|cheeb|cheeckhody|cheedy|cheeodam|cheeody|cheeor|cheeteey|cheety|darchey|dcheedy|fcheey|kcheedchdy|kcheey|lcheedy|lcheeor|odchees|olcheedy|opcheeol|qocheey|qokcheey|shokcheey|sokcheey	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
43	dcheey	D_ADDR+CH+EE+Y	3	EE>Y	203	archeey|ateey|cheeky|cheeteey|cheey|chkeey|chlchpsheey|choeey|chokeey|choteey|chteey|darchey|deey|doteey|fcheey|kcheey|keey|keeyfar|lcheey|lkeey|lsheey|okeeas|okeey|olkeey|oteey|oteeykeey|oteokeey|otoees|pydeey|qeey|qekeey|qeykeey|qocheey|qoeeeo|qoeey|qokcheey|qokeey|qokeeyl|qoteey|seey|sheey|shokcheey|shoteey|soeey|sokcheey|solkeey|teey|ycheey|ykeey|yoeteey|ysheey|yteey	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
51	faiis	LOCAL_CHAR_F+IIN+S	1	LOCAL_CHAR_F>IIN	0	NONE	NEW_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
51	faiis	LOCAL_CHAR_F+IIN+S	2	IIN>S	3	poldarais|qoaiis|saiisol	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
62	keeol	K+EE+OL	1	K>EE	70	cheekaiin|cheeky|chekeedy|chkeeal|chkeedy|chkeey|cholkeedy|keedy|keeo|keeod|keeodaiin|keeokechy|keey|keeyfar|lkeed|lkeedy|lkeey|olkeechy|olkeedy|olkeey|oteeykeey|oteokeey|pcheykeeor|qekeey|qeykeey|qolkeedy|qolkeeoly|solkeedy|solkeey|yekees|ykeedy|ykeeor|ykeesan|ykeey	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
62	keeol	K+EE+OL	2	EE>OL	17	cheeol|okeeol|okeeols|opcheeol|qokeeol|qolkeeoly|qoteeol|sheeol|sheeoldy|teeolain|yokeeol	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
67	ld	L+D_ADDR	1	L>D_ADDR	1	qokylddy	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
70	lpchees	L+P+CH+EE+S	1	L>P	1	lpchedy	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
70	lpchees	L+P+CH+EE+S	2	P>CH	23	chopchal|chpchy|chypcham|okaipchy|opcheeol|opcheol|opcheor|opcholalaiin|opchor|opchordy|otolpchy|pchal|pcheoly|pchocthy|pchodol|pchor|qopchol|shepchol|shopcho|ypch|ypchy|ytoeopchey|zepchy	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
70	lpchees	L+P+CH+EE+S	3	CH>EE	37	archeey|cheeb|cheeckhody|cheedy|cheeodam|cheeody|cheeor|cheeteey|cheety|darchey|dcheedy|fcheey|kcheedchdy|kcheey|lcheedy|lcheeor|odchees|olcheedy|opcheeol|qocheey|qokcheey|shokcheey|sokcheey	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
70	lpchees	L+P+CH+EE+S	4	EE>S	15	chokees|dshees|odchees|okees|otees|qoteesy|shees|tshodeesy|yekees|ykeesan	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
82	pdaiin	P+AIIN	1	P>AIIN	1	oepaiin	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
86	qef	E+LOCAL_CHAR_F	1	E>LOCAL_CHAR_F	1	chefar	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
97	qotedal	OT+E+AL	1	OT>E	90	chotey|otear|otedar|otedy|otedyl|oteeykeey|oteo|oteodar|oteody|oteokeey|oteol|oteor|oteos|oteoshar|otey|qotedaiin|qotedor|qotedshedy|qotedy|qoteo|qoteody|qoteol|qoteor|qotes|qotey|soteol	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
97	qotedal	OT+E+AL	2	E>AL	11	cphealy|lfcheal|qokeal|rsheal|sheal|shealol|sheals|shedal	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
102	shain	SH+AIN	1	SH>AIN	0	NONE	NEW_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
105	shd	SH+D_ADDR	1	SH>D_ADDR	14	ofshdy|olkshdy|opshdy|otshdy|pdalshdy|qofshy|qopshdy|rshdy|shdy|tshdal	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
106	shddy	SH+D_ADDR+DY	1	SH>D_ADDR	14	ofshdy|olkshdy|opshdy|otshdy|pdalshdy|qofshy|qopshdy|rshdy|shdy|tshdal	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
106	shddy	SH+D_ADDR+DY	2	D_ADDR>DY	1	qokylddy	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
123	shso	SH+S+O	1	SH>S	0	NONE	NEW_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
123	shso	SH+S+O	2	S>O	13	socthody|sodar|soeey|soiiin|soiin|soin|som|sosho|soy|tochso	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
124	shtchy	SH+T+CH+Y	1	SH>T	1	shtol	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
124	shtchy	SH+T+CH+Y	2	T>CH	18	atchor|chetchy|chtchor|otytchol|qetchy|tchar|tcheol|tchey|tcho|tchodar|tchodol|tchody|tchor	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
124	shtchy	SH+T+CH+Y	3	CH>Y	39	archytaiin|chetchy|chkchykoly|chokchy|chorchy|chpchy|chykchy|chykey|chypcham|dchchy|fachys|keeokechy|korchy|lchy|okaipchy|olchy|olkeechy|ollchy|oparchy|otchy|otolpchy|qetchy|qokeochy|qokokchy|qolchy|shechy|sheekchy|shokchy|ykychy|ypchy|zepchy	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
129	tocpheey	T+O+CH+P+EE+Y	1	T>O	18	chtos|ctho|cthoary|cthoor|octhody|socthody|toairy|tochol|tochso|todaiin|tos|yto|ytody|ytoeopchey|ytoiin	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
129	tocpheey	T+O+CH+P+EE+Y	2	O>CH	49	chcfhdy|cheockhy|cheocphy|chocfhey|chocfhy|chocthar|choctheeey|chocthey|chocthy|kochky|ocheol|ochey|ockhey|ockhy|ocphoraiin|octheol|octheolarl|octhody|octhole|octhor|octhyl|pchocthy|qocheey|qockhedy|qockhey|qockhol|qockhy|qocthey|qoctholy|qocthy|qokeochy|qopcholy|shocphedy|shocthy|socthody|tochol|tochso|ychocphy	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
129	tocpheey	T+O+CH+P+EE+Y	3	CH>P	39	chcphdy|chcphedy|chcphey|chcphy|checphedy|cheocphey|cheocphy|chlchpsheey|chpchy|chpor|chpsheedy|cphal|cphaldy|cphar|cphealy|cphedy|cpheeedol|cpheody|cphesaiin|cphey|cpho|cphodaiils|cphodal|cphol|cphor|cphoy|cphy|lchcphedy|lchpchdy|ocphoraiin|qocphey|shecphy|shocphedy|ychocphy	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
129	tocpheey	T+O+CH+P+EE+Y	4	P>EE	0	NONE	NEW_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
129	tocpheey	T+O+CH+P+EE+Y	5	EE>Y	203	archeey|ateey|cheeky|cheeteey|cheey|chkeey|chlchpsheey|choeey|chokeey|choteey|chteey|darchey|deey|doteey|fcheey|kcheey|keey|keeyfar|lcheey|lkeey|lsheey|okeeas|okeey|olkeey|oteey|oteeykeey|oteokeey|otoees|pydeey|qeey|qekeey|qeykeey|qocheey|qoeeeo|qoeey|qokcheey|qokeey|qokeeyl|qoteey|seey|sheey|shokcheey|shoteey|soeey|sokcheey|solkeey|teey|ycheey|ykeey|yoeteey|ysheey|yteey	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
130	todeeey	T+O+D_ADDR+EEE+Y	1	T>O	18	chtos|ctho|cthoary|cthoor|octhody|socthody|toairy|tochol|tochso|todaiin|tos|yto|ytody|ytoeopchey|ytoiin	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
130	todeeey	T+O+D_ADDR+EEE+Y	2	O>D_ADDR	114	cheeodam|cheeody|chekody|cheodain|chod|chodaiin|chodain|chodl|chody|cphodaiils|cphodal|ctheod|dairodain|darod|dod|fchodaiin|kchod|keeod|keeodaiin|keodar|kod|kodaiin|kodshey|lod|octhody|odaiim|odaiin|odain|odar|odchees|odl|odor|ods|okeeody|okeodaly|okeody|okodaiin|olsheody|opodchol|otcheodal|oteeodaiin|oteodar|otolodal|pchodol|podar|qodam|qodar|qodched|qodchy|qodcthy|qodeedy|qodom|qodor|qokeeod|qokeeody|qokeody|qokeoefy|qokod|sheody|sheshdy|shod|shodain|shodan|shodary|shorodo|socthody|sotodan|sqokeodaiin|talody|tchodar|tchodol|teodal|tshodeesy|ycheody|ychod|ykeodain|yokeody|ypod|ysheod	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
130	todeeey	T+O+D_ADDR+EEE+Y	3	D_ADDR>EEE	1	deeedy	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
130	todeeey	T+O+D_ADDR+EEE+Y	4	EEE>Y	12	choctheeey|doleeey|eteeey|oeeey|okeeey|qeeey|qokeeey|teeey|ykeeey	OLD26_DIRECT_INTERFACE	ADJACENT_ATOM_PAIR_ONLY__NOT_WHOLE_RECIPE_SUPPORT
