formula_card_id	component_recipe	portable_atomic_core_de	surface_variants	surface_variant_count	events_including_local	physical_pages	decision	teaching_rule_de
F021	OT+E+DY	DANACH · KURZ · SCHLIESSEN	otedy|qotedy	2	13	f75r|f81v|f82r|f83r	KEEP_AS_COMMON_LEARNED_CARD	Als Karte erkennen und im Ganzen sprechen.
F022	OT+EE+DY	DANACH · LÄNGER · SCHLIESSEN	qoteedy|oteedy	2	11	f70v|f75r|f82r|f83r	KEEP_AS_COMMON_LEARNED_CARD	Als Karte erkennen und im Ganzen sprechen.
F023	OT+EE+Y	DANACH · LÄNGER · DIES	oteey|qoteey	2	11	f69v|f70v|f75r|f82r	KEEP_AS_COMMON_LEARNED_CARD	Als Karte erkennen und im Ganzen sprechen.
F024	S+AR	AUSWÄHLEN · QUELLE	sar	1	11	f55v|f69v|f75r|f81v|f82r|f83r|f88r	KEEP_AS_COMMON_LEARNED_CARD	Als Karte erkennen und im Ganzen sprechen.
F025	CTH+Y	BEREIT · DIES	cthy|checthy	2	10	f10r|f11r|f56r|f75r|f83r	KEEP_AS_COMMON_LEARNED_CARD	Als Karte erkennen und im Ganzen sprechen.
F026	OT+OR	DANACH · SATZ	otor|qotor	2	10	f10r|f68r1|f70v|f83r|f88r	KEEP_AS_COMMON_LEARNED_CARD	Als Karte erkennen und im Ganzen sprechen.
F027	S+AIIN	AUSWÄHLEN · SOLLWERT	saiin|saii	2	10	f67r2|f70v|f75r|f81v|f83r|f88r	KEEP_AS_COMMON_LEARNED_CARD	Als Karte erkennen und im Ganzen sprechen.
F035	OK+OL	SETZEN · FORTSETZEN	qokol|okol|chokchol|chokol|okchol|qokchol	6	14	f10r|f11r|f56r|f67r2|f83r|f88r	KEEP_AS_COMMON_LEARNED_CARD	Als Karte erkennen und im Ganzen sprechen.
F036	OL+Y	FORTSETZEN · DIES	oly|olchey|choly|qoly|qolchey	5	14	f56r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r	KEEP_AS_COMMON_LEARNED_CARD	Als Karte erkennen und im Ganzen sprechen.
F039	OT+AL	DANACH · ZIEL	otal|qotal	2	11	f70v|f82r|f83r	KEEP_AS_COMMON_LEARNED_CARD	Als Karte erkennen und im Ganzen sprechen.
