statement_id	page	record	y_valent_recipe_sequence	formula_completed_recipe_sequence	observed_recipe_sequence_after_reveal	applied_rules	baseline_cards	formula_cards	observed_cards	baseline_exact	formula_exact	newly_fixed	newly_harmed
H5-S004	f56r	H5	OK+Y | OK+CH+E+O | K+AL	OK+Y | OK+CH+E+O | K+AL	OK+Y | OK+CH+E+O | K+AL	NONE	3	3	3	YES	YES	NO	NO
H5-S005	f56r	H5	HO | OK+Y | K+HO+AR | OT+O+AIN	HO | OK+Y | K+HO+AR | OT+O+AIN	HO | OK+Y | K+HO+AR | OT+O+AIN	NONE	4	4	4	YES	YES	NO	NO
H5-S006	f56r	H5	OT+Y | K+E+OL | AIIN	OT+Y | K+E+OL | AIIN	OT+Y | K+E+OL | AIIN	NONE	3	3	3	YES	YES	NO	NO
B1-S001	f81v	B1	OK+E+DY	OK+E+DY	OK+E+DY	NONE	1	1	1	YES	YES	NO	NO
B1-S002	f81v	B1	OK+AIIN | K+AIR | AL | AR | AIN | OL+K+AIN | R+OL | L | OL+OR | SH+E+CKH+AL | AIIN | OK+EE+Y | CKH+Y | CHD+DY	OK+AIIN | K+AIR | AL | AR | AIN | OL+K+AIN | R+OL | L | OL+OR | SH+E+CKH+AL | AIIN | OK+EE+Y | CKH+Y | CHD+DY	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY	NONE	14	14	19	NO	NO	NO	NO
B1-S003	f81v	B1	OL | SH+K+CHD+DY	OL | SH+K+CHD+DY	OL | SH+K+CHD+DY	NONE	2	2	2	YES	YES	NO	NO
B1-S004	f81v	B1	CHD+Y | OL | SHED+DY	CHD+Y | OL | SHED+DY	CHD+Y | OL | SHED+DY	NONE	3	3	3	YES	YES	NO	NO
B1-S005	f81v	B1	OL+CHD+DY	OL+CHD+DY	OL+CHD+DY	NONE	1	1	1	YES	YES	NO	NO
B1-S006	f81v	B1	OK+AIN | L+CKH+Y | R+AL	OK+AIN | L+CKH+Y | R+AL	OK+AIN | CKH+Y | L | R+AL	NONE	3	3	4	NO	NO	NO	NO
B1-S007	f81v	B1	OK+CHD+DY	OK+CHD+DY	OK+CHD+DY	NONE	1	1	1	YES	YES	NO	NO
B1-S008	f81v	B1	OL+Y | CHK+E+Y | OL | SHED+DY	OL+Y | CHK+E+Y | OL | SHED+DY	Y | OL | CHK+E+Y | OL | SHED+DY	NONE	4	4	5	NO	NO	NO	NO
B1-S009	f81v	B1	OK+E+DY	OK+E+DY	OK+E+DY	NONE	1	1	1	YES	YES	NO	NO
B1-S010	f81v	B1	OK+E+DY	OK+E+DY	OK+E+DY	NONE	1	1	1	YES	YES	NO	NO
B1-S011	f81v	B1	CKH+Y | OK+Y	CKH+Y | OK+Y	CKH+Y | OK+Y	NONE	2	2	2	YES	YES	NO	NO
B1-S012	f81v	B1	LSH+O | OK+E+Y | LSH+E+DY	LSH+O | OK+E+Y | LSH+E+DY	LSH+O | OK+E+Y | LSH+E+DY	NONE	3	3	3	YES	YES	NO	NO
B1-S013	f81v	B1	LSH+E+DY	LSH+E+DY	LSH+E+DY	NONE	1	1	1	YES	YES	NO	NO
B1-S014	f81v	B1	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	NONE	5	5	5	YES	YES	NO	NO
B1-S015	f81v	B1	E+T+Y | OK+CHD+DY	E+T+Y | OK+CHD+DY	T+E+Y | OK+CHD+DY	NONE	2	2	2	NO	NO	NO	NO
B1-S016	f81v	B1	OK+AL | OK+EE+Y | OL | SHED+DY	OK+AL | OK+EE+Y | OL | SHED+DY	OK+AL | OK+EE+Y | OL | SHED+DY	NONE	4	4	4	YES	YES	NO	NO
B1-S017	f81v	B1	AL | E+OL | CHD+DY	AL | E+OL | CHD+DY	AL | E+OL | CHD+DY	NONE	3	3	3	YES	YES	NO	NO
B1-S018	f81v	B1	L+Y | SH+E+OL | O+IIN | SOLK+EE+DY	L+Y | SH+E+OL | O+IIN | SOLK+EE+DY	L+Y | SH+E+OL | O+IIN | SOLK+EE+DY	NONE	4	4	4	YES	YES	NO	NO
B1-S019	f81v	B1	SHED+DY	SHED+DY	SHED+DY	NONE	1	1	1	YES	YES	NO	NO
B1-S020	f81v	B1	CHK+E+Y | SH+CKH+E+DY	CHK+E+Y | SH+CKH+E+DY	CHK+E+Y | SH+CKH+E+DY	NONE	2	2	2	YES	YES	NO	NO
B1-S021	f81v	B1	AL	AL	AL	NONE	1	1	1	YES	YES	NO	NO
B2-S001	f82r	B2	CHD+DY	CHD+DY	CHD+DY	NONE	1	1	1	YES	YES	NO	NO
B2-S002	f82r	B2	OL+CHD+DY	OL+CHD+DY	OL+CHD+DY	NONE	1	1	1	YES	YES	NO	NO
B2-S003	f82r	B2	OK+AIN | Y | OK+EE+DY	OK+AIN | Y | OK+EE+DY	OK+AIN | Y | OK+EE+DY	NONE	3	3	3	YES	YES	NO	NO
B2-S004	f82r	B2	OK+AL | CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	OK+AL | CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	NONE	5	5	5	NO	NO	NO	NO
B2-S005	f82r	B2	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	NONE	7	7	8	NO	NO	NO	NO
B2-S006	f82r	B2	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	NONE	4	4	4	YES	YES	NO	NO
B2-S007	f82r	B2	SH+E+DY	SH+E+DY	SH+E+DY	NONE	1	1	1	YES	YES	NO	NO
B2-S008	f82r	B2	OT+AIIN | OK+AR | SHED+DY	OT+AIIN | OK+AR | SHED+DY	OT+AIIN | OK+AR | SHED+DY	NONE	3	3	3	YES	YES	NO	NO
B2-S009	f82r	B2	OL+SH+E+DY	OL+SH+E+DY	OL+SH+E+DY	NONE	1	1	1	YES	YES	NO	NO
B2-S010	f82r	B2	OK+EE+Y | OK+EE+OL | SH	OK+EE+Y | OK+Y | OL | SH+EE+Y	OK+EE+Y | OK+Y | OL | SH+EE+Y	R2_STAGED_ACTIVATION_BEFORE_HOLD	3	4	4	NO	YES	YES	NO
B2-S011	f82r	B2	OK+AIN | AR | OK+AIN | OK+EE+DY	OK+AIN | AR | OK+AIN | OK+EE+DY	OK+AIN | AR | OK+AIN | OK+EE+DY	NONE	4	4	4	YES	YES	NO	NO
B2-S012	f82r	B2	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | OK+EEE+DY	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | OK+EEE+DY	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | Y | OK+EEE+DY	NONE	7	7	8	NO	NO	NO	NO
B2-S013	f82r	B2	L+CHD+DY	L+CHD+DY	L+CHD+DY	NONE	1	1	1	YES	YES	NO	NO
B2-S014	f82r	B2	L+AR	L+AR	L+AR	NONE	1	1	1	YES	YES	NO	NO
B2-S015	f82r	B2	SH+E+Y | OK+EE+DY	SH+E+Y | OK+EE+DY	SH+E+Y | OK+EE+DY	NONE	2	2	2	YES	YES	NO	NO
B2-S016	f82r	B2	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | AIIN | OK+E+Y | P+CHD+DY	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | AIIN | OK+E+Y | P+CHD+DY	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+DY	NONE	8	8	8	NO	NO	NO	NO
B2-S017	f82r	B2	R+SH+E+AL | AL+DY	R+SH+E+AL | AL+DY	R+SH+E+AL | AL+DY	NONE	2	2	2	YES	YES	NO	NO
B2-S018	f82r	B2	OK+EE+DY	OK+EE+DY	OK+EE+DY	NONE	1	1	1	YES	YES	NO	NO
B2-S019	f82r	B2	R+SHED+DY	R+SHED+DY	R+SHED+DY	NONE	1	1	1	YES	YES	NO	NO
B2-S020	f82r	B2	OT+EE+DY	OT+EE+DY	OT+EE+DY	NONE	1	1	1	YES	YES	NO	NO
B2-S021	f82r	B2	OK+EE+DY	OK+EE+DY	OK+EE+DY	NONE	1	1	1	YES	YES	NO	NO
B2-S022	f82r	B2	L+O+CHD+DY	L+O+CHD+DY	L+O+CHD+DY	NONE	1	1	1	YES	YES	NO	NO
B3-S001	f83r	B3	SOLK+EE+DY	SOLK+EE+DY	SOLK+EE+DY	NONE	1	1	1	YES	YES	NO	NO
B3-S002	f83r	B3	OT+AL | CHK+EE+DY	OT+AL | CHK+EE+DY	OT+AL | CHK+EE+DY	NONE	2	2	2	YES	YES	NO	NO
B3-S003	f83r	B3	Y | AIIN | L+CHD+DY	Y | AIIN | Y | L+CHD+DY	Y | AIIN | Y | L+CHD+DY	R1_MEASURED_ITEM_BEFORE_CLOSED_TRANSFER	3	4	4	NO	YES	YES	NO
B3-S004	f83r	B3	OK+AIIN | OT+AL | AR	OK+AIIN | OT+AL | AR	OK+AIIN | OT+AL | AR	NONE	3	3	3	YES	YES	NO	NO
B3-S005	f83r	B3	CHD+DY	CHD+DY	CHD+DY	NONE	1	1	1	YES	YES	NO	NO
B3-S006	f83r	B3	CHD+Y | OK+AL | OL+CHD+DY	CHD+Y | OK+AL | OL+CHD+DY	CHD+Y | OK+AL | OL+CHD+DY	NONE	3	3	3	YES	YES	NO	NO
B3-S007	f83r	B3	OK+AIIN | CHD+Y | OK+EE+DY	OK+AIIN | CHD+Y | OK+EE+DY	OK+AIIN | CHD+Y | OK+EE+DY	NONE	3	3	3	YES	YES	NO	NO
B3-S008	f83r	B3	L+CHD+DY	L+CHD+DY	L+CHD+DY	NONE	1	1	1	YES	YES	NO	NO
B3-S009	f83r	B3	OK+Y	OK+Y	OK+Y	NONE	1	1	1	YES	YES	NO	NO
B3-S010	f83r	B3	P+CHD+AL | OT+E+DY	P+CHD+AL | OT+E+DY	P+CHD+AL | OT+E+DY	NONE	2	2	2	YES	YES	NO	NO
B3-S011	f83r	B3	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR+Y	NONE	4	4	4	NO	NO	NO	NO
B3-S012	f83r	B3	OR | SHED+DY	OR | SHED+DY	OR | SHED+DY	NONE	2	2	2	YES	YES	NO	NO
B3-S013	f83r	B3	OK+AIIN | K+AIN | CTH+E+Y | OK+E+DY	OK+AIIN | K+AIN | CTH+E+Y | OK+E+DY	OK+AIIN | K+AIN | CTH+E+Y | OK+E+DY	NONE	4	4	4	YES	YES	NO	NO
B3-S014	f83r	B3	OK+AIR | SH+EE+DY	OK+AIR | SH+EE+DY	OK+AIR | SH+EE+DY	NONE	2	2	2	YES	YES	NO	NO
B3-S015	f83r	B3	L+CHD+DY	L+CHD+DY	L+CHD+DY	NONE	1	1	1	YES	YES	NO	NO
B3-S016	f83r	B3	L+O | OK+CHD+DY	L+O | OK+CHD+DY	L+O | OK+CHD+DY	NONE	2	2	2	YES	YES	NO	NO
B3-S017	f83r	B3	OK+EE+DY	OK+EE+DY	OK+EE+DY	NONE	1	1	1	YES	YES	NO	NO
B3-S018	f83r	B3	SHED+DY	SHED+DY	SHED+DY	NONE	1	1	1	YES	YES	NO	NO
B3-S019	f83r	B3	OK+SH+E+DY	OK+SH+E+DY	OK+SH+E+DY	NONE	1	1	1	YES	YES	NO	NO
B3-S020	f83r	B3	AL | L+CHD+DY	AL | L+CHD+DY	AL | L+CHD+DY	NONE	2	2	2	YES	YES	NO	NO
B3-S021	f83r	B3	OK+AIIN | CTH+Y | AL | AIIN | UNPACKED(SHED) | SH+E+CTH+Y | AL | CTH+Y | CHD+DY	OK+AIIN | CTH+Y | AL | AIIN | UNPACKED(SHED) | SH+E+CTH+Y | AL | CTH+Y | CHD+DY	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | SH+E+CTH+Y | Y | AL | CTH+Y | AL+CHD+DY	NONE	9	9	11	NO	NO	NO	NO
B3-S022	f83r	B3	OT+CHD+DY	OT+CHD+DY	OT+CHD+DY	NONE	1	1	1	YES	YES	NO	NO
B3-S023	f83r	B3	L+CHD+DY	L+CHD+DY	L+CHD+DY	NONE	1	1	1	YES	YES	NO	NO
B3-S024	f83r	B3	CHD+DY	CHD+DY	CHD+DY	NONE	1	1	1	YES	YES	NO	NO
B3-S025	f83r	B3	OK+CHD+DY	OK+CHD+DY	OK+CHD+DY	NONE	1	1	1	YES	YES	NO	NO
B3-S026	f83r	B3	EE+AR | L+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+R+OR | SOLK+EE+DY	EE+AR | L+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+R+OR | SOLK+EE+DY	EE+AR | L+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+R+OR | SOLK+EE+DY	NONE	7	7	7	YES	YES	NO	NO
B3-S027	f83r	B3	OT+EE+DY	OT+EE+DY	OT+EE+DY	NONE	1	1	1	YES	YES	NO	NO
B3-S028	f83r	B3	OK+EE+Y | OK+E+DY	OK+EE+Y | OK+E+DY	OK+EE+Y | OK+E+DY	NONE	2	2	2	YES	YES	NO	NO
B3-S029	f83r	B3	OL | EEE+T+Y | OK+E+DY	OL | EEE+T+Y | OK+E+DY	OL | EEE+T+Y | OK+E+DY	NONE	3	3	3	YES	YES	NO	NO
B3-S030	f83r	B3	Y | OK+AIIN | CHD+AIR | OT+CHD+DY	Y | OK+AIIN | CHD+AIR | OT+CHD+DY	OK+Y | AIIN | CHD+AIR | OT+CHD+DY	NONE	4	4	4	NO	NO	NO	NO
B3-S031	f83r	B3	OK+EE+DY	OK+EE+DY	OK+EE+DY	NONE	1	1	1	YES	YES	NO	NO
B3-S032	f83r	B3	AIN | CHD+Y | OT+E+AIIN | OT+E+AIIN | UNPACKED(DY)	AIN | CHD+Y | OT+E+AIIN | OT+E+AIIN | UNPACKED(DY)	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+DY	NONE	5	5	5	NO	NO	NO	NO
B3-S033	f83r	B3	L+DY	L+DY	L+DY	NONE	1	1	1	YES	YES	NO	NO
B3-S034	f83r	B3	O+IIN | CTH+Y | T+Y | OT+AIIN | OL+AL+Y | SHED+DY	O+IIN | CTH+Y | T+Y | OT+AIIN | OL+AL+Y | SHED+DY	O+IIN | CTH+Y | T+Y | OT+AIIN | OL+AL+Y | SHED+DY	NONE	6	6	6	YES	YES	NO	NO
B4-S001	f83r	B4	OK+EE+DY	OK+EE+DY	OK+EE+DY	NONE	1	1	1	YES	YES	NO	NO
B4-S002	f83r	B4	Y | OK+EE+OL | OK+E+DY	Y | OK+EE+OL | OK+E+DY	OL+Y | OK+EE+Y | OK+E+DY	NONE	3	3	3	NO	NO	NO	NO
B4-S003	f83r	B4	CHD+Y | OT+AL | OT+EE+Y | OK+OL | OK+OL | SHED+DY	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+DY	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+DY	R3_STAGED_ACTIVATION_AFTER_NEXT_TARGET	6	7	7	NO	YES	YES	NO
B4-S004	f83r	B4	OK+Y+LD+DY	OK+Y+LD+DY	OK+Y+LD+DY	NONE	1	1	1	YES	YES	NO	NO
B4-S005	f83r	B4	AIN | CHD+Y | OK+EE+DY	AIN | CHD+Y | OK+EE+DY	AIN | CHD+Y | OK+EE+DY	NONE	3	3	3	YES	YES	NO	NO
B4-S006	f83r	B4	SH+CKH+E+DY	SH+CKH+E+DY	SH+CKH+E+DY	NONE	1	1	1	YES	YES	NO	NO
B4-S007	f83r	B4	SH+CKH+E+DY	SH+CKH+E+DY	SH+CKH+E+DY	NONE	1	1	1	YES	YES	NO	NO
B4-S008	f83r	B4	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+DY	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+DY	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+DY	NONE	4	4	4	YES	YES	NO	NO
B4-S009	f83r	B4	SHED+DY	SHED+DY	SHED+DY	NONE	1	1	1	YES	YES	NO	NO
B4-S010	f83r	B4	OL+DY	OL+DY	OL+DY	NONE	1	1	1	YES	YES	NO	NO
B4-S011	f83r	B4	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+K+E+DY	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+K+E+DY	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+K+E+DY	NONE	7	7	7	YES	YES	NO	NO
B4-S012	f83r	B4	L+CHD+DY	L+CHD+DY	L+CHD+DY	NONE	1	1	1	YES	YES	NO	NO
B4-S013	f83r	B4	OK+OL | SHED+DY	OK+OL | SHED+DY	OK+OL | SHED+DY	NONE	2	2	2	YES	YES	NO	NO
B4-S014	f83r	B4	OR | O+CKH+E+Y | AIR+Y+DY	OR | O+CKH+E+Y | AIR+Y+DY	OR | Y | O+CKH+E+Y | AIR+Y+DY	NONE	3	3	4	NO	NO	NO	NO
B4-S015	f83r	B4	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | SOLK+E+Y | L+CHD+DY	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | SOLK+E+Y | L+CHD+DY	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | SOLK+E+Y | L+CHD+DY	NONE	6	6	6	YES	YES	NO	NO
B4-S016	f83r	B4	OL+K+AIN | AL | AR | SHED+DY	OL+K+AIN | AL | AR | SHED+DY	OL+K+AIN | AL | K+AR | SHED+DY	NONE	4	4	4	NO	NO	NO	NO
B5-S001	f83r	B5	OT+CHD+DY	OT+CHD+DY	OT+CHD+DY	NONE	1	1	1	YES	YES	NO	NO
B5-S002	f83r	B5	OK+CHD+DY	OK+CHD+DY	OK+CHD+DY	NONE	1	1	1	YES	YES	NO	NO
B5-S003	f83r	B5	SHED+AL | L+OL | OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y	SHED+AL | L+OL | OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y	NONE	8	8	9	NO	NO	NO	NO
B6-S001	f83r	B6	SOLK+EE+Y | K+E+Y | R+AL | AIIN | OL | AIN | L+AL+OR	SOLK+EE+Y | K+E+Y | R+AL | AIIN | OL | AIN | L+AL+OR	SOLK+EE+Y | E+K+E+Y | R+AL+Y | OL | AIIN | OL | AIN | Y | L+AL+OR	NONE	7	7	9	NO	NO	NO	NO
