category_id	category_type	graphic_signs	short_value_de	syntax_role	apprentice_rule_de	forbidden_overreading_de	running_atom_mentions	teaching_order
CORE_12	PORTABLE_CORE	CHD	UMSETZEN	HANDLUNG	den aktiven Posten in den nächsten lokalen Arbeitszustand umsetzen	kein bestimmter technischer Prozess	256	II_COMMON
CORE_13	PORTABLE_CORE	OR	EINHEIT	ARGUMENT	die Handlung auf die laufende Artikel-, Stations-, Eintrags- oder Arbeitsgruppe beziehen	nicht überall Ansatz oder Mischung	228	II_COMMON
CORE_14	PORTABLE_CORE	L	VERBINDUNG	RELATION	die eingeschlossene oder folgende Handlung über eine lokale Verbindung lesen	keine Richtung	238	II_COMMON
CORE_15	PORTABLE_CORE	T	EINSTELLEN	HANDLUNG	Posten, Anteil, Wert, Grad oder Ort einstellen	kein bestimmtes Gerät	227	II_COMMON
CORE_16	PORTABLE_CORE	AIN	ANTEIL	ARGUMENT	einen Pflanzen-, Stations-, Sektor- oder Zutatenanteil verwenden	nicht überall Portion	187	II_COMMON
CORE_17	PORTABLE_CORE	R	MARKIEREN	HANDLUNG	den folgenden Wert oder den gesetzten lokalen Platz markieren	kein bestimmtes Schriftzeichen	103	II_COMMON
CORE_18	PORTABLE_CORE	P	EINSETZEN	HANDLUNG	den bezeichneten Posten oder Anteil in den laufenden Gang einsetzen	kein bestimmter Empfänger	123	II_COMMON
CORE_19	PORTABLE_CORE	AIR	LAUF	RELATION	die Handlung an den bezeichneten Lauf binden	nicht automatisch Wasser oder Richtung	38	III_RARE
CONTROL_01	FORMAL_CONTROL	E	GRAD I	STEUERUNG	erste oder niedrige Stufe der aktiven Handlung	kein universelles kurz, kalt oder leicht	832	I_DAILY
CONTROL_02	FORMAL_CONTROL	EE	GRAD II	STEUERUNG	zweite oder höhere Stufe derselben Handlung	kein universelles lang, warm oder stark	466	I_DAILY
CONTROL_03	FORMAL_CONTROL	EEE	GRAD III	STEUERUNG	dritte oder volle Stufe derselben Handlung	kein automatischer Schluss	23	III_RARE
CONTROL_04	FORMAL_CONTROL	DY	SCHLUSS	STEUERUNG	nur in einer lizenzierten Endkarte den Teilgang schließen	sichtbares dy nicht global als Schluss zerlegen	568	I_DAILY
CONTROL_05	FORMAL_CONTROL	O	AUSFÜHRUNG	STEUERUNG	die lokal aktive Handlung ausführen	kein eigenes Stoff- oder Aktionswort	536	I_DAILY
CONTROL_06	FORMAL_CONTROL	CARRIER_Q	BEGINNMARKER	STEUERUNG	einen neuen lokalen Eintrag oder Gang eröffnen	kein Laut- oder Inhaltswert	60	II_COMMON
CONTROL_07	FORMAL_CONTROL	IIN	STUFE	STEUERUNG	eine benannte Arbeits- oder Diagrammstufe wählen	nicht mit AIIN=WERT verschmelzen	37	III_RARE
CONTROL_08	FORMAL_CONTROL	DA	ZWEITE STUFE	STEUERUNG	einen zweiten lokalen Gang oder Platz anzeigen	nicht automatisch danach oder Gefäß	34	III_RARE
CHANNEL_01	LOCAL_CHANNEL	D_ADDR|AM_ADDR|A_ADDR|S_ADDR|LOCAL_CHAR_F|D_LABEL|S_LABEL|M_LOCAL|Z_ADDR	HIER	LOCAL_PLACE	den lokal bezeichneten Bild-, Tabellen-, Rand- oder Nebenplatz nehmen	kein portables Nomen aus der lokalen Zeichenform erzeugen	473	I_DAILY
CHANNEL_02	LOCAL_CHANNEL	G_LABEL|LOCAL_CHAR_G|LOCAL_CHAR_I|LOCAL_CHAR_B|LOCAL_CHAR_J|LOCAL_CHAR_Z	VARIANTE	LOCAL_INDEX	die lokal markierte Variante, Paarung oder Unterstufe nehmen	kein portables Nomen aus der lokalen Zeichenform erzeugen	24	III_RARE
CHANNEL_03	LOCAL_CHANNEL	HO|AN	KLASSE	LOCAL_CLASS	die lokale Stoff-, Zusatz- oder Eintragsklasse übernehmen	kein portables Nomen aus der lokalen Zeichenform erzeugen	23	III_RARE
CHANNEL_04	LOCAL_CHANNEL	OS|RESUME_CARD	VORBEZUG	LOCAL_REFERENCE	den vorausgesetzten Besitzer oder laufenden Gang wieder aufnehmen	kein portables Nomen aus der lokalen Zeichenform erzeugen	7	III_RARE
