statement_id	record_unit_id	visible_owner	source_instruction_chain_de	encoded_master_sequence	rendered_visible_sequence	decoded_master_sequence	decoded_instruction_chain_de	roundtrip_status	complete_local_translation_de
H4-S002	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	Sollmaß | überführen | Verwahrort	MC039 MC074 MC160	daiin chedy talam	MC039 MC074 MC160	Sollmaß | überführen | Verwahrort	PASS	Die Sollmenge überführen und am Verwahrort ablegen.
H4-S003	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	Sollportion | Auszug aus der Quelle | länger bearbeiten | fertig	MC170 MC085 MC032 MC019	ykaiin cheoar cheeky oldy	MC170 MC085 MC032 MC019	Sollportion | Auszug aus der Quelle | länger bearbeiten | fertig	PASS	Eine Sollportion aus dem Quellauszug nehmen, länger bearbeiten und fertigstellen.
H4-S004	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	Sollmaß | dorthin einsetzen | die laufende Bereitung fortsetzen | Ansatz | dies | Bereitungsanteil	MC039 MC040 MC021 MC080 MC123 MC072	aiin okal oltchy or y orain	MC039 MC040 MC021 MC080 MC123 MC072	Sollmaß | dorthin einsetzen | die laufende Bereitung fortsetzen | Ansatz | dies | Bereitungsanteil	PASS	Das Sollmaß am Ziel einsetzen und aus diesem Ansatz mit dem Bereitungsanteil die Folgezubereitung bilden.
H5-S001	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	Zugabeansatz | EINGABE_ODER_BEDINGUNG | Zugabe am aktuellen Ziel | Sollmaß | EINGABE_ODER_BEDINGUNG | weiter bearbeiten | Folgeansatz | einsetzen | dorthin	MC125 MC034 MC010 MC039 MC034 MC090 MC013 MC026 MC154	chochor cho chodaly daiin sho kchol otchor choky dal	MC125 MC034 MC010 MC039 MC034 MC090 MC013 MC026 MC154	Zugabeansatz | EINGABE_ODER_BEDINGUNG | Zugabe am aktuellen Ziel | Sollmaß | EINGABE_ODER_BEDINGUNG | weiter bearbeiten | Folgeansatz | einsetzen | dorthin	PASS	Einen Zugabeansatz herstellen, die weitere Zutat als Zielzugabe auf Sollmaß bringen, den Folgeansatz weiter bearbeiten, einsetzen und dorthin führen.
H5-S002	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	vom vorigen Arbeitsgang nehmen | aktuelle Zutat | einsetzen | auftragen; Schluss	MC142 MC131 MC026 MC099	schol choy choky cheeckhody	MC142 MC131 MC026 MC099	vom vorigen Arbeitsgang nehmen | aktuelle Zutat | einsetzen | auftragen; Schluss	PASS	Vom vorigen Ansatz den Zugabeposten nehmen, einsetzen und an der Zielstelle auftragen; Schluss.
H5-S003	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	Stängel | EINGABE_ODER_BEDINGUNG | den laufenden Posten kurz bearbeiten | denselben Posten erneut einsetzen	MC114 MC034 MC122 MC015	sh cho kchey qokokchy	MC114 MC034 MC122 MC015	Stängel | EINGABE_ODER_BEDINGUNG | den laufenden Posten kurz bearbeiten | denselben Posten erneut einsetzen	PASS	Den Stängel und eine weitere Zutat kurz bearbeiten und erneut einsetzen.
H5-S004	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	den laufenden Posten einsetzen und weiterbearbeiten | Auszug einsetzen | an der Zielstelle bearbeiten	MC103 MC006 MC077	okchy chokcheo kchal	MC103 MC006 MC077	den laufenden Posten einsetzen und weiterbearbeiten | Auszug einsetzen | an der Zielstelle bearbeiten	PASS	Weiterbearbeiten, den Auszug einsetzen und an der Zielstelle verteilen.
H5-S005	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	EINGABE_ODER_BEDINGUNG | den laufenden Posten einsetzen und weiterbearbeiten | bearbeiteter Quellauszug | zur Folgeanwendung weiterführen	MC034 MC103 MC136 MC068	sho chokchy kchoar sotodan	MC034 MC103 MC136 MC068	EINGABE_ODER_BEDINGUNG | den laufenden Posten einsetzen und weiterbearbeiten | bearbeiteter Quellauszug | zur Folgeanwendung weiterführen	PASS	Eine weitere Zutat mit dem bearbeiteten Quellauszug weiterbearbeiten und zur Folgeanwendung weiterführen.
H5-S006	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	das nächste | kurz weiterbearbeiten | Sollmaß	MC171 MC104 MC039	otchey keol daiin	MC171 MC104 MC039	das nächste | kurz weiterbearbeiten | Sollmaß	PASS	Zum nächsten Posten wechseln, kurz weiterbearbeiten und auf Sollmaß bringen.
B1-S001	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	kurz einwirken; Schluss	MC083	qokedy	MC083	kurz einwirken; Schluss	PASS	Kurz einwirken lassen; Schluss.
B1-S002	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	bemessen | Beckenlauf | dorthin einsetzen | davon | weiter | Portion | weiterer Anteil | dorthin | weiter | Anschluss | Zusatz | derselbe Ansatz | weiter | Kurze Zielpassage | Sollmaß | Langer Zieleinsatz | Sollmaß | durchleiten | überführen; Schluss	MC120 MC023 MC040 MC055 MC153 MC105 MC097 MC154 MC153 MC016 MC012 MC157 MC153 MC058 MC039 MC096 MC039 MC035 MC025	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	MC120 MC023 MC040 MC055 MC153 MC105 MC097 MC154 MC153 MC016 MC012 MC157 MC153 MC058 MC039 MC096 MC039 MC035 MC025	bemessen | Beckenlauf | dorthin einsetzen | davon | weiter | Portion | weiterer Anteil | dorthin | weiter | Anschluss | Zusatz | derselbe Ansatz | weiter | Kurze Zielpassage | Sollmaß | Langer Zieleinsatz | Sollmaß | durchleiten | überführen; Schluss	PASS	Eine Portion ansetzen, den Posten lang einwirken lassen und über den Fortsetzungsweg weitergeben.
B1-S003	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	weiter | übertragen; Schluss	MC153 MC061	qol sshkchdy	MC153 MC061	weiter | übertragen; Schluss	PASS	Weiterführen und übertragen; Schluss.
B1-S004	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	überführen | weiter | kurz absetzen; Schluss	MC074 MC153 MC128	chedy ol shedy	MC074 MC153 MC128	überführen | weiter | kurz absetzen; Schluss	PASS	Überführen, weiterführen und kurz absetzen lassen; Schluss.
B1-S005	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	weiterführen; Schluss	MC028	qolchedy	MC028	weiterführen; Schluss	PASS	Weiterführen; Schluss.
B1-S006	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	Anteil zugeben | durchleiten | Zusatz | Zielmarke	MC017 MC035 MC012 MC056	qokain shckhy dl ral	MC017 MC035 MC012 MC056	Anteil zugeben | durchleiten | Zusatz | Zielmarke	PASS	Einen Anteil zugeben, durchleiten und den Zusatz an der Zielmarke halten.
B1-S007	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	neuen Posten einsetzen; Schluss	MC088	qokchdy	MC088	neuen Posten einsetzen; Schluss	PASS	Einen neuen Posten in die offene Zielstelle einsetzen; Schluss.
B1-S008	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	dies | weiter | kurz wärmen | weiter | kurz absetzen; Schluss	MC123 MC153 MC147 MC153 MC128	chey ol cheky ol shedy	MC123 MC153 MC147 MC153 MC128	dies | weiter | kurz wärmen | weiter | kurz absetzen; Schluss	PASS	Diesen Posten weiterführen, kurz wärmen, nochmals weiterführen und kurz absetzen lassen; Schluss.
B1-S009	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	kurz einwirken; Schluss	MC083	qokedy	MC083	kurz einwirken; Schluss	PASS	Kurz einwirken lassen; Schluss.
B1-S010	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	kurz einwirken; Schluss	MC083	qokedy	MC083	kurz einwirken; Schluss	PASS	Kurz einwirken lassen; Schluss.
B1-S011	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	durchleiten | einsetzen	MC035 MC026	chckhy qoky	MC035 MC026	durchleiten | einsetzen	PASS	Durch den verbundenen Gang leiten und einsetzen.
B1-S012	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	Waschgang | KURZ_SETZEN | Waschgang; Schluss	MC130 MC007 MC038	lsho qokey lshedy	MC130 MC007 MC038	Waschgang | KURZ_SETZEN | Waschgang; Schluss	PASS	Waschen, kurz einwirken lassen und nochmals waschen; Schluss.
B1-S013	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	Waschgang; Schluss	MC038	lshedy	MC038	Waschgang; Schluss	PASS	Einen Waschgang ausführen; Schluss.
B1-S014	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	überführen | Weiterweg | Zielabführung | weiter | Folgequelle	MC074 MC134 MC051 MC153 MC121	chedy qolky lchedal qol otar	MC074 MC134 MC051 MC153 MC121	überführen | Weiterweg | Zielabführung | weiter | Folgequelle	PASS	Überführen, über den Weiterweg an der Zielstelle abführen und zur Folgequelle weitergehen.
B1-S015	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	Kurzteil | vorigen Posten überführen; Schluss	MC109 MC005	ytey okchedy	MC109 MC005	Kurzteil | vorigen Posten überführen; Schluss	PASS	Den kurzen Teil aus der eben gesetzten Quelle als vorigen Posten überführen; Schluss.
B1-S016	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	dorthin einsetzen | LAENGER_SETZEN_ODER_HALTEN | weiter | kurz absetzen; Schluss	MC040 MC002 MC153 MC128	qokal okeey qol cheedy	MC040 MC002 MC153 MC128	dorthin einsetzen | LAENGER_SETZEN_ODER_HALTEN | weiter | kurz absetzen; Schluss	PASS	Am Ziel einsetzen, länger einwirken lassen, weiterführen und kurz absetzen lassen; Schluss.
B1-S017	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	dorthin | kurz weiterführen | Transfer; Schluss	MC154 MC106 MC139	sal teol dchdy	MC154 MC106 MC139	dorthin | kurz weiterführen | Transfer; Schluss	PASS	Dorthin bringen, kurz weiterführen und übertragen; Schluss.
B1-S018	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	Auffanggefäß | Kurzhalt | Arbeitsstufe | lange sammeln; Schluss	MC118 MC076 MC033 MC045	ly dsheol oiiin olkeedy	MC118 MC076 MC033 MC045	Auffanggefäß | Kurzhalt | Arbeitsstufe | lange sammeln; Schluss	PASS	Im Auffanggefäß kurz halten, die Arbeitsstufe setzen und länger auffangen; Schluss.
B1-S019	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	kurz absetzen; Schluss	MC128	tedy	MC128	kurz absetzen; Schluss	PASS	Kurz absetzen lassen; Schluss.
B1-S020	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	kurz wärmen | durchlassen; Schluss	MC147 MC143	cheky shckhedy	MC147 MC143	kurz wärmen | durchlassen; Schluss	PASS	Kurz wärmen und durchlassen; Schluss.
B1-S021	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	dorthin	MC154	chal	MC154	dorthin	PASS	Dorthin bringen.
B2-S001	B2	obere Paarbecken-/Zylinderstation	überführen; Schluss	MC025	dchedy	MC025	überführen; Schluss	PASS	In die obere Paarbeckenstation überführen; Schluss.
B2-S002	B2	obere Paarbecken-/Zylinderstation	weiterführen; Schluss	MC028	qolchedy	MC028	weiterführen; Schluss	PASS	Durch die obere Station weiterführen; Schluss.
B2-S003	B2	obere Paarbecken-/Zylinderstation	Anteil zugeben | dies | lange einwirken; Schluss	MC017 MC123 MC082	qokain dy qokeedy	MC017 MC123 MC082	Anteil zugeben | dies | lange einwirken; Schluss	PASS	Einen Anteil zugeben, diesen Posten länger einwirken lassen; Schluss.
B2-S004	B2	obere Paarbecken-/Zylinderstation	dorthin einsetzen | Abführpassage | Abführung | LAENGER_SETZEN_ODER_HALTEN | Trennabzug; Schluss	MC040 MC168 MC127 MC002 MC133	qokal lcheckhy lched qokeey lcheckhedy	MC040 MC168 MC127 MC002 MC133	dorthin einsetzen | Abführpassage | Abführung | LAENGER_SETZEN_ODER_HALTEN | Trennabzug; Schluss	PASS	Am Ziel einsetzen, durch die Abführpassage führen, abführen, länger einwirken lassen und getrennt abziehen; Schluss.
B2-S005	B2	obere Paarbecken-/Zylinderstation	Zieleinsatz | Sollsammlung | durchleiten | bemessen | bemessen | Fortsetzung vorbereiten | Langwärmen | abziehen; Schluss	MC054 MC036 MC035 MC120 MC120 MC112 MC166 MC004	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	MC054 MC036 MC035 MC120 MC120 MC112 MC166 MC004	Zieleinsatz | Sollsammlung | durchleiten | bemessen | bemessen | Fortsetzung vorbereiten | Langwärmen | abziehen; Schluss	PASS	Am Ziel einsetzen, bis zum Soll sammeln, durchleiten, am Zeilenübergang einmal bemessen, die Fortsetzung vorbereiten, länger wärmen und abziehen; Schluss.
B2-S006	B2	obere Paarbecken-/Zylinderstation	Langfolge | dorthin einsetzen | Kurzpassage | einsetzen	MC063 MC040 MC132 MC026	oteey qokal sheckhy qoky	MC063 MC040 MC132 MC026	Langfolge | dorthin einsetzen | Kurzpassage | einsetzen	PASS	Die lange Folge ausführen, dorthin einsetzen, durch die kurze Passage führen und einsetzen.
B2-S007	B2	mittlere linke Geräte-/Inline-Knotenstation	Frischwasser zugeben; Schluss	MC138	dshedy	MC138	Frischwasser zugeben; Schluss	PASS	An der mittleren linken Knotenstation Frischwasser zugeben; Schluss.
B2-S008	B2	mittlere linke Geräte-/Inline-Knotenstation	Folgemaß | Quelleinsatz | kurz absetzen; Schluss	MC060 MC044 MC128	sotaiin qokar shedy	MC060 MC044 MC128	Folgemaß | Quelleinsatz | kurz absetzen; Schluss	PASS	Das Folgemaß aus der Quelle einsetzen und kurz absetzen lassen; Schluss.
B2-S009	B2	mittlere linke Geräte-/Inline-Knotenstation	Folgeabsetzen; Schluss	MC149	solshedy	MC149	Folgeabsetzen; Schluss	PASS	Den Folgeposten absetzen lassen; Schluss.
B2-S010	B2	mittlere linke Geräte-/Inline-Knotenstation	LAENGER_SETZEN_ODER_HALTEN | einsetzen | Auslass | Klarlauf	MC002 MC026 MC065 MC119	qokeey qoky ls cheey	MC002 MC026 MC065 MC119	LAENGER_SETZEN_ODER_HALTEN | einsetzen | Auslass | Klarlauf	PASS	Länger einwirken lassen, einsetzen und den klaren Auszug zum Auslass führen.
B2-S011	B2	ungelöste mittlere rechte Linie-/Liegepodeststation	Anteil zugeben | davon | Anteil zugeben | lange einwirken; Schluss	MC017 MC055 MC017 MC082	okain char okain qokeedy	MC017 MC055 MC017 MC082	Anteil zugeben | davon | Anteil zugeben | lange einwirken; Schluss	PASS	An der mittleren rechten Station einen Anteil zugeben, davon einen weiteren Anteil nehmen und länger einwirken lassen; Schluss.
B2-S012	B2	ungelöste mittlere rechte Linie-/Liegepodeststation	Abführgut | Klarlauf | kurz vorbereiten | LAENGER_SETZEN_ODER_HALTEN | Klarabzug | Sollmaß | dies | Volleinsatz; Schluss	MC008 MC119 MC073 MC002 MC066 MC039 MC123 MC140	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	MC008 MC119 MC073 MC002 MC066 MC039 MC123 MC140	Abführgut | Klarlauf | kurz vorbereiten | LAENGER_SETZEN_ODER_HALTEN | Klarabzug | Sollmaß | dies | Volleinsatz; Schluss	PASS	Das Abführgut als klaren Auszug kurz vorbereiten, länger einwirken lassen, klar abziehen, auf Sollmaß bringen und den aktuellen Posten vollständig einsetzen; Schluss.
B2-S013	B2	unteres grünes Mehrfigurenfeld	abführen; Schluss	MC155	lchedy	MC155	abführen; Schluss	PASS	In das untere grüne Mehrfigurenfeld abführen; Schluss.
B2-S014	B2	unteres grünes Mehrfigurenfeld	Quellabzug	MC029	lar	MC029	Quellabzug	PASS	Aus der Quelle abziehen.
B2-S015	B2	lokale Randstationen des unteren Feldes	Folgeklarlauf | lange einwirken; Schluss	MC141 MC082	tshey qokeedy	MC141 MC082	Folgeklarlauf | lange einwirken; Schluss	PASS	An der lokalen Randstation den Folgeklarlauf länger einwirken lassen; Schluss.
B2-S016	B2	lokale Randstationen des unteren Feldes	dorthin | Quellabführung | teilen | Sollmaß | Langfolge | bemessen | KURZ_SETZEN | Zuführung; Schluss	MC154 MC011 MC152 MC039 MC063 MC120 MC007 MC070	cheal lchedar ches aiin oteey qokaiin okey pchedy	MC154 MC011 MC152 MC039 MC063 MC120 MC007 MC070	dorthin | Quellabführung | teilen | Sollmaß | Langfolge | bemessen | KURZ_SETZEN | Zuführung; Schluss	PASS	Dorthin führen, aus der Quelle abführen, teilen, auf Sollmaß bringen, die lange Folge bemessen, kurz einwirken lassen und zuführen; Schluss.
B2-S017	B2	lokale Randstationen des unteren Feldes	Kurzhalt am Ziel | Zielschluss	MC102 MC079	rsheal daldy	MC102 MC079	Kurzhalt am Ziel | Zielschluss	PASS	Am Ziel kurz halten und den Zielschritt schließen.
B2-S018	B2	lokale Randstationen des unteren Feldes	lange einwirken; Schluss	MC082	qokeedy	MC082	lange einwirken; Schluss	PASS	Länger einwirken lassen; Schluss.
B2-S019	B2	lokale Randstationen des unteren Feldes	Vollwaschung; Schluss	MC084	rshedy	MC084	Vollwaschung; Schluss	PASS	Eine Vollwaschung ausführen; Schluss.
B2-S020	B2	lokale Randstationen des unteren Feldes	lange Folgestufe; Schluss	MC173	qoteedy	MC173	lange Folgestufe; Schluss	PASS	Die folgende Stufe länger halten; Schluss.
B2-S021	B2	lokale Randstationen des unteren Feldes	lange einwirken; Schluss	MC082	qokeedy	MC082	lange einwirken; Schluss	PASS	Länger einwirken lassen; Schluss.
B2-S022	B2	lokale Randstationen des unteren Feldes	Abführung; Schluss	MC167	lochedy	MC167	Abführung; Schluss	PASS	Abführen; Schluss.
B3-S001	B3	obere offene Fächer-Randstation	lange sammeln; Schluss	MC045	olkeedy	MC045	lange sammeln; Schluss	PASS	An der oberen offenen Randstation länger auffangen; Schluss.
B3-S002	B3	obere offene Fächer-Randstation	danach dorthin | Langwärmen; Schluss	MC093 MC110	qotal chkeedy	MC093 MC110	danach dorthin | Langwärmen; Schluss	PASS	Danach zur nächsten Stelle führen und dort länger erwärmen; Schluss.
B3-S003	B3	obere offene Fächer-Randstation	dies | Sollmaß | dies | abführen; Schluss	MC123 MC039 MC123 MC155	chey daiin chey lchedy	MC123 MC039 MC123 MC155	dies | Sollmaß | dies | abführen; Schluss	PASS	Diesen Posten auf Sollmaß bringen und abführen; Schluss.
B3-S004	B3	obere offene Fächer-Randstation	bemessen | danach dorthin | davon	MC120 MC093 MC055	qokaiin qotal dar	MC120 MC093 MC055	bemessen | danach dorthin | davon	PASS	Davon eine Menge abmessen und zur folgenden Stelle bringen.
B3-S005	B3	mittlere runde Gefäß-Randstation	überführen; Schluss	MC025	schedy	MC025	überführen; Schluss	PASS	In die mittlere runde Randstation überführen; Schluss.
B3-S006	B3	mittlere runde Gefäß-Randstation	Postentransfer | dorthin einsetzen | weiterführen; Schluss	MC064 MC040 MC028	chedchy qokal olchedy	MC064 MC040 MC028	Postentransfer | dorthin einsetzen | weiterführen; Schluss	PASS	Den Posten übertragen, am Ziel einsetzen und weiterführen; Schluss.
B3-S007	B3	mittlere runde Gefäß-Randstation	bemessen | überführen | lange einwirken; Schluss	MC120 MC074 MC082	qokaiin chedy qokeedy	MC120 MC074 MC082	bemessen | überführen | lange einwirken; Schluss	PASS	Bemessen, überführen und länger einwirken lassen; Schluss.
B3-S008	B3	mittlere runde Gefäß-Randstation	abführen; Schluss	MC155	lchedy	MC155	abführen; Schluss	PASS	Aus der Station abführen; Schluss.
B3-S009	B3	mittlere runde Gefäß-Randstation	einsetzen	MC026	qoky	MC026	einsetzen	PASS	Den Posten einsetzen.
B3-S010	B3	untere korbartige Gefäß-Randstation	Zielzuführung | Kurzfolge; Schluss	MC126 MC135	pchedal otedy	MC126 MC135	Zielzuführung | Kurzfolge; Schluss	PASS	Der unteren korbartigen Randstation zuführen und kurz weiterführen; Schluss.
B3-S011	B3	untere korbartige Gefäß-Randstation	Vorbereitungstransfer | einsetzen | überführen | Quellposten	MC043 MC026 MC074 MC009	shecthedchy qoky chedy chary	MC043 MC026 MC074 MC009	Vorbereitungstransfer | einsetzen | überführen | Quellposten	PASS	Die Vorbereitung übertragen, einsetzen, weiterführen und beim Quellposten belassen.
B3-S012	B3	untere korbartige Gefäß-Randstation	Ansatz | kurz absetzen; Schluss	MC080 MC128	sor shedy	MC080 MC128	Ansatz | kurz absetzen; Schluss	PASS	Den Ansatz kurz absetzen lassen; Schluss.
B3-S013	B3	untere korbartige Gefäß-Randstation	bemessen | Portion | kurz vorbereiten | kurz einwirken; Schluss	MC120 MC105 MC073 MC083	qokaiin chkain shcthey qokedy	MC120 MC105 MC073 MC083	bemessen | Portion | kurz vorbereiten | kurz einwirken; Schluss	PASS	Eine Portion bemessen, kurz vorbereiten und kurz einwirken lassen; Schluss.
B3-S014	B3	untere korbartige Gefäß-Randstation	Laufeinsatz | Langabsetzen; Schluss	MC081 MC003	okair sheedy	MC081 MC003	Laufeinsatz | Langabsetzen; Schluss	PASS	In den Lauf einsetzen und länger absetzen lassen; Schluss.
B3-S015	B3	untere korbartige Gefäß-Randstation	abführen; Schluss	MC155	lchedy	MC155	abführen; Schluss	PASS	Aus der Station abführen; Schluss.
B3-S016	B3	untere korbartige Gefäß-Randstation	Abzug | vorigen Posten überführen; Schluss	MC030 MC005	lo qokchedy	MC030 MC005	Abzug | vorigen Posten überführen; Schluss	PASS	Abziehen und den vorigen Posten in die nächste Station überführen; Schluss.
B3-S017	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	lange einwirken; Schluss	MC082	qokeedy	MC082	lange einwirken; Schluss	PASS	Länger einwirken lassen; Schluss.
B3-S018	B3	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	kurz absetzen; Schluss	MC128	shedy	MC128	kurz absetzen; Schluss	PASS	Kurz absetzen lassen; Schluss.
